LGA_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
LGA21270,3,15,8,3,3,0,0,25,6,7,9,6,4,0,0,25,9,10,5,4,8,3,0,35,188,252,176,99,159,25,0,908,0,3,0,0,0,0,0,4,208,280,190,116,177,28,0,997,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,3,0,0,7,0,0,9,31,45,32,17,28,5,0,161,0,0,0,0,0,0,0,3,31,51,38,17,39,7,0,182,239,332,230,134,215,37,3,1184
LGA21370,59,57,38,22,22,3,0,192,49,44,24,23,22,8,0,172,51,53,25,16,26,7,7,187,1399,1502,874,610,844,195,30,5452,8,12,6,9,3,0,0,32,1561,1657,963,680,916,213,37,6032,3,4,10,3,7,0,0,21,11,24,13,13,10,6,0,78,13,6,7,3,4,0,0,40,296,375,263,160,238,57,3,1392,16,9,4,4,0,0,0,37,334,421,299,183,263,69,3,1568,1896,2076,1263,861,1177,277,40,7601
LGA21450,1123,993,516,331,437,227,110,3737,502,479,266,160,220,95,48,1773,419,389,200,128,209,78,36,1452,4225,3770,2081,1251,1630,581,250,13791,31,19,11,6,11,6,0,81,6296,5656,3078,1871,2502,990,441,20840,112,137,94,66,110,46,42,606,99,119,60,41,62,27,6,426,61,82,46,37,51,20,8,297,723,843,537,378,473,168,61,3189,34,23,10,14,9,5,0,106,1037,1205,749,542,710,270,113,4614,7334,6859,3825,2416,3210,1264,552,25457
LGA21610,10024,9727,5006,3017,4372,2896,1472,36513,1441,1340,743,472,670,331,128,5126,1348,1192,604,346,500,219,115,4323,6967,6504,3598,2224,2993,1220,475,23985,108,146,80,24,30,19,6,422,19889,18908,10030,6084,8567,4684,2201,70365,660,912,595,460,749,436,280,4100,274,368,258,158,242,88,48,1429,141,223,156,106,164,72,33,889,1324,1658,1038,790,1047,364,129,6354,120,107,69,53,52,7,5,410,2519,3267,2111,1568,2255,975,492,13184,22407,22176,12139,7653,10827,5662,2691,83550
LGA21670,14,11,5,6,4,4,0,52,14,23,10,4,4,0,0,64,11,16,8,11,4,0,0,50,341,409,246,153,222,54,10,1436,0,3,3,0,0,0,0,8,394,459,274,172,246,59,15,1611,0,0,3,0,0,0,0,8,6,9,4,6,3,3,0,37,0,7,4,0,3,0,0,16,134,173,104,100,96,26,3,633,6,11,3,3,0,4,0,32,153,195,113,112,108,34,6,721,541,659,387,286,346,88,18,2330
LGA21750,51,52,30,12,14,0,0,173,51,35,25,9,20,5,0,141,41,39,15,15,9,3,0,127,749,853,478,314,397,88,18,2897,6,6,8,0,4,0,0,20,898,981,557,357,449,101,20,3354,5,9,5,0,5,0,0,20,8,9,20,3,7,3,0,51,12,7,8,6,7,0,0,42,167,185,128,90,130,22,5,729,11,4,3,3,6,0,0,27,197,213,168,105,153,22,3,866,1097,1191,718,462,603,125,25,4225
LGA21830,24,26,12,8,19,4,0,98,35,26,16,6,9,3,0,95,28,17,15,5,14,0,0,82,576,731,416,271,403,95,20,2510,0,3,3,0,3,0,0,14,656,808,463,296,446,104,20,2790,0,0,0,0,0,0,0,5,11,4,5,3,3,0,0,25,3,4,5,3,0,0,0,9,121,147,81,67,79,22,4,525,6,14,6,8,3,0,0,28,136,168,95,76,88,23,4,594,792,975,559,372,529,128,24,3387
LGA21890,2259,1495,716,409,625,504,284,6287,827,753,405,224,328,196,109,2853,788,632,267,155,183,123,68,2213,3486,3422,1880,1057,1286,686,329,12151,51,32,12,12,16,10,6,133,7419,6330,3276,1861,2437,1519,798,23641,193,216,140,118,178,138,113,1101,99,160,117,68,94,60,40,632,54,88,52,47,66,39,19,363,360,516,367,238,354,170,96,2110,41,37,21,18,6,6,3,133,749,1013,698,490,697,413,271,4338,8168,7345,3973,2353,3135,1930,1073,27981
LGA22110,73,79,36,30,34,9,0,263,72,73,52,33,31,6,3,275,78,97,33,32,33,8,3,282,1402,1473,869,539,701,144,18,5149,15,24,10,6,4,0,0,55,1641,1744,1006,642,813,167,27,6032,5,7,10,0,7,4,0,31,32,37,22,16,22,7,0,129,11,23,10,12,17,3,0,69,291,440,273,220,288,37,9,1558,19,14,15,5,11,0,0,63,358,522,337,253,335,53,7,1858,1999,2263,1340,893,1145,220,33,7885
LGA22170,1081,1026,647,383,585,307,152,4191,693,656,330,182,298,132,58,2346,667,596,327,169,250,98,64,2168,4549,3763,1950,1198,1561,598,255,13865,36,39,20,8,10,0,3,126,7030,6077,3274,1941,2703,1142,533,22700,110,156,146,96,147,97,38,787,133,216,143,97,154,57,25,818,83,143,97,70,126,38,27,580,959,1150,738,496,758,296,122,4511,58,53,42,27,13,4,0,197,1342,1715,1159,785,1191,493,208,6890,8369,7790,4438,2728,3890,1633,742,29586
LGA22250,11,14,4,4,0,3,0,44,8,9,10,4,4,0,0,24,16,21,5,4,3,0,0,53,360,418,243,175,284,43,10,1531,3,7,3,3,0,0,0,13,396,459,261,188,291,54,6,1667,0,3,4,0,0,0,0,9,0,7,0,3,5,0,0,17,0,5,3,5,0,0,0,11,65,82,43,30,61,4,0,294,0,4,0,3,0,0,0,8,70,103,54,37,65,6,4,332,468,560,317,228,363,57,11,2002
LGA22310,2476,2210,1129,691,949,668,384,8511,999,1018,527,323,451,249,139,3705,965,913,479,271,358,220,105,3307,3230,3559,2065,1218,1624,929,555,13187,15,20,13,8,15,7,3,83,7686,7716,4218,2513,3400,2076,1186,28786,110,213,179,141,222,175,115,1153,68,135,94,63,113,80,57,614,54,97,66,42,68,39,41,399,155,366,263,224,286,191,134,1615,21,18,5,4,9,5,6,72,414,834,605,472,691,486,347,3852,8098,8550,4817,2987,4087,2561,1532,32634
LGA22410,20,33,18,10,22,9,3,120,19,30,19,14,16,3,0,94,30,26,19,20,10,4,0,105,648,645,403,316,400,77,10,2508,8,0,3,0,3,0,0,20,729,732,467,365,452,89,16,2843,4,4,8,4,3,0,0,27,11,12,13,7,7,3,0,42,0,8,7,5,5,3,0,24,142,185,116,88,125,23,4,677,3,9,3,0,4,0,0,21,160,210,149,101,135,27,3,791,885,945,612,468,590,113,20,3636
LGA22490,28,40,29,17,29,11,3,163,51,55,50,46,54,17,0,273,57,59,47,19,39,13,0,228,1107,1275,787,444,544,178,61,4397,3,3,3,3,8,0,0,20,1243,1439,913,531,669,222,67,5078,0,9,0,0,4,0,0,18,10,14,8,4,10,3,0,38,0,6,5,0,6,4,0,32,86,166,114,82,106,25,11,588,0,7,0,0,4,0,0,16,98,198,126,82,123,33,16,682,1343,1639,1045,617,797,251,76,5760
LGA22620,414,337,190,114,170,66,18,1299,212,208,128,87,114,39,11,802,220,200,88,52,89,24,7,682,4453,4402,2357,1601,2096,667,194,15775,21,22,21,15,8,0,0,81,5315,5160,2789,1875,2474,795,233,18636,28,40,27,21,34,16,9,170,61,83,57,45,61,17,11,329,24,52,48,27,37,13,0,199,1046,1388,837,580,785,237,93,4959,41,39,19,12,13,3,0,133,1200,1595,990,682,933,279,111,5800,6514,6760,3779,2557,3410,1080,344,24439
LGA22670,6505,5320,2792,1765,2575,1870,1049,21871,429,370,166,96,124,71,29,1274,600,356,162,91,114,70,18,1416,922,694,399,238,282,140,64,2738,61,50,24,25,6,11,4,183,8522,6794,3536,2214,3090,2158,1166,27483,779,970,716,513,789,595,335,4703,134,129,70,65,75,33,15,517,112,103,66,46,46,34,13,413,233,297,215,154,162,64,31,1158,83,82,38,28,40,8,5,283,1345,1577,1105,803,1115,728,401,7073,9869,8368,4643,3018,4205,2889,1571,34559
LGA22750,1197,1068,573,422,553,312,158,4285,808,772,458,322,430,189,82,3052,776,736,356,233,286,150,67,2607,8483,8026,4345,2705,3598,1548,636,29345,64,49,25,23,11,8,0,180,11328,10649,5758,3703,4875,2205,944,39467,111,177,127,95,177,105,45,835,201,241,157,120,169,63,36,992,102,141,83,64,110,38,27,562,1549,2086,1344,1033,1383,472,189,8051,85,96,67,27,46,16,5,346,2049,2734,1780,1338,1884,698,312,10790,13374,13387,7539,5044,6758,2906,1253,50262
LGA22830,749,674,346,214,334,114,38,2464,120,111,58,35,72,18,3,411,130,120,62,44,52,19,3,434,2071,2212,1236,798,1195,303,57,7877,21,22,12,11,11,0,3,85,3094,3143,1715,1108,1658,455,99,11266,66,64,54,45,54,29,16,330,50,43,37,18,30,6,3,191,26,34,21,7,21,3,0,116,553,702,438,305,441,88,19,2549,24,37,24,21,8,0,0,118,719,887,566,394,559,137,38,3301,3811,4031,2284,1504,2213,590,135,14566
LGA22910,30,28,21,11,14,3,0,95,41,44,26,21,16,7,0,147,42,47,15,13,10,3,4,141,430,532,285,173,195,51,16,1682,0,3,0,3,3,0,0,12,541,655,345,215,241,55,22,2075,0,7,3,5,3,0,0,17,6,16,16,12,11,0,0,60,3,7,6,3,9,0,0,25,87,108,85,50,63,12,9,410,3,3,4,0,0,0,4,11,100,150,106,69,88,13,11,535,639,807,456,284,328,65,32,2608
LGA22980,27,21,11,3,6,3,0,70,3,0,5,3,4,0,0,17,7,8,5,6,4,0,0,32,172,195,113,83,140,24,9,730,0,0,0,0,0,0,0,0,206,223,138,97,152,27,9,846,5,0,0,0,0,0,0,6,0,0,0,0,3,0,0,10,6,0,0,3,3,0,0,13,17,28,30,26,30,4,0,141,4,4,5,3,3,0,0,14,31,33,37,37,38,6,3,181,232,264,176,132,188,32,13,1034
LGA23110,1499,1165,511,280,486,335,178,4455,615,616,295,152,224,128,65,2104,598,460,213,145,168,107,57,1751,2400,2267,1152,710,951,535,305,8326,29,23,3,5,7,0,0,61,5154,4530,2173,1295,1831,1109,607,16696,106,169,110,81,127,70,46,712,93,111,80,55,76,38,20,479,44,78,42,33,48,32,12,295,250,425,249,193,305,140,77,1647,26,23,14,4,10,0,0,87,521,810,505,374,564,282,165,3224,5676,5343,2680,1675,2393,1392,771,19921
LGA23190,71,56,41,18,20,3,0,202,25,36,14,9,13,3,0,100,38,34,17,14,10,3,0,110,795,833,466,287,399,70,9,2857,4,3,0,0,4,0,0,21,928,959,540,330,436,84,12,3282,4,3,0,0,5,0,0,8,10,9,7,6,13,3,0,47,6,13,4,3,4,0,0,21,175,252,125,98,111,30,7,804,6,5,3,3,0,0,0,35,205,279,146,111,131,39,5,916,1130,1242,683,444,570,116,17,4197
LGA23270,5855,5576,3078,1941,2855,1912,1007,22223,1402,1257,665,387,513,236,109,4561,887,774,380,261,307,169,79,2857,4429,3879,2036,1344,1865,936,414,14905,96,106,40,20,14,5,8,285,12663,11586,6203,3956,5553,3257,1619,44829,480,645,496,365,563,363,192,3111,233,299,189,141,206,78,39,1186,116,147,98,76,101,56,29,619,950,1128,742,511,667,242,137,4370,70,106,61,35,32,20,17,332,1847,2324,1594,1123,1570,750,413,9619,14507,13902,7795,5080,7117,4012,2027,54446
LGA23350,11,20,16,14,7,3,0,69,30,44,25,12,20,6,0,134,40,49,17,13,22,7,3,154,552,676,401,294,335,59,10,2324,4,5,10,0,3,0,0,27,628,797,465,341,386,79,21,2713,0,0,0,0,3,0,0,8,4,0,0,4,7,3,0,27,0,8,0,8,9,3,4,30,84,133,93,60,112,16,5,496,8,3,4,3,0,0,0,22,100,148,107,72,129,19,5,586,725,946,571,413,517,98,23,3297
LGA23430,2337,2084,1060,706,1008,788,443,8427,841,848,429,262,317,154,92,2944,825,785,370,228,327,181,91,2809,3949,3996,2112,1331,1617,892,409,14308,19,34,20,11,12,5,4,115,7977,7761,3980,2545,3283,2021,1034,28595,108,234,156,139,217,167,105,1128,94,153,117,96,119,80,28,686,62,114,93,61,82,40,39,489,332,582,430,306,476,258,120,2505,43,22,12,12,8,15,0,116,636,1102,809,610,899,559,295,4916,8615,8861,4793,3159,4181,2575,1328,33513
LGA23670,2522,2247,1257,895,1274,1167,672,10041,561,625,327,216,330,196,99,2359,675,608,299,203,311,158,97,2353,3918,3961,2259,1549,2161,1122,482,15452,22,17,23,11,12,10,5,103,7696,7461,4174,2879,4095,2648,1359,30313,118,187,133,107,235,157,131,1066,81,111,101,89,141,61,38,615,66,105,70,63,97,40,32,473,564,789,570,447,610,278,142,3403,23,29,17,14,13,6,6,118,856,1222,895,723,1094,548,337,5675,8550,8688,5063,3601,5186,3199,1699,35992
LGA23810,216,206,121,71,95,32,21,761,106,138,90,48,76,25,5,485,107,116,72,50,68,28,10,447,2542,2527,1398,918,1201,368,116,9069,24,27,19,15,7,0,0,91,2998,3009,1703,1094,1447,450,150,10853,39,53,36,25,48,15,7,228,52,57,35,24,32,6,3,207,17,30,25,37,34,17,5,168,830,991,558,427,536,129,38,3515,55,36,24,14,12,0,0,155,998,1181,679,526,670,170,54,4272,3992,4187,2380,1622,2116,616,209,15121
LGA23940,9,12,9,0,0,0,0,42,10,3,4,3,4,3,0,25,10,12,8,4,4,0,0,35,225,279,173,113,149,39,5,983,4,3,0,0,0,0,0,10,261,310,197,121,163,43,5,1094,0,0,0,0,3,0,0,7,0,3,4,3,3,0,0,17,0,0,0,0,0,0,0,0,37,41,33,31,26,13,0,185,3,3,0,0,4,0,0,9,47,42,36,39,37,13,0,217,302,353,236,157,200,55,9,1304
LGA24130,115,129,89,51,75,30,7,496,192,274,156,74,109,42,21,876,178,191,105,74,91,43,15,696,1953,2091,1312,747,1015,382,143,7638,11,14,5,10,7,0,3,54,2451,2705,1667,950,1295,506,195,9762,0,11,10,9,17,7,3,53,20,41,33,24,36,19,7,184,12,23,20,13,21,8,0,93,170,264,202,151,243,87,29,1145,12,10,4,3,6,0,0,38,213,350,268,198,322,123,33,1510,2660,3056,1936,1142,1616,625,229,11273
LGA24210,2293,2158,1127,721,1258,1099,677,9323,330,405,284,174,276,201,112,1790,426,450,251,183,270,160,101,1844,1876,2537,1680,1073,1454,955,500,10081,18,25,6,3,9,0,5,64,4934,5577,3346,2161,3269,2420,1394,23099,151,270,168,163,264,233,151,1400,32,72,64,32,66,52,26,347,34,65,31,27,46,38,16,255,138,258,230,168,240,147,94,1275,9,19,9,3,6,4,3,57,361,687,501,393,629,479,296,3341,5298,6264,3847,2549,3898,2898,1690,26440
LGA24250,17,12,7,3,0,0,0,41,14,21,13,10,11,0,0,67,24,36,6,5,15,0,0,85,301,354,176,94,118,24,7,1069,3,0,4,0,0,0,0,7,353,419,209,115,145,25,4,1271,0,0,0,0,0,0,0,3,3,13,3,3,3,0,0,30,3,3,5,0,5,0,0,19,29,56,39,20,32,9,4,191,0,3,0,0,0,0,0,10,39,84,52,26,45,9,4,255,389,500,258,140,189,33,11,1530
LGA24330,1773,1240,580,366,554,453,261,5227,547,367,153,80,105,49,39,1326,518,336,152,60,89,38,16,1212,1901,1383,573,308,393,202,88,4851,25,15,13,4,13,3,0,72,4764,3334,1461,824,1157,749,402,12681,213,300,208,134,233,183,108,1383,69,95,45,21,44,15,20,318,36,53,30,24,41,20,3,205,132,202,141,92,125,59,36,777,20,25,9,5,15,11,3,102,478,671,435,277,458,287,169,2784,5235,4006,1901,1096,1614,1038,575,15469
LGA24410,1595,1274,583,365,487,367,208,4863,502,440,253,161,230,149,75,1813,515,441,195,142,203,116,58,1677,3708,3449,1976,1244,1714,901,435,13433,16,16,11,3,6,0,3,58,6337,5621,3018,1908,2639,1542,784,21846,81,102,82,65,119,102,54,612,61,112,85,61,82,40,23,460,42,58,59,37,42,32,23,299,390,615,452,344,520,259,126,2709,24,21,11,5,12,0,0,72,596,910,695,515,772,439,231,4159,6932,6532,3712,2424,3416,1979,1011,26004
LGA24600,1808,850,349,201,291,206,104,3822,252,149,64,40,58,26,18,599,391,166,87,42,77,32,30,828,896,500,244,154,211,140,79,2223,36,21,11,3,0,0,0,71,3377,1694,754,438,638,406,228,7546,247,276,140,133,240,239,166,1433,23,42,17,15,24,18,11,160,35,32,23,13,16,20,18,161,86,107,43,47,65,53,29,433,34,24,8,10,8,5,0,94,426,478,240,208,350,343,224,2279,3809,2173,994,654,993,750,459,9821
LGA24650,3148,3275,1752,1075,1481,921,439,12086,722,762,415,226,330,142,59,2657,679,676,324,184,240,139,39,2273,4519,4253,2159,1298,1456,583,192,14456,46,52,21,16,16,5,6,166,9112,9020,4665,2797,3512,1793,738,31639,380,498,330,219,320,181,105,2036,148,177,120,92,116,48,28,728,78,147,89,44,82,28,16,482,936,1159,644,384,530,172,59,3886,94,98,46,33,28,9,0,295,1633,2075,1228,772,1081,435,209,7434,10752,11091,5898,3568,4594,2227,942,39072
