LGA_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
LGA21270,35,30,4,21,12,10,3,3,0,119,25,14,3,20,9,7,0,3,0,87,194,28,153,55,34,44,50,77,7,649,10,0,3,3,15,0,4,0,0,43,12,3,3,13,3,5,0,0,0,40,3,3,0,0,0,0,0,3,0,11,17,7,8,10,8,3,10,10,3,86,382,317,185,146,113,76,69,104,11,1421
LGA21370,163,158,43,95,67,31,21,30,3,607,170,154,67,265,122,45,18,47,6,901,721,116,1451,533,304,285,364,577,55,4401,21,13,20,38,42,34,15,54,0,242,45,12,36,61,34,42,18,44,3,308,21,6,18,11,10,5,3,17,3,86,100,48,51,64,32,44,46,105,47,537,1626,1963,1762,1237,771,546,493,928,133,9465
LGA21450,329,369,240,295,358,155,84,100,19,1950,476,548,395,849,602,292,129,179,32,3495,1322,474,5003,1286,1239,793,1058,1149,159,12483,46,25,51,106,133,94,41,91,7,605,99,67,81,183,172,117,83,81,21,905,29,66,27,23,47,20,24,38,3,287,102,78,160,124,114,91,97,122,82,969,3434,5933,6293,3506,3509,1934,1661,1995,392,28669
LGA21610,988,1244,972,886,1119,473,464,465,71,6681,1427,1463,1377,2598,1908,874,654,675,117,11092,2706,1169,11576,3650,3048,1863,2816,2956,437,30215,125,86,144,266,391,254,153,207,13,1643,276,126,264,598,534,314,296,301,35,2742,130,214,143,116,194,103,134,109,31,1164,221,294,401,362,392,266,319,428,334,3009,9689,18838,16548,11141,11576,5871,5871,6341,1388,87260
LGA21670,21,43,16,27,14,10,4,3,0,153,27,33,21,79,31,14,3,11,3,225,154,32,455,176,88,79,93,166,21,1273,6,0,5,13,10,11,8,16,0,70,9,5,7,30,17,4,5,13,0,88,4,4,3,3,0,3,3,3,0,23,23,16,26,16,9,24,9,41,11,171,330,454,555,403,198,158,123,266,38,2528
LGA21750,115,107,35,111,59,23,5,20,0,479,98,63,32,130,80,30,15,46,5,498,373,83,779,362,162,126,221,391,34,2531,11,3,11,18,26,20,7,47,0,152,23,18,18,56,29,24,18,41,0,230,8,8,3,10,11,3,3,9,3,62,61,21,39,41,16,23,28,73,29,344,952,1075,969,835,486,299,311,701,93,5726
LGA21830,123,63,13,45,22,9,9,24,6,312,86,40,28,80,43,13,7,24,8,336,454,48,518,185,94,81,141,238,22,1791,17,4,5,15,8,12,4,28,0,90,39,6,3,32,16,13,9,26,0,142,10,9,0,0,0,0,3,4,0,31,75,12,24,29,13,6,23,51,16,253,1029,762,641,443,255,166,199,434,60,4001
LGA21890,464,769,446,390,503,302,112,166,56,3195,628,775,674,891,736,397,137,293,50,4577,785,504,3145,1114,887,611,456,705,108,8315,32,37,45,92,110,70,27,72,13,506,91,95,86,200,229,125,47,83,9,969,61,153,65,47,66,36,19,51,18,512,102,154,150,132,118,111,80,147,158,1154,7015,20170,5908,5134,6105,3175,1364,2553,745,52171
LGA22110,134,195,42,147,99,21,9,31,8,681,180,202,95,295,183,77,28,66,14,1135,629,179,1586,641,392,315,349,545,59,4689,33,16,27,67,50,45,8,45,3,311,51,30,36,83,52,53,30,58,8,390,16,14,18,11,13,4,4,17,0,100,84,47,54,69,50,63,42,115,49,575,1552,2316,1919,1570,1052,642,493,955,164,10652
LGA22170,475,708,341,494,509,238,102,143,44,3052,706,780,533,1216,928,464,133,222,66,5061,1484,680,6607,2068,1610,1064,1158,1444,225,16340,62,38,76,152,152,117,71,96,8,770,141,88,124,313,310,172,86,126,28,1378,48,73,44,51,72,43,48,40,8,422,128,150,190,208,177,138,122,176,139,1429,4742,9352,8418,5512,4961,2836,1906,2556,619,40897
LGA22250,45,35,14,20,16,5,3,3,0,147,54,41,19,56,35,7,3,9,0,230,299,43,329,114,78,64,91,148,12,1177,6,0,8,8,26,8,4,15,0,78,14,4,4,23,17,5,8,15,0,91,0,5,0,3,3,6,0,3,0,15,50,14,18,17,14,17,12,34,11,187,572,466,405,277,224,126,121,247,24,2471
LGA22310,668,985,375,399,609,316,72,123,36,3585,690,785,502,699,754,379,75,171,53,4107,838,461,2552,877,755,512,268,456,97,6811,40,50,39,79,95,46,6,36,4,391,146,143,84,195,227,129,34,45,11,1006,109,219,67,59,91,68,10,42,18,691,122,265,100,81,143,103,35,68,125,1044,9408,22371,4899,4289,6475,3443,818,1619,801,54115
LGA22410,82,98,15,47,37,4,21,14,3,315,69,76,28,131,75,21,17,18,3,431,289,96,793,297,175,91,290,273,42,2345,20,3,14,30,24,22,11,24,0,155,25,19,12,33,21,14,24,35,0,176,11,8,8,5,0,3,3,8,0,43,43,19,20,21,20,16,48,47,16,260,727,1026,927,652,418,191,422,445,74,4881
LGA22490,90,102,61,77,72,28,12,22,6,464,120,105,74,179,121,38,16,38,11,700,363,97,1186,324,272,151,255,308,53,3010,12,5,17,18,36,18,17,29,0,154,26,14,25,43,32,20,23,29,3,210,8,9,8,6,8,6,3,4,0,46,61,25,41,34,29,25,20,39,23,304,959,1474,1481,831,730,333,362,497,110,6787
LGA22620,280,539,183,356,285,96,38,72,18,1877,414,527,310,819,476,196,62,162,36,2993,1289,528,4511,1743,1220,813,899,1223,141,12357,50,33,66,95,131,118,48,131,4,690,108,51,88,204,174,115,75,142,18,974,31,70,34,34,40,23,16,33,8,287,118,123,124,147,98,118,86,168,84,1060,3702,9112,5619,4184,3372,1822,1302,2182,395,31691
LGA22670,254,364,529,343,431,201,295,301,56,2775,383,441,755,996,637,410,432,480,72,4609,543,261,3179,1316,736,494,1061,1151,146,8874,32,23,65,95,91,64,76,151,12,607,94,41,118,261,164,91,139,157,12,1085,55,95,95,85,79,58,66,92,20,642,66,104,199,172,125,109,183,273,190,1421,2940,7412,6020,4645,4465,2526,3001,3760,720,35490
LGA22750,782,1334,586,822,712,310,130,200,54,4929,957,1206,895,1732,1250,561,203,348,85,7235,2142,1006,9071,3651,2277,1639,1614,2329,355,24087,88,75,119,241,202,207,82,200,12,1222,189,142,160,453,342,228,150,198,24,1890,66,163,81,82,78,48,35,54,16,614,164,254,268,316,209,212,196,309,203,2135,8028,20109,12161,9485,7459,4239,2731,4239,1016,69461
LGA22830,195,302,61,164,132,45,27,60,13,1001,310,326,161,505,322,110,48,110,18,1908,812,276,2247,812,573,433,444,765,77,6431,33,16,30,49,69,62,19,66,0,341,60,32,47,103,84,49,35,65,13,476,25,39,10,18,26,11,6,32,3,173,96,65,82,63,57,66,76,138,71,719,2249,4260,2778,2061,1604,881,687,1380,223,16124
LGA22910,86,88,40,50,52,22,3,22,3,375,70,77,58,111,60,25,4,29,11,438,229,44,521,170,107,75,95,158,23,1418,12,9,7,20,19,13,3,15,0,90,19,14,7,40,22,7,10,20,3,138,4,6,3,8,3,6,4,3,0,38,21,30,23,19,11,5,14,38,17,185,728,1128,745,573,431,201,155,349,73,4373
LGA22980,24,22,3,14,8,7,0,4,0,85,21,21,11,37,27,4,3,17,0,135,135,21,159,85,46,16,55,68,3,587,11,0,4,3,10,6,0,10,0,44,12,3,3,14,3,3,4,16,0,53,4,0,0,0,0,0,4,0,0,6,14,8,4,5,3,4,6,12,5,67,274,280,190,173,123,42,78,130,12,1311
LGA23110,316,477,257,245,309,144,61,77,28,1909,462,504,346,543,560,230,107,120,47,2919,691,343,2637,739,722,387,542,577,110,6750,29,26,25,46,81,34,23,37,4,309,94,63,81,135,159,90,70,53,10,746,52,83,29,34,39,32,27,29,3,335,67,102,94,88,98,55,72,95,76,746,4620,9547,4084,2718,3648,1619,1141,1383,478,29235
LGA23190,96,104,19,75,63,25,8,17,7,414,106,113,43,147,103,42,16,18,5,578,358,106,822,293,223,172,175,175,26,2344,9,9,11,23,44,25,3,20,3,142,33,14,19,42,35,25,11,19,0,200,17,10,0,5,3,7,3,0,0,52,37,18,28,22,26,20,11,38,18,229,900,1455,972,736,607,344,232,312,78,5627
LGA23270,482,643,487,556,628,259,273,235,57,3628,710,754,717,1518,1105,532,398,338,92,6159,1376,605,6381,2279,1688,961,1665,1577,253,16780,66,46,91,161,207,131,104,135,9,941,154,90,145,386,342,176,189,159,20,1662,68,119,82,88,103,51,82,64,13,678,127,159,249,273,237,177,212,231,162,1834,5094,10324,9000,6938,6486,3281,3713,3485,845,49151
LGA23350,82,119,31,56,54,15,3,19,3,385,98,78,40,123,87,25,12,21,8,489,261,85,681,221,150,117,159,229,26,1936,16,0,12,13,22,14,14,14,0,103,20,13,14,25,31,18,9,22,0,143,9,10,3,5,14,0,3,5,0,43,37,32,29,20,32,22,27,35,24,246,855,1346,849,591,500,256,234,392,78,5095
LGA23430,699,965,442,487,721,304,123,156,45,3943,938,976,705,1010,1053,513,158,216,65,5637,1533,690,5205,1426,1324,818,675,895,192,12755,59,52,51,89,147,118,40,75,11,639,168,136,125,240,335,167,98,94,14,1373,81,159,74,71,99,64,34,39,23,647,113,180,139,153,212,134,69,121,140,1270,7814,16432,7751,5073,6758,3410,1533,2146,737,51650
LGA23670,628,947,434,505,671,312,117,158,48,3820,864,858,670,1205,1117,520,160,235,69,5703,1552,748,6376,1773,1607,973,1006,1157,214,15408,60,39,75,119,183,110,47,82,10,721,140,138,116,283,341,184,78,119,17,1416,78,140,68,60,123,61,25,43,14,598,117,167,158,162,179,124,102,139,140,1292,6740,14696,8964,5572,7005,3498,1829,2475,729,51508
LGA23810,137,277,146,165,152,43,27,44,11,1010,241,356,215,543,370,130,46,61,43,2004,700,281,3487,1055,908,475,814,883,132,8739,38,24,32,78,91,71,33,72,17,452,51,23,61,157,110,63,43,69,12,588,14,37,23,20,21,15,11,27,4,163,76,91,103,136,79,59,73,141,74,829,1858,4166,4252,2555,2127,989,1085,1378,331,18734
LGA23940,55,28,8,19,11,7,4,4,3,133,50,16,4,31,24,10,0,12,3,147,249,26,135,70,48,22,62,110,4,735,7,4,4,3,3,3,0,12,0,45,23,6,3,11,4,3,4,9,0,61,4,0,0,0,3,0,0,0,0,16,33,7,8,14,7,8,7,18,14,113,553,276,175,169,130,62,90,179,27,1661
LGA24130,236,333,115,168,149,68,21,37,7,1136,242,263,140,338,267,92,28,66,16,1456,577,232,2121,536,426,265,340,414,63,4970,32,12,18,37,58,31,9,36,0,244,65,38,41,102,96,45,31,48,4,459,16,50,21,14,18,12,6,23,0,165,43,73,71,78,58,46,32,69,37,506,2384,4454,2741,1753,1588,734,510,790,184,15142
LGA24210,513,727,282,328,476,260,45,100,33,2766,561,532,344,508,574,311,60,131,38,3058,907,375,2387,706,587,481,260,457,74,6236,35,18,36,51,89,46,9,33,6,327,157,84,74,142,219,123,23,63,14,896,78,141,40,55,79,56,12,20,9,487,124,171,91,111,132,95,43,55,99,918,6748,13847,4146,3074,4870,2759,676,1248,588,37946
LGA24250,45,50,9,28,25,9,4,12,5,197,51,34,22,61,36,10,4,21,3,238,173,26,402,104,76,66,77,123,9,1056,4,0,10,3,4,8,7,12,3,54,16,10,15,24,12,16,5,14,0,99,0,0,0,3,10,0,0,3,0,20,13,6,17,6,13,22,4,21,14,116,444,533,499,303,234,153,106,236,41,2544
LGA24330,301,392,271,251,252,145,82,109,29,1836,396,458,405,576,446,252,106,184,35,2866,490,320,1499,628,505,325,317,405,60,4549,30,16,25,55,45,47,36,48,3,312,61,81,44,122,104,62,37,59,9,577,43,79,33,53,51,29,20,33,11,351,47,95,60,71,45,44,50,84,80,577,4472,11108,3153,3047,3598,1987,1014,1775,466,30630
LGA24410,465,744,319,445,487,206,65,110,33,2877,600,743,497,845,703,340,102,132,37,4011,1177,588,4467,1339,1201,679,532,816,125,10914,44,32,54,82,125,84,39,51,4,514,112,102,91,217,233,127,41,86,12,1026,33,98,44,36,67,29,14,26,6,354,90,119,107,121,120,93,51,112,90,906,5186,11894,6276,4242,4907,2316,1002,1643,468,37931
LGA24600,443,553,272,310,302,211,36,103,40,2261,542,612,579,693,437,319,49,221,54,3504,459,323,1095,594,468,366,105,237,64,3718,33,28,26,77,63,45,7,32,0,311,100,108,63,126,110,70,19,62,5,671,96,207,52,70,68,42,11,41,20,599,100,169,74,104,76,53,20,94,95,780,7666,23825,3623,4665,5577,3244,516,2066,796,51965
LGA24650,420,409,319,377,488,202,158,136,28,2531,593,575,506,1036,912,343,252,208,70,4495,1107,462,4902,1624,1444,783,1360,1232,220,13132,55,26,55,103,159,116,86,93,8,693,122,80,109,303,258,141,161,143,19,1342,46,79,52,42,68,37,48,37,7,417,106,118,173,172,153,133,178,153,134,1326,4172,8050,6754,4707,5432,2448,2684,2372,658,37274
LGA24780,133,250,59,163,83,45,21,46,10,793,227,248,122,390,230,80,28,77,23,1423,778,248,1862,727,556,413,406,554,90,5629,30,13,12,64,68,95,35,55,6,382,67,21,38,107,81,65,44,65,5,492,14,25,14,11,12,9,9,22,5,124,84,75,81,83,61,85,74,109,74,718,1839,3292,2267,1818,1329,854,632,1031,235,13297
LGA24850,146,152,67,122,130,52,28,30,13,739,212,185,141,394,240,67,47,55,14,1352,503,192,2002,603,483,276,525,478,76,5150,32,17,30,47,57,36,18,62,3,297,36,18,38,95,79,41,38,49,8,400,12,14,14,12,19,12,11,10,3,115,58,46,99,60,68,37,56,81,31,539,1433,2061,2490,1567,1339,619,751,843,172,11285
LGA24900,142,101,39,64,50,18,18,39,0,472,132,111,58,179,110,31,18,57,7,685,528,104,999,337,232,169,289,468,51,3180,29,9,3,42,35,20,8,41,0,195,50,13,16,64,34,30,13,32,0,256,7,12,9,4,10,4,8,12,3,62,74,28,45,55,24,40,33,96,31,415,1235,1300,1225,856,587,344,393,804,111,6859
LGA24970,658,864,481,460,653,311,130,242,52,3854,756,782,701,889,936,467,163,303,54,5046,926,481,3127,1058,876,556,485,677,121,8329,56,39,45,106,103,86,20,76,5,525,138,93,97,182,265,135,54,89,24,1070,126,250,84,54,115,82,34,53,12,817,131,206,126,115,150,95,87,109,149,1163,8736,22640,6440,4938,7832,3928,1488,2653,930,59581
LGA25060,447,750,280,355,464,186,58,94,38,2664,673,668,419,619,724,310,97,151,48,3714,941,429,2955,859,893,516,423,551,102,7668,44,35,32,82,107,75,22,48,6,445,109,90,57,187,236,147,35,57,21,945,44,138,32,48,72,28,19,22,11,422,95,161,118,96,133,81,60,78,106,920,6779,15687,4653,3598,5391,2433,959,1493,651,41638
LGA25150,117,170,64,101,105,35,18,27,9,647,144,151,99,218,188,49,29,37,20,947,417,154,1460,442,400,175,419,350,72,3884,25,8,19,17,39,24,14,25,0,166,26,23,33,86,59,33,25,31,3,327,11,9,12,9,18,3,11,3,3,77,58,31,52,43,34,28,30,46,18,348,1254,2138,1829,1106,1114,462,578,564,159,9208
LGA25250,496,848,496,476,521,302,132,158,35,3467,686,942,823,921,862,428,161,302,62,5173,927,583,3836,1260,1033,589,539,768,151,9685,50,53,52,110,127,62,30,62,3,548,118,118,118,211,256,132,52,80,17,1108,67,193,77,71,65,46,42,37,14,615,104,203,150,158,167,117,88,141,187,1312,7633,23360,7177,5764,7012,3413,1658,2691,924,59642
LGA25340,689,956,407,564,573,264,60,151,41,3696,792,845,522,1102,767,432,97,235,50,4844,2043,682,7062,1985,1367,1061,790,1413,207,16608,75,44,99,147,176,136,34,109,5,818,182,116,160,361,275,188,74,134,13,1495,67,89,59,62,92,51,21,32,11,482,155,219,232,252,178,180,87,188,122,1611,6759,11600,9057,5518,4593,2980,1245,2517,604,44864
LGA25430,43,134,27,58,42,28,10,20,4,371,69,88,55,96,62,22,8,30,0,443,203,60,572,224,107,85,101,184,28,1559,10,6,3,20,15,8,10,9,0,85,22,9,20,33,12,15,11,17,0,137,9,14,5,4,0,3,4,11,4,50,39,29,16,26,23,16,23,29,10,210,772,1682,809,655,433,233,174,380,71,5210
LGA25490,146,71,24,50,37,17,3,16,4,374,142,59,36,114,62,28,4,34,8,484,465,51,583,214,123,85,147,258,26,1950,22,4,5,16,21,13,4,27,0,111,44,5,9,35,25,19,8,26,7,174,12,3,7,4,3,0,0,3,0,31,80,21,38,21,13,21,15,39,18,262,1197,1026,735,534,372,205,193,458,81,4808
LGA25620,67,65,33,52,36,20,5,14,3,297,78,66,34,99,65,24,5,32,7,416,219,60,631,194,129,67,132,189,30,1659,16,0,5,14,19,10,4,3,0,82,15,7,19,19,22,10,10,16,3,123,6,7,5,3,3,4,3,3,0,41,40,21,24,26,18,10,27,31,17,225,634,761,806,548,380,172,195,320,72,3884
LGA25710,376,511,176,269,313,137,29,40,16,1878,382,420,235,414,393,147,42,64,24,2123,844,320,2782,629,604,326,281,371,61,6214,30,18,22,33,80,38,14,13,0,262,88,54,47,127,114,57,23,46,9,567,35,53,22,15,42,20,3,11,3,208,71,67,66,68,99,56,15,36,37,515,3925,7757,3697,2233,2713,1144,464,719,277,22922
LGA25810,69,50,8,41,22,8,5,6,3,219,46,36,22,96,36,8,3,17,3,267,231,35,324,221,72,63,82,167,16,1212,19,3,3,18,7,21,12,17,0,93,23,3,11,34,14,12,9,19,0,126,4,5,4,5,5,0,0,8,0,32,32,15,23,35,7,15,7,42,15,177,554,544,421,506,200,145,123,299,39,2825
LGA25900,589,786,271,318,372,210,35,64,38,2686,743,802,387,589,589,339,50,99,33,3630,770,499,1886,652,654,422,155,313,66,5412,61,48,30,54,64,44,13,30,3,334,148,150,65,139,175,116,18,38,19,855,97,198,27,42,50,46,9,19,12,493,122,205,74,67,89,68,16,30,114,799,9221,20060,3650,3466,5040,2762,437,1072,704,46412
LGA25990,28,19,3,22,16,6,4,7,3,116,36,25,11,49,22,14,7,10,4,181,137,14,189,88,50,28,62,82,9,664,9,0,4,8,3,0,3,11,0,40,12,5,6,14,8,4,6,12,0,67,7,3,0,0,3,3,3,4,0,24,23,6,7,11,4,3,6,18,3,84,363,273,239,217,141,58,100,141,25,1560
LGA26080,16,26,4,9,14,3,3,3,5,81,8,17,9,11,13,5,0,0,0,65,19,10,61,11,15,3,6,15,4,142,0,0,0,0,0,0,0,0,0,9,3,5,0,3,0,4,0,6,0,16,0,4,0,0,0,3,0,0,0,6,3,3,0,0,0,4,3,0,0,19,131,314,90,65,81,39,12,30,20,785
LGA26170,134,120,37,82,66,26,16,38,12,523,141,107,63,172,120,38,19,38,6,704,614,93,1183,324,239,171,339,402,38,3402,25,8,14,24,35,30,11,24,3,170,45,11,9,60,44,35,26,26,3,254,8,11,10,12,3,10,4,10,0,62,80,26,42,43,30,46,37,66,33,395,1455,1512,1425,868,679,405,454,660,109,7578
LGA26260,105,85,24,45,32,12,9,13,5,327,112,62,31,115,61,29,9,21,8,445,399,67,608,229,153,123,113,200,17,1914,19,5,6,23,28,16,5,35,0,135,28,12,13,25,31,18,15,14,0,154,9,11,4,4,3,0,3,0,0,42,63,18,24,20,14,15,14,24,20,219,1006,1054,748,559,421,259,187,331,59,4617
LGA26350,568,755,187,252,402,287,26,40,31,2548,538,673,319,437,500,329,30,81,39,2946,626,340,1318,504,466,381,93,216,55,4002,40,35,20,35,61,53,3,18,0,261,111,105,44,123,151,107,13,41,4,713,95,186,32,30,58,43,3,14,13,472,111,190,54,77,79,77,15,49,88,730,8793,20923,2786,2854,5033,3090,324,907,705,45421
