LGA_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA21270,0,0,0,0,0,0,0,0,0,0,0,6,0,6,4,3,0,0,0,31,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,3,3,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,7,0,3,0,0,24,12,47,26,92,77,135,115,86,58,663,253,746,542,1016,859,1034,827,580,336,6201
LGA21370,0,0,0,0,7,0,4,0,0,11,0,34,15,89,34,19,10,4,0,207,0,0,0,3,0,3,0,0,3,10,0,0,0,9,11,28,31,14,4,99,0,0,0,0,3,0,0,0,0,4,0,4,4,13,6,6,5,3,0,32,0,0,0,0,3,0,3,0,0,9,0,5,3,17,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,4,0,8,0,13,7,3,0,0,0,25,0,0,0,0,3,3,3,0,0,13,0,0,0,0,3,5,0,0,0,11,0,8,3,16,8,6,6,0,3,52,0,0,0,4,0,0,0,0,0,4,0,0,0,0,3,3,3,0,0,18,0,0,0,3,0,3,0,0,0,14,3,12,4,42,22,19,34,25,11,177,132,275,256,648,462,537,493,340,166,3309,2075,4561,4092,7450,5053,5357,4554,2744,1164,37061
LGA21450,0,0,0,18,21,0,0,0,0,37,10,72,95,249,125,37,21,0,4,611,0,0,0,31,19,41,17,7,4,119,3,17,13,108,83,145,144,59,15,595,0,15,18,45,23,14,6,0,0,122,5,31,55,169,101,44,26,14,3,454,0,0,0,10,27,34,27,8,0,105,10,67,53,500,105,68,57,10,8,877,4,0,8,64,0,0,0,0,0,74,3,9,10,71,18,6,0,0,0,122,0,0,0,7,4,5,0,0,0,20,0,0,0,12,17,3,4,3,0,42,0,25,27,69,36,20,18,11,0,206,0,6,12,41,15,14,3,0,0,91,0,6,4,29,27,25,17,12,0,121,0,5,19,61,19,9,6,0,0,114,20,141,254,797,343,239,194,102,34,2122,369,628,655,1600,880,779,556,319,126,5911,7821,13902,12172,26906,12479,9638,6898,3127,1185,94128
LGA21610,0,0,3,27,18,11,0,0,0,66,60,396,624,1839,967,566,176,56,19,4696,0,15,40,322,214,354,205,65,49,1261,3,36,50,188,312,400,322,212,67,1590,22,107,126,200,129,119,39,8,0,741,9,114,273,613,474,282,182,78,34,2059,0,0,9,141,215,240,177,122,32,938,99,859,840,5223,1966,1285,702,237,69,11279,3,16,14,148,15,21,12,0,0,229,11,41,60,418,74,37,12,0,0,655,0,6,13,171,121,114,64,19,9,513,3,8,32,206,262,138,91,45,9,796,19,113,94,156,92,50,34,11,0,572,6,40,123,769,336,270,76,24,11,1662,0,9,8,44,45,42,36,26,0,212,0,37,93,240,80,40,10,0,0,492,85,751,1448,4493,2713,2122,1195,627,189,13632,1173,2039,2085,4881,2319,1897,1351,738,357,16850,23772,44073,41625,89295,39747,30094,18295,8947,3450,299301
LGA21670,0,0,0,0,3,0,0,0,0,3,0,8,0,30,7,4,9,0,0,62,0,0,0,0,0,3,0,0,0,3,0,0,0,0,6,9,25,12,3,49,0,0,0,0,0,3,0,0,0,4,0,0,0,3,3,0,5,0,0,14,0,0,0,0,0,3,3,0,0,6,0,0,3,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,25,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,15,0,0,0,0,0,0,0,0,0,3,0,3,3,20,14,14,15,14,3,82,34,78,74,185,182,199,226,149,60,1183,586,1426,1314,2233,1725,2038,2046,1173,448,12995
LGA21750,0,0,0,0,0,3,0,0,0,4,0,10,5,27,9,3,3,0,0,59,0,0,0,3,3,0,0,0,0,9,0,4,0,11,10,10,23,16,4,81,0,0,0,0,3,4,0,0,0,6,0,0,3,0,7,0,3,0,0,18,0,0,0,0,0,3,0,0,0,4,0,0,3,4,3,0,0,0,0,16,0,0,5,12,0,0,0,0,0,17,0,0,0,3,5,3,0,0,0,15,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,11,9,4,0,30,0,0,0,12,3,0,0,0,0,17,0,0,0,0,0,0,7,3,4,13,0,3,0,5,0,4,0,0,0,16,0,7,11,71,33,22,31,12,4,186,48,113,167,334,247,292,272,174,66,1712,1166,2528,2281,4475,2823,3144,2567,1402,585,20972
LGA21830,0,0,0,0,0,0,0,0,0,3,0,4,4,33,8,5,3,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,22,3,0,41,0,0,0,3,3,4,0,0,0,11,0,0,0,8,0,0,0,0,0,13,0,0,0,0,0,4,0,0,0,3,0,0,0,8,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,6,3,4,5,0,0,20,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,7,0,0,0,0,3,0,0,0,0,5,0,0,5,26,6,16,7,7,4,78,63,134,108,279,234,241,248,148,45,1490,874,2055,1765,3017,2303,2391,1985,1191,468,16051
LGA21890,0,0,0,46,10,4,3,0,0,70,10,39,78,469,129,111,59,22,0,919,0,0,4,84,22,41,20,21,18,211,0,12,12,150,76,66,64,31,16,422,8,25,31,165,45,20,12,3,0,302,0,4,34,209,42,28,16,3,0,343,0,0,0,17,30,32,32,34,8,161,5,29,94,437,90,99,58,26,4,838,0,3,24,181,11,13,3,0,0,237,13,12,64,238,51,26,3,3,0,404,0,10,9,179,189,231,271,206,55,1150,0,0,3,79,76,30,25,26,3,246,11,47,58,284,87,38,18,9,3,562,28,67,474,996,537,434,164,70,25,2798,0,0,3,42,11,9,7,3,4,79,0,0,12,50,10,5,0,0,0,86,184,367,534,2380,612,503,375,255,113,5323,533,761,1246,3842,1413,1104,828,779,463,10963,8836,14600,18280,51398,19113,13592,9410,7744,3736,146719
LGA22110,0,0,0,12,4,5,6,0,0,30,4,13,8,59,33,31,9,3,3,171,0,0,0,8,0,5,15,0,7,34,0,3,0,12,11,48,87,54,14,230,0,7,0,3,0,0,0,0,0,14,0,6,12,18,22,22,16,3,0,100,0,0,0,0,0,5,8,0,0,14,0,0,0,16,0,9,3,3,0,34,0,0,8,25,0,0,0,0,0,33,0,0,3,9,5,4,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,19,10,15,30,7,0,78,0,4,7,32,8,3,4,0,0,63,0,3,0,9,9,13,11,4,0,50,0,0,7,4,4,3,0,0,0,14,0,13,9,67,46,60,85,66,24,370,168,327,376,766,628,738,839,456,235,4533,2228,4924,4114,8099,5771,7207,7505,3801,1391,45040
LGA22170,0,0,5,37,27,14,4,0,0,81,19,67,122,413,234,144,61,8,5,1071,0,4,13,95,49,101,51,25,12,341,0,32,28,177,204,301,259,182,77,1274,3,7,20,54,23,30,4,3,0,137,4,60,109,295,197,104,58,28,9,857,0,0,0,12,34,36,24,27,3,137,3,17,24,194,109,111,79,38,9,593,0,3,7,29,10,12,3,0,0,67,14,23,23,162,29,8,3,0,0,273,0,0,3,11,13,11,0,4,0,42,0,3,0,25,29,18,5,3,0,91,3,25,38,126,78,57,45,9,3,389,7,9,14,109,22,10,6,0,0,177,3,11,8,54,56,46,48,31,6,264,0,8,23,88,37,16,4,3,0,181,26,158,213,1008,514,447,395,227,80,3066,482,875,1018,2503,1354,1235,980,620,291,9361,9016,16012,16519,37052,18833,16105,11710,6187,2713,134143
LGA22250,0,0,0,0,0,0,0,0,0,3,0,11,6,20,7,8,3,0,0,51,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,6,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,4,11,3,3,7,0,3,27,0,0,0,0,0,0,3,0,0,4,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,6,10,3,0,42,29,63,61,159,113,140,160,123,40,881,509,1171,1070,1857,1422,1613,1550,982,378,10549
LGA22310,0,0,3,21,19,8,0,0,0,59,5,29,44,403,93,88,40,7,3,713,0,8,4,156,59,194,330,221,458,1440,3,19,28,129,87,80,88,48,33,512,20,71,56,193,48,44,34,19,3,485,11,90,340,976,689,511,339,170,81,3214,0,0,5,23,18,38,26,30,11,149,5,12,58,378,137,145,120,63,32,955,3,10,22,167,13,8,6,0,0,230,12,12,41,225,37,27,4,0,0,358,0,3,6,12,14,9,10,8,0,67,0,4,0,34,25,21,14,5,4,119,30,147,109,345,154,113,50,19,13,978,8,28,127,341,112,76,34,9,3,729,0,0,3,25,16,11,9,4,5,73,0,3,10,53,35,31,17,3,0,151,80,477,524,3108,1590,1538,1628,933,534,10415,355,549,737,2234,947,796,633,499,357,7103,8601,17169,17633,42185,18964,15102,10525,6465,4240,140875
LGA22410,0,0,0,3,0,3,0,0,0,8,3,4,11,42,13,17,8,0,0,93,0,0,0,0,0,5,0,0,0,3,0,0,0,3,4,24,13,13,3,70,0,0,3,0,0,0,0,0,0,3,0,3,10,18,12,6,0,0,0,46,0,0,0,0,0,4,0,0,0,5,0,5,0,7,5,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,3,3,7,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,7,0,3,0,23,0,0,0,6,3,0,0,0,0,6,0,0,0,0,0,0,7,0,0,14,0,3,0,5,3,6,0,0,0,18,0,7,0,22,14,19,18,8,6,94,68,132,169,371,289,320,279,191,62,1888,977,2198,2097,3807,2962,3173,2456,1328,555,19557
