LGA_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
LGA21270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,20,6,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,21,0,0,0,8,8,12,5,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA21370,0,0,0,0,3,3,8,8,0,20,0,0,0,3,0,3,0,0,0,10,4,0,3,63,4,0,0,3,3,80,0,0,0,9,0,0,0,0,0,9,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,5,0,15,5,6,9,10,4,50,0,0,0,3,3,17,64,42,18,155,0,0,0,6,0,0,0,0,0,8,0,0,11,17,3,0,0,0,0,27,0,0,0,0,0,0,0,0,0,3,0,0,4,5,5,4,0,0,0,20,0,0,0,0,0,3,10,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,11,6,15,47,14,7,106,3,14,34,106,73,89,39,18,9,387,0,0,0,0,3,0,6,3,0,16,0,0,0,0,0,0,0,0,0,3
LGA21450,0,0,0,5,14,15,25,20,3,84,0,3,7,28,10,7,0,0,0,55,36,85,100,1150,114,96,71,13,8,1673,4,5,8,64,14,3,13,5,3,115,0,0,3,37,7,4,3,0,0,49,0,0,3,15,0,3,0,0,0,20,3,14,7,62,36,30,23,36,6,219,0,3,3,17,43,72,97,85,32,358,0,11,0,25,7,3,7,0,0,44,0,3,13,30,12,0,0,0,0,57,0,4,3,17,12,9,3,0,0,38,4,11,22,72,27,12,13,10,5,180,0,0,0,3,10,27,41,10,8,90,3,11,37,162,81,67,38,13,0,415,0,3,3,20,0,0,3,0,0,36,0,3,6,12,8,0,0,0,0,32,0,4,4,38,40,140,234,115,31,618,39,166,208,578,309,202,97,33,12,1640,0,3,0,14,24,14,27,10,0,97,3,19,18,80,16,10,0,0,0,141
LGA21610,0,18,22,80,108,185,207,142,27,793,8,29,42,195,80,77,21,10,0,455,203,1263,1573,10315,2234,1360,642,267,76,17931,11,60,65,415,140,79,50,17,7,836,11,174,198,326,101,43,19,3,0,885,8,88,63,255,114,73,27,17,4,651,9,45,7,134,89,97,89,63,18,544,0,11,24,83,178,378,511,348,119,1658,4,10,10,71,11,5,6,0,0,115,3,49,48,206,77,23,5,0,3,418,6,26,29,208,196,155,67,24,4,707,15,136,179,487,279,275,116,29,10,1531,0,0,3,12,29,100,157,65,17,386,0,108,195,986,578,700,366,168,70,3172,0,9,11,79,32,26,14,3,3,176,4,27,42,192,29,11,3,0,0,304,0,10,13,63,70,233,456,274,106,1239,169,1166,1333,2459,1033,636,219,80,20,7112,0,10,9,54,80,73,86,49,8,361,60,429,433,1084,227,106,47,7,3,2397
LGA21670,0,0,0,3,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,3,4,3,0,36,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,9,0,0,0,3,0,0,7,4,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,11,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,3,14,35,11,8,79,0,3,7,15,25,27,14,9,3,102,0,0,0,0,0,5,4,5,4,18,0,0,0,4,0,0,0,0,0,6
LGA21750,0,0,0,3,0,3,11,3,0,20,0,0,0,6,0,3,0,0,0,9,3,4,0,34,3,4,0,4,0,60,0,0,0,3,3,0,0,0,0,14,0,3,3,3,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,3,8,0,28,0,0,0,0,0,3,30,15,13,61,0,0,0,6,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,4,0,0,23,0,0,0,0,0,3,7,0,0,17,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,9,0,0,0,6,7,15,29,17,3,73,0,19,23,79,40,43,27,5,3,241,0,0,0,0,0,3,0,0,0,10,0,0,0,10,0,0,0,0,0,10
LGA21830,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,0,0,0,15,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,9,0,0,0,3,0,14,0,0,0,0,0,4,3,3,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,4,3,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,38,29,7,94,4,16,37,69,75,38,20,3,0,254,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0
LGA21890,10,42,57,225,355,681,1319,1474,399,4553,6,11,66,168,24,28,14,4,0,329,112,161,637,3211,183,122,71,38,17,4561,8,4,41,172,29,24,11,11,0,297,9,27,55,407,49,28,5,0,0,581,14,31,19,170,49,26,4,8,3,328,0,9,8,275,65,59,23,13,16,465,0,26,50,283,305,671,1651,2240,907,6130,3,11,29,183,42,11,6,0,3,298,3,9,26,121,15,3,7,3,0,186,4,9,31,232,278,272,197,110,35,1170,7,30,146,448,95,112,57,17,5,906,0,0,0,20,16,77,113,85,34,355,0,11,33,115,26,24,17,15,6,243,0,3,5,22,9,4,0,3,0,40,3,26,188,626,14,11,0,0,0,864,0,4,6,60,22,18,32,22,7,173,19,67,144,1307,331,207,74,29,6,2197,0,0,3,39,12,14,8,9,0,83,23,47,83,351,27,11,4,0,0,543
LGA22110,0,0,0,0,3,15,19,9,0,41,0,0,0,6,3,4,0,3,0,15,5,13,3,81,8,11,8,12,0,134,0,0,0,9,3,0,6,0,0,22,0,0,0,3,0,0,0,0,0,8,0,0,0,3,3,0,0,0,0,8,0,9,0,5,11,11,16,9,3,69,0,0,0,3,8,17,47,58,24,157,0,0,0,0,0,0,0,0,0,11,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,24,6,8,5,0,0,49,0,0,0,0,4,12,21,12,3,52,0,0,0,0,3,0,12,0,0,12,0,0,0,3,3,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,3,0,9,11,59,130,77,22,308,3,12,9,98,72,112,84,42,4,440,0,0,0,3,6,9,22,4,0,45,0,0,0,3,0,0,0,0,0,6
LGA22170,3,19,18,28,56,80,123,109,29,471,3,0,52,48,15,22,13,0,0,149,21,123,127,896,229,155,104,53,16,1712,3,7,9,72,33,12,9,4,0,159,0,3,4,38,10,9,3,3,0,73,0,0,0,7,4,3,3,0,0,23,3,11,4,121,67,67,86,55,24,448,0,4,8,59,54,120,179,139,40,599,3,7,4,38,13,11,3,0,0,75,0,4,3,46,10,0,0,0,0,63,0,0,0,39,46,29,20,3,0,133,3,18,30,96,63,79,27,6,0,322,0,0,0,3,13,33,29,28,8,101,0,9,20,123,46,74,43,18,5,341,0,0,0,23,4,11,3,0,0,41,0,0,0,15,0,0,0,0,0,19,0,8,3,28,50,137,183,173,105,691,40,225,363,1117,600,488,221,68,22,3144,0,5,8,41,38,34,59,32,11,238,3,3,14,49,17,5,8,3,0,103
LGA22250,0,0,0,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,4,3,30,0,0,3,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,9,15,11,3,34,0,3,7,14,13,12,12,4,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA22310,0,17,20,77,173,287,597,718,178,2075,9,43,118,205,67,75,39,19,5,571,201,445,591,4114,379,246,155,88,39,6258,0,14,80,281,41,21,15,10,0,462,4,9,14,145,29,7,0,4,0,209,0,5,3,16,5,5,10,5,3,52,3,15,20,406,84,48,41,27,21,661,0,22,13,130,82,144,251,281,152,1074,27,98,51,334,95,35,24,13,3,668,8,71,113,385,92,34,9,3,0,706,0,0,3,35,33,35,30,26,7,163,7,30,168,505,152,137,73,37,10,1118,0,0,0,9,13,17,24,12,5,86,0,3,15,104,51,24,24,19,3,243,3,3,6,10,13,3,4,6,3,48,0,3,66,193,6,0,0,0,0,269,3,15,12,61,25,47,52,20,16,236,24,126,185,872,395,308,133,44,26,2116,0,3,0,45,21,13,25,12,5,133,0,8,21,92,7,7,0,4,0,141
