LGA_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
LGA21270,19,0,24,9,7,14,4,12,0,87,0,0,0,0,0,0,0,0,0,0,0,3,6,3,3,0,0,0,0,11,18,3,13,3,7,4,8,12,0,68,382,317,185,146,113,76,69,104,11,1421
LGA21370,91,10,238,96,50,72,34,107,17,723,3,0,0,3,0,0,0,0,0,10,22,7,11,6,9,9,9,6,3,93,76,28,51,50,17,35,37,91,47,437,1626,1963,1762,1237,771,546,493,928,133,9465
LGA21450,183,47,572,250,253,215,129,175,19,1836,3,3,3,0,0,0,6,3,0,23,48,67,47,54,57,23,42,25,17,383,103,47,194,92,76,84,104,114,109,909,3434,5933,6293,3506,3509,1934,1661,1995,392,28669
LGA21610,511,141,1666,742,614,582,369,578,46,5251,5,3,17,11,14,14,21,25,5,113,139,161,213,200,182,101,171,120,45,1335,178,172,490,252,292,227,320,381,402,2709,9689,18838,16548,11141,11576,5871,5871,6341,1388,87260
LGA21670,15,0,83,23,10,30,5,28,3,207,0,0,0,0,0,0,0,0,0,4,4,5,4,6,8,0,7,3,0,41,27,5,24,13,7,17,8,33,9,153,330,454,555,403,198,158,123,266,38,2528
LGA21750,50,7,151,46,27,28,27,92,0,425,6,0,0,3,0,0,0,4,0,14,18,6,6,13,8,3,4,15,4,80,47,9,42,26,8,21,19,67,35,274,952,1075,969,835,486,299,311,701,93,5726
LGA21830,52,8,96,21,24,18,9,44,0,273,3,0,0,0,0,0,0,0,0,3,21,8,4,5,5,3,8,3,3,51,52,13,21,22,12,8,18,48,19,210,1029,762,641,443,255,166,199,434,60,4001
LGA21890,234,83,932,341,237,205,78,201,24,2342,10,3,5,9,7,3,8,23,0,66,164,374,100,113,180,73,39,49,31,1133,104,160,163,103,106,105,72,140,185,1137,7015,20170,5908,5134,6105,3175,1364,2553,745,52171
LGA22110,106,14,288,123,92,95,17,113,5,857,0,0,0,0,0,0,0,6,3,8,27,37,13,25,14,3,13,13,3,152,72,21,67,56,35,57,52,86,43,494,1552,2316,1919,1570,1052,642,493,955,164,10652
LGA22170,235,77,880,376,324,294,121,254,18,2569,5,3,5,7,8,3,3,13,3,41,92,109,77,83,88,33,47,36,22,596,99,95,208,148,113,121,125,169,165,1238,4742,9352,8418,5512,4961,2836,1906,2556,619,40897
LGA22250,24,3,55,20,20,24,7,26,3,178,0,0,0,0,0,0,0,0,0,3,8,0,3,3,3,3,3,0,0,22,43,10,26,9,10,12,15,36,9,164,572,466,405,277,224,126,121,247,24,2471
LGA22310,272,84,821,306,223,216,46,135,19,2124,9,9,4,11,4,3,0,10,3,40,166,309,60,82,154,88,21,45,18,939,106,162,96,57,86,98,24,54,158,847,9408,22371,4899,4289,6475,3443,818,1619,801,54115
LGA22410,34,11,105,40,34,34,18,49,3,331,0,0,0,0,0,0,0,5,0,7,6,7,3,5,10,0,7,3,3,49,37,15,26,20,16,17,49,43,24,251,727,1026,927,652,418,191,422,445,74,4881
LGA22490,43,4,110,58,36,41,18,36,4,348,3,0,0,0,4,0,0,0,0,10,12,21,17,9,8,5,11,3,0,92,37,26,59,25,26,24,19,40,33,281,959,1474,1481,831,730,333,362,497,110,6787
LGA22620,158,52,724,286,202,218,70,225,16,1953,0,6,5,0,3,4,7,14,0,38,56,97,52,49,45,29,31,35,8,401,119,80,161,116,95,96,77,158,93,991,3702,9112,5619,4184,3372,1822,1302,2182,395,31691
LGA22670,197,32,985,372,195,205,226,364,32,2620,3,5,21,12,6,8,21,37,8,121,54,72,77,72,68,49,95,92,22,592,64,66,221,146,105,100,192,246,246,1391,2940,7412,6020,4645,4465,2526,3001,3760,720,35490
LGA22750,373,116,1510,661,398,419,181,396,49,4116,7,13,10,12,6,6,8,14,0,78,121,230,118,148,140,61,76,71,27,994,158,151,323,216,154,186,198,293,253,1938,8028,20109,12161,9485,7459,4239,2731,4239,1016,69461
LGA22830,125,18,369,137,115,125,45,134,8,1082,3,3,3,0,0,3,0,10,0,28,30,39,30,16,24,13,14,29,3,188,86,50,101,58,47,68,63,125,86,684,2249,4260,2778,2061,1604,881,687,1380,223,16124
LGA22910,49,11,113,39,27,18,16,38,3,306,0,0,0,0,0,0,0,3,0,4,16,19,3,12,10,7,0,12,0,79,22,21,25,13,14,6,16,32,16,172,728,1128,745,573,431,201,155,349,73,4373
LGA22980,16,0,26,11,9,3,7,17,0,92,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0,8,8,3,3,3,3,3,5,13,7,52,274,280,190,173,123,42,78,130,12,1311
LGA23110,144,47,426,216,181,140,69,113,19,1349,4,4,9,3,3,0,0,9,4,29,79,124,44,46,94,30,27,20,13,473,70,63,107,77,86,50,70,78,116,726,4620,9547,4084,2718,3648,1619,1141,1383,478,29235
LGA23190,44,14,137,54,45,54,16,34,0,403,0,0,0,0,0,0,0,3,0,8,7,5,7,13,6,7,3,5,4,51,29,6,42,15,16,21,11,28,21,187,900,1455,972,736,607,344,232,312,78,5627
LGA23270,267,58,1012,457,369,361,295,330,32,3179,4,8,11,8,7,4,17,19,4,77,76,116,107,131,108,59,115,72,26,812,131,108,294,213,181,159,216,218,222,1742,5094,10324,9000,6938,6486,3281,3713,3485,845,49151
LGA23350,48,10,116,23,26,31,13,60,3,329,0,0,0,0,0,0,3,0,0,10,13,15,7,9,14,3,0,9,3,63,29,25,27,19,25,15,26,23,22,212,855,1346,849,591,500,256,234,392,78,5095
LGA23430,307,112,903,369,310,288,118,173,32,2612,4,7,9,3,10,4,3,14,0,53,146,184,88,96,137,71,52,55,26,859,118,105,168,109,146,115,72,103,185,1120,7814,16432,7751,5073,6758,3410,1533,2146,737,51650
LGA23670,278,84,903,380,367,332,111,218,28,2705,3,6,7,8,0,4,4,12,0,46,105,119,91,81,109,56,37,43,17,662,110,100,188,93,124,117,96,112,201,1133,6740,14696,8964,5572,7005,3498,1829,2475,729,51508
LGA23810,80,28,394,159,157,141,46,145,14,1167,0,0,3,3,0,3,0,8,0,21,33,34,33,21,39,13,15,20,15,224,62,44,132,91,62,57,66,135,83,737,1858,4166,4252,2555,2127,989,1085,1378,331,18734
LGA23940,16,0,20,9,12,6,0,19,0,83,0,0,0,0,0,0,0,0,0,0,4,4,3,0,3,0,0,0,0,22,24,3,10,14,7,5,7,20,10,103,553,276,175,169,130,62,90,179,27,1661
LGA24130,79,24,234,95,76,68,28,74,3,684,3,0,0,0,0,0,0,7,0,15,62,84,27,54,46,11,12,18,4,309,41,63,91,53,50,45,26,70,42,473,2384,4454,2741,1753,1588,734,510,790,184,15142
LGA24210,222,56,536,230,178,210,41,113,18,1607,8,4,6,11,10,10,3,13,3,58,99,133,46,51,115,56,26,23,14,562,101,97,102,72,78,77,43,57,139,760,6748,13847,4146,3074,4870,2759,676,1248,588,37946
LGA24250,30,3,61,27,16,32,6,26,0,204,0,0,0,0,0,0,0,0,0,4,6,13,4,4,3,0,0,6,0,38,11,3,21,5,9,11,5,13,10,105,444,533,499,303,234,153,106,236,41,2544
LGA24330,177,52,567,271,129,158,61,133,15,1571,0,3,7,5,8,0,4,14,3,40,105,179,50,72,115,54,37,37,13,657,63,81,74,68,42,47,48,90,104,613,4472,11108,3153,3047,3598,1987,1014,1775,466,30630
LGA24410,213,67,646,258,239,223,65,151,17,1881,3,0,8,4,3,4,3,19,0,45,80,150,62,82,92,34,24,35,21,576,75,83,134,69,83,82,46,83,121,776,5186,11894,6276,4242,4907,2316,1002,1643,468,37931
LGA24600,266,82,1045,457,183,174,15,136,19,2378,8,13,15,25,7,17,0,13,5,103,184,306,42,89,134,85,18,46,31,934,100,159,90,115,70,41,22,84,132,816,7666,23825,3623,4665,5577,3244,516,2066,796,51965
LGA24650,248,47,697,354,294,250,186,236,35,2342,4,0,4,0,9,4,11,4,6,48,66,78,69,83,103,40,82,45,23,593,100,72,208,127,137,127,171,165,170,1283,4172,8050,6754,4707,5432,2448,2684,2372,658,37274
LGA24780,126,18,307,119,97,109,32,112,12,934,10,0,3,0,3,4,5,3,0,27,18,27,13,22,13,8,13,12,9,143,61,46,94,63,47,74,72,105,71,632,1839,3292,2267,1818,1329,854,632,1031,235,13297
LGA24850,72,11,231,97,86,83,42,67,10,706,0,3,0,3,4,3,0,3,0,18,43,21,20,32,25,6,24,22,5,201,52,38,116,48,70,36,67,80,40,546,1433,2061,2490,1567,1339,619,751,843,172,11285
LGA24900,79,9,166,70,44,50,35,93,11,558,0,0,0,4,0,0,0,3,0,15,15,7,7,9,0,3,8,11,3,76,57,18,59,46,16,42,35,88,36,387,1235,1300,1225,856,587,344,393,804,111,6859
LGA24970,284,76,890,325,268,229,99,219,21,2411,17,5,11,5,8,10,4,17,3,81,149,214,87,94,161,72,29,54,31,890,107,145,142,92,110,86,69,92,200,1044,8736,22640,6440,4938,7832,3928,1488,2653,930,59581
LGA25060,192,83,543,273,222,163,54,116,21,1674,6,9,5,4,9,5,8,7,3,53,128,211,48,91,154,56,30,36,18,774,113,120,106,88,117,73,46,85,131,875,6779,15687,4653,3598,5391,2433,959,1493,651,41638
LGA25150,55,15,129,54,59,47,31,40,3,431,0,0,0,0,3,0,3,0,0,7,19,28,20,21,18,9,21,10,5,145,36,21,54,33,35,24,27,48,28,309,1254,2138,1829,1106,1114,462,578,564,159,9208
LGA25250,262,85,1028,369,270,256,112,192,23,2605,0,6,11,9,14,13,11,27,8,97,198,436,107,145,209,109,46,52,39,1355,115,220,197,130,141,88,76,105,240,1316,7633,23360,7177,5764,7012,3413,1658,2691,924,59642
LGA25340,344,84,1003,460,295,290,80,247,25,2829,0,11,11,9,4,3,3,13,0,56,102,129,63,82,84,46,28,38,16,592,133,140,254,145,125,149,80,156,153,1319,6759,11600,9057,5518,4593,2980,1245,2517,604,44864
LGA25430,24,9,85,37,13,17,4,35,3,226,0,0,0,0,0,0,0,3,0,3,18,41,6,11,12,3,3,3,3,97,32,17,22,23,21,14,23,30,9,190,772,1682,809,655,433,233,174,380,71,5210
LGA25490,59,3,117,41,21,28,8,44,3,321,3,4,0,0,0,0,0,0,0,12,13,8,10,8,4,0,11,8,0,66,66,12,36,13,11,16,11,35,15,227,1197,1026,735,534,372,205,193,458,81,4808
LGA25620,35,4,86,30,22,21,13,36,3,250,3,0,0,0,0,0,0,0,0,6,19,9,6,14,3,0,3,3,3,68,36,15,40,19,13,10,29,29,19,206,634,761,806,548,380,172,195,320,72,3884
LGA25710,114,34,280,144,133,88,24,43,11,868,4,0,0,0,6,0,0,0,0,14,70,78,27,56,63,22,7,15,6,341,71,34,76,39,52,49,13,26,54,425,3925,7757,3697,2233,2713,1144,464,719,277,22922
LGA25810,40,0,66,30,9,18,9,30,0,199,0,0,0,0,0,0,0,0,0,3,3,5,0,7,3,0,3,7,0,22,22,13,20,16,11,18,4,35,17,149,554,544,421,506,200,145,123,299,39,2825
LGA25900,318,90,716,298,207,161,21,78,19,1911,9,11,0,3,5,4,0,0,0,44,216,312,42,78,144,65,11,20,39,933,105,154,73,51,74,64,20,29,134,695,9221,20060,3650,3466,5040,2762,437,1072,704,46412
LGA25990,12,0,33,14,11,8,3,11,0,85,0,0,0,0,0,0,0,0,0,0,6,3,0,6,0,3,0,0,0,14,11,3,12,8,7,0,14,10,8,68,363,273,239,217,141,58,100,141,25,1560
LGA26080,5,0,17,4,0,0,0,3,0,30,0,0,0,0,0,3,0,0,0,4,3,3,0,0,9,0,0,0,0,18,3,0,0,0,0,0,0,0,3,17,131,314,90,65,81,39,12,30,20,785
LGA26170,59,13,171,46,39,49,25,68,4,477,3,4,3,0,0,4,0,3,0,17,22,18,18,9,11,6,12,8,8,110,79,23,62,24,25,39,34,66,34,390,1455,1512,1425,868,679,405,454,660,109,7578
LGA26260,33,8,105,53,29,27,9,34,0,310,0,0,0,0,0,0,0,3,0,6,12,10,11,12,9,3,5,9,0,53,50,13,23,20,11,16,12,19,24,186,1006,1054,748,559,421,259,187,331,59,4617
LGA26350,268,80,556,270,171,129,16,60,9,1558,7,8,0,8,3,3,0,11,0,42,191,293,49,71,151,92,7,24,30,902,81,119,42,59,75,65,17,30,109,602,8793,20923,2786,2854,5033,3090,324,907,705,45421
LGA26430,40,3,57,22,21,12,6,20,3,188,0,3,0,0,0,0,0,0,0,7,8,4,4,8,4,0,7,3,0,42,19,14,13,6,7,4,9,31,18,121,574,579,461,317,231,108,116,286,50,2730
LGA26490,63,21,185,64,51,61,6,42,4,491,0,3,0,0,0,3,0,0,0,9,22,38,18,27,16,17,9,6,7,162,37,30,43,18,23,20,8,23,34,245,1740,3323,1687,1074,972,600,235,486,153,10263
LGA26610,49,14,123,37,34,40,8,45,10,350,4,0,0,0,6,0,0,9,0,18,13,11,9,5,3,0,3,5,0,47,42,19,32,20,14,22,22,63,29,261,836,1094,837,578,422,276,213,443,89,4782
LGA26670,19,0,40,9,8,8,5,12,0,106,0,0,0,0,0,0,0,0,0,3,3,4,3,3,3,0,3,0,0,22,20,5,20,11,4,4,7,12,12,97,400,352,308,180,154,68,91,146,31,1728
LGA26700,64,7,196,83,46,77,16,45,4,551,4,4,0,0,0,0,0,9,0,18,20,18,15,14,15,3,7,11,0,97,35,15,40,29,10,23,41,41,27,257,1216,2107,1409,1149,811,466,374,555,99,8191
LGA26730,76,16,301,108,62,92,24,85,4,770,0,4,4,0,0,0,0,5,0,21,21,25,13,15,13,4,14,16,3,128,30,18,47,36,26,18,27,58,34,291,1057,2761,1760,1286,975,618,362,712,111,9640
LGA26810,103,13,273,102,60,66,36,83,7,743,3,0,0,0,0,0,0,6,0,10,29,23,23,13,7,4,10,12,10,137,82,28,63,38,38,44,46,76,43,455,1781,2596,2357,1449,975,510,580,848,169,11270
LGA26890,9,0,16,3,3,6,0,12,0,52,0,0,0,0,0,0,0,0,0,0,3,4,0,4,3,0,0,0,0,10,9,4,0,4,0,4,6,12,6,41,344,207,93,115,69,36,45,110,10,1033
LGA26980,257,62,717,317,202,190,57,149,11,1963,15,4,14,11,10,4,0,14,3,72,165,235,61,84,156,76,16,44,31,889,99,143,113,84,93,83,41,80,154,884,8439,22046,5750,4895,7079,3532,1063,2084,757,55639
LGA27070,357,89,1322,569,484,447,275,334,38,3905,3,3,10,8,14,14,22,27,7,110,104,117,121,129,139,82,142,98,29,965,126,120,331,231,218,210,220,261,240,1947,5840,13029,10179,7511,7444,4148,3434,3740,913,56235
LGA27170,67,20,266,127,75,86,55,89,3,791,0,3,3,0,3,0,5,5,0,18,27,17,19,26,24,9,17,10,0,156,27,14,57,50,35,36,45,56,59,382,1319,2728,2234,1765,1420,753,639,755,181,11794
LGA27260,403,130,1225,590,437,412,418,380,40,4022,12,5,10,18,8,8,14,27,3,107,105,176,121,193,163,87,178,98,36,1158,123,124,247,171,193,139,287,200,291,1778,7758,16736,9753,8268,9319,4496,4946,4111,1119,66508
LGA27350,192,56,540,255,137,128,15,49,8,1372,7,4,3,7,3,3,0,3,3,29,191,382,39,103,133,64,8,22,40,981,62,141,47,69,61,42,18,34,102,570,7108,20392,2798,3011,4013,2225,370,827,594,41343
LGA27450,299,76,904,413,345,307,92,227,22,2689,4,8,8,9,0,3,0,10,0,54,132,136,85,110,112,40,47,36,21,713,151,104,274,154,120,100,118,158,193,1376,6739,11973,10531,6073,5564,2735,1802,2859,724,48992
LGA27630,16,0,18,14,5,3,0,11,0,77,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,9,23,3,12,11,0,4,4,6,7,71,388,324,210,252,117,53,63,110,22,1536
LGA29399,4,0,9,0,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,3,3,12,63,36,35,37,13,15,19,32,9,270
LGA29499,9,3,34,8,3,3,4,6,0,75,0,0,0,0,0,0,0,0,0,0,3,4,5,7,3,3,0,6,0,34,4,5,15,4,0,0,9,14,15,66,132,367,223,181,112,65,72,142,34,1337
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,4,0,22
