LGA_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
LGA21750,8536,8743,17277,3558,1711,5263,1206,2427,3629,322,328,652,230,162,398,5310,4634,9946,2571,3488,6054,4.3,3.5,4,62.2,53,57.6,59.6,51.1,55.2,113,164,279,90,170,254,546,929,1468,518,892,1408,2255,1101,3359,74,124,198,142,184,322,2473,1413,3881,8307,8296,16603,1194,1247,2441,6021,5975,11998,3037,3117,6156
LGA21830,6548,6579,13125,2943,1323,4267,693,1689,2381,242,270,514,165,129,296,4045,3415,7457,1964,2636,4605,4.1,3.8,4,61.8,51.9,56.8,59.2,49.9,54.6,65,75,134,58,130,194,339,702,1041,334,584,923,1611,723,2330,53,95,154,70,141,212,1738,960,2697,6507,6395,12900,766,783,1549,4934,4846,9785,1985,1994,3982
LGA21890,58933,64348,123281,25220,17202,42425,8847,15584,24427,1547,1910,3459,2875,2559,5435,38484,37261,75743,16199,22525,38725,7.5,6.9,7.2,65.3,57.9,61.4,60.4,53.9,57,4615,5539,10151,1450,2896,4342,11620,14172,25789,4807,5595,10395,7996,3987,11979,337,503,846,636,888,1516,8966,5377,14345,52561,56099,108661,11362,12423,23781,34567,37790,72355,26777,28352,55123
LGA22110,18504,19391,37892,5825,3085,8910,2204,4555,6756,648,692,1338,651,505,1153,9324,8833,18156,7512,8783,16297,7,5.7,6.4,50.4,45.6,47.9,46.9,43,44.9,245,278,524,195,478,675,1075,1935,3007,1211,1976,3184,5281,2292,7573,157,364,514,348,433,782,5785,3086,8878,17071,17554,34626,2650,2875,5532,12015,12089,24099,6849,7482,14332
LGA22170,52474,56637,109114,25453,13715,39165,6197,14710,20908,1451,1885,3336,2191,2175,4365,35291,32480,67772,13749,20513,34260,6.2,6.7,6.4,67.3,57.3,62.1,63.1,53.5,58.1,1106,1318,2419,660,1375,2028,4481,6922,11407,4453,6702,11147,14851,7404,22255,419,860,1272,841,1347,2184,16107,9612,25716,50862,53412,104271,8158,8738,16894,33792,35205,68996,22542,24506,47056
LGA22250,4385,4481,8870,1767,767,2536,455,1114,1574,155,138,295,120,95,220,2505,2111,4617,1547,2034,3581,4.8,4.5,4.8,57.1,47.1,52.1,54.2,45.1,49.7,20,31,55,28,67,93,165,387,550,184,367,550,1144,504,1642,36,83,115,47,88,132,1225,669,1900,4280,4315,8594,451,491,944,3251,3188,6442,1302,1406,2708
LGA22310,54926,60185,115105,26641,16224,42863,7928,15836,23767,1222,1783,3002,2232,2047,4278,38024,35886,73909,14118,21355,35472,5.9,5.7,5.8,69.2,59.6,64.2,65.2,56.2,60.5,5642,5747,11388,1530,2765,4293,14569,16477,31048,4798,6369,11164,6523,3219,9740,203,366,572,684,1048,1736,7412,4634,12049,51914,55784,107702,10798,11434,22233,33851,36670,70517,26620,28274,54897
LGA22410,8134,8240,16377,3215,1431,4649,915,2114,3027,329,307,635,306,226,526,4762,4079,8837,2677,3482,6158,6.4,5.5,6,58.5,49.5,54,54.8,46.7,50.7,75,86,160,66,173,240,377,728,1101,383,756,1144,2234,1050,3282,89,157,247,123,169,290,2437,1384,3823,7825,7816,15639,919,1011,1938,5888,5757,11651,2510,2708,5215
LGA22490,8491,8274,16769,4202,1776,5981,987,2570,3557,307,353,657,261,240,501,5755,4942,10699,2282,2897,5176,4.5,4.9,4.7,67.8,59.7,63.8,64.7,56.8,60.8,133,196,328,135,263,402,591,1074,1663,641,943,1582,2751,1161,3912,72,149,220,124,206,330,2948,1517,4462,9130,8791,17927,1069,1036,2107,6281,5922,12200,3358,3362,6722
LGA22620,42651,46628,89283,18041,9611,27652,5477,12545,18021,1327,1676,3000,1787,1540,3328,26628,25372,52001,13017,18053,31074,6.7,6.1,6.4,62.4,54.4,58.2,58.3,51.1,54.5,986,1199,2187,750,1507,2255,3877,6257,10134,2986,4330,7320,11471,5813,17280,401,753,1152,587,1015,1603,12456,7582,20038,41117,43151,84267,7266,8217,15484,26888,27948,54838,19078,21223,40302
LGA22670,63433,61166,124599,24534,12807,37340,8784,10876,19657,1759,1548,3308,3759,3130,6897,38844,28356,67196,20611,29169,49783,9.7,11,10.3,61.2,46.4,53.9,55.3,41.3,48.4,2323,2173,4501,494,806,1302,7119,7667,14782,5310,5431,10744,9307,4611,13919,458,662,1128,829,1088,1912,10591,6361,16956,58488,57603,116089,12066,10696,22766,37303,38039,75345,29889,26812,56698
LGA22750,91500,99671,191166,38678,20323,58999,11737,26893,38630,2643,3302,5949,3825,3228,7057,56888,53745,110631,29110,39941,69055,6.7,6,6.4,62.2,53.9,57.9,58,50.7,54.2,3072,3068,6141,1455,3019,4472,10361,14803,25165,7525,10700,18229,22886,11861,34746,726,1300,2019,1278,2017,3300,24887,15176,40066,85747,91551,177291,16301,17836,34133,56561,60469,117028,41130,45083,86213
LGA22830,25114,26014,51131,10590,5681,16278,2716,6267,8985,838,879,1714,1044,812,1857,15193,13641,28828,7821,10209,18031,6.9,6,6.4,60.5,52.4,56.4,56.3,49.3,52.8,447,477,922,304,662,968,1601,2746,4348,1484,2469,3955,5841,2944,8790,196,394,588,293,495,792,6340,3827,10166,24034,24357,48393,3948,4236,8187,16708,16871,33577,9887,10437,20325
LGA22910,6211,6723,12934,2133,1121,3250,896,1701,2603,240,259,492,194,158,345,3461,3235,6696,2200,2860,5060,5.6,4.9,5.2,55.7,48.1,51.8,52.6,45.8,49.1,240,284,524,135,268,398,646,988,1630,510,808,1315,1504,638,2145,61,83,141,120,128,246,1685,846,2526,5869,6142,12004,746,903,1654,4207,4331,8533,2147,2453,4597
LGA22980,2406,2453,4859,964,451,1410,221,515,741,70,76,145,73,49,124,1331,1097,2429,912,1168,2080,5.5,4.5,5.1,55.3,44.7,50,52.2,42.5,47.3,17,31,50,13,46,60,109,220,333,104,227,329,547,270,817,27,45,71,38,43,78,607,352,965,2346,2351,4691,251,271,520,1774,1736,3506,717,779,1500
LGA23110,35295,37135,72429,16882,10083,26968,4396,8464,12865,978,1167,2144,1562,1371,2931,23818,21086,44911,9448,13893,23339,6.6,6.5,6.5,67.5,56.8,62,63.1,53.1,58,1985,2225,4210,678,1377,2059,5657,7016,12675,2903,3623,6531,6838,2790,9630,186,339,528,505,664,1174,7531,3792,11328,33890,35257,69145,5777,5963,11738,23257,24454,47712,14674,15127,29805
LGA23190,7606,8308,15913,3524,1754,5285,943,2310,3252,269,311,579,269,203,468,5004,4578,9585,2159,3260,5421,5.4,4.4,4.9,65.8,55.1,60.2,62.3,52.7,57.3,124,156,282,87,225,309,476,1007,1479,513,876,1390,2055,1012,3068,81,144,227,101,178,276,2235,1338,3568,7613,7870,15481,1160,1386,2548,5349,5526,10876,2986,3365,6352
LGA23270,75669,77799,153462,32922,16988,49915,9647,16875,26526,2293,2288,4588,4164,3593,7756,49026,39755,88775,22105,33606,55708,8.5,9,8.7,64.8,51.1,57.8,59.3,46.5,52.8,2268,2231,4502,662,1402,2072,7013,9063,16075,5893,7864,13759,15630,7781,23413,616,1031,1643,1089,1591,2684,17335,10401,27733,76476,77553,154035,13062,13153,26211,51141,52309,103450,33182,33517,66692
LGA23350,6436,6674,13104,2715,1570,4284,828,1841,2668,257,280,531,167,164,333,3972,3855,7821,2054,2427,4475,4.2,4.3,4.3,61.7,57.8,59.7,59,55.3,57.1,158,229,385,134,273,404,543,995,1542,492,798,1287,1783,818,2598,63,103,160,92,139,224,1934,1055,2991,6245,6570,12817,806,905,1706,4558,4721,9287,2216,2464,4674
LGA23430,59923,64673,124594,29077,17122,46192,7713,16654,24369,1589,1951,3542,2318,1929,4247,40698,37648,78347,15961,23442,39402,5.7,5.1,5.4,67.9,58.2,62.9,64,55.2,59.5,3127,3379,6502,1143,2097,3247,9461,12272,21736,5845,7317,13165,12331,5212,17539,373,629,997,878,1373,2254,13581,7214,20790,58130,61669,119798,9403,9763,19167,40295,42916,83204,24892,26146,51030
LGA23670,61338,65713,127047,30831,17056,47880,7996,17851,25844,1581,2036,3618,2430,2158,4584,42829,39100,81929,15997,23956,39952,5.7,5.5,5.6,69.8,59.5,64.5,65.9,56.2,60.9,2924,2791,5719,988,1768,2757,8828,11091,19918,5603,7504,13103,14594,6607,21197,422,721,1148,855,1504,2361,15875,8832,24705,61938,64770,126701,7978,8635,16614,45657,47534,93189,21952,23536,45486
LGA23810,28975,31021,59998,11434,5419,16856,2997,7740,10736,906,996,1902,1850,1302,3157,17186,15464,32646,9381,13017,22395,10.8,8.4,9.7,59.3,49.9,54.4,52.9,45.6,49.2,436,474,911,289,600,891,1720,2960,4685,1775,2672,4450,9102,4058,13160,269,560,833,416,627,1044,9784,5249,15033,27697,28767,56463,4110,4616,8728,19950,20437,40386,10461,11641,22103
LGA23940,3252,3074,6322,1142,529,1673,291,642,939,118,108,232,90,65,158,1651,1347,2993,1242,1389,2629,5.5,4.8,5.3,50.8,43.8,47.3,47.7,41.6,45,20,26,46,25,69,86,136,275,405,165,265,427,802,315,1116,16,59,73,42,61,103,863,437,1298,3106,2946,6056,269,269,540,2400,2237,4639,839,855,1698
LGA24130,17861,18796,36659,8528,4160,12691,2290,5515,7806,557,685,1245,522,480,1002,11896,10842,22739,4780,6636,11408,4.4,4.4,4.4,66.6,57.7,62,63.7,55.1,59.3,711,749,1456,400,813,1219,2175,3220,5390,1629,2181,3815,4798,1863,6664,104,274,373,281,474,753,5176,2613,7786,18252,18718,36973,2472,2595,5065,12818,13040,25857,6902,7337,14243
LGA24210,46588,50939,97529,20244,11097,31346,6508,12619,19130,1026,1322,2343,1822,1636,3452,29599,26672,56269,15072,22078,37151,6.2,6.1,6.1,63.5,52.4,57.7,59.6,49.2,54.2,3906,3359,7264,1039,1663,2705,10204,11333,21529,4270,5227,9495,6719,2846,9571,188,366,555,613,1100,1711,7520,4316,11839,45893,48986,94877,6658,7120,13778,33654,35990,69643,17465,18661,36122
LGA24250,3508,3538,7049,1342,745,2084,486,970,1460,124,122,237,77,50,132,2026,1885,3913,1184,1386,2573,3.8,2.7,3.4,57.8,53.3,55.5,55.6,51.9,53.6,73,81,151,45,118,157,268,474,746,230,415,647,1155,380,1531,24,56,80,75,88,157,1254,519,1778,3222,3207,6429,617,686,1296,2222,2181,4409,1445,1550,2993
LGA24330,34661,34435,69093,15789,10585,26372,5461,7821,13283,884,1107,1990,2022,1740,3760,24153,21253,45402,8001,10702,18711,8.4,8.2,8.3,69.7,61.7,65.7,63.9,56.7,60.3,2777,2767,5545,810,1455,2263,7429,8224,15652,3037,3103,6139,4172,2106,6271,207,270,484,384,482,873,4763,2859,7623,29563,29494,59061,7511,7210,14720,17366,18074,35443,18006,17135,35137
LGA24410,42715,47052,89771,21790,11870,33660,5530,13126,18650,1133,1488,2620,1583,1446,3025,30033,27931,57961,10899,16937,27840,5.3,5.2,5.2,70.3,59.4,64.6,66.6,56.3,61.2,2118,2121,4236,966,1690,2659,6301,8525,14826,4135,5531,9672,10022,4655,14677,281,505,788,634,1071,1707,10940,6226,17170,42793,45628,88425,6537,7035,13573,29532,31506,61042,17725,19210,36938
LGA24600,61741,65494,127232,23663,18198,41864,8605,11554,20153,1394,1748,3134,3711,4292,8006,37371,35784,73154,17250,22585,39837,9.9,12,10.9,60.5,54.6,57.5,54.5,48.1,51.2,7431,8165,15601,1288,2004,3296,18389,19803,38192,4430,4703,9134,3209,1986,5198,210,300,506,490,632,1126,3908,2924,6828,34599,36208,70812,22000,24472,46469,12819,13111,25930,42951,46626,89581
LGA24650,50001,52096,102097,25261,13308,38566,5603,12601,18201,1543,1722,3263,2463,2477,4943,34862,30110,64968,12227,18969,31192,7.1,8.2,7.6,69.7,57.8,63.6,64.8,53,58.8,1453,1466,2917,469,970,1443,4876,7086,11965,3907,5405,9319,11613,6167,17776,396,765,1161,825,1249,2070,12827,8177,21005,51723,53216,104939,8387,8983,17375,33441,34033,67475,22960,24442,47406
LGA24780,21243,22402,43642,8754,4820,13573,2243,5314,7554,669,706,1374,998,783,1784,12664,11620,24286,6623,8859,15480,7.9,6.7,7.3,59.6,51.9,55.6,54.9,48.4,51.6,204,279,486,186,426,612,1219,2204,3425,1159,1931,3088,5049,2656,7703,221,411,633,316,434,751,5586,3505,9087,19800,20569,40364,3616,3789,7408,13501,13831,27330,8746,9451,18198
LGA24850,16185,16260,32439,7747,3686,11436,1729,4086,5813,578,581,1158,520,587,1112,10569,8944,19512,4301,5958,10262,4.9,6.6,5.7,65.3,55,60.1,62.1,51.4,56.7,249,263,509,157,362,516,845,1568,2419,1061,1754,2816,4757,2132,6885,148,305,448,240,410,651,5149,2841,7989,15608,15433,31032,2874,2756,5630,10143,9976,20116,7173,7270,14441
LGA24900,11854,12121,23981,4763,2237,6997,1076,2827,3900,443,467,908,319,308,629,6601,5835,12432,4247,5310,9557,4.8,5.3,5.1,55.7,48.1,51.8,53,45.6,49.2,77,136,214,87,215,301,525,1025,1546,633,1096,1722,3165,1457,4618,97,199,296,171,254,429,3425,1916,5346,11192,11290,22474,1774,1859,3635,7952,7918,15871,4385,4641,9024
LGA24970,74831,78884,153720,30538,17988,48525,10496,17653,28147,1704,2000,3707,3522,3436,6956,46264,41069,87328,24981,34081,59066,7.6,8.4,8,61.8,52.1,56.8,57.1,47.7,52.3,7906,6835,14741,1552,2384,3934,16675,18093,34765,6533,7839,14369,9005,4048,13049,321,536,863,788,1340,2124,10116,5925,16036,67381,70702,138082,15704,15655,31354,44745,47709,92461,35863,36153,72023
LGA25060,46365,50750,97118,22101,14164,36259,6091,12544,18636,1220,1646,2866,1839,1621,3462,31255,29962,61219,12198,17640,29834,5.9,5.4,5.7,67.4,59,63,63.4,55.9,59.5,3183,3333,6516,1097,2074,3169,9204,11353,20557,3947,4823,8772,7762,3082,10842,257,405,660,568,920,1485,8579,4404,12984,43307,46490,89803,7942,8455,16399,29884,32442,62326,19715,20863,40585
LGA25150,12433,12943,25373,5987,2982,8964,1378,3420,4795,420,451,866,477,425,895,8259,7268,15523,3373,4854,8224,5.8,5.8,5.8,66.4,56.2,61.2,62.6,52.9,57.6,260,352,618,152,372,525,891,1557,2447,892,1428,2318,3646,1576,5222,88,182,266,188,300,486,3916,2056,5974,12785,12943,25724,1575,1719,3292,8784,8739,17523,4877,5329,10207
LGA25250,66119,70339,136461,30022,20021,50039,9909,16394,26309,1853,2156,4004,3249,2667,5915,45036,41237,86268,16915,24855,41767,7.2,6.5,6.9,68.1,58.6,63.2,63.2,54.8,58.9,5509,6171,11680,1663,3043,4708,13499,15997,29491,5367,6059,11425,9501,4189,13692,368,509,878,713,1025,1743,10581,5727,16313,57976,61226,119209,14143,14355,28496,36703,39887,76589,32471,32920,65392
LGA25340,61091,67067,128156,25515,12436,37951,7851,17937,25796,1727,2021,3754,1790,1699,3487,36885,34101,70985,20484,28822,49302,4.9,5,4.9,60.4,50.8,55.4,57.4,48.3,52.7,1723,1806,3524,1028,1977,3009,6449,9107,15553,5535,8084,13621,16913,7311,24222,434,899,1330,1005,1663,2666,18345,9877,28221,58334,62504,120837,10085,10529,20616,39316,41612,80930,26764,29325,56090
LGA25430,7943,8004,15946,2480,1385,3868,1169,2073,3243,191,253,449,232,198,431,4076,3909,7990,3267,3427,6694,5.7,5.1,5.4,51.3,48.8,50.1,48.3,46.4,47.4,317,438,754,210,412,625,864,1335,2199,561,870,1433,1746,681,2430,50,99,145,108,155,264,1904,937,2840,6921,7364,14287,903,1019,1926,5010,5144,10156,2516,2931,5450
LGA25490,6556,6579,13134,3141,1436,4580,758,1821,2584,281,290,569,153,144,299,4336,3688,8026,1689,2378,4064,3.5,3.9,3.7,66.1,56.1,61.1,63.8,53.9,58.9,107,150,258,75,189,260,455,888,1340,451,740,1191,1682,811,2493,58,101,157,113,148,257,1845,1062,2909,6618,6566,13187,864,905,1774,4858,4772,9629,2250,2360,4612
LGA25620,5843,5704,11546,2308,1079,3389,688,1471,2157,210,198,402,163,157,318,3367,2906,6272,1956,2317,4269,4.8,5.4,5.1,57.6,50.9,54.3,54.9,48.2,51.5,91,122,216,84,149,232,381,668,1050,441,648,1093,1761,686,2438,39,81,124,93,148,234,1886,913,2801,5539,5353,10896,714,710,1419,4015,3829,7849,2004,2018,4028
LGA25710,24136,25077,49213,12766,6218,18981,3415,8662,12078,639,874,1520,797,665,1457,17616,16416,34033,5501,7640,13146,4.5,4.1,4.3,73,65.5,69.2,69.7,62.8,66.2,1380,1381,2761,682,1234,1917,4008,5294,9307,2381,3002,5386,5983,2110,8087,121,247,367,341,534,876,6440,2891,9333,25770,26228,52002,2396,2655,5048,19713,19985,39693,7643,8109,15747
