LGA_CODE_2016,A0_14_SEO_B00,A0_14_SEO_00_05,A0_14_SEO_06_10,A0_14_SEO_11,A0_14_SEO_12,A0_14_SEO_13,A0_14_SEO_14,A0_14_SEO_15,A0_14_SEO_16,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_SOLSE_VWW_B00,A0_14_SOLSE_VWW_00_05,A0_14_SOLSE_VWW_06_10,A0_14_SOLSE_VWW_11,A0_14_SOLSE_VWW_12,A0_14_SOLSE_VWW_13,A0_14_SOLSE_VWW_14,A0_14_SOLSE_VWW_15,A0_14_SOLSE_VWW_16,A0_14_SOLSE_VWW_YNS,A0_14_SOLSE_VWW_T,A0_14_SOLSE_NWNAA_B00,A0_14_SOLSE_NWNAA_00_05,A0_14_SOLSE_NWNAA_06_10,A0_14_SOLSE_NWNAA_11,A0_14_SOLSE_NWNAA_12,A0_14_SOLSE_NWNAA_13,A0_14_SOLSE_NWNAA_14,A0_14_SOLSE_NWNAA_15,A0_14_SOLSE_NWNAA_16,A0_14_SOLSE_NWNAA_YNS,A0_14_SOLSE_NWNAA_T,A0_14_SOLSE_PinE_NS_B00,A0_14_SOLSE_PinE_NS_00_05,A0_14_SOLSE_PinE_NS_06_10,A0_14_SOLSE_PinE_NS_11,A0_14_SOLSE_PinE_NS_12,A0_14_SOLSE_PinE_NS_13,A0_14_SOLSE_PinE_NS_14,A0_14_SOLSE_PinE_NS_15,A0_14_SOLSE_PinE_NS_16,A0_14_SOLSE_PinE_NS_YNS,A0_14_SOLSE_PinE_NS_T,A0_14_SOLSE_T_B00,A0_14_SOLSE_T_00_05,A0_14_SOLSE_T_06_10,A0_14_SOLSE_T_11,A0_14_SOLSE_T_12,A0_14_SOLSE_T_13,A0_14_SOLSE_T_14,A0_14_SOLSE_T_15,A0_14_SOLSE_T_16,A0_14_SOLSE_T_YNS,A0_14_SOLSE_T_T,A0_14_L_PinE_NS_B00,A0_14_L_PinE_NS_00_05,A0_14_L_PinE_NS_06_10,A0_14_L_PinE_NS_11,A0_14_L_PinE_NS_12,A0_14_L_PinE_NS_13,A0_14_L_PinE_NS_14,A0_14_L_PinE_NS_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B00,A0_14_T_00_05,A0_14_T_06_10,A0_14_T_11,A0_14_T_12,A0_14_T_13,A0_14_T_14,A0_14_T_15,A0_14_T_16,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B00,A15_24_SEO_00_05,A15_24_SEO_06_10,A15_24_SEO_11,A15_24_SEO_12,A15_24_SEO_13,A15_24_SEO_14,A15_24_SEO_15,A15_24_SEO_16,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_SOLSE_VWW_B00,A15_24_SOLSE_VWW_00_05,A15_24_SOLSE_VWW_06_10,A15_24_SOLSE_VWW_11,A15_24_SOLSE_VWW_12,A15_24_SOLSE_VWW_13,A15_24_SOLSE_VWW_14,A15_24_SOLSE_VWW_15,A15_24_SOLSE_VWW_16,A15_24_SOLSE_VWW_YNS,A15_24_SOLSE_VWW_T,A15_24_SOLSE_NWNAA_B00,A15_24_SOLSE_NWNAA_00_05,A15_24_SOLSE_NWNAA_06_10,A15_24_SOLSE_NWNAA_11,A15_24_SOLSE_NWNAA_12,A15_24_SOLSE_NWNAA_13,A15_24_SOLSE_NWNAA_14,A15_24_SOLSE_NWNAA_15,A15_24_SOLSE_NWNAA_16,A15_24_SOLSE_NWNAA_YNS,A15_24_SOLSE_NWNAA_T,A15_24_SOLSE_PinE_NS_B00,A15_24_SOLSE_PinE_NS_00_05,A15_24_SOLSE_PinE_NS_06_10,A15_24_SOLSE_PinE_NS_11,A15_24_SOLSE_PinE_NS_12,A15_24_SOLSE_PinE_NS_13,A15_24_SOLSE_PinE_NS_14,A15_24_SOLSE_PinE_NS_15,A15_24_SOLSE_PinE_NS_16,A15_24_SOLSE_PinE_NS_YNS,A15_24_SOLSE_PinE_NS_T,A15_24_SOLSE_T_B00,A15_24_SOLSE_T_00_05,A15_24_SOLSE_T_06_10,A15_24_SOLSE_T_11,A15_24_SOLSE_T_12,A15_24_SOLSE_T_13,A15_24_SOLSE_T_14,A15_24_SOLSE_T_15,A15_24_SOLSE_T_16,A15_24_SOLSE_T_YNS,A15_24_SOLSE_T_T,A15_24_L_PinE_NS_B00,A15_24_L_PinE_NS_00_05,A15_24_L_PinE_NS_06_10,A15_24_L_PinE_NS_11,A15_24_L_PinE_NS_12,A15_24_L_PinE_NS_13,A15_24_L_PinE_NS_14,A15_24_L_PinE_NS_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B00,A15_24_T_00_05,A15_24_T_06_10,A15_24_T_11,A15_24_T_12,A15_24_T_13,A15_24_T_14,A15_24_T_15,A15_24_T_16,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B00,A25_34_SEO_00_05,A25_34_SEO_06_10,A25_34_SEO_11,A25_34_SEO_12,A25_34_SEO_13,A25_34_SEO_14,A25_34_SEO_15,A25_34_SEO_16,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_SOLSE_VWW_B00,A25_34_SOLSE_VWW_00_05,A25_34_SOLSE_VWW_06_10,A25_34_SOLSE_VWW_11,A25_34_SOLSE_VWW_12,A25_34_SOLSE_VWW_13,A25_34_SOLSE_VWW_14,A25_34_SOLSE_VWW_15,A25_34_SOLSE_VWW_16,A25_34_SOLSE_VWW_YNS,A25_34_SOLSE_VWW_T,A25_34_SOLSE_NWNAA_B00,A25_34_SOLSE_NWNAA_00_05,A25_34_SOLSE_NWNAA_06_10,A25_34_SOLSE_NWNAA_11,A25_34_SOLSE_NWNAA_12,A25_34_SOLSE_NWNAA_13,A25_34_SOLSE_NWNAA_14,A25_34_SOLSE_NWNAA_15,A25_34_SOLSE_NWNAA_16,A25_34_SOLSE_NWNAA_YNS,A25_34_SOLSE_NWNAA_T,A25_34_SOLSE_PinE_NS_B00,A25_34_SOLSE_PinE_NS_00_05,A25_34_SOLSE_PinE_NS_06_10,A25_34_SOLSE_PinE_NS_11,A25_34_SOLSE_PinE_NS_12,A25_34_SOLSE_PinE_NS_13,A25_34_SOLSE_PinE_NS_14,A25_34_SOLSE_PinE_NS_15,A25_34_SOLSE_PinE_NS_16,A25_34_SOLSE_PinE_NS_YNS,A25_34_SOLSE_PinE_NS_T,A25_34_SOLSE_T_B00,A25_34_SOLSE_T_00_05
LGA21270,..,0,0,0,0,0,0,0,0,0,3,..,0,8,0,0,0,3,0,0,0,15,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,8,0,0,0,3,0,0,0,15,..,0,0,0,0,0,0,0,0,0,0,..,0,8,0,0,4,3,0,0,3,12,0,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,11,0,0,4,0,3,4,0,0,0,0,8,0,0,3,3,0,3,3,3,0,0,21,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0
LGA21370,..,3,19,8,9,4,4,5,5,0,62,..,0,12,7,9,7,6,15,3,0,54,..,0,0,0,0,0,0,0,0,3,3,..,0,0,0,0,0,0,0,0,0,0,..,0,12,7,9,7,6,15,3,0,58,..,0,0,0,0,0,0,0,0,0,0,..,4,30,19,16,15,8,15,8,6,123,3,20,16,6,3,0,4,4,0,0,55,4,6,10,0,5,4,0,3,9,3,42,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,6,10,0,5,4,0,7,9,6,44,0,0,0,0,0,0,0,0,0,0,0,9,22,22,8,10,4,4,17,6,8,101,21,18,28,5,9,6,7,0,0,4,99,8,3,63,14,19,17,26,13,5,5,170,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,3
LGA21450,..,61,262,69,75,50,48,41,13,33,643,..,38,193,44,48,50,27,44,14,27,484,..,0,3,0,0,6,5,12,15,8,52,..,0,0,0,0,0,0,0,0,3,6,..,40,200,42,46,58,35,53,29,39,537,..,0,0,0,0,0,0,3,0,4,8,..,99,460,117,123,106,83,93,42,72,1183,99,216,197,46,28,14,13,18,11,27,673,37,162,237,35,27,37,43,49,26,14,678,0,0,3,0,0,0,0,11,5,9,35,0,0,0,0,0,0,0,0,0,0,3,40,161,242,35,27,41,49,66,29,22,708,0,0,0,0,0,0,0,0,0,0,0,134,383,444,81,59,55,62,83,39,56,1384,394,114,180,42,47,24,29,27,13,12,883,195,258,806,80,105,101,90,86,37,29,1793,0,9,16,10,11,11,13,21,13,6,112,0,0,9,0,0,0,0,0,0,0,15,196,262
LGA21610,..,274,1107,213,292,238,176,172,84,120,2675,..,385,2119,495,495,675,451,407,148,172,5343,..,0,18,12,26,79,83,191,176,72,655,..,3,10,0,3,12,3,7,11,17,67,..,388,2149,503,523,771,536,605,334,260,6073,..,0,3,3,3,3,0,3,6,11,31,..,660,3258,723,814,1008,713,777,433,392,8777,527,1091,857,122,97,93,69,57,52,93,3063,681,1889,2565,399,437,554,541,492,382,191,8134,4,18,35,25,42,74,63,94,99,37,491,5,15,18,4,4,4,7,3,0,0,65,691,1926,2619,422,484,630,612,591,480,231,8685,0,0,0,0,0,0,0,0,0,8,13,1214,3017,3483,549,585,726,686,648,534,329,11763,1694,559,672,138,175,112,74,65,37,101,3622,2439,2464,5968,852,948,854,669,580,323,244,15343,17,116,438,103,166,206,150,137,83,46,1466,21,22,52,7,11,6,8,7,3,5,140,2480,2606
LGA21670,..,0,4,0,0,3,0,3,0,3,20,..,0,3,0,4,0,0,0,3,0,8,..,0,0,0,0,0,0,0,3,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,3,0,4,0,0,0,3,0,14,..,0,0,0,0,0,0,0,0,0,0,..,0,12,0,4,4,0,3,7,0,30,3,3,5,0,0,0,0,0,0,3,12,0,3,0,4,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,3,0,0,3,0,3,28,4,0,7,0,0,0,0,0,0,0,18,0,3,19,0,6,3,11,3,0,0,43,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA21750,..,0,15,9,7,3,3,0,3,9,48,..,0,7,0,0,7,0,9,0,3,31,..,0,0,0,0,0,0,0,6,3,10,..,0,0,0,0,0,0,0,0,0,0,..,0,7,0,0,7,0,9,6,3,41,..,0,0,0,0,0,0,0,0,0,0,..,5,26,6,5,7,3,10,3,13,88,3,8,10,4,4,0,0,3,0,3,39,0,4,10,9,16,10,0,5,0,3,55,0,0,0,0,0,0,0,3,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,11,9,16,10,0,6,5,3,63,0,0,0,0,0,0,0,0,0,0,0,3,13,21,13,16,10,3,8,5,12,108,20,17,24,4,7,7,8,0,0,0,82,10,18,50,15,6,11,8,11,3,8,134,0,0,3,3,3,4,4,4,3,0,24,0,0,0,0,0,0,0,0,0,0,0,10,20
LGA21830,..,7,10,0,6,0,4,4,0,0,30,..,0,3,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,3,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,3,0,0,0,0,3,0,0,8,..,0,0,0,0,0,0,0,0,0,0,..,4,17,0,9,0,4,10,0,0,40,5,29,13,0,0,0,0,0,0,0,50,0,0,0,0,0,0,3,0,0,3,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,8,0,0,0,0,0,0,0,0,0,0,0,7,29,13,0,3,0,5,3,0,4,61,9,11,9,4,7,3,0,5,3,3,62,6,3,13,0,6,12,3,10,4,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
LGA21890,..,50,148,61,47,53,56,59,28,36,538,..,37,236,75,107,159,183,161,49,40,1044,..,0,4,3,9,41,104,127,105,36,430,..,0,0,0,0,4,3,0,0,0,10,..,39,246,79,118,206,290,283,153,79,1485,..,0,0,0,0,0,0,0,0,3,3,..,88,390,141,163,259,342,348,180,114,2028,143,149,68,15,28,36,77,103,70,35,725,137,207,331,169,227,332,548,604,514,114,3186,0,12,24,11,27,45,96,121,107,57,495,0,3,8,0,0,3,3,3,0,0,26,137,216,363,178,260,383,642,724,622,171,3704,0,0,0,0,0,0,0,0,0,9,9,275,370,433,195,287,422,723,830,693,208,4435,652,218,648,172,222,193,196,154,90,78,2620,621,688,2549,387,606,770,897,795,439,140,7899,3,41,210,40,61,112,135,131,75,45,857,4,4,20,3,5,3,9,6,3,3,52,628,738
LGA22110,..,16,34,7,15,0,4,3,0,3,82,..,0,15,3,9,3,10,9,3,3,56,..,0,0,0,0,0,0,3,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,15,3,7,4,12,12,3,3,65,..,0,0,0,0,0,0,0,0,0,0,..,17,49,11,18,7,14,16,8,6,151,13,24,14,0,3,0,3,0,0,3,60,3,8,7,5,3,5,3,3,0,0,33,0,0,0,0,4,0,3,4,0,5,13,0,0,0,0,0,0,0,0,0,0,3,6,8,10,5,8,5,8,7,3,5,48,0,0,0,0,0,0,0,0,0,0,0,21,36,18,5,11,7,8,7,3,5,114,47,14,31,0,7,3,7,3,4,6,124,10,18,68,5,14,13,24,10,8,10,172,0,3,5,0,3,4,5,12,0,4,33,0,0,0,0,0,0,0,0,0,0,0,10,16
LGA22170,..,75,259,104,92,95,48,66,19,30,801,..,49,206,54,55,60,75,36,22,21,575,..,0,0,0,3,11,10,18,21,6,63,..,0,3,0,0,0,0,0,3,0,8,..,49,206,50,59,70,86,56,46,34,647,..,0,0,4,0,0,0,0,4,4,12,..,124,471,165,155,166,128,118,69,69,1462,150,336,240,53,36,35,26,21,19,41,953,90,208,222,42,56,55,76,72,47,25,879,0,0,3,0,3,3,5,16,19,4,55,0,0,3,0,0,0,0,0,0,0,10,90,206,228,42,54,59,81,92,60,28,944,0,0,0,0,0,0,0,0,0,0,5,239,546,468,89,94,91,109,113,83,77,1904,614,209,319,85,79,65,42,45,26,47,1529,259,244,636,87,100,122,102,78,39,42,1710,4,3,29,9,8,15,18,10,9,5,108,0,0,3,0,0,0,0,3,0,0,12,263,245
LGA22250,..,3,3,0,0,0,0,0,0,0,9,..,0,5,0,0,3,0,0,0,0,10,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,5,0,0,3,0,0,0,0,10,..,0,0,0,0,0,0,0,0,3,3,..,3,12,0,0,3,0,0,0,3,17,7,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,3,0,3,0,0,0,0,0,0,17,3,3,9,0,0,0,3,0,0,0,18,0,0,17,6,3,5,4,3,0,0,37,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA22310,..,99,356,107,114,88,103,113,40,55,1078,..,77,367,155,184,205,255,224,77,53,1590,..,0,3,3,3,21,68,107,100,39,345,..,0,0,0,0,0,0,3,7,0,12,..,77,376,159,187,223,324,331,178,87,1940,..,0,0,0,0,0,0,0,5,0,5,..,175,733,267,299,313,429,447,225,144,3030,309,349,203,31,32,36,67,103,74,41,1251,133,299,470,195,267,316,575,798,524,181,3752,3,9,5,9,15,19,103,99,93,46,406,0,0,0,0,0,0,0,0,0,3,10,133,303,481,201,281,334,679,898,616,229,4171,0,0,0,0,0,0,0,0,0,5,5,450,655,685,238,315,370,743,1002,694,276,5424,797,299,660,215,205,184,179,134,89,60,2823,670,791,2574,435,525,631,800,724,343,147,7646,4,13,72,17,33,63,53,66,49,21,394,6,8,11,3,0,8,6,4,0,3,40,681,810
LGA22410,..,7,26,3,0,3,3,0,0,3,45,..,0,8,3,4,0,0,3,0,0,15,..,0,0,0,0,0,0,3,0,0,7,..,0,0,0,0,0,0,0,0,0,0,..,0,8,3,9,0,0,8,3,0,27,..,0,0,0,0,0,0,0,0,0,0,..,4,32,4,4,3,8,8,3,3,65,12,18,11,4,0,0,5,0,0,0,49,0,4,4,0,3,4,0,0,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,4,0,0,3,0,20,0,0,0,0,0,0,0,0,0,0,0,11,23,11,4,3,5,5,3,3,0,69,18,11,11,0,0,0,5,0,0,0,49,0,0,24,6,3,4,5,7,5,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA22490,..,6,19,8,6,3,0,4,0,15,58,..,5,5,0,0,3,0,0,3,0,18,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,5,5,0,0,3,0,0,3,0,18,..,0,0,0,0,0,0,0,0,0,0,..,10,25,3,6,5,5,4,3,15,72,7,22,14,0,0,3,3,0,3,0,48,3,3,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,11,25,15,0,3,3,4,0,3,0,66,28,10,13,8,0,4,0,0,0,6,66,11,3,14,0,0,0,3,0,0,0,43,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,3
LGA22620,..,29,97,21,15,14,11,17,11,22,234,..,14,142,21,34,45,31,28,11,20,337,..,0,4,0,0,13,11,20,34,11,107,..,0,3,0,0,0,0,0,0,0,6,..,14,145,25,34,62,41,50,44,34,446,..,0,0,0,0,0,0,0,0,3,3,..,47,245,44,45,74,54,64,50,57,685,58,98,57,11,5,12,4,12,0,21,283,12,57,170,23,28,32,27,23,18,28,421,0,3,22,12,5,15,16,14,12,17,106,0,0,0,0,0,0,0,0,0,3,3,12,57,194,34,35,45,40,37,26,46,529,0,0,0,0,0,0,0,0,0,0,0,75,163,252,41,38,54,45,50,31,67,817,132,37,72,17,14,24,4,18,4,13,343,42,74,341,57,44,63,61,60,36,17,791,0,6,63,13,7,13,15,18,12,4,153,0,0,3,0,0,0,3,3,0,0,11,41,80
LGA22670,..,91,269,60,97,80,85,64,33,37,806,..,178,1010,258,402,571,389,335,96,156,3390,..,0,14,17,37,125,152,235,217,122,921,..,0,0,0,3,7,11,8,7,6,41,..,180,1023,270,441,705,545,583,321,274,4348,..,3,0,4,0,8,0,0,0,11,28,..,269,1292,335,539,787,636,649,356,327,5178,222,332,200,26,53,40,44,61,51,32,1067,523,1022,1650,417,611,741,941,862,531,259,7566,0,18,79,35,118,223,146,186,141,98,1043,10,9,3,6,3,6,12,8,3,4,70,534,1053,1735,455,730,972,1102,1061,676,362,8672,0,8,4,0,3,0,3,0,0,12,35,755,1394,1936,484,791,1014,1147,1119,729,403,9770,720,173,308,66,83,56,56,52,33,66,1612,2232,1637,5144,682,1150,1140,999,862,469,265,14580,45,235,758,171,428,464,274,249,147,108,2885,10,5,36,7,14,16,10,5,3,4,117,2297,1885
LGA22750,..,98,367,109,82,79,78,79,44,53,995,..,45,288,73,96,166,103,111,55,34,970,..,0,3,3,4,28,30,69,89,36,259,..,0,4,0,0,4,0,6,3,0,13,..,45,301,75,103,192,132,191,147,72,1242,..,0,0,0,0,0,0,0,3,3,10,..,141,668,184,185,275,209,268,192,124,2243,158,291,244,43,26,21,47,63,43,38,988,70,220,408,65,134,190,214,277,227,61,1870,0,3,6,6,13,35,25,45,36,23,193,3,5,0,3,0,0,0,5,5,0,19,70,231,411,75,152,225,243,327,267,91,2081,0,0,0,0,0,0,0,0,0,36,38,234,519,658,126,175,252,288,385,312,164,3110,521,167,325,78,87,76,71,69,36,72,1499,259,260,1136,189,232,256,245,276,151,63,3061,5,5,80,26,26,57,27,40,39,11,318,4,3,4,0,0,3,0,0,0,6,23,267,270
LGA22830,..,17,59,30,21,23,29,17,6,17,219,..,38,150,49,37,92,52,44,16,30,502,..,0,3,0,3,8,23,29,33,15,109,..,0,0,0,0,0,0,0,0,0,3,..,41,155,49,41,93,72,68,51,43,611,..,0,0,0,0,0,3,3,0,0,7,..,57,212,76,61,120,101,85,56,62,837,26,52,38,9,7,14,8,14,0,12,180,53,152,237,30,31,77,61,56,31,12,749,0,3,6,4,3,12,14,14,21,15,112,0,0,3,0,0,0,0,0,0,0,7,53,157,251,35,39,95,79,77,53,29,860,0,0,0,0,0,0,0,0,0,0,4,82,208,287,49,47,107,87,89,54,44,1051,69,30,53,18,13,19,20,13,9,17,260,101,126,486,56,99,99,93,97,40,35,1223,4,20,78,11,23,34,51,64,15,25,326,0,4,3,0,0,0,3,0,0,3,20,102,151
LGA22910,..,8,9,3,3,3,0,3,0,5,34,..,0,4,0,3,0,0,4,0,0,11,..,0,0,0,0,0,3,0,0,0,4,..,0,0,0,0,0,0,0,0,0,0,..,0,4,0,3,0,3,4,4,0,18,..,0,0,0,0,0,0,0,0,0,0,..,8,14,3,3,3,7,7,4,5,45,6,14,6,0,0,0,0,0,0,0,35,0,0,3,3,0,0,4,0,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,4,0,18,0,0,0,0,0,0,0,0,0,0,0,6,14,10,4,0,3,4,0,4,0,50,13,3,11,4,7,4,5,4,3,0,54,0,0,31,0,0,3,3,10,3,3,59,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA22980,..,3,3,0,3,0,0,0,0,0,11,..,0,13,3,3,0,0,0,0,3,27,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,13,3,3,0,0,0,0,3,26,..,0,0,0,0,0,0,0,0,0,0,..,3,13,3,9,0,4,3,0,3,38,0,0,3,0,0,0,0,0,0,0,6,0,3,15,0,0,0,0,0,0,0,23,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,6,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,8,0,0,0,38,5,0,3,4,0,0,0,0,0,0,12,0,3,29,0,9,3,0,4,0,0,51,0,0,17,0,0,0,0,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA23110,..,48,151,59,70,53,54,60,25,35,561,..,21,151,53,68,80,90,83,27,33,600,..,0,0,5,4,16,32,50,51,15,169,..,0,3,0,0,0,0,0,5,0,8,..,26,148,55,76,98,125,132,87,42,783,..,0,0,0,0,0,0,0,0,0,6,..,74,297,118,145,150,178,193,116,76,1341,89,118,98,25,19,30,31,30,22,22,476,60,107,157,55,65,83,180,147,102,30,985,0,3,10,11,6,12,13,27,26,14,119,0,0,0,0,0,0,0,3,0,0,3,60,113,164,67,67,98,194,177,128,42,1110,0,0,0,0,0,0,0,0,3,0,3,145,229,260,92,92,125,229,206,146,64,1591,318,119,359,114,114,108,73,76,25,36,1345,314,376,1153,177,221,261,268,244,128,80,3218,8,16,72,23,30,33,23,29,34,12,271,0,0,12,0,0,3,3,0,0,0,15,317,396
LGA23190,..,0,16,0,4,4,7,4,6,3,53,..,0,28,3,4,0,3,5,0,6,50,..,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,28,3,4,0,3,8,0,6,53,..,0,0,0,0,0,0,0,0,0,0,..,3,43,5,9,4,10,9,6,5,103,7,13,7,0,3,4,0,4,0,0,33,0,4,23,4,4,0,0,0,3,0,40,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,23,4,6,0,0,0,3,0,41,0,0,0,0,0,0,0,0,0,0,0,7,17,33,4,7,6,0,3,3,0,80,15,12,10,0,0,3,3,0,0,0,59,6,7,56,14,9,4,6,8,4,0,112,0,0,3,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,6,7
LGA23270,..,93,285,96,119,95,77,91,30,73,963,..,187,1079,323,349,587,372,308,127,144,3471,..,6,15,12,21,79,85,122,274,75,683,..,0,4,4,8,6,3,12,3,4,41,..,190,1101,340,375,669,461,437,401,221,4203,..,0,3,0,0,0,0,0,0,15,19,..,291,1385,436,495,767,533,530,433,309,5187,187,378,198,39,30,32,38,41,25,35,1015,516,1073,1268,251,249,426,501,401,274,135,5087,0,11,17,22,25,88,61,90,107,43,466,8,5,3,3,0,3,6,4,4,3,33,530,1086,1292,272,274,512,562,497,387,173,5581,0,3,3,0,0,0,4,0,0,32,44,712,1462,1489,307,308,544,611,538,412,244,6639,540,189,298,74,68,67,52,42,29,58,1424,1579,1452,3889,549,576,632,635,516,292,171,10298,19,141,349,155,117,229,149,147,131,50,1482,18,6,42,7,10,13,7,9,4,5,111,1617,1594
LGA23350,..,3,14,0,3,5,3,3,0,5,30,..,0,8,0,3,0,0,4,0,4,23,..,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,5,0,3,0,0,4,3,4,19,..,0,0,0,0,0,0,0,0,0,0,..,3,21,4,5,6,5,4,3,7,47,3,7,6,0,0,0,0,0,0,0,17,0,3,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,10,10,0,0,0,3,0,0,3,25,14,10,7,0,3,0,0,0,0,4,33,0,0,9,0,3,0,6,4,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA23430,..,112,366,105,120,132,98,79,56,64,1133,..,55,281,112,154,135,134,142,57,40,1112,..,0,8,6,7,27,39,85,68,35,264,..,0,0,0,0,0,4,3,0,0,6,..,55,294,116,161,158,174,228,121,81,1385,..,0,0,0,0,0,0,0,0,20,27,..,163,662,219,286,294,274,301,180,165,2540,212,398,258,41,46,29,33,48,42,30,1153,169,296,362,100,124,175,287,367,223,94,2199,0,10,7,0,12,20,30,71,41,28,229,0,4,0,0,0,0,0,0,0,0,10,168,311,368,108,130,205,317,443,269,120,2432,0,0,0,0,0,0,0,0,0,3,3,379,707,629,152,182,232,353,494,313,158,3590,668,248,399,131,143,101,106,69,42,48,1958,635,617,1729,245,318,365,372,339,178,112,4916,3,34,72,18,27,44,52,69,36,23,376,3,0,8,0,3,3,0,0,0,0,27,645,657
LGA23670,..,92,317,64,72,48,55,48,25,36,768,..,79,500,137,146,124,142,84,22,55,1287,..,0,4,3,12,25,32,52,38,22,187,..,0,0,0,0,0,3,0,4,0,12,..,85,504,141,160,151,173,135,63,79,1486,..,0,0,0,0,0,0,3,0,0,3,..,179,823,199,227,208,229,185,93,118,2257,222,413,261,33,41,23,26,24,19,31,1091,161,510,669,124,128,114,113,110,94,60,2080,3,3,8,4,4,5,15,37,23,14,117,0,3,4,0,0,0,0,0,0,0,13,162,516,684,135,128,122,126,145,114,77,2209,0,0,0,0,0,0,0,0,0,0,6,384,932,945,161,166,142,154,170,132,108,3307,701,194,202,50,43,37,37,36,23,30,1363,724,985,1827,223,251,199,209,195,77,79,4760,3,39,121,26,47,52,52,33,13,9,403,5,3,7,0,3,0,0,0,0,0,17,731,1027
