LGA_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
LGA21890,44,302,304,281,511,443,179,249,25,2339,87,302,292,258,541,546,183,303,639,3155,2113,8176,8020,8234,13595,13856,6508,8466,1346,70311
LGA22110,23,96,72,76,101,114,56,95,10,645,45,77,62,65,96,120,27,82,166,739,941,2335,2012,2406,2629,2452,1310,2514,397,17003
LGA22170,64,338,253,256,522,531,245,297,38,2543,102,282,210,246,690,715,233,375,575,3418,2187,7330,6219,7361,12687,12510,6218,7757,1150,63406
LGA22250,4,19,13,14,28,33,12,19,0,153,6,25,19,19,17,30,4,33,51,199,186,569,470,535,610,678,337,914,111,4404
LGA22310,53,367,292,270,363,395,206,323,17,2287,73,332,263,240,374,580,195,374,518,2951,1953,8560,7606,7608,11228,14504,6800,10333,1056,69634
LGA22410,3,44,30,38,52,44,28,41,4,287,24,46,25,28,46,45,24,48,98,377,409,1094,923,1010,1186,1299,768,1398,230,8311
LGA22490,12,54,31,41,78,81,38,55,4,402,25,41,29,38,71,73,35,48,105,458,429,1227,1097,1236,1689,1833,920,1541,228,10196
LGA22620,74,254,169,227,353,286,202,250,19,1831,73,201,117,150,278,264,104,208,335,1726,2142,6625,5193,6210,9272,7880,4450,6054,858,48675
LGA22670,30,330,398,278,720,512,179,230,40,2715,117,397,468,361,1323,816,271,257,1082,5088,1439,6485,6749,6425,16455,11780,4309,4794,1875,60306
LGA22750,101,573,382,444,722,681,301,433,50,3697,163,447,285,334,581,668,229,449,845,4000,4097,14425,11744,12466,18318,18711,9096,12875,1852,103580
LGA22830,37,146,105,120,263,231,108,136,15,1156,53,106,81,87,194,178,67,147,292,1202,1100,3138,2555,3296,5124,4899,2512,3746,615,26976
LGA22910,15,38,29,22,36,38,16,33,4,216,16,31,23,18,39,36,13,34,69,288,335,903,789,905,928,944,478,902,161,6346
LGA22980,6,0,5,7,17,11,8,16,0,73,6,11,3,9,11,17,0,9,22,84,95,252,214,271,389,418,172,436,52,2298
LGA23110,45,180,156,134,311,292,131,180,13,1445,60,161,173,157,310,423,136,239,354,2004,1402,4294,4145,4428,8013,8813,4191,5957,744,41978
LGA23190,17,45,34,49,82,86,33,52,9,405,6,35,29,24,57,43,13,39,87,337,390,1178,920,1153,1675,1551,786,1272,186,9111
LGA23270,78,368,329,338,738,611,301,362,40,3175,120,429,332,356,928,775,224,361,1089,4601,2405,9076,8369,9080,18421,15990,6791,8702,2183,81025
LGA23350,4,38,17,26,53,58,28,38,4,262,23,26,19,16,42,44,16,40,72,288,372,892,824,959,1176,1307,656,1141,164,7492
LGA23430,73,401,281,309,559,478,266,347,37,2752,93,332,263,269,600,694,235,384,626,3495,2287,8821,7535,8007,13920,15132,7302,9837,1253,74103
LGA23670,73,371,321,375,679,640,284,439,30,3224,111,350,285,308,804,750,248,394,617,3866,2397,9419,7850,8572,16109,15811,6984,8978,1223,77348
LGA23810,28,155,102,107,230,214,82,164,10,1095,57,93,76,67,161,162,68,139,296,1114,1311,4026,3178,3535,5699,4623,2750,3781,588,29490
LGA23940,4,12,7,9,8,17,0,8,0,61,12,4,10,5,16,24,10,13,43,131,138,352,250,330,329,430,214,703,97,2838
LGA24130,15,107,77,104,119,150,89,151,6,804,30,107,73,73,114,167,62,117,154,895,875,2830,2402,2575,3161,4011,2063,3453,373,21741
LGA24210,38,295,213,222,384,337,164,264,16,1925,68,270,217,191,344,442,140,313,499,2479,1387,7413,5895,5818,8759,10695,4457,7431,955,52818
LGA24250,10,34,18,22,16,22,10,21,0,153,15,11,18,17,13,29,9,25,41,175,155,518,419,526,441,593,314,737,88,3781
LGA24330,38,159,172,145,320,241,153,137,8,1374,60,191,220,156,358,337,99,187,367,1975,1288,4058,4841,4388,8499,8523,4019,5326,699,41648
LGA24410,52,274,213,261,469,426,201,326,23,2234,60,242,171,181,455,439,167,276,414,2397,1772,6910,5679,6067,10338,10901,5380,7044,844,54940
LGA24600,53,198,238,195,311,280,149,185,19,1627,92,296,340,177,358,460,155,313,522,2712,1976,7238,7707,5212,10856,15129,6354,9526,1165,65156
LGA24650,50,242,198,234,487,467,209,280,27,2198,86,248,175,258,628,597,167,253,609,3028,1953,6258,5440,6504,13444,13011,5245,6865,1306,60028
LGA24780,18,87,67,76,201,188,60,97,11,811,48,89,74,93,148,170,48,107,240,1019,848,2695,2093,2763,4435,3925,1930,3286,524,22501
LGA24850,24,91,47,65,143,173,77,117,12,742,40,89,60,65,155,156,47,92,181,896,745,2013,1776,2026,3467,3518,1785,2663,409,18406
LGA24900,9,69,33,36,69,91,44,64,6,416,42,51,29,40,76,85,41,65,134,567,598,1410,1140,1352,1807,1952,1117,2118,309,11806
LGA24970,58,364,329,298,551,476,201,291,28,2599,83,397,391,300,702,805,217,332,745,3968,2230,10844,8856,8444,15683,17205,6747,8885,1477,80373
LGA25060,44,229,193,233,341,308,142,252,33,1779,70,244,190,160,323,396,141,295,464,2283,1830,6742,5971,5925,10095,11897,5559,8705,1034,57761
LGA25150,11,67,40,58,111,105,45,90,8,538,15,53,54,55,86,139,59,92,143,694,550,1767,1444,1591,2445,2800,1387,2326,319,14632
LGA25250,60,339,285,326,623,496,281,326,47,2784,109,306,292,256,502,613,211,317,792,3396,2440,8504,8742,9060,15806,16337,7823,10068,1564,80352
LGA25340,72,362,286,370,437,457,226,364,23,2595,124,372,291,277,428,543,217,407,569,3219,2496,9558,7591,8653,10164,11852,6088,9845,1261,67498
LGA25430,3,31,19,32,46,50,16,40,3,246,18,48,24,26,37,41,27,44,58,334,319,1120,1006,1118,1079,1212,602,969,131,7558
LGA25490,8,27,26,19,31,50,22,29,4,216,22,33,14,25,32,62,13,54,63,311,382,897,809,875,964,1201,616,1791,184,7730
LGA25620,11,36,25,25,48,33,18,38,8,235,22,29,23,23,43,61,23,36,51,319,277,732,694,733,896,1054,519,924,125,5954
LGA25710,30,206,134,161,188,240,101,181,18,1252,43,172,121,102,154,227,85,203,180,1275,1045,4633,3669,3775,4634,6306,3081,4962,472,32575
LGA25810,3,19,15,14,14,27,9,16,4,133,9,22,15,15,26,31,13,21,38,177,239,576,515,621,736,853,382,825,111,4859
LGA25900,33,184,164,222,342,309,182,254,14,1705,62,197,174,179,262,491,195,425,352,2350,1672,4531,4617,5318,9230,13017,6924,11654,742,57705
LGA25990,3,15,10,3,15,9,10,11,4,92,10,14,4,8,17,18,8,17,27,126,144,348,301,332,372,425,202,483,60,2664
LGA26080,0,12,3,4,3,8,0,3,0,31,0,3,8,3,0,5,0,4,8,36,51,208,121,144,123,165,76,139,14,1046
LGA26170,16,54,43,40,74,86,43,62,10,436,31,78,46,44,59,66,25,73,124,549,564,1748,1408,1515,1566,1783,978,2328,299,12184
LGA26260,7,31,21,26,49,54,24,33,4,247,19,19,20,21,28,26,11,24,56,229,334,940,795,906,1048,1156,647,1280,148,7250
LGA26350,22,213,150,187,260,230,150,207,11,1431,56,260,194,157,261,447,163,401,403,2345,1436,5928,5249,4997,8557,11988,6314,11296,776,56530
LGA26430,11,14,11,18,26,25,7,12,0,123,16,23,15,18,25,26,8,23,45,203,202,584,456,537,661,719,348,750,117,4369
LGA26490,12,62,62,60,78,80,27,68,7,460,22,82,56,43,52,91,36,65,100,529,595,2029,1687,1739,1873,2500,1180,2253,229,14079
LGA26610,6,46,26,27,71,56,37,49,0,315,26,40,25,38,43,71,24,47,97,425,365,1011,738,953,1575,1590,746,1335,243,8568
LGA26670,0,8,14,17,12,25,7,19,0,99,15,12,3,7,12,12,4,15,29,110,141,319,260,316,337,412,207,599,81,2673
LGA26700,12,41,41,40,82,114,28,74,4,434,23,60,38,38,64,90,22,60,107,507,559,1539,1398,1711,2116,2141,1066,1839,251,12616
LGA26730,18,116,50,59,113,106,32,58,3,563,19,57,35,40,98,82,35,53,126,545,675,2298,1636,2050,2809,2554,1422,1858,292,15601
LGA26810,28,95,57,96,102,127,51,87,10,651,32,69,54,68,88,120,37,106,175,747,858,2336,1868,2067,2698,2878,1572,3274,400,17944
LGA26890,0,3,4,7,6,7,0,10,0,42,8,6,0,3,7,12,3,9,11,61,85,210,163,223,190,318,122,510,43,1860
LGA26980,63,385,365,311,516,461,253,344,20,2731,84,376,309,241,494,574,164,308,536,3083,2151,10459,8777,8267,13173,14883,6610,9278,1104,74705
LGA27070,75,444,386,396,826,670,320,395,40,3545,143,470,335,370,1135,824,256,377,1003,4924,2871,9701,9104,9839,20662,17780,7355,9153,2086,88550
LGA27170,26,78,57,79,151,132,83,77,13,702,31,60,38,49,115,127,47,70,128,674,708,2022,1688,2266,3554,3228,1987,2438,299,18199
LGA27260,84,412,291,300,808,617,270,322,40,3144,120,391,368,358,951,958,274,406,1123,4942,2869,9618,9146,10023,23120,22103,8359,10984,2180,98411
LGA27350,40,164,115,160,313,256,169,178,16,1402,47,157,147,139,254,379,159,312,307,1897,1470,4444,4144,4689,8186,10891,6416,9867,681,50781
LGA27450,104,420,347,345,648,696,361,509,32,3469,161,400,271,307,630,725,273,481,613,3869,2810,9699,7862,8604,13033,13873,7170,10011,1351,74415
LGA27630,5,12,7,6,14,22,9,8,3,95,5,5,3,8,16,20,3,8,29,104,118,307,298,313,308,502,204,513,66,2626
LGA29399,0,3,0,0,0,0,0,0,0,3,0,3,0,0,4,3,3,5,0,24,11,31,26,48,74,51,61,126,12,440
LGA29499,4,13,10,4,18,20,4,16,0,89,16,11,18,11,19,11,6,10,39,148,111,212,205,226,348,385,170,296,84,2033
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,17,0,23
