LGA_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
LGA22170,11,46,5,3,7,58,77,43,179,2208,1778,197,4184,191,215,409,4586,2602,84,7275
LGA22250,0,3,0,0,0,3,7,3,8,75,76,3,147,7,6,12,161,154,8,322
LGA22310,4,32,0,0,3,35,33,14,79,1498,1082,101,2686,97,82,183,2867,1515,28,4409
LGA22410,3,5,0,0,0,5,13,5,28,203,191,27,418,19,19,39,462,320,13,790
LGA22490,0,4,0,0,0,6,3,0,9,172,163,22,359,18,15,35,386,254,3,644
LGA22620,5,29,0,0,3,31,51,21,107,1267,1350,151,2769,135,157,292,3065,2103,48,5211
LGA22670,9,33,8,3,8,44,59,51,157,1609,1208,165,2985,225,213,439,3421,3659,103,7194
LGA22750,13,58,5,7,10,69,109,65,250,2706,2665,288,5659,292,281,576,6238,4097,120,10451
LGA22830,11,28,3,0,3,34,41,23,90,704,659,95,1454,65,93,163,1621,1146,37,2800
LGA22910,0,0,3,0,3,3,5,9,19,110,161,22,296,10,24,36,329,256,10,591
LGA22980,0,0,0,0,0,0,4,3,10,34,28,4,68,4,5,8,70,100,3,174
LGA23110,5,22,0,3,3,23,39,24,82,1209,751,79,2038,95,88,184,2222,1567,44,3836
LGA23190,0,7,0,0,0,7,7,5,17,200,198,19,411,18,28,46,456,339,12,807
LGA23270,17,56,3,3,4,63,98,63,223,2323,1700,234,4261,240,237,479,4739,4276,121,9140
LGA23350,0,3,0,0,0,3,3,3,13,174,171,19,361,11,9,24,384,173,6,564
LGA23430,7,28,0,0,0,33,39,28,105,2015,1492,143,3654,96,124,215,3867,2249,61,6179
LGA23670,17,63,0,3,7,65,43,22,135,2140,1621,174,3931,114,141,256,4186,2148,44,6381
LGA23810,7,13,3,3,8,20,61,27,108,785,855,96,1737,174,158,334,2072,1618,55,3744
LGA23940,0,0,0,0,0,0,11,0,13,30,49,4,84,10,0,6,93,142,3,238
LGA24130,3,13,0,0,0,13,12,9,31,449,447,43,934,38,22,57,992,473,16,1481
LGA24210,6,17,0,0,3,19,36,20,68,1201,915,80,2198,62,89,157,2350,1703,37,4092
LGA24250,0,3,0,0,0,3,0,3,5,69,101,12,174,3,3,5,184,74,7,268
LGA24330,4,22,0,3,3,21,25,13,61,789,590,74,1450,100,94,196,1641,1396,35,3072
LGA24410,5,32,0,0,0,32,37,19,90,1627,1175,113,2914,74,100,177,3090,1535,46,4665
LGA24600,0,13,0,3,4,21,25,16,65,687,420,50,1161,62,68,134,1293,1124,28,2453
LGA24650,5,30,0,9,7,42,63,42,141,1731,1270,157,3165,199,219,420,3580,2486,68,6132
LGA24780,6,11,3,0,8,18,47,25,88,598,533,52,1187,80,74,152,1339,1076,50,2461
LGA24850,0,15,0,0,0,15,17,10,39,491,428,61,979,60,41,98,1077,710,24,1810
LGA24900,4,7,0,0,0,6,13,7,31,243,293,37,576,42,27,69,644,493,23,1164
LGA24970,4,33,0,0,3,36,42,26,103,1898,1309,150,3362,124,148,269,3629,2764,59,6452
LGA25060,4,28,3,3,5,31,66,26,124,1278,889,119,2287,98,103,204,2489,1841,55,4384
LGA25150,0,3,3,0,4,4,14,8,24,350,321,35,703,38,35,73,779,524,19,1321
LGA25250,6,24,0,6,7,30,62,30,121,1486,1119,122,2726,119,135,249,2977,2655,75,5707
LGA25340,11,51,0,0,6,55,60,29,146,1712,1852,181,3741,133,159,293,4032,2267,79,6371
LGA25430,0,0,0,0,0,6,6,0,11,167,224,12,407,17,26,40,444,312,11,762
LGA25490,0,3,0,0,0,7,3,0,11,110,149,10,271,10,15,25,301,190,4,496
LGA25620,0,0,0,0,0,0,11,3,19,112,94,14,215,18,17,34,247,161,10,414
LGA25710,3,12,0,0,0,12,15,8,34,751,577,57,1384,23,38,61,1447,489,13,1946
LGA25810,0,3,0,0,0,3,7,0,9,83,102,19,202,9,0,9,213,195,4,406
LGA25900,0,10,0,0,0,13,24,15,52,889,602,60,1555,71,78,149,1707,936,23,2671
LGA25990,0,0,0,0,0,0,3,4,6,37,55,0,93,12,7,17,110,115,8,230
LGA26080,0,0,0,0,0,0,3,0,5,15,31,0,48,0,6,6,53,23,0,75
LGA26170,5,6,0,0,0,12,10,0,26,205,281,37,528,38,30,61,587,394,12,999
LGA26260,0,0,0,0,0,0,14,3,16,136,171,21,319,7,14,25,346,220,3,571
LGA26350,8,13,0,0,0,13,20,9,48,876,592,53,1528,47,59,102,1626,1013,27,2666
LGA26430,0,3,0,3,6,3,7,5,14,94,93,10,192,12,9,22,215,165,8,390
LGA26490,0,13,0,0,0,15,6,3,25,263,286,23,572,18,20,40,614,219,5,842
LGA26610,0,0,0,3,3,3,11,11,22,187,153,15,360,15,18,36,394,325,16,737
LGA26670,0,0,0,0,0,0,0,0,3,46,52,4,98,6,3,8,106,50,3,161
LGA26700,0,5,0,0,0,5,15,16,42,245,306,31,581,34,33,69,651,464,19,1138
LGA26730,4,10,0,0,3,15,11,15,41,346,440,48,839,29,34,62,902,522,28,1446
LGA26810,0,16,3,0,3,17,13,13,41,360,423,44,823,46,49,91,920,633,18,1574
LGA26890,0,0,0,0,0,0,0,0,0,23,30,0,53,0,3,5,60,41,0,103
LGA26980,12,21,0,0,0,20,40,20,88,1779,1366,123,3268,109,101,214,3477,2386,48,5910
LGA27070,10,69,3,5,11,76,87,44,205,2417,1862,223,4505,207,208,423,4922,3661,94,8675
LGA27170,5,16,0,0,3,17,17,3,37,533,487,53,1070,66,54,118,1190,712,15,1916
LGA27260,13,51,3,3,9,58,81,60,204,2716,1717,258,4689,305,272,583,5272,3281,126,8673
LGA27350,3,7,0,0,0,7,37,25,74,639,450,46,1136,73,89,153,1293,1283,29,2607
LGA27450,19,68,3,0,7,73,47,27,147,1959,1849,176,3975,102,125,223,4201,2016,58,6268
LGA27630,0,0,0,0,0,0,9,5,17,33,59,8,103,7,0,4,106,134,3,247
LGA29399,0,0,0,0,0,0,0,0,0,8,3,0,9,0,0,0,9,3,0,11
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
