SED_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
SED22201,230,358,170,247,255,100,26,54,10,1457,321,371,267,467,373,181,47,66,20,2118,637,325,2540,774,684,398,311,452,73,6196,19,20,32,49,79,50,22,29,0,301,59,40,50,127,134,64,26,40,4,550,13,53,27,14,22,20,10,10,5,168,45,65,54,69,68,54,32,67,55,512,2541,5692,3460,2299,2561,1237,551,861,243,19444
SED22305,115,179,277,155,198,83,147,152,29,1333,171,227,357,488,323,198,194,246,37,2243,276,133,1859,700,347,243,596,635,70,4862,18,4,38,51,51,38,43,65,4,314,38,20,63,136,98,45,81,83,6,571,18,36,35,36,35,21,29,43,15,287,28,48,113,83,51,64,109,153,90,746,1295,3072,3207,2270,1954,1140,1520,1881,329,16673
SED22404,259,328,120,216,191,88,17,56,16,1294,322,281,182,443,301,93,48,115,27,1817,903,218,2998,796,510,362,556,749,123,7207,41,16,41,55,71,49,18,52,10,363,63,48,64,141,81,62,35,60,13,573,21,25,28,13,29,11,6,18,4,150,119,67,128,97,87,75,75,113,78,845,2612,3620,3766,2230,1710,896,807,1341,320,17304
SED22501,326,491,144,242,299,117,28,48,15,1700,357,418,242,396,366,158,37,52,26,2050,660,302,2292,543,571,318,228,312,63,5294,17,19,21,46,76,30,7,14,3,237,87,52,42,116,147,53,25,43,7,558,27,61,21,21,34,20,0,11,3,201,52,65,49,59,85,48,6,23,38,439,3660,7943,3174,2111,2666,1121,397,637,262,21979
SED22607,263,458,143,205,282,95,24,51,20,1540,388,409,231,357,390,176,45,81,24,2102,496,267,1374,484,485,262,178,274,56,3879,18,23,20,48,51,43,8,29,7,242,55,53,29,98,125,81,18,37,10,518,28,92,21,28,38,17,7,11,9,255,49,86,63,52,69,41,30,41,54,485,4388,10626,2364,2218,3234,1428,470,878,376,25980
SED22704,336,289,113,188,155,70,27,61,11,1253,352,302,184,488,278,79,37,112,16,1853,1033,262,2576,873,634,375,698,822,98,7379,48,22,52,61,66,59,29,92,3,432,85,23,67,132,80,63,49,87,7,591,24,31,25,16,28,10,16,21,5,171,142,80,127,97,59,60,91,155,71,886,2823,3344,3271,2167,1644,822,978,1482,256,16792
SED22802,242,307,139,261,246,104,34,44,18,1396,344,336,221,527,418,186,43,99,20,2193,925,309,3462,841,732,445,493,673,119,8002,33,13,34,52,100,52,24,39,0,353,55,49,63,119,118,66,24,47,0,547,15,42,31,17,29,21,11,9,4,178,74,55,83,99,73,52,24,75,61,587,2485,4029,4253,2341,2297,1159,712,1107,250,18633
SED22901,227,366,152,185,242,99,47,70,23,1409,297,278,240,440,396,167,49,87,26,1985,521,262,2108,639,568,336,358,403,72,5260,19,17,35,50,58,41,11,30,6,282,45,51,45,91,114,70,27,44,4,488,34,47,16,20,49,23,6,11,3,209,51,56,53,45,68,46,30,52,53,459,2523,5804,3051,2012,2647,1277,650,898,288,19150
SED23007,224,292,255,231,224,130,113,135,29,1635,306,356,407,553,394,216,142,235,33,2649,398,249,1444,666,476,313,403,444,74,4462,23,9,21,57,42,51,44,50,4,304,33,56,36,123,102,63,47,61,10,530,39,67,37,54,42,33,26,34,7,345,47,79,79,89,50,52,65,106,89,653,3046,8152,2997,2932,3184,1847,1230,1932,445,25755
SED23101,211,343,153,153,216,113,32,76,22,1323,244,321,206,308,300,160,58,111,12,1729,356,195,1135,405,315,197,127,226,49,3018,13,12,15,31,34,28,9,22,3,168,46,39,35,67,85,37,21,30,9,372,30,62,24,20,30,17,8,14,8,199,45,74,29,40,59,30,19,28,36,345,2836,7351,2137,1705,2632,1253,404,803,262,19383
SED23205,184,357,143,219,222,124,37,63,21,1374,308,359,240,505,350,198,53,105,30,2145,581,298,2526,912,592,428,456,579,78,6441,33,17,37,54,59,47,34,49,9,330,62,40,60,147,111,64,32,53,8,580,19,39,13,23,24,17,14,16,3,168,64,75,72,97,68,62,48,73,68,621,2056,4582,3313,2454,1952,1231,755,1102,256,17700
SED23308,239,420,170,232,198,101,41,46,13,1458,255,325,228,462,361,150,51,83,19,1934,562,267,2265,964,589,446,361,583,84,6114,24,22,37,71,42,56,16,47,7,312,61,42,38,108,76,65,34,51,6,481,16,40,18,16,24,11,15,17,0,157,47,74,81,74,64,45,42,83,55,570,2511,6769,3179,2693,2191,1229,677,1120,281,20646
SED23402,279,328,204,220,314,119,48,70,17,1603,429,428,303,594,479,239,93,114,23,2702,987,360,3536,833,903,540,595,697,107,8550,30,20,42,66,101,73,25,59,3,419,89,51,68,132,135,86,55,41,8,665,30,61,20,12,36,15,19,17,3,219,66,62,98,71,91,75,47,65,53,627,3006,5257,4537,2434,2802,1469,971,1252,281,22014
SED23502,191,243,56,184,122,35,15,39,8,886,254,262,147,372,246,80,37,89,15,1502,893,248,2310,862,511,383,540,709,93,6560,46,23,42,94,77,60,22,63,3,419,69,30,52,116,71,58,35,70,8,517,20,20,21,18,13,4,12,22,3,132,124,59,77,102,71,76,64,150,58,776,2164,3084,2806,2069,1398,783,746,1236,221,14513
SED23602,250,257,80,156,107,49,26,53,13,994,276,259,139,361,217,80,32,83,21,1462,1051,211,2342,704,509,346,555,730,81,6527,44,15,24,44,63,53,18,51,3,319,82,27,35,117,66,59,40,55,3,482,33,17,17,17,16,17,10,27,9,169,126,58,75,76,47,70,60,103,58,684,2600,3293,2858,1793,1287,770,769,1208,217,14791
SED23702,243,324,172,260,241,92,34,55,21,1453,344,360,276,626,438,209,63,116,32,2467,1043,388,4401,1163,951,565,664,982,123,10281,38,23,55,88,111,65,23,44,0,451,70,39,75,193,147,90,53,64,9,747,20,34,39,27,46,9,16,15,3,210,68,83,111,123,108,71,58,101,72,794,2486,3908,5310,2878,2478,1338,955,1480,304,21136
SED23806,314,376,108,163,217,143,14,32,22,1394,278,311,149,221,320,190,18,64,15,1575,323,182,645,285,252,208,46,106,31,2078,25,16,12,28,34,20,3,9,0,148,70,50,25,65,89,52,11,7,3,372,59,117,14,23,40,19,5,13,10,288,56,91,22,36,54,36,10,20,40,361,5208,13103,1485,1712,3080,1601,205,596,375,27368
SED23901,233,404,138,200,259,106,31,52,9,1446,272,360,213,288,324,130,38,77,20,1719,377,222,1432,519,386,230,161,257,50,3634,24,13,19,46,51,23,4,17,0,194,60,46,45,87,96,57,24,37,3,450,20,73,20,24,39,20,8,15,10,226,44,102,53,46,52,35,16,34,55,428,3479,9804,2422,1976,2733,1172,421,741,298,23046
SED24006,297,423,109,141,241,132,24,38,11,1411,266,244,126,216,269,140,13,41,22,1334,377,155,632,237,229,174,45,98,27,1977,25,11,12,18,30,24,3,10,0,146,61,44,23,57,91,50,6,15,9,358,63,117,18,22,35,25,3,8,7,298,68,118,29,28,56,32,3,23,55,399,4619,10679,1378,1409,2658,1367,195,452,367,23116
SED24105,175,228,211,172,265,103,114,113,26,1412,226,235,305,426,393,212,161,168,32,2150,381,158,1587,602,420,279,442,491,66,4424,18,16,22,41,47,28,35,54,4,255,56,26,52,103,86,46,64,68,5,511,37,60,49,37,38,36,30,27,4,314,52,65,74,66,70,54,71,98,75,632,1973,4416,2768,2065,2465,1306,1198,1422,311,17924
SED24207,193,215,205,234,277,123,116,105,21,1501,305,310,309,525,435,220,203,166,39,2511,444,198,2040,753,632,336,710,660,96,5870,30,11,34,45,71,60,62,58,3,369,54,37,58,156,141,85,86,106,17,748,30,51,39,32,40,20,36,25,9,284,49,73,94,99,81,78,129,118,86,807,2231,5026,3295,2580,3143,1498,1761,1617,397,21552
SED24308,144,223,143,198,149,57,40,70,15,1044,208,288,236,472,286,143,76,107,24,1826,506,265,2318,1028,640,420,599,783,117,6669,22,16,39,72,55,69,36,81,0,393,32,39,58,153,89,54,59,69,3,563,13,39,21,22,21,14,11,14,4,165,40,57,85,85,64,66,97,136,91,721,1513,3432,3088,2444,1743,1008,1021,1367,310,15924
SED24408,390,285,60,185,133,61,20,56,16,1207,332,238,96,392,224,87,33,74,16,1485,1320,244,1939,827,524,375,452,626,67,6376,66,15,29,67,93,55,17,82,3,435,134,43,43,110,87,50,31,62,3,568,39,27,13,21,12,4,14,8,0,135,181,64,71,76,55,58,50,109,57,714,3267,3562,2349,1979,1437,783,645,1102,191,15321
SED24504,303,408,144,209,179,82,25,65,16,1432,298,321,177,427,320,110,33,90,30,1800,740,258,2488,677,501,317,417,531,78,6005,38,18,23,54,68,40,15,45,0,301,74,46,54,134,105,51,36,57,7,576,23,50,31,21,25,11,7,28,0,196,57,96,92,97,76,52,44,95,45,652,2991,5422,3288,2214,1930,896,635,1058,249,18685
SED24606,309,409,96,132,250,177,17,29,18,1433,265,314,173,197,254,171,9,53,23,1470,299,155,596,221,230,196,57,124,25,1893,21,13,10,15,32,34,3,8,0,130,59,59,20,66,94,65,8,24,3,387,50,107,18,12,36,21,5,7,6,252,55,118,28,41,48,43,11,25,42,416,4683,10691,1339,1359,2700,1596,186,521,389,23466
