SED_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SED21203,87,113,509,734,951,1066,1496,1394,509,6854,18,49,202,239,372,491,450,401,176,2388,366,430,1054,797,831,653,636,593,256,5614,2387,5514,11617,9078,9074,6523,4643,3438,1240,53508
SED21303,11,21,52,55,119,337,936,1330,603,3455,3,11,36,27,56,114,198,334,162,951,150,421,1294,751,513,430,347,391,328,4623,1322,6826,18739,11596,7981,5845,3864,2992,1471,60643
SED21401,13,18,35,49,110,313,898,1261,626,3318,3,8,39,23,58,101,141,229,111,724,117,135,353,295,406,356,491,570,450,3180,1400,3775,7416,7335,8480,7386,6766,5374,2163,50103
SED21503,18,20,77,87,142,323,859,901,407,2829,5,15,44,46,117,106,112,131,53,619,198,367,559,408,383,350,464,424,273,3417,1936,6009,9728,8261,7532,6441,5231,3121,1204,49460
SED21608,40,53,104,99,166,375,767,583,289,2479,0,13,13,24,29,18,18,11,6,137,245,317,510,521,635,720,702,461,292,4407,1771,4318,6705,7414,8107,7716,5969,2680,1038,45722
SED21706,12,26,39,42,79,166,403,493,405,1674,11,20,61,44,59,66,74,103,37,470,193,334,561,418,441,397,343,372,321,3379,1992,6491,9256,8398,9125,7092,4881,3106,2013,52350
SED21805,40,43,85,102,172,322,608,507,304,2176,4,16,23,25,40,43,37,35,13,241,208,248,606,664,646,683,666,605,420,4749,1594,3848,9471,10326,9551,8035,5700,2938,1294,52758
SED21906,10,11,48,48,61,110,240,378,425,1323,0,10,33,28,22,34,44,68,58,298,130,289,923,571,476,452,408,342,329,3927,1212,4823,12720,9169,7790,6806,5148,2740,1969,52377
SED22005,16,54,175,233,433,708,1336,1371,658,4968,10,57,159,147,254,392,345,396,161,1926,195,363,792,525,469,465,491,507,431,4236,1952,6905,13095,9939,8613,7340,5796,4126,2107,59883
SED22105,59,93,279,303,378,526,691,515,294,3140,12,45,183,212,188,154,121,60,27,998,308,408,1013,911,714,625,494,382,234,5091,2450,6184,17891,15899,10878,7631,4826,2311,920,68995
SED22201,45,62,162,192,147,211,462,479,369,2117,5,16,50,58,72,54,36,34,16,337,121,154,389,358,376,380,399,468,388,3040,1335,3631,8317,7846,7765,6963,5363,3212,1545,45979
SED22305,60,194,620,722,619,847,1037,929,457,5492,23,276,644,687,464,343,286,237,90,3053,258,433,1107,852,704,719,709,638,250,5663,1843,5682,13459,10614,8315,7798,5618,3432,1357,58117
SED22404,35,25,74,96,155,302,687,565,350,2279,4,9,12,9,23,10,14,19,11,117,234,207,455,610,747,876,814,460,172,4562,1412,2746,5375,6930,8645,9043,7269,3084,1126,45625
SED22501,11,16,33,20,59,131,406,406,283,1358,3,8,16,11,18,17,21,22,9,130,87,102,218,270,340,353,309,222,142,2037,1322,3536,6042,8013,8791,8565,5764,2335,943,45315
SED22607,14,24,58,99,146,278,546,784,463,2422,4,14,49,62,75,94,113,184,113,711,205,341,995,732,602,561,420,371,270,4496,1437,5150,12494,9865,8909,7339,4372,2653,1457,53682
SED22704,29,42,128,124,209,515,1092,936,500,3570,5,3,14,15,15,24,38,26,4,145,300,267,612,685,893,1082,1078,777,391,6087,1648,3181,6047,6887,9026,9990,8291,4307,1706,51086
SED22802,26,25,96,101,133,244,525,468,246,1863,3,11,29,28,49,24,34,38,18,233,132,165,320,326,417,351,393,331,157,2598,1600,3612,7497,7433,8162,6918,5303,2455,851,43828
SED22901,13,14,53,56,146,275,520,499,321,1891,3,9,30,32,55,73,63,70,35,363,91,110,272,300,289,336,404,415,466,2702,1301,3671,7552,7451,7670,7876,5657,2889,1579,45647
SED23007,35,71,261,315,520,839,1200,1095,547,4887,4,50,187,200,293,381,311,317,129,1882,293,628,1481,996,772,722,665,506,292,6345,1914,7646,18439,12345,9252,7558,4943,2957,1340,66380
SED23101,13,16,42,47,114,257,600,785,449,2323,4,15,31,59,92,108,113,154,65,640,84,133,281,258,274,304,375,431,263,2393,1327,3867,6755,7892,7815,6792,6300,4379,1861,47000
SED23205,28,44,131,133,184,258,604,529,386,2301,6,9,25,34,28,24,42,41,18,219,250,321,698,592,684,671,641,625,389,4878,1515,3879,8112,7830,8207,7672,6125,3533,1695,48558
SED23308,34,38,87,98,181,328,659,777,649,2851,3,7,20,26,31,34,45,52,42,261,169,302,614,486,620,572,589,570,371,4291,1440,4613,9131,7890,8354,7776,5703,3558,1964,50433
SED23402,33,40,95,90,133,219,482,462,276,1840,3,4,30,23,31,14,29,28,7,163,235,264,486,481,573,494,433,361,231,3557,1951,4535,9067,9239,9653,7603,5171,2693,1102,51012
SED23502,36,44,103,105,226,417,1037,903,439,3308,3,8,12,16,24,24,34,27,3,154,230,255,470,529,768,905,1132,824,461,5584,1300,2516,5296,5837,7589,9410,9196,4652,1701,47496
SED23602,23,40,91,81,185,345,881,766,482,2890,0,7,16,15,24,28,31,25,16,162,208,289,804,752,806,909,902,645,300,5613,1251,2538,5842,6318,7779,8722,7371,3617,1528,44971
SED23702,42,33,134,118,194,345,714,561,238,2390,3,11,17,19,34,34,38,22,3,185,215,279,501,489,653,626,615,431,172,3978,2202,4747,8504,8501,10070,8823,6245,2884,911,52884
SED23806,14,17,33,23,33,64,182,271,208,846,3,5,38,9,35,21,29,57,21,226,173,342,767,466,412,347,329,303,209,3350,1672,6038,11880,8578,8248,6646,5164,2764,1424,52415
SED23901,9,19,57,81,132,210,563,785,542,2400,4,16,33,37,69,66,65,107,52,453,183,218,545,497,505,474,479,487,475,3855,1405,3906,8850,9026,8686,7453,5570,3466,2011,50379
SED24006,7,7,22,28,63,111,307,480,363,1378,4,7,26,29,69,64,63,80,48,384,153,198,414,368,501,482,401,330,270,3127,1624,4688,6869,7229,9792,7720,5508,3302,2013,48756
SED24105,24,54,293,430,664,790,956,713,379,4305,7,67,226,314,543,537,377,239,125,2442,161,264,522,422,427,430,476,346,220,3270,1838,5121,10536,9593,8980,7803,5941,2956,1267,54035
SED24207,36,51,209,413,649,1053,1301,609,196,4516,4,31,114,204,314,377,254,206,78,1581,301,559,1338,1150,929,718,638,303,91,6014,2286,5483,13099,14210,10438,8014,5035,1902,539,61007
SED24308,61,89,214,272,308,613,1126,1029,496,4199,14,26,90,106,104,84,113,118,43,691,262,415,973,844,874,777,783,674,445,6048,1849,4450,8718,8279,8559,7684,6002,3449,1543,50540
SED24408,38,45,96,121,202,379,946,1096,733,3660,3,4,13,26,47,34,15,18,14,180,185,167,395,415,591,726,798,667,479,4429,1249,2660,5513,5784,7673,8527,6961,4177,2062,44615
SED24504,31,18,42,63,116,225,562,471,282,1807,3,3,13,16,18,21,18,15,10,114,205,172,290,538,683,752,712,447,246,4054,1304,2513,4685,7622,9046,8579,6782,2678,1117,44316
SED24606,9,12,15,20,35,69,262,376,253,1045,0,0,26,13,24,23,32,70,20,212,140,261,601,428,415,371,398,372,238,3219,1242,4985,9365,7461,7728,6381,5304,3226,1698,47387
SED24703,24,97,193,117,133,176,222,299,185,1452,16,90,152,78,86,97,69,91,52,732,868,2566,4150,1711,1092,865,626,317,144,12342,8372,26434,36400,13111,8143,6381,4336,1846,802,105819
SED24808,57,63,216,206,306,594,966,519,232,3160,5,15,74,92,110,81,82,46,16,518,285,373,883,807,724,679,666,426,207,5041,2199,5059,11950,11141,9552,8577,6107,2282,849,57719
SED24904,41,76,158,177,314,602,1114,1060,611,4150,8,21,63,78,91,79,77,96,32,553,309,365,797,617,905,1011,974,771,466,6217,1690,3532,7566,7068,8391,8595,6588,3805,1747,48981
SED25003,13,34,92,166,254,627,1053,777,416,3431,4,17,47,71,67,131,163,145,57,694,170,267,573,471,470,450,334,247,113,3086,1886,4943,10592,9974,9753,7454,4181,2101,891,51777
SED25102,16,19,58,46,98,157,356,282,205,1237,4,3,14,22,24,18,18,20,13,135,132,167,316,363,429,452,408,286,198,2749,1377,3361,6227,7964,8596,8051,5324,1999,879,43773
SED25205,12,15,32,57,107,195,507,595,393,1911,3,9,23,32,45,52,44,70,34,308,116,170,414,463,472,438,445,506,439,3464,1322,3355,7378,9695,9572,7257,5124,3312,1644,48665
SED25302,18,19,38,62,70,129,409,461,336,1540,7,3,5,12,19,10,16,21,10,113,152,134,227,366,458,464,608,569,420,3398,1324,2607,4397,7793,9000,7637,7777,4651,1982,47169
SED25402,36,74,151,161,226,505,887,886,498,3418,3,6,33,24,33,34,36,54,20,254,296,382,675,591,787,870,803,728,395,5534,1713,4162,8048,7404,8549,8794,6477,3593,1545,50288
SED25501,13,13,21,56,101,194,448,631,340,1814,0,5,43,48,65,82,59,102,47,451,145,200,303,333,347,321,316,425,298,2693,1727,4563,7137,7912,8935,6805,5351,4494,1810,48744
SED25605,20,29,139,163,261,475,997,979,433,3490,3,32,116,113,154,200,203,216,80,1128,147,217,488,391,455,442,500,455,398,3493,1407,4235,9238,7976,7950,7158,6465,3864,1688,49984
SED25704,23,47,134,143,211,511,1070,1127,726,3985,8,14,36,41,53,40,39,52,20,300,287,285,603,616,853,946,1023,873,507,5992,1560,3058,6210,6687,8361,8821,7445,4636,2019,48798
SED25802,43,47,112,128,244,408,973,896,538,3391,6,7,22,33,46,22,44,33,19,230,249,292,497,606,777,869,844,626,257,5017,1773,3645,7116,7442,9161,9330,7791,3932,1472,51667
SED25905,29,58,164,180,295,536,769,614,341,2978,10,28,116,160,161,157,135,113,35,909,200,258,432,394,464,479,418,375,306,3318,1967,5002,9125,8527,9632,8171,4707,2376,1049,50547
SED26005,49,61,241,345,348,478,579,358,125,2573,14,65,255,340,268,186,111,65,25,1329,272,284,640,648,613,502,334,249,114,3653,2647,5889,10587,13299,11772,7606,4048,1632,445,57926
SED26102,25,31,65,64,133,247,776,853,570,2750,3,7,24,30,35,37,49,52,25,261,176,161,329,462,565,706,989,939,573,4892,1074,2300,4751,6103,7515,8891,9764,5802,2491,48685
SED26207,8,12,44,66,138,357,1361,1502,641,4134,3,11,22,24,48,84,192,272,115,782,139,160,425,426,414,418,646,575,330,3543,1297,3433,7164,8011,8364,6729,6310,4317,1731,47346
SED26303,7,15,49,62,112,283,830,1214,537,3114,0,13,23,31,45,91,173,330,114,833,158,280,998,784,588,448,365,401,263,4276,1106,4413,13063,11114,9095,5979,3687,2901,1323,52690
SED26406,12,41,57,56,105,268,803,945,516,2797,11,17,48,25,49,85,145,214,62,657,205,447,869,488,417,361,316,398,314,3814,2955,9130,14063,9769,8118,6117,4390,3206,1651,59409
SED26504,31,39,87,101,167,371,962,958,562,3272,3,3,17,15,27,29,33,59,22,205,253,219,458,557,689,876,966,779,563,5352,1346,2551,5226,6279,7675,8394,7384,4323,1951,45119
SED26603,22,32,104,158,281,503,1173,1663,976,4915,4,18,51,63,114,162,238,323,150,1122,191,330,979,797,598,530,500,561,457,4946,1558,5203,14265,11686,9248,6572,4506,4099,2413,59545
SED26708,29,34,94,133,158,357,875,882,538,3099,0,10,20,27,48,56,37,17,5,218,213,213,429,500,699,802,830,632,338,4656,1388,2796,5807,6842,8424,8867,7036,3732,1570,46464
SED26806,7,21,57,52,80,141,247,408,251,1261,0,11,33,19,26,40,50,106,42,341,228,643,2554,1241,846,708,623,472,319,7638,1252,6884,24179,11359,7543,6091,4764,2804,1419,66294
SED26903,24,31,125,177,292,603,1288,1693,852,5071,8,27,75,90,124,177,240,402,146,1279,209,377,1060,760,743,581,616,625,480,5457,1388,4801,13219,10390,8443,6471,4580,3944,2111,55341
SED27003,13,25,91,134,214,324,461,517,234,2009,3,17,47,87,109,130,128,233,112,863,199,607,2269,1163,887,737,535,339,161,6892,1063,5703,23028,11946,8139,6343,4174,2194,842,63430
SED27101,41,33,153,141,186,234,468,552,395,2200,4,22,114,71,102,133,79,84,32,650,103,123,459,372,372,326,354,348,210,2672,1246,3453,9672,9645,8143,6440,5105,3241,1432,48386
SED27208,38,48,106,143,275,561,1225,1134,686,4217,0,11,27,31,48,48,41,19,12,244,213,239,667,798,983,1070,1139,874,395,6375,1397,2769,5813,6790,8633,9819,8545,4510,1923,50201
SED27305,6,20,50,37,112,271,450,403,109,1455,0,14,29,30,41,70,55,46,15,306,132,147,252,247,367,340,259,189,75,2003,1635,4113,6254,7438,9165,7097,4003,1994,525,42221
SED27406,8,6,29,29,51,117,287,363,378,1273,0,0,13,9,19,33,28,42,22,164,122,148,351,397,481,445,433,370,378,3128,1140,3015,5805,7961,9229,7485,5818,3124,2157,45737
SED27504,40,87,232,274,310,558,1073,1055,566,4198,16,38,125,153,128,92,89,89,53,788,321,294,721,697,851,912,964,730,410,5903,1853,3854,8326,8127,9151,8680,6903,3991,1698,52591
SED27608,22,23,48,72,79,157,419,498,378,1693,4,11,27,20,21,16,13,16,4,135,191,262,439,476,480,429,469,450,372,3565,1943,4909,8630,9481,8808,7796,6241,3309,1635,52756
SED27708,27,41,97,113,169,421,892,884,626,3269,4,7,32,29,32,18,23,6,3,152,282,298,486,580,754,811,839,683,388,5122,1671,3536,6678,7386,8774,8793,6761,3627,1663,48887
SED27807,32,89,359,494,709,1138,1723,1510,568,6628,19,61,264,269,469,464,356,399,224,2532,325,508,1181,755,759,766,803,587,274,5950,2101,6252,13227,9501,8834,8584,6268,3738,1396,59899
SED27907,28,29,76,94,150,340,821,672,316,2527,12,8,24,27,24,45,109,89,39,375,171,256,530,485,488,548,558,386,175,3595,1667,3964,8270,8153,8342,7570,5589,2694,981,47222
SED28007,20,26,93,170,370,751,1031,554,223,3228,0,15,58,81,141,196,157,141,45,835,233,265,548,647,563,483,363,201,163,3478,2213,5366,10782,12110,10924,7556,3992,1610,654,55208
SED28107,45,77,225,243,320,494,645,414,130,2585,7,22,120,122,157,160,111,83,31,813,333,464,1571,1158,774,566,415,191,53,5519,2408,6121,20273,15969,10477,7422,4026,1484,390,68568
SED28203,20,52,218,300,472,1156,2266,1882,498,6863,9,23,106,133,187,285,422,572,177,1921,193,300,852,649,548,577,698,461,160,4437,1680,4333,12126,9779,7630,6636,5965,3860,1032,53042
SED28301,4,9,22,37,68,227,555,620,348,1910,0,8,30,42,36,59,81,136,67,455,138,133,203,255,359,388,355,391,251,2468,1559,3859,5788,7371,9311,7821,5925,3424,1523,46584
SED28408,39,35,91,104,174,305,652,691,501,2589,3,11,17,28,37,25,14,14,6,151,210,267,460,425,543,512,596,532,259,3808,1594,3825,7169,6743,7540,6955,5642,3387,1546,44396
SED28507,49,88,252,285,310,469,905,646,353,3354,8,18,98,168,128,116,96,96,42,772,207,338,783,616,586,612,519,389,189,4231,1808,4699,11743,10072,8857,7443,4860,2347,922,52756
SED28607,18,22,68,107,169,375,910,1184,606,3453,5,13,30,37,72,113,176,273,122,849,148,239,706,716,603,479,441,496,360,4191,1357,3847,11015,12316,10148,7204,4516,3272,1653,55330
SED28704,27,28,120,116,153,311,616,381,179,1939,3,0,25,27,26,39,54,50,9,240,254,251,719,708,641,497,475,243,69,3858,2041,4626,12428,12406,10561,7772,5042,1773,558,57192
SED28803,49,107,386,508,611,766,994,493,151,4069,17,46,139,178,266,304,276,205,56,1488,295,350,857,663,602,451,312,148,67,3738,2781,6567,15328,13378,11665,7766,3951,1505,439,63375
SED29494,17,20,42,33,28,30,38,13,11,228,8,3,13,5,16,11,9,3,3,83,79,221,493,492,336,219,111,39,9,2000,278,897,1841,1288,975,816,482,121,38,6740
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,11,5,0,0,0,25
