SED_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SED24408,0,0,3,233,153,24,3,195,16,49,10,25,6,25,323,839,8,4,3,17,4,3,0,0,3,3,10,56,1091,260,59,2038,197,832,79,250,61,356,352,5576
SED24504,8,4,3,854,135,37,10,180,15,91,13,38,11,44,375,942,10,0,6,12,7,4,3,3,3,6,11,70,1342,402,68,2508,259,1274,113,351,84,380,413,7191
SED24606,15,65,3,2866,118,21,7,140,9,140,14,45,8,38,434,975,16,4,0,14,0,12,0,3,0,7,13,73,1427,215,43,2186,207,1525,44,302,60,374,463,6845
SED24703,9,16,0,1165,58,14,4,40,7,40,0,17,3,34,314,540,3,0,4,6,0,3,0,3,3,6,18,39,1052,187,50,1116,212,1202,44,274,59,421,351,4963
SED24808,3,14,0,511,153,27,8,145,14,122,11,44,22,86,351,983,16,0,9,11,0,13,3,4,7,24,40,131,1878,277,80,2573,325,2299,91,528,169,967,422,9604
SED24904,0,4,0,302,141,18,8,143,15,84,9,20,10,63,361,868,12,4,8,11,3,11,3,0,4,20,29,100,1297,220,75,2013,216,1008,82,305,77,595,416,6310
SED25003,0,18,0,624,141,27,16,174,17,143,5,47,21,97,382,1068,19,0,8,19,0,10,0,8,7,9,29,116,2025,385,103,2988,303,2321,99,646,143,1064,440,10512
SED25102,4,11,0,857,158,28,3,242,22,95,12,29,6,33,347,974,17,6,13,25,3,11,0,8,5,3,17,109,1482,352,67,2973,300,1377,109,343,82,389,376,7841
SED25205,3,15,0,1305,158,28,14,172,13,72,3,24,9,55,351,895,18,0,7,14,0,13,0,3,5,7,11,70,1807,307,79,3199,304,1481,88,307,81,458,374,8474
SED25302,5,20,7,1315,170,37,3,212,23,80,4,43,11,41,375,992,11,0,5,27,0,4,0,0,0,3,12,68,1593,331,66,3106,212,1261,66,313,72,371,401,7780
SED25402,4,11,0,545,113,22,6,165,13,86,8,25,15,62,329,836,5,0,3,10,0,9,3,3,6,17,16,78,1001,221,62,2258,236,1181,101,354,103,645,360,6515
SED25501,4,39,0,1520,117,32,9,108,9,92,3,28,7,82,569,1055,6,0,3,6,3,3,0,3,0,3,19,54,2023,411,60,2270,206,1846,45,531,85,879,602,8965
SED25605,7,44,4,874,110,27,12,123,12,91,3,43,12,121,354,897,11,0,3,13,0,5,0,4,6,10,17,74,1702,339,53,2036,179,1714,64,557,92,1123,396,8260
SED25704,0,4,0,276,159,31,12,208,16,76,8,27,12,50,324,918,13,0,3,22,0,8,0,5,0,6,24,79,1328,237,94,2168,231,949,87,297,78,426,381,6272
SED25802,4,6,0,531,152,21,5,197,27,99,3,45,11,60,318,932,18,0,12,18,3,10,0,7,5,10,15,102,1240,322,80,2523,271,1340,92,376,100,510,357,7205
SED25905,0,13,0,602,151,27,13,163,18,135,11,39,24,112,375,1066,14,3,13,13,3,14,0,0,5,16,31,118,1801,358,77,2561,256,2232,67,607,125,1056,427,9573
SED26005,3,11,4,812,224,24,12,195,17,170,13,38,24,108,516,1329,11,0,16,20,3,14,0,0,0,10,47,122,2905,445,104,3582,337,3038,112,750,170,1108,599,13148
SED26102,3,13,0,396,89,47,7,176,12,69,10,38,11,62,222,736,11,3,8,12,0,12,0,0,3,9,19,76,810,343,61,1896,167,940,73,324,64,448,251,5391
SED26207,8,26,4,1254,134,23,11,163,25,102,4,50,10,82,298,896,8,0,9,18,0,8,0,0,0,21,26,90,1671,263,84,2596,289,1418,81,403,91,823,335,8040
SED26303,10,15,3,1718,86,18,3,117,10,48,12,25,7,71,308,694,10,0,6,8,0,6,0,5,0,5,13,56,1307,382,50,2547,272,1110,91,320,54,556,332,7035
SED26406,3,23,0,1398,111,24,0,114,10,77,5,15,6,70,363,798,8,0,6,23,0,8,0,0,0,5,15,57,1623,326,51,2427,276,1664,75,403,76,616,389,7922
SED26504,0,3,0,248,143,31,7,159,10,57,5,23,9,47,274,764,7,0,7,11,4,8,0,0,4,6,23,73,1163,250,69,1929,198,763,78,245,68,379,314,5471
SED26603,0,27,0,937,96,22,19,135,18,98,6,46,18,97,362,899,3,0,8,14,6,12,3,4,0,13,40,107,1487,359,80,2566,359,1869,78,538,119,1009,432,8902
SED26708,0,4,0,372,162,20,17,199,11,64,5,27,9,27,296,851,18,0,6,21,4,7,3,3,7,11,11,83,1317,292,94,2416,234,979,77,284,84,345,340,6455
SED26806,3,29,0,1222,65,15,8,51,6,35,3,10,3,37,263,489,4,0,3,9,0,0,0,0,3,7,9,37,801,146,22,1080,189,859,44,202,49,304,281,3970
SED26903,7,20,0,483,78,17,13,85,8,65,3,35,8,97,275,682,7,3,4,10,0,3,3,3,11,17,37,96,1066,374,61,1921,231,1494,69,512,126,1136,333,7325
SED27003,5,22,0,1429,63,9,3,61,7,38,7,20,3,44,244,513,0,0,7,9,3,0,0,0,3,4,15,45,1034,205,54,1359,242,745,31,234,57,495,274,4739
SED27101,3,8,0,983,94,21,8,126,10,70,9,27,5,52,307,738,10,0,6,8,4,7,3,0,0,8,7,56,1450,302,53,2746,318,1607,71,425,70,602,326,7974
SED27208,0,0,0,214,125,27,8,152,14,77,7,24,8,64,276,788,7,0,3,9,3,3,3,0,0,18,9,69,1061,257,56,1920,206,934,95,325,76,582,307,5816
SED27305,7,24,3,1144,176,26,5,209,25,104,13,29,10,67,363,1029,15,6,7,24,3,7,0,3,8,9,25,99,2062,330,66,3012,275,1690,62,386,72,574,395,8920
SED27406,11,37,0,2478,134,23,3,189,11,91,5,28,8,42,443,973,7,0,4,15,0,4,0,4,3,3,9,51,1693,267,46,2745,259,1414,51,329,61,419,454,7731
SED27504,3,11,0,400,190,21,9,137,13,97,17,30,3,86,306,913,11,3,3,22,0,5,3,0,4,24,26,111,1595,263,70,2291,243,1165,90,371,108,773,354,7322
SED27608,5,9,0,962,146,32,4,211,17,97,4,44,9,52,433,1045,9,3,3,18,4,3,4,0,3,0,14,72,1616,370,83,3487,345,1586,87,380,93,377,458,8878
SED27708,3,7,0,370,143,25,7,182,6,72,12,24,10,32,317,830,3,0,13,12,3,3,0,0,3,4,15,57,1166,326,89,2431,230,1003,92,309,93,393,361,6499
SED27807,4,28,0,286,72,21,13,95,12,120,6,48,22,172,304,891,10,0,9,8,0,10,4,0,3,35,60,139,1191,358,70,1381,174,1962,60,831,159,1870,410,8461
SED27907,3,10,0,657,124,20,3,122,13,99,10,25,19,75,317,834,21,3,9,19,3,3,0,4,3,9,23,92,1532,271,54,2519,276,1515,90,405,102,674,367,7805
SED28007,3,22,0,936,187,37,17,206,23,155,19,59,31,124,437,1302,16,0,4,30,3,11,0,3,9,14,47,148,2667,417,109,3482,391,2663,109,669,198,1022,505,12242
SED28107,13,11,0,772,170,29,14,148,26,141,7,54,29,91,541,1262,11,5,7,24,4,13,0,0,9,22,55,147,3251,499,125,3480,491,3913,128,926,251,1149,639,14847
SED28203,7,23,3,289,86,22,6,77,13,113,3,57,15,207,352,965,4,3,5,14,3,12,0,10,3,35,51,142,1396,344,76,1749,268,2099,93,683,165,1976,458,9306
SED28301,13,44,3,1906,149,30,10,187,19,108,5,49,7,75,502,1150,13,0,10,26,3,11,0,0,3,3,13,94,1730,427,65,2988,230,1850,73,482,87,750,529,9213
SED28408,4,4,0,552,105,13,0,129,11,57,7,18,0,38,255,644,9,0,3,13,3,6,0,0,0,11,10,62,1098,238,39,2108,197,1000,66,265,52,404,275,5753
SED28507,3,16,3,491,128,23,5,141,19,117,6,35,9,81,344,902,21,3,4,15,0,6,0,5,3,13,38,106,1783,277,63,2230,279,2309,88,594,125,932,419,9093
SED28607,17,19,0,2040,136,19,13,146,13,74,4,36,12,75,423,936,11,0,0,16,3,4,3,3,6,10,21,76,1895,314,76,2946,417,1606,92,411,100,685,458,9003
SED28704,3,13,0,1077,197,35,14,259,28,145,13,28,17,70,445,1249,24,3,20,34,4,17,3,0,4,6,23,145,2409,433,115,4286,515,2472,129,433,142,595,498,12032
SED28803,4,26,3,775,174,34,22,165,26,170,5,75,40,159,488,1357,14,4,12,13,5,18,0,0,12,35,53,162,2663,458,120,3163,388,3360,130,1055,236,1925,586,14089
SED29494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
