SED_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
SED21106,0,4,1749,1758,7,79,1335,1422,708,855,1442,3016,2210,613,747,3574,2899,479,807,4184,2304,324,667,3295,1672,159,483,2311,773,37,299,1099,255,10,174,439,10831,2555,7701,21090,0,10,1620,1632,19,142,1342,1501,1017,959,1662,3638,2546,570,1179,4298,3165,458,1297,4916,2178,274,1126,3580,1452,91,977,2520,560,23,835,1418,138,4,603,750,11068,2532,10650,24257,0,11,3370,3386,24,217,2677,2925,1729,1819,3103,6651,4758,1186,1927,7872,6059,935,2102,9091,4483,598,1794,6872,3119,253,1460,4836,1331,56,1132,2517,393,14,779,1191,21900,5090,18351,45343
SED21203,7,8,2400,2412,115,64,2566,2750,2101,295,3158,5558,2628,249,1318,4197,2610,258,1282,4154,1885,158,908,2953,1352,63,489,1907,963,26,318,1316,215,0,167,388,11894,1133,12608,25631,17,10,2375,2401,463,81,1789,2340,2799,334,1894,5026,2655,277,1199,4131,2430,243,1508,4181,1656,135,1245,3033,1217,56,1009,2287,627,10,998,1641,78,0,460,536,11937,1157,12487,25577,24,13,4780,4820,576,150,4359,5085,4901,627,5053,10580,5285,526,2518,8331,5040,503,2787,8332,3538,298,2148,5987,2572,123,1502,4194,1594,43,1315,2954,293,3,631,925,23824,2284,25092,51204
SED21303,0,15,1210,1228,36,251,2483,2763,1528,2160,4545,8231,2328,1173,1657,5160,1800,566,1154,3520,1298,295,870,2455,953,108,537,1601,726,23,325,1078,232,0,163,396,8897,4592,12946,26437,3,26,1178,1210,110,392,2869,3372,1886,2224,4526,8634,2361,1094,1900,5359,1785,519,1455,3753,1283,288,1250,2821,894,67,915,1875,562,12,896,1474,95,4,451,548,8972,4619,15446,29040,3,39,2387,2434,148,639,5350,6139,3415,4384,9072,16870,4688,2269,3559,10517,3579,1083,2611,7276,2582,581,2121,5279,1841,179,1456,3475,1286,38,1226,2547,331,4,613,947,17871,9214,28389,55479
SED21401,0,3,1807,1812,16,71,1747,1837,1141,377,1911,3430,2266,251,780,3295,2717,221,820,3756,2498,182,563,3238,2394,71,345,2815,1840,47,341,2224,440,20,205,666,13308,1237,8531,23074,0,7,1627,1632,45,115,1568,1723,1475,408,1578,3463,2534,252,857,3641,2917,238,1108,4267,2579,141,977,3692,2409,73,936,3425,1280,23,1180,2487,175,0,619,798,13431,1247,10449,25127,0,7,3432,3445,67,186,3315,3565,2619,778,3492,6892,4803,501,1637,6935,5637,452,1928,8020,5074,317,1535,6930,4803,144,1285,6234,3122,72,1522,4711,614,22,829,1465,26740,2486,18981,48204
SED21503,0,9,1726,1733,38,136,2442,2618,1466,658,2275,4403,2522,359,908,3793,2253,294,806,3354,2045,169,617,2832,1729,59,420,2213,956,17,251,1230,219,3,143,358,11232,1697,9590,22522,4,10,1604,1616,92,192,2141,2430,1884,668,1828,4383,2621,378,897,3893,2332,277,1051,3672,1996,131,1016,3142,1560,53,884,2500,697,16,803,1513,103,0,425,527,11286,1720,10658,23668,4,12,3325,3345,129,331,4588,5045,3348,1323,4109,8781,5143,737,1805,7681,4590,573,1861,7020,4042,297,1634,5974,3287,113,1308,4711,1655,30,1059,2740,324,4,561,885,22516,3422,20250,46193
SED21608,0,22,1690,1708,21,232,1556,1812,950,709,1206,2864,1896,529,804,3227,2125,484,874,3478,2183,277,866,3331,1691,136,652,2480,707,40,310,1052,160,3,134,294,9738,2422,8095,20260,0,31,1589,1623,62,337,1372,1775,1230,719,1147,3094,2054,522,961,3538,2278,476,1121,3870,2128,247,1108,3484,1536,103,967,2600,483,24,678,1183,71,3,377,451,9836,2458,9323,21616,0,53,3283,3332,86,574,2935,3587,2181,1429,2353,5961,3954,1046,1767,6766,4398,957,1997,7349,4316,525,1976,6809,3223,235,1614,5075,1187,59,983,2239,225,5,512,748,19576,4883,17419,41876
SED21706,0,13,1979,1993,32,108,2906,3043,1320,609,2329,4257,2638,329,654,3619,2902,285,755,3943,2219,205,649,3073,1464,87,433,1980,805,27,262,1100,277,0,196,478,11660,1661,10162,23478,0,13,2122,2136,72,158,2518,2751,1626,600,1889,4111,2962,348,869,4178,3052,294,1213,4555,2074,175,1190,3437,1285,61,1036,2383,600,8,899,1503,157,0,722,877,11820,1666,12457,25941,5,24,4099,4132,99,272,5417,5791,2945,1207,4222,8372,5595,682,1524,7797,5953,581,1965,8505,4292,378,1834,6504,2749,149,1468,4365,1403,39,1162,2604,432,0,922,1352,23478,3331,22615,49427
SED21805,0,8,1728,1733,28,192,1530,1745,1406,1052,1610,4077,2679,786,1220,4681,2362,580,1322,4262,2100,317,1123,3545,1479,153,682,2317,678,31,345,1058,175,8,171,356,10919,3134,9733,23785,0,20,1660,1683,70,291,1356,1719,1960,1146,1495,4600,2781,761,1254,4797,2392,587,1524,4513,1894,309,1510,3720,1294,89,1268,2654,507,18,858,1383,73,9,484,564,10983,3231,11415,25629,0,30,3382,3412,104,484,2887,3467,3372,2198,3107,8674,5464,1553,2469,9479,4759,1166,2844,8772,4002,629,2632,7266,2776,240,1955,4971,1182,48,1205,2440,248,18,661,923,21903,6366,21146,49415
SED21906,0,0,1432,1433,72,162,1869,2104,1749,1215,2630,5600,2520,589,992,4101,2145,393,827,3362,1946,245,770,2956,1539,133,552,2225,646,30,279,958,258,16,178,452,10881,2793,9523,23198,8,7,1404,1418,153,241,1884,2280,2230,1230,2377,5840,2534,495,1245,4277,2257,360,1139,3755,1891,202,1113,3210,1299,91,984,2365,510,21,781,1311,112,3,631,750,11003,2647,11553,25202,12,7,2829,2855,233,397,3750,4385,3982,2453,5005,11439,5055,1086,2235,8381,4400,751,1961,7115,3835,452,1882,6170,2837,222,1538,4591,1158,50,1058,2267,372,22,814,1205,21882,5444,21077,48395
SED22005,5,12,1971,1988,73,132,3310,3519,2350,623,3356,6323,3001,371,1330,4708,2436,304,1176,3918,2148,163,935,3246,1797,83,567,2450,1217,23,383,1625,335,3,244,575,13363,1724,13273,28350,5,19,1800,1818,233,191,2513,2935,2980,634,2260,5875,3026,355,1238,4612,2419,277,1443,4143,2076,146,1347,3569,1672,64,1095,2830,853,19,1068,1932,152,4,697,850,13416,1701,13457,28573,9,29,3767,3808,310,323,5824,6453,5331,1256,5619,12205,6024,727,2569,9323,4860,585,2619,8061,4223,310,2283,6816,3470,143,1666,5282,2069,45,1448,3562,480,7,934,1423,26773,3425,26731,56929
SED22105,0,13,2791,2808,118,290,2418,2820,3943,1359,2459,7760,5597,786,1272,7656,3455,531,1105,5094,2347,277,809,3434,1443,89,454,1987,615,27,232,869,135,6,122,263,17650,3376,11670,32697,15,31,2575,2610,349,449,2028,2829,5405,1410,2079,8894,5129,745,1428,7298,3095,481,1500,5070,2045,240,1267,3555,1180,68,997,2245,453,8,647,1106,73,3,267,348,17738,3439,12782,33955,17,41,5361,5423,468,738,4448,5651,9350,2771,4533,16660,10727,1534,2697,14950,6547,1011,2605,10165,4391,520,2077,6986,2626,157,1451,4236,1066,35,881,1975,207,13,394,611,35386,6817,24451,66650
SED22201,0,10,1731,1732,32,121,1511,1669,1397,788,1462,3654,2354,431,780,3571,2153,329,867,3350,2106,218,679,3002,1583,90,423,2093,859,18,260,1135,216,7,168,394,10701,2013,7886,20597,0,11,1569,1577,86,201,1389,1676,1866,806,1329,4000,2351,459,976,3783,2276,338,1280,3892,2007,179,1222,3405,1463,76,1118,2661,680,11,868,1560,94,0,510,613,10822,2086,10265,23174,0,19,3296,3312,124,325,2900,3351,3265,1594,2791,7657,4704,893,1757,7355,4431,666,2144,7241,4110,392,1907,6409,3038,170,1538,4751,1534,31,1127,2692,317,8,680,1005,21530,4093,18146,43771
SED22305,8,14,2024,2039,139,110,2846,3098,2459,426,3642,6527,3077,272,1993,5340,2157,250,1542,3944,2153,160,1115,3433,1602,87,697,2386,914,40,322,1266,226,14,161,396,12728,1365,14336,28437,19,24,1847,1889,442,150,1550,2145,3341,456,1940,5729,2791,283,1274,4349,2040,212,1370,3625,2015,166,1419,3603,1356,75,1128,2566,623,25,961,1606,80,6,517,602,12703,1396,12012,26113,19,40,3874,3932,585,259,4400,5241,5802,882,5576,12262,5865,559,3261,9689,4192,460,2916,7571,4172,324,2536,7031,2958,166,1826,4951,1533,61,1284,2873,310,16,673,999,25434,2768,26349,54550
SED22404,0,13,1534,1547,19,135,1050,1204,716,589,950,2251,1551,612,730,2895,2135,608,1050,3790,2391,401,1049,3838,2062,220,835,3124,839,43,370,1257,188,4,132,325,9897,2619,7711,20222,0,26,1402,1424,32,203,897,1133,995,630,773,2393,1760,665,776,3204,2229,588,1091,3908,2473,367,1102,3936,1848,152,974,2976,559,20,713,1287,67,6,354,426,9960,2657,8077,20693,0,36,2943,2973,48,341,1947,2331,1707,1214,1723,4645,3316,1277,1499,6099,4363,1193,2140,7698,4863,763,2148,7772,3908,379,1806,6095,1394,66,1080,2545,258,11,490,752,19854,5276,15787,40913
SED22501,0,0,1878,1884,13,50,1629,1701,890,477,1378,2740,2546,435,575,3561,2910,361,600,3867,2954,249,525,3726,2094,115,369,2580,721,21,181,921,133,6,91,226,12256,1709,7231,21199,3,0,1744,1753,31,96,1509,1634,1204,499,1103,2805,2806,524,679,4004,3096,399,939,4431,2949,219,1039,4200,1736,74,786,2596,517,13,571,1098,61,0,307,371,12391,1821,8681,22893,3,3,3630,3633,45,147,3134,3329,2092,974,2486,5550,5351,964,1253,7562,6003,755,1540,8294,5903,464,1565,7929,3829,190,1160,5177,1237,34,752,2022,190,6,399,595,24645,3535,15911,44089
SED22607,0,11,1585,1601,33,159,2108,2300,1568,1150,2589,5310,2577,551,1126,4256,2560,411,1010,3976,2036,242,888,3158,1217,81,550,1850,623,31,251,906,231,3,181,411,10841,2640,10285,23769,0,15,1685,1706,86,255,1965,2308,1975,1170,2696,5839,2770,551,1351,4667,2554,331,1355,4242,1930,221,1294,3452,1051,53,902,2003,488,14,806,1307,99,0,502,602,10957,2616,12560,26133,0,30,3270,3306,120,411,4075,4606,3540,2317,5294,11145,5354,1105,2474,8926,5109,744,2366,8222,3965,460,2184,6613,2266,141,1450,3855,1117,45,1058,2216,325,4,680,1012,21795,5256,22849,49898
SED22704,0,9,1720,1728,29,190,1172,1396,827,591,1081,2506,1575,523,772,2870,2185,507,1172,3868,2604,416,1297,4327,2318,241,1017,3575,1182,63,501,1745,285,10,221,521,11008,2551,8966,22527,3,28,1556,1586,80,285,905,1269,1086,617,957,2653,1784,535,876,3204,2430,536,1228,4197,2708,363,1245,4316,2090,175,1160,3426,831,29,960,1817,123,8,502,639,11140,2578,9389,23107,3,37,3278,3314,104,477,2084,2660,1912,1207,2037,5162,3364,1060,1651,6071,4620,1041,2406,8060,5309,786,2542,8640,4411,411,2176,6996,2013,87,1461,3562,415,21,724,1157,22146,5126,18351,45630
SED22802,0,14,1935,1946,29,139,1523,1696,1278,787,1342,3409,2181,463,712,3352,2465,386,774,3626,2247,235,571,3052,1768,102,398,2269,730,18,227,977,158,4,108,275,10857,2158,7593,20611,3,19,1848,1871,62,229,1298,1586,1647,801,1090,3535,2342,458,790,3594,2561,392,1008,3966,2180,201,912,3300,1538,70,765,2377,512,17,605,1140,73,4,298,374,10931,2199,8616,21748,3,31,3780,3819,91,369,2822,3286,2922,1587,2431,6944,4526,920,1500,6946,5028,784,1789,7597,4425,440,1488,6353,3314,172,1165,4649,1240,35,841,2114,233,8,403,649,21786,4358,16214,42356
SED22901,0,7,1733,1734,20,92,1678,1787,1240,545,1738,3525,2227,375,814,3417,2334,324,780,3438,2607,190,634,3425,1938,87,416,2441,845,12,248,1108,206,5,132,346,11418,1632,8172,21225,0,4,1639,1644,55,146,1458,1656,1615,574,1400,3592,2413,364,824,3604,2455,331,1040,3829,2629,175,1124,3938,1646,59,960,2665,569,11,744,1322,118,4,494,615,11504,1681,9688,22871,3,7,3369,3386,73,244,3135,3446,2855,1116,3140,7117,4639,741,1639,7025,4790,659,1821,7264,5239,365,1758,7360,3582,147,1373,5103,1418,23,989,2433,323,9,627,964,22926,3311,17862,44093
SED23007,0,12,1806,1818,100,212,3411,3725,2560,1299,4863,8721,2987,822,1994,5812,2111,479,1569,4164,1833,287,1228,3341,1372,88,692,2143,765,26,347,1133,222,6,147,370,11949,3239,16048,31230,11,15,1837,1865,307,295,2614,3218,3329,1336,3352,8014,2815,761,1839,5415,2033,408,1775,4216,1726,211,1549,3483,1183,61,1039,2288,523,18,844,1381,86,0,465,558,12012,3113,15317,30447,8,29,3642,3681,412,511,6028,6946,5885,2636,8217,16736,5810,1587,3834,11225,4148,889,3347,8379,3555,496,2774,6827,2550,151,1726,4435,1289,41,1191,2516,308,5,613,931,23967,6348,31367,61680
SED23101,0,6,1859,1863,22,68,1865,1955,1121,341,1701,3161,2570,240,710,3523,2643,195,675,3518,2235,124,583,2941,2096,84,422,2606,1375,32,323,1730,321,6,195,517,12381,1098,8327,21802,0,7,1731,1744,41,70,1598,1705,1501,353,1300,3159,2887,242,829,3957,2711,222,983,3920,2201,124,1096,3424,2098,61,996,3151,958,20,1092,2070,134,3,597,736,12539,1108,10226,23872,0,18,3593,3606,65,139,3464,3666,2622,698,3000,6316,5458,487,1536,7483,5355,424,1659,7434,4436,249,1680,6361,4193,143,1418,5755,2334,49,1417,3799,457,8,785,1250,24917,2203,18550,45676
SED23205,0,13,1585,1602,29,195,1460,1686,957,878,1688,3526,1695,629,1140,3459,1802,416,1330,3551,1862,255,1137,3255,1614,132,725,2472,866,39,416,1320,240,6,222,469,9067,2569,9704,21339,0,30,1517,1555,69,304,1334,1705,1282,940,1475,3702,1813,582,1257,3657,1881,407,1578,3867,1854,233,1542,3627,1481,96,1304,2883,655,26,995,1670,102,8,553,668,9136,2630,11553,23321,0,49,3110,3161,98,495,2792,3393,2239,1822,3170,7223,3507,1209,2393,7114,3680,830,2908,7413,3711,488,2680,6883,3095,228,2028,5359,1515,63,1405,2984,348,15,774,1137,18200,5201,21262,44665
