SED_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SED21106,11425,33480,2569,5397,2359,5599,4928,10993,2841,5066,3384,5542,882,1524,4,9,7102,12141,3,6,0,0,0,0,83,180,85,179,108,256,23651,57057,3243,..,26892,57057
SED21203,17674,56664,1529,4116,1109,3266,2636,7380,967,2674,3,10,100,225,9,10,1078,2916,8,8,95,108,0,9,139,447,248,569,108,263,21741,67795,1794,..,23538,67795
SED21303,11824,32275,3653,7870,3784,9168,7446,17038,3736,6510,1613,2764,3844,6606,5,15,9194,15894,0,3,0,0,0,0,176,427,177,429,114,238,28750,65875,3115,..,31862,65875
SED21401,16466,46275,1377,2866,2334,6463,3711,9322,391,818,296,532,995,1901,0,4,1679,3256,0,4,0,9,0,0,10,35,17,51,64,94,21938,59002,2302,..,24243,59002
SED21503,16830,47943,1558,3125,1458,3776,3015,6903,573,1220,463,790,319,574,3,4,1355,2591,0,0,0,0,0,0,12,29,12,29,34,83,21255,57547,1691,..,22941,57547
SED21608,18653,48146,2287,4388,95,201,2384,4594,358,587,0,0,0,0,0,0,362,585,17,28,10,22,12,23,71,176,107,257,119,226,21621,53802,2695,..,24318,53802
SED21706,15477,45904,3090,6091,1940,5446,5028,11539,1574,3305,538,895,276,445,0,8,2384,4649,3,10,0,3,0,0,46,96,47,106,83,211,23027,62413,2254,..,25282,62413
SED21805,17553,48200,4029,7442,2283,5103,6313,12546,683,1176,181,281,65,120,0,0,927,1582,18,29,363,470,0,3,29,77,411,573,37,63,25244,62970,2186,..,27433,62970
SED21906,9434,27932,3951,8825,2642,6923,6597,15745,5594,10562,2572,4697,605,1070,20,31,8790,16354,0,3,0,0,0,0,170,371,175,379,112,225,25117,60641,2707,..,27820,60641
SED22005,16856,50031,3809,9453,2178,6552,5986,16003,1577,3176,445,920,122,217,3,12,2142,4327,3,8,0,3,0,0,19,29,26,44,90,177,25095,70588,1992,..,27086,70588
SED22105,26058,83938,2786,6635,422,1110,3209,7743,374,709,21,40,3,11,0,0,396,764,3,5,0,0,0,3,0,8,8,19,43,107,29711,92579,1868,..,31582,92579
SED22201,19485,51186,1159,2101,571,1356,1730,3458,123,223,171,295,84,136,0,0,377,653,0,3,0,0,0,0,5,26,6,36,57,117,21658,55451,1760,..,23414,55451
SED22305,16083,49426,3888,9622,1195,3647,5084,13272,2184,4915,241,505,260,534,0,3,2686,5956,52,63,35,79,3,12,247,703,338,860,73,166,24267,69678,2074,..,26342,69678
SED22404,19912,49553,550,910,29,52,579,961,137,204,3,3,10,41,3,8,152,255,159,216,123,164,40,84,47,101,363,569,140,283,21144,51619,5906,..,27052,51619
SED22501,17930,51727,1027,1713,657,1470,1682,3184,565,973,22,37,0,0,0,0,589,1011,6,6,0,0,0,0,10,33,19,46,30,72,20255,56037,1383,..,21639,56037
SED22607,11986,34602,2400,5203,2638,6274,5040,11476,2742,4930,2928,5093,2672,5498,0,3,8341,15523,0,0,0,3,0,0,99,213,105,211,100,197,25571,62021,2535,..,28105,62021
SED22704,22429,54337,501,719,40,87,541,813,746,1041,38,48,43,60,0,0,817,1149,98,132,91,126,22,39,52,113,255,413,141,301,24191,57013,4133,..,28321,57013
SED22802,17986,51350,1022,1653,279,590,1300,2245,21,36,51,87,0,7,3,4,75,125,40,46,29,38,3,13,10,30,80,125,69,170,19510,54019,1547,..,21054,54019
SED22901,17240,48962,1669,3015,789,2030,2454,5043,149,189,83,130,112,182,0,0,342,504,20,27,102,130,0,0,15,39,142,196,42,74,20211,54779,1473,..,21685,54779
SED23007,15477,44943,2542,5845,4498,12648,7036,18484,2643,5431,1275,2477,2278,4104,32,78,6228,12092,0,14,13,30,3,0,82,205,98,251,112,220,28953,75986,2729,..,31684,75986
SED23101,17101,49194,2344,4750,869,2433,3213,7180,420,624,62,87,3,9,8,12,485,727,0,4,0,0,0,0,16,48,17,53,31,72,20852,57231,1588,..,22443,57231
SED23205,18553,47572,3206,5056,815,1642,4026,6702,809,1256,56,85,66,90,8,9,938,1439,15,24,36,47,0,0,21,66,74,132,49,109,23637,55952,2314,..,25954,55952
SED23308,19510,47485,3213,5070,908,1852,4120,6926,1295,1980,107,157,186,307,4,8,1597,2455,43,62,130,165,0,5,57,117,230,357,73,140,25531,57365,3208,..,28740,57365
SED23402,20010,58598,1969,3656,573,1372,2546,5024,180,253,0,0,3,6,0,0,186,257,3,6,49,71,4,4,10,39,74,121,61,149,22868,64144,1840,..,24710,64144
SED23502,21243,49317,613,897,62,111,674,1016,362,538,0,0,0,0,3,0,365,541,116,172,132,204,15,41,64,126,334,547,251,485,22866,51902,5863,..,28726,51902
SED23602,19727,47336,674,940,89,133,763,1070,563,810,31,68,0,0,7,8,597,884,79,112,45,74,11,22,61,100,193,305,93,181,21368,49773,8066,..,29435,49773
SED23702,20293,56942,2811,4851,333,690,3141,5538,131,258,0,0,3,7,0,0,131,262,40,53,178,221,6,18,7,19,230,316,35,72,23837,63129,1684,..,25518,63129
SED23806,10204,31126,3303,7409,1546,3980,4846,11389,3427,6406,3449,6309,2980,5081,0,0,9850,17800,4,6,0,0,0,0,78,194,78,201,106,225,25086,60744,2677,..,27765,60744
SED23901,16426,45107,2820,5507,1718,4235,4535,9742,1950,3761,209,366,318,540,4,12,2474,4677,0,0,0,3,0,4,31,71,34,74,94,186,23564,59783,2393,..,25961,59783
SED24006,14321,43447,2285,4827,2027,5349,4315,10180,1527,2897,805,1573,465,840,0,0,2799,5302,0,0,0,7,3,3,41,88,47,93,66,147,21535,59167,2457,..,23994,59167
SED24105,18062,58046,1800,3977,910,2675,2712,6653,944,2138,84,148,53,112,3,17,1076,2414,65,68,14,23,3,7,14,32,91,128,53,130,21997,67373,1302,..,23298,67373
SED24207,22026,72356,1000,2510,1065,3102,2063,5618,131,266,27,49,88,176,8,12,252,501,41,55,59,83,0,3,19,57,122,198,25,77,24491,78750,1450,..,25936,78750
SED24308,20621,53435,2095,3684,296,562,2382,4247,498,867,0,0,0,0,3,4,499,870,17,30,28,32,0,3,62,160,110,228,71,145,23684,58924,2253,..,25937,58924
SED24408,20633,47817,762,1125,28,44,782,1173,651,879,0,0,0,0,0,3,652,885,25,47,8,20,17,23,84,179,138,276,202,408,22404,50555,4800,..,27205,50555
SED24504,19073,50238,723,1191,21,45,744,1236,193,280,0,0,0,4,6,11,198,287,23,27,29,38,14,23,80,160,141,248,130,262,20288,52269,3729,..,24019,52269
SED24606,9781,29604,2461,5264,2177,5113,4632,10379,3856,7108,3067,5466,1008,1617,3,5,7936,14191,0,0,3,11,0,0,202,346,209,352,81,173,22641,54700,3011,..,25654,54700
SED24703,1723,4562,3963,8959,4898,12654,8861,21606,1507,2989,3797,7141,31282,62326,19,47,36604,72493,0,0,8,10,52,59,124,289,189,361,378,768,47756,99791,7480,..,55240,99791
SED24808,23053,66436,2739,5938,369,942,3106,6884,131,227,0,0,4,14,0,3,137,241,8,13,25,32,0,3,16,57,49,102,63,140,26407,73801,1964,..,28370,73801
SED24904,19853,51027,1678,2764,66,120,1737,2883,1217,1872,0,0,0,0,3,3,1220,1878,134,212,108,185,13,44,43,82,296,524,133,297,23241,56607,3142,..,26386,56607
SED25003,17737,55313,2220,5880,1362,3822,3584,9700,152,289,174,270,30,61,0,0,353,618,0,0,0,0,0,0,6,7,6,7,25,68,21703,65712,1338,..,23040,65712
SED25102,18669,51954,429,761,85,155,514,921,74,149,0,0,3,3,0,0,78,151,0,5,0,0,3,19,19,39,25,60,76,165,19364,53250,1627,..,20990,53250
SED25205,13512,39205,3480,6900,1812,4669,5289,11568,3970,7131,315,517,20,31,13,16,4314,7690,0,3,0,5,0,0,60,130,68,142,95,255,23276,58854,2076,..,25358,58854
SED25302,17844,49064,1187,2046,611,1297,1804,3340,2273,3566,38,63,4,13,0,8,2318,3651,10,16,110,144,3,6,3,16,128,180,53,108,22143,56345,3521,..,25666,56345
SED25402,21766,53807,1122,1584,97,208,1220,1796,1220,1739,0,0,0,0,0,0,1223,1742,9,17,63,88,6,6,13,28,92,131,97,161,24396,57631,3218,..,27619,57631
SED25501,16051,47035,1167,3071,701,2119,1864,5195,2933,7248,172,378,97,198,0,0,3197,7826,0,3,0,0,0,3,9,30,14,35,56,159,21182,60241,2104,..,23284,60241
SED25605,17028,49676,1475,3269,1084,3065,2565,6334,1166,2525,286,507,0,3,7,17,1467,3055,27,32,55,72,3,0,11,22,96,131,37,61,21192,59264,1583,..,22771,59264
SED25704,20873,51574,1018,1537,27,38,1040,1573,946,1398,0,0,0,6,5,9,950,1412,96,159,56,92,0,4,46,116,201,366,155,381,23216,55302,3318,..,26527,55302
SED25802,21884,56660,1179,1763,52,74,1233,1836,1056,1523,0,0,0,0,0,5,1056,1525,79,114,80,128,4,6,20,36,183,284,101,211,24457,60524,3010,..,27468,60524
SED25905,18855,57759,1095,2793,601,1799,1693,4598,242,440,0,0,0,4,0,0,245,442,30,46,80,118,0,0,8,28,115,191,29,70,20937,63053,1311,..,22250,63053
SED26005,22285,75665,814,2319,406,1196,1218,3512,56,141,20,20,10,17,4,7,91,184,3,4,0,0,0,0,18,44,26,50,25,52,23643,79467,1072,..,24713,79467
SED26102,20732,47803,1445,2238,523,1139,1973,3374,319,473,13,19,16,30,3,6,356,533,100,126,136,198,6,17,16,37,267,371,89,164,23407,52238,23405,..,46810,52238
SED26207,16025,44407,2035,4050,2335,6064,4367,10110,742,1436,35,64,49,72,8,15,838,1589,0,0,0,4,0,0,125,300,127,308,57,134,21415,56543,1882,..,23298,56543
SED26303,12680,35482,3118,6870,3043,6676,6160,13548,3683,5942,702,1229,1504,2583,3,3,5895,9761,0,0,4,11,0,0,162,344,167,357,101,223,25011,59373,2386,..,27395,59373
SED26406,13077,37898,4119,8928,2190,6240,6313,15170,4425,8545,757,1432,1287,2350,0,0,6463,12329,3,3,0,0,0,0,30,79,35,86,109,241,25994,65722,2363,..,28357,65722
SED26504,19347,46695,1341,1947,93,204,1434,2151,500,771,15,34,28,71,3,11,545,889,50,79,43,81,9,12,38,79,139,260,164,333,21630,50324,4169,..,25798,50324
SED26603,16822,46685,3570,7353,4553,11303,8120,18654,1314,2557,239,451,407,726,23,54,1976,3793,4,13,0,4,0,0,75,157,79,171,103,270,27103,69572,2456,..,29563,69572
SED26708,20669,51418,685,970,53,100,735,1075,265,391,6,12,0,0,0,0,275,404,44,68,37,72,15,34,54,127,147,298,158,367,21983,53564,9711,..,31698,53564
SED26806,3028,7864,3075,6658,2363,5501,5437,12161,3796,6655,9322,15535,12299,21143,34,52,25448,43383,0,4,4,5,3,5,113,211,118,231,117,229,34152,63863,5828,..,39982,63863
SED26903,16175,43340,5081,10406,2385,5773,7469,16179,1060,2016,371,598,303,615,0,0,1734,3227,0,0,0,0,0,0,132,318,132,318,76,170,25582,63234,2419,..,28006,63234
SED27003,4101,10254,6171,14000,5012,12266,11185,26267,2882,5001,3568,6104,8497,16371,4,16,14952,27486,0,3,0,3,0,0,173,399,174,401,166,340,30580,64750,3407,..,33985,64750
SED27101,18032,48344,3219,6344,1049,2554,4264,8900,290,618,236,442,330,546,10,16,865,1619,0,0,4,6,0,0,15,33,20,43,68,169,23257,59075,1916,..,25172,59075
SED27208,22404,52284,660,929,9,11,670,943,448,615,3,5,0,0,3,6,457,628,170,231,82,123,22,36,363,804,640,1197,170,381,24335,55437,4068,..,28402,55437
SED27305,16534,50941,539,910,338,810,880,1718,232,353,45,70,4,4,0,0,279,432,0,10,0,0,0,0,117,337,119,349,15,35,17824,53468,978,..,18803,53468
SED27406,12524,35642,4003,7307,2378,5851,6378,13156,1503,2543,617,1034,906,1506,3,3,3028,5097,0,0,0,4,0,0,147,293,149,298,97,221,22169,54412,2441,..,24611,54412
SED27504,21833,57194,2167,3704,96,196,2259,3901,322,476,21,30,0,0,0,0,348,505,127,167,159,221,9,20,59,152,345,558,63,161,24856,62324,2808,..,27658,62324
SED27608,21292,58679,1733,2953,483,1036,2215,3995,147,206,27,42,7,11,0,3,180,262,0,11,5,10,5,6,105,372,119,404,55,127,23854,63461,3984,..,27840,63461
SED27708,20407,51346,1456,2189,352,648,1813,2836,829,1173,82,103,6,9,3,8,924,1294,34,62,85,141,7,10,44,97,175,316,118,266,23443,56059,4183,..,27629,56059
SED27807,18812,56508,2244,5625,1190,3475,3436,9094,1874,4324,67,138,102,238,28,53,2072,4752,3,8,24,24,0,0,53,167,81,195,71,168,24472,70724,1941,..,26413,70724
SED27907,18422,51408,1480,2669,427,976,1907,3644,954,1638,34,45,0,0,3,4,997,1686,6,14,0,3,0,0,3,18,10,38,28,75,21372,56845,1559,..,22930,56845
SED28007,18765,62644,2065,5226,1242,3579,3306,8800,304,528,71,139,3,5,3,6,380,679,0,0,0,0,0,0,5,24,5,24,40,110,22492,72258,1210,..,23704,72258
SED28107,22824,76959,3852,11364,754,2179,4605,13542,790,1710,27,37,0,10,0,0,818,1750,35,47,0,0,0,0,3,14,40,63,32,70,28323,92381,1762,..,30082,92381
SED28203,19338,58350,1200,2830,849,2378,2048,5206,864,2114,41,64,7,8,0,3,912,2188,0,0,0,4,0,0,13,57,16,68,55,133,22368,65938,1522,..,23895,65938
SED28301,16158,48859,1199,2564,1312,3765,2509,6328,698,1425,187,375,107,219,0,0,986,2019,13,23,3,8,0,0,4,15,25,43,86,175,19760,57425,1572,..,21338,57425
SED28408,18111,45005,2546,4413,414,927,2957,5343,815,1163,70,108,0,0,0,0,885,1269,0,4,3,10,0,0,31,62,34,71,89,164,22074,51852,2780,..,24856,51852
SED28507,20499,59642,2242,4779,449,1123,2699,5900,317,710,14,32,59,95,0,0,386,837,65,102,6,13,0,3,6,15,77,133,32,76,23697,66588,1922,..,25619,66588
SED28607,16989,46372,2535,5101,3804,9827,6334,14928,2011,3385,458,769,274,459,5,7,2746,4628,27,34,21,22,5,10,142,306,191,375,114,236,26380,66543,2536,..,28915,66543
SED28704,23237,70579,1126,2644,652,1611,1782,4252,158,338,47,95,3,8,0,4,205,439,3,8,8,22,3,6,3,15,21,46,58,140,25299,75460,1853,..,27151,75460
SED28803,22619,78402,1312,3695,1034,2886,2354,6583,221,568,0,0,3,12,0,0,221,576,8,11,77,116,0,0,7,19,91,144,35,124,25324,85827,1518,..,26841,85827
SED29494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
