SED_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SED21106,303,534,837,3629,4447,8074,0,0,0,134,149,283,0,0,0,5994,7390,13382,12,30,38,1075,1186,2261,31,39,64,7,12,18,110,121,227,42,29,66,75,81,148,50,58,111,447,507,954,10,12,27,15,14,29,704,992,1695,308,399,702,15,17,27,12643,15472,28116,210,202,417,124,128,254,1251,1353,2609,0,0,0,32,22,55,67,80,146,101,102,201,11700,11598,23298,136,107,242,43,92,135,11879,11792,23671,3082,3313,6400,29598,32899,62498
SED21203,700,801,1507,872,1103,1976,526,560,1084,105,114,216,3,3,8,8815,9626,18440,19,26,44,1214,1330,2549,83,89,165,109,126,238,27,40,75,127,128,256,123,137,260,116,136,255,218,276,492,23,32,54,27,24,47,231,272,503,705,699,1402,17,26,47,13366,14744,28109,849,727,1570,13191,12210,25399,8,3,10,5,3,7,344,250,593,100,114,215,449,369,817,4109,3575,7679,51,30,80,26,19,44,4179,3628,7811,3755,3373,7131,36488,35861,72350
SED21303,611,854,1464,1014,1330,2342,19,26,46,138,158,302,0,0,0,6942,8152,15097,12,10,23,2179,2378,4563,29,46,72,15,18,30,53,65,126,52,58,109,62,77,139,96,130,227,195,214,412,18,12,34,6,15,20,292,473,763,348,450,799,9,19,23,11481,13627,25114,726,574,1303,1462,1334,2798,71,102,172,4,3,8,51,38,93,134,165,297,187,209,398,15810,16281,32091,280,225,496,70,108,172,16155,16610,32761,3446,3584,7028,34147,36906,71047
SED21401,1167,1505,2674,1731,2238,3975,4,4,8,468,616,1084,3,0,4,6978,7858,14841,60,90,147,3256,3494,6749,27,25,51,28,28,58,95,103,204,231,226,463,162,183,352,255,294,549,473,570,1037,30,32,64,14,16,33,653,954,1611,682,816,1501,14,20,40,15161,17587,32756,475,469,942,751,720,1470,122,119,239,0,3,4,164,142,308,184,204,386,347,356,702,9259,8662,17917,60,43,109,28,42,67,9345,8745,18091,2314,2475,4794,29688,31976,61657
SED21503,894,1097,1984,1808,2441,4252,8,4,13,279,340,616,7,5,8,8031,9122,17149,23,32,48,2211,2279,4491,34,53,87,19,23,41,77,95,176,114,89,197,114,113,228,290,321,610,499,534,1038,63,71,140,22,26,47,524,735,1261,755,927,1688,12,11,22,14890,17217,32108,864,696,1559,1217,980,2190,19,18,35,4,3,5,193,140,338,81,136,219,284,283,564,9614,8592,18206,84,70,154,27,51,77,9726,8707,18436,2434,2459,4890,30320,31444,61764
SED21608,168,227,397,2951,3529,6478,0,0,0,237,280,523,45,46,86,6687,7234,13922,195,261,460,131,108,242,80,108,185,32,30,70,149,195,341,12,4,10,52,57,113,207,220,425,750,880,1624,83,95,176,42,66,108,1526,1956,3483,559,683,1239,17,28,45,13755,15771,29528,118,87,211,117,71,188,9,12,22,14,8,17,41,30,70,78,137,212,128,169,304,11681,10764,22449,94,82,178,37,64,95,11811,10912,22719,2969,2885,5855,29077,30145,59223
SED21706,1231,1550,2777,2389,3202,5597,3,6,5,499,654,1147,3,3,9,6313,7378,13694,44,73,121,1450,1540,2992,26,54,76,34,37,78,90,131,222,55,68,126,108,145,262,147,207,351,546,706,1252,67,108,177,37,46,87,978,1477,2463,624,754,1378,20,33,52,13448,16642,30091,906,754,1664,544,430,976,169,199,369,3,3,4,123,98,223,98,128,224,222,227,447,12419,11941,24364,88,88,181,48,68,113,12557,12108,24665,2848,2842,5694,31937,34747,66686
SED21805,431,596,1029,3467,4321,7792,0,0,0,353,373,731,4,3,5,7124,8003,15129,37,55,91,784,824,1615,114,154,270,143,155,302,116,131,249,76,83,157,110,123,230,292,358,654,723,910,1631,50,63,115,80,78,161,718,987,1699,849,1032,1882,42,45,80,15075,17714,32790,539,543,1078,336,303,647,88,91,176,0,0,0,101,60,163,89,134,226,197,193,392,13009,11774,24778,110,96,203,55,99,158,13172,11972,25138,3248,3213,6462,33084,34627,67718
SED21906,450,649,1104,1314,1696,3007,0,0,0,120,133,250,0,0,3,3736,4589,8321,11,12,24,968,1117,2084,31,43,73,9,15,25,53,82,137,15,31,51,45,63,113,55,78,129,205,264,467,6,7,14,10,12,26,317,409,723,243,346,588,21,15,37,7149,8915,16060,1382,1039,2418,207,174,381,8834,9564,18396,0,0,0,92,65,156,111,90,201,204,157,355,9917,9604,19523,133,112,243,58,79,138,10105,9796,19901,3386,3549,6936,31716,33840,65552
SED22005,3266,3716,6988,1326,1821,3146,7,3,3,268,302,571,3,3,3,7404,8094,15496,72,85,152,3393,3643,7035,91,111,201,58,39,96,54,71,123,129,139,268,135,130,268,257,293,550,440,541,982,13,23,37,58,93,144,470,606,1071,728,839,1564,22,15,36,14921,16837,31754,2101,1575,3675,1732,1372,3102,496,494,997,0,3,4,1220,797,2024,121,121,242,1348,922,2269,9873,8845,18719,71,53,124,44,46,86,9986,8942,18931,3174,3079,6252,37020,36946,73961
SED22105,2200,2328,4531,3518,4233,7751,4,3,6,435,517,946,3,3,8,10346,11210,21552,42,59,106,821,774,1592,129,157,282,306,350,656,109,102,207,247,267,511,229,270,493,991,1042,2026,848,1047,1898,47,96,148,181,186,367,791,1014,1807,1628,1826,3456,33,37,72,20712,23180,43894,3002,2825,5831,2754,2647,5398,46,57,104,4,4,9,1886,1726,3609,132,154,287,2012,1885,3900,13142,11967,25105,109,85,193,40,65,109,13292,12110,25402,4071,3916,7985,48085,48955,97040
SED22201,346,531,872,2693,3604,6296,0,0,0,1346,1553,2897,6,6,12,5480,6308,11790,88,126,213,306,346,652,47,65,108,88,81,171,308,378,687,30,35,68,123,139,264,383,446,827,540,752,1287,75,102,171,94,122,221,923,1396,2323,1052,1308,2361,70,88,155,13657,16844,30509,297,285,588,149,132,277,26,20,46,0,3,4,102,97,206,107,142,250,215,245,455,11088,10295,21386,98,101,198,37,62,98,11219,10461,21681,2268,2352,4621,28184,30871,59049
SED22305,1998,2262,4264,1432,1619,3046,0,3,3,378,433,813,8,8,9,6729,7244,13968,30,34,62,2043,2201,4244,104,134,234,106,143,250,61,73,133,181,204,385,227,250,475,526,580,1110,528,628,1155,51,66,110,127,150,279,417,574,989,1256,1292,2545,25,29,51,14226,15656,29878,2762,2124,4885,8579,6201,14779,33,32,58,0,0,0,1014,767,1778,182,178,359,1189,952,2143,6172,5047,11224,82,55,130,44,32,78,6296,5131,11433,3986,3481,7468,39077,35833,74906
SED22404,207,333,541,3543,4134,7678,0,0,0,290,332,620,3,8,6,4663,4918,9578,47,42,94,164,140,300,61,81,147,24,31,54,119,146,273,7,3,7,88,78,167,150,198,345,776,827,1596,43,60,101,171,198,370,989,1308,2296,801,933,1736,23,35,52,11951,13473,25419,36,43,71,37,22,62,28,24,46,3,6,6,18,19,35,99,158,257,116,183,298,13184,11731,24920,132,113,243,77,114,196,13392,11961,25356,3238,3086,6324,29004,29115,58119
SED22501,236,332,570,2753,3225,5978,0,0,0,385,527,916,122,132,251,7258,8176,15433,39,60,101,896,926,1816,34,57,93,26,25,58,126,143,273,35,42,78,82,91,172,189,242,429,498,598,1098,50,62,116,11,17,30,746,1088,1831,560,712,1269,17,21,39,13843,16145,29984,137,127,260,186,167,356,32,34,65,0,0,0,42,34,78,63,98,158,109,129,239,11853,11073,22930,110,94,202,53,91,146,12015,11259,23278,2151,2152,4303,28698,30348,59042
SED22607,673,958,1634,1667,2127,3787,12,8,24,229,272,501,0,0,0,10216,11582,21794,35,33,71,1360,1408,2767,47,72,119,31,21,49,74,120,194,134,186,325,81,97,186,126,170,300,317,377,697,16,23,43,12,16,26,609,867,1475,440,590,1037,6,11,17,15416,17991,33409,953,758,1709,1283,1325,2613,36,16,55,0,0,0,101,76,186,92,90,185,195,173,371,10432,9972,20409,129,92,220,35,52,85,10605,10111,20714,3203,3296,6503,32366,34640,67008
SED22704,175,271,450,4537,5189,9734,0,0,0,302,310,608,0,0,0,7769,8155,15930,26,28,53,194,170,359,70,70,135,54,72,131,128,154,280,10,3,13,89,90,177,185,194,376,1224,1356,2583,102,128,236,38,46,88,1677,2056,3738,554,576,1126,20,17,43,16990,18620,35615,81,52,131,97,93,188,8,11,20,0,0,0,38,33,79,71,123,197,117,161,271,10932,9360,20291,99,82,183,37,52,90,11071,9495,20562,3669,3296,6966,32200,31997,64201
SED22802,184,321,505,2859,3537,6396,0,0,0,752,841,1586,90,88,180,5685,6310,11993,107,126,231,230,221,451,83,86,167,79,88,165,171,216,390,9,12,14,112,142,249,398,465,862,671,783,1453,77,92,169,164,180,345,865,1183,2048,1159,1245,2408,77,96,170,13577,15708,29285,145,123,272,65,56,122,19,14,30,0,0,5,52,42,96,85,110,193,142,153,294,11624,10398,22020,99,71,171,35,75,115,11762,10547,22307,2264,2184,4449,28158,29105,57261
SED22901,1161,1322,2479,2367,2994,5359,3,3,7,726,883,1610,30,33,65,5237,5993,11236,96,119,220,702,695,1392,59,66,123,106,119,227,145,209,352,76,88,163,191,218,413,635,680,1318,673,788,1459,70,86,157,79,91,169,849,1153,2002,951,1175,2120,49,57,107,13060,15441,28496,889,862,1743,262,277,539,31,35,59,0,0,0,157,157,315,115,156,271,273,312,589,10087,9147,19235,71,61,132,35,45,80,10192,9258,19449,2031,2059,4085,27887,29563,57447
SED23007,3879,4757,8636,1073,1329,2398,3,0,3,541,571,1106,0,0,3,8747,9496,18244,36,32,72,1857,2016,3874,93,108,204,53,46,100,57,67,128,240,211,451,192,195,391,370,397,769,311,390,704,29,29,52,46,61,108,362,462,822,934,1035,1967,25,22,44,14964,16467,31434,2182,1362,3545,2977,1969,4940,24,28,51,0,0,0,354,264,614,118,122,238,470,384,854,12283,11027,23304,132,111,248,52,69,122,12466,11212,23680,4378,3899,8275,41338,40082,81421
SED23101,1563,1846,3410,1991,2568,4558,0,0,0,820,979,1796,3,0,6,5318,6027,11336,125,144,262,1518,1636,3153,32,52,77,42,53,95,118,138,253,80,76,158,163,207,373,338,379,713,513,693,1204,97,163,259,57,71,126,903,1373,2276,796,991,1782,28,35,62,12937,15554,28492,1010,945,1958,406,399,800,43,54,97,0,0,3,174,149,320,107,129,236,276,279,559,10259,9380,19648,84,73,158,34,42,75,10380,9502,19881,2178,2234,4416,28795,30810,59610
SED23205,286,432,711,3360,4320,7684,0,0,0,313,404,716,0,0,0,5362,6308,11671,39,64,108,614,605,1219,88,94,185,113,116,229,108,117,232,58,61,121,98,107,205,272,336,604,740,874,1621,45,72,112,51,40,93,671,969,1634,767,913,1686,25,31,58,12727,15442,28174,172,199,369,159,151,304,59,56,117,0,0,3,51,34,87,141,178,322,194,217,409,12517,11613,24127,127,112,240,76,101,173,12717,11826,24540,3297,3248,6544,29615,31563,61181
SED23308,268,384,652,2719,3630,6354,0,0,0,393,479,870,5,3,7,7538,8900,16437,35,61,91,407,424,836,67,76,145,39,41,78,191,267,464,23,20,42,73,94,171,139,195,331,825,997,1826,51,82,131,18,26,45,1358,1972,3330,610,736,1342,25,33,55,14512,18029,32548,440,283,718,286,185,465,14,21,42,3,0,3,128,108,237,78,103,177,213,208,420,11095,10603,21698,150,98,246,68,74,141,11307,10777,22085,2943,3003,5954,29995,32889,62886
SED23402,509,588,1092,3678,4529,8215,0,3,4,575,666,1245,66,63,127,7307,7928,15236,51,74,123,398,412,810,86,110,191,89,96,183,87,136,221,71,66,141,96,98,192,400,451,850,676,801,1477,46,63,107,94,106,198,1018,1333,2345,1085,1264,2347,34,35,64,15851,18225,34074,385,360,740,350,354,703,31,43,73,0,3,3,184,150,333,85,120,204,266,272,539,13086,11877,24963,132,112,236,50,76,123,13265,12060,25324,2956,2843,5796,33606,34736,68345
SED23502,146,209,360,4914,5745,10664,0,0,0,353,386,736,63,67,130,5069,5623,10693,15,25,39,76,61,144,141,191,334,16,22,35,98,113,211,9,4,11,49,52,94,188,254,446,911,953,1863,63,88,151,59,91,150,1516,1888,3399,544,604,1151,23,27,48,14110,16190,30301,69,49,118,29,25,50,7,13,18,0,5,8,25,15,37,63,114,183,93,136,231,11192,10042,21242,80,96,179,39,52,85,11315,10194,21508,3343,3291,6636,29116,30099,59212
SED23602,159,230,392,4568,5281,9850,0,0,0,251,338,583,26,37,65,4903,5505,10405,18,28,47,94,97,192,78,92,169,51,43,88,87,87,178,15,13,27,52,69,121,164,176,338,898,930,1829,65,95,155,51,59,112,1496,1965,3460,520,602,1119,13,18,33,13353,15429,28784,88,70,161,45,52,97,12,5,21,0,0,0,34,30,65,63,109,171,94,143,234,10666,9404,20067,98,81,181,23,52,73,10786,9534,20325,3921,3013,6926,28463,28478,56943
SED23702,238,339,578,4708,5855,10564,5,0,3,361,441,806,0,0,0,6538,7160,13702,36,61,99,354,281,630,46,78,129,72,62,132,86,114,204,14,13,31,67,101,176,301,345,645,873,1042,1918,48,51,99,20,23,48,913,1171,2079,892,940,1833,22,25,54,15374,17776,33153,72,58,126,57,57,111,23,22,47,0,0,0,16,9,20,78,144,222,93,151,246,14619,13002,27623,145,97,242,33,88,119,14793,13189,27988,3068,2973,6044,33711,34573,68282
SED23806,715,1013,1731,2906,3649,6550,0,3,3,382,444,824,4,3,6,5993,7134,13129,21,30,55,943,1064,2008,23,37,62,14,21,36,102,147,246,34,38,77,103,103,203,155,201,359,466,573,1043,20,41,59,18,20,37,898,1193,2097,424,585,1012,11,22,34,12516,15321,27838,1134,908,2042,586,439,1022,398,422,819,0,0,0,81,56,138,95,98,185,175,153,323,12642,12449,25091,158,127,285,39,72,106,12841,12641,25485,2971,3094,6065,31335,33996,65331
SED23901,527,697,1228,2350,2908,5262,0,3,6,305,384,690,11,12,25,7857,8918,16773,28,38,66,1419,1524,2944,30,48,82,33,33,73,114,141,260,71,86,153,70,85,156,163,226,384,432,497,929,45,58,108,25,27,46,747,1019,1763,559,689,1251,18,18,37,14291,16713,31005,584,520,1099,1084,1083,2171,37,47,90,0,0,3,95,81,177,100,137,238,195,220,421,11355,10625,21979,116,91,211,51,77,126,11517,10791,22312,2845,2978,5826,31088,33061,64148
SED24006,1079,1477,2554,2480,2898,5378,4,3,3,447,536,982,4,6,6,6846,7860,14710,29,42,69,1854,1979,3829,13,13,24,8,16,26,71,106,181,73,81,152,116,151,258,182,230,414,371,446,817,19,15,37,18,11,28,782,1133,1913,522,673,1196,12,7,25,13840,16200,30039,706,607,1311,274,265,541,198,217,424,0,0,0,79,77,156,111,130,239,186,213,397,11185,10887,22074,111,111,219,37,45,84,11333,11048,22376,2749,2763,5508,30353,32794,63146
SED24105,6001,7072,13081,1720,1998,3713,0,0,3,300,327,625,0,0,4,7679,8202,15880,44,55,100,1207,1214,2424,91,128,220,84,95,176,54,57,108,66,71,137,138,143,282,392,446,837,392,474,861,20,25,48,79,111,189,515,668,1187,842,974,1813,41,30,77,13664,15016,28673,1277,1128,2403,1977,1774,3751,87,91,176,0,0,0,1031,763,1793,126,117,237,1154,877,2030,7745,6561,14305,41,36,78,39,49,85,7832,6640,14474,2807,2704,5505,34794,35300,70098
SED24207,3595,4297,7897,1105,1325,2433,8,14,18,523,536,1060,3,0,3,12713,13492,26208,34,36,77,2146,2181,4325,163,183,347,193,199,389,62,76,144,478,501,977,260,281,543,757,809,1566,361,352,715,22,27,49,115,130,253,369,443,815,1620,1674,3293,33,24,55,20980,22286,43260,1356,1274,2629,2892,2697,5587,18,13,33,0,0,0,946,758,1705,110,126,236,1057,882,1943,7346,6497,13849,51,40,90,38,49,91,7435,6587,14027,4440,3921,8358,41772,41965,83732
SED24308,341,459,801,2634,3252,5885,0,0,0,592,690,1286,45,40,85,8347,9374,17724,45,57,96,941,961,1906,93,141,235,65,76,137,217,285,510,12,8,24,83,103,183,151,165,312,866,1038,1903,67,87,149,47,75,127,928,1180,2105,932,1096,2026,26,40,62,16097,18671,34765,182,170,354,792,695,1490,18,13,29,4,0,9,132,111,238,83,100,184,217,214,430,10434,9629,20065,103,64,168,42,53,89,10581,9744,20330,4040,3117,7162,32271,33090,65358
SED24408,120,137,256,3201,3765,6969,0,0,0,235,238,472,48,49,94,4533,4976,9512,166,226,393,76,60,136,47,60,105,30,27,56,2068,2218,4288,12,13,22,38,46,86,266,307,575,1036,1022,2064,89,127,215,46,58,103,3841,4519,8358,498,551,1044,16,30,45,16235,18295,34534,82,74,156,71,60,129,9,8,24,4,4,13,25,22,46,45,56,105,71,94,165,8604,7329,15931,51,35,89,25,53,83,8683,7418,16104,2609,2539,5149,27886,28622,56512
SED24504,193,292,486,3385,4055,7445,0,0,0,254,276,535,56,59,117,6906,7080,13985,52,66,117,232,229,466,40,58,102,31,33,65,97,134,230,0,3,6,58,70,132,132,141,275,622,684,1307,28,33,66,33,31,67,1098,1499,2598,473,506,977,10,18,29,13524,14981,28509,59,45,98,55,45,105,26,31,57,0,0,3,17,25,42,76,116,194,101,139,234,11314,10715,22025,101,101,204,56,79,138,11476,10896,22373,2866,2938,5809,28304,29367,57672
