SED_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
SED23402,18092,1926,79,43,44,20189,1563,523,89,29,4,2211,351,91,13,3,14,468,20010,2546,186,74,61,22868
SED23502,16366,369,202,179,137,17257,4261,264,147,134,44,4850,616,38,17,22,70,760,21243,674,365,334,251,22866
SED23602,15699,420,342,104,72,16638,3486,295,231,75,18,4106,538,42,26,9,7,626,19727,763,597,193,93,21368
SED23702,17926,2330,109,128,24,20512,1911,711,21,93,8,2749,452,106,4,9,3,580,20293,3141,131,230,35,23837
SED23806,9504,4419,8759,78,82,22846,540,339,771,5,11,1666,158,91,323,0,6,577,10204,4846,9850,78,106,25086
SED23901,14164,3741,2056,30,63,20049,1890,658,349,3,18,2930,369,136,69,0,14,593,16426,4535,2474,34,94,23564
SED24006,12928,3877,2482,42,49,19373,1117,373,246,0,4,1740,273,62,71,3,9,416,14321,4315,2799,47,66,21535
SED24105,15459,2154,789,46,41,18482,2082,440,243,48,13,2817,519,115,54,3,3,698,18062,2712,1076,91,53,21997
SED24207,18808,1683,178,56,18,20739,2545,324,61,61,3,2991,671,64,17,3,4,755,22026,2063,252,122,25,24491
SED24308,15852,1552,318,88,47,17867,4119,720,152,21,15,5023,649,112,26,0,6,797,20621,2382,499,110,71,23684
SED24408,15515,410,329,99,141,16499,4532,329,293,31,39,5224,583,41,33,8,20,689,20633,782,652,138,202,22404
SED24504,16482,516,126,89,86,17297,2175,203,65,34,23,2502,422,26,6,11,26,485,19073,744,198,141,130,20288
SED24606,8927,4189,6926,181,61,20292,680,356,820,18,7,1881,173,90,192,11,4,470,9781,4632,7936,209,81,22641
SED24703,1507,8057,32373,117,311,42370,161,589,3083,17,24,3878,61,210,1149,48,42,1508,1723,8861,36604,189,378,47756
SED24808,19702,2263,60,38,42,22110,2716,722,74,13,5,3522,639,123,5,0,12,780,23053,3106,137,49,63,26407
SED24904,15115,1033,565,154,91,16956,4079,619,559,127,25,5407,655,90,96,16,19,878,19853,1737,1220,296,133,23241
SED25003,15734,3031,258,4,22,19051,1592,467,84,0,0,2147,405,81,20,3,0,509,17737,3584,353,6,25,21703
SED25102,16957,374,65,18,57,17476,1377,120,16,4,5,1532,332,22,0,0,10,359,18669,514,78,25,76,19364
SED25205,11925,4590,3389,57,79,20029,1331,601,788,11,18,2746,256,98,139,3,4,502,13512,5289,4314,68,95,23276
SED25302,16072,1463,1690,73,38,19337,1426,295,539,49,4,2314,342,50,88,6,6,494,17844,1804,2318,128,53,22143
SED25402,17706,680,700,63,50,19201,3485,477,438,16,11,4440,575,60,79,4,37,758,21766,1220,1223,92,97,24396
SED25501,14165,1688,2853,7,41,18758,1558,134,290,3,3,1992,324,40,52,3,8,431,16051,1864,3197,14,56,21182
SED25605,14486,2043,1091,48,26,17694,2128,413,321,41,5,2903,421,110,59,6,7,601,17028,2565,1467,96,37,21192
SED25704,15801,586,454,111,110,17068,4432,394,439,83,21,5361,635,63,60,9,17,786,20873,1040,950,201,155,23216
SED25802,17941,695,590,86,77,19387,3378,472,422,86,11,4368,559,65,53,11,12,697,21884,1233,1056,183,101,24457
SED25905,16626,1419,171,65,15,18292,1757,229,69,51,4,2106,477,46,11,5,3,535,18855,1693,245,115,29,20937
SED26005,20104,1039,55,21,12,21227,1653,146,34,3,4,1840,526,29,4,0,5,569,22285,1218,91,26,25,23643
SED26102,16849,1351,190,136,57,18589,3230,526,126,103,22,4010,651,100,34,22,3,810,20732,1973,356,267,89,23407
SED26207,12832,3604,651,98,37,17219,2795,654,170,26,3,3639,399,120,25,8,14,554,16025,4367,838,127,57,21415
SED26303,10590,5406,4964,143,82,21195,1780,630,765,21,5,3201,306,118,165,4,13,614,12680,6160,5895,167,101,25011
SED26406,11115,5448,5603,28,87,22281,1642,695,704,3,5,3050,321,170,156,0,13,658,13077,6313,6463,35,109,25994
SED26504,14948,805,271,95,108,16229,3791,547,234,39,47,4649,610,77,44,3,11,751,19347,1434,545,139,164,21630
SED26603,13224,6841,1553,62,83,21758,3174,1035,362,14,23,4601,428,243,69,7,3,743,16822,8120,1976,79,103,27103
SED26708,16203,387,148,98,118,16954,3906,315,110,35,25,4386,557,39,23,13,13,643,20669,735,275,147,158,21983
SED26806,2674,4933,22291,107,92,30096,273,378,2464,6,10,3132,77,130,695,8,21,927,3028,5437,25448,118,117,34152
SED26903,12171,5870,1308,110,56,19514,3473,1337,370,20,12,5204,533,264,58,3,7,863,16175,7469,1734,132,76,25582
SED27003,3563,10155,12685,159,135,26685,434,759,1791,11,11,3012,104,271,483,10,18,878,4101,11185,14952,174,166,30580
SED27101,15838,3519,737,19,48,20156,1843,618,102,0,12,2575,353,132,27,0,14,529,18032,4264,865,20,68,23257
SED27208,16603,296,209,426,104,17640,5134,307,203,193,48,5876,671,69,45,22,18,819,22404,670,457,640,170,24335
SED27305,15214,681,198,104,8,16214,1025,165,76,8,3,1274,286,37,7,4,0,336,16534,880,279,119,15,17824
SED27406,11235,5467,2541,135,78,19455,1057,765,406,9,7,2247,229,145,81,3,9,466,12524,6378,3028,149,97,22169
SED27504,17290,1371,154,161,44,19026,3881,753,161,152,11,4963,660,132,31,33,12,863,21833,2259,348,345,63,24856
SED27608,19088,1652,93,107,41,20985,1812,496,63,13,7,2387,390,68,18,5,3,484,21292,2215,180,119,55,23854
SED27708,16378,1145,468,110,93,18202,3516,592,363,58,12,4547,519,71,93,5,11,697,20407,1813,924,175,118,23443
SED27807,14113,2612,1427,41,39,18231,3930,650,546,15,21,5160,770,173,99,28,12,1075,18812,3436,2072,81,71,24472
SED27907,15994,1475,707,8,23,18205,2050,375,253,0,6,2682,381,63,36,0,4,480,18422,1907,997,10,28,21372
SED28007,16870,2754,227,5,37,19892,1451,463,138,0,3,2055,444,81,15,0,0,542,18765,3306,380,5,40,22492
SED28107,20635,4075,588,20,23,25337,1607,425,188,20,7,2245,582,109,34,0,8,739,22824,4605,818,40,32,28323
SED28203,14490,1640,696,18,38,16879,4217,341,183,0,5,4749,630,68,33,0,13,742,19338,2048,912,16,55,22368
SED28301,14767,2134,771,23,35,17734,1120,296,167,0,0,1592,274,75,41,0,50,437,16158,2509,986,25,86,19760
SED28408,14880,2075,583,30,57,17628,2789,786,259,3,14,3855,437,94,45,3,13,594,18111,2957,885,34,89,22074
SED28507,17505,2044,301,42,23,19921,2463,566,76,36,3,3138,533,86,9,3,3,636,20499,2699,386,77,32,23697
SED28607,14134,5523,2069,144,86,21943,2497,670,575,37,17,3804,361,144,108,10,15,634,16989,6334,2746,191,114,26380
SED28704,20973,1493,155,16,49,22685,1834,247,40,3,10,2138,426,39,4,0,4,472,23237,1782,205,21,58,25299
SED28803,20249,1953,170,47,23,22452,1840,336,44,33,8,2271,531,61,3,6,5,604,22619,2354,221,91,35,25324
SED29494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
