SED_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
SED21106,0,0,0,8,7,12,7,3,0,36,0,3,0,23,17,10,8,7,0,69,0,0,3,16,3,0,0,0,0,24,5,13,6,7,0,0,0,0,0,35,0,0,0,5,0,5,0,0,0,17,0,0,0,12,10,4,10,0,0,37,17,90,42,62,48,33,14,3,3,308,0,0,6,23,7,8,4,0,0,44,0,0,0,15,10,3,4,3,0,39,0,0,0,10,9,8,3,0,0,25,17,64,61,394,216,184,178,102,42,1257,84,193,165,599,297,237,167,121,59,1907,1670,4057,3435,7487,4651,3689,2633,1341,639,29598,0,0,0,0,0,0,0,0,0,0,1264,3143,2667,5408,3467,2592,1776,977,822,22121,0,0,0,7,3,0,0,0,0,6,0,0,0,11,0,0,3,0,3,19,0,0,0,3,3,0,0,0,0,10,3,11,10,72,34,12,12,5,0,156,0,0,0,20,7,6,6,0,0,47
SED21203,0,0,0,6,4,9,7,14,3,39,7,20,39,169,79,54,24,5,3,399,0,0,0,7,0,0,0,0,0,7,3,6,10,13,5,3,0,0,0,42,0,4,0,9,6,14,4,0,0,42,12,41,96,587,624,383,211,98,4,2046,0,4,14,16,5,0,4,0,0,48,0,7,23,142,129,126,35,11,9,472,0,0,0,0,3,0,0,0,0,7,0,0,4,11,0,0,0,0,0,13,56,176,204,691,358,280,167,98,32,2069,242,439,434,892,460,305,225,171,53,3220,2883,5288,5591,10812,4583,3232,2125,1501,483,36488,0,7,11,26,4,0,0,0,0,45,2290,3670,3359,3694,1425,917,622,507,203,16677,0,18,17,127,25,4,3,0,0,193,0,0,3,24,12,9,13,8,4,68,0,0,0,3,0,3,0,0,0,10,0,3,0,10,3,3,0,0,0,15,0,0,0,8,11,9,8,3,0,42
SED21303,0,0,0,4,7,6,3,7,0,29,0,3,9,53,9,10,6,0,0,94,0,0,3,42,0,3,0,0,0,53,0,3,14,19,8,0,0,0,0,54,0,0,0,7,0,5,3,0,0,15,0,0,0,42,57,29,24,7,0,167,8,17,19,151,28,6,15,0,0,242,0,7,28,74,26,39,19,10,0,206,0,0,0,16,3,0,3,3,0,33,0,0,3,12,0,3,0,0,0,13,10,35,106,625,123,84,86,44,25,1137,97,128,281,1021,256,202,130,136,85,2333,1806,2788,4412,14913,3902,2740,1789,1247,553,34147,0,3,3,7,0,0,0,0,0,10,1547,2342,3562,9534,2731,1794,723,325,217,22771,0,12,4,47,3,0,0,0,0,68,0,0,0,14,4,7,7,6,0,38,0,0,3,3,3,0,0,0,0,14,0,0,13,104,14,9,3,0,3,138,4,3,4,38,8,9,0,0,0,67
SED21401,0,0,0,3,10,6,8,7,4,32,0,5,17,53,34,36,36,8,6,198,0,6,28,91,12,25,23,3,0,184,0,3,15,14,0,0,0,3,0,36,0,0,0,10,13,21,23,12,0,86,0,0,0,10,16,16,4,9,0,56,3,8,19,23,9,7,13,0,0,96,0,0,19,77,66,77,24,8,0,283,0,0,0,3,5,4,3,3,0,19,0,0,0,5,7,0,0,0,0,14,7,27,37,191,131,131,115,100,62,800,42,111,130,313,187,171,152,159,78,1344,1482,3262,3836,7209,4006,3452,3043,2536,855,29688,0,0,0,4,0,0,0,0,0,3,1319,2491,2394,3296,2131,1478,1501,1183,629,16427,0,0,0,3,3,3,0,0,0,19,0,0,0,8,3,3,0,0,0,14,0,0,0,7,16,10,3,0,0,32,0,5,3,12,9,3,3,3,3,36,0,0,0,9,3,4,3,0,3,22
SED21503,0,0,0,8,8,6,11,5,0,38,3,10,52,179,68,74,44,13,5,449,0,0,7,35,0,6,0,0,0,54,0,3,22,23,7,3,0,0,0,59,0,7,0,39,78,79,82,25,4,322,0,0,0,12,8,11,3,3,0,32,0,8,9,27,8,5,3,0,0,66,12,26,131,208,63,60,28,6,0,530,0,0,0,3,0,0,0,3,0,12,0,3,3,9,0,3,0,0,0,18,24,73,133,405,120,124,92,45,25,1026,79,121,272,485,199,181,148,121,36,1635,1876,3448,5016,8997,3622,3065,2456,1389,446,30320,0,0,0,3,0,0,0,0,0,9,1566,2732,3168,5000,2400,1857,1470,848,441,19484,3,0,11,27,3,4,0,0,0,52,0,0,3,16,20,15,8,7,3,65,0,0,0,12,0,3,0,0,0,15,0,0,4,12,5,3,0,0,0,29,0,0,0,3,8,3,7,0,0,19
SED21608,0,0,0,0,6,13,6,6,0,20,0,0,0,12,5,3,0,0,0,25,0,0,0,0,0,0,0,0,0,7,3,3,8,3,0,0,0,0,0,21,0,0,0,0,3,6,3,0,0,13,0,0,0,0,0,0,0,0,0,5,0,9,11,12,8,10,15,3,0,65,0,3,0,4,6,0,0,0,0,13,0,0,0,3,6,3,4,4,0,22,0,0,0,0,0,3,0,0,0,7,4,15,46,64,44,51,34,25,15,296,106,215,260,503,331,338,309,129,57,2246,1863,3996,4117,6844,3895,3781,2929,1250,401,29077,0,0,0,0,0,0,0,0,0,0,1694,3479,3513,6081,3339,3055,2155,990,488,24786,0,0,0,3,0,0,0,0,0,6,0,0,0,0,3,3,3,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,11,5,0,3,0,0,20,0,0,0,5,4,0,0,0,0,9
SED21706,0,0,0,3,4,7,5,6,3,26,4,7,140,258,55,51,42,12,5,568,4,3,18,58,3,3,5,3,0,97,0,4,20,29,6,4,3,0,0,69,0,0,0,0,3,3,4,0,0,14,0,0,0,10,3,7,3,0,0,34,9,17,16,36,24,11,14,4,0,132,0,14,68,121,52,62,34,11,10,372,0,0,0,3,0,0,3,3,3,13,0,3,0,13,3,6,0,0,0,25,16,38,131,249,102,103,92,68,31,821,77,135,256,445,234,166,127,107,52,1599,1814,4058,5563,8659,4305,3354,2221,1308,652,31937,0,0,4,16,9,0,3,0,0,34,1498,3368,3298,4246,2916,2107,1410,932,905,20680,0,0,4,14,0,3,0,0,0,25,0,0,0,5,0,0,3,0,0,15,0,0,3,11,8,10,3,4,0,39,0,6,8,19,10,14,4,0,0,62,0,0,0,9,11,3,7,3,0,35
SED21805,0,0,0,6,11,5,10,9,0,35,0,3,3,73,40,45,27,12,4,210,0,0,0,3,3,3,0,0,0,8,0,5,4,16,3,0,0,0,0,33,0,0,0,4,5,3,0,0,0,12,0,0,3,9,16,7,3,3,0,46,5,13,8,41,18,15,10,3,3,118,0,3,9,32,20,3,0,3,0,73,0,0,0,17,14,13,15,4,3,58,0,4,6,23,6,3,0,0,0,41,6,38,41,300,139,113,104,52,15,817,121,235,220,638,330,340,236,133,58,2303,2419,4181,3816,9613,4691,3938,2674,1266,483,33084,0,0,3,25,13,12,3,0,0,59,2171,3300,3023,6916,3044,2401,1719,856,450,23891,0,0,3,8,0,0,0,0,0,18,0,0,0,9,7,10,3,0,0,36,0,0,3,23,9,7,3,0,0,49,0,4,5,31,9,3,3,3,3,61,0,0,3,17,8,18,11,4,0,61
SED21906,0,0,0,6,4,4,5,3,0,31,0,3,8,67,14,22,16,10,3,135,0,0,0,32,3,3,0,0,0,38,4,3,5,31,3,0,0,0,0,49,0,0,3,3,3,0,0,0,0,9,0,0,0,13,6,3,0,0,0,20,11,42,42,135,49,38,21,3,5,353,0,5,31,49,11,10,7,0,0,114,0,0,0,14,0,0,5,0,3,24,0,0,4,12,9,13,4,4,0,48,29,99,128,816,346,381,459,201,131,2589,87,146,190,730,243,200,147,103,71,1920,1945,3747,3891,10783,3728,3290,2483,1143,709,31716,0,0,0,0,0,0,0,0,0,3,1764,2925,2547,5666,2390,1985,1057,533,362,19223,0,0,0,19,0,0,0,0,0,19,0,0,0,8,3,0,5,0,0,19,0,0,0,5,0,0,0,0,0,10,3,5,13,68,20,4,3,3,0,122,0,0,0,11,3,3,3,0,0,23
SED22005,0,0,0,8,9,8,17,17,3,57,10,19,91,322,58,70,102,33,12,714,0,4,7,58,3,5,0,0,0,78,8,36,28,90,9,8,0,0,0,176,0,0,0,3,6,5,6,3,8,28,0,0,3,20,21,15,24,6,3,98,8,8,8,22,11,8,0,0,0,67,13,57,177,612,443,459,199,63,40,2058,0,5,0,3,3,0,3,0,0,16,0,4,5,13,7,0,0,0,0,23,44,135,147,603,269,257,223,134,45,1855,113,163,288,636,219,212,185,154,98,2070,2310,3855,5906,11857,4235,3519,2696,1830,799,37020,0,0,10,10,4,0,3,0,0,35,1853,2629,2365,3488,1654,1167,765,582,555,15051,5,8,16,56,12,7,0,0,0,111,0,0,0,14,11,4,10,4,0,38,4,13,80,316,188,186,99,25,16,935,0,0,4,24,5,7,0,0,0,37,0,0,0,21,10,14,27,9,0,92
SED22105,0,0,0,11,26,16,13,7,0,79,20,155,148,984,258,150,78,19,6,1826,0,0,0,10,0,0,0,0,0,14,3,7,24,62,3,0,0,0,0,103,0,0,0,33,16,10,3,0,0,61,0,0,3,52,39,9,6,0,0,114,3,13,17,29,14,3,6,0,0,87,3,6,12,83,27,19,7,0,4,154,0,0,3,8,7,3,3,3,0,35,0,13,23,71,19,6,0,0,0,135,14,136,236,703,368,223,117,58,17,1866,265,385,347,992,324,271,183,97,43,2900,4986,7571,6074,16616,5470,3753,2258,1020,334,48085,15,60,257,416,79,33,18,5,3,889,4416,5424,3632,7716,2569,1826,1211,613,275,27682,0,4,0,49,6,0,0,0,0,60,0,0,8,42,13,9,5,3,0,82,4,15,26,176,49,35,12,0,0,327,0,3,4,13,9,0,0,0,0,24,0,0,3,40,42,15,18,7,0,130
