SED_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED22404,0,0,0,12,16,4,0,0,0,32,4,3,7,38,12,17,3,0,0,80,0,6,5,11,4,19,17,12,3,80,0,3,5,25,53,74,91,31,15,301,0,3,5,9,11,8,0,0,0,30,0,7,19,42,30,43,25,6,3,184,0,0,0,0,8,12,10,7,0,32,0,0,0,14,11,7,10,6,0,44,0,0,7,19,0,0,0,0,0,33,4,5,8,23,10,6,3,0,0,56,0,0,0,7,3,5,5,3,0,18,0,0,0,0,3,0,0,0,0,7,0,3,7,40,35,34,32,6,0,168,0,0,4,11,4,3,0,0,0,23,0,0,3,5,10,14,13,9,4,67,0,0,0,7,4,3,0,0,0,17,3,29,22,118,88,105,100,86,37,578,204,459,438,1143,856,921,740,319,113,5183,3046,7358,6232,12317,8640,9052,7270,3088,1127,58119
SED22501,0,0,0,11,10,8,3,0,0,28,0,3,8,51,16,13,18,0,3,111,0,0,0,30,9,16,9,7,8,69,3,12,10,43,59,83,76,29,9,331,3,23,8,28,14,14,8,3,0,103,0,31,30,125,80,43,18,12,0,335,0,0,0,0,18,11,9,4,0,50,0,6,11,61,20,36,24,3,0,170,3,3,0,16,0,0,0,0,0,20,4,3,10,23,8,3,3,0,0,62,0,3,3,11,32,39,35,9,3,145,0,0,0,7,9,12,7,0,0,40,4,46,23,73,57,38,27,6,0,278,0,0,5,34,14,16,5,0,0,77,0,3,3,16,22,9,7,8,4,66,0,0,8,9,14,11,4,0,0,39,9,61,46,270,174,166,142,84,40,982,85,174,188,496,358,347,293,154,96,2197,3504,7735,7335,14058,8796,8570,5765,2335,949,59042
SED22607,0,0,0,13,3,4,3,3,0,30,5,18,22,185,47,26,16,0,0,332,0,0,0,31,15,31,16,16,14,119,0,8,14,57,34,40,45,9,9,212,0,18,16,77,12,11,8,0,3,148,3,3,17,82,17,12,10,3,0,147,0,0,0,7,12,13,9,11,3,58,0,26,10,151,39,39,27,6,8,306,0,0,10,87,9,4,4,0,0,110,0,3,25,122,20,11,4,0,0,182,0,0,0,22,17,9,11,0,0,57,0,4,6,81,74,33,11,10,0,226,9,33,29,125,30,30,11,0,0,273,6,50,95,419,213,225,91,73,22,1194,0,0,0,12,10,0,9,3,0,29,0,0,0,27,0,0,0,0,0,31,60,144,363,1453,414,240,205,112,78,3068,265,398,499,1737,561,515,328,251,134,4695,3822,7339,8696,22392,8918,7344,4380,2659,1457,67008
SED22704,0,0,3,13,4,0,6,0,0,27,7,36,24,118,42,43,16,0,3,290,0,0,0,3,3,8,8,8,6,39,0,0,3,18,27,61,69,35,12,232,0,0,3,9,7,0,3,0,0,23,0,3,3,23,9,13,11,6,0,70,0,0,0,0,9,4,6,3,3,30,0,0,0,13,5,8,3,3,0,30,0,0,8,21,0,3,0,0,0,27,4,5,18,36,11,9,3,0,0,77,0,0,3,3,9,9,11,0,0,32,0,0,0,6,9,3,7,0,0,28,3,12,10,28,21,18,27,7,0,113,0,0,3,16,3,3,0,0,0,30,0,0,0,4,9,11,17,4,3,42,0,0,4,8,13,4,0,0,0,22,3,18,24,76,80,92,119,76,26,512,241,457,553,1183,917,1101,903,564,251,6171,3354,7443,7134,12944,9026,9996,8296,4307,1706,64201
SED22802,0,0,0,10,10,3,3,0,0,32,0,11,30,81,57,30,17,4,0,234,0,0,3,18,18,25,20,10,4,104,0,0,7,37,62,83,88,49,14,333,0,10,13,15,14,5,8,0,0,53,0,15,45,83,66,55,23,13,0,302,0,0,0,0,3,10,9,3,0,20,0,3,3,49,28,29,20,6,0,140,0,0,4,16,7,3,0,0,0,35,0,15,18,51,25,0,3,0,0,117,0,0,0,0,6,7,9,9,0,26,0,0,0,3,4,0,5,5,0,16,0,14,17,40,25,24,27,0,0,150,0,4,21,26,9,3,0,0,0,58,0,0,0,7,12,16,7,3,4,49,0,0,8,16,11,7,0,0,0,45,5,16,47,166,119,105,97,72,26,642,110,231,303,698,444,364,350,194,120,2819,3553,7416,7654,14936,8163,6920,5306,2456,851,57261
SED22901,0,0,3,15,13,6,0,0,0,37,0,26,45,164,86,95,56,6,3,478,0,3,0,29,10,56,31,3,14,148,0,3,4,29,41,74,86,55,24,314,6,71,110,122,87,68,36,11,3,511,0,25,47,117,79,69,74,18,5,431,0,0,0,10,13,15,17,6,8,66,8,40,121,413,206,230,145,35,18,1223,6,5,9,78,15,17,15,0,0,147,0,4,18,66,17,9,0,0,0,122,0,0,0,3,5,0,9,3,0,18,0,0,4,5,7,13,4,4,0,37,5,25,23,43,25,17,12,3,3,160,0,7,19,165,133,127,48,7,4,504,0,0,0,4,9,12,8,10,4,63,0,3,0,21,3,12,8,0,0,44,6,33,92,315,190,225,195,144,117,1324,101,164,192,538,294,319,320,228,152,2311,3236,6302,7201,15015,7677,7883,5664,2891,1579,57447
SED23007,3,3,8,19,15,9,0,0,0,60,12,52,113,648,196,197,111,29,12,1373,0,0,3,67,30,67,45,38,35,289,0,9,3,49,33,33,27,28,8,185,7,5,21,119,22,20,7,0,0,199,0,7,9,88,16,11,6,0,0,127,0,0,0,19,33,35,42,25,10,165,5,22,104,349,48,25,9,6,8,582,4,0,6,126,3,5,0,0,0,154,4,18,52,179,28,10,8,3,0,296,0,3,8,82,92,137,191,75,24,597,0,0,3,111,82,56,22,10,7,288,7,22,24,108,21,13,8,0,0,199,56,173,932,3632,2115,1952,670,294,109,9929,0,0,0,14,3,4,3,0,0,27,0,0,0,35,3,3,0,0,0,46,67,181,643,2029,702,471,381,237,102,4809,398,475,827,2293,741,621,483,314,170,6336,5281,7455,11715,30857,9275,7571,4952,2971,1342,81421
SED23101,0,0,0,5,7,3,0,0,0,21,11,24,42,168,71,65,29,11,3,414,0,0,0,28,16,50,42,26,7,167,0,0,4,24,16,49,73,56,27,244,10,92,77,118,66,71,38,14,0,494,0,18,47,88,66,41,26,22,5,320,0,0,0,8,3,22,8,16,3,53,6,58,169,427,181,189,158,66,26,1290,0,10,20,106,29,21,15,0,0,204,3,12,9,99,17,17,5,0,0,162,0,0,0,0,8,9,6,7,0,23,0,0,0,13,9,7,7,3,3,43,6,33,31,44,30,22,18,3,0,194,3,14,45,293,265,250,108,44,13,1042,0,0,0,4,11,7,8,5,3,35,0,3,12,27,12,8,3,4,0,65,8,98,105,340,231,197,267,194,81,1517,114,168,190,512,268,278,286,257,155,2232,3068,7104,7584,14653,7827,6807,6316,4385,1865,59610
SED23205,0,0,5,27,12,11,3,0,0,52,13,25,29,154,68,48,27,0,3,371,0,4,0,38,27,56,23,14,4,164,0,13,13,72,86,133,131,101,54,603,0,4,8,27,10,8,4,0,0,65,0,10,32,93,65,31,16,16,9,271,0,0,0,9,17,21,21,11,3,75,0,7,12,62,20,29,35,21,3,193,0,0,7,15,6,3,0,0,0,29,10,8,13,76,10,6,0,0,0,122,0,0,3,7,7,4,0,3,0,19,0,0,0,13,13,12,3,0,0,38,0,15,19,52,46,35,25,5,0,192,0,9,6,37,5,7,0,0,0,65,0,4,4,20,25,18,30,20,3,126,0,4,9,36,15,12,4,3,0,76,17,88,119,478,232,223,208,132,58,1563,246,419,542,1255,681,629,518,352,161,4787,3770,6821,7384,15958,8213,7676,6131,3534,1696,61181
SED23308,0,0,0,9,10,3,0,0,0,25,3,19,28,123,35,28,27,0,0,268,0,0,0,14,7,16,13,16,16,80,0,8,5,51,46,87,85,59,12,350,0,0,12,19,7,7,13,0,0,59,0,6,10,52,15,18,16,14,4,142,0,0,0,4,7,17,20,14,6,63,0,13,11,86,8,10,10,0,0,142,0,0,3,12,0,0,0,0,0,25,0,14,12,33,13,5,0,0,0,77,0,0,0,8,11,19,11,11,7,63,0,0,0,11,8,0,4,0,0,23,3,17,20,76,25,20,19,4,0,184,0,0,16,49,18,8,3,0,0,103,0,4,0,14,9,16,20,5,5,79,0,0,3,22,5,0,3,0,0,40,21,48,66,261,101,113,106,90,73,863,188,325,458,1087,628,511,448,346,186,4172,3739,6663,8076,17037,8358,7777,5708,3562,1966,62886
SED23402,0,0,0,15,12,0,0,0,0,30,8,23,36,143,77,43,12,0,3,341,0,0,3,38,21,32,8,6,4,120,3,14,27,80,109,155,106,57,26,579,6,20,24,36,28,12,5,0,0,138,0,28,62,149,111,55,29,16,7,461,0,0,0,9,28,31,26,6,4,96,11,58,53,359,133,92,53,23,6,788,4,6,5,35,0,0,0,0,0,56,3,3,6,47,14,4,0,0,0,78,0,0,0,3,3,0,3,0,0,15,0,0,0,11,15,8,5,0,0,35,6,25,24,58,30,22,17,7,0,194,0,0,7,20,17,7,0,0,0,52,0,4,3,21,28,14,15,7,0,88,0,4,6,35,13,15,5,0,0,83,18,72,134,458,253,178,147,101,36,1392,241,384,453,1034,596,499,355,225,89,3885,5080,9358,9347,18317,9661,7606,5175,2691,1104,68345
SED23502,0,0,0,9,7,6,6,0,0,30,8,23,11,82,38,35,11,3,3,207,0,0,0,8,0,12,15,3,5,48,0,3,0,23,22,69,101,59,17,287,0,4,0,7,0,0,0,0,0,24,0,7,12,31,28,22,16,4,0,119,0,0,0,0,0,6,9,0,0,22,0,0,0,19,3,9,3,3,0,42,0,0,8,32,0,0,0,0,0,41,0,3,3,13,7,5,0,0,0,44,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,9,3,23,11,17,32,7,0,98,0,3,7,41,12,5,4,0,0,73,0,3,0,9,12,9,20,4,0,61,0,0,7,4,4,3,5,0,0,23,0,13,9,75,62,73,110,69,33,447,207,435,499,1033,778,956,1015,549,274,5737,3069,6743,5701,11146,7590,9409,9200,4653,1701,59212
SED23602,0,0,0,6,3,7,0,0,0,18,8,21,22,91,57,31,14,3,0,247,0,0,0,10,3,16,14,4,10,56,0,9,4,21,27,54,82,39,11,254,0,5,3,6,8,5,0,0,0,24,0,15,12,35,24,16,19,9,0,138,0,0,0,0,0,10,6,7,0,22,0,3,7,34,10,12,17,0,3,80,0,0,9,31,0,0,0,0,0,40,0,4,11,16,16,8,0,0,0,50,0,0,0,0,0,0,0,0,0,3,0,0,3,9,3,0,0,0,0,17,6,24,4,39,17,23,30,5,3,148,0,3,11,68,34,15,3,0,0,142,0,0,3,0,9,11,11,3,0,32,0,0,0,5,3,10,7,0,0,31,0,18,22,97,52,80,99,51,20,436,200,450,384,1011,750,916,800,453,174,5144,3159,6831,5756,12156,7781,8728,7378,3624,1529,56943
SED23702,0,0,0,8,15,5,0,0,0,32,6,29,28,120,43,24,3,0,0,259,0,0,3,14,5,22,12,10,8,82,0,9,20,87,138,159,113,91,21,637,0,0,0,18,6,11,0,3,0,37,3,7,33,67,34,27,36,9,0,214,0,0,0,8,14,6,13,12,0,49,0,3,4,24,18,20,11,4,4,86,0,0,3,5,5,4,0,0,0,16,4,8,8,48,11,4,0,0,0,89,0,0,0,6,4,0,0,0,0,9,0,0,0,3,6,3,0,0,0,16,0,4,12,41,18,13,17,9,0,124,0,0,0,16,3,5,0,0,0,26,0,3,6,20,31,25,19,3,7,117,0,0,10,8,5,8,0,0,0,34,3,15,33,173,142,137,126,65,20,719,190,374,456,1030,675,639,522,278,104,4262,4160,8693,9476,17015,10074,8828,6244,2887,911,68282
SED23806,0,0,0,19,14,8,0,3,0,38,0,8,28,147,21,29,4,3,0,244,0,0,0,41,7,22,25,10,21,131,0,8,6,75,52,36,62,25,9,268,10,30,50,142,36,41,19,10,3,350,0,13,48,154,73,60,41,17,3,416,0,0,0,5,12,3,3,6,0,39,3,7,71,264,34,53,42,18,3,501,0,8,19,136,16,22,12,3,0,214,3,7,44,166,19,8,0,4,0,245,0,0,0,6,6,9,10,0,3,36,0,5,3,24,4,6,0,3,3,49,20,107,79,161,86,40,21,10,3,517,6,17,225,297,76,63,21,13,0,717,0,0,0,16,6,18,8,7,0,56,0,0,6,30,10,14,3,0,0,67,42,98,254,846,197,121,138,80,74,1842,131,228,503,1181,410,317,276,231,137,3419,3142,7277,10180,20466,8252,6654,5162,2764,1424,65331
SED23901,0,0,3,12,10,4,0,0,0,28,3,9,30,169,56,42,21,11,3,332,0,0,3,39,19,37,23,19,16,160,0,7,7,66,33,50,45,36,15,264,8,12,31,78,19,16,19,8,0,193,4,8,13,93,49,21,12,8,7,218,0,0,0,12,8,25,25,24,11,105,0,18,32,145,66,66,58,23,5,423,4,7,11,76,13,11,8,0,0,129,3,9,26,69,29,15,3,0,0,154,0,0,3,32,30,45,58,26,3,185,0,0,0,13,12,14,3,4,0,45,11,42,37,94,34,29,19,8,0,281,3,18,55,214,72,61,27,8,8,460,0,0,5,6,7,7,13,3,4,44,0,0,3,32,6,6,3,0,0,46,41,123,207,925,344,218,194,145,87,2283,199,294,379,979,494,420,380,346,344,3828,4020,7483,7543,17897,8692,7462,5571,3471,2014,64148
SED24006,0,0,0,11,13,6,3,0,0,39,3,10,11,92,28,22,9,7,0,188,0,0,6,19,10,35,22,25,24,152,0,12,3,32,23,33,39,12,12,178,7,64,74,99,56,59,38,14,9,420,0,11,47,131,71,50,37,21,0,372,0,0,0,3,8,10,7,8,3,41,5,17,53,121,107,79,27,33,8,445,7,10,24,195,43,71,42,9,0,400,0,15,27,77,21,10,3,0,0,148,0,0,0,7,14,15,13,15,6,80,0,3,6,17,39,10,5,7,0,89,10,62,59,89,53,48,21,10,3,356,0,18,83,301,268,180,54,14,5,931,0,0,4,10,7,4,9,0,3,37,0,0,0,12,6,3,0,0,0,27,13,79,100,390,221,179,164,132,98,1373,103,273,326,755,486,433,353,224,156,3111,2657,8261,9750,14102,9800,7731,5517,3306,2018,63146
SED24105,0,4,0,9,5,0,0,0,0,16,10,40,116,330,172,125,40,16,3,846,0,0,3,40,32,69,61,27,15,245,0,5,6,17,35,32,57,37,18,204,3,15,23,67,18,24,11,3,0,169,3,24,39,99,67,30,40,11,0,316,0,0,0,32,30,45,45,37,8,196,8,73,119,683,285,293,285,118,56,1920,0,9,12,42,6,11,0,0,0,77,12,75,61,348,37,24,3,0,0,564,0,0,0,18,23,22,16,10,0,85,0,7,20,117,167,88,67,27,0,493,3,30,15,27,5,7,12,3,0,101,39,119,496,2673,1789,1445,438,182,90,7269,0,3,0,6,8,12,3,0,0,27,0,10,10,45,7,0,0,0,0,65,20,144,244,830,477,429,279,188,68,2671,211,337,411,927,413,401,344,194,80,3332,4551,8591,9718,20230,9010,7820,5951,2960,1267,70098
SED24207,0,4,3,9,3,0,0,0,0,21,18,235,542,1642,888,612,242,54,16,4244,0,0,10,113,75,89,64,22,14,390,0,7,7,17,30,36,42,21,9,165,7,32,22,45,25,10,4,3,0,155,0,5,27,47,34,9,5,3,0,124,0,0,0,44,48,64,57,29,4,246,5,49,58,349,170,66,36,15,4,752,0,5,7,39,11,4,3,0,0,75,3,10,14,151,35,11,7,3,0,234,3,8,37,263,249,349,258,76,11,1253,0,0,13,96,91,62,32,9,0,305,12,29,27,51,14,3,0,0,0,137,42,120,448,3047,1624,1066,343,116,44,6857,0,0,0,6,4,0,3,5,0,20,0,3,15,34,10,0,3,0,0,68,43,284,676,2355,1154,839,559,186,54,6145,388,748,632,1682,745,701,498,200,51,5627,6893,12521,10954,27377,10469,8032,5041,1909,539,83732
SED24308,0,3,0,10,12,4,0,0,0,31,4,51,117,200,147,79,30,6,9,653,0,0,0,35,23,50,42,44,46,237,0,9,9,36,59,104,109,77,19,420,0,17,20,15,20,11,7,0,0,88,0,4,7,34,16,15,4,4,3,87,0,0,0,15,51,77,94,75,16,331,0,0,3,37,12,11,6,3,3,71,7,4,0,11,3,0,0,0,0,19,12,153,107,83,18,13,7,0,0,381,0,0,8,48,81,149,143,81,15,523,0,0,9,19,28,13,17,11,0,97,0,23,16,43,17,9,10,3,0,120,0,9,27,144,65,41,6,0,0,296,0,0,3,10,7,9,13,7,4,55,0,0,0,10,4,6,0,0,0,12,13,85,135,343,175,246,276,263,117,1658,214,476,607,1173,754,753,567,440,309,5287,4029,8035,9002,17018,8579,7694,6003,3451,1545,65358
SED24408,0,3,3,8,12,7,6,3,0,43,7,27,24,88,23,30,13,4,0,221,0,0,0,5,0,9,10,0,0,29,0,0,0,4,21,29,35,29,9,139,0,0,0,7,3,0,0,0,0,18,0,9,14,37,22,16,16,0,0,118,0,0,0,0,0,0,8,6,0,18,0,3,3,18,4,0,7,0,0,37,0,0,0,6,3,0,0,0,0,12,3,26,23,34,3,4,0,0,0,92,0,0,0,0,0,0,0,0,0,3,0,9,3,7,3,3,0,0,0,25,0,3,4,22,17,19,8,7,0,80,0,0,0,10,0,0,0,0,0,19,0,0,0,3,4,6,9,3,3,28,0,8,0,4,6,9,3,0,0,36,7,16,16,59,38,49,35,35,13,268,155,333,320,879,632,743,685,426,260,4439,3044,6780,5967,11307,7678,8531,6960,4179,2067,56512
SED24504,0,0,0,12,7,4,0,0,0,26,4,17,9,51,15,14,10,0,0,125,0,0,0,18,7,14,13,8,9,58,0,8,8,42,61,66,93,26,16,310,0,0,4,12,12,8,3,0,0,50,0,12,15,60,41,25,18,11,0,173,0,0,0,0,11,18,11,8,5,50,0,0,0,14,11,13,13,0,0,57,0,4,12,56,3,3,0,0,0,74,0,6,0,19,9,4,0,0,0,40,0,0,0,0,9,6,17,5,0,30,0,0,0,7,6,0,0,0,0,14,0,12,19,42,42,45,31,3,3,202,0,0,7,18,9,0,3,0,0,34,0,0,0,17,13,26,17,10,5,91,0,0,0,4,6,10,0,0,0,24,3,27,17,126,114,114,117,66,21,609,184,410,359,943,775,808,668,338,218,4707,3373,7814,5953,12317,9044,8577,6788,2679,1118,57672
SED24606,0,0,0,15,8,5,3,0,3,30,3,13,19,158,21,29,10,4,0,261,0,0,3,34,16,32,64,62,76,287,0,11,3,39,28,36,47,27,14,198,12,37,53,98,31,32,18,9,0,287,0,4,30,166,77,95,65,22,18,472,0,0,0,3,8,12,9,3,5,34,0,7,44,184,47,47,41,19,15,401,0,4,10,70,9,8,6,0,0,103,3,10,32,135,11,17,3,0,0,204,0,0,0,6,6,3,0,0,0,19,0,0,0,16,10,6,5,4,0,44,12,61,63,127,64,48,38,7,7,429,0,3,47,139,46,56,16,8,3,313,0,0,0,11,5,4,9,3,3,34,0,0,4,20,3,5,10,0,0,46,15,56,98,695,192,177,248,144,112,1729,112,230,377,1008,427,378,325,285,171,3327,2757,6553,8312,16830,7734,6383,5304,3227,1697,58802
SED24703,0,0,12,27,12,4,0,0,0,52,10,19,160,554,64,31,16,0,3,853,0,0,13,91,5,21,17,0,6,161,0,3,28,131,41,40,29,9,4,292,16,26,900,618,50,30,23,3,0,1668,0,3,90,186,41,31,13,4,0,364,0,0,0,7,11,13,9,6,0,51,0,10,151,301,27,28,12,7,0,536,9,3,362,974,32,25,10,0,0,1408,8,12,457,1021,40,6,4,0,0,1553,0,3,7,40,21,7,9,3,0,90,0,0,13,116,37,33,15,5,0,225,19,54,202,464,88,53,35,8,0,922,3,34,527,586,207,215,86,45,12,1716,0,0,12,37,7,5,3,5,0,72,0,0,22,35,3,4,0,0,0,60,91,149,1481,3323,475,279,209,132,37,6172,435,411,3299,5465,1021,833,569,231,99,12363,3799,4128,36118,49570,8150,6394,4340,1848,807,115150
SED24808,0,3,3,3,4,4,0,0,0,25,8,90,141,430,184,90,32,8,0,991,0,0,4,36,18,42,23,8,13,155,3,3,15,52,63,124,136,46,15,455,7,11,4,28,11,12,9,0,0,78,4,16,27,84,35,24,24,6,0,222,0,0,0,4,30,46,37,26,4,146,3,38,23,156,35,30,23,5,3,311,0,0,5,17,6,3,3,0,0,29,4,17,25,63,18,4,0,0,0,142,0,0,0,55,40,32,23,5,0,167,0,0,0,24,28,14,9,6,0,78,0,27,6,48,16,27,7,0,0,134,3,6,16,161,51,33,9,0,0,285,0,3,3,15,16,15,14,10,8,77,0,3,16,46,12,3,0,0,0,92,26,265,420,1059,458,321,236,102,25,2913,440,711,608,1703,743,682,547,264,93,5798,6634,11476,10006,23109,9565,8582,6121,2284,849,78622
SED24904,0,0,0,0,3,3,0,0,0,8,3,23,31,108,44,40,18,3,0,274,0,0,0,3,0,8,0,3,4,21,0,0,3,13,21,21,30,27,12,130,0,0,3,0,0,3,0,0,0,9,0,10,26,28,23,9,5,0,0,110,0,0,0,0,3,15,12,11,7,53,0,6,7,53,14,9,6,0,0,90,3,0,28,131,3,0,0,0,0,168,12,10,11,47,18,5,3,0,0,107,0,0,0,3,0,0,3,0,0,7,0,7,9,71,96,44,38,14,0,282,3,0,3,14,8,11,5,3,0,59,6,9,19,111,58,75,20,3,0,295,0,0,0,5,8,8,4,4,0,21,0,0,0,5,10,3,3,0,0,21,11,51,74,287,140,122,99,46,26,860,263,544,675,1424,934,1052,818,579,260,6551,3855,8042,7596,14649,8399,8592,6597,3811,1752,63296
SED25003,0,0,0,7,7,3,0,0,0,13,3,52,107,325,197,134,67,15,5,908,0,3,0,30,11,42,14,6,5,114,0,5,4,20,31,52,33,30,3,176,7,14,18,55,23,12,8,3,0,133,3,22,15,72,24,13,5,3,0,159,0,0,3,16,20,27,19,21,3,102,12,72,101,526,229,168,86,37,15,1249,0,3,0,19,4,3,0,0,0,24,4,13,11,52,13,4,0,0,0,102,0,13,64,374,454,534,314,123,23,1891,0,3,10,29,53,24,14,4,0,143,6,21,11,34,5,11,3,0,0,89,5,17,35,213,118,119,33,6,9,557,0,0,0,3,11,9,3,4,0,32,3,7,20,68,14,0,0,0,0,118,23,148,203,769,429,318,207,113,33,2232,208,361,419,1094,547,462,279,168,57,3593,4885,9181,9500,20591,9767,7473,4189,2110,892,68583
SED25102,0,0,0,14,15,3,0,0,0,31,0,8,15,53,35,22,12,3,0,148,0,0,0,27,8,27,17,14,11,111,0,3,7,44,57,64,86,40,15,320,0,4,13,15,18,8,0,0,0,49,0,26,33,108,86,45,39,3,6,343,0,0,0,0,3,6,10,5,3,27,0,0,5,30,29,31,9,3,0,107,0,0,0,8,0,0,0,0,0,13,4,3,6,39,6,0,0,0,0,63,0,0,0,0,3,3,0,0,0,9,0,0,0,3,3,0,0,0,0,13,3,20,20,67,46,48,42,3,0,247,0,3,3,31,3,5,3,0,0,52,0,0,0,9,18,20,6,11,3,68,0,0,3,9,9,6,3,0,0,36,5,39,27,252,180,162,118,78,15,873,160,269,263,710,439,448,379,204,121,2995,3432,7530,7053,14189,8598,8051,5332,1999,880,57063
SED25205,0,0,4,9,10,11,0,0,0,32,0,18,39,148,90,76,33,12,0,414,0,0,0,69,46,58,40,17,9,234,3,17,18,101,85,90,99,71,28,512,0,9,4,33,18,17,10,8,0,97,5,56,48,199,87,51,45,19,10,512,0,0,0,6,17,16,10,7,0,64,0,0,7,100,88,100,64,37,9,402,0,0,5,18,10,4,0,0,0,37,4,9,18,73,20,5,7,0,0,134,0,0,0,7,6,3,3,3,0,19,3,3,3,28,39,43,28,19,8,170,5,34,23,77,46,35,16,0,0,242,0,5,16,85,52,47,17,8,0,231,4,0,0,27,9,6,11,5,0,67,0,0,0,17,9,3,0,4,0,37,16,105,117,697,372,268,188,162,58,1979,148,262,279,904,510,415,354,300,177,3340,3931,8113,6895,17093,9582,7266,5127,3312,1644,62960
