SED_CODE_2016,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_Nthern_Ireland_0_4,M_Nthern_Ireland_5_14,M_Nthern_Ireland_15_24,M_Nthern_Ireland_25_44,M_Nthern_Ireland_45_54,M_Nthern_Ireland_55_64,M_Nthern_Ireland_65_74,M_Nthern_Ireland_75_84,M_Nthern_Ireland_85ov,M_Nthern_Ireland_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot
SED21106,3,14,3,132,32,22,11,6,3,229,0,4,11,52,21,29,49,45,33,240,3,22,11,22,14,6,3,0,0,80,0,8,6,4,3,0,0,0,0,27,0,3,0,6,7,4,0,0,5,25,0,0,12,34,23,21,16,5,0,122,0,0,0,0,3,6,3,5,0,21,0,0,0,8,8,3,0,3,0,30,0,0,0,0,0,0,0,0,0,3,0,0,0,13,0,0,0,0,0,13,0,14,4,17,14,12,22,6,3,88,6,44,61,243,117,78,42,17,12,621,0,0,0,19,12,5,12,3,0,48,0,0,6,9,0,3,0,0,0,15,0,0,0,7,0,0,0,0,0,9,0,10,4,26,3,3,0,0,0,44,0,0,4,20,11,39,43,15,11,153,0,5,17,35,50,46,40,11,0,205,8,25,12,19,11,8,0,0,0,87,6,16,28,114,80,59,31,14,4,353
SED21203,0,0,0,12,5,3,4,7,5,36,0,5,7,43,80,151,261,367,130,1041,0,0,0,5,0,0,0,0,0,9,0,0,5,13,3,0,0,0,0,17,15,34,76,692,291,216,128,33,6,1495,3,3,8,23,12,8,4,0,0,57,0,0,0,3,15,45,92,83,21,258,0,0,0,9,4,3,5,0,0,29,0,3,0,18,10,3,6,3,0,43,3,34,71,170,9,0,0,0,0,295,0,3,0,0,0,6,6,10,3,27,20,95,87,115,48,34,5,3,0,413,0,0,0,0,0,3,9,3,0,12,55,128,407,1133,104,15,5,3,0,1850,0,0,4,5,0,0,0,0,0,11,9,21,38,151,65,58,23,3,0,371,0,0,0,9,3,17,3,5,4,52,0,0,0,9,14,9,10,6,8,56,0,3,6,6,3,3,0,0,0,31,0,0,0,11,0,0,3,0,0,14
SED21303,0,0,5,112,13,13,0,5,0,151,3,10,25,161,92,172,286,381,200,1327,0,3,3,22,3,3,6,0,0,52,0,3,6,38,3,0,0,0,0,53,0,0,14,46,72,92,93,27,6,355,0,0,59,119,19,27,16,7,0,242,0,0,0,3,11,12,20,17,0,71,0,0,3,26,5,0,0,3,0,39,0,3,0,0,3,3,3,0,0,13,3,9,124,296,4,8,0,0,0,443,3,6,3,26,10,6,3,0,0,63,4,11,85,609,85,43,16,5,0,861,0,0,0,5,8,0,3,0,0,22,3,10,29,131,6,4,0,0,0,187,0,0,0,10,3,0,0,0,0,13,0,4,14,62,18,3,6,3,0,116,0,0,0,25,3,11,0,0,3,40,0,0,10,65,32,17,10,4,0,141,3,5,12,48,13,3,5,0,0,84,0,0,13,63,8,7,5,0,0,102
SED21401,0,0,0,9,4,5,4,9,5,40,3,3,13,31,51,128,364,359,126,1078,0,8,8,11,6,3,8,0,0,49,3,15,32,82,39,20,13,7,0,216,0,0,4,16,30,47,30,6,4,137,0,39,113,308,123,144,124,46,6,900,0,0,0,0,0,4,9,19,5,35,0,0,0,13,4,0,6,3,0,28,0,0,0,0,0,0,3,0,0,7,0,0,0,10,0,0,0,0,0,9,0,0,3,3,10,11,9,17,7,51,4,20,57,80,44,42,25,20,3,293,0,0,0,0,3,3,3,0,3,14,3,15,14,65,9,0,6,0,0,117,0,0,0,5,0,0,0,0,0,15,0,7,16,38,9,18,4,3,0,101,0,0,0,7,3,7,9,10,3,39,0,3,3,9,5,13,21,14,3,72,3,23,35,49,28,24,25,15,0,202,3,21,50,55,60,47,26,14,0,276
SED21503,0,3,3,32,22,11,8,9,8,92,0,0,5,30,70,143,192,159,44,647,0,0,5,6,5,0,0,0,0,13,0,4,5,31,4,4,0,0,0,48,0,0,6,37,28,19,22,9,3,124,3,12,94,105,18,51,27,0,3,318,0,4,0,6,4,13,29,18,4,74,0,0,11,16,3,14,3,0,3,50,0,0,0,3,3,0,0,0,0,11,0,0,4,45,0,3,0,0,0,53,0,0,0,4,3,4,12,5,3,43,4,19,37,102,51,27,7,3,3,267,0,0,0,3,0,9,4,5,0,25,0,8,37,80,0,0,0,0,0,126,0,0,0,13,3,0,0,0,0,18,0,12,36,95,28,34,24,3,0,230,0,0,0,16,8,15,11,7,3,56,0,0,3,16,16,16,31,20,0,98,0,3,19,32,8,8,0,0,0,72,0,0,15,29,20,7,8,3,0,96
SED21608,0,7,5,12,10,10,11,5,0,61,0,0,0,3,12,19,25,12,3,80,0,0,0,4,0,0,0,0,0,3,0,3,3,4,0,0,0,0,0,7,0,0,0,3,3,0,0,0,0,4,0,0,0,9,3,4,0,3,0,30,0,0,0,3,11,27,34,3,0,78,0,0,0,3,0,3,0,0,0,5,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,9,0,0,3,3,11,32,67,39,4,155,0,15,20,71,54,60,25,15,0,258,0,0,0,0,6,7,9,3,3,25,0,3,3,18,0,0,0,0,0,25,0,0,0,3,6,0,0,0,0,11,3,12,6,21,5,0,0,0,0,50,0,0,0,3,0,0,3,0,3,13,0,3,3,13,15,34,38,14,0,114,0,0,0,0,0,0,0,0,0,10,0,4,4,18,6,7,7,0,0,55
SED21706,0,3,4,28,13,9,5,15,3,84,0,0,9,15,16,37,44,68,27,221,0,3,11,16,5,12,3,0,0,50,4,11,28,74,35,9,3,3,0,162,0,0,0,9,7,8,4,3,0,39,7,25,110,241,80,81,59,23,6,629,0,0,0,3,3,7,10,4,3,27,0,0,11,27,8,9,5,7,3,66,0,0,0,8,4,0,4,4,0,20,0,0,18,14,0,0,0,0,0,35,0,3,3,13,3,10,19,9,6,66,11,31,42,147,83,71,29,7,4,443,0,0,0,6,0,10,9,0,3,21,0,3,41,68,3,0,3,0,0,128,0,0,3,8,3,0,0,0,0,17,3,3,7,55,14,9,3,0,0,101,0,0,0,13,8,20,25,10,8,78,0,3,7,25,20,24,17,15,3,120,9,16,23,52,17,11,16,0,0,139,0,11,15,64,38,26,14,8,3,180
SED21805,0,8,4,40,24,11,17,9,4,121,0,0,3,22,24,32,48,42,11,179,0,3,0,3,0,3,0,0,0,8,0,0,0,3,0,0,0,0,0,9,0,0,0,17,12,7,4,0,0,39,0,6,10,19,11,12,5,4,3,82,0,0,0,3,6,13,12,11,0,40,0,4,6,48,17,33,24,8,0,135,0,0,0,4,3,3,3,0,0,16,0,0,0,6,0,0,0,0,0,6,0,4,0,6,4,30,43,47,24,163,13,74,100,345,155,116,46,21,8,875,0,0,0,9,12,9,9,7,0,49,0,0,3,13,3,6,3,0,0,25,0,0,0,0,10,0,0,0,0,18,4,23,45,111,52,30,12,3,0,267,0,0,4,26,7,24,16,0,3,92,0,10,8,48,48,63,58,29,15,278,0,0,4,8,3,5,0,0,0,24,3,24,29,111,70,42,18,3,0,303
SED21906,0,4,9,189,18,13,4,0,4,244,0,8,9,69,21,25,33,25,21,215,7,19,12,45,25,3,0,0,0,111,0,3,15,38,3,0,0,0,0,60,0,0,0,9,6,6,7,0,0,31,0,0,32,91,27,20,9,6,3,180,0,0,0,0,4,3,3,0,0,18,0,0,5,26,5,0,5,10,0,57,0,0,0,0,3,0,0,0,0,3,0,0,27,68,3,0,0,0,0,92,0,3,4,24,4,4,16,8,0,60,3,25,44,282,99,71,27,8,3,560,0,0,0,21,6,0,10,0,0,40,0,0,13,40,0,3,0,0,0,53,0,0,0,4,4,0,0,0,0,13,3,9,14,86,18,9,0,0,0,140,0,0,0,29,15,46,124,68,137,410,0,0,5,43,22,22,18,8,3,131,0,10,12,33,5,3,10,5,0,81,4,24,107,296,214,171,117,54,22,1003
SED22005,3,6,0,35,8,10,11,4,3,88,0,0,10,24,24,61,134,195,82,536,0,15,10,27,6,0,4,0,0,69,0,17,42,167,24,18,4,0,0,270,0,0,3,14,19,19,14,11,0,77,7,18,107,218,31,52,31,9,0,469,0,0,0,0,0,8,15,22,6,44,0,4,18,63,31,37,46,27,5,219,0,15,69,188,46,14,7,8,0,355,0,4,13,62,6,0,0,0,0,85,0,0,8,12,9,8,13,11,8,52,7,33,58,153,72,54,16,6,0,417,0,0,0,3,0,4,7,3,0,15,4,18,57,157,17,10,4,0,0,269,0,0,3,3,0,0,0,0,0,9,3,28,53,181,77,51,22,3,3,428,0,0,3,27,14,27,26,17,3,116,0,0,7,24,13,21,13,10,4,93,0,11,18,29,10,9,4,4,0,85,0,14,19,51,37,21,16,6,4,172
SED22105,3,14,3,23,12,11,13,9,3,91,0,7,7,19,22,34,52,35,7,164,0,0,0,4,3,0,0,0,0,8,3,6,3,20,9,0,0,0,0,36,0,10,3,27,19,15,3,0,0,72,5,12,28,57,24,20,6,3,0,156,0,0,0,3,4,24,20,4,0,59,0,28,32,218,79,82,30,19,3,493,0,0,3,12,6,5,0,0,0,23,0,14,17,65,12,3,3,0,0,108,0,0,0,13,12,31,67,35,12,170,37,232,268,529,181,103,38,17,3,1415,0,3,0,12,13,5,12,9,3,62,6,70,58,157,32,17,4,0,0,350,0,0,3,9,0,0,0,0,0,12,12,109,160,373,159,48,13,3,0,870,0,4,3,41,10,17,24,0,0,92,0,5,3,34,50,52,47,23,9,227,0,18,12,29,11,11,3,4,0,86,0,16,45,107,56,40,13,8,0,287
SED22201,0,0,0,16,9,18,19,3,3,62,0,0,0,13,14,31,41,37,10,153,0,3,0,3,3,0,3,0,0,14,0,9,3,16,7,0,0,0,0,34,0,0,0,6,3,8,8,0,0,23,23,46,22,56,28,19,8,8,0,211,0,0,0,3,3,3,11,10,3,26,0,0,0,13,6,7,0,0,0,24,0,80,133,301,62,17,11,3,0,605,0,0,0,11,3,0,0,0,0,9,0,0,0,12,12,30,69,43,10,180,7,19,16,121,68,55,35,11,3,333,0,0,3,10,8,7,13,6,4,48,0,0,0,10,0,4,0,0,0,18,0,0,0,3,9,3,0,0,0,17,0,16,12,41,12,9,5,0,0,95,0,0,0,13,3,11,4,3,0,43,0,7,0,25,30,41,45,22,6,176,0,8,5,12,14,17,0,3,0,55,0,8,27,54,42,28,21,10,0,194
SED22305,3,4,0,4,5,18,13,0,0,49,0,5,5,19,25,74,110,146,56,437,0,0,0,7,3,0,0,0,0,9,0,3,4,14,4,3,0,0,0,27,3,0,8,55,54,40,40,11,0,233,3,34,25,76,29,34,17,4,3,232,0,0,0,0,5,6,16,9,3,41,0,7,4,90,38,85,70,34,21,351,0,11,20,49,24,5,6,4,0,114,0,0,4,24,0,3,0,0,0,31,0,3,0,8,6,23,49,33,11,129,16,110,128,212,71,65,37,11,0,648,0,0,0,0,3,9,5,3,3,25,22,163,191,547,58,33,13,0,0,1025,0,0,0,4,0,0,0,0,0,5,5,32,58,183,79,35,11,7,3,418,0,0,12,34,27,73,44,19,22,231,0,0,0,13,9,28,40,27,8,132,0,7,9,25,5,8,8,0,0,53,0,5,0,28,16,21,30,13,5,120
