SED_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SED21106,29598,32899,62498,1670,1438,3113,4057,3901,7956,1863,1773,3637,1571,1667,3235,3444,4119,7556,4041,4736,8780,4651,5366,10020,3689,3978,7667,2633,2890,5527,1341,1720,3058,639,1314,1952,27990,31377,59371,1608,1524,3130,74,52,124,3,0,7,0,0,0,77,52,132,19898,22121,42017,7787,8638,16430,23384,25470,48852,4402,5376,9778,24654,27358,52009,484,382,868,3758,3658,7416,1655,1551,3209,860,891,1750,758,1394,2149,17159,19418,36572,1904,2384,4283,1654,2055,3707,730,739,1469,545,720,1262,78,107,188,26851,29717,56569,1884,2541,4423
SED21203,36488,35861,72350,2883,2706,5581,5288,5038,10326,2571,2562,5133,3027,2525,5552,6175,5498,11675,4637,4482,9122,4583,4517,9099,3232,3307,6540,2125,2524,4647,1501,1940,3442,483,759,1242,35419,34936,70355,1067,931,2000,199,238,433,20,14,37,3,15,18,225,267,491,16614,16677,33291,16659,16094,32753,10653,10386,21038,23035,22960,45995,27067,27656,54724,407,378,782,4436,4288,8724,1866,2052,3917,1267,1027,2297,1502,1732,3234,13348,12580,25931,2484,2312,4795,3460,3150,6610,1969,1962,3935,3192,3856,7045,920,1478,2397,33958,33438,67392,2514,2406,4916
SED21303,34147,36906,71047,1806,1747,3554,2788,2691,5477,1316,1316,2635,3096,3755,6846,9159,9594,18752,5752,5850,11601,3902,4085,7985,2740,3113,5849,1789,2084,3872,1247,1748,2999,553,920,1473,32629,35322,67953,1511,1581,3098,155,188,351,9,13,20,6,3,12,174,207,373,21273,22771,44043,10535,11592,22130,21965,23403,45368,10097,11215,21312,26682,28951,55632,362,352,714,2611,2506,5113,1090,1091,2178,1630,2069,3699,2414,3137,5550,20992,23510,44507,1888,1608,3498,1868,1523,3387,740,697,1434,1485,2089,3575,352,598,951,31417,33899,65314,2261,2471,4734
SED21401,29688,31976,61657,1482,1433,2908,3262,3095,6355,1888,1707,3596,1953,1837,3790,3709,3720,7423,3504,3844,7342,4006,4493,8501,3452,3950,7405,3043,3747,6788,2536,2843,5378,855,1309,2171,28633,30855,59486,1053,1122,2174,57,46,101,3,4,9,3,0,8,61,53,118,15945,16427,32371,12395,14049,26443,14636,15003,29641,13878,15642,29519,24201,25758,49965,338,348,689,3043,2882,5929,1653,1538,3189,1155,1061,2210,943,1300,2240,16287,17147,33432,2195,2301,4496,2245,2587,4826,1054,1163,2215,1442,2046,3486,288,430,725,28090,29982,58063,1164,1578,2741
SED21503,30320,31444,61764,1876,1741,3617,3448,3207,6653,1978,1927,3903,3039,2988,6025,4885,4850,9738,4109,4161,8268,3622,3924,7541,3065,3384,6451,2456,2782,5237,1389,1736,3127,446,754,1204,29208,30239,59445,1108,1210,2320,180,190,372,6,9,16,3,6,12,186,207,394,18602,19484,38088,10082,10214,20300,18344,18946,37290,10554,10970,21518,23935,25095,49033,363,359,724,3228,2979,6208,1644,1697,3342,1874,1948,3828,1429,1652,3080,14757,15907,30664,2693,2542,5238,3014,2794,5801,1396,1304,2700,1249,1756,3006,271,346,619,28053,28908,56961,2021,2351,4377
SED21608,29077,30145,59223,1863,1805,3674,3996,3772,7773,1918,1885,3799,2201,2127,4325,3264,3445,6705,3581,3833,7417,3895,4215,8107,3781,3942,7715,2929,3044,5969,1250,1432,2684,401,640,1043,27401,28599,55998,1676,1543,3219,348,378,728,8,21,32,14,4,20,372,410,777,23884,24786,48668,2950,3021,5975,25865,26797,52670,1262,1327,2584,25895,26840,52741,348,346,699,3635,3459,7092,1358,1391,2752,783,890,1672,610,1171,1786,9117,11257,20370,3574,3754,7322,4809,4014,8825,2096,1847,3939,1372,1278,2653,83,52,137,26311,27391,53700,2212,2316,4531
SED21706,31937,34747,66686,1814,1702,3518,4058,4040,8096,2170,2473,4642,3395,3114,6505,4707,4554,9260,3952,4456,8405,4305,4828,9136,3354,3742,7096,2221,2671,4891,1308,1801,3109,652,1369,2020,30657,33482,64141,1282,1261,2544,91,83,174,3,7,10,0,3,8,94,95,189,19128,20680,39809,11209,12339,23550,20247,21574,41815,10151,11533,21682,24561,26914,51474,469,471,939,3838,3826,7662,1921,2232,4155,2288,2181,4466,1505,1908,3411,18837,20238,39076,1978,2274,4249,1799,2190,3987,888,1026,1913,777,1173,1950,213,259,472,29556,31916,61472,1883,2430,4321
SED21805,33084,34627,67718,2419,2346,4767,4181,3851,8027,1879,1839,3712,1940,1918,3854,4482,4996,9476,5135,5198,10327,4691,4862,9553,3938,4104,8049,2674,3034,5706,1266,1671,2938,483,816,1300,31589,33261,64854,1494,1368,2860,281,288,567,19,19,35,3,4,9,302,315,617,23291,23891,47177,7490,8347,15836,26519,27386,53906,4459,5098,9553,28041,29265,57308,505,452,959,3823,3551,7374,1360,1428,2790,515,597,1114,682,1336,2019,12085,14449,26537,4027,3724,7752,4939,4550,9494,1931,1762,3689,1125,1274,2400,111,136,243,30599,32065,62663,1830,1975,3803
SED21906,31716,33840,65552,1945,1998,3943,3747,3502,7251,1575,1578,3156,2312,2517,4833,6265,6466,12726,4515,4648,9169,3728,4071,7791,3290,3528,6812,2483,2677,5156,1143,1593,2739,709,1262,1968,30348,32468,62817,1360,1372,2730,46,61,104,3,3,9,3,0,3,50,69,119,18127,19223,37346,11663,12631,24296,21073,22331,43408,8762,9605,18371,24800,26699,51496,520,528,1045,3517,3287,6805,1391,1391,2788,1394,1535,2930,1486,1913,3397,19392,21160,40548,1673,1822,3495,1585,1602,3183,681,668,1350,658,873,1528,134,165,299,29005,30897,59902,2165,2508,4678
SED22005,37020,36946,73961,2310,2203,4513,3855,3509,7362,2104,1915,4022,3808,3143,6948,6813,6305,13118,5046,4903,9954,4235,4397,8634,3519,3838,7365,2696,3112,5807,1830,2300,4131,799,1313,2116,35928,35869,71792,1093,1079,2168,55,75,132,8,4,10,8,3,10,67,84,151,15495,15051,30545,19453,19894,39353,14279,13849,28130,20878,21297,42178,25942,26162,52098,448,425,876,3537,3254,6791,1745,1658,3399,2357,2006,4364,1858,2011,3867,19001,18694,37694,2485,2147,4624,3015,2718,5739,1307,1388,2697,2166,2961,5124,820,1103,1924,34845,34662,69506,2267,2428,4696
SED22105,48085,48955,97040,4986,4827,9815,7571,7228,14802,2961,2795,5754,3114,3099,6210,8409,9503,17906,8210,7717,15928,5470,5429,10903,3753,3891,7648,2258,2576,4829,1020,1295,2319,334,587,920,46640,47578,94225,1442,1376,2814,275,290,569,15,11,25,7,5,9,301,310,609,27147,27682,54828,18031,18349,36382,28782,29183,57967,16656,17113,33767,37961,38048,76008,805,778,1584,6864,6602,13468,2189,2210,4391,884,965,1852,1187,2117,3303,17705,19866,37572,4534,4186,8724,6285,5508,11794,2448,2288,4741,1591,1821,3408,445,559,1005,45375,46166,91537,2228,2331,4552
SED22201,28184,30871,59049,2039,1886,3924,3562,3393,6947,1814,1679,3496,1804,1850,3653,3964,4352,8319,3829,4018,7850,3639,4128,7768,3268,3702,6970,2371,2997,5363,1341,1871,3214,546,997,1545,26939,29644,56582,1245,1225,2469,152,148,300,12,6,18,3,0,3,166,156,316,20877,22580,43462,5963,6744,12709,22902,24931,47842,4035,4511,8542,24367,26673,51035,409,380,790,3309,3164,6473,1451,1393,2844,675,735,1411,725,1171,1890,11343,13700,25044,3496,3442,6935,3722,3682,7408,1469,1501,2971,1069,1309,2374,150,188,338,26423,28707,55133,1164,1581,2746
SED22305,39077,35833,74906,2833,2614,5449,4462,4219,8682,2191,2042,4233,3400,2371,5772,7236,6281,13514,5929,4722,10655,4407,3952,8357,3846,3963,7816,2729,2897,5631,1526,1911,3440,507,857,1363,37838,34799,72638,1235,1033,2265,202,204,411,15,13,24,13,14,26,226,232,461,13942,13246,27184,22054,19701,41758,12546,12009,24556,23774,21327,45103,25811,25231,51037,361,346,702,3809,3680,7493,1646,1638,3283,1166,1007,2170,1524,1853,3377,15380,14529,29910,3021,2446,5466,4081,3418,7508,1805,1601,3404,2774,2891,5664,1713,1355,3071,35926,33048,68967,3220,2817,6034
SED22404,29004,29115,58119,1544,1494,3046,3776,3582,7358,1779,1700,3479,1419,1331,2745,2633,2742,5380,3343,3595,6937,4315,4324,8640,4481,4569,9052,3754,3521,7270,1504,1579,3088,450,679,1127,26966,27300,54264,2041,1817,3859,347,425,768,15,25,37,8,7,20,367,452,821,22807,22896,45696,3569,3672,7239,25855,25951,51805,1025,1140,2162,25663,25728,51397,348,347,693,3384,3189,6576,1280,1286,2572,314,401,713,390,870,1259,8480,11012,19493,3805,3805,7604,5294,3992,9291,2284,1666,3956,1345,1188,2542,70,54,117,25695,25809,51501,4122,3939,8060
SED22501,28698,30348,59042,1759,1741,3504,3978,3760,7735,1959,1827,3787,1809,1735,3543,2973,3069,6044,3807,4211,8017,4156,4644,8796,4030,4538,8570,2861,2900,5765,1039,1301,2335,327,621,949,27415,29103,56512,1286,1248,2528,116,130,245,8,3,8,0,3,0,125,140,257,22809,23998,46802,4853,5192,10045,24664,25752,50419,3095,3569,6664,26127,27475,53605,394,427,821,3811,3581,7392,1663,1596,3258,820,852,1670,657,1016,1672,13759,15434,29195,3239,3268,6506,3035,2865,5897,1173,1200,2370,706,904,1613,64,65,130,27133,28624,55765,846,1060,1908
SED22607,32366,34640,67008,1959,1871,3822,3773,3573,7339,1703,1833,3536,2543,2610,5157,6001,6502,12508,4766,5119,9881,4353,4561,8918,3523,3817,7344,2119,2265,4380,1087,1574,2659,538,919,1457,30979,33275,64254,1383,1365,2749,134,125,258,9,8,17,10,8,15,151,137,288,21502,22639,44141,8546,9631,18173,21878,22759,44641,8348,9665,18018,26320,28134,54451,380,367,746,3433,3296,6736,1454,1584,3043,1284,1352,2634,1470,2010,3481,17559,19385,36942,2448,2318,4762,2217,2162,4382,925,955,1879,1098,1513,2612,246,464,711,29716,31811,61526,2223,2331,4545
SED22704,32200,31997,64201,1770,1583,3354,3814,3625,7443,2090,1849,3944,1716,1479,3191,3058,3001,6054,3346,3544,6885,4365,4658,9026,5011,4984,9996,4235,4055,8296,2092,2214,4307,704,1007,1706,30253,30220,60469,1952,1780,3727,488,487,976,18,6,25,8,10,15,513,510,1021,26185,25797,51980,2973,3076,6047,28120,28111,56234,1266,1309,2577,28349,28223,56572,307,319,630,3427,3219,6640,1417,1344,2756,340,350,693,381,903,1289,8209,10315,18521,4354,4276,8631,5920,5013,10932,2862,2254,5120,1964,1830,3791,80,68,145,28336,28534,56875,3412,2777,6188
SED22802,28158,29105,57261,1792,1759,3553,3764,3646,7416,2061,1975,4040,1878,1738,3617,3688,3816,7499,3637,3800,7436,3924,4241,8163,3325,3594,6920,2594,2715,5306,1149,1311,2456,339,510,851,26775,27807,54574,1385,1298,2682,214,206,424,12,10,17,5,7,13,231,214,452,22186,22817,45007,4601,4840,9443,24715,25382,50097,2237,2480,4716,25229,26038,51268,436,397,830,3503,3423,6928,1616,1603,3213,563,572,1133,574,933,1509,9294,11709,21005,4075,3823,7902,4821,3963,8782,1947,1603,3554,1067,1081,2143,111,119,233,26445,27415,53858,1001,1024,2023
SED22901,27887,29563,57447,1674,1566,3236,3275,3025,6302,1807,1720,3524,1907,1772,3679,3738,3822,7553,3646,3807,7455,3677,4008,7677,3688,4199,7883,2683,2978,5664,1269,1623,2891,522,1051,1579,26863,28528,55398,1019,1038,2052,124,122,242,4,5,10,3,3,5,128,135,260,17831,18233,36062,8952,10124,19076,19247,19954,39203,7699,8612,16320,23704,24770,48470,342,324,665,3098,2889,5982,1510,1501,3006,804,780,1577,736,1115,1850,12676,14076,26749,3113,3125,6235,3446,3327,6772,1459,1488,2948,880,1213,2095,142,223,363,26422,27781,54202,1231,1598,2829
SED23007,41338,40082,81421,2713,2566,5281,3777,3676,7455,1989,2031,4025,4124,3569,7689,9642,8841,18480,6457,5919,12372,4636,4642,9275,3731,3840,7571,2409,2544,4952,1348,1630,2971,513,830,1342,39892,38673,78566,1444,1405,2851,196,166,363,16,14,23,7,5,10,212,184,394,18585,18052,36637,19518,18928,38446,16576,15733,32308,21747,21604,43352,29046,29228,58278,456,388,846,3332,3260,6587,1587,1691,3283,2137,1856,3992,2537,2828,5365,21536,20500,42035,2570,2070,4640,3070,2844,5909,1360,1378,2731,2173,2887,5056,830,1060,1893,38096,37073,75174,3168,2967,6140
SED23101,28795,30810,59610,1597,1474,3068,3671,3436,7104,1916,1795,3705,2068,1812,3876,3412,3351,6758,3737,4154,7895,3722,4098,7827,3153,3650,6807,2864,3445,6316,1978,2406,4385,676,1190,1865,27732,29740,57471,1068,1068,2136,50,44,92,4,7,11,0,0,0,56,52,103,16209,16907,33112,11518,12744,24260,16510,17228,33732,11351,12552,23911,23068,24643,47707,434,388,821,3499,3270,6767,1720,1633,3352,1209,1099,2312,964,1288,2255,15199,16254,31446,2387,2449,4838,2399,2798,5196,1131,1192,2318,1028,1524,2549,251,391,647,27292,29054,56343,1064,1371,2431
SED23205,29615,31563,61181,1950,1822,3770,3503,3312,6821,1761,1729,3491,1928,1967,3890,3989,4136,8119,3848,3983,7833,3965,4250,8213,3664,4010,7676,2840,3297,6131,1548,1989,3534,620,1075,1696,28245,30275,58517,1374,1287,2663,308,276,583,18,10,29,7,15,24,334,307,640,20848,21907,42757,6433,7199,13632,24356,25717,50075,3221,3679,6898,24906,26481,51385,423,365,790,3161,3004,6168,1283,1326,2613,562,699,1263,706,1306,2014,10745,12685,23431,3563,3468,7024,4491,4314,8807,1839,1804,3648,1100,1392,2496,101,119,219,27014,28713,55719,2425,2781,5204
SED23308,29995,32889,62886,1911,1829,3739,3402,3260,6663,1748,1702,3454,2251,2370,4622,4462,4679,9141,3820,4083,7894,3972,4389,8358,3654,4124,7777,2603,3104,5708,1455,2105,3562,724,1244,1966,28318,31223,59543,1673,1663,3337,245,285,532,15,7,22,8,7,17,267,301,570,23444,25869,49309,4566,4833,9399,25220,27855,53067,2994,3084,6081,25868,28683,54547,401,332,731,3114,3004,6121,1349,1358,2707,867,1041,1909,1032,1498,2525,11936,14284,26222,3794,3666,7460,3790,3764,7555,1706,1847,3550,1289,1782,3069,121,147,266,27294,29826,57125,2464,2692,5153
