SED_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
SED21106,396,2629,1989,12295,187,17503,0,0,0,18,0,18,2136,76,138,153,10,2511,252,43,16,87,8,401,485,172,92,207,5,964,5537,2251,1650,13014,215,22675,175,13,37,3,0,225,400,57,33,167,7,667,974,274,167,1182,30,2627,1264,221,110,700,16,2315,264,45,18,65,3,403,718,39,29,27,4,813,1695,637,447,5863,73,8709,1550,449,214,1285,41,3536,91,0,4,8,0,101,121,31,24,47,0,216,78,8,9,20,0,126,125,35,32,59,3,258,88,20,11,12,0,128,426,109,96,31,3,663,909,175,113,251,12,1452,723,49,56,66,9,899,1471,615,469,4382,33,6969,174,19,6,36,3,238,458,40,43,12,4,558,218,26,12,39,0,304,187,42,27,24,0,286,117,16,13,9,0,159,165,3,13,0,3,185,227,44,32,188,0,493,4532,691,619,816,37,6699,135,31,23,191,3714,4099,21119,5129,3777,28206,4258,62498
SED21203,1919,1247,727,4999,307,9200,5,9,8,51,0,72,946,10,13,36,3,1013,388,26,12,28,8,464,132,21,23,40,4,222,2303,763,444,4143,248,7899,1102,10,62,7,6,1189,85,12,12,40,3,150,333,63,32,313,16,761,1286,148,91,302,139,1965,50,11,4,11,7,83,2386,13,23,8,17,2442,307,173,105,1530,45,2157,3880,484,229,1009,139,5739,36,0,0,0,0,40,5284,1168,477,418,113,7469,151,23,5,35,3,225,856,99,54,196,11,1220,145,9,16,4,11,182,130,20,18,15,3,190,229,25,20,30,3,306,60,4,9,5,4,88,381,167,110,943,54,1654,194,15,6,13,7,233,26,5,4,5,0,37,275,13,11,18,10,340,693,28,3,4,6,730,7349,632,327,332,87,8726,1557,10,16,12,23,1619,22,7,8,37,0,74,20269,583,380,314,237,21787,940,99,71,158,4597,5860,48980,4146,2330,10989,5909,72350
SED21303,553,2409,1817,10779,171,15726,9,8,0,65,0,79,3170,109,132,178,22,3624,302,48,32,90,4,476,351,179,139,293,4,974,4094,2230,1672,11108,194,19301,402,12,81,11,3,507,341,60,49,170,11,624,795,253,187,1295,19,2545,3176,372,159,869,56,4628,118,41,26,56,3,245,1207,69,35,25,7,1344,1452,847,609,6878,86,9879,5710,868,486,2292,117,9474,159,7,9,4,3,181,1277,132,80,113,33,1644,141,33,15,70,3,258,364,92,73,208,0,742,164,20,14,10,4,216,522,81,73,43,9,721,362,99,50,185,3,703,138,20,16,63,3,242,1266,626,486,4148,53,6584,171,27,20,19,0,229,104,25,19,14,0,163,404,38,37,64,3,542,205,34,42,19,0,294,578,55,24,18,5,677,645,17,32,14,10,708,163,48,43,232,0,489,6756,761,633,889,62,9104,214,27,17,220,4146,4632,30168,5598,4090,26370,4828,71047
SED21401,485,1138,884,6767,160,9440,0,5,0,18,0,29,13843,137,260,162,92,14486,348,36,31,79,6,496,274,70,35,101,4,480,2439,970,726,6544,161,10832,320,10,56,5,8,388,116,22,10,75,3,225,495,102,79,595,11,1284,4235,492,272,1291,55,6341,148,16,11,24,0,201,1475,52,48,6,11,1592,476,275,194,2727,33,3710,4502,690,312,2016,88,7609,586,3,8,0,3,597,550,60,66,80,3,762,416,41,35,96,5,594,193,34,16,75,3,324,35,6,3,0,0,45,144,34,28,23,0,230,271,35,29,48,5,385,133,10,17,25,0,179,514,258,216,2043,32,3056,143,11,4,19,0,181,300,16,4,4,0,320,154,17,19,34,0,222,386,16,21,8,3,439,190,7,10,10,0,218,591,7,24,3,0,632,92,11,11,86,0,203,5862,356,331,493,70,7112,251,12,17,139,2336,2751,36574,3107,2339,16648,2993,61657
SED21503,480,1614,1036,10883,184,14199,0,3,3,82,0,87,6237,67,100,79,27,6511,491,45,34,111,13,689,253,76,67,186,3,580,2267,1296,905,10036,214,14725,683,14,59,16,8,779,86,17,17,82,3,205,445,138,95,881,15,1582,1946,268,161,749,40,3168,97,10,5,40,0,155,2092,30,23,17,19,2178,693,404,245,4241,81,5663,3273,784,314,2215,75,6665,109,3,7,0,0,123,464,89,54,81,13,704,1392,176,101,272,14,1948,342,113,55,215,11,733,75,16,3,5,0,94,151,70,53,32,0,308,268,43,36,110,3,467,106,10,10,13,0,141,622,310,230,2863,42,4068,219,20,7,30,3,277,112,19,19,3,0,153,181,32,13,60,3,287,807,24,8,21,4,858,148,11,7,13,0,181,1273,17,19,5,6,1319,58,28,22,98,3,203,5620,415,304,536,73,6941,245,27,31,229,2703,3230,28101,3782,2441,24051,3399,61764
SED21608,196,1756,1135,20477,465,24030,0,0,3,96,3,104,547,13,22,181,10,771,153,29,9,72,3,266,633,256,155,502,15,1562,2726,1628,1183,18369,414,24324,173,13,39,8,4,242,65,23,18,157,0,253,501,212,132,1744,35,2626,104,38,17,117,3,274,94,17,15,30,3,165,337,20,10,16,4,385,584,390,262,7416,113,8765,342,171,65,899,18,1494,11,0,0,4,0,14,17,11,3,23,0,57,28,9,0,8,0,39,283,73,51,221,9,628,56,16,15,13,0,107,125,59,35,27,0,247,164,47,35,105,3,356,65,9,8,19,3,105,703,489,307,5547,96,7146,33,10,0,18,0,68,55,14,7,6,0,80,61,17,14,41,0,126,55,12,0,7,0,75,18,6,0,6,0,25,41,3,8,0,0,54,76,19,18,200,5,326,1289,247,208,586,31,2360,87,39,11,646,3654,4434,7885,3251,2241,41257,4584,59223
SED21706,437,2121,1571,11777,161,16072,5,3,0,34,0,41,11141,168,233,171,79,11790,194,30,19,56,0,298,381,148,79,205,10,828,3385,1901,1301,11570,177,18332,321,15,45,6,0,391,234,66,41,141,3,479,594,200,124,1040,29,1998,1818,243,124,785,21,2998,203,32,38,65,5,340,2205,52,37,25,16,2340,914,576,405,5469,77,7449,1325,347,163,1239,34,3105,440,0,6,3,0,451,135,25,10,35,0,205,86,7,14,52,0,152,125,38,27,63,3,250,50,13,9,5,3,88,265,101,81,41,6,491,428,59,38,124,3,648,232,15,17,32,7,298,896,524,381,3997,49,5848,126,20,13,15,0,178,216,45,24,6,6,297,172,8,15,34,0,229,1039,56,32,34,0,1165,92,7,3,8,0,102,969,26,34,13,4,1038,109,24,20,168,5,326,4972,525,470,656,47,6673,213,24,11,196,2976,3419,29807,4268,3095,25961,3558,66686
SED21805,598,2797,2131,16825,328,22682,0,5,3,64,0,77,1224,45,53,99,14,1430,304,34,17,57,3,421,741,204,151,343,24,1469,6118,2594,1934,14447,416,25507,854,11,116,21,16,1027,245,24,31,157,3,456,861,243,167,1223,23,2525,714,145,85,391,14,1350,238,48,25,50,7,369,1580,55,42,24,10,1704,1343,596,403,4974,92,7402,1040,321,183,1081,39,2656,46,4,6,3,0,53,151,52,18,26,7,264,54,14,14,8,0,84,233,59,60,134,4,491,536,61,48,35,20,699,445,126,102,50,4,727,404,57,52,118,0,626,371,29,17,35,4,455,1561,608,421,3768,99,6451,223,14,11,17,5,266,371,63,36,14,3,488,252,28,28,50,3,359,421,49,31,29,10,537,151,20,8,10,3,196,232,6,16,7,0,263,242,58,41,163,5,502,4553,553,466,654,73,6307,278,41,40,380,3902,4641,21508,5208,3919,32217,4871,67718
SED21906,774,2944,2033,9529,142,15424,0,4,0,17,0,23,3597,52,91,103,30,3879,174,21,28,35,3,268,331,130,76,166,3,709,4235,1856,1169,7428,169,14863,407,8,49,5,6,476,498,65,46,135,7,747,1126,282,197,948,16,2570,1309,220,97,452,32,2105,733,143,90,217,7,1192,2729,41,26,26,16,2831,1338,493,320,3747,50,5948,995,266,102,727,24,2105,162,0,0,4,0,168,78,18,4,27,0,128,51,14,0,15,0,83,97,31,28,58,0,216,94,11,9,4,0,118,311,82,77,36,3,507,2931,533,370,796,24,4657,1880,155,127,219,16,2397,901,414,285,2443,50,4083,161,15,11,11,0,200,1429,185,99,26,10,1749,249,16,8,37,7,318,258,33,13,11,5,327,88,7,10,7,3,115,262,5,15,4,4,297,90,28,17,115,4,253,9707,1410,1196,1446,84,13844,413,104,73,266,3589,4448,31407,5817,4060,20138,4139,65552
SED22005,896,1295,1024,6309,131,9659,0,3,3,28,0,36,12083,72,155,77,118,12511,316,28,13,30,3,383,363,67,43,102,0,569,3462,1019,717,5619,166,10982,1162,17,75,7,14,1270,285,24,11,67,3,390,579,113,74,544,25,1329,4765,471,277,930,71,6514,269,28,7,31,0,334,6248,45,23,7,41,6356,677,280,191,2417,50,3627,2220,304,135,862,40,3563,639,0,14,0,0,662,269,47,19,41,4,372,98,9,10,12,0,121,194,32,17,69,3,316,178,15,6,5,7,206,209,39,49,12,3,316,500,33,29,61,8,637,778,24,25,22,3,848,655,233,179,1675,26,2765,228,13,9,17,3,265,250,21,15,7,0,289,284,22,3,11,3,327,1163,43,21,11,8,1242,324,27,3,16,0,370,4822,32,68,11,63,4993,71,11,15,65,0,163,12405,446,428,376,130,13779,641,23,23,154,3307,4147,50786,2965,2244,13866,4105,73961
