SED_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
SED21106,310,74,65,0,0,456,56,19,16,0,0,96,56,29,16,0,0,99,62,27,30,0,0,111,84,44,59,0,0,185,284,103,141,0,0,529,250,106,175,0,0,528,504,189,294,3,7,1000,289,161,170,3,3,630,558,242,149,3,3,956,1418,314,108,0,13,1856,309,62,50,0,3,428,4173,1372,1280,18,38,6873
SED21203,344,43,4,3,0,394,198,18,6,4,0,227,151,9,3,0,3,170,256,29,8,0,0,292,376,58,12,3,0,451,1225,182,42,6,3,1460,1377,193,55,5,3,1634,1102,125,18,0,0,1254,308,33,12,0,0,349,181,23,4,0,0,213,121,15,3,0,0,140,299,38,4,0,0,347,5945,773,178,25,11,6930
SED21303,218,96,46,4,3,374,83,31,26,0,0,146,67,31,20,0,3,117,93,47,29,0,0,175,156,66,70,0,0,291,360,186,235,3,0,783,382,217,312,5,4,921,669,375,441,6,3,1489,474,271,172,0,3,928,620,284,105,3,3,1024,473,165,44,0,0,679,169,68,46,0,0,291,3765,1841,1549,18,20,7204
SED21401,376,81,22,0,0,482,93,24,4,0,0,119,96,16,7,0,0,115,116,27,12,0,0,150,165,37,20,0,0,223,475,121,49,0,0,642,447,131,95,0,0,675,813,229,97,0,3,1145,547,145,22,0,0,714,753,171,29,0,0,959,667,106,10,0,0,789,236,52,16,0,0,307,4792,1131,386,3,10,6324
SED21503,387,45,9,0,0,444,141,14,3,0,0,159,122,18,3,0,0,142,209,14,0,0,0,225,304,35,4,0,0,353,824,133,23,0,0,981,991,155,32,0,0,1187,1497,196,26,0,0,1713,746,92,4,0,0,846,596,45,3,0,0,649,290,26,3,0,0,319,290,24,12,0,0,322,6397,802,123,3,4,7339
SED21608,346,14,3,6,3,362,266,10,3,0,0,282,209,15,0,0,0,228,441,37,5,0,0,481,688,58,3,3,0,744,1831,141,7,8,3,1992,1601,87,4,4,5,1705,1299,48,3,12,4,1361,467,13,0,0,0,485,265,5,0,5,0,278,128,5,0,3,0,134,379,16,0,5,3,406,7924,447,26,43,22,8459
SED21706,424,74,30,0,0,526,111,16,10,0,0,140,121,21,3,0,0,148,137,35,11,0,0,177,156,45,23,0,0,224,484,129,51,0,0,663,468,141,86,0,3,697,840,294,106,0,6,1239,537,183,64,0,6,798,883,225,53,0,0,1165,1146,148,27,0,3,1319,276,47,11,0,0,335,5580,1355,476,10,17,7438
SED21805,333,100,17,0,0,443,145,43,4,0,0,191,131,39,3,0,0,175,304,69,15,0,0,388,447,96,14,0,0,559,1352,346,45,3,0,1753,1882,461,54,3,4,2401,2095,398,60,4,5,2560,765,192,14,0,0,974,546,153,11,0,0,708,238,54,5,0,3,300,362,84,12,0,0,453,8608,2031,248,18,12,10911
SED21906,289,118,78,6,0,489,56,26,29,0,0,109,51,43,26,0,0,119,66,40,38,0,0,157,69,63,60,3,0,192,272,170,200,5,0,644,233,182,302,9,3,726,431,317,403,3,0,1158,267,255,199,0,6,724,497,334,104,3,0,940,844,278,55,3,4,1182,240,99,61,0,0,405,3324,1929,1554,35,16,6857
SED22005,348,94,20,0,0,470,113,25,10,0,0,145,120,25,5,0,0,156,168,55,11,0,0,232,215,78,24,0,0,313,627,227,68,0,3,917,685,288,93,3,0,1071,1085,372,89,0,5,1547,627,194,27,0,0,850,589,108,18,0,0,721,272,61,6,0,0,334,260,48,8,0,0,322,5117,1570,375,9,14,7081
SED22105,415,41,3,0,0,455,227,25,0,0,0,247,172,16,0,0,0,192,353,27,5,0,0,385,518,44,8,0,0,572,1959,236,22,3,0,2223,3461,372,10,0,0,3851,5244,279,9,0,10,5544,1734,72,0,0,3,1812,833,29,3,0,0,864,373,16,0,0,0,389,595,48,0,0,0,637,15884,1211,72,3,14,17177
SED22201,372,20,3,0,0,401,192,9,3,0,0,197,163,12,4,0,0,176,289,16,0,0,0,309,374,18,4,0,0,395,1081,69,30,0,3,1183,1410,124,52,0,3,1585,2000,141,31,0,0,2175,976,44,3,0,0,1022,673,27,4,0,0,701,256,12,3,0,0,263,379,11,5,0,0,399,8165,491,147,0,12,8811
SED22305,336,62,15,3,0,423,149,20,10,0,0,181,130,16,6,0,0,158,247,41,26,0,0,315,300,72,39,3,0,417,932,255,103,20,3,1310,1181,284,79,12,0,1561,1172,214,54,17,0,1449,320,59,16,0,0,399,201,40,6,0,0,240,122,28,4,3,0,158,289,44,6,5,0,351,5385,1142,362,61,8,6954
SED22404,422,6,0,7,0,436,236,0,0,0,3,238,238,3,0,0,0,240,400,4,0,0,3,412,617,3,9,4,4,634,1627,18,5,8,4,1665,1595,22,3,3,0,1616,1544,16,3,6,6,1573,550,0,0,0,3,553,475,4,0,0,3,481,275,0,0,0,0,278,469,5,0,5,6,488,8434,84,21,35,35,8622
SED22501,438,22,3,0,0,462,190,10,0,0,0,202,160,12,3,0,0,173,244,17,3,0,0,257,359,19,4,0,0,389,965,87,16,0,0,1068,1077,106,29,0,0,1219,1773,139,34,3,3,1944,1166,59,17,0,3,1242,1093,36,8,0,0,1134,571,9,6,0,0,590,391,25,3,0,0,422,8426,543,120,6,8,9105
SED22607,280,63,52,0,0,404,90,32,14,0,0,132,70,30,23,0,0,119,104,36,24,0,0,163,132,42,53,0,0,231,417,152,175,0,6,748,389,192,245,3,3,833,651,291,315,11,0,1273,503,247,105,3,3,856,796,266,82,0,6,1145,771,131,38,0,4,941,234,51,32,0,0,312,4424,1543,1150,19,20,7161
SED22704,450,4,3,0,3,463,310,0,3,0,0,313,276,4,9,3,0,290,589,3,9,0,0,607,766,4,10,5,0,790,1870,6,9,5,4,1893,1464,10,3,3,4,1489,1116,0,3,0,3,1118,381,0,0,0,0,387,274,0,0,0,0,274,173,0,0,3,3,182,489,0,0,0,5,497,8156,34,51,28,31,8302
SED22802,372,14,0,0,3,391,180,5,0,0,0,187,195,8,0,0,0,205,289,7,0,3,0,297,438,9,0,0,3,448,1293,57,0,0,3,1356,1642,72,0,0,5,1718,2488,71,0,0,6,2563,981,14,0,0,0,994,543,8,0,0,4,552,231,0,0,0,0,231,462,6,0,0,0,470,9117,270,0,6,22,9416
SED22901,439,38,0,0,0,482,187,12,0,0,0,206,147,14,0,0,0,165,275,19,0,0,0,297,381,42,0,0,0,422,1032,95,7,0,0,1130,1140,139,8,0,0,1283,1651,170,10,0,0,1834,810,60,0,0,0,875,610,37,3,0,0,643,309,28,0,0,0,343,299,29,3,0,0,330,7282,686,35,4,7,8005
SED23007,330,118,48,3,0,491,124,46,16,0,0,186,104,28,26,0,0,157,175,65,30,0,0,272,236,89,54,0,0,377,679,308,190,7,0,1178,738,355,259,7,3,1360,962,581,258,3,9,1817,577,292,61,4,0,934,456,223,32,0,0,714,252,137,26,3,0,411,237,86,20,0,0,347,4868,2322,1012,23,18,8250
SED23101,453,52,3,0,0,508,149,27,3,0,0,177,137,14,0,0,0,150,169,24,3,0,0,195,244,36,0,0,0,276,659,111,10,0,0,783,677,124,7,0,0,811,1168,223,12,0,3,1411,742,98,11,0,0,851,885,78,0,0,4,964,470,41,3,0,0,507,275,27,0,0,0,301,6033,849,48,4,11,6942
SED23205,378,31,13,0,0,418,176,25,3,0,0,208,189,15,0,0,0,209,300,40,12,0,0,350,399,55,7,0,0,459,1178,179,35,3,0,1398,1411,144,18,0,5,1573,1489,93,8,0,0,1593,564,26,0,0,3,592,388,18,0,0,0,407,216,4,0,0,0,224,354,15,3,0,0,372,7034,641,103,7,8,7796
SED23308,383,44,5,0,0,433,200,22,9,0,0,231,203,17,7,0,0,225,308,38,15,0,0,362,471,61,23,0,0,561,1297,149,58,6,5,1510,1378,106,22,0,5,1513,1336,93,24,6,3,1460,471,37,8,0,0,514,380,17,5,0,0,406,218,20,0,0,4,244,285,34,9,0,0,329,6929,635,189,17,15,7778
SED23402,394,15,3,0,0,416,166,13,0,0,0,184,172,18,0,0,0,185,288,8,0,0,0,298,442,34,0,0,0,480,1434,103,0,0,0,1547,2168,142,0,0,4,2319,2652,121,0,3,5,2781,1043,36,0,0,3,1086,706,24,0,0,0,732,400,10,0,0,0,409,442,11,0,0,0,454,10320,534,11,6,18,10887
SED23502,419,3,3,0,3,431,283,5,3,3,0,294,260,5,0,3,0,263,504,0,0,5,0,515,696,4,3,0,3,710,1655,10,4,0,8,1681,1217,7,0,0,5,1228,830,0,3,3,7,849,251,0,0,0,3,254,197,0,0,0,0,199,109,0,0,7,0,120,336,3,0,4,7,342,6744,43,17,24,48,6878
SED23602,447,3,7,6,6,462,289,5,0,3,0,297,249,3,4,0,4,255,462,7,7,3,0,481,673,15,3,3,0,693,1484,10,11,6,3,1519,1220,7,7,0,3,1241,952,3,0,9,3,962,335,0,0,0,0,339,243,3,0,0,3,252,146,0,0,0,0,150,343,3,3,0,3,351,6850,56,41,34,23,7002
SED23702,470,36,3,0,0,505,223,32,0,0,0,254,196,12,0,0,0,207,370,43,0,0,0,417,574,65,3,0,0,644,1634,197,4,0,0,1842,2100,213,15,0,5,2333,2445,85,10,0,3,2541,878,10,0,0,0,895,601,8,0,0,0,605,259,6,0,0,0,271,514,31,3,0,0,542,10266,734,39,7,9,11056
SED23806,315,98,77,0,0,491,54,32,17,0,0,110,54,19,27,0,0,98,63,24,42,0,0,131,75,36,50,0,0,158,257,99,169,0,0,528,195,87,289,0,3,575,384,191,390,0,0,965,224,158,188,0,3,573,488,237,151,0,4,873,1239,302,86,3,4,1637,234,63,31,0,0,337,3589,1336,1512,7,14,6463
SED23901,384,53,14,0,0,455,124,30,8,0,0,173,109,14,5,0,0,125,158,39,13,0,0,214,190,47,13,0,0,252,595,158,53,0,0,815,621,212,55,0,3,889,975,318,87,3,3,1388,711,168,52,0,0,931,816,96,31,0,3,944,686,52,16,0,0,755,268,32,11,0,0,316,5629,1227,367,4,13,7248
SED24006,491,85,24,0,0,602,76,24,8,0,0,109,83,24,12,0,0,117,84,22,6,0,0,111,109,33,12,0,0,161,348,110,53,0,0,507,276,88,73,3,0,433,567,158,141,0,0,861,331,118,52,3,0,504,648,189,56,0,0,890,1546,196,31,0,5,1786,304,48,15,0,0,368,4868,1076,482,9,13,6453
SED24105,444,27,13,0,0,486,178,19,9,0,0,206,144,11,9,0,0,169,260,32,14,0,0,300,338,43,9,0,0,390,941,135,40,0,0,1118,1194,171,66,0,3,1436,1599,196,41,0,3,1842,851,87,4,0,0,950,805,55,9,0,0,873,341,31,6,0,0,377,336,30,9,0,0,379,7432,847,230,5,9,8516
SED24207,498,23,0,0,0,525,225,10,3,0,0,238,177,10,0,0,0,187,319,15,4,0,0,338,471,35,3,0,0,509,1579,111,12,0,0,1698,2134,169,14,0,0,2318,2893,209,6,3,0,3111,1044,54,3,0,0,1101,741,49,0,0,0,788,366,20,0,0,0,387,515,36,0,0,0,548,10948,739,47,5,9,11750
SED24308,352,18,3,0,0,369,226,17,0,0,0,238,180,15,0,0,3,201,417,24,10,0,0,452,581,39,10,0,0,632,1589,96,28,0,3,1719,1453,72,15,0,0,1546,1181,48,7,0,4,1242,397,15,0,0,0,411,255,8,0,0,0,264,142,0,0,0,0,140,372,12,3,0,0,395,7156,369,80,6,15,7623
SED24408,532,6,0,0,10,546,412,3,0,4,0,421,399,3,3,0,3,415,751,6,4,4,3,772,741,7,16,5,6,773,1442,16,9,5,7,1475,819,10,0,3,3,829,492,5,0,4,3,504,180,0,0,0,0,179,127,0,0,0,0,124,105,0,0,0,3,116,318,0,3,3,5,324,6317,62,33,28,37,6485
SED24504,392,8,0,4,0,398,223,0,0,3,3,226,207,3,0,0,0,210,346,10,4,3,0,354,446,4,0,4,3,463,1319,25,9,4,10,1367,1460,27,5,3,8,1500,1806,17,5,9,6,1838,863,10,0,3,0,873,682,3,0,3,0,688,411,0,0,0,0,417,467,3,0,3,0,473,8614,110,24,31,36,8809
SED24606,326,88,70,0,3,489,54,20,16,0,0,93,32,16,20,0,0,68,36,20,42,0,3,99,80,38,46,0,0,165,216,86,178,0,0,480,198,95,195,6,0,498,353,195,285,3,3,839,233,112,131,3,0,476,403,210,132,0,0,752,1295,281,96,0,3,1666,245,57,38,0,4,346,3469,1222,1246,24,18,5982
SED24703,34,159,352,0,6,555,9,41,62,0,0,109,3,33,43,0,0,79,6,48,103,0,0,158,13,69,166,0,0,256,39,160,693,0,4,893,45,194,853,3,3,1105,63,326,1175,3,11,1575,40,265,546,0,5,858,76,339,427,0,3,848,102,377,289,0,7,780,23,84,161,0,0,274,454,2095,4879,15,40,7482
SED24808,394,34,0,0,0,432,233,26,0,0,0,261,221,19,0,0,0,242,406,35,0,0,0,448,680,65,3,0,0,746,2491,240,6,0,3,2744,2851,200,3,0,4,3061,2298,128,0,0,5,2435,573,35,0,0,0,612,357,18,0,3,0,375,168,4,0,0,0,169,500,27,0,0,0,529,11169,843,15,4,17,12050
SED24904,388,10,8,0,0,411,297,6,3,0,4,309,278,6,0,3,0,289,601,20,6,3,5,638,815,24,15,3,3,863,1862,61,13,0,6,1939,1158,16,5,0,0,1187,737,3,0,0,8,751,202,0,0,0,0,207,141,0,0,0,0,145,89,0,0,0,0,89,354,10,0,0,0,364,6920,167,61,18,27,7196
SED25003,398,61,3,0,0,461,161,36,0,0,0,201,160,32,0,0,0,194,271,39,3,0,0,316,369,56,0,0,0,425,1240,250,14,0,0,1499,1762,357,14,0,0,2129,2386,301,6,0,3,2700,814,90,0,0,3,909,510,49,0,0,0,564,264,33,0,0,0,301,417,73,0,0,0,485,8746,1385,41,0,9,10186
SED25102,487,3,0,3,0,501,234,3,0,0,0,238,218,3,0,0,0,228,322,4,0,0,0,333,506,8,0,0,0,512,1438,9,4,0,3,1454,1652,22,11,0,9,1686,2373,27,7,0,4,2416,1131,7,0,3,0,1148,735,3,0,0,0,737,369,0,0,0,3,374,437,3,0,0,0,442,9906,104,31,4,18,10063
SED25205,307,90,42,0,0,442,117,45,17,0,0,182,110,24,23,0,0,162,178,61,41,0,0,283,250,83,53,0,0,392,722,225,172,0,5,1127,739,294,233,3,3,1265,1327,495,312,0,6,2144,852,275,113,0,3,1246,858,215,66,4,5,1155,413,102,38,0,3,560,295,76,45,0,0,413,6164,2000,1159,13,32,9367
SED25302,371,21,31,0,0,426,155,17,15,0,0,188,140,14,14,0,0,172,226,16,18,0,0,257,314,16,17,0,0,347,857,74,94,0,0,1020,1008,49,76,0,0,1129,1697,94,79,0,4,1879,1082,30,29,0,3,1139,1012,36,12,0,4,1067,618,12,4,0,0,635,389,21,16,0,0,428,7867,401,402,0,18,8686
SED25402,351,7,13,0,0,375,294,7,6,0,0,315,311,6,10,0,0,330,737,10,15,0,3,766,980,17,11,0,0,1016,2036,30,15,0,3,2087,1440,8,12,0,3,1458,1195,10,0,0,0,1206,338,0,0,0,0,343,209,4,0,0,0,212,136,0,0,0,0,136,359,3,0,0,0,364,8386,109,90,8,14,8606
SED25501,467,37,62,0,0,569,106,7,16,0,0,133,92,9,20,0,0,120,120,15,19,0,0,150,148,19,28,0,0,197,451,49,106,0,0,604,399,63,118,0,0,579,738,122,202,0,6,1059,425,66,128,0,0,624,716,86,124,0,4,928,722,56,51,0,0,826,215,22,30,0,0,257,4604,549,878,0,11,6043
SED25605,426,46,13,0,0,492,152,15,9,0,0,176,147,12,10,0,0,167,175,24,10,0,0,208,249,29,17,0,0,289,716,97,70,0,0,886,834,150,67,0,3,1049,1152,184,37,0,0,1379,559,108,10,0,0,683,602,60,5,0,0,673,344,37,3,0,0,383,249,19,8,0,0,276,5603,784,265,0,5,6658
SED25704,432,9,0,4,4,446,287,0,0,0,3,293,263,3,3,0,3,276,626,9,10,0,0,646,766,16,13,0,4,797,1742,24,11,3,8,1796,1189,15,5,3,14,1223,823,4,0,3,7,837,210,0,0,0,0,216,192,0,0,0,0,198,138,0,0,3,0,141,349,0,0,0,7,358,7029,87,37,18,49,7224
SED25802,455,11,6,7,0,473,281,4,7,0,0,287,258,5,3,0,0,263,484,7,0,0,0,495,658,14,10,0,3,685,1859,39,15,0,3,1912,1709,4,3,3,7,1721,1519,0,0,4,5,1537,520,0,0,0,3,526,388,0,0,0,0,390,216,0,0,0,0,218,440,10,4,0,0,456,8784,95,53,14,24,8971
SED25905,466,41,0,0,3,512,250,15,3,0,0,268,182,11,0,0,0,195,369,19,3,0,0,391,483,33,3,0,0,521,1438,129,15,0,0,1583,1814,154,14,0,0,1982,2104,150,7,0,0,2259,680,48,3,0,0,738,458,24,3,0,0,485,285,14,0,0,0,297,407,22,0,0,0,436,8939,660,52,3,5,9669
SED26005,533,26,0,0,0,564,209,9,0,0,0,222,176,8,0,0,0,192,372,15,0,0,0,393,608,20,0,0,0,624,1940,99,8,7,3,2050,2707,157,8,0,3,2866,3355,138,5,0,0,3504,1216,36,0,0,0,1258,710,15,3,0,0,728,310,11,0,0,0,320,576,20,0,0,0,601,12719,555,17,9,3,13305
SED26102,405,16,3,0,0,431,166,9,3,0,0,176,161,4,0,0,0,171,275,9,0,0,0,291,335,16,0,0,0,348,974,42,0,6,0,1024,1092,41,5,0,3,1144,1374,52,3,3,0,1433,529,17,0,0,0,545,422,8,3,0,0,435,230,7,0,0,4,241,376,11,0,0,0,392,6341,240,22,18,12,6626
SED26207,329,67,6,0,0,414,117,21,4,0,0,140,80,24,0,0,0,114,156,44,0,0,3,199,200,56,7,0,0,266,560,171,21,5,0,748,628,223,25,3,3,879,1001,305,45,8,4,1358,642,181,15,3,0,840,626,177,9,0,0,815,422,92,8,0,0,524,322,72,3,4,0,399,5096,1427,137,30,11,6703
SED26303,277,86,26,4,0,395,105,33,18,0,0,152,85,17,14,0,0,122,119,42,26,0,0,185,144,51,48,0,0,247,464,174,191,3,3,830,425,200,236,3,0,863,778,354,252,11,4,1398,494,243,101,0,3,842,682,292,74,4,6,1057,640,174,39,0,3,856,210,63,32,0,0,298,4419,1725,1058,31,15,7250
SED26406,288,104,54,0,0,446,100,26,10,0,0,142,79,18,16,0,0,122,118,47,28,0,0,190,171,49,42,0,0,263,476,172,187,0,0,840,465,230,239,3,4,937,757,376,291,4,6,1435,545,257,81,0,0,886,634,270,58,0,7,968,522,118,32,0,0,674,228,44,28,0,0,303,4372,1728,1069,7,17,7197
SED26504,320,5,3,0,3,335,232,0,3,0,0,233,191,3,3,0,0,195,379,19,4,0,0,405,638,20,9,0,0,664,1611,30,7,4,3,1661,1262,13,7,0,9,1287,896,10,0,3,6,914,313,0,0,0,0,315,199,3,0,0,0,205,105,0,0,3,3,112,332,3,0,0,0,339,6476,108,39,16,31,6672
SED26603,309,81,10,4,0,408,120,34,10,0,0,160,107,25,6,0,0,138,171,83,11,0,0,265,235,84,18,0,3,343,694,330,78,0,4,1108,791,444,112,3,4,1357,1196,724,101,3,3,2034,782,313,34,0,4,1125,689,192,12,0,5,901,334,75,6,0,0,409,291,79,16,0,0,377,5719,2458,410,17,30,8632
SED26708,502,7,3,0,3,513,227,0,0,0,3,236,255,7,0,0,0,261,487,3,0,0,0,490,654,3,7,0,0,664,1531,10,4,5,10,1567,1228,4,3,0,4,1242,1195,6,4,4,4,1211,404,0,0,0,0,410,272,0,3,3,3,276,231,0,0,0,8,233,465,0,3,3,8,478,7454,39,21,22,42,7586
