SED_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SED25704,925,460,2019,9733,12377,6408,5631,10748,6288,51193
SED25802,597,352,1472,10885,13848,7038,6314,10567,5467,54113
SED25905,680,111,1046,12182,12783,5554,4621,15144,3245,53525
SED26005,261,42,450,14131,14792,6291,5580,17352,3974,62117
SED26102,983,634,2493,9840,13257,6744,5068,10170,5244,50326
SED26207,707,300,1746,11582,12210,5754,4513,11789,3690,49537
SED26303,641,222,1328,15827,16103,5401,3264,9514,4283,54386
SED26406,797,287,1649,15934,15684,5642,3759,16327,3883,61228
SED26504,795,576,1957,8726,12089,6110,4964,9490,5637,47024
SED26603,1223,310,2413,14289,15826,6050,4674,15722,4983,61545
SED26708,745,307,1570,9493,12617,6573,5674,9303,4998,48665
SED26806,697,287,1420,23050,17178,4231,2307,12877,7718,67365
SED26903,906,430,2111,12859,13708,5296,4262,15288,5565,56979
SED27003,395,156,842,22554,17532,4443,2362,10680,7002,64577
SED27101,620,204,1428,12802,14262,6076,4308,10241,2829,50512
SED27208,866,423,1929,8983,12564,6764,6203,10984,6719,52214
SED27305,220,79,532,11529,11897,5423,3830,10088,2201,44961
SED27406,907,357,2162,12830,13868,5977,3658,8523,3193,48037
SED27504,777,384,1702,11026,13324,6451,5317,13194,6169,55486
SED27608,808,263,1635,13618,15569,7327,5331,9906,3610,55353
SED27708,783,345,1661,10230,13355,6649,5277,10390,5370,51264
SED27807,750,248,1401,12274,11940,5082,4852,21931,6370,62454
SED27907,481,165,980,11246,12987,5562,4484,11205,3872,49360
SED28007,349,161,654,13298,13864,5819,5119,16746,3828,58667
SED28107,178,63,390,14864,17219,7494,7000,19438,6038,72051
SED28203,502,147,1032,10674,10988,5064,4742,19014,4667,55153
SED28301,772,229,1523,12289,12790,6349,4697,10910,2558,49588
SED28408,750,239,1546,10261,12568,5741,4438,9876,3864,46743
SED28507,447,243,922,11959,13450,5819,5228,14219,4620,55292
SED28607,766,318,1659,15036,16664,6074,4330,11047,4298,57456
SED28704,291,72,558,14474,16584,7223,6053,11769,4220,60320
SED28803,277,72,439,13814,14403,6308,6103,22300,4285,67211
SED29494,22,12,38,1281,954,324,278,1969,2020,6825
SED29797,0,0,0,7,3,3,0,11,3,25
