SED_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SED26603,1336,546,277,102,20,5,4098,39,469,558,387,243,69,21,3,1797,1003,4558,3227,1535,788,263,90,48,11516,488,1675,1385,1031,575,231,111,62,5564,727,1669,1363,1365,953,488,338,194,7093,90,91,90,75,34,27,10,3,426,51,157,181,160,128,62,41,39,825,871,1919,1635,1604,1113,576,392,233,8342,44,121,84,68,48,27,20,25,450,680,1052,867,679,596,519,577,461,5430,3227,11504,9094,5857,3650,1792,1240,833,37187
SED26708,160,160,211,156,37,6,870,14,112,187,192,218,121,30,7,873,179,901,1050,896,909,623,182,53,4788,190,581,735,887,928,614,220,63,4219,907,1805,1845,2005,1620,843,335,94,9448,114,106,101,87,96,45,11,7,556,60,134,155,192,168,136,47,14,910,1083,2043,2098,2282,1884,1027,389,118,10920,14,27,28,38,48,53,31,10,241,690,501,564,816,937,965,717,346,5536,2181,4290,4823,5273,5135,3548,1595,603,27445
SED26806,1790,975,693,482,152,46,7648,55,808,547,405,322,178,51,11,2369,2021,10205,3963,2046,1495,1040,477,170,21416,601,1982,1157,815,648,521,265,121,6102,597,1777,791,546,401,243,142,70,4572,68,85,61,40,27,24,7,0,322,61,183,128,138,133,80,44,19,792,730,2050,983,726,557,350,193,90,5681,45,165,88,69,59,80,31,26,566,949,2670,1275,860,748,686,489,318,7987,4580,21216,9801,5901,4520,3338,1646,773,51776
SED26903,1123,416,203,54,9,3,3566,32,394,426,301,168,50,14,3,1375,877,3851,2664,1228,621,227,90,22,9577,434,1649,1262,919,502,181,64,32,5044,641,1476,1284,1205,838,466,281,132,6322,87,93,93,88,55,27,5,3,446,63,140,158,180,125,71,28,12,768,793,1714,1533,1466,1019,558,317,142,7544,35,107,87,62,47,33,15,16,401,718,1140,842,826,683,641,695,500,6043,2981,10505,7936,5228,3241,1746,1199,716,33548
SED27003,1906,1183,840,485,104,17,7727,42,977,652,468,420,204,32,6,2796,1695,9785,4084,2025,1349,792,229,61,20029,409,1803,1038,732,522,378,119,38,5040,505,1594,866,626,384,211,108,29,4330,70,94,59,55,26,13,11,4,328,65,196,132,128,92,66,16,6,708,631,1881,1062,807,510,286,135,40,5357,40,107,80,54,45,35,22,10,395,888,2325,1188,897,768,557,342,152,7124,3842,19934,10017,6171,4451,2746,981,318,48465
SED27101,1108,554,342,167,54,13,3480,12,355,479,384,275,167,51,7,1734,630,3218,3047,1630,1029,562,278,62,10458,359,1084,1185,1048,760,604,250,79,5370,583,1276,1266,1407,911,609,390,142,6585,59,65,72,71,44,32,4,3,358,48,108,134,165,153,129,80,29,849,694,1446,1472,1643,1107,775,470,181,7787,13,55,55,65,67,60,39,12,371,308,499,426,420,385,438,429,243,3149,2069,7850,7775,5743,3968,2766,1571,606,32346
SED27208,140,125,160,103,25,6,686,12,105,138,180,215,122,20,3,803,183,789,819,617,742,478,143,52,3820,153,523,674,820,828,617,185,58,3848,764,1589,1645,2019,1844,1247,491,123,9714,121,125,149,120,108,46,7,0,686,68,118,160,177,199,154,46,13,933,954,1831,1956,2312,2157,1456,547,134,11337,11,35,31,41,63,78,32,10,295,718,705,848,1087,1235,1346,951,457,7346,2040,4109,4597,5177,5391,4192,1896,726,28141
SED27305,592,453,290,84,27,3,2024,29,152,246,255,164,50,28,3,927,655,1837,1875,1397,942,352,116,19,7196,379,760,1046,1210,799,378,138,36,4735,774,1130,1313,1846,1297,610,299,55,7322,75,47,65,77,52,38,5,0,362,78,91,108,217,159,89,67,13,822,926,1269,1484,2132,1512,739,364,70,8505,29,34,58,85,78,55,27,11,371,369,281,308,448,432,318,243,79,2482,2412,4899,5601,5972,4216,1974,942,219,26235
SED27406,941,997,614,373,89,23,3660,21,210,394,477,455,213,53,13,1832,612,2104,2947,2669,1768,997,404,166,11666,234,671,996,1245,975,793,359,173,5439,338,715,761,1062,838,551,309,176,4749,44,34,65,60,53,42,13,7,317,40,67,128,190,193,145,76,48,888,425,815,960,1308,1080,739,401,232,5957,13,36,68,78,87,85,57,37,465,345,377,452,544,538,514,421,416,3600,1677,4790,6749,7323,5519,3715,1784,1060,32613
SED27504,217,192,137,59,22,6,940,14,212,251,226,232,70,15,3,1031,280,1296,1047,763,682,361,112,32,4574,270,847,857,873,726,464,175,64,4276,1152,2019,1798,1905,1543,858,337,79,9695,141,117,106,105,92,54,15,3,628,91,143,145,178,144,107,49,18,867,1389,2277,2047,2191,1779,1013,399,101,11190,17,73,56,46,42,44,37,9,329,862,809,764,931,992,1036,778,408,6571,2870,5782,5240,5232,4585,3048,1530,628,28915
SED27608,705,529,362,219,62,7,2487,26,308,376,319,343,167,46,17,1606,774,2520,2550,1623,1266,757,247,79,9820,366,1062,1303,1192,1035,780,311,142,6189,1041,1983,1873,1897,1417,833,423,134,9611,132,79,78,88,77,55,11,0,515,67,108,163,167,190,157,61,30,942,1246,2170,2123,2148,1678,1045,495,171,11077,22,48,58,54,57,61,55,19,379,582,458,529,551,520,631,563,401,4229,3069,7113,7648,6411,5264,3663,1787,829,35781
SED27708,220,205,202,121,28,3,930,10,164,248,243,224,110,18,9,1026,267,1196,1247,945,865,470,144,47,5182,210,636,757,895,824,558,196,58,4135,1065,1911,1968,1983,1576,852,326,105,9782,136,147,113,107,105,49,8,3,668,77,127,172,158,177,117,37,18,878,1284,2181,2254,2249,1855,1010,369,120,11327,15,31,29,44,55,54,30,20,281,794,542,637,815,979,972,758,424,5913,2591,4881,5384,5399,5005,3291,1561,679,28801
SED27807,455,169,88,52,12,0,1724,33,196,146,102,81,31,9,0,604,872,2711,1479,741,551,263,59,9,6688,589,1719,975,617,495,220,55,18,4684,922,1678,1299,1221,1080,665,303,96,7265,99,130,127,100,68,34,4,4,565,93,190,158,185,166,76,25,11,897,1108,2001,1578,1505,1310,778,333,109,8729,52,143,92,69,67,36,10,9,477,1012,1269,849,836,841,788,592,277,6471,3772,8875,5581,4045,3430,2169,1070,419,29375
SED27907,269,212,177,54,16,3,1048,36,222,218,189,187,73,21,0,941,441,1500,1340,815,657,336,107,33,5226,393,1003,1068,956,716,381,173,28,4710,945,2209,1870,1876,1480,898,328,99,9714,108,120,95,89,88,35,5,3,544,75,143,177,226,180,149,37,21,1001,1130,2467,2143,2188,1758,1082,369,123,11256,13,56,52,60,70,54,20,11,335,575,582,565,590,655,644,413,169,4197,2600,6123,5647,5002,4220,2621,1122,371,27709
SED28007,697,303,168,44,9,0,1867,36,208,277,214,100,26,3,0,875,859,2637,2558,1324,756,256,38,15,8439,530,1445,1521,1194,623,179,54,8,5564,986,2010,2141,2061,1193,460,145,35,9036,106,116,112,110,63,19,3,0,531,104,158,289,256,172,82,20,8,1084,1200,2278,2543,2424,1427,564,172,42,10654,30,96,93,87,80,39,13,3,441,708,655,745,651,583,437,239,176,4186,3417,7915,8436,6190,3737,1553,522,247,32018
SED28107,2161,439,214,78,16,3,5789,32,364,423,188,114,41,5,0,1165,806,4843,3411,1388,777,255,60,15,11549,638,2691,1876,1191,680,250,49,18,7391,1112,2606,2226,1899,1196,549,197,39,9821,144,151,137,114,73,21,0,0,637,108,263,294,228,151,80,13,3,1146,1360,3021,2659,2234,1420,645,209,43,11596,43,218,176,83,77,45,17,3,660,1017,1762,1270,864,603,459,214,61,6241,3968,15689,11971,6391,3880,1769,581,138,44395
