SED_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SED21106,143,183,328,69,106,176,82,242,329,67,399,463,184,696,882,227,559,782,448,486,936,439,587,1019,668,707,1377,643,592,1230,604,564,1174,671,417,1088,1596,774,2370,1250,96,1352,989,63,1051,1308,590,1899,4590,68,4662,1810,228,2031,227,275,502,16020,7629,23651
SED21203,283,230,512,121,89,214,255,464,712,230,625,853,879,997,1871,828,359,1186,1812,351,2154,1464,397,1864,1780,373,2157,1472,244,1718,1073,162,1239,942,115,1059,1532,135,1665,817,45,857,410,25,440,246,41,292,369,19,386,1668,132,1797,415,355,770,16587,5153,21741
SED21303,175,346,516,82,165,252,106,582,689,82,712,794,401,1124,1523,324,703,1028,815,689,1502,661,876,1545,962,1138,2100,980,1024,2002,846,903,1750,920,718,1637,2113,1139,3254,1759,335,2097,1284,188,1472,945,429,1369,2204,205,2414,1438,911,2350,148,312,465,16254,12499,28750
SED21401,317,264,576,141,98,236,150,254,406,105,359,465,458,756,1213,398,477,872,1059,363,1425,905,395,1304,1190,401,1588,1174,286,1457,954,276,1225,976,211,1192,1827,297,2128,1407,39,1449,1012,26,1033,805,153,964,2107,32,2138,1732,99,1827,254,194,445,16968,4972,21938
SED21503,208,351,558,77,106,185,108,296,401,89,463,556,411,815,1220,379,466,846,1105,436,1537,994,508,1503,1232,506,1744,1157,362,1524,1039,330,1365,1002,213,1215,2069,301,2373,1463,52,1508,938,28,964,579,72,654,1068,26,1090,1403,173,1578,235,208,442,15549,5705,21255
SED21608,123,159,287,91,96,180,125,403,529,120,603,723,490,1274,1762,545,640,1185,1409,591,2000,1095,638,1733,1355,540,1892,1315,377,1694,1094,291,1385,990,182,1175,1871,188,2061,1090,41,1129,650,9,658,370,77,448,612,14,624,1427,161,1587,239,337,577,15004,6620,21621
SED21706,288,503,792,113,161,270,157,380,538,101,547,651,334,893,1227,312,573,882,660,470,1130,691,474,1161,933,538,1473,851,381,1232,732,312,1044,763,282,1047,1715,457,2175,1332,91,1423,1126,65,1192,1014,206,1220,3213,54,3268,1651,229,1886,180,239,419,16160,6867,23027
SED21805,118,190,305,60,80,141,98,328,430,95,588,683,384,1258,1643,459,691,1152,1079,586,1666,985,708,1696,1448,834,2275,1476,531,2008,1299,376,1674,1312,266,1579,2626,360,2988,1734,60,1793,963,29,989,651,92,742,966,15,980,1640,158,1801,273,426,692,17670,7581,25244
SED21906,182,387,576,68,133,205,93,384,473,78,467,542,241,861,1108,249,646,897,602,569,1165,565,755,1321,819,874,1691,902,743,1652,745,651,1398,868,504,1366,1824,819,2648,1480,152,1632,1141,106,1244,995,404,1397,3228,102,3336,1531,341,1873,274,324,594,15883,9229,25117
SED22005,348,435,785,124,130,254,214,375,590,145,606,752,577,1132,1708,551,541,1095,1381,479,1857,1211,548,1752,1497,558,2056,1461,430,1889,1211,329,1538,1199,205,1406,2275,344,2622,1516,79,1596,901,50,952,607,119,722,1031,42,1071,1627,248,1875,287,288,578,18156,6946,25095
SED22105,179,145,325,86,37,127,153,206,357,125,344,468,432,774,1203,630,386,1013,1367,431,1799,1392,570,1967,2061,571,2634,2391,418,2810,2144,287,2432,2086,201,2289,4186,209,4388,2334,37,2367,1200,27,1232,626,53,675,842,14,852,2008,119,2128,372,278,651,24614,5100,29711
SED22201,122,118,242,64,71,137,112,246,357,71,425,496,324,1043,1364,361,678,1036,996,516,1512,953,561,1512,1160,573,1737,1203,403,1608,1014,343,1358,1098,220,1320,2251,256,2504,1687,51,1742,926,20,943,612,81,685,1089,13,1103,1376,105,1476,220,306,524,15625,6038,21658
SED22305,279,208,491,144,98,245,235,419,651,188,691,877,752,1242,1996,714,513,1228,1661,512,2175,1561,604,2167,1854,564,2418,1639,364,2001,1258,244,1497,1085,151,1239,1913,189,2110,1009,84,1086,507,52,558,289,68,362,423,99,524,1658,243,1900,342,401,743,17505,6762,24267
SED22404,128,163,291,85,92,177,127,361,486,128,582,710,455,1304,1759,450,672,1119,1275,506,1780,1017,605,1617,1414,520,1941,1362,306,1666,1035,186,1229,1076,132,1209,1696,181,1875,1103,23,1133,563,3,561,371,94,466,695,11,705,1681,83,1759,309,355,665,14974,6177,21144
SED22501,102,92,191,58,47,107,73,159,229,60,242,297,208,591,801,241,368,612,625,361,994,641,339,982,1011,356,1372,1033,290,1322,909,225,1137,995,199,1193,2287,227,2511,1821,30,1848,1318,6,1326,968,98,1065,2217,14,2233,1637,65,1710,170,170,336,16379,3877,20255
SED22607,172,282,458,98,138,239,178,433,615,109,644,749,376,915,1294,316,595,913,715,619,1333,678,714,1393,883,837,1721,860,750,1616,820,624,1436,807,502,1308,1927,783,2709,1564,128,1692,1135,84,1225,1045,335,1385,2964,72,3034,1530,327,1861,251,353,604,16425,9145,25571
SED22704,159,213,376,130,119,245,146,472,623,151,759,915,635,1631,2263,578,743,1321,1696,655,2358,1303,697,1999,1566,576,2145,1487,370,1863,1108,253,1360,1091,169,1264,1778,196,1975,1128,30,1161,578,8,590,303,75,373,617,9,628,1723,81,1800,403,528,928,16594,7596,24191
SED22802,85,107,192,56,53,111,85,179,268,67,325,394,270,699,970,370,385,757,904,339,1244,875,373,1251,1168,422,1587,1311,257,1563,1134,204,1346,1103,148,1253,2436,187,2627,1575,26,1598,846,10,850,487,45,532,900,11,910,1463,65,1532,306,233,537,15449,4058,19510
SED22901,133,159,292,70,52,127,110,193,304,71,378,455,304,884,1185,377,438,813,964,403,1363,895,453,1351,1236,445,1684,1260,312,1574,1043,207,1255,1081,157,1243,2143,201,2344,1494,32,1523,917,19,935,616,62,682,1179,15,1194,1405,93,1496,197,208,408,15494,4719,20211
SED23007,281,407,686,126,181,312,267,606,872,213,791,1002,622,1155,1776,614,588,1200,1335,650,1989,1175,783,1961,1578,945,2521,1453,762,2213,1262,565,1827,1268,411,1671,2315,655,2968,1617,187,1802,1046,98,1145,711,202,916,1220,112,1328,1634,426,2057,322,380,701,19048,9906,28953
SED23101,245,201,447,110,80,193,135,272,403,97,387,488,400,913,1309,328,523,860,970,377,1350,899,406,1303,1279,360,1636,1117,238,1356,937,237,1174,957,173,1136,1951,234,2184,1485,50,1536,944,28,973,719,94,815,1593,23,1613,1517,131,1650,209,229,440,15895,4959,20852
SED23205,138,198,332,79,109,185,127,419,547,146,694,842,452,1530,1983,517,826,1339,1224,660,1885,1128,825,1954,1387,713,2103,1360,477,1837,1076,332,1404,998,226,1221,1968,238,2208,1274,42,1312,704,26,725,424,98,514,790,13,801,1519,172,1693,309,436,751,15607,8029,23637
SED23308,111,227,336,77,118,198,108,517,625,114,842,960,459,1768,2226,499,995,1496,1212,784,1997,984,928,1912,1341,900,2241,1223,609,1829,973,486,1461,1025,340,1361,2049,395,2448,1303,64,1364,806,39,843,498,157,657,1100,28,1132,1437,244,1686,273,487,759,15598,9934,25531
SED23402,130,151,274,62,48,106,98,202,300,95,310,408,352,733,1086,405,451,851,1023,378,1400,970,493,1465,1368,540,1908,1512,359,1874,1237,273,1512,1414,167,1583,2630,232,2861,1799,28,1824,1047,19,1061,687,69,751,1392,7,1402,1658,90,1749,237,210,454,18110,4760,22868
SED23502,149,180,330,114,137,251,142,468,607,155,806,956,658,1723,2376,570,814,1391,1883,620,2502,1342,654,1995,1689,506,2196,1514,300,1815,993,208,1196,930,131,1057,1499,130,1626,791,31,815,393,3,393,250,78,331,415,11,428,1616,75,1692,345,539,886,15442,7428,22866
SED23602,126,183,315,109,120,222,105,510,618,115,724,840,574,1526,2097,513,684,1195,1412,581,1996,1213,552,1768,1403,558,1961,1276,323,1599,913,220,1137,1001,141,1142,1508,164,1670,928,27,954,482,11,493,316,104,421,624,17,644,1501,78,1577,310,419,727,14429,6942,21368
SED23702,134,182,311,81,66,150,91,289,373,115,446,562,411,1066,1477,503,575,1078,1227,504,1734,1065,584,1650,1398,587,1979,1523,400,1932,1309,281,1591,1353,177,1534,2560,174,2733,1682,25,1712,911,7,915,530,72,603,901,5,915,1848,87,1932,326,339,663,17966,5864,23837
SED23806,249,476,725,70,129,199,105,370,469,71,413,483,167,638,809,236,622,860,387,527,916,497,623,1115,683,820,1504,790,761,1549,617,671,1285,721,539,1262,1661,916,2571,1378,166,1541,1031,94,1132,1113,560,1673,4489,101,4590,1639,326,1964,208,238,447,16103,8985,25086
SED23901,163,193,363,91,93,177,123,365,484,104,550,650,325,964,1291,331,582,915,839,530,1373,774,508,1284,1067,613,1678,1010,463,1475,904,464,1368,978,317,1302,2013,510,2523,1604,61,1667,1118,32,1148,910,215,1129,2429,24,2455,1569,167,1731,260,299,560,16614,6954,23564
SED24006,331,195,533,115,81,198,134,197,329,92,260,352,231,496,728,268,432,699,487,361,848,514,412,927,786,460,1245,795,380,1171,642,356,994,738,284,1018,1606,529,2138,1347,70,1416,938,45,983,988,351,1338,4035,51,4082,1915,193,2108,207,208,415,16168,5372,21535
SED24105,257,197,455,95,60,154,177,276,456,141,427,569,531,816,1345,523,403,922,1283,360,1639,1167,378,1548,1621,399,2020,1484,258,1735,1238,181,1421,1166,116,1276,2214,162,2377,1493,37,1531,830,19,849,563,45,609,920,10,932,1585,116,1696,275,189,461,17547,4448,21997
SED24207,274,147,422,114,43,160,217,263,482,169,295,469,596,592,1188,585,283,863,1345,335,1682,1219,432,1656,1768,401,2171,1741,331,2074,1499,222,1726,1453,161,1621,2709,187,2893,1838,43,1882,1062,10,1074,631,46,684,929,15,946,1874,97,1969,375,170,546,20404,4089,24491
SED24308,155,178,331,69,108,175,190,524,715,187,820,1011,703,1479,2187,667,632,1293,1615,598,2215,1260,652,1912,1467,591,2064,1436,388,1828,1091,251,1347,1087,183,1276,1806,224,2029,1102,37,1136,623,15,632,379,55,431,649,14,664,1501,106,1610,352,473,828,16348,7343,23684
SED24408,134,162,293,102,113,218,116,495,611,110,825,938,540,1764,2306,530,827,1359,1518,655,2175,1265,717,1984,1522,553,2079,1464,331,1787,995,246,1235,975,160,1137,1524,182,1709,870,30,895,462,16,480,215,91,308,478,14,492,1517,83,1595,294,515,805,14636,7768,22404
SED24504,107,138,248,83,76,156,80,269,342,87,426,518,357,931,1291,324,465,792,973,391,1365,884,457,1339,1254,429,1684,1170,279,1450,997,243,1239,956,156,1113,1918,239,2155,1366,21,1388,874,13,884,690,114,796,1325,18,1338,1607,71,1680,227,274,495,15282,5005,20288
SED24606,196,474,670,99,108,205,74,274,347,57,368,423,181,638,821,178,522,695,418,440,858,409,600,1005,597,657,1258,618,633,1245,565,615,1179,647,407,1053,1439,784,2227,1116,114,1234,909,80,996,1095,633,1724,4254,98,4352,1621,248,1864,183,289,470,14659,7982,22641
SED24703,1132,5707,6845,217,823,1039,340,1325,1671,210,1236,1445,437,1335,1769,469,1227,1700,705,1271,1971,854,1625,2476,1166,1976,3142,1143,1740,2881,1088,1499,2590,1040,1227,2264,2348,2178,4530,1722,539,2260,1303,356,1657,1115,1145,2265,2947,540,3491,1635,1476,3111,188,473,661,20056,27696,47756
SED24808,213,161,368,88,82,170,165,359,525,168,510,677,558,1048,1609,687,564,1252,1568,500,2068,1329,633,1964,1811,682,2487,1832,460,2293,1515,309,1823,1494,193,1680,2749,218,2966,1619,41,1657,915,10,923,533,54,586,742,18,759,1759,86,1846,381,375,758,20122,6288,26407
SED24904,159,174,333,109,113,222,155,475,629,158,808,965,603,1581,2190,561,726,1284,1653,661,2310,1282,677,1955,1499,596,2098,1500,329,1827,1055,244,1293,1052,153,1210,1724,159,1887,957,26,982,494,16,514,268,86,356,502,15,509,1615,101,1715,439,520,958,15774,7467,23241
SED25003,171,119,290,84,46,129,142,159,296,98,284,381,441,550,993,495,272,764,1134,283,1416,1054,410,1462,1444,446,1890,1552,309,1869,1379,203,1580,1403,161,1561,2626,162,2794,1717,38,1760,967,13,982,560,32,592,836,13,849,1609,66,1672,259,162,424,17976,3725,21703
SED25102,101,93,197,62,61,122,76,196,268,72,285,356,237,636,876,345,360,706,738,336,1078,782,368,1156,1096,387,1482,1133,278,1406,1030,220,1257,1084,171,1258,2247,191,2438,1679,17,1699,1017,13,1026,652,67,717,1266,15,1279,1572,66,1638,242,154,399,15438,3922,19364
SED25205,117,159,274,54,93,147,85,302,388,78,507,586,311,1042,1357,301,636,939,877,506,1384,808,593,1401,1071,657,1725,1116,471,1587,1000,396,1388,1035,292,1329,2296,380,2676,1842,52,1887,1270,28,1300,893,133,1024,1755,11,1763,1522,109,1632,204,291,488,16617,6662,23276
SED25302,127,143,270,64,80,145,88,244,325,76,432,507,317,1009,1331,298,706,999,1012,481,1490,932,498,1439,1243,488,1725,1165,297,1460,988,235,1215,1001,170,1170,2023,218,2243,1496,27,1516,1060,3,1066,768,153,915,1893,15,1907,1722,81,1798,266,342,604,16520,5618,22143
SED25402,129,216,343,85,135,219,150,560,707,177,833,1013,648,1480,2136,699,736,1434,1544,644,2185,1167,644,1811,1402,621,2022,1306,401,1705,1002,322,1321,1048,244,1288,1910,325,2229,1200,39,1245,741,22,761,479,134,607,842,17,863,1601,106,1703,328,475,797,16459,7941,24396
SED25501,366,229,589,161,93,250,177,195,371,107,295,400,411,698,1112,376,451,819,912,397,1309,894,374,1267,1249,354,1606,1064,288,1348,857,259,1119,961,180,1139,1882,292,2175,1460,57,1518,976,35,1004,879,117,995,2018,37,2057,1619,121,1739,174,175,349,16549,4634,21182
SED25605,266,174,441,111,70,181,151,247,396,139,400,539,502,789,1291,439,404,843,1244,403,1653,1002,436,1437,1411,407,1819,1266,268,1529,1106,219,1330,1033,157,1186,1995,208,2208,1373,59,1427,878,31,909,558,83,640,1240,18,1257,1556,108,1670,206,237,445,16469,4721,21192
SED25704,163,190,357,109,96,206,146,404,557,135,768,899,612,1616,2229,539,802,1344,1683,658,2346,1263,618,1883,1620,617,2234,1625,284,1912,1014,222,1235,1141,149,1291,1712,175,1884,931,28,957,480,11,495,249,72,319,458,10,472,1573,85,1667,388,550,939,15847,7362,23216
SED25802,159,160,318,111,113,223,167,457,624,143,714,850,586,1520,2110,550,709,1263,1612,623,2235,1269,647,1913,1613,537,2149,1512,333,1847,1173,245,1413,1193,170,1358,1930,209,2136,1307,22,1334,674,14,684,408,99,510,863,7,869,1711,94,1806,366,448,810,17338,7114,24457
SED25905,149,137,281,79,46,128,133,191,327,133,288,419,401,655,1052,454,309,767,1168,305,1470,1035,428,1469,1418,392,1816,1477,284,1764,1323,186,1511,1277,136,1410,2349,172,2518,1485,30,1517,803,12,818,552,39,598,876,14,893,1669,83,1758,273,160,434,17063,3880,20937
SED26005,221,105,328,90,34,127,143,147,295,127,178,310,409,456,863,490,253,740,1044,237,1283,1150,334,1483,1678,389,2066,1729,233,1961,1615,207,1829,1607,125,1728,3075,142,3220,1996,32,2026,1103,19,1125,683,46,735,1130,20,1143,1920,88,2008,252,123,379,20459,3178,23643
SED26102,149,217,369,99,100,198,107,386,490,121,695,815,507,1622,2125,497,908,1406,1541,659,2201,1232,673,1905,1537,611,2148,1401,351,1752,1035,269,1299,1041,193,1233,1627,194,1825,1039,17,1060,546,16,559,359,148,513,831,14,838,1546,85,1628,417,605,1026,15632,7777,23407
SED26207,163,176,332,93,87,180,95,261,365,69,448,516,474,880,1352,331,455,788,1177,397,1571,898,403,1293,1143,434,1583,1111,338,1449,923,288,1210,922,209,1130,1944,260,2206,1546,47,1594,988,17,1010,810,104,920,1667,12,1678,1529,93,1621,338,282,621,16220,5196,21415
SED26303,122,191,317,70,124,191,100,417,515,66,621,685,339,990,1327,273,595,865,762,572,1334,581,717,1299,845,953,1803,895,791,1686,773,687,1460,875,532,1401,1896,810,2707,1579,222,1793,1199,131,1333,956,313,1267,2532,117,2654,1355,550,1905,159,292,458,15378,9636,25011
SED26406,284,905,1191,105,203,306,135,463,598,111,551,666,375,1070,1442,361,648,1011,875,627,1506,837,734,1569,1190,912,2097,1158,651,1814,949,547,1491,1019,440,1460,2167,600,2766,1592,131,1725,1125,61,1184,855,191,1046,1906,61,1972,1404,323,1723,177,258,434,16608,9388,25994
SED26504,125,131,257,93,86,178,120,402,526,110,721,831,590,1523,2119,524,760,1284,1534,618,2152,1204,650,1855,1488,546,2030,1385,288,1670,1005,209,1217,969,134,1105,1622,148,1766,923,34,955,462,13,472,264,66,328,443,17,467,1428,92,1527,339,549,883,14635,6994,21630
SED26603,222,254,477,98,117,215,148,458,607,129,654,782,504,1313,1812,419,611,1028,1185,516,1704,1018,606,1626,1390,769,2161,1384,614,1994,1181,530,1715,1237,415,1651,2468,561,3034,1835,141,1973,1241,61,1304,817,157,974,1400,46,1439,1624,312,1935,324,346,668,18637,8468,27103
SED26708,157,148,308,113,132,247,133,413,544,120,626,750,528,1317,1853,481,694,1174,1284,540,1821,1112,653,1763,1529,590,2124,1469,305,1776,1008,229,1237,1097,155,1246,1802,197,1993,1088,28,1116,563,7,573,277,119,399,669,9,676,1547,96,1641,338,407,744,15326,6658,21983
SED26806,240,697,931,72,184,257,123,527,649,75,770,847,267,1018,1281,230,812,1046,520,900,1417,489,1252,1738,736,1655,2391,850,1611,2454,722,1545,2269,805,1243,2049,1980,2281,4262,1631,436,2068,1150,281,1433,1193,1285,2481,3242,344,3587,1521,925,2446,141,420,557,15976,18179,34152
SED26903,201,261,468,130,140,265,180,583,765,139,823,966,549,1431,1978,539,660,1201,1317,627,1947,1107,751,1861,1398,828,2230,1385,643,2025,1129,501,1632,1076,363,1437,2068,482,2550,1430,112,1542,813,45,865,534,106,640,757,51,807,1360,303,1665,321,427,749,16437,9150,25582
SED27003,173,347,514,104,169,270,239,599,837,152,719,873,422,976,1402,333,606,937,595,624,1215,519,826,1344,655,1050,1707,679,989,1675,607,1063,1672,744,807,1553,1786,1712,3502,1613,429,2044,1359,356,1717,1240,1051,2292,3421,581,4002,1473,991,2464,189,370,557,16303,14282,30580
SED27101,168,209,377,63,107,173,105,314,424,98,510,605,340,973,1314,345,649,997,906,523,1422,929,634,1560,1250,673,1920,1214,489,1703,996,439,1434,1106,306,1414,2216,361,2579,1752,64,1818,1134,25,1156,804,106,906,1413,21,1438,1376,144,1523,202,290,489,16417,6836,23257
SED27208,164,208,368,97,136,232,156,597,750,145,941,1083,711,2197,2908,663,827,1487,1965,691,2650,1423,728,2153,1681,533,2214,1499,301,1802,1020,228,1248,947,127,1076,1540,181,1716,880,33,915,439,8,449,199,74,275,368,15,380,1528,111,1636,377,614,992,15793,8543,24335
SED27305,112,102,211,60,42,103,82,110,190,63,181,239,249,400,650,271,237,509,730,224,956,708,259,968,1037,278,1317,1013,196,1207,961,159,1119,963,121,1085,2179,172,2344,1653,22,1676,1054,12,1065,723,62,782,1478,12,1493,1512,61,1571,225,117,344,15058,2762,17824
SED27406,131,163,293,61,74,129,73,242,315,59,397,460,242,908,1157,246,629,877,632,510,1143,588,588,1182,863,624,1483,854,483,1339,692,445,1137,731,298,1028,1734,480,2215,1456,33,1489,1050,19,1068,1098,236,1328,3340,23,3361,1574,95,1670,197,287,485,15630,6538,22169
SED27504,164,164,331,78,107,186,149,453,604,155,758,911,612,1442,2049,618,753,1378,1605,667,2266,1247,772,2020,1678,644,2318,1573,410,1982,1192,299,1491,1187,168,1360,2011,215,2224,1230,53,1281,610,19,632,337,84,419,648,21,670,1685,111,1801,397,533,927,17182,7670,24856
SED27608,101,126,231,65,88,155,95,247,337,70,399,471,358,904,1258,401,581,985,1044,490,1539,957,498,1455,1412,529,1939,1396,388,1789,1221,311,1535,1260,209,1472,2608,349,2958,1847,57,1907,1130,36,1168,706,133,846,1394,30,1426,1710,197,1905,237,257,492,18015,5843,23854
SED27708,118,158,275,84,116,197,132,477,614,147,699,848,513,1409,1921,521,796,1317,1402,652,2051,1176,681,1856,1496,613,2110,1469,390,1861,1095,299,1394,1161,199,1359,1961,233,2190,1251,52,1306,617,25,640,372,111,483,638,33,667,1456,122,1578,306,474,783,15908,7530,23443
SED27807,349,298,643,179,124,297,324,461,784,235,640,877,846,1257,2108,729,475,1208,1695,450,2143,1458,511,1969,1757,511,2271,1646,317,1966,1252,242,1494,1083,154,1239,1808,205,2008,1122,67,1187,613,49,662,348,54,403,524,28,547,1686,204,1889,435,329,773,18092,6372,24472
SED27907,144,139,282,83,68,149,107,225,326,93,383,480,392,871,1259,379,458,843,1009,410,1421,973,505,1477,1284,583,1862,1297,410,1705,1186,292,1475,1191,178,1369,2327,235,2564,1563,24,1589,944,11,956,567,57,621,914,8,926,1446,96,1539,277,258,527,16155,5215,21372
SED28007,225,111,335,88,27,114,159,153,314,95,250,344,375,410,787,443,234,673,922,205,1128,1014,290,1303,1445,363,1810,1454,252,1701,1389,179,1573,1424,133,1556,2978,166,3145,2016,18,2034,1222,9,1227,757,38,795,1254,9,1262,1866,58,1930,291,165,457,19416,3080,22492
SED28107,229,144,375,108,45,151,187,200,384,154,219,377,441,466,905,626,282,907,1207,306,1513,1481,457,1937,1994,538,2525,2126,416,2548,1934,295,2227,1924,187,2109,3744,265,4009,2336,55,2386,1327,24,1346,825,64,892,1166,20,1188,1954,104,2057,307,179,479,24061,4255,28323
SED28203,290,184,469,119,70,187,171,299,470,153,453,609,862,920,1781,619,299,919,1883,337,2227,1322,411,1733,1612,397,2010,1651,263,1920,1288,173,1460,1143,131,1276,2071,132,2202,1173,31,1206,614,22,635,382,36,412,498,11,510,1652,76,1727,401,215,614,17906,4466,22368
