SED_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED21106,682,1309,3354,3574,4075,2472,700,67,11,16248,1007,246,438,863,985,1283,2013,1518,1138,9498,89,107,321,296,299,222,183,142,170,1818,1773,1667,4119,4736,5366,3978,2890,1720,1314,27566,72,866,4628,4765,5411,3092,676,64,3,19579,882,1352,1170,1778,2208,1798,992,148,26,10357,30,47,195,222,126,151,76,8,3,865,22,47,111,80,94,55,30,7,4,455,1007,2310,6101,6850,7847,5101,1775,233,33,31256,17,65,144,161,203,130,10,0,0,739,216,135,66,115,106,98,32,5,0,776,236,207,214,281,309,227,46,6,0,1519,1240,2519,6316,7129,8151,5326,1821,242,33,32783,2234,524,636,1060,1281,1903,3368,2575,1693,15286,162,191,601,595,583,442,337,246,221,3370,3637,3235,7556,8780,10020,7667,5527,3058,1952,51431
SED21203,748,1412,2654,2128,2090,1083,141,25,3,10285,1663,959,2445,2046,2124,1976,2163,1726,698,15795,149,159,399,315,306,245,220,191,58,2044,2562,2525,5498,4482,4517,3307,2524,1940,759,28119,170,1141,3868,2991,2909,1564,168,16,0,12827,758,1408,1951,1488,1448,761,173,21,3,8013,30,77,195,118,104,90,21,6,0,633,42,142,273,172,145,81,22,14,6,888,997,2767,6290,4762,4606,2492,382,55,11,22361,135,337,618,409,309,140,3,0,0,1955,389,296,253,203,153,85,5,3,0,1381,528,630,866,609,460,226,8,3,0,3338,1524,3396,7155,5373,5069,2720,390,58,14,25693,3292,1773,3687,3083,3363,3318,3851,3062,1122,26562,308,382,829,669,667,503,404,324,104,4191,5133,5552,11675,9122,9099,6540,4647,3442,1242,56445
SED21303,616,2763,7856,4703,3167,1854,359,23,4,21350,637,775,1132,823,691,1084,1597,1553,709,9003,68,206,608,318,231,175,126,170,201,2114,1316,3755,9594,5850,4085,3113,2084,1748,920,32467,95,1595,10322,6260,4209,2079,338,16,10,24918,712,2629,3899,2531,1674,1204,384,39,6,13073,22,110,434,317,151,99,29,11,0,1173,16,84,213,107,83,43,29,7,0,585,850,4411,14874,9217,6117,3433,775,68,16,39756,42,179,453,295,186,136,8,0,0,1297,239,387,335,140,103,81,22,5,0,1306,283,564,792,433,288,220,26,4,0,2602,1132,4978,15661,9642,6406,3646,802,77,16,42356,1364,1471,1885,1271,1137,1849,2811,2636,1169,15597,135,396,1209,690,452,350,253,287,283,4064,2635,6846,18752,11601,7985,5849,3872,2999,1473,62016
SED21401,699,1332,2799,2790,3323,2157,629,73,9,13813,958,448,765,921,996,1648,2933,2576,1149,12397,49,63,149,128,176,145,189,194,153,1245,1707,1837,3720,3844,4493,3950,3747,2843,1309,27448,71,940,3909,3812,4283,2725,600,67,3,16416,912,1331,1302,1554,1957,1564,820,157,17,9617,17,66,189,142,106,110,63,18,0,706,26,51,136,103,97,75,27,7,3,525,1036,2385,5535,5606,6442,4472,1509,252,22,27259,35,129,263,183,192,134,13,0,0,952,262,188,128,108,128,92,23,6,0,938,302,321,395,288,317,228,39,6,0,1890,1337,2703,5931,5899,6757,4698,1548,256,22,29150,2155,969,1173,1193,1405,2430,4917,4773,1913,20926,101,121,322,255,334,279,319,346,238,2318,3596,3790,7423,7342,8501,7405,6788,5378,2171,52398
SED21503,933,1822,3460,3113,2993,1919,367,23,8,14636,915,1005,1130,884,771,1327,2246,1563,593,10440,73,164,259,160,159,129,162,154,157,1423,1927,2988,4850,4161,3924,3384,2782,1736,754,26501,149,1113,4453,4159,3884,2477,359,20,0,16612,1064,1733,1923,1919,1708,1335,454,50,5,10193,61,102,284,178,138,117,36,4,0,926,60,94,115,120,114,53,21,10,3,584,1337,3043,6786,6381,5840,3983,866,82,10,28315,50,148,307,188,178,104,12,0,0,981,383,474,273,123,83,74,20,0,0,1425,430,626,578,319,257,174,30,3,0,2412,1770,3669,7360,6695,6101,4150,896,82,10,30725,1967,2042,1867,1228,1146,2036,4062,2786,984,18121,164,322,509,343,302,256,286,255,208,2648,3903,6025,9738,8268,7541,6451,5237,3127,1204,51496
SED21608,980,1509,2455,2803,3101,2151,371,25,14,13411,776,478,767,819,868,1500,2425,1265,547,9442,127,139,224,215,247,288,244,142,77,1708,1885,2127,3445,3833,4215,3942,3044,1432,640,24560,316,1258,3037,3396,3811,2463,400,44,11,14741,1112,1246,1429,1812,1867,1627,485,56,11,9650,61,125,263,203,195,197,72,5,0,1109,61,102,77,98,98,84,40,20,3,572,1553,2733,4811,5510,5977,4365,992,124,27,26081,106,222,235,167,181,154,3,0,0,1060,222,181,110,107,113,97,22,3,3,866,331,400,347,276,293,255,27,3,3,1931,1878,3130,5161,5781,6268,4620,1015,124,26,28006,1698,906,1105,1194,1350,2567,4457,2306,876,16452,222,290,446,441,494,530,499,251,143,3311,3799,4325,6705,7417,8107,7715,5969,2684,1043,47771
SED21706,1054,1897,3352,3311,3753,2243,509,49,9,16182,1335,1078,931,967,892,1328,2021,1616,1211,11380,82,138,271,172,183,179,142,132,141,1445,2473,3114,4554,4456,4828,3742,2671,1801,1369,29007,84,1036,4508,4424,4895,2703,421,28,7,18104,1271,2133,1749,1859,2021,1512,657,77,7,11289,47,98,231,181,139,125,49,0,3,875,36,80,121,66,104,55,20,7,0,485,1439,3341,6607,6537,7150,4395,1147,111,19,30747,31,148,337,162,191,157,17,0,0,1033,350,474,252,116,118,109,23,0,0,1447,384,619,584,279,301,269,39,3,0,2486,1824,3964,7191,6811,7454,4659,1184,119,19,33232,2655,2248,1543,1212,1274,2118,3454,2763,1805,19071,169,295,528,381,396,321,250,229,191,2762,4642,6505,9260,8405,9136,7096,4891,3109,2020,55066
SED21805,976,1512,3757,3891,3749,2442,472,38,8,16840,759,303,959,1011,862,1416,2322,1403,626,9661,98,99,279,295,255,249,236,238,187,1932,1839,1918,4996,5198,4862,4104,3034,1671,816,28437,289,1521,5143,5454,5111,3173,463,19,9,21180,1095,1053,1686,2158,1956,1597,550,55,5,10149,48,83,345,251,205,176,60,10,3,1180,46,75,123,116,103,75,31,7,7,587,1479,2730,7296,7981,7374,5021,1097,94,18,33096,92,192,243,241,218,162,14,0,0,1160,278,121,133,131,109,97,24,6,0,896,370,307,376,377,331,254,36,6,0,2050,1847,3038,7673,8355,7700,5278,1134,92,18,35146,1673,591,1257,1371,1316,2259,4099,2455,1000,16012,191,226,550,605,540,509,466,395,278,3759,3712,3854,9476,10327,9553,8049,5706,2938,1300,54917
SED21906,544,1661,5148,3667,3200,2244,699,78,14,17250,973,737,912,718,660,1092,1812,1384,1130,9420,57,125,402,270,202,192,160,127,121,1660,1578,2517,6466,4648,4071,3528,2677,1593,1262,28341,51,997,7058,5078,4209,2722,710,61,5,20891,704,1675,2394,2010,1782,1585,971,140,22,11284,33,56,325,219,94,101,48,9,0,885,18,59,181,102,70,62,30,9,11,540,802,2787,9948,7409,6154,4469,1759,220,41,33600,15,126,306,170,155,107,11,0,0,892,169,270,214,99,83,82,26,3,0,938,186,393,519,269,237,186,35,3,0,1830,991,3180,10472,7682,6391,4657,1796,223,37,35428,2046,1387,1406,958,983,1774,3062,2303,1739,15655,115,261,845,528,428,382,301,216,194,3275,3156,4833,12726,9169,7791,6812,5156,2739,1968,54354
SED22005,725,1778,4337,3506,3100,1908,367,25,3,15756,1120,1230,1641,1189,1108,1750,2553,2070,1129,13785,75,133,331,209,196,183,193,202,176,1698,1915,3143,6305,4903,4397,3838,3112,2300,1313,31237,118,1217,6012,5025,4126,2401,419,20,3,19341,979,2030,2533,2037,1714,1314,447,53,9,11113,31,80,277,175,111,131,40,3,3,854,21,103,226,127,145,78,22,3,4,730,1150,3429,9046,7359,6102,3924,935,82,12,32039,56,212,468,266,257,157,15,0,0,1431,289,449,287,153,144,108,27,4,0,1462,340,661,750,420,409,269,42,6,0,2896,1496,4091,9797,7780,6511,4191,974,88,13,34938,2352,2536,2618,1722,1730,2826,4485,3714,1831,23811,176,326,705,448,398,352,350,329,266,3343,4022,6948,13118,9954,8634,7365,5807,4131,2116,62092
SED22105,1269,2215,6706,5599,3863,2026,302,29,10,22022,1388,708,2335,1742,1276,1628,2082,1139,469,12761,135,178,462,374,295,236,194,132,108,2111,2795,3099,9503,7717,5429,3891,2576,1295,587,36896,374,2285,9193,8570,5782,2869,330,12,8,29430,1402,1565,3271,3167,1996,1257,363,51,4,13075,45,85,567,310,165,153,36,0,0,1366,47,141,317,196,151,82,22,3,0,953,1876,4083,13343,12244,8097,4357,746,70,12,44825,153,359,506,425,252,149,13,0,0,1858,487,248,258,233,149,109,19,0,0,1505,638,608,762,655,405,260,37,4,0,3365,2518,4682,14104,12902,8493,4615,782,74,12,48188,2972,1166,2878,2215,1826,2565,3695,2003,745,20075,267,359,922,810,583,463,352,240,160,4157,5754,6210,17906,15928,10903,7648,4829,2319,920,72425
SED22201,933,1497,3346,3035,3290,2250,448,43,6,14844,692,283,807,821,694,1301,2395,1684,874,9549,60,72,196,162,145,145,151,147,116,1196,1679,1850,4352,4018,4128,3702,2997,1871,997,25589,226,1429,4738,4090,4155,2720,419,16,7,17797,1186,1200,1484,1851,1838,1564,575,68,11,9774,42,65,280,181,135,175,51,7,0,934,18,69,107,84,85,48,20,9,0,450,1472,2761,6612,6204,6218,4509,1069,96,22,28953,63,126,196,162,152,93,10,0,0,792,269,108,73,97,71,65,16,3,0,707,327,234,272,255,227,155,25,4,0,1503,1802,2998,6880,6455,6444,4660,1096,100,19,30453,1575,521,1075,1089,1019,2024,4005,2885,1360,15550,119,141,371,298,304,286,260,229,165,2169,3496,3653,8319,7850,7768,6970,5363,3214,1545,48174
SED22305,653,1322,3568,2673,2258,1605,286,20,6,12385,1272,905,2250,1739,1421,2108,2383,1690,744,14511,107,143,462,316,270,246,234,199,108,2101,2042,2371,6281,4722,3952,3963,2897,1911,857,28994,142,1401,5579,4420,3314,2203,338,9,3,17416,736,1413,2242,1797,1320,1103,331,36,0,8977,28,60,223,160,101,119,34,0,0,730,47,125,297,198,156,92,33,7,4,960,956,2999,8336,6571,4899,3513,733,60,8,28081,98,429,658,469,355,183,11,0,0,2205,307,244,286,206,145,120,16,3,0,1326,404,674,945,678,497,301,26,3,4,3533,1357,3676,9281,7254,5398,3821,755,64,12,31616,2629,1720,3219,2665,2363,3483,4396,2983,1178,24658,243,370,1011,734,595,511,476,389,172,4508,4233,5772,13514,10655,8357,7816,5631,3440,1363,60771
