POA_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
POA3683,0,0,0,4,0,0,0,3,0,0,0,3,0,0,18,27,0,0,0,0,0,0,0,0,0,0,0,3,35,15,0,63,4,21,3,15,5,11,19,191
POA3685,0,0,0,10,5,0,0,9,0,3,0,0,0,0,11,31,0,0,0,0,0,0,0,0,0,0,0,0,67,20,4,94,10,41,10,3,0,16,13,271
POA3687,0,0,0,5,7,0,0,3,0,0,0,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,3,30,0,3,46,3,9,0,4,5,15,4,123
POA3688,0,0,0,8,8,0,0,6,0,0,0,0,0,0,6,18,3,0,0,0,0,0,0,0,0,0,0,6,37,10,3,51,12,25,4,8,3,7,10,155
POA3690,4,3,3,176,63,10,3,69,10,32,3,15,7,19,183,409,3,0,5,10,3,5,0,0,4,9,3,40,748,141,36,1143,137,613,39,128,44,230,202,3458
POA3691,0,0,0,73,34,10,0,26,7,10,0,3,4,6,62,164,0,0,0,3,0,0,0,0,0,0,0,10,284,50,17,429,53,200,24,42,17,41,69,1223
POA3694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3695,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,29,4,7,0,0,3,3,10,64
POA3697,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,8,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,24,0,8,0,0,0,3,13,67
POA3698,0,0,0,3,0,0,0,0,0,3,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,32,0,16,3,0,0,0,4,75
