POA_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA3013,..,100,194,49,39,23,17,0,0,415,..,15,88,123,129,130,107,95,73,770,15,21,32,20,8,10,11,13,7,129,1355,645,1291,1445,1017,611,372,305,137,7182,..,15,786,1575,1039,602,351,271,65,4701,..,93,702,570,363,142,23,0,0,1896,..,0,21,109,141,94,47,48,38,490,2671,..,..,..,..,..,..,..,..,2671,..,596,..,..,..,..,..,..,..,596,..,235,219,91,82,37,4,0,0,673,..,78,79,27,25,35,27,36,15,320,..,56,77,12,13,7,0,0,4,168,..,194,413,109,80,48,28,3,0,863,..,32,163,240,235,229,168,134,108,1305,23,37,58,39,26,21,15,23,4,247,2693,1328,2519,2776,2000,1206,659,507,234,13924
POA3015,..,57,111,37,38,28,9,3,0,285,..,19,85,103,149,164,129,98,73,823,14,14,27,25,14,14,7,20,8,145,1738,764,1276,1661,1212,864,455,285,137,8400,..,27,920,2004,1308,903,463,256,61,5944,..,72,616,568,377,165,43,3,0,1839,..,4,32,131,199,137,60,56,30,642,3449,..,..,..,..,..,..,..,..,3449,..,743,..,..,..,..,..,..,..,743,..,371,281,108,69,34,9,0,0,869,..,72,85,25,17,57,34,19,27,339,..,54,69,11,18,10,3,0,0,161,..,162,272,88,69,50,19,6,3,669,..,36,164,230,305,304,211,148,105,1505,38,44,50,42,27,29,17,24,10,289,3481,1583,2486,3194,2398,1683,859,510,238,16444
POA3016,..,23,30,7,17,14,10,3,0,100,..,20,65,63,107,175,163,157,125,883,26,21,21,21,13,22,14,9,0,149,1305,847,667,1040,1350,1029,594,323,189,7341,..,15,374,1270,1740,1301,743,245,85,5777,..,47,292,259,261,143,61,10,0,1071,..,6,32,111,196,105,38,24,25,534,2761,..,..,..,..,..,..,..,..,2761,..,1145,..,..,..,..,..,..,..,1145,..,380,257,53,50,34,9,0,0,779,..,68,46,16,13,31,31,25,20,238,..,17,28,12,9,4,4,0,0,67,..,49,70,25,37,27,13,3,0,231,..,38,128,117,229,310,283,233,172,1493,55,48,57,33,24,51,30,11,6,308,2814,1811,1278,1888,2554,1998,1204,554,300,14413
POA3018,..,12,42,19,28,15,6,8,3,146,..,14,71,88,109,141,180,184,129,907,11,11,32,13,9,14,16,17,6,114,1013,544,813,926,868,734,614,438,209,6169,..,22,561,1084,900,820,702,393,101,4575,..,61,346,250,205,111,44,9,0,1024,..,8,37,108,145,90,37,49,31,502,1960,..,..,..,..,..,..,..,..,1960,..,535,..,..,..,..,..,..,..,535,..,284,243,95,64,45,14,3,0,741,..,56,56,24,21,39,41,27,14,277,..,24,34,8,6,5,3,0,0,83,..,33,115,56,74,50,21,9,9,360,..,24,129,185,234,281,284,260,174,1576,21,25,53,31,21,16,20,22,12,220,1981,1069,1564,1841,1682,1449,1171,766,341,11868
POA3019,..,52,60,17,18,18,8,4,0,169,..,5,39,34,58,89,72,54,32,389,7,28,17,13,9,18,5,6,3,100,759,658,829,594,497,471,261,148,68,4283,..,51,674,609,473,435,243,87,32,2602,..,43,150,94,52,32,13,0,0,389,..,20,53,142,148,102,43,28,23,552,1594,..,..,..,..,..,..,..,..,1594,..,550,..,..,..,..,..,..,..,550,..,248,267,81,47,31,8,0,0,683,..,152,128,58,35,63,39,37,13,519,..,104,98,43,29,21,0,0,0,294,..,173,213,71,49,36,8,8,0,560,..,26,97,80,115,158,144,85,45,744,19,43,48,27,26,28,12,9,4,208,1608,1407,1719,1189,979,902,516,254,106,8690
POA3020,..,136,180,72,53,48,25,11,3,536,..,52,134,143,194,233,345,364,198,1671,61,85,103,54,36,37,39,44,15,475,3629,2756,3691,2728,2407,2160,1716,1107,421,20612,..,302,3115,2993,2462,2438,2050,1119,242,14724,..,141,646,519,357,152,49,14,0,1879,..,61,294,540,652,400,214,178,99,2436,7218,..,..,..,..,..,..,..,..,7218,..,2337,..,..,..,..,..,..,..,2337,..,1245,1335,504,329,144,19,0,0,3568,..,545,514,189,193,273,178,102,53,2045,..,360,465,158,148,72,29,3,0,1233,..,562,899,320,164,119,69,23,11,2173,..,106,370,401,496,548,581,524,255,3300,121,164,236,153,110,88,71,57,24,1030,7340,5819,7877,5787,4909,4240,3261,2030,689,41946
POA3021,..,138,127,49,56,76,44,15,3,518,..,48,124,134,159,336,435,370,157,1752,71,85,103,64,41,69,65,41,16,558,4326,3461,4026,3267,3028,3182,2357,1232,377,25264,..,379,3317,3239,3284,3727,3063,1236,179,18424,..,180,579,431,337,200,65,16,4,1807,..,91,392,809,861,608,318,213,105,3400,8803,..,..,..,..,..,..,..,..,8803,..,3020,..,..,..,..,..,..,..,3020,..,1736,1929,760,408,127,26,0,0,4986,..,689,520,171,273,333,198,186,82,2453,..,455,472,149,126,82,37,12,3,1336,..,548,652,210,176,161,90,24,14,1874,..,102,320,399,494,676,714,530,213,3448,138,180,229,174,114,123,110,70,24,1169,8939,7386,8411,6333,6077,6028,4620,2287,633,50712
POA3022,..,11,12,5,3,0,3,0,0,39,..,3,22,13,17,19,28,28,28,161,5,6,8,9,3,5,3,4,6,42,264,144,275,209,140,132,115,66,48,1390,..,15,220,213,126,115,128,51,18,879,..,13,76,55,22,11,4,0,0,186,..,3,22,41,40,32,13,16,3,166,510,..,..,..,..,..,..,..,..,510,..,119,..,..,..,..,..,..,..,119,..,68,89,25,16,6,0,0,0,211,..,35,26,4,6,24,12,3,5,122,..,25,24,5,6,9,0,0,0,65,..,39,67,30,14,11,4,0,0,176,..,5,39,40,50,60,47,41,34,319,10,5,20,11,8,7,8,4,6,81,520,334,581,423,297,273,221,117,67,2829
POA3023,..,59,98,51,61,55,19,5,0,344,..,31,163,164,180,222,252,188,83,1270,93,90,114,65,38,53,44,18,3,523,7152,3907,4713,5422,3828,2703,1541,655,219,30137,..,253,4423,7422,5084,3539,2132,654,110,23613,..,168,950,782,495,209,61,14,3,2677,..,60,348,851,788,441,172,94,35,2790,14474,..,..,..,..,..,..,..,..,14474,..,4196,..,..,..,..,..,..,..,4196,..,2062,1674,476,166,56,3,0,0,4440,..,537,454,192,187,304,202,152,66,2101,..,211,259,105,88,58,13,9,3,751,..,150,297,150,144,131,42,11,0,924,..,70,384,491,449,432,383,259,122,2587,182,160,234,150,100,82,75,31,9,1019,14657,7850,9039,10614,7497,5257,3084,1224,349,59566
POA3024,..,31,40,28,16,18,9,7,0,156,..,13,77,98,86,115,104,48,18,557,46,41,41,26,12,17,13,4,0,200,3023,1332,2344,1882,1257,863,493,174,50,11414,..,69,2354,2398,1516,1021,604,172,14,8157,..,186,680,399,232,94,33,3,0,1629,..,40,260,380,313,143,44,38,18,1228,6072,..,..,..,..,..,..,..,..,6072,..,1154,..,..,..,..,..,..,..,1154,..,827,421,96,49,20,3,0,0,1414,..,173,148,61,60,84,81,27,11,638,..,90,91,41,32,13,4,0,0,271,..,63,119,78,45,44,25,16,0,394,..,25,202,250,201,217,160,70,26,1135,73,79,83,56,42,26,19,10,0,404,6145,2709,4358,3758,2478,1671,972,326,68,22498
POA3025,..,16,45,11,14,19,8,0,3,127,..,4,48,60,59,68,123,198,83,639,9,16,8,9,7,12,9,17,3,93,1038,593,851,798,613,510,544,542,166,5661,..,53,753,937,619,495,588,545,104,4095,..,48,307,207,94,49,11,0,3,715,..,10,40,114,153,110,61,71,33,596,2103,..,..,..,..,..,..,..,..,2103,..,573,..,..,..,..,..,..,..,573,..,338,263,133,121,53,7,0,0,919,..,72,86,44,34,36,36,38,29,391,..,23,37,8,11,11,0,0,0,99,..,47,110,36,41,49,28,9,3,326,..,25,108,124,137,157,182,261,112,1099,19,40,34,24,18,24,16,24,6,199,2122,1238,1740,1619,1230,981,939,953,297,11118
POA3026,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,18,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,0,0,0,7,..,0,0,0,3,0,0,0,0,3,3,..,..,..,..,..,..,..,..,3,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,4,0,0,0,0,6,..,3,0,5,17,7,4,0,0,37,0,0,0,0,0,0,0,0,0,0,3,3,0,5,23,10,8,4,0,57
POA3027,..,16,35,10,5,7,0,0,0,65,..,6,15,20,9,12,3,4,0,61,3,4,9,5,3,4,0,0,0,28,806,305,876,630,265,175,55,13,4,3125,..,32,1067,1042,393,220,72,10,3,2839,..,30,151,94,36,14,0,0,0,330,..,10,27,65,54,23,10,3,0,185,1669,..,..,..,..,..,..,..,..,1669,..,280,..,..,..,..,..,..,..,280,..,113,103,14,4,0,0,0,0,236,..,63,89,19,16,40,21,5,3,262,..,31,80,13,7,3,0,0,0,132,..,45,88,31,9,4,3,0,0,173,..,11,49,44,21,17,3,4,0,150,7,18,17,8,4,6,0,0,0,71,1675,636,1668,1338,552,322,110,19,10,6327
POA3028,..,39,91,36,30,42,17,12,3,278,..,24,111,110,210,230,261,196,42,1187,29,26,46,26,27,29,25,10,6,231,2438,1606,2338,1891,2023,1712,1040,528,149,13717,..,115,1977,2269,2215,2050,1224,470,75,10396,..,147,680,427,332,180,60,12,0,1844,..,25,163,292,425,282,126,79,42,1442,4845,..,..,..,..,..,..,..,..,4845,..,1482,..,..,..,..,..,..,..,1482,..,1046,901,238,141,57,9,0,0,2404,..,222,191,73,97,120,87,62,34,889,..,121,148,45,42,25,8,6,0,391,..,194,350,83,89,92,47,25,10,883,..,57,251,289,430,464,377,261,72,2194,58,69,98,74,68,59,47,21,5,492,4902,3474,4757,3792,3839,3321,1992,943,241,27257
POA3029,..,118,160,66,85,67,36,9,0,538,..,56,237,207,253,345,391,241,103,1830,137,126,135,71,65,54,53,26,9,673,10933,5366,9399,6725,4873,3575,2119,813,235,44039,..,475,10502,10265,6484,4729,2763,838,116,36179,..,450,1826,1086,668,385,87,19,0,4525,..,104,643,932,1038,490,200,101,49,3562,22317,..,..,..,..,..,..,..,..,22317,..,5053,..,..,..,..,..,..,..,5053,..,2920,1912,461,182,71,7,0,0,5562,..,851,808,210,232,379,280,148,68,2983,..,416,573,181,94,55,14,3,0,1335,..,376,551,206,170,161,71,22,0,1552,..,139,654,621,623,631,589,328,136,3726,272,250,318,165,127,104,90,46,11,1390,22592,11030,17795,14128,9624,7009,4105,1509,381,88171
POA3030,..,191,224,96,90,93,54,13,3,762,..,72,297,325,357,493,549,397,163,2651,102,161,170,87,60,102,56,31,13,788,11184,5489,8469,8420,5932,4199,2340,1131,350,47506,..,312,8464,12089,7896,5194,2782,1084,191,38019,..,561,2139,1557,1046,451,144,20,4,5923,..,117,585,1070,1200,594,218,130,55,3985,23182,..,..,..,..,..,..,..,..,23182,..,5252,..,..,..,..,..,..,..,5252,..,2910,1992,481,228,88,10,0,0,5721,..,656,591,172,211,407,293,168,78,2581,..,383,387,139,104,59,33,8,4,1113,..,397,649,251,242,199,110,25,9,1876,..,180,757,871,890,933,845,540,216,5233,242,295,345,204,157,158,95,64,17,1572,23428,11072,15902,16846,11982,8083,4529,2034,571,94459
POA3031,..,335,508,63,44,25,7,8,4,979,..,45,264,259,196,225,224,126,53,1397,19,56,68,28,18,17,17,5,4,231,1326,1080,2341,1459,999,743,457,258,92,8755,..,34,1100,1333,838,539,297,143,31,4325,..,127,1151,519,240,150,40,15,0,2248,..,20,93,151,218,130,45,38,25,718,2650,..,..,..,..,..,..,..,..,2650,..,619,..,..,..,..,..,..,..,619,..,217,181,80,41,30,4,0,0,554,..,183,137,56,42,54,35,26,12,534,..,77,112,28,3,7,0,0,0,235,..,618,1009,160,73,49,16,14,4,1943,..,106,470,488,381,427,355,185,78,2486,41,87,131,42,40,30,30,10,9,427,2689,2088,4388,2849,1879,1423,823,433,156,16730
POA3032,..,434,477,72,46,35,16,9,5,1092,..,107,342,270,232,267,188,147,68,1627,26,43,64,31,20,27,26,16,9,261,2108,1911,3167,2093,1796,1398,733,429,170,13810,..,77,1963,2356,1998,1569,823,361,97,9243,..,252,1224,579,322,193,53,6,0,2638,..,8,102,227,290,194,71,57,45,1005,4324,..,..,..,..,..,..,..,..,4324,..,1317,..,..,..,..,..,..,..,1317,..,498,528,146,119,46,4,0,0,1349,..,287,280,55,64,99,82,51,32,939,..,183,202,44,17,16,3,0,0,469,..,910,1047,206,118,67,35,8,7,2413,..,178,644,538,498,447,333,208,108,2948,45,93,143,64,43,44,39,24,12,511,4374,3807,6147,4208,3473,2681,1443,723,306,27163
