POA_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
POA3013,22,7,6,4,42,4,0,7,0,15,4,7,6,0,22,5,3,8,0,14,35,12,24,0,68,23,11,29,7,62,113,17,43,6,188,57,41,55,13,161,69,59,71,7,208,66,81,36,9,187,69,64,31,10,177,68,99,36,5,206,183,213,39,14,451,169,257,16,6,445,156,210,13,3,381,122,178,16,7,319,225,443,6,0,684,99,158,37,4,304,14,8,8,0,29,1510,1867,490,87,3952
POA3015,28,5,13,3,47,9,0,5,0,12,8,8,12,3,32,5,6,8,0,17,36,12,25,6,84,17,14,44,3,75,116,22,44,9,193,61,49,61,3,173,78,52,83,9,217,85,100,55,5,250,61,114,33,9,223,83,99,43,9,234,205,278,79,11,570,183,292,31,5,516,139,288,6,3,436,107,218,21,0,352,254,527,10,7,798,118,251,54,4,424,29,30,9,0,68,1617,2372,640,92,4719
POA3016,25,10,6,0,40,17,0,6,4,27,5,3,12,3,28,0,0,13,0,16,38,7,22,3,69,22,9,42,3,70,77,14,29,8,125,78,21,35,6,142,96,41,48,13,196,105,69,42,5,219,58,60,44,8,165,85,81,29,0,202,177,204,62,8,442,125,196,15,4,344,80,192,3,5,280,84,207,18,0,314,200,729,21,0,947,95,278,71,3,450,23,15,10,0,54,1376,2139,535,70,4119
POA3018,19,3,13,0,35,15,3,3,0,19,15,3,18,0,32,0,0,11,0,12,67,15,20,4,104,23,18,34,3,73,144,16,35,8,205,115,39,59,3,217,119,53,66,5,239,95,83,52,10,240,61,93,41,6,207,71,78,27,5,185,184,202,40,11,435,129,194,10,5,335,95,147,9,0,249,41,110,9,0,158,89,222,5,0,318,90,139,58,3,295,40,27,8,0,76,1411,1453,506,72,3438
POA3019,29,19,13,3,58,15,5,16,0,35,7,13,43,3,61,6,10,24,5,51,47,23,38,7,109,12,41,56,3,123,69,65,58,6,208,43,77,64,15,202,60,96,57,15,236,49,100,35,9,185,27,73,30,9,140,24,56,14,7,104,59,121,19,4,202,29,73,14,3,120,25,36,3,4,70,10,21,4,0,34,18,22,5,0,47,31,79,44,6,161,14,12,14,3,37,563,960,550,95,2177
POA3020,112,73,105,8,292,51,38,36,4,130,40,59,135,9,233,25,40,127,3,198,292,126,159,28,605,108,169,216,17,512,616,244,228,31,1123,256,395,258,40,942,309,476,249,59,1090,270,493,197,56,1014,159,405,137,16,723,179,382,86,27,674,329,611,108,34,1075,166,382,63,12,620,91,216,26,9,342,49,140,11,5,205,50,167,26,8,245,185,532,196,11,924,125,80,86,12,298,3414,5025,2438,383,11258
POA3021,146,86,164,8,409,70,28,44,6,152,54,84,188,16,338,32,56,185,5,278,389,165,243,23,824,186,222,294,17,723,850,350,335,21,1567,349,504,350,47,1248,402,705,358,45,1511,339,650,264,45,1298,201,517,189,28,944,203,453,119,27,799,277,687,137,26,1127,132,414,61,14,615,51,212,27,7,297,24,91,23,0,143,29,142,26,10,204,244,657,293,19,1214,151,116,104,9,375,4137,6149,3397,381,14062
POA3022,3,4,0,0,10,0,3,0,0,3,5,3,6,0,13,0,0,8,0,12,11,5,12,0,31,6,12,14,3,29,30,19,11,0,63,18,21,19,4,66,19,22,20,5,63,22,39,18,3,81,13,17,17,0,42,13,21,9,3,48,35,38,9,0,92,21,36,3,0,51,3,13,0,0,22,3,4,4,0,13,5,8,0,0,17,13,37,15,3,63,10,10,3,0,24,239,304,165,21,733
POA3023,157,82,85,4,329,47,27,26,4,104,26,49,98,4,177,26,47,113,3,184,194,127,154,7,482,104,165,254,4,527,501,260,270,23,1060,248,468,288,24,1026,350,725,300,29,1403,293,823,255,39,1411,189,800,180,21,1188,253,749,147,19,1169,498,1532,168,28,2231,297,1098,82,18,1500,148,608,31,7,794,92,378,26,4,498,121,547,28,4,701,232,918,217,14,1378,93,99,64,3,258,3888,9504,2791,249,16430
POA3024,47,12,27,0,93,8,10,4,0,27,7,11,33,0,51,4,11,56,0,73,59,37,75,3,171,32,45,149,4,230,140,82,153,12,386,94,167,145,5,409,129,294,145,6,580,172,358,87,6,626,124,339,76,6,548,130,301,49,0,486,268,573,68,17,919,141,331,24,3,499,67,213,13,7,294,27,114,3,0,145,33,139,0,0,172,103,292,83,3,480,41,27,35,0,104,1623,3369,1227,81,6298
POA3025,23,14,17,4,48,22,6,6,0,29,10,12,17,5,38,3,8,22,0,33,95,26,38,0,164,23,27,49,3,105,195,57,66,3,322,66,61,58,13,197,84,101,61,8,255,51,105,53,5,218,35,115,39,3,187,46,109,32,6,195,98,167,35,3,305,94,133,13,12,251,61,104,11,0,173,32,74,9,0,112,44,99,5,3,152,74,135,52,5,273,37,21,19,0,82,1090,1367,602,90,3146
POA3026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,7
POA3027,24,6,15,0,44,3,3,3,0,10,3,4,6,0,17,3,3,4,0,14,10,8,10,0,23,3,11,12,0,31,22,12,16,0,54,25,42,16,0,87,39,45,14,3,101,29,70,12,3,117,31,63,12,4,112,26,86,12,0,130,81,201,15,7,300,70,158,12,3,238,38,96,0,3,142,21,87,3,0,111,36,115,0,0,154,28,101,17,0,140,3,12,3,0,11,493,1130,188,31,1836
POA3028,58,24,36,4,123,39,12,10,0,60,19,23,51,3,95,16,11,54,0,81,110,60,77,8,250,66,66,127,7,267,344,102,145,11,605,196,183,168,19,566,211,277,172,26,682,202,323,115,25,666,159,341,101,4,611,153,319,63,12,546,298,607,89,21,1010,194,359,47,12,616,98,263,17,4,382,59,135,4,0,206,52,231,10,3,299,149,382,127,5,659,47,41,28,3,121,2477,3762,1444,172,7855
POA3029,272,87,102,9,474,63,48,34,6,152,58,74,122,3,256,47,59,138,3,245,206,177,202,10,596,157,280,355,8,796,646,478,319,18,1472,487,794,412,17,1713,594,1240,406,28,2270,571,1349,299,43,2261,417,1312,248,29,2009,495,1239,154,27,1917,968,2380,207,39,3594,513,1397,111,21,2038,270,790,42,8,1114,138,481,20,3,644,129,664,40,7,841,372,1199,273,17,1854,106,143,73,8,327,6508,14193,3563,302,24565
POA3030,239,97,134,14,483,66,39,57,7,164,58,78,111,3,254,35,53,149,8,234,255,176,221,16,670,145,208,369,11,726,680,360,361,14,1415,454,646,420,38,1551,580,914,456,35,1984,618,1122,329,34,2104,467,1169,216,33,1885,479,1130,211,23,1846,1046,2462,269,45,3818,631,1700,117,16,2468,401,1132,42,10,1591,242,839,34,5,1116,359,1370,38,10,1775,466,1443,354,20,2287,129,151,94,6,385,7347,15100,3985,344,26769
POA3031,22,9,28,6,73,16,4,17,3,38,8,10,62,7,86,3,9,42,3,52,53,19,73,13,153,29,28,57,8,118,70,50,61,13,192,62,51,62,9,191,80,61,55,18,209,98,72,35,13,219,95,71,39,6,214,86,61,12,14,178,256,150,42,13,469,236,170,13,19,438,174,132,5,5,311,109,140,9,0,260,262,376,8,4,652,132,129,61,4,330,23,17,30,0,67,1822,1542,713,170,4253
POA3032,51,17,28,17,114,30,4,15,10,60,30,17,57,0,106,10,5,61,5,75,86,27,50,12,177,53,29,64,8,152,179,73,59,17,328,126,99,81,22,328,186,126,93,36,445,199,154,77,28,458,171,159,71,20,423,180,173,47,16,413,399,419,84,26,930,293,357,31,22,698,193,262,18,7,477,136,248,30,3,410,306,721,25,8,1065,199,314,88,8,613,33,25,29,4,91,2855,3236,1001,270,7362
POA3033,29,6,19,0,51,15,4,9,4,29,10,11,11,0,37,9,4,16,0,24,106,13,26,6,146,27,16,41,3,85,253,43,38,3,334,131,70,63,8,273,135,105,66,9,309,94,132,55,3,284,58,132,53,6,256,57,123,41,3,226,124,297,44,4,478,85,252,33,4,369,59,182,9,0,251,48,131,10,0,185,63,246,11,3,325,81,200,74,0,356,47,21,15,0,82,1441,1981,630,63,4112
POA3034,32,14,6,0,53,14,5,3,0,26,10,6,15,0,28,4,9,9,0,19,103,18,21,0,147,32,20,48,3,103,264,38,48,5,354,91,44,53,4,189,89,83,69,10,255,74,118,41,9,239,47,93,45,5,191,61,110,30,4,196,116,210,26,3,360,62,163,19,3,240,37,104,8,3,143,23,85,4,0,111,41,167,14,3,219,63,194,48,0,303,41,21,8,3,76,1192,1501,512,59,3258
POA3036,12,3,3,0,20,6,0,3,0,11,10,0,4,0,11,0,0,3,0,6,40,3,7,3,53,14,6,12,0,35,71,9,11,3,96,60,16,16,0,86,45,40,30,0,114,46,42,23,0,108,20,51,12,0,83,40,57,9,0,112,59,116,25,0,194,48,96,11,0,160,22,68,4,0,96,18,64,0,0,87,35,169,5,0,209,37,95,24,0,156,21,13,8,0,42,609,841,209,18,1673
POA3037,95,51,53,9,213,28,23,21,8,79,31,42,69,5,148,20,17,70,3,106,152,72,93,7,321,85,135,151,12,383,391,177,180,10,757,208,360,201,13,789,283,583,229,27,1118,215,657,182,16,1062,190,630,131,12,957,197,701,94,15,1010,418,1400,161,20,1999,246,929,69,9,1254,104,618,31,8,765,58,356,4,5,427,84,552,17,3,653,149,845,191,5,1190,73,104,35,3,216,3026,8253,1982,181,13442
POA3038,66,20,25,5,111,37,10,15,0,58,28,10,46,3,83,6,6,27,0,47,150,27,50,3,229,81,40,71,8,199,372,73,78,6,533,184,149,101,13,449,169,242,135,10,555,171,280,82,18,550,118,310,70,4,498,135,295,67,10,506,239,598,82,11,928,154,524,40,5,724,81,332,24,3,443,34,266,13,3,317,57,440,23,3,523,136,528,125,3,789,70,49,14,0,135,2274,4218,1084,109,7683
POA3039,22,3,5,0,32,9,3,3,0,18,7,3,6,4,18,3,0,6,0,20,49,10,12,3,77,33,8,28,0,67,93,21,30,11,154,65,29,31,11,130,87,57,34,12,201,65,52,43,11,170,56,71,31,3,162,65,74,29,4,177,209,183,36,12,440,136,194,22,11,361,76,145,9,7,238,87,147,8,0,247,155,514,13,10,691,116,195,37,3,344,29,18,6,0,49,1358,1730,401,100,3587
POA3040,34,9,19,3,58,18,0,10,8,27,11,9,13,4,30,7,3,17,0,23,52,10,24,5,94,32,25,50,3,111,157,40,67,10,278,119,72,68,12,274,180,108,73,14,372,168,119,68,16,373,117,129,68,17,331,122,155,38,5,325,303,377,83,20,796,234,358,43,11,643,135,301,19,3,458,93,308,28,4,430,217,967,28,10,1213,157,408,85,7,650,49,32,19,7,101,2201,3434,814,151,6602
POA3041,14,3,6,0,28,9,0,0,0,13,8,7,5,3,17,3,0,3,0,5,40,5,6,0,55,20,15,18,0,50,103,23,25,6,157,79,34,29,8,152,87,51,53,6,196,87,59,44,8,188,71,66,29,6,180,59,100,27,3,186,127,240,46,5,423,94,209,19,10,323,65,171,6,4,248,50,154,4,0,208,94,414,14,0,528,56,190,35,0,292,26,15,11,0,53,1097,1750,385,69,3303
POA3042,29,4,10,3,52,19,0,11,0,29,15,9,8,0,36,9,0,15,0,19,88,10,28,5,130,41,11,45,3,103,223,29,52,14,318,115,56,71,12,253,135,99,76,10,323,115,138,78,9,332,67,120,69,9,263,62,132,37,8,248,160,323,71,14,560,146,254,29,9,436,72,175,12,4,260,49,136,16,0,204,58,244,17,0,324,96,198,79,10,381,44,24,20,4,94,1551,1969,744,111,4371
POA3043,38,11,11,0,60,18,0,6,0,32,13,3,25,0,47,7,3,26,0,39,112,23,39,4,181,53,22,69,4,139,257,54,91,3,408,153,101,111,15,379,173,171,104,6,450,137,176,80,3,397,105,173,62,8,350,91,190,52,8,339,205,332,61,9,609,107,237,45,8,389,69,165,12,4,244,25,78,13,0,121,28,118,9,0,156,92,243,88,6,430,51,26,20,3,97,1737,2122,917,83,4868
POA3044,46,23,19,0,93,23,3,15,3,42,9,4,25,4,47,9,8,21,5,43,95,25,31,6,153,38,38,68,3,154,263,58,83,7,408,140,111,97,20,378,164,170,137,26,498,160,207,100,17,480,109,245,78,22,449,147,235,52,17,449,303,528,89,14,930,257,417,34,10,727,149,342,9,4,504,85,225,16,8,329,150,482,14,3,647,135,352,76,8,572,62,31,21,3,112,2342,3502,985,187,7018
POA3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3046,64,34,34,10,135,27,12,8,3,49,25,21,41,6,94,19,25,59,0,95,204,62,91,15,369,72,88,103,7,269,441,145,132,17,732,202,222,178,33,639,262,325,146,21,763,275,348,116,23,763,181,329,94,15,620,168,301,83,22,579,366,553,103,18,1048,242,368,34,16,660,140,254,14,9,413,86,160,9,0,251,82,261,10,0,361,164,421,142,13,737,89,61,46,4,200,3113,3972,1457,230,8766
POA3047,30,49,37,7,118,20,10,13,0,49,17,29,57,3,106,9,32,61,0,98,92,128,96,8,321,46,131,130,13,311,233,170,124,16,547,104,259,144,23,524,116,293,114,18,541,94,220,103,14,430,54,165,52,3,272,47,155,52,4,253,65,193,35,4,302,29,75,15,7,130,10,42,6,3,54,4,33,10,0,46,5,45,8,0,57,68,274,118,8,464,53,57,49,3,159,1085,2356,1212,130,4786
POA3048,28,44,21,3,93,15,11,19,3,51,8,38,44,4,95,9,26,52,0,89,83,105,91,5,282,48,130,97,3,272,210,178,118,9,517,58,227,114,6,406,91,305,130,15,542,65,260,94,9,423,42,169,68,0,281,32,144,40,4,214,65,226,30,10,331,23,112,15,0,150,11,39,7,0,63,7,31,8,0,42,6,40,10,3,55,67,281,109,7,459,32,43,35,4,112,895,2413,1095,83,4473
POA3049,16,4,8,0,25,8,4,5,3,17,10,3,14,0,32,4,0,16,3,27,43,11,21,0,71,15,15,39,0,75,99,21,42,5,169,64,44,49,0,158,53,72,56,10,187,68,79,43,3,191,40,97,36,9,189,55,87,21,3,172,116,212,44,0,375,77,151,22,0,248,37,108,6,3,151,15,58,11,0,82,27,99,9,0,136,42,142,43,0,220,17,7,8,0,36,798,1227,493,42,2560
POA3050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3051,41,8,20,11,81,13,4,8,0,27,11,5,39,7,56,13,7,32,0,47,41,15,32,6,95,31,22,39,7,100,62,26,36,10,134,44,31,40,7,121,82,36,44,10,173,71,32,32,12,143,60,29,15,15,124,67,29,20,16,125,181,96,26,17,315,131,73,4,3,210,117,62,3,4,180,76,35,9,0,120,173,168,6,4,348,111,101,30,9,250,14,12,11,3,35,1343,778,438,139,2698
POA3052,4,3,3,3,13,3,0,4,3,6,4,3,3,3,14,4,0,3,0,5,10,0,3,10,25,10,4,11,0,29,16,3,6,0,30,22,9,9,3,43,27,12,13,8,60,36,3,3,9,52,37,10,0,3,46,41,8,5,0,56,80,40,9,6,129,52,19,0,4,76,27,17,0,0,46,21,25,4,0,55,88,87,0,0,178,32,46,6,0,85,3,5,0,0,9,519,301,91,43,957
POA3053,124,8,22,101,257,22,4,18,15,55,17,3,37,14,77,7,3,21,4,39,34,24,27,17,105,28,10,35,16,98,55,19,31,16,121,51,29,32,21,133,70,32,47,24,173,70,16,19,19,124,68,31,14,5,113,59,19,10,10,95,139,46,13,19,218,104,34,7,7,148,77,25,5,9,115,59,19,12,3,89,163,95,3,8,263,108,71,34,4,222,8,8,25,3,45,1273,505,405,306,2488
POA3054,6,3,10,3,19,0,6,0,0,10,6,0,10,0,13,0,0,4,0,4,14,0,14,3,28,6,0,20,4,28,23,11,12,3,45,35,9,11,6,62,32,24,28,3,84,75,15,15,3,108,36,28,16,7,83,65,22,6,3,93,112,73,27,3,215,114,60,11,8,194,79,51,4,6,138,60,55,10,0,120,177,232,12,3,422,85,75,13,3,173,7,4,4,3,19,932,658,228,51,1865
POA3055,20,10,11,0,38,6,9,8,3,18,10,3,11,3,24,4,7,20,0,31,53,14,24,4,95,36,28,32,3,92,113,25,39,4,181,72,45,52,12,178,114,63,44,10,229,125,66,41,19,246,86,69,35,7,207,68,77,24,9,179,199,168,31,16,418,142,132,10,6,289,84,115,3,3,210,66,86,9,3,163,127,251,11,4,391,103,131,53,6,288,16,8,9,3,31,1450,1300,461,113,3327
POA3056,39,6,15,8,65,13,4,4,4,25,11,6,25,9,50,6,3,11,4,25,80,11,31,11,135,38,24,49,7,120,192,32,57,14,291,99,42,59,20,213,150,85,73,17,325,181,106,54,21,365,130,71,52,22,267,173,89,22,17,301,424,234,62,28,747,341,212,20,11,584,230,180,6,9,433,176,145,15,3,335,295,378,6,6,689,185,209,48,0,448,30,14,8,7,56,2812,1846,609,209,5469
