POA_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
POA3370,0,0,6,11,0,10,0,10,0,37,0,0,12,10,4,5,0,7,0,42,9,7,15,15,9,4,0,7,0,74,8,27,25,16,10,10,9,17,0,114,17,32,27,13,15,7,12,20,0,144,31,34,35,27,17,12,7,16,3,179,10,6,3,5,0,0,0,3,0,35,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,88,115,122,84,61,53,27,83,7,639
POA3371,0,0,0,3,0,6,0,3,0,12,0,0,3,3,0,4,0,7,3,25,4,0,4,0,3,3,6,4,0,34,12,10,9,10,8,4,4,5,0,59,6,9,13,12,18,0,11,17,0,85,18,13,14,14,13,4,10,13,0,100,4,0,0,0,3,3,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,29,51,47,44,22,26,56,10,336
POA3373,0,0,13,11,0,15,0,6,0,44,8,0,12,11,6,5,3,5,0,48,16,24,22,14,7,9,14,22,0,128,40,15,22,12,18,8,13,26,3,161,34,22,18,34,28,8,20,29,5,202,37,29,20,20,28,16,21,39,3,211,28,3,9,10,4,8,3,10,3,76,6,0,0,0,0,0,0,0,3,12,3,0,0,0,0,0,0,0,0,3,169,98,115,105,92,71,82,135,21,886
POA3374,0,0,3,3,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,5,4,4,3,7,0,4,0,7,0,29,6,4,10,8,3,3,3,3,0,41,4,9,8,7,3,3,0,0,0,39,14,10,0,9,0,0,5,3,0,45,12,3,3,0,4,0,0,5,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,30,29,32,22,12,7,18,3,189
POA3375,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,12,10,3,4,0,3,0,0,0,0,22,9,6,0,0,0,0,0,3,0,19,9,7,0,0,0,0,0,0,0,19,6,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,44,16,5,4,7,5,0,6,3,95
POA3377,3,3,25,19,10,108,5,90,4,275,12,29,67,43,15,35,10,87,4,295,64,100,112,104,48,39,34,121,17,647,80,103,93,125,63,38,50,98,10,667,133,145,83,203,87,62,65,128,22,931,110,108,66,150,67,44,57,115,15,740,56,21,24,20,15,9,9,31,3,192,16,0,5,3,3,3,0,7,4,37,3,0,0,0,0,0,0,0,0,8,475,510,479,663,321,347,233,677,72,3780
POA3378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,9,0,0,0,3,0,0,0,0,19,15,4,0,0,0,0,0,3,0,19,12,0,0,0,0,0,0,0,0,15,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,9,3,4,5,0,0,12,0,74
POA3379,0,0,6,0,0,3,0,0,0,8,0,0,0,3,0,0,0,5,0,15,13,6,4,0,4,0,0,8,0,33,25,7,0,7,7,0,0,3,0,49,14,4,7,4,5,3,3,6,0,45,51,9,9,6,3,0,0,10,0,94,27,0,0,0,4,0,0,3,0,40,13,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,152,30,16,22,20,5,10,41,0,297
POA3380,8,0,19,25,9,55,0,38,7,154,6,16,41,37,16,25,7,70,3,207,32,70,60,69,32,35,33,90,13,428,52,62,60,67,31,32,40,75,10,431,80,65,61,104,69,43,38,110,8,577,71,50,60,81,55,31,46,88,6,499,17,13,10,13,12,12,19,19,0,114,4,3,0,0,0,0,0,3,0,13,0,3,0,0,0,3,0,0,0,8,267,285,302,391,224,239,185,492,43,2432
POA3381,0,0,5,6,0,6,0,3,0,26,3,5,6,7,3,3,3,0,0,28,13,18,16,13,4,3,5,7,0,74,25,36,7,14,10,7,3,12,0,114,34,30,14,21,13,14,3,11,3,136,37,23,12,19,15,10,5,20,4,150,21,3,3,3,0,4,0,8,0,49,6,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,141,108,61,85,51,48,18,58,10,591
POA3384,0,0,3,3,0,3,0,0,0,11,0,3,3,4,0,3,0,3,0,15,3,5,4,3,0,0,3,3,0,18,8,0,4,3,5,0,5,0,0,30,20,5,3,9,9,4,11,7,0,66,15,5,0,8,13,4,7,5,0,55,19,3,5,0,3,0,0,0,0,32,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,64,22,25,31,28,14,19,21,3,233
POA3385,0,0,3,0,0,8,0,0,0,4,0,0,0,0,0,3,0,7,0,9,3,5,3,9,3,0,0,7,0,34,7,3,6,8,4,0,0,9,0,37,18,5,5,4,7,3,4,8,0,62,22,6,7,5,7,5,8,4,0,67,7,0,0,0,3,0,0,4,0,15,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,64,22,34,25,18,12,20,35,0,239
POA3387,0,0,0,3,0,0,0,0,0,4,4,0,3,0,0,0,0,0,0,4,9,4,5,0,0,0,0,4,0,19,12,0,0,0,3,3,0,3,0,27,17,0,3,0,0,3,3,10,0,41,24,0,0,10,0,3,0,6,0,38,12,0,0,0,0,0,0,4,0,14,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,78,6,14,13,8,10,3,23,0,152
POA3388,0,0,0,0,0,0,0,9,0,10,4,3,3,0,0,0,0,6,0,20,9,4,9,0,3,0,0,0,0,30,8,8,3,0,4,3,0,3,0,40,26,16,0,10,3,3,0,3,0,59,23,7,3,4,8,3,0,6,0,49,4,0,3,0,0,0,0,4,0,14,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,85,43,23,14,19,12,7,28,3,228
POA3390,0,0,0,0,0,0,0,6,0,15,8,3,6,0,3,0,3,3,0,24,10,9,10,9,5,3,3,8,0,57,20,11,3,11,9,0,8,3,0,65,20,16,5,14,16,3,7,14,0,99,14,10,11,7,4,7,8,10,3,78,8,4,0,3,3,0,0,3,0,26,7,0,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,84,52,38,49,32,19,31,56,10,374
