POA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA3025,1090,2180,44,254,117,591,24,147,773,3020,959,4009,76,344,77,269,256,851,411,1465,1367,5473,0,8,33,121,23,81,158,442,211,657,24,76,67,148,299,667,389,896,602,1562,90,189,3146,9400
POA3026,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,3,5,3,5,3,8,0,0,7,12
POA3027,493,1018,14,77,66,323,5,35,857,3113,945,3549,27,121,77,264,76,244,185,631,1130,4181,3,18,14,51,9,28,89,250,111,340,8,47,19,36,48,112,78,190,188,535,31,67,1836,5804
POA3028,2477,5004,44,245,304,1440,74,328,1956,7353,2378,9361,250,1049,302,1056,831,2748,1385,4854,3762,14213,15,52,80,296,36,140,457,1206,584,1693,76,241,144,337,639,1444,859,2014,1444,3710,172,369,7855,23299
POA3029,6508,13263,250,1541,1256,6287,275,1317,9072,35035,10854,44177,653,2843,877,3042,1810,5959,3346,11845,14193,56022,80,442,290,1204,115,446,1421,4129,1913,6226,194,650,329,760,1130,2594,1654,4010,3563,10233,302,652,24565,80177
POA3030,7347,14754,188,1095,1340,6310,329,1533,9637,36782,11493,45727,640,2734,1017,3524,1946,6308,3602,12567,15100,58299,74,362,336,1264,130,480,1569,4333,2111,6440,186,610,428,986,1263,2844,1874,4439,3985,10877,344,726,26769,84654
POA3031,1822,3591,3,25,112,554,14,69,1118,4119,1253,4769,45,196,113,397,133,424,294,1012,1542,5783,16,72,55,223,15,69,277,733,366,1100,27,82,85,202,238,512,350,799,713,1900,170,371,4253,11645
POA3032,2855,5668,23,136,247,1110,35,151,1915,7154,2221,8546,149,625,345,1221,516,1683,1011,3530,3236,12081,8,22,49,183,23,80,357,923,432,1214,41,129,161,365,364,798,566,1293,1001,2507,270,564,7362,20816
POA3033,1441,2876,14,99,170,771,31,133,971,3759,1192,4761,118,510,188,663,486,1589,790,2756,1981,7521,3,7,44,136,8,31,159,422,222,604,37,121,71,174,301,642,413,935,630,1533,63,133,4112,12066
POA3034,1192,2410,26,137,126,551,31,127,677,2645,854,3458,89,384,138,492,414,1350,644,2228,1501,5690,0,4,22,78,11,43,123,328,157,456,30,97,54,122,268,599,351,818,512,1270,59,118,3258,9489
POA3036,609,1211,21,110,80,365,18,69,347,1363,464,1911,75,309,111,402,199,629,384,1343,841,3254,3,10,17,61,0,3,65,167,83,245,18,51,25,59,88,191,128,300,209,546,18,28,1673,5036
POA3037,3026,6161,151,874,961,4438,219,1014,4245,16762,5571,23092,566,2464,689,2515,1424,4816,2682,9788,8253,32884,35,143,163,618,79,288,640,1781,915,2836,150,503,220,518,697,1600,1067,2623,1982,5459,181,409,13442,44909
POA3038,2274,4543,77,436,396,1812,94,447,1470,5830,2039,8528,441,1890,479,1722,1254,4132,2178,7753,4218,16278,20,119,84,311,25,103,259,709,391,1245,81,271,119,299,491,1119,692,1690,1084,2934,109,236,7683,23986
POA3039,1358,2681,12,70,179,805,9,34,967,3634,1165,4543,100,401,185,660,276,876,559,1944,1730,6491,0,10,16,46,6,20,114,274,139,359,14,45,51,117,194,429,259,599,401,951,100,210,3587,10331
POA3040,2201,4352,34,202,425,1908,34,150,1627,6221,2127,8482,269,1142,458,1670,581,1845,1309,4659,3434,13134,3,11,54,183,8,27,240,616,305,826,48,163,123,269,338,727,513,1162,814,1993,151,316,6602,19799
POA3041,1097,2187,18,91,218,991,27,148,849,3314,1117,4547,132,551,199,726,309,982,640,2254,1750,6804,3,9,31,96,3,15,94,224,126,346,17,58,56,122,179,393,254,573,385,914,69,149,3303,10050
POA3042,1551,3084,12,77,161,734,27,136,1075,4091,1281,5045,117,489,148,530,418,1365,688,2386,1969,7426,10,40,48,147,14,41,179,467,247,693,41,117,91,196,368,819,497,1132,744,1828,111,227,4371,12566
POA3043,1737,3495,30,178,175,808,47,210,1034,3965,1283,5164,125,548,165,587,549,1768,846,2898,2122,8065,9,33,44,173,22,77,280,766,355,1043,48,157,96,211,419,921,560,1294,917,2340,83,182,4868,14087
POA3044,2342,4674,34,180,317,1420,52,239,2060,7714,2462,9558,216,923,308,1101,516,1698,1043,3720,3502,13282,9,49,61,219,24,77,298,756,389,1092,57,190,114,270,426,902,593,1357,985,2445,187,396,7018,20798
POA3045,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
POA3046,3113,6292,79,491,304,1476,73,329,2336,8904,2789,11201,197,837,265,915,722,2368,1177,4113,3972,15318,15,78,90,343,42,165,421,1110,569,1695,72,241,152,353,666,1477,888,2072,1457,3761,230,489,8766,25864
POA3047,1085,2228,90,568,277,1427,94,501,1202,5040,1662,7540,139,639,123,433,432,1495,691,2564,2356,10106,29,144,91,382,55,209,366,1128,546,1869,69,225,80,195,514,1183,666,1599,1212,3466,130,287,4786,16087
POA3048,895,1810,84,514,300,1573,103,506,1025,4328,1516,6923,185,830,200,713,512,1749,894,3293,2413,10219,28,155,75,315,47,189,304,925,461,1584,63,221,92,240,469,1093,630,1552,1095,3135,83,175,4473,15339
POA3049,798,1602,18,114,107,496,25,132,510,2014,656,2747,118,524,104,364,343,1145,570,2038,1227,4786,11,42,45,154,15,63,127,360,196,610,42,135,50,114,214,474,304,727,493,1342,42,87,2560,7807
POA3050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3
POA3051,1343,2622,4,32,75,403,8,29,510,1883,596,2347,23,97,86,299,69,203,186,600,778,2943,3,24,33,121,13,38,179,461,233,643,24,87,69,154,104,236,206,468,438,1112,139,302,2698,6984
POA3052,519,1038,3,11,21,107,0,0,187,661,211,786,19,64,33,101,41,114,88,284,301,1069,5,7,4,11,0,0,25,64,33,86,0,9,24,55,34,70,65,129,91,218,43,91,957,2416
POA3053,1273,2471,4,37,52,291,11,40,310,1153,379,1528,15,61,42,146,65,197,128,400,505,1927,3,14,40,140,7,22,137,404,184,573,20,59,78,168,130,275,221,510,405,1082,306,638,2488,6110
POA3054,932,1808,3,15,42,182,3,20,412,1480,467,1698,26,96,83,288,82,240,193,627,658,2322,0,0,13,40,3,9,82,190,95,232,12,25,42,93,77,166,134,291,228,522,51,111,1865,4767
POA3055,1450,2862,6,26,90,425,15,68,808,2985,925,3509,53,221,113,389,214,703,379,1310,1300,4820,3,21,23,87,4,4,148,364,178,479,20,46,55,117,210,454,283,615,461,1092,113,231,3327,9013
POA3056,2812,5539,21,102,101,440,14,58,1211,4359,1349,4958,72,319,154,493,269,870,500,1679,1846,6634,3,20,23,68,4,16,186,425,213,530,19,48,87,196,289,638,397,882,609,1408,209,440,5469,14025
POA3057,1418,2800,0,11,62,264,5,27,569,1986,637,2292,25,105,70,244,124,387,228,740,861,3029,4,14,19,56,3,9,108,247,134,321,6,29,40,85,126,281,179,398,311,721,97,209,2696,6759
POA3058,3080,6100,45,262,302,1387,74,313,2378,8894,2795,10849,205,895,271,956,690,2267,1172,4113,3962,14960,7,23,64,212,9,44,327,811,406,1094,48,150,107,236,623,1357,777,1743,1181,2834,219,460,8438,24355
POA3059,1098,2189,57,336,296,1406,59,270,1043,4158,1454,6168,262,1159,277,1019,660,2232,1203,4404,2657,10576,8,22,44,172,16,63,135,384,195,639,48,153,40,89,186,424,269,665,469,1309,43,87,4264,14154
POA3060,986,2007,43,237,184,964,37,168,992,4084,1253,5462,88,411,93,325,334,1127,517,1865,1765,7322,12,49,40,155,12,48,146,430,214,679,27,91,52,118,308,691,382,895,593,1576,84,179,3432,11083
POA3061,361,721,25,165,69,396,27,135,260,1151,378,1842,57,265,36,131,167,582,255,973,637,2822,7,46,11,53,4,26,59,173,88,301,11,38,13,38,107,238,130,314,216,618,25,54,1235,4217
POA3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3063,42,86,0,3,14,54,0,8,38,154,55,221,7,26,15,57,14,63,39,145,92,369,0,0,0,5,0,0,7,11,7,19,0,0,0,4,5,23,10,26,16,46,0,0,149,499
POA3064,4155,8500,339,2027,1305,6630,349,1718,6709,26806,8697,37179,702,3158,781,2814,1665,5740,3151,11710,11851,48888,78,366,261,1003,137,510,1109,3206,1581,5086,207,711,267,640,990,2332,1464,3690,3044,8768,245,543,19294,66697
POA3065,1160,2256,0,12,34,162,11,53,378,1380,425,1616,10,39,55,188,53,165,125,388,546,2002,6,22,20,73,9,31,156,446,193,568,14,47,48,103,113,248,173,396,363,963,70,147,2141,5373
POA3066,1077,2094,5,18,28,117,3,16,280,1022,311,1177,5,31,15,59,33,115,64,202,375,1377,3,28,22,101,4,15,164,453,193,594,7,15,51,118,87,186,148,327,343,919,77,159,1863,4553
POA3067,1164,2281,0,7,25,111,4,10,327,1148,353,1274,21,85,43,141,75,248,139,470,489,1742,0,6,9,27,0,3,43,99,58,135,5,12,30,66,66,134,104,208,154,342,81,171,1886,4539
POA3068,2063,4025,3,21,131,587,14,54,1094,4086,1240,4748,53,207,164,534,183,557,400,1297,1642,6042,4,22,28,104,10,31,155,395,196,549,20,69,85,180,197,421,308,669,501,1224,103,209,4308,11499
POA3070,2282,4474,15,73,256,1141,22,98,1659,6239,1951,7552,119,493,275,972,342,1071,732,2530,2690,10081,4,16,51,156,10,39,247,593,305,799,28,74,99,213,325,702,446,994,759,1791,152,320,5878,16665
POA3071,1756,3469,11,65,143,626,19,106,1290,4785,1463,5586,71,318,144,512,280,886,498,1713,1967,7302,5,24,24,82,9,29,207,511,245,640,23,67,82,192,245,524,347,784,593,1428,121,253,4436,12451
POA3072,2940,5887,38,237,305,1396,47,214,2118,7928,2512,9776,174,741,262,934,595,1952,1031,3625,3545,13406,10,52,52,188,29,95,380,953,473,1297,67,213,142,323,597,1332,803,1859,1277,3156,249,530,8013,22970
POA3073,4606,9263,60,310,415,1971,119,563,3239,12162,3832,15006,264,1119,350,1256,1073,3543,1687,5917,5519,20923,29,128,115,387,70,239,711,1860,920,2613,96,324,237,543,1082,2388,1418,3254,2344,5863,375,792,12845,36842
POA3074,1920,3882,60,348,196,988,61,283,1111,4379,1428,5995,145,621,167,595,822,2703,1130,3917,2555,9916,11,69,69,256,47,176,318,905,449,1412,50,162,84,205,553,1227,687,1595,1133,3010,134,284,5740,17079
POA3075,2043,4144,65,416,267,1342,77,375,1415,5457,1824,7584,155,708,176,630,694,2272,1027,3607,2846,11194,10,52,71,293,46,172,336,938,467,1462,73,267,81,206,536,1212,698,1676,1159,3138,135,292,6191,18768
POA3076,2263,4594,65,358,409,1997,126,571,2721,10541,3317,13463,276,1204,314,1140,879,2937,1474,5280,4797,18745,14,71,88,327,54,187,513,1424,669,2003,83,257,141,324,554,1273,777,1854,1447,3863,130,279,8634,27472
POA3078,1101,2185,9,60,129,567,5,21,754,2856,896,3509,78,334,164,583,180,579,420,1499,1318,5006,0,0,12,49,0,3,97,221,113,272,18,59,50,125,140,297,213,490,327,758,55,107,2794,8050
POA3079,1457,2875,13,47,225,1010,24,89,1104,4194,1356,5350,142,569,331,1189,372,1172,841,2930,2202,8273,3,16,35,89,9,36,129,303,174,446,25,87,82,179,226,477,339,748,511,1193,86,188,4256,12532
POA3081,1025,2056,25,160,96,546,21,95,767,2944,912,3744,49,200,93,343,220,702,358,1245,1276,4988,7,45,45,178,25,106,249,680,334,1006,37,114,95,214,330,741,457,1061,793,2068,126,269,3213,9373
POA3082,2326,4686,71,389,417,1914,96,443,1745,6804,2334,9553,414,1750,451,1613,1235,4092,2094,7456,4428,17011,16,63,74,276,30,122,381,1056,505,1517,91,289,124,298,577,1298,795,1878,1295,3394,140,305,8194,25404
POA3083,2850,5740,49,278,365,1668,72,332,1830,6968,2317,9243,246,1031,360,1285,803,2601,1405,4914,3725,14163,11,42,68,212,29,100,284,763,390,1123,48,166,125,319,508,1111,685,1598,1074,2723,183,389,7837,23016
POA3084,2441,4819,32,160,300,1345,34,144,1956,7575,2322,9217,225,936,407,1443,601,1858,1233,4244,3551,13461,6,35,59,190,11,35,235,577,315,842,47,149,128,282,353,733,526,1169,847,2002,117,242,6952,20531
POA3085,1263,2528,15,72,159,713,19,83,1099,4187,1282,5056,107,439,208,698,287,908,598,2049,1887,7107,3,3,33,93,15,51,152,373,192,520,21,67,81,170,210,453,315,690,509,1204,50,107,3706,10945
POA3086,0,0,0,0,0,0,0,0,7,16,7,16,0,0,0,0,0,0,0,0,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16
POA3087,887,1773,20,112,97,432,20,72,655,2482,787,3102,66,276,86,319,237,772,393,1372,1186,4470,4,26,18,67,9,31,119,310,151,434,28,86,42,108,203,437,274,628,424,1058,48,102,2539,7404
POA3088,2594,5156,35,186,333,1500,65,310,1991,7597,2420,9592,262,1117,335,1190,794,2550,1393,4854,3809,14446,10,40,71,232,20,71,351,909,444,1247,60,191,132,300,439,922,630,1413,1074,2662,103,206,7581,22469
POA3089,923,1826,25,133,206,947,56,231,833,3281,1117,4589,164,686,187,684,410,1322,759,2691,1873,7282,8,30,29,95,10,35,128,330,170,492,38,112,60,134,189,414,285,669,453,1159,23,51,3277,10319
POA3090,176,344,9,34,57,273,8,50,159,643,231,1004,34,152,59,213,96,318,188,692,422,1694,0,13,5,18,0,6,10,14,15,55,0,3,0,4,21,47,24,57,38,108,9,12,640,2164
POA3091,134,279,4,25,35,165,3,10,80,335,123,534,31,126,24,91,71,235,118,445,250,981,0,0,0,3,5,20,7,20,11,46,0,3,0,0,13,33,15,39,26,83,7,14,423,1354
POA3093,413,807,6,47,49,230,8,51,240,925,307,1245,35,152,52,181,102,307,189,643,496,1889,4,16,3,15,0,0,32,79,39,109,9,33,12,27,60,115,82,175,121,286,21,42,1047,3034
POA3094,918,1823,11,57,104,464,3,21,683,2639,805,3179,76,321,99,346,208,670,381,1340,1182,4519,0,6,26,77,9,32,130,307,161,426,29,78,42,99,157,332,226,514,390,937,28,59,2521,7334
POA3095,2418,4788,51,289,421,1912,75,311,2072,8130,2611,10637,374,1577,487,1755,974,3116,1831,6445,4445,17088,11,39,76,251,17,62,242,632,345,979,56,176,137,301,337,719,530,1199,876,2178,58,119,7804,24173
POA3096,157,307,6,40,40,189,4,29,107,399,155,653,31,130,35,133,68,220,131,484,288,1139,0,0,4,8,0,8,25,73,32,86,5,17,11,25,18,41,37,81,64,174,3,13,515,1621
POA3097,148,293,3,11,36,152,6,20,83,352,122,536,13,58,33,112,25,86,75,259,201,796,0,0,0,16,0,5,16,34,19,54,3,3,3,4,6,8,9,24,31,73,3,5,375,1171
POA3099,461,909,12,52,88,426,19,88,306,1210,429,1786,45,201,69,245,162,519,283,962,711,2751,0,9,14,41,5,29,56,148,78,229,10,42,20,46,63,132,93,221,175,446,8,15,1350,4122
POA3101,2190,4318,28,154,354,1587,14,46,1479,5693,1868,7487,237,975,460,1581,423,1300,1117,3852,2990,11338,4,7,66,217,7,18,234,566,310,812,47,153,164,362,280,597,487,1108,796,1919,157,329,6129,17908
POA3102,526,1049,3,20,119,537,3,22,502,1970,634,2555,65,255,141,502,138,427,337,1178,973,3736,0,3,19,56,3,6,69,170,83,235,12,36,48,102,80,178,140,310,229,550,24,54,1750,5386
POA3103,1300,2561,16,101,276,1220,22,82,874,3316,1190,4711,174,731,380,1350,335,1048,889,3125,2078,7840,4,18,64,207,6,27,200,513,272,763,23,80,145,335,201,427,365,843,643,1605,91,201,4112,12219
POA3104,1465,2918,34,172,447,1985,32,132,1355,5294,1865,7590,256,1059,547,1956,536,1689,1341,4714,3204,12296,0,14,104,342,9,21,187,502,300,888,42,139,144,350,275,583,460,1074,763,1960,84,184,5522,17361
POA3105,1193,2387,7,49,133,603,12,60,651,2487,805,3206,106,452,206,738,356,1162,675,2348,1484,5557,4,19,15,53,10,25,87,237,116,336,23,62,52,122,201,437,277,619,388,960,44,98,3113,8995
POA3106,1681,3367,27,131,227,1032,33,156,984,3859,1279,5183,230,956,314,1123,627,2013,1176,4097,2451,9281,6,39,35,116,10,40,140,369,194,564,30,84,79,180,216,472,324,740,516,1303,56,118,4709,14068
POA3107,1358,2717,8,45,159,716,26,100,969,3672,1163,4529,116,496,212,772,425,1350,762,2608,1918,7141,0,4,33,126,7,20,148,370,188,520,34,96,69,170,235,514,335,775,527,1295,56,129,3861,11277
POA3108,2373,4731,18,81,224,992,25,127,1183,4405,1455,5603,168,712,344,1169,590,1851,1097,3734,2552,9335,5,24,61,182,3,12,217,516,283,735,48,134,143,335,379,819,566,1288,848,2023,125,272,5903,16368
POA3109,2720,5412,36,168,396,1759,47,199,2009,7623,2484,9748,301,1258,570,2036,841,2680,1712,5976,4197,15719,11,34,62,232,11,38,297,740,380,1050,58,188,181,447,459,978,702,1607,1079,2658,131,281,8121,24072
POA3111,1150,2269,21,99,188,846,22,92,774,3063,1000,4096,145,608,225,819,380,1239,753,2659,1751,6755,3,21,18,70,5,27,118,301,146,421,22,76,58,143,166,362,252,579,405,1001,40,89,3343,10114
POA3113,723,1438,21,97,188,836,22,107,598,2373,824,3413,116,464,165,573,248,795,523,1823,1348,5239,3,20,16,58,5,16,57,147,83,237,21,59,30,80,89,197,144,342,232,581,17,29,2317,7283
POA3114,290,575,12,53,104,503,12,38,233,968,357,1561,72,320,104,382,127,396,301,1101,659,2662,0,0,8,25,0,12,18,38,29,74,3,11,3,17,35,79,46,109,76,185,6,12,1033,3435
POA3115,346,691,10,50,79,355,13,51,229,905,333,1365,78,315,81,283,145,478,293,1071,625,2439,0,3,10,35,3,11,22,61,38,114,3,8,22,49,28,54,51,113,86,227,5,15,1070,3372
POA3116,1044,2060,26,130,127,596,26,105,639,2483,817,3320,110,443,128,447,281,925,512,1816,1329,5130,3,10,33,122,17,46,91,254,141,435,29,84,55,137,163,374,249,599,387,1028,41,87,2795,8313
POA3121,3782,7410,0,7,132,588,23,95,1318,4710,1473,5407,87,352,172,597,295,955,561,1907,2033,7311,8,24,66,217,10,46,291,742,372,1027,43,131,149,331,419,894,607,1356,983,2386,270,559,7071,17668
POA3122,2508,4930,19,95,221,992,11,55,1286,4777,1534,5922,100,407,267,930,265,798,632,2127,2167,8055,4,13,22,79,3,11,136,342,172,448,23,76,104,248,173,339,302,662,473,1105,222,452,5364,14541
POA3123,1489,2918,14,62,161,719,3,18,929,3534,1101,4332,77,310,213,744,174,537,459,1587,1564,5921,0,5,25,94,0,4,136,313,166,425,14,53,67,156,139,286,218,490,389,917,111,219,3549,9973
POA3124,1915,3807,30,140,358,1626,25,101,1479,5775,1885,7637,199,839,475,1718,430,1296,1105,3848,2993,11489,6,27,59,190,13,37,176,440,251,696,60,182,131,284,226,478,417,939,663,1632,110,230,5675,17157
POA3125,1146,2303,13,66,138,608,14,75,792,2976,958,3720,69,292,189,655,227,682,489,1627,1444,5343,7,38,38,122,7,26,107,277,161,460,29,94,105,233,211,452,340,776,502,1239,110,249,3214,9133
POA3126,737,1461,4,24,152,695,12,59,486,1955,658,2733,96,408,227,823,172,523,493,1753,1147,4487,0,3,23,84,4,23,56,157,95,271,17,44,45,106,56,113,116,268,206,538,30,59,2124,6541
POA3127,1540,3052,18,93,317,1441,21,88,1347,5170,1703,6797,186,778,430,1521,414,1265,1028,3572,2729,10366,3,16,42,132,4,10,143,321,190,483,40,124,100,229,188,400,334,756,522,1243,79,162,4875,14813
POA3128,1729,3461,10,56,227,1010,14,76,1160,4276,1410,5411,122,509,259,892,308,972,682,2375,2093,7790,3,16,40,134,4,24,217,523,272,696,36,116,155,355,288,609,478,1076,755,1775,163,347,4745,13372
