POA_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
POA3039,63,100,40,52,59,15,0,6,0,338,86,93,59,67,108,48,13,12,5,494,113,60,312,85,99,67,31,50,12,836,4,3,3,3,6,11,3,6,0,43,7,10,9,22,27,17,3,9,0,100,8,27,4,5,10,0,4,0,3,60,8,20,11,8,16,8,3,3,4,97,1063,2318,543,449,734,307,85,155,76,5720
POA3040,122,198,63,86,116,50,12,33,8,681,166,164,95,126,152,63,14,36,11,822,238,91,642,176,193,124,67,91,22,1645,16,7,0,21,20,21,3,11,0,100,33,20,6,44,55,38,10,10,4,215,9,37,11,15,24,7,0,3,7,107,25,41,21,14,19,16,4,12,24,174,1767,3923,1004,794,1290,596,172,337,157,10038
POA3041,57,92,24,36,59,10,3,9,5,302,85,93,45,62,71,31,3,11,3,402,128,66,359,102,109,64,50,67,7,947,3,4,4,6,10,5,0,3,0,49,7,17,7,22,27,19,3,5,3,110,5,17,5,4,6,10,0,3,0,46,15,18,17,14,18,5,4,10,5,109,779,1643,538,377,588,263,84,150,65,4478
POA3042,60,84,51,55,69,26,12,11,4,368,117,94,69,106,135,59,13,33,12,647,147,60,589,139,159,95,100,118,14,1420,8,3,5,13,17,14,3,6,3,70,19,11,7,34,33,18,5,12,5,146,7,17,9,8,10,3,4,9,0,55,10,21,21,15,23,14,12,15,7,134,755,1475,824,494,697,352,177,232,88,5096
POA3043,41,78,40,58,89,25,22,16,8,384,74,76,63,107,124,57,36,27,3,568,134,70,649,198,188,95,129,155,30,1656,5,3,12,14,22,12,13,15,6,100,22,11,11,50,43,27,4,18,0,190,7,4,3,5,10,6,6,8,0,49,15,18,18,28,34,21,16,20,20,192,527,1126,871,577,750,333,275,308,79,4853
POA3044,96,161,70,74,108,62,21,17,6,621,129,190,137,172,179,82,16,39,7,954,203,96,832,233,221,102,100,150,30,1961,6,11,4,12,16,11,0,11,0,75,23,19,26,32,64,30,9,7,3,222,13,31,12,9,13,13,8,0,3,92,12,28,30,33,31,16,12,10,32,201,1295,3374,1300,880,1294,557,248,366,142,9461
POA3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,0,0,0,0,0,17
POA3046,78,120,116,111,97,51,37,43,9,657,146,136,215,229,177,91,52,86,15,1151,161,92,942,303,216,131,162,201,35,2254,14,11,9,17,27,13,14,18,0,132,20,21,24,39,44,23,21,23,4,221,16,27,20,19,16,11,19,9,3,146,19,33,38,43,53,29,38,50,38,345,1012,2758,1699,1180,1226,594,531,755,163,9927
POA3047,22,27,45,30,28,20,23,39,6,242,22,40,71,135,46,26,29,38,11,414,38,29,341,190,74,43,114,125,18,979,8,0,7,8,12,7,16,15,0,81,13,4,9,35,5,11,19,14,0,111,5,7,10,4,3,0,14,5,0,55,3,14,37,42,20,13,29,30,14,196,226,521,606,639,300,202,340,390,75,3315
POA3048,10,24,18,47,27,18,27,16,3,193,17,28,39,115,50,30,22,18,15,340,47,24,295,179,70,61,113,108,12,904,5,0,8,18,6,10,4,12,0,64,3,3,14,25,18,0,19,12,0,93,6,7,4,3,8,4,7,0,3,41,8,12,19,17,17,12,26,33,14,154,167,459,445,501,303,179,281,255,58,2642
POA3049,29,53,11,25,42,22,12,12,0,207,53,57,34,64,79,34,6,6,3,339,77,41,421,109,109,45,94,93,14,1015,8,6,3,6,11,9,0,4,0,56,12,14,3,18,25,8,4,6,0,97,4,5,0,3,8,3,3,5,0,36,11,4,13,18,17,6,13,15,9,100,285,640,525,337,393,172,167,160,38,2719
POA3050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,3,5,0,0,0,0,19
POA3051,24,68,34,23,37,20,6,9,3,226,40,51,41,76,48,39,7,17,0,314,35,28,120,80,39,37,13,30,3,384,0,3,0,18,8,3,3,3,0,38,6,13,6,16,6,11,0,9,0,66,3,16,5,4,3,3,0,3,0,45,13,21,5,14,7,12,3,13,9,98,689,2706,351,481,579,344,70,186,74,5476
POA3052,11,27,9,11,10,4,3,0,0,89,19,17,12,28,9,4,0,5,0,96,11,6,37,29,22,14,5,15,3,148,0,4,0,3,0,0,0,0,0,15,0,0,0,6,3,3,3,4,0,18,8,5,0,0,3,0,0,0,0,20,0,0,0,0,3,0,0,3,8,22,262,1192,115,195,224,123,29,79,41,2262
POA3053,30,26,16,28,26,19,3,8,0,160,35,60,55,72,32,27,10,16,3,307,24,33,100,59,34,39,12,28,3,322,0,3,0,8,5,8,0,3,0,25,4,4,9,15,13,11,4,10,0,65,8,18,3,6,3,9,3,3,0,53,13,15,3,13,5,10,3,12,15,84,587,2384,315,498,539,318,65,180,63,4936
POA3054,32,54,9,22,27,18,6,5,0,176,33,59,16,25,24,20,4,8,0,187,31,19,92,35,28,27,9,13,4,260,0,0,3,3,9,6,0,3,0,22,8,8,3,14,8,4,0,4,0,51,3,11,4,3,3,4,0,0,0,28,3,17,3,9,11,0,0,0,5,43,594,2231,211,294,439,206,37,67,61,4145
POA3055,44,75,46,49,47,33,8,18,10,327,55,86,67,81,61,36,11,27,7,434,82,56,308,105,89,36,35,48,12,773,0,3,6,12,20,3,3,4,0,60,10,8,18,14,19,5,3,9,0,85,6,22,9,7,3,3,3,4,0,56,12,22,13,8,11,12,3,14,18,116,747,2519,638,564,704,340,111,237,97,5973
POA3056,81,160,80,79,80,54,10,22,0,552,105,158,109,120,113,63,16,35,10,731,129,109,439,152,125,79,43,78,24,1178,4,8,7,18,7,9,5,6,3,68,14,30,17,33,25,20,0,14,0,160,6,45,12,6,16,3,4,4,5,106,21,44,13,22,23,8,0,16,28,176,1596,5512,1009,973,1240,609,148,350,169,11596
POA3057,46,81,29,39,32,23,4,10,3,274,57,94,53,56,58,36,4,6,7,367,73,54,198,76,71,51,23,41,7,612,3,5,9,16,15,3,0,3,0,52,9,11,3,5,18,9,0,3,0,67,3,14,4,3,3,3,0,0,0,37,9,20,4,3,11,3,5,3,13,73,822,2761,450,474,627,332,68,156,70,5752
POA3058,115,202,97,87,101,65,21,32,11,732,151,207,168,172,203,76,24,71,11,1089,201,144,724,252,213,137,105,149,28,1953,9,10,10,16,25,13,3,12,0,103,22,18,22,53,54,23,8,15,0,225,5,42,17,14,17,5,6,11,3,113,25,37,34,22,20,31,5,21,46,250,1667,5128,1386,1154,1414,716,290,540,199,12497
POA3059,85,80,52,37,74,38,17,11,6,409,107,71,62,91,126,50,15,19,13,540,163,55,625,130,148,81,108,123,31,1474,6,4,0,14,26,12,3,8,0,79,23,7,18,17,53,22,15,13,8,172,11,14,5,0,15,4,10,9,0,65,10,16,24,15,34,30,9,13,7,167,748,1181,859,404,720,373,205,234,98,4819
POA3060,22,31,40,27,31,7,11,11,3,199,38,43,55,65,45,25,35,27,4,335,48,24,282,107,59,36,55,76,10,690,3,3,3,9,4,3,3,5,0,39,4,5,16,19,21,16,7,11,0,98,7,14,0,9,3,8,10,0,0,51,9,12,20,14,16,10,14,19,16,127,293,849,534,437,322,193,220,243,72,3167
POA3061,4,3,3,10,10,3,3,3,3,48,6,11,12,34,9,10,14,6,5,102,13,12,107,31,22,20,25,33,3,266,0,0,4,3,5,3,0,0,0,10,0,0,3,9,0,3,3,4,0,29,0,0,3,0,0,0,0,0,0,11,4,6,11,8,3,0,0,3,3,36,44,112,164,129,87,49,66,65,16,745
POA3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3063,0,0,0,0,0,0,0,0,0,8,5,5,3,0,4,4,0,0,0,24,20,0,32,8,5,3,7,3,3,83,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,5,46,44,36,10,11,9,5,8,9,182
POA3064,175,199,233,222,212,84,156,106,15,1406,247,269,324,632,422,209,243,185,35,2569,433,191,2068,873,594,330,660,585,89,5835,21,12,32,61,67,42,46,51,0,333,40,26,57,147,111,55,88,71,7,606,26,62,37,48,40,24,35,37,8,311,49,44,98,90,74,67,88,80,74,656,1784,3860,3251,2839,2518,1274,1785,1483,338,19136
POA3065,40,63,9,21,25,15,4,3,5,196,30,69,31,41,27,32,7,17,0,252,52,35,95,64,36,23,13,26,4,356,4,3,0,6,4,0,6,3,0,29,6,5,8,16,10,8,0,0,0,53,7,14,3,3,7,0,0,0,0,30,9,11,6,10,6,4,3,9,6,73,746,2265,254,352,377,233,54,88,69,4444
POA3066,38,59,22,17,20,14,0,12,0,181,46,74,28,33,30,25,4,11,3,259,63,34,132,58,43,29,4,24,6,396,3,3,0,10,10,3,0,6,0,28,4,7,6,14,10,8,0,0,0,59,3,11,0,3,0,0,0,0,0,23,5,9,4,8,3,8,3,3,9,58,608,1851,293,312,363,209,19,90,69,3814
POA3067,50,72,19,16,24,13,4,7,3,207,62,59,32,58,49,25,3,12,0,305,56,34,135,63,43,28,7,20,3,389,5,4,0,4,4,4,0,3,0,27,3,8,5,14,8,8,3,3,0,53,8,12,3,3,7,3,0,4,0,41,11,13,11,7,3,3,0,8,5,56,712,2037,315,328,409,225,40,100,63,4236
POA3068,62,128,40,53,55,28,0,7,8,374,72,110,59,59,58,37,9,12,9,430,80,55,268,97,91,50,22,21,12,685,3,3,3,12,9,7,0,4,0,41,11,18,10,7,19,6,4,9,4,89,11,23,8,9,12,3,0,3,0,65,8,26,14,8,10,3,3,3,7,85,1499,4689,606,599,823,376,62,125,146,8926
POA3070,77,177,69,65,86,45,9,17,5,546,98,164,92,121,111,66,8,19,5,682,120,90,415,162,133,73,35,69,12,1105,6,11,12,11,14,7,3,6,3,71,11,24,10,28,23,17,3,3,3,129,11,32,11,6,7,8,0,3,3,81,18,29,18,14,17,14,5,8,31,153,1803,5376,859,849,1117,518,111,215,161,11004
POA3071,74,127,63,48,48,41,13,23,6,459,91,103,102,119,87,46,6,24,8,597,100,86,372,114,120,78,35,73,9,982,4,9,11,19,11,3,3,10,0,68,22,11,12,27,29,24,7,4,0,133,9,17,14,6,7,5,0,9,0,67,14,24,16,15,6,9,3,20,16,118,1136,3366,775,729,843,451,135,284,95,7814
POA3072,112,179,84,95,112,75,28,44,17,735,165,180,147,225,185,98,31,61,15,1110,186,132,729,271,200,157,98,149,25,1953,17,9,6,34,30,17,0,15,0,129,26,22,17,50,58,19,13,21,0,219,16,36,11,15,14,13,4,9,5,121,19,36,44,31,19,29,18,38,28,253,1460,4391,1329,1243,1392,740,286,554,154,11557
POA3073,126,181,172,136,184,91,56,65,22,1033,181,224,263,332,265,131,71,140,10,1622,258,148,1298,440,326,226,233,326,52,3308,6,10,11,25,44,24,12,41,4,179,25,23,33,79,90,41,21,42,4,365,13,38,24,13,22,11,16,23,3,166,34,43,66,69,52,47,48,68,57,476,1491,4240,2302,1662,1919,970,679,1135,245,14654
