POA_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
POA3013,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0,0,20,0,0,0,7,3,3,0,0,0,16,0,3,5,114,23,17,0,0,0,172,0,0,0,7,0,0,3,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,3,0,7,20,9,7,6,0,0,56,0,0,0,6,0,0,4,6,5,19,0,0,0,20,14,6,5,3,0,51,0,0,0,13,3,0,0,0,0,16,0,0,0,23,3,0,0,0,0,23,0,0,0,0,5,5,0,3,0,13,0,0,3,8,3,0,3,3,0,15,0,0,0,13,3,0,0,0,0,19,5,0,3,18,0,0,0,0,0,30,0,0,0,5,13,17,21,16,3,84,0,0,0,0,0,0,0,0,0,3,0,4,4,24,9,3,0,0,0,40
POA3015,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,6,0,0,0,5,3,0,3,0,3,17,3,4,16,135,55,17,0,0,4,232,0,0,0,5,0,3,0,0,0,8,0,0,0,3,0,0,0,0,0,5,0,0,0,3,3,0,0,0,0,3,0,3,4,34,5,13,4,0,0,60,0,0,0,11,3,7,3,3,13,43,0,0,0,17,7,7,9,3,0,45,0,0,0,10,3,0,0,0,0,21,0,0,0,26,8,3,0,0,0,38,0,0,0,0,7,5,3,9,0,21,0,0,0,6,5,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,3,0,0,18,0,0,0,9,11,17,19,14,0,60,0,0,0,0,0,0,0,0,0,0,0,6,3,28,3,3,0,0,0,48
POA3016,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,3,0,0,0,0,5,3,9,3,0,12,6,11,9,50,14,24,11,0,0,128,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,3,0,0,0,18,3,9,7,0,0,35,0,0,0,3,0,4,0,0,3,9,0,7,3,11,6,14,16,4,4,60,0,3,4,6,0,3,0,0,0,15,0,0,5,20,10,3,0,0,0,42,0,0,0,0,5,5,0,0,0,11,0,0,0,0,4,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,8,3,0,0,0,0,21,0,0,0,6,7,10,0,4,0,33,0,0,0,3,3,0,0,0,0,4,0,7,3,18,14,14,5,0,0,56
POA3018,0,0,0,0,3,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,7,5,3,20,0,7,7,75,24,20,6,3,0,142,0,0,0,0,3,3,3,0,0,9,0,0,0,5,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,3,0,4,8,29,19,13,12,0,0,79,0,0,0,12,0,3,0,4,3,25,0,0,0,9,9,8,14,9,7,56,0,3,3,5,3,0,0,0,0,11,0,0,0,11,8,6,0,0,4,31,0,0,0,3,3,3,3,0,0,11,0,0,0,7,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,16,10,0,0,0,0,25,0,0,0,0,3,3,4,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,5,6,0,0,31
POA3019,0,0,4,0,0,0,0,0,0,3,0,24,22,81,9,0,0,0,0,141,0,0,6,7,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,5,10,21,3,3,3,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,7,15,49,23,15,17,0,0,133,0,0,0,3,3,0,4,4,5,19,0,0,0,0,0,4,3,0,0,3,0,0,3,7,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,3,8,12,0,3,0,0,3,28,0,0,0,8,0,0,0,0,0,8,0,0,0,11,6,0,0,0,0,12,0,0,0,0,5,4,0,0,0,7,0,0,0,4,8,5,3,0,0,14,0,0,0,3,0,0,0,0,0,4
POA3020,0,0,0,11,0,0,3,0,0,12,4,50,67,229,28,9,4,3,0,392,0,3,39,94,0,3,0,0,0,140,0,0,0,4,0,3,6,3,3,18,12,67,69,130,27,18,11,4,0,330,0,0,0,0,0,0,6,3,0,11,4,9,7,50,3,0,0,0,0,68,0,5,4,8,3,0,0,0,0,17,4,15,44,213,93,93,41,6,6,521,0,0,4,24,14,38,23,21,28,158,0,0,0,0,7,3,16,14,3,44,0,0,9,9,5,0,3,0,0,30,0,0,0,3,0,0,0,0,0,4,0,0,0,0,4,9,16,13,4,48,0,19,21,75,13,8,6,5,3,144,0,0,5,20,0,3,0,0,0,31,0,16,20,66,9,3,0,0,0,119,0,0,0,31,20,51,76,25,8,212,0,0,3,25,13,16,11,0,3,69,0,6,0,9,0,0,0,0,0,21
POA3021,0,0,0,8,3,9,5,0,3,30,0,17,37,90,19,6,3,0,0,173,0,0,13,51,3,0,0,0,0,72,0,0,0,3,0,7,16,9,3,35,27,124,122,162,35,27,11,3,0,506,0,0,0,3,0,5,3,4,0,19,8,8,24,83,8,4,0,0,0,138,0,3,4,13,0,0,0,0,0,16,9,44,64,310,147,149,86,26,8,848,0,0,3,17,12,35,44,36,31,176,0,0,0,4,3,15,14,8,0,44,0,0,0,13,0,0,0,0,0,17,0,0,0,4,4,3,0,0,0,8,0,0,0,13,19,33,30,37,15,153,0,5,17,65,30,20,14,11,3,156,0,0,0,7,0,3,0,0,0,11,0,0,15,42,22,4,3,0,0,92,0,6,6,55,68,185,142,59,6,527,0,3,3,16,16,14,15,3,0,74,0,5,9,9,4,0,0,0,0,21
POA3022,0,0,0,0,0,3,0,0,0,5,0,0,0,4,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,10,9,19,6,3,0,0,0,54,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,17,7,3,0,0,0,31,0,0,0,0,0,0,3,8,27,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,4,13,0,0,0,10,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,4,3,0,0,5,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
POA3023,0,0,5,22,9,9,3,3,0,41,0,10,29,64,0,4,0,0,0,114,0,0,8,34,3,3,0,0,0,50,0,3,0,3,6,0,8,7,3,23,19,162,154,206,63,35,12,0,0,654,0,0,0,0,3,4,0,4,0,13,15,30,33,154,18,12,8,0,0,267,0,4,0,9,0,0,0,0,0,15,9,84,194,655,398,258,89,32,11,1741,0,0,4,53,20,39,25,11,3,155,0,0,7,6,9,12,14,6,4,57,0,17,13,17,14,4,0,3,0,72,0,3,15,17,21,5,4,0,0,63,0,0,0,10,17,25,12,7,3,77,3,24,20,152,71,23,16,7,4,316,0,0,3,24,9,0,3,0,0,32,0,9,6,84,24,13,3,3,0,132,0,0,11,106,94,79,59,24,8,385,0,0,6,35,38,20,10,3,0,116,5,17,15,19,0,3,0,0,0,51
POA3024,0,0,0,18,5,3,0,0,0,30,0,7,13,56,15,17,6,0,0,113,0,0,0,5,0,0,0,0,0,5,0,0,0,3,0,5,7,0,0,15,10,72,65,177,43,30,11,5,0,405,0,3,0,5,3,8,3,0,0,17,5,0,3,46,4,5,0,0,0,59,0,0,0,3,3,0,0,0,0,5,0,31,56,147,65,18,15,4,0,335,0,0,0,8,6,3,0,3,0,22,0,4,3,8,18,15,10,3,0,64,3,11,12,18,12,7,0,0,0,54,0,4,9,17,11,0,0,0,0,43,0,0,0,0,4,7,0,0,0,18,0,9,10,58,12,5,4,0,0,101,0,0,3,6,0,0,0,0,0,8,0,29,37,36,0,4,0,0,0,115,0,0,0,4,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,3,8,9,4,0,3,0,0,28
POA3025,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,0,3,0,0,26,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11,3,5,13,40,21,13,3,0,4,104,0,0,0,8,0,0,0,0,0,8,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,26,8,5,3,0,0,52,0,0,0,3,0,3,8,14,16,38,0,0,0,0,3,0,4,10,5,25,0,3,0,4,0,0,0,0,0,12,0,0,0,5,3,0,0,0,0,8,0,0,0,4,0,4,5,16,4,44,0,0,0,10,0,0,0,3,0,17,0,0,0,5,3,0,0,0,0,4,0,4,0,20,3,0,0,0,0,30,0,0,0,4,3,14,28,12,3,69,0,0,0,0,3,0,0,0,0,9,0,0,0,8,0,0,0,0,0,14
POA3026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
