POA_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
POA3019,3,19,24,13,34,23,18,7,0,143,7,32,26,24,62,44,5,17,68,284,82,413,453,381,878,639,255,269,114,3489
POA3020,19,90,113,88,181,139,39,52,8,728,34,142,121,113,353,213,53,61,339,1430,436,1924,2093,1955,4435,3404,1229,1392,592,17452
POA3021,18,133,138,97,226,178,61,68,12,936,44,170,184,137,405,255,65,70,404,1743,528,2312,2441,2204,4855,3738,1245,1385,716,19421
POA3022,0,6,7,4,14,13,11,4,0,56,9,8,8,9,21,9,3,6,22,96,48,130,134,141,278,242,100,135,40,1253
POA3023,25,121,117,101,258,173,75,85,13,977,42,151,107,133,337,315,62,97,342,1587,804,2886,2631,2993,6558,6093,2183,2779,708,27657
POA3024,5,52,23,37,87,57,40,47,3,341,11,28,34,31,103,86,32,34,98,454,336,1068,867,1123,2651,2220,952,1175,204,10588
POA3025,3,29,22,15,46,39,13,21,0,194,14,30,29,24,51,49,21,32,55,294,173,457,399,460,997,1000,479,566,103,4640
POA3026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,5,0,3,3,5,0,9,3,29
POA3027,0,4,15,6,23,26,9,10,3,90,0,6,11,7,28,40,3,11,49,158,97,246,287,309,799,968,228,340,65,3339
POA3028,14,45,59,50,138,130,44,49,6,528,15,50,65,51,146,154,42,63,147,734,425,1363,1406,1438,3072,2871,1157,1413,291,13439
POA3029,42,182,126,122,371,255,104,103,20,1327,55,167,171,179,435,421,116,180,562,2281,1218,4046,4084,4398,10476,9106,3303,4183,1075,41886
POA3030,38,189,148,138,355,293,132,173,18,1493,61,201,165,153,432,443,127,192,477,2252,1331,4583,4220,4556,10133,10577,4147,5590,943,46067
POA3031,7,34,37,43,44,40,26,19,5,253,9,41,36,25,57,65,28,38,61,365,299,932,869,1020,1760,2102,1081,1444,126,9626
POA3032,13,50,53,56,94,86,59,64,8,484,15,52,62,44,100,105,42,71,114,605,462,1591,1692,1588,2897,3334,1571,2260,216,15613
POA3033,3,37,25,40,36,39,15,31,3,221,13,39,14,24,48,62,15,20,47,284,205,765,682,689,1238,1335,585,850,139,6493
POA3034,6,33,24,30,49,46,22,23,3,224,9,21,13,25,30,42,8,27,69,244,168,549,477,542,990,985,357,595,130,4798
POA3036,7,14,9,10,27,22,3,18,0,116,4,18,12,8,14,16,14,22,18,126,98,387,318,305,432,588,273,449,49,2890
POA3037,21,109,88,95,190,180,81,97,17,875,31,108,83,101,273,249,69,93,265,1268,687,2746,2337,2609,5556,5123,1918,2471,557,24008
POA3038,8,57,41,59,110,110,45,70,8,495,17,67,52,56,127,133,41,67,162,717,362,1743,1344,1417,2845,2743,1091,1564,320,13425
POA3039,6,21,22,34,39,33,17,30,3,210,4,33,23,10,39,37,12,51,58,268,217,870,735,782,1278,1543,770,1286,119,7599
POA3040,13,42,49,43,78,56,40,60,9,382,16,62,55,28,63,88,33,67,107,515,463,1724,1485,1384,2204,2744,1377,2229,223,13824
POA3041,4,27,28,19,35,31,15,45,0,207,5,26,19,15,31,37,23,46,28,228,179,818,656,638,1000,1329,626,1008,84,6338
POA3042,3,45,20,29,63,56,21,32,9,279,14,27,28,25,62,66,21,40,59,340,266,777,728,724,1513,1687,677,1052,154,7578
POA3043,7,30,31,47,86,53,38,27,0,308,12,40,21,38,78,76,19,33,108,427,237,797,744,920,1747,1642,732,873,211,7899
POA3044,14,59,38,53,87,77,47,57,3,436,18,51,40,45,78,112,29,59,100,530,424,1380,1347,1418,2563,2792,1254,1738,233,13153
POA3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,10,0,30
POA3046,10,59,59,62,157,101,49,59,8,568,29,54,81,58,124,142,37,52,194,766,410,1424,1740,1577,3223,3022,1276,1522,365,14560
POA3047,4,20,45,19,57,42,19,13,0,224,16,54,36,31,91,62,22,22,146,474,160,689,773,680,1348,1003,379,429,239,5709
POA3048,4,24,19,21,31,40,20,14,5,175,11,47,44,32,83,53,17,27,109,435,149,690,612,609,1202,865,356,441,202,5126
POA3049,5,23,19,23,38,38,17,13,0,184,4,19,22,19,51,34,18,27,62,249,148,528,482,496,976,890,429,527,117,4596
POA3050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,8,0,3,3,24
POA3051,7,22,22,16,38,36,17,26,5,185,0,31,25,22,36,42,16,36,58,265,231,883,770,614,1180,1325,675,1044,133,6856
POA3052,0,10,8,8,21,10,5,4,0,68,0,15,13,7,18,12,4,11,19,105,81,453,256,276,456,527,260,415,56,2779
POA3053,4,21,26,16,24,16,11,24,0,148,15,51,24,14,28,30,9,34,59,261,180,1088,788,534,917,1276,565,886,130,6359
POA3054,3,17,3,10,24,16,8,18,0,98,9,32,20,9,11,36,6,21,21,174,159,606,491,552,701,994,509,968,58,5039
POA3055,3,25,31,28,55,50,31,28,4,262,7,31,23,16,44,39,15,33,60,269,241,851,805,893,1491,1489,776,992,112,7648
POA3056,7,50,36,54,97,64,51,67,7,432,11,46,44,37,62,91,32,57,105,484,439,1606,1498,1620,2513,2944,1595,2029,216,14465
POA3057,6,25,23,30,53,48,25,35,4,241,5,30,15,16,30,44,23,25,41,234,185,681,650,762,1339,1451,843,1045,79,7036
POA3058,13,78,75,68,104,107,62,64,7,582,21,66,51,53,106,126,41,64,189,712,541,1812,1940,2016,3253,3266,1570,2028,341,16767
POA3059,11,37,35,52,60,59,34,49,4,330,12,38,30,45,74,60,14,33,82,389,232,955,768,826,1554,1586,697,1048,190,7857
POA3060,3,28,21,18,57,39,14,21,3,194,8,32,31,24,52,46,15,16,102,335,151,567,604,558,1113,967,333,454,185,4937
POA3061,0,15,8,12,20,19,7,8,6,99,6,14,6,10,26,9,3,3,32,109,46,178,167,178,304,286,90,126,57,1438
POA3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3063,0,0,0,0,3,4,0,3,0,13,0,0,0,0,0,5,3,0,0,11,4,32,30,23,53,49,25,49,4,280
POA3064,23,123,102,115,319,223,92,123,14,1134,30,153,125,137,398,324,80,137,436,1821,845,3193,3039,3436,7850,6306,2463,2968,891,30981
POA3065,3,10,8,16,43,31,19,10,0,146,3,21,13,18,35,50,17,42,55,252,199,495,415,522,840,1099,690,1077,90,5427
POA3066,3,26,8,16,20,24,24,25,0,149,6,27,14,15,20,37,20,31,35,197,151,354,370,451,785,1064,594,873,67,4711
POA3067,0,15,16,23,34,29,20,12,3,146,3,17,21,10,31,44,22,31,21,199,135,393,425,427,918,1191,694,932,62,5174
POA3068,10,41,32,43,66,44,36,32,7,307,16,32,36,29,39,70,35,66,61,380,329,1078,969,1201,1577,2096,1333,1970,129,10671
POA3070,16,64,45,50,91,89,28,49,0,432,6,42,30,39,58,89,24,64,95,458,369,1466,1365,1659,2113,2726,1459,2127,207,13495
POA3071,4,45,31,43,75,69,18,33,5,319,11,43,42,37,60,87,28,40,68,408,331,1063,1090,1256,1810,1969,955,1258,144,9887
POA3072,7,71,72,64,102,93,39,48,11,510,16,53,71,58,125,108,45,60,135,677,461,1815,1866,1877,3142,3077,1440,1738,292,15714
POA3073,14,86,99,87,180,152,56,90,10,767,47,117,107,94,228,213,59,100,244,1202,653,2415,2475,2368,4864,4299,1781,2083,473,21414
POA3074,6,52,50,33,76,51,21,25,8,325,17,66,43,50,165,83,31,28,119,616,224,873,803,846,1939,1353,522,575,239,7369
POA3075,13,42,29,48,90,68,25,36,4,357,17,45,35,48,152,85,26,26,150,599,252,884,893,905,2106,1582,598,696,282,8194
POA3076,7,63,71,60,138,109,39,57,4,536,28,84,67,60,214,134,51,54,185,870,420,1543,1504,1662,3640,2843,1111,1262,373,14358
POA3078,4,24,17,22,35,32,22,19,0,183,5,16,34,21,33,32,12,29,40,220,185,748,692,731,1029,1208,679,996,91,6370
POA3079,5,37,30,25,39,40,15,37,0,228,8,35,22,28,37,58,15,39,43,291,238,1143,896,886,1216,1556,814,1409,109,8266
POA3081,5,28,28,31,32,40,17,23,0,203,7,24,18,31,49,37,18,16,70,269,183,687,616,662,1117,1102,484,584,137,5567
POA3082,11,69,44,80,134,99,49,60,11,555,16,57,46,58,189,141,28,56,176,757,432,1730,1489,1677,3443,2943,1093,1419,364,14594
POA3083,6,61,86,58,121,89,52,61,3,534,18,105,69,57,139,136,35,43,166,768,401,1915,1751,1536,2764,2674,1077,1418,294,13828
POA3084,13,47,43,50,56,56,33,57,0,363,17,49,26,43,64,83,25,56,66,427,387,1572,1329,1366,1877,2438,1176,1868,142,12150
POA3085,3,30,30,18,27,31,17,21,0,179,4,21,10,21,44,38,14,26,36,215,217,825,708,745,1162,1497,721,857,74,6803
POA3086,0,3,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,8,49,143,64,13,3,3,0,3,60,334
POA3087,7,24,26,14,35,31,15,15,0,167,8,17,8,13,19,40,7,17,38,172,160,491,440,476,866,915,423,534,72,4373
POA3088,10,81,44,71,86,86,43,67,3,490,13,46,26,40,76,90,30,62,96,475,489,1703,1426,1581,2286,2807,1341,1820,200,13651
POA3089,3,44,26,42,53,62,25,35,7,295,9,26,22,14,34,54,13,42,30,255,202,869,693,736,1024,1348,631,952,78,6536
POA3090,0,15,8,3,4,17,7,7,0,58,4,7,5,0,9,17,5,10,9,63,42,221,149,111,167,266,122,198,19,1301
POA3091,0,3,3,8,0,4,3,13,3,40,5,3,3,0,7,3,0,8,15,44,24,120,88,82,107,185,59,138,29,829
POA3093,0,6,10,3,15,9,6,9,0,71,3,14,6,6,8,10,11,13,14,91,72,224,205,196,256,364,185,342,42,1888
POA3094,3,21,10,20,36,24,11,23,0,155,3,14,5,17,18,43,6,26,26,151,149,549,541,567,755,873,439,669,53,4593
POA3095,12,83,60,78,80,98,49,74,4,533,19,73,47,45,66,88,36,94,76,548,454,2106,1717,1762,2081,2722,1425,2294,191,14744
POA3096,0,3,4,3,5,0,3,7,0,35,0,3,3,4,3,4,4,4,5,37,28,153,116,112,157,194,83,124,24,998
POA3097,0,9,4,0,3,3,0,3,0,22,0,3,3,3,3,5,0,4,3,30,27,102,85,81,80,133,50,121,14,688
POA3099,3,14,14,16,16,25,7,15,3,120,3,16,17,10,8,24,5,11,7,103,98,353,335,322,352,499,218,347,37,2567
POA3101,8,48,34,30,50,49,27,54,4,306,17,65,56,51,47,98,28,84,90,530,345,1692,1280,1227,1569,2258,1140,2496,189,12190
POA3102,3,7,15,6,7,6,7,18,0,80,4,17,7,7,16,22,6,16,15,103,77,490,367,374,403,569,305,596,39,3223
POA3103,3,35,18,11,26,27,12,18,0,154,13,46,29,33,37,46,14,38,62,320,200,1098,752,725,913,1290,577,1163,118,6843
POA3104,4,56,37,26,45,46,26,20,0,250,19,59,43,28,37,61,24,47,82,402,236,1509,1070,1002,1349,1765,778,1468,139,9322
POA3105,3,26,16,24,43,21,15,28,0,180,3,25,17,20,33,37,9,31,70,245,116,641,505,515,827,1016,431,677,105,4836
POA3106,5,42,21,34,55,46,23,31,3,265,12,43,34,28,50,75,17,39,60,358,195,1087,839,832,1153,1538,641,1188,121,7602
POA3107,7,32,17,18,36,45,18,34,4,211,12,42,20,12,38,54,14,35,40,262,155,831,625,621,1000,1258,508,832,105,5922
POA3108,9,48,35,33,65,59,38,28,3,327,22,50,45,29,66,71,24,50,98,454,233,1174,1044,965,1764,1848,764,1024,196,9013
POA3109,6,67,60,52,106,85,34,54,7,464,16,47,46,49,83,109,25,63,115,552,321,1719,1411,1422,2365,2631,997,1501,224,12588
POA3111,7,23,32,32,35,37,22,35,3,218,3,32,31,32,39,34,14,40,52,274,177,833,653,631,860,1081,483,901,87,5708
POA3113,3,22,13,16,19,16,12,32,3,148,5,21,18,16,18,34,12,22,33,180,124,656,506,555,465,787,397,803,60,4361
POA3114,0,16,10,7,9,7,7,5,0,66,3,11,8,4,6,9,10,19,17,93,53,346,220,217,197,325,182,380,44,1957
POA3115,3,14,8,8,10,17,4,27,0,87,3,17,11,9,9,19,9,23,16,116,56,339,223,232,254,409,183,364,35,2095
POA3116,5,30,25,22,43,39,28,39,0,230,13,20,13,16,44,39,18,23,30,217,200,626,550,524,895,948,501,716,81,5040
POA3121,15,53,45,52,121,99,59,79,3,523,13,35,41,43,104,141,61,120,115,680,464,1407,1362,1447,3220,4255,2470,3872,249,18752
POA3122,8,50,33,36,62,53,36,34,5,314,10,50,34,27,45,57,27,82,93,427,391,1485,1327,1207,1944,2614,1422,2316,197,12912
POA3123,7,31,24,27,33,25,19,13,0,174,5,30,30,20,24,55,20,73,49,309,220,909,826,707,1073,1557,828,1406,111,7645
POA3124,8,46,25,31,43,34,23,47,0,252,14,47,47,32,38,69,18,61,59,387,294,1571,1101,1085,1335,1926,996,2016,145,10461
POA3125,7,26,30,29,51,29,15,14,3,206,3,50,41,13,34,41,11,26,46,269,173,1034,819,651,1027,1109,461,731,111,6120
POA3126,0,18,13,11,11,14,6,16,4,86,9,22,19,9,11,33,12,19,29,158,117,623,408,367,390,674,301,768,54,3704
POA3127,3,47,36,22,37,33,21,33,0,244,11,48,28,21,23,48,19,62,35,306,262,1374,1035,973,1217,1732,894,1707,77,9282
POA3128,12,46,54,33,67,53,33,45,0,345,15,66,55,24,71,75,16,29,80,430,269,1234,1214,943,1570,1720,739,1024,144,8852
POA3129,3,46,33,24,47,50,21,33,7,262,13,45,41,24,41,56,20,29,73,343,220,1118,936,924,1383,1580,731,1078,128,8098
POA3130,9,81,80,70,99,84,66,78,0,558,8,51,41,57,89,93,37,55,91,529,415,2087,1692,1659,2482,2885,1390,2015,185,14810
POA3131,8,59,55,49,100,69,45,42,4,429,11,43,37,31,80,101,31,46,68,449,310,1332,1213,1158,2033,2189,888,1087,162,10375
POA3132,5,36,34,37,58,51,21,42,3,285,11,26,23,26,62,69,19,36,54,317,257,973,836,912,1572,1732,799,991,122,8196
POA3133,9,45,46,33,68,65,39,57,3,377,12,50,35,34,74,79,26,46,79,435,287,1452,1125,1142,1834,2073,872,1245,150,10179
POA3134,16,80,60,83,124,115,49,96,7,634,20,82,50,40,102,125,49,81,132,687,518,2059,1741,1739,2891,3245,1592,2249,260,16300
POA3135,10,53,29,58,73,84,30,46,3,383,9,28,23,38,79,67,25,49,64,386,312,1269,1004,1154,1777,1991,965,1197,144,9816
POA3136,21,108,97,93,208,162,83,142,7,914,16,95,68,76,205,173,71,109,166,979,694,2781,2276,2391,4168,4301,2165,2795,339,21913
POA3137,3,36,36,34,78,69,33,48,4,340,9,40,27,30,57,64,12,44,61,339,224,840,648,775,1385,1338,650,860,120,6842
POA3138,9,61,46,57,92,115,56,58,10,506,20,42,38,50,119,116,47,71,75,572,379,1397,1084,1220,2247,2184,1103,1350,173,11134
POA3139,13,42,39,39,64,91,46,58,3,393,12,47,38,37,67,82,25,64,82,444,269,818,783,795,1176,1354,640,970,177,6993
POA3140,8,63,40,36,76,84,43,49,0,415,12,41,31,28,75,82,34,45,49,396,274,1079,847,896,1535,1517,846,1084,118,8195
POA3141,3,42,28,49,70,64,43,66,0,366,18,46,53,37,75,137,55,95,111,633,378,1176,1129,1159,2581,3628,1885,2965,198,15092
POA3142,3,22,9,19,31,23,14,24,3,151,12,46,36,26,38,57,15,60,59,348,164,839,653,633,790,1331,596,1382,95,6483
POA3143,0,23,10,11,19,16,11,15,0,114,6,28,16,17,15,33,7,37,37,209,138,556,470,462,747,946,501,999,73,4890
POA3144,0,37,9,19,19,11,14,13,3,133,0,29,22,21,15,37,11,51,37,220,140,667,565,522,616,953,538,1193,75,5280
POA3145,3,44,35,34,35,49,26,33,3,271,14,67,31,31,48,87,27,61,79,444,279,1567,1288,1096,1456,2141,1085,2051,160,11125
POA3146,7,53,44,54,47,40,33,55,4,338,12,59,53,35,56,86,25,88,80,491,346,1741,1437,1337,1684,2532,1338,2530,174,13120
POA3147,7,35,19,23,38,26,23,19,3,191,7,34,27,23,40,54,17,24,54,279,188,947,724,736,1030,1322,683,1043,107,6782
POA3148,4,26,9,9,34,21,10,7,0,121,4,24,31,20,38,44,18,23,42,236,127,486,411,405,856,928,396,469,81,4157
POA3149,12,74,75,54,105,80,40,58,4,498,24,77,65,58,124,166,43,61,131,738,441,2107,1635,1592,2798,3300,1298,1793,240,15200
POA3150,14,139,104,87,135,155,63,103,3,808,26,145,124,114,226,251,72,133,258,1345,624,3684,2839,2820,4915,5577,2115,3054,466,26092
POA3151,4,23,19,21,27,41,13,25,0,173,4,28,23,21,36,46,8,19,43,230,128,634,525,515,847,919,369,457,83,4471
POA3152,15,81,59,73,143,114,52,68,6,611,32,77,56,60,164,136,48,64,127,760,436,2092,1658,1797,3341,3304,1384,1782,252,16042
POA3153,13,35,43,38,87,82,47,53,3,398,25,41,43,37,103,107,44,49,92,536,354,1085,1024,1059,2309,2028,945,1076,177,10049
POA3154,0,5,12,15,14,24,8,16,0,95,5,7,9,12,21,33,6,15,15,120,103,266,238,251,410,445,223,277,32,2243
POA3155,14,60,42,60,93,97,37,64,4,465,12,58,44,44,139,102,43,54,90,584,369,1237,1059,1229,2413,2157,1027,1166,177,10838
POA3156,23,105,74,84,152,178,72,124,5,822,20,100,65,68,194,200,60,116,149,968,628,2303,1976,2186,3769,3907,1790,2395,312,19257
POA3158,0,14,11,14,23,29,22,23,0,138,7,14,12,14,29,31,10,20,16,151,132,458,408,456,616,682,373,446,40,3604
POA3159,0,8,13,10,4,5,5,7,0,56,3,7,3,11,3,11,7,6,15,61,57,177,155,158,191,238,125,213,33,1354
POA3160,6,24,24,18,51,49,20,37,3,221,11,18,19,16,37,41,17,28,34,228,172,649,541,593,812,885,447,612,66,4774
POA3161,3,52,30,24,22,31,21,35,3,219,14,51,35,28,38,64,30,51,60,379,173,1021,856,843,1035,1469,770,1329,136,7623
POA3162,5,73,42,49,44,54,32,41,3,338,4,71,33,34,46,71,33,47,63,394,228,1163,953,993,1196,1680,798,1412,138,8562
POA3163,17,66,60,51,98,93,44,58,4,498,8,59,66,51,98,132,36,73,135,665,506,1807,1823,1722,3132,3651,1640,2049,252,16567
POA3165,5,71,60,62,72,97,44,79,3,504,18,43,43,43,87,113,36,64,95,540,387,1637,1355,1468,2198,2907,1247,1806,200,13208
POA3166,12,38,47,49,87,71,34,40,6,376,3,43,63,37,85,98,28,40,106,501,332,1374,1300,1241,2219,2462,1068,1267,184,11445
POA3167,3,12,20,15,37,27,16,21,3,154,10,14,16,14,53,56,12,11,38,235,148,545,493,454,908,933,382,464,91,4409
POA3168,6,30,36,34,50,44,15,26,3,238,13,40,45,18,80,80,13,23,69,379,223,1191,987,697,1710,1576,474,515,161,7533
POA3169,3,44,49,38,112,62,29,38,3,375,8,38,46,41,134,89,29,29,125,548,200,1033,1035,960,2288,1756,605,673,206,8753
POA3170,6,45,29,33,74,74,26,33,11,330,4,37,39,34,84,119,22,40,91,475,255,966,914,938,1920,1924,758,955,189,8813
POA3171,7,63,100,46,100,74,29,23,8,450,10,85,92,42,196,97,31,26,179,771,168,1043,1178,793,2131,1429,478,570,282,8073
POA3172,8,66,49,47,112,99,38,57,12,498,17,55,65,42,185,123,34,54,138,724,245,1296,1106,1119,2391,1995,864,1079,231,10325
POA3173,5,64,61,42,128,104,30,64,3,505,18,47,65,51,228,161,47,53,138,818,315,1170,1099,1163,3165,2542,918,1134,255,11760
POA3174,4,88,105,63,211,137,48,57,19,738,24,100,131,92,319,195,52,69,290,1278,360,1664,1824,1681,4355,3013,1041,1140,510,15587
POA3175,16,78,92,84,207,135,58,73,12,759,55,126,124,144,419,279,114,74,376,1719,483,2012,2084,2226,5329,3788,1515,1591,665,19702
POA3177,0,19,18,16,47,38,12,16,0,166,15,31,25,35,100,63,29,10,84,389,93,417,341,471,1060,703,311,266,149,3819
POA3178,11,86,69,94,158,154,64,116,3,769,27,73,67,72,155,184,61,97,122,855,521,2279,1792,1942,3551,3776,1575,2273,242,17946
POA3179,3,13,19,9,32,26,4,15,0,121,0,9,14,21,38,29,14,17,34,174,79,359,320,330,647,609,262,320,61,2982
POA3180,3,15,14,15,41,27,13,22,3,150,3,7,10,16,43,30,5,18,29,160,106,427,333,406,803,703,327,397,52,3557
POA3181,6,43,42,49,73,60,37,45,3,357,6,32,33,26,63,87,44,86,69,445,320,908,979,961,2115,2745,1584,2497,135,12250
POA3182,12,43,35,56,103,84,52,53,0,442,17,57,39,46,64,116,41,93,101,574,382,1014,1094,1270,2506,3274,1739,2439,212,13930
POA3183,6,39,48,45,83,56,45,40,6,370,11,33,29,33,52,81,47,54,90,435,252,955,1049,1101,1896,2156,1319,1692,164,10597
POA3184,6,37,27,34,65,48,26,50,0,296,8,23,24,33,33,75,34,57,56,351,291,748,728,937,1491,2071,1201,1875,126,9461
POA3185,0,21,20,28,44,25,21,38,3,205,5,24,19,23,23,53,12,43,47,257,196,724,706,694,1041,1394,712,1239,106,6811
POA3186,4,56,27,38,31,39,21,49,3,272,20,75,55,58,48,76,15,125,82,554,282,1516,1154,1138,1024,1931,985,2512,180,10721
POA3187,11,44,30,21,25,23,18,32,0,190,13,52,26,35,23,70,16,66,49,347,197,1039,814,822,776,1337,651,1505,111,7253
POA3188,6,52,28,23,40,38,18,42,3,241,7,51,30,29,39,72,36,66,45,374,260,1208,960,894,1045,1591,847,1690,103,8603
POA3189,0,19,11,14,22,18,13,12,3,116,3,11,11,5,19,23,7,10,29,122,85,329,309,299,528,559,264,386,49,2817
POA3190,3,33,29,15,30,19,24,26,3,181,8,24,18,18,39,50,19,24,28,227,158,601,525,551,823,1110,583,776,69,5196
POA3191,3,23,22,18,14,22,11,19,0,129,6,40,13,22,21,42,11,38,41,232,159,678,537,534,569,934,515,977,69,4977
POA3192,8,59,38,47,78,69,36,58,7,400,11,51,32,43,75,114,37,59,67,494,327,1305,1090,1196,1939,2273,1089,1512,173,10902
POA3193,4,37,31,16,30,37,24,36,0,218,10,65,31,43,36,74,27,96,58,440,268,1383,1036,998,951,1679,847,1965,129,9252
POA3194,7,47,18,29,37,38,18,23,0,226,8,28,15,27,23,51,20,43,49,256,190,755,630,745,1110,1359,702,1006,99,6605
POA3195,18,101,67,61,113,104,58,82,13,615,22,68,75,54,102,151,53,94,123,746,585,2372,1877,1865,2959,3812,1904,2711,273,18364
POA3196,14,57,37,61,98,88,44,59,8,456,22,56,35,43,107,114,38,68,97,590,431,1308,1157,1390,2401,2493,1332,1639,204,12356
POA3197,16,26,22,36,43,26,25,31,0,220,3,46,19,25,50,64,19,45,50,323,218,631,547,661,1034,1190,582,858,91,5812
POA3198,16,37,40,21,64,76,24,27,3,320,11,30,24,26,87,101,32,29,80,425,288,745,771,840,1570,1612,785,876,140,7631
POA3199,24,149,97,112,164,165,87,88,14,896,49,121,74,91,219,254,84,156,212,1257,867,3088,2454,3033,4570,4594,2364,3022,426,24412
POA3200,3,11,9,3,19,13,11,8,0,80,6,15,15,8,39,19,8,7,32,148,61,202,183,219,472,315,150,165,65,1827
POA3201,7,32,37,40,119,80,49,56,6,427,17,25,34,40,159,129,48,58,99,616,329,976,866,1143,2440,1988,1001,1036,193,9975
POA3202,0,4,6,4,6,7,9,3,0,43,0,6,6,4,12,14,6,7,19,72,44,164,134,183,265,260,155,187,24,1416
POA3204,15,74,63,55,72,83,34,62,0,455,12,59,57,50,77,123,42,76,90,591,417,1951,1689,1707,2378,3091,1458,2245,189,15128
POA3205,7,8,17,20,31,39,13,32,3,181,6,23,19,13,27,48,20,30,26,204,167,466,471,439,874,1343,664,1293,50,5770
POA3206,4,14,11,25,15,21,14,15,0,113,4,23,20,13,18,42,17,50,32,219,142,506,451,499,532,1031,487,1411,69,5134
POA3207,3,37,21,30,43,49,28,55,0,266,12,29,29,34,40,89,23,94,56,404,300,646,643,817,1196,2028,1063,2155,99,8946
POA3211,0,3,0,0,3,9,0,5,0,26,0,0,0,0,3,8,3,4,6,23,35,77,63,59,94,116,54,117,13,622
POA3212,13,39,26,35,63,44,23,38,3,274,8,27,21,21,51,55,17,42,67,309,300,976,748,827,1450,1523,685,1043,129,7680
POA3213,3,6,6,9,15,10,9,17,0,81,3,10,11,3,21,19,4,13,28,109,77,270,221,228,336,351,141,314,60,1993
POA3214,10,33,17,37,59,58,31,21,3,274,20,51,22,43,86,98,19,36,138,521,308,1019,788,995,1700,1400,496,689,240,7626
POA3215,10,46,30,47,68,71,35,32,0,339,25,31,28,47,66,63,29,35,63,391,331,1127,953,1113,1798,1727,760,1017,162,8990
