POA_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
POA3019,1502,4766,724,1725,616,1992,1344,3716,35,77,12,22,55,107,0,0,99,206,0,0,11,22,0,0,14,37,24,65,12,37,2991,8794,208,..,3198,8794
POA3020,11291,33463,1217,3175,965,2947,2185,6117,997,2124,63,119,94,230,14,32,1170,2506,3,16,0,0,3,3,21,40,20,57,45,87,14707,42230,1190,..,15901,42230
POA3021,14212,43252,1279,3119,559,1582,1846,4704,1162,2842,33,67,9,12,11,20,1213,2945,0,0,3,6,0,0,38,129,42,134,44,120,17351,51160,1288,..,18637,51160
POA3022,863,2345,121,268,69,174,191,440,3,0,0,0,0,3,3,8,6,12,0,3,22,19,0,0,0,0,23,23,3,6,1077,2835,121,..,1202,2835
POA3023,16354,54163,881,2223,1096,3204,1975,5423,75,135,39,82,84,171,8,12,206,400,0,0,0,0,0,0,18,47,17,45,11,28,18570,60061,1103,..,19670,60061
POA3024,7142,22201,214,471,27,62,233,533,11,40,0,0,0,0,0,0,17,40,0,0,0,0,0,0,0,3,0,3,12,33,7400,22819,497,..,7899,22819
POA3025,3070,8387,481,1041,530,1328,1008,2367,164,283,41,95,0,4,0,0,207,382,0,0,0,0,0,4,10,25,12,28,18,50,4310,11216,320,..,4630,11216
POA3026,0,0,10,9,0,0,10,9,0,0,0,0,0,0,0,0,0,0,35,42,0,0,0,0,0,0,34,44,0,0,43,52,0,..,43,52
POA3027,1676,5742,100,308,174,489,276,794,0,0,0,0,0,3,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,5,1961,6549,199,..,2163,6549
POA3028,7657,21241,1708,4204,391,1164,2103,5369,354,761,0,0,7,5,0,0,358,771,0,4,0,0,0,0,9,17,5,22,18,36,10149,27440,739,..,10890,27440
POA3029,22369,74621,3757,11092,583,1698,4345,12787,950,2111,27,37,0,0,0,0,976,2145,0,3,0,0,0,0,3,22,8,24,31,67,27726,89648,1656,..,29385,89648
POA3030,26753,83449,2941,6890,1546,4203,4492,11096,415,886,14,32,79,135,4,3,517,1053,65,102,6,24,0,0,6,18,79,134,37,91,31877,95828,2702,..,34581,95828
POA3031,1288,3458,1270,2735,1797,4483,3074,7217,327,547,902,1481,1862,4003,0,3,3094,6035,0,0,0,3,0,0,40,80,40,84,24,45,7516,16837,697,..,8218,16837
POA3032,4145,12126,806,1846,2282,6083,3091,7935,929,1668,1441,2762,1522,2905,3,3,3889,7337,0,0,0,0,0,0,25,56,21,63,36,72,11186,27517,1060,..,12246,27517
POA3033,4139,11420,381,845,492,1249,880,2090,52,104,0,0,0,0,0,0,53,104,0,0,0,4,0,0,19,38,16,45,9,17,5095,13674,369,..,5469,13674
POA3034,3194,8658,303,667,550,1513,851,2174,17,31,3,9,0,0,0,0,21,40,0,0,0,0,0,0,29,77,29,76,5,22,4109,10964,342,..,4449,10964
POA3036,1774,5194,180,251,69,158,249,412,19,26,0,0,0,0,0,0,19,26,0,0,0,0,0,0,0,0,0,0,0,7,2045,5637,218,..,2258,5637
POA3037,11994,40848,1715,4492,1003,2962,2722,7451,255,421,61,107,3,3,3,6,316,538,0,0,0,0,0,0,3,9,3,9,23,61,15058,48903,783,..,15839,48903
POA3038,7646,23671,654,1591,249,730,911,2324,58,128,0,0,0,0,0,0,65,132,0,0,0,0,0,0,9,20,9,20,4,10,8626,26152,531,..,9161,26152
POA3039,2955,8371,490,1033,482,1208,974,2245,615,1096,547,860,330,562,0,0,1494,2520,0,0,0,0,0,0,24,57,24,57,32,57,5482,13255,603,..,6080,13255
POA3040,5096,15267,572,1199,1310,2995,1885,4195,1592,2995,380,644,616,997,0,7,2593,4636,0,0,0,3,0,0,26,46,27,51,26,70,9632,24218,1014,..,10641,24218
POA3041,2918,8555,363,802,411,1078,773,1878,352,654,142,249,163,291,0,0,657,1196,0,0,0,0,0,0,17,24,17,24,11,40,4383,11691,355,..,4734,11691
POA3042,4194,11080,926,1727,704,1781,1629,3513,58,124,12,23,45,64,5,3,117,208,0,0,0,0,0,0,60,153,60,153,24,56,6021,15009,594,..,6619,15009
POA3043,5224,14066,991,1890,230,563,1221,2452,45,80,34,45,0,0,3,4,85,127,0,3,0,3,0,0,3,6,3,13,6,15,6539,16669,519,..,7060,16669
POA3044,6160,17279,1478,2929,1648,3983,3125,6909,382,630,61,123,73,107,8,15,525,878,0,0,0,0,0,0,38,101,38,101,29,68,9873,25233,979,..,10853,25233
POA3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,..,3,5
POA3046,7935,21911,1390,3023,1955,5028,3348,8052,781,1667,53,109,5,28,13,37,862,1836,0,0,0,0,0,0,11,36,11,36,46,125,12204,31961,1070,..,13277,31961
POA3047,4610,14754,274,573,339,1047,608,1621,747,2117,3,10,83,184,3,7,832,2308,0,0,0,0,0,9,124,397,124,403,51,104,6236,19191,552,..,6786,19191
POA3048,4372,14721,547,1671,125,396,670,2060,41,140,0,0,0,0,3,3,44,140,0,0,0,0,0,0,0,9,0,9,22,60,5111,16992,367,..,5480,16992
POA3049,2654,7725,203,393,222,539,425,929,3,6,0,0,0,0,0,0,3,6,3,0,81,112,0,0,3,8,79,124,11,33,3172,8818,198,..,3373,8818
POA3050,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,..,0,3
POA3051,369,1005,599,1398,998,2609,1597,4011,317,673,1042,2055,2507,4835,3,6,3871,7566,0,0,0,0,0,4,26,40,24,49,43,93,5904,12722,757,..,6659,12722
POA3052,100,329,134,306,508,1445,637,1751,238,496,299,570,689,1255,0,0,1226,2316,0,0,0,0,0,0,3,16,3,16,16,25,1985,4440,255,..,2233,4440
POA3053,87,209,446,933,727,2029,1181,2963,250,500,692,1290,5715,10350,3,4,6658,12148,0,0,0,0,0,0,31,76,31,76,49,108,8006,15498,1087,..,9096,15498
POA3054,292,793,1728,3964,580,1499,2309,5466,192,377,457,807,153,248,3,4,804,1435,0,0,0,0,0,0,42,87,42,87,14,37,3460,7806,411,..,3866,7806
POA3055,2360,6431,568,1210,652,1493,1215,2703,1896,3178,270,482,123,233,0,3,2292,3897,0,0,0,0,0,0,36,90,38,94,18,43,5923,13168,661,..,6585,13168
POA3056,3698,9827,1675,3558,1350,3170,3034,6727,920,1687,719,1201,1605,2792,3,3,3253,5687,0,0,0,0,0,0,88,203,86,208,46,106,10121,22549,1056,..,11174,22549
POA3057,1359,3581,640,1341,936,2275,1580,3616,366,615,151,266,1513,2560,0,0,2037,3447,0,0,0,0,0,0,43,98,43,98,20,38,5033,10783,596,..,5632,10783
POA3058,8189,22715,1297,2732,1720,4182,3017,6915,352,669,149,281,516,888,3,5,1019,1848,8,15,0,4,0,0,33,64,40,80,57,126,12321,31683,1096,..,13419,31683
POA3059,4276,14491,79,213,90,236,164,447,0,4,0,0,4,3,0,0,4,3,0,3,0,0,0,0,0,0,0,3,5,21,4458,14967,287,..,4742,14967
POA3060,3856,11386,300,757,272,790,577,1548,54,144,0,0,0,0,0,3,53,149,0,0,0,0,0,0,11,26,11,26,12,49,4511,13161,392,..,4906,13161
POA3061,1309,4393,52,109,32,95,83,207,44,108,0,0,0,0,0,0,44,108,8,8,98,104,0,0,0,0,103,121,8,23,1552,4844,135,..,1688,4844
POA3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
POA3063,165,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,552,27,..,187,552
POA3064,18454,65436,1305,3817,909,2598,2210,6413,233,620,0,0,24,51,0,0,255,672,3,6,0,5,0,0,7,19,9,25,29,81,20954,72633,1223,..,22183,72633
POA3065,584,1413,438,943,748,1826,1182,2774,495,889,440,760,1362,2942,0,7,2302,4593,0,0,0,0,0,0,23,52,23,52,28,43,4129,8875,472,..,4600,8875
POA3066,501,1176,332,720,305,739,645,1457,452,826,527,955,1541,2975,3,6,2528,4755,0,0,0,3,0,0,45,97,46,102,13,34,3729,7528,394,..,4123,7528
POA3067,462,1241,518,1199,413,1024,933,2228,268,488,306,545,1545,2765,0,0,2120,3796,0,0,0,0,0,0,22,40,22,40,24,54,3562,7361,426,..,3988,7361
POA3068,1314,3423,2571,6003,1310,3404,3885,9410,936,1669,809,1371,507,865,0,0,2259,3905,0,0,0,0,0,0,33,89,33,89,35,77,7523,16896,820,..,8347,16896
POA3070,4524,12739,1592,3668,1244,2743,2837,6418,835,1374,423,777,656,1039,0,0,1909,3190,0,0,0,0,0,0,74,144,72,147,29,66,9379,22557,935,..,10310,22557
POA3071,3870,10592,728,1486,846,1789,1571,3277,1756,2847,136,199,46,78,3,3,1941,3126,0,0,0,3,0,0,35,93,42,92,35,83,7455,17166,717,..,8170,17166
POA3072,7256,19922,1929,4174,1100,2629,3027,6801,462,805,293,473,1020,1922,0,0,1770,3200,0,0,0,0,0,0,120,254,123,262,45,95,12219,30274,1139,..,13352,30274
POA3073,12633,33728,3653,7294,1702,4130,5359,11423,700,1375,100,164,8,16,0,0,808,1559,0,0,0,0,0,0,62,166,62,166,51,115,18918,46995,1702,..,20620,46995
POA3074,6007,17308,400,920,198,511,598,1429,405,968,0,0,0,0,0,4,409,976,0,0,0,0,0,0,4,23,4,23,21,46,7037,19790,517,..,7554,19790
POA3075,6616,19499,207,489,171,432,377,923,453,1120,0,0,0,3,0,0,452,1126,0,0,0,0,0,0,6,22,6,22,18,34,7469,21604,489,..,7959,21604
POA3076,7846,24957,1311,3362,781,2329,2089,5692,27,60,146,215,0,7,0,0,177,283,0,0,0,4,0,0,0,0,0,9,13,27,10117,30960,665,..,10784,30960
POA3078,2233,6507,383,828,571,1261,952,2092,998,1572,131,209,83,142,0,0,1204,1932,0,0,0,3,0,0,10,21,10,25,20,42,4422,10603,413,..,4831,10603
POA3079,3703,10616,528,1021,524,1282,1048,2308,936,1719,55,97,107,171,0,3,1096,1991,0,0,0,0,0,0,15,33,13,32,28,53,5886,15008,643,..,6526,15008
POA3081,3052,7918,1096,2247,495,1283,1590,3528,278,674,3,4,20,26,3,5,302,717,0,0,0,3,0,0,0,0,0,4,30,67,4979,12228,553,..,5529,12228
POA3082,8075,24239,1055,2815,399,1186,1448,3995,45,102,46,81,26,48,0,0,120,230,0,0,0,0,0,0,4,10,4,10,3,13,9651,28489,572,..,10226,28489
POA3083,7999,23526,580,1292,976,2665,1557,3956,456,996,345,617,295,542,0,0,1098,2154,0,0,0,0,0,0,4,14,4,14,14,40,10673,29692,902,..,11580,29692
POA3084,6960,19402,701,1347,547,1306,1251,2655,730,1358,154,259,194,343,0,0,1074,1960,0,0,0,0,0,3,13,29,12,32,32,53,9326,24094,892,..,10215,24094
POA3085,3940,10916,616,1075,276,662,894,1738,17,35,95,122,0,0,0,0,110,152,0,0,0,0,0,0,12,8,12,8,6,19,4959,12829,430,..,5387,12829
POA3086,0,0,0,0,0,0,0,0,0,0,8,22,0,0,0,0,8,22,0,0,0,0,0,0,0,0,0,0,11,14,18,36,0,..,18,36
POA3087,3059,8105,234,382,56,134,291,512,14,20,3,12,0,0,0,0,14,28,0,0,0,0,0,0,0,0,0,0,3,6,3379,8654,231,..,3603,8654
POA3088,8199,22951,707,1190,473,1015,1188,2204,170,297,13,18,25,32,0,3,206,355,3,3,0,0,0,0,6,14,4,17,17,27,9608,25557,670,..,10274,25557
POA3089,3560,10738,115,213,88,225,205,437,7,34,0,0,0,0,0,4,13,40,0,0,0,0,0,0,0,0,0,0,8,11,3787,11223,251,..,4036,11223
POA3090,667,2225,0,3,3,19,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,678,2255,46,..,728,2255
POA3091,465,1455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,23,471,1481,36,..,507,1481
POA3093,1027,2882,189,309,101,208,294,521,72,117,0,0,0,0,0,0,72,117,0,0,0,0,0,0,0,0,0,0,6,7,1391,3531,124,..,1519,3531
POA3094,2855,7556,346,590,100,251,442,841,20,26,6,18,0,0,0,0,25,43,0,0,0,0,0,0,6,10,7,10,11,25,3344,8471,275,..,3619,8471
POA3095,8349,24872,196,311,210,475,403,785,386,696,17,22,0,0,0,0,402,719,0,6,0,0,0,0,3,8,7,15,14,37,9181,26437,598,..,9777,26437
POA3096,573,1745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,577,1747,34,..,607,1747
POA3097,422,1261,4,9,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,3,4,430,1286,33,..,458,1286
POA3099,1553,4490,28,29,4,7,33,39,4,11,0,0,0,3,0,0,3,17,0,0,0,0,3,3,0,3,7,3,7,7,1600,4555,140,..,1735,4555
POA3101,4427,13346,976,2091,1187,2938,2158,5024,1044,1940,637,1229,352,633,0,0,2027,3806,0,0,0,0,0,0,22,41,22,41,28,64,8668,22277,1071,..,9736,22277
POA3102,1523,4603,323,671,191,512,509,1185,216,436,29,56,0,0,0,0,247,494,0,0,0,0,0,0,0,4,0,4,4,15,2288,6295,217,..,2501,6295
POA3103,3408,10201,1022,2018,421,1146,1439,3162,401,760,130,260,119,184,0,0,653,1203,0,0,0,3,0,0,16,32,16,38,14,40,5532,14649,680,..,6208,14649
POA3104,5653,17232,445,943,419,1221,864,2166,72,151,35,70,0,3,0,0,111,226,0,0,0,3,0,3,17,38,19,36,13,29,6662,19696,714,..,7372,19696
POA3105,3177,8549,104,223,376,1095,483,1320,197,439,54,104,11,18,0,0,269,557,0,0,0,0,0,0,3,13,3,13,3,15,3935,10453,347,..,4279,10453
POA3106,4310,13012,398,736,598,1640,992,2374,32,61,19,36,73,137,0,0,129,237,0,4,0,9,0,0,0,0,0,10,10,15,5447,15650,473,..,5912,15650
POA3107,3864,10677,280,588,533,1414,815,2006,5,8,30,62,20,40,0,4,56,113,0,0,0,0,0,0,7,17,7,17,30,35,4768,12842,413,..,5182,12842
POA3108,5169,14187,594,1319,831,2308,1432,3629,165,331,191,341,886,1699,0,0,1244,2371,0,0,0,0,0,0,4,10,4,10,14,33,7862,20236,1078,..,8937,20236
POA3109,6613,19738,1001,2231,1228,3534,2231,5759,566,1241,187,375,102,214,0,0,853,1831,0,0,0,0,0,0,0,7,0,7,73,142,9768,27481,879,..,10646,27481
POA3111,3626,10434,251,486,119,320,379,801,117,165,0,0,0,3,0,4,124,174,0,0,0,0,0,0,0,0,0,0,3,7,4130,11423,346,..,4477,11423
POA3113,2612,7872,10,11,3,0,12,13,0,0,0,0,0,0,0,0,0,0,13,23,0,0,0,0,3,8,18,32,3,9,2650,7931,167,..,2814,7931
POA3114,1124,3644,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1126,3654,68,..,1195,3654
POA3115,1156,3592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,1157,3601,79,..,1241,3601
POA3116,3284,9208,11,26,45,82,56,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,11,33,3355,9354,308,..,3657,9354
POA3121,1651,4183,2619,5918,2392,5688,5007,11604,1060,1724,1714,2839,3621,6955,3,3,6401,11528,0,3,0,0,0,0,55,120,52,125,73,148,13179,27588,1480,..,14660,27588
POA3122,2278,6896,1181,2820,406,1016,1589,3838,1864,3402,2455,4464,1432,2384,0,0,5750,10244,0,0,0,0,0,0,38,99,38,99,45,105,9706,21188,1122,..,10826,21188
POA3123,1971,5994,643,1502,462,1165,1107,2668,891,1604,809,1538,891,1557,0,0,2595,4699,0,0,0,0,0,0,11,23,9,24,21,53,5702,13440,611,..,6317,13440
POA3124,4628,14126,1066,2182,598,1607,1663,3793,728,1487,138,233,383,670,0,0,1252,2389,0,5,0,0,0,0,30,72,33,82,34,75,7612,20460,781,..,8395,20460
POA3125,3215,9545,745,1347,543,1627,1286,2974,328,606,354,551,8,19,0,3,691,1172,0,0,0,0,0,0,7,11,7,11,20,52,5215,13758,542,..,5760,13758
POA3126,1763,5528,461,975,173,461,636,1433,111,221,98,193,56,99,0,0,262,503,0,0,0,0,0,0,16,37,16,37,10,19,2690,7520,279,..,2971,7520
POA3127,4162,12527,1278,2645,406,1042,1680,3687,473,903,41,87,59,124,0,0,578,1119,0,5,0,3,0,0,13,30,13,39,18,40,6459,17417,653,..,7113,17417
POA3128,3301,9788,1215,2538,817,2319,2034,4864,690,1444,756,1538,646,1047,0,0,2085,4030,0,0,0,0,0,6,4,11,4,16,25,72,7459,18760,784,..,8238,18760
POA3129,3939,11385,1236,2708,646,1779,1882,4483,324,757,0,0,69,132,0,0,395,891,0,5,0,0,0,0,3,8,6,15,14,37,6232,16817,687,..,6917,16817
POA3130,8636,24678,1523,3105,636,1670,2162,4780,320,480,128,220,137,235,3,10,588,945,0,0,0,0,0,0,11,28,11,28,18,43,11414,30470,1069,..,12481,30470
POA3131,5903,16505,1698,3298,416,1098,2114,4391,114,235,25,50,53,108,0,0,195,387,0,0,0,0,0,0,8,16,8,16,20,37,8234,21328,620,..,8857,21328
POA3132,3903,10864,1347,2670,513,1328,1858,4000,58,140,47,88,201,323,10,11,311,558,0,0,0,0,0,0,3,3,3,3,19,40,6088,15471,500,..,6587,15471
POA3133,6506,19031,702,1381,281,771,981,2150,71,97,8,27,3,9,0,0,82,127,0,0,0,0,0,0,10,21,6,21,14,20,7585,21349,533,..,8119,21349
POA3134,10189,28340,753,1309,254,522,1007,1831,112,212,182,335,69,106,0,0,356,646,0,0,3,8,0,0,3,13,9,23,30,74,11592,30915,951,..,12541,30915
POA3135,6633,17541,365,716,120,284,485,1002,105,285,9,26,0,0,0,0,120,315,0,3,0,3,0,0,6,18,9,25,13,53,7263,18935,546,..,7808,18935
POA3136,14907,38749,653,1279,398,1007,1054,2281,90,160,171,295,84,136,0,0,341,600,0,0,0,0,0,0,6,22,9,22,43,77,16350,41727,1260,..,17611,41727
POA3137,4288,11742,509,859,100,190,606,1042,27,55,0,0,0,0,0,0,29,56,0,5,0,0,0,0,3,9,3,16,12,24,4947,12877,442,..,5388,12877
POA3138,7062,20077,199,383,119,276,325,655,15,28,0,0,0,3,0,0,17,33,0,0,0,0,0,0,0,4,0,4,25,62,7424,20831,567,..,7991,20831
POA3139,4547,12755,9,36,0,0,9,36,11,14,0,0,0,0,0,3,12,13,0,0,0,0,3,9,4,10,11,17,21,47,4597,12872,410,..,5009,12872
POA3140,4719,13510,885,1404,203,418,1084,1819,9,19,51,87,0,0,0,0,58,102,37,40,26,32,0,0,0,0,58,80,19,52,5951,15566,451,..,6403,15566
POA3141,851,2167,739,1617,988,2324,1730,3941,861,1576,3314,5470,5235,8984,7,11,9414,16041,0,4,0,0,0,0,15,20,13,26,35,63,12043,22236,2320,..,14362,22236
POA3142,1645,4649,239,461,858,1887,1092,2343,1097,1956,1095,1934,503,831,7,7,2694,4723,0,0,0,0,0,0,0,0,0,0,7,20,5437,11736,1173,..,6611,11736
POA3143,1087,3070,428,936,322,735,752,1669,580,1045,1247,2155,157,272,0,0,1992,3472,0,0,0,0,0,0,19,30,19,30,12,16,3854,8264,538,..,4389,8264
POA3144,1906,5758,399,834,427,1004,825,1834,495,908,604,1044,232,355,0,0,1328,2303,0,0,0,3,0,0,52,92,55,103,30,67,4154,10074,560,..,4708,10074
POA3145,4557,14033,1317,2868,711,1800,2027,4670,839,1607,376,766,390,604,0,0,1605,2976,0,0,0,5,0,0,133,209,134,212,36,73,8359,21960,791,..,9146,21960
POA3146,5188,16029,1122,2405,641,1532,1764,3945,1437,2663,411,728,333,577,0,3,2179,3979,0,3,0,0,0,0,6,16,6,21,18,47,9160,24021,935,..,10095,24021
POA3147,3506,10264,497,967,291,806,786,1769,518,1208,4,9,199,312,0,0,724,1534,0,0,0,0,0,0,21,41,21,41,25,65,5068,13665,473,..,5536,13665
POA3148,1906,5340,360,814,461,1298,819,2113,339,696,20,33,0,0,0,0,359,727,0,0,0,0,0,0,0,0,0,0,10,34,3098,8209,315,..,3414,8209
POA3149,8291,23927,581,1388,349,1038,928,2427,2450,5886,36,65,3,10,0,0,2488,5967,0,3,0,0,0,0,9,25,7,25,33,100,11757,32446,1107,..,12866,32446
POA3150,17198,50656,1207,2858,553,1675,1766,4534,782,2046,328,583,98,194,3,10,1212,2829,0,4,0,0,0,3,9,14,7,21,40,87,20216,58120,1860,..,22076,58120
POA3151,2904,8196,458,1088,179,522,632,1616,34,59,51,64,0,0,4,8,86,128,0,0,0,0,0,0,0,7,0,7,11,20,3632,9962,321,..,3952,9962
POA3152,9368,28003,1014,1729,558,1445,1576,3172,43,48,10,20,107,178,0,0,164,251,20,27,101,130,0,0,3,5,130,161,16,36,11251,31628,799,..,12051,31628
POA3153,5301,14247,1490,3197,300,659,1788,3854,497,906,45,79,21,42,0,0,565,1026,0,0,0,0,0,0,3,10,3,10,27,57,7687,19194,568,..,8246,19194
POA3154,1407,3868,27,74,26,57,55,129,43,65,0,0,0,0,0,0,43,65,0,0,0,0,0,0,4,12,4,12,0,3,1510,4073,116,..,1623,4073
POA3155,6446,16820,1408,2639,480,1072,1889,3710,105,163,86,126,10,18,3,4,209,316,0,0,0,0,0,0,3,14,3,14,27,47,8572,20904,624,..,9199,20904
POA3156,11952,33448,561,1019,246,606,814,1626,124,157,70,109,0,3,0,0,193,273,0,0,0,0,0,0,18,32,18,32,32,59,12995,35441,899,..,13890,35441
POA3158,2280,6253,12,26,0,5,19,32,18,38,0,0,0,0,0,0,18,38,0,0,0,0,0,0,3,8,3,8,0,0,2318,6326,163,..,2484,6326
POA3159,826,2395,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,832,2413,67,..,899,2413
POA3160,3056,8452,29,40,27,31,60,76,4,9,0,0,0,0,0,0,4,9,0,0,0,0,0,6,3,3,4,5,12,17,3131,8564,204,..,3331,8564
