POA_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
POA3013,1013,1582,368,72,3033,781,233,4050,86,51,32,0,169,157,20,346,202,193,59,9,462,106,40,611,290,244,91,8,631,266,65,953,89,17,15,8,131,140,51,325,46,5,4,3,60,89,13,158,21,3,0,0,28,18,3,49,0,0,0,0,0,0,0,0,154,30,20,7,211,244,64,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5,7,0,29,13,13,55,21,5,7,0,29,13,13,55,0,0,0,0,0,3,0,7,1478,1861,480,91,3901,1305,380,5591
POA3015,927,1705,416,63,3114,777,151,4042,168,130,74,14,384,280,39,701,377,455,101,11,944,183,66,1197,544,581,182,22,1328,460,105,1897,83,49,24,3,168,224,32,425,5,0,0,0,5,5,0,5,9,0,4,0,11,15,0,25,0,0,0,0,0,0,0,0,96,49,31,3,184,238,38,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,3,0,18,12,0,33,7,9,3,0,19,14,0,38,10,10,0,0,20,13,0,35,1580,2359,629,94,4664,1502,294,6462
POA3016,769,1499,257,38,2568,537,48,3152,144,136,61,8,352,240,5,603,291,433,122,14,855,185,24,1059,436,570,181,23,1207,422,31,1665,98,37,48,6,194,346,14,558,27,6,4,0,41,43,3,85,7,8,31,0,43,90,8,144,0,0,0,0,0,0,0,0,135,49,87,10,276,482,30,789,0,0,0,0,3,22,3,27,3,0,0,0,3,11,0,14,0,0,0,0,0,3,0,3,6,3,0,0,10,4,0,13,8,7,3,0,18,36,3,57,3,6,0,0,10,14,0,23,1353,2135,532,71,4079,1498,107,5687
POA3018,835,1076,315,47,2281,743,78,3103,240,125,67,10,440,460,33,929,218,217,68,12,515,127,27,673,459,349,133,19,955,585,60,1602,42,10,19,0,73,119,18,210,5,0,0,0,6,52,0,64,24,11,15,4,60,59,11,128,0,0,0,0,0,0,0,0,74,26,34,6,139,236,24,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,12,4,0,11,5,0,0,0,12,4,0,11,0,0,0,0,4,6,0,13,1376,1448,487,67,3381,1577,172,5129
POA3019,213,520,304,50,1093,321,96,1502,113,159,115,19,409,284,33,724,136,244,84,17,481,82,53,616,242,402,204,41,889,371,85,1344,15,5,4,0,21,9,0,35,5,3,0,0,7,0,0,12,20,7,3,3,31,20,3,55,0,0,0,0,0,0,0,0,34,14,7,6,63,35,3,99,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11,0,0,0,0,0,0,0,0,3,0,3,0,3,6,3,14,3,0,3,0,6,19,4,24,8,3,3,0,7,4,0,12,504,939,515,101,2052,743,191,2991
POA3020,2449,3996,1775,267,8484,2269,531,11291,229,359,167,42,800,347,72,1217,222,328,165,33,749,155,62,965,449,689,335,77,1545,504,134,2185,178,175,129,32,510,423,59,997,14,10,3,0,32,35,3,63,22,19,12,5,50,38,10,94,3,0,0,0,9,3,3,14,211,204,142,40,601,494,77,1170,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,0,3,6,6,7,21,6,4,3,3,11,8,7,20,10,5,4,0,22,21,5,45,3125,4892,2261,385,10663,3297,749,14707
POA3021,3143,5162,2613,294,11214,2497,499,14212,203,300,235,28,774,431,77,1279,116,174,108,16,411,113,38,559,318,476,339,47,1183,552,110,1846,235,291,181,38,737,357,64,1162,4,8,4,0,13,11,3,33,0,0,0,0,3,4,0,9,3,0,0,0,6,5,0,11,239,296,182,36,758,377,70,1213,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,19,8,0,31,3,0,38,3,20,8,0,35,9,0,42,10,11,7,0,33,9,3,44,3717,5974,3148,384,13222,3446,691,17351
POA3022,179,253,134,20,577,236,51,863,31,23,11,3,73,39,4,121,17,22,14,0,47,22,5,69,47,47,26,3,119,60,9,191,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,23,0,0,0,0,0,3,0,3,227,297,157,25,706,315,61,1077
POA3023,2999,8548,2251,225,14016,2014,319,16354,169,268,119,5,566,290,27,881,210,440,194,19,868,187,42,1096,378,712,314,27,1430,473,74,1975,10,13,8,0,31,43,0,75,13,4,7,0,27,8,4,39,25,19,7,4,57,25,7,84,3,0,0,0,4,3,0,8,45,34,26,5,111,85,7,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,0,12,3,0,18,4,8,3,0,12,8,0,17,4,0,3,0,10,3,0,11,3432,9302,2601,251,15582,2581,405,18570
POA3024,1462,3267,1108,75,5915,1048,182,7142,40,43,40,6,130,78,7,214,8,4,3,0,19,5,0,27,44,46,47,6,141,86,7,233,4,0,3,0,11,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,11,7,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,6,3,0,12,1510,3325,1161,82,6073,1135,188,7400
POA3025,759,1053,389,70,2275,700,93,3070,128,100,66,7,305,155,16,481,134,166,81,6,377,125,26,530,259,268,146,11,681,279,44,1008,29,11,23,3,67,100,3,164,3,9,11,3,29,12,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,20,31,3,94,110,6,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,6,0,10,3,5,0,0,5,8,0,12,0,8,4,0,16,0,0,18,1051,1351,571,88,3066,1104,146,4310
POA3026,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,4,27,4,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,4,28,4,34,0,0,0,0,0,0,0,0,4,0,3,0,4,35,4,43
POA3027,354,983,153,24,1511,113,49,1676,31,60,0,0,91,7,3,100,49,70,16,7,140,26,5,174,84,131,17,7,236,31,12,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,1117,167,30,1743,148,66,1961
POA3028,1778,2918,1057,137,5890,1491,273,7657,379,553,203,16,1160,493,57,1708,79,179,45,10,317,59,20,391,462,733,256,26,1471,554,77,2103,85,62,54,8,217,135,5,354,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,90,62,56,8,217,133,5,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,9,0,4,0,0,4,0,3,5,3,4,0,0,6,9,0,18,2332,3720,1373,176,7596,2195,360,10149
POA3029,4613,11812,2668,220,19306,2561,503,22369,885,1650,415,49,2999,679,80,3757,123,239,79,11,459,103,20,583,1010,1892,491,58,3459,783,95,4345,182,221,136,17,549,354,45,950,10,0,0,0,14,16,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,221,135,17,562,370,45,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,3,0,6,0,0,8,0,0,8,7,10,3,0,20,14,0,31,5818,13934,3296,297,23355,3726,647,27726
POA3030,5638,13332,3181,286,22435,3644,665,26753,630,870,335,27,1856,1003,78,2941,371,575,191,19,1158,308,83,1546,1005,1445,524,43,3014,1318,159,4492,82,101,49,7,236,168,18,415,8,0,0,0,13,3,0,14,18,5,4,0,33,45,0,79,0,0,0,0,0,0,0,4,112,111,56,7,281,219,17,517,23,3,3,0,24,41,0,65,0,0,0,0,8,3,0,6,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,6,23,10,3,0,31,50,0,79,6,15,0,0,24,11,0,37,6781,14906,3764,339,25796,5235,850,31877
POA3031,298,486,102,29,917,240,138,1288,353,273,78,16,721,406,139,1270,468,464,147,48,1125,401,276,1797,826,740,226,67,1850,809,418,3074,83,20,16,5,124,165,38,327,202,65,44,25,336,480,90,902,367,225,314,46,956,766,141,1862,0,0,0,0,0,0,0,0,657,309,378,79,1414,1412,260,3094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,17,16,3,40,16,3,0,0,18,16,3,40,10,3,0,3,16,6,0,24,1798,1538,701,171,4211,2483,821,7516
POA3032,934,1851,387,64,3234,683,226,4145,205,202,60,27,490,233,84,806,637,746,191,62,1632,426,225,2282,839,947,250,84,2119,665,308,3091,223,104,67,20,419,432,80,929,276,149,203,34,664,627,152,1441,474,157,59,62,753,530,238,1522,0,0,0,0,0,0,0,3,977,412,335,116,1834,1589,465,3889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,0,12,6,3,25,11,3,3,0,17,6,3,21,10,6,0,0,20,12,3,36,2770,3215,973,273,7229,2949,1009,11186
POA3033,1139,1700,483,47,3364,701,75,4139,95,85,58,3,242,131,14,381,134,164,69,9,372,102,23,492,228,242,127,15,618,229,30,880,15,6,8,0,25,25,3,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,8,0,31,26,3,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,9,4,0,19,0,9,4,0,15,4,0,16,0,3,0,0,5,3,0,9,1379,1965,615,66,4030,957,108,5095
POA3034,887,1175,387,40,2491,641,66,3194,69,71,37,10,189,97,14,303,154,218,62,3,438,100,11,550,222,298,97,16,630,195,24,851,3,3,7,0,7,5,0,17,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,7,0,10,9,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,9,3,24,3,4,29,9,5,9,3,24,3,4,29,3,0,0,0,7,3,0,5,1125,1478,501,61,3158,848,94,4109
POA3036,509,814,178,11,1515,243,21,1774,39,12,8,0,63,118,0,180,16,15,14,3,43,20,0,69,61,21,18,3,103,140,4,249,0,0,0,0,3,22,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572,835,197,15,1618,401,24,2045
POA3037,2090,7138,1391,124,10739,1142,114,11994,377,567,263,30,1244,433,42,1715,207,383,181,20,791,158,52,1003,585,953,441,55,2033,595,95,2722,19,43,18,3,82,168,5,255,16,9,4,0,32,24,3,61,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,36,48,24,3,113,196,6,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,3,11,4,0,12,7,0,23,2722,8147,1861,178,12903,1938,215,15058
POA3038,1860,3835,905,98,6699,867,84,7646,148,202,88,10,441,201,10,654,65,112,28,0,203,39,6,249,210,312,115,12,651,248,11,911,9,11,7,3,30,30,3,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,7,3,30,30,3,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,9,0,3,0,0,3,4,0,9,0,0,0,0,3,0,0,4,2082,4161,1030,107,7388,1147,100,8626
POA3039,683,1333,239,53,2309,514,140,2955,145,110,34,11,296,148,40,490,147,141,43,12,340,95,45,482,298,250,75,24,642,247,84,974,132,61,39,17,255,310,56,615,113,35,12,11,174,328,50,547,102,22,21,5,154,142,31,330,0,0,0,0,0,0,0,0,348,126,76,29,579,780,132,1494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,17,5,3,24,6,7,0,0,17,5,3,24,3,5,0,0,9,25,5,32,1339,1715,387,99,3553,1569,367,5482
POA3040,1060,2640,420,74,4192,795,115,5096,128,126,54,10,314,227,29,572,327,352,114,23,809,413,87,1310,449,480,171,28,1126,643,114,1885,365,209,142,32,754,735,111,1592,98,31,17,3,151,209,25,380,159,50,38,9,259,324,37,616,0,0,4,0,0,0,0,0,620,295,199,50,1160,1262,166,2593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,15,9,4,26,8,3,3,0,15,9,4,27,7,6,3,0,15,12,0,26,2148,3419,796,148,6515,2712,402,9632
