POA_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
POA3013,136,118,38,17,31,36,27,398,151,114,73,32,41,14,7,422,123,88,31,19,33,10,13,313,621,505,228,117,150,82,27,1729,0,0,5,3,4,0,0,12,1026,824,375,187,251,144,73,2880,9,18,15,6,16,6,3,80,12,19,8,9,14,9,8,73,0,6,10,9,11,0,0,44,27,53,30,13,37,16,3,175,4,3,0,3,3,0,0,11,48,106,63,40,74,30,18,385,1080,929,437,232,326,176,93,3267
POA3015,198,158,43,27,50,43,25,541,147,173,76,36,37,10,16,506,187,116,39,28,29,17,15,433,744,689,280,156,195,89,49,2193,3,0,0,0,0,0,0,8,1278,1144,440,246,311,162,93,3673,10,20,14,12,15,4,3,76,18,13,15,10,12,6,0,70,12,22,7,11,13,8,3,72,43,67,37,28,57,36,19,286,0,8,0,0,0,0,0,14,84,127,68,60,98,55,26,513,1362,1268,515,305,412,217,118,4194
POA3016,116,135,76,38,53,41,20,477,109,130,60,24,59,39,15,440,91,94,49,48,39,41,21,372,402,527,330,211,318,217,114,2113,0,0,0,0,0,0,0,10,728,874,518,324,464,331,171,3404,9,19,10,12,16,10,0,82,9,14,15,16,13,9,3,86,4,4,3,5,10,4,3,41,35,81,38,31,68,31,16,289,3,3,0,0,0,0,0,18,64,119,72,61,113,54,23,508,790,995,593,380,573,382,194,3912
POA3018,162,114,52,30,44,32,6,443,90,63,30,20,28,15,9,247,77,74,23,18,20,11,3,238,341,308,166,101,122,81,46,1161,7,3,0,0,0,0,0,12,676,573,268,164,217,133,63,2104,9,14,3,7,5,12,4,49,16,15,12,3,10,4,4,68,3,7,7,7,5,4,3,34,26,65,47,30,40,24,9,232,3,4,0,0,0,0,0,15,64,108,68,48,58,37,21,394,739,675,337,211,275,176,89,2497
POA3019,405,319,164,110,154,98,55,1311,14,8,12,0,3,6,0,46,24,24,17,3,3,5,0,64,33,21,11,3,9,5,0,80,7,9,3,0,0,0,0,19,478,381,203,117,170,115,63,1519,71,107,69,49,78,51,39,458,3,8,0,0,0,3,0,20,3,9,3,0,3,0,0,22,20,16,16,11,11,3,0,84,5,4,6,0,7,10,0,34,103,149,93,63,100,66,40,622,583,525,303,185,273,176,102,2143
POA3020,1570,1132,589,380,548,434,249,4904,132,107,61,28,37,9,17,396,186,128,48,30,53,26,16,476,425,353,143,115,133,57,30,1260,23,25,8,11,3,4,0,67,2342,1742,847,563,777,526,316,7108,269,359,213,177,254,167,119,1558,45,31,17,16,26,11,3,146,38,33,18,15,11,8,3,133,115,125,80,57,64,27,9,479,33,37,23,14,5,11,6,129,498,590,353,287,360,220,141,2446,2833,2335,1203,849,1137,749,457,9556
POA3021,1820,1496,799,527,767,550,319,6282,155,118,77,44,45,38,14,495,170,127,55,29,36,23,14,454,311,226,110,80,118,47,17,901,44,40,21,9,8,3,3,130,2504,2009,1063,686,971,666,364,8259,383,527,352,284,378,235,140,2308,70,55,28,21,29,17,10,226,63,49,29,10,27,13,8,195,141,176,101,69,76,19,13,607,57,62,31,29,32,16,9,232,717,856,549,412,542,301,185,3559,3222,2866,1604,1101,1517,963,547,11818
POA3022,98,71,42,18,26,10,3,279,13,7,3,4,0,3,5,41,13,11,3,3,4,0,0,37,40,24,15,5,11,0,0,102,0,0,0,0,3,0,0,8,168,121,66,31,45,22,15,470,23,29,9,12,12,12,3,98,3,5,3,0,3,0,0,18,0,4,5,0,0,0,0,7,6,7,7,7,8,0,3,36,3,0,0,0,0,0,0,4,37,40,22,24,25,14,3,159,205,160,92,60,73,32,23,626
POA3023,2340,2299,1285,825,1130,760,364,9007,361,337,157,102,129,58,16,1164,316,285,123,73,79,46,16,941,1338,1228,605,316,404,172,65,4119,28,25,16,8,4,3,0,77,4382,4179,2189,1325,1740,1036,462,15319,266,403,246,180,275,194,94,1662,61,81,47,36,41,19,13,296,56,74,54,21,36,16,9,260,170,286,182,107,147,55,20,966,47,42,31,20,15,10,4,159,593,892,549,363,522,297,139,3347,4979,5071,2742,1688,2262,1333,599,18665
POA3024,938,721,287,179,213,120,58,2521,122,86,56,25,31,16,8,352,107,96,39,29,37,9,7,326,772,721,325,193,211,85,28,2332,9,14,3,8,3,0,0,31,1952,1630,712,427,497,232,102,5560,77,110,60,44,43,34,19,383,36,52,34,17,17,7,0,168,28,31,13,14,15,5,3,119,199,303,179,99,118,42,5,946,18,23,11,4,3,0,0,58,363,515,296,173,195,93,36,1668,2317,2143,1012,602,688,328,136,7226
POA3025,231,174,93,45,104,76,34,757,133,107,44,36,45,24,11,390,89,61,30,19,19,7,6,231,335,225,84,44,57,33,12,790,13,8,0,0,0,0,0,17,794,568,255,143,225,137,61,2191,27,33,27,16,27,18,18,163,7,29,13,15,12,6,4,81,7,13,4,3,7,3,0,29,31,49,34,32,35,19,8,206,0,0,3,0,0,0,0,11,70,123,74,69,74,50,28,488,866,692,329,216,302,186,87,2679
POA3026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
POA3027,555,338,118,66,94,63,34,1270,37,30,15,4,5,0,0,90,49,18,10,0,3,0,0,80,134,72,20,11,12,10,0,270,3,3,0,0,0,0,0,9,777,464,163,84,123,75,37,1719,25,25,20,19,24,13,0,124,3,3,3,4,0,0,0,11,10,7,4,0,0,0,0,17,15,26,15,9,7,4,3,74,3,0,3,0,0,0,0,11,53,62,43,24,29,16,3,232,833,526,205,107,151,89,39,1953
POA3028,748,556,233,133,215,141,89,2119,129,140,88,39,56,43,12,499,144,109,59,36,55,30,18,444,552,503,295,196,262,122,84,2006,8,7,3,0,3,0,0,22,1575,1318,678,401,585,323,202,5088,46,78,51,35,61,30,21,321,34,45,22,16,24,16,7,160,22,30,24,10,11,12,3,117,115,148,92,75,113,29,30,603,10,6,8,0,4,0,0,36,226,310,199,136,212,91,63,1237,1804,1626,878,541,797,417,271,6329
POA3029,5668,4280,1833,962,1237,707,310,15003,536,370,177,113,153,68,36,1450,407,362,175,102,157,74,23,1295,1443,1307,671,477,689,313,145,5055,45,44,23,11,7,6,5,142,8103,6358,2884,1665,2248,1168,524,22946,424,469,283,198,276,157,68,1879,93,103,64,33,53,16,9,372,46,85,37,29,57,31,14,300,346,484,282,193,252,111,46,1715,56,43,24,17,9,4,0,159,965,1186,691,475,649,317,150,4422,9065,7544,3571,2136,2893,1484,670,27373
POA3030,4445,3495,1591,856,1111,609,308,12411,583,526,274,149,202,87,52,1870,596,445,233,121,140,70,29,1630,2351,2346,1111,631,855,405,158,7863,26,43,14,6,12,3,0,106,8003,6850,3220,1769,2319,1175,550,23883,287,410,271,152,273,143,80,1617,102,137,74,59,93,35,14,527,65,89,56,37,53,32,9,336,429,496,326,223,290,105,53,1925,45,33,23,19,14,0,4,148,940,1164,748,498,723,317,161,4547,8942,8010,3967,2263,3038,1491,719,28431
POA3031,293,240,100,67,71,54,26,843,104,77,37,15,24,9,8,269,113,59,21,7,8,6,11,236,450,283,116,69,102,44,26,1089,15,11,8,3,0,0,0,34,970,673,288,165,205,116,63,2475,84,93,83,50,60,55,41,464,10,15,3,5,8,3,0,52,13,22,3,7,5,0,3,53,25,38,24,18,28,12,10,161,17,24,13,9,5,3,0,66,154,184,125,95,109,71,59,794,1119,861,412,254,314,190,120,3268
POA3032,537,383,188,127,184,152,76,1642,131,101,43,27,56,20,25,402,165,111,52,29,46,26,14,451,681,593,310,184,215,142,71,2205,14,6,0,0,0,0,0,23,1532,1197,598,364,499,348,181,4719,95,97,61,41,67,58,33,449,19,30,14,10,12,7,6,97,8,11,4,10,12,4,0,47,42,71,42,26,46,30,25,279,25,20,11,4,3,0,0,60,186,217,134,84,132,102,64,926,1723,1415,728,451,632,446,244,5642
POA3033,128,110,66,47,101,80,42,564,67,79,42,31,32,19,11,278,85,44,28,18,25,13,13,223,443,495,273,144,171,103,47,1671,3,0,3,0,0,0,0,8,727,730,406,240,326,212,105,2744,8,10,9,8,12,13,9,72,4,11,6,4,9,7,7,57,4,9,5,0,7,3,3,41,40,68,48,43,57,28,18,297,0,3,4,0,0,0,0,10,62,103,71,61,87,57,37,470,782,826,479,298,418,271,144,3217
POA3034,172,169,90,74,99,83,41,725,63,45,41,19,31,10,14,220,63,48,14,8,14,8,8,163,270,224,115,73,93,55,30,861,0,3,3,0,3,0,0,12,569,486,263,172,231,156,95,1971,12,17,15,22,14,18,8,113,4,3,11,0,8,4,0,40,5,3,9,0,5,0,4,29,12,38,29,22,35,17,15,166,0,3,0,0,0,0,0,3,41,67,61,49,58,40,31,345,606,556,323,221,289,196,120,2315
POA3036,16,21,25,9,29,26,25,155,31,44,14,15,20,20,12,155,23,25,11,11,18,4,8,102,152,208,128,89,127,68,28,802,0,3,0,0,0,0,0,8,218,307,178,124,194,126,73,1217,0,5,7,0,3,3,3,16,0,10,3,5,0,0,3,23,0,0,4,3,3,3,0,11,12,21,26,29,24,15,12,138,0,7,0,0,3,0,0,13,15,39,32,32,35,21,15,201,234,345,216,154,229,147,85,1417
POA3037,1196,1285,698,448,743,551,306,5225,275,346,224,122,189,87,31,1275,211,290,153,94,124,87,29,979,1397,1628,887,589,635,284,82,5503,11,13,10,3,9,5,0,52,3097,3560,1969,1247,1696,1012,444,13024,113,151,130,70,145,97,66,773,37,52,26,33,38,14,9,207,30,58,23,8,33,11,5,170,151,236,148,104,153,69,28,890,17,22,13,8,4,3,0,65,344,526,334,229,376,190,104,2111,3440,4086,2303,1481,2074,1204,545,15133
POA3038,263,334,247,190,278,249,178,1737,110,115,106,65,103,80,45,621,105,112,66,39,68,58,34,486,527,561,399,297,370,273,121,2548,4,3,5,0,5,0,0,18,1017,1116,829,592,827,654,376,5420,26,46,33,33,69,42,41,290,32,30,28,24,19,17,5,148,14,13,12,10,18,7,0,80,67,109,68,41,96,38,22,445,5,12,3,0,3,0,0,28,140,206,148,115,210,107,65,994,1157,1324,971,706,1040,763,446,6414
POA3039,128,93,33,26,33,28,10,350,83,81,45,23,38,30,9,316,88,48,23,19,23,16,13,236,415,452,258,150,226,138,74,1707,4,3,0,0,0,0,0,9,712,671,361,228,317,212,107,2613,3,14,9,5,9,5,3,54,7,15,8,0,3,4,6,42,0,6,6,0,8,0,0,22,21,35,23,19,26,19,10,149,0,0,0,3,0,0,0,3,32,64,51,30,44,27,15,270,743,741,411,258,364,242,123,2886
POA3040,274,193,115,54,99,72,38,847,81,109,77,55,81,54,40,489,121,113,58,56,76,49,28,508,607,786,517,393,544,361,204,3410,4,3,3,3,0,3,0,13,1093,1201,772,552,805,540,308,5269,5,23,19,7,18,10,5,95,9,18,9,9,16,14,10,73,3,17,9,11,14,11,3,64,55,103,59,53,87,48,34,444,3,4,4,0,0,0,0,14,75,166,107,80,136,82,56,699,1172,1362,881,634,933,620,362,5961
POA3041,112,101,70,49,54,39,28,444,42,63,41,32,43,30,14,267,41,59,36,32,33,20,8,235,355,474,276,191,255,164,83,1803,8,0,0,3,3,0,0,11,545,701,423,310,392,250,133,2748,0,6,5,6,3,3,6,36,10,8,6,3,7,5,0,34,0,3,7,3,4,5,0,25,13,32,26,25,50,26,14,187,0,7,0,3,0,0,0,11,25,61,47,41,65,39,22,294,573,758,469,349,454,284,155,3045
POA3042,103,89,51,34,46,28,28,382,84,70,43,21,35,20,8,284,78,65,32,15,27,17,10,234,603,517,271,125,185,106,56,1868,3,0,0,0,0,0,0,9,876,741,395,194,297,170,97,2772,4,14,10,11,19,10,11,77,3,17,17,8,9,0,3,63,3,9,12,3,12,5,0,36,48,73,54,52,70,35,26,351,5,4,4,0,3,0,0,18,60,113,90,78,115,53,37,549,933,852,484,273,411,224,139,3324
POA3043,181,178,131,91,152,111,58,894,96,69,43,22,37,23,9,304,80,57,26,16,19,10,7,219,531,377,212,105,129,67,32,1451,7,7,3,0,0,0,0,21,895,689,414,237,341,209,103,2895,17,41,21,9,37,15,20,164,23,32,11,13,14,10,4,109,6,10,10,6,16,7,0,56,85,126,67,50,50,36,18,428,7,5,6,0,0,3,3,20,137,209,116,79,113,72,40,773,1028,901,533,316,458,282,143,3664
POA3044,371,278,137,91,99,81,61,1125,181,177,90,58,100,58,32,696,156,125,62,35,45,31,13,473,880,786,448,243,329,193,106,2983,3,0,0,0,4,5,0,19,1597,1360,736,428,579,368,218,5290,16,46,25,20,30,19,14,166,20,24,16,19,24,15,9,128,7,18,8,8,21,14,6,81,56,103,82,60,64,51,24,443,0,8,0,5,3,0,0,19,103,200,135,101,142,103,52,837,1700,1560,871,537,728,466,267,6128
POA3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3046,985,689,268,179,245,171,94,2622,230,194,78,59,72,24,13,676,169,122,68,32,46,16,13,461,659,570,275,171,237,126,62,2101,19,13,6,7,9,3,0,63,2054,1595,692,443,614,335,186,5917,43,64,75,33,76,41,24,364,46,47,33,31,30,24,9,218,32,38,19,10,13,9,5,119,90,110,95,67,108,40,21,540,7,11,6,4,5,0,0,31,215,270,226,147,229,117,59,1274,2272,1869,918,589,841,454,247,7188
POA3047,789,700,371,259,345,225,104,2792,222,184,92,38,39,12,0,594,111,93,38,28,23,12,4,295,149,105,57,43,56,22,13,447,17,18,10,6,5,0,0,53,1293,1102,563,366,474,271,124,4183,90,126,108,68,103,68,42,597,27,35,18,6,24,5,3,131,22,24,12,10,25,7,4,105,117,109,77,37,38,12,7,399,16,25,10,10,4,0,8,69,273,317,227,136,191,87,61,1296,1568,1414,797,499,663,359,182,5480
POA3048,620,614,412,271,391,273,181,2762,189,161,74,43,56,20,12,556,73,93,27,18,26,10,11,264,151,112,59,39,57,26,4,445,7,14,3,0,3,0,0,31,1038,997,575,376,528,334,207,4060,88,118,100,67,102,74,27,578,31,52,28,25,29,6,3,175,16,19,13,10,8,3,6,74,67,72,36,29,39,12,8,268,11,20,11,3,3,0,0,57,215,281,190,130,184,101,48,1145,1255,1284,764,506,718,432,259,5207
POA3049,44,73,54,34,55,50,34,348,43,51,33,12,23,16,4,181,34,29,24,12,28,7,6,139,249,267,141,95,136,74,36,997,3,5,0,0,0,0,0,7,376,413,248,162,234,152,81,1669,6,7,17,11,25,8,5,85,3,9,7,8,12,6,11,48,5,3,10,4,7,3,4,32,49,70,59,38,44,16,21,295,0,3,3,5,0,0,0,17,64,98,94,58,86,40,37,469,435,512,336,220,325,186,121,2141
POA3050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3051,180,162,99,58,88,40,25,653,42,25,12,9,10,8,0,116,38,30,22,7,16,4,3,122,128,95,46,30,33,28,10,371,16,12,5,0,0,0,0,31,405,324,187,110,148,80,36,1294,54,83,46,26,42,31,30,320,4,3,3,0,3,4,3,24,3,3,9,0,6,9,0,32,20,18,11,10,9,6,4,74,21,8,6,3,4,0,0,39,103,125,72,39,68,43,34,485,505,445,262,156,217,125,76,1778
POA3052,75,48,20,12,10,15,5,182,22,3,3,3,3,3,0,43,9,13,7,3,5,0,0,52,40,26,22,15,16,15,6,140,0,0,0,0,0,0,0,0,148,86,56,32,35,34,19,421,12,8,4,0,4,6,9,42,0,3,3,0,0,0,0,12,0,3,0,0,0,0,0,5,3,0,3,0,4,5,0,18,0,0,0,0,0,0,0,0,15,17,9,6,11,17,13,77,168,105,62,41,45,49,28,497
POA3053,189,122,79,37,45,31,15,530,17,17,6,3,3,0,0,51,34,18,6,10,13,6,3,96,48,29,15,15,14,12,7,146,5,4,5,0,0,0,0,20,302,198,119,67,82,52,28,834,50,75,39,39,51,48,24,333,3,3,3,0,3,4,0,20,3,9,6,0,6,0,4,26,10,19,8,0,5,4,0,52,10,7,3,3,3,0,0,27,82,113,57,51,65,57,28,456,382,310,178,118,148,112,56,1295
