POA_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
POA3013,..,9,328,769,541,310,182,145,52,2331,..,29,353,285,186,85,19,0,0,957,..,0,0,11,17,26,3,4,5,70,1328,..,..,..,..,..,..,..,..,1328,..,324,..,..,..,..,..,..,..,324,..,141,131,51,42,19,3,0,0,391,..,45,38,10,13,13,5,8,3,136,..,20,44,10,5,4,0,0,0,93,..,94,214,62,39,21,10,3,0,452,..,12,83,109,108,100,59,40,32,540,12,19,34,18,20,10,8,7,0,123,1339,690,1221,1325,975,595,293,203,97,6744,..,12,456,809,497,289,168,123,15,2370,..,67,353,286,173,59,4,0,0,944,..,0,20,101,119,71,43,45,33,419,1345,..,..,..,..,..,..,..,..,1345,..,270,..,..,..,..,..,..,..,270,..,94,89,39,38,17,0,0,0,278,..,41,35,19,17,19,21,21,13,186,..,32,29,6,4,0,0,0,0,73
POA3015,..,5,390,966,670,473,240,153,44,2955,..,30,295,266,209,83,29,3,0,898,..,0,3,22,39,32,16,11,4,134,1724,..,..,..,..,..,..,..,..,1724,..,367,..,..,..,..,..,..,..,367,..,208,170,66,40,20,5,0,0,506,..,40,43,12,10,36,14,0,10,162,..,28,37,3,10,3,3,0,0,84,..,101,157,57,34,22,8,3,3,380,..,15,85,124,156,139,86,43,37,682,21,27,23,17,15,13,13,7,4,144,1748,819,1210,1532,1185,818,410,228,98,8044,..,24,531,1034,634,431,218,101,17,2993,..,41,319,302,171,84,18,0,0,938,..,3,29,107,161,100,40,48,22,509,1719,..,..,..,..,..,..,..,..,1719,..,373,..,..,..,..,..,..,..,373,..,164,109,37,32,12,4,0,0,364,..,36,43,13,4,18,21,14,17,176,..,33,26,3,11,7,0,0,0,78
POA3016,..,5,158,592,839,665,410,140,56,2863,..,22,142,120,125,75,33,11,0,522,..,0,0,6,38,27,12,6,10,100,1485,..,..,..,..,..,..,..,..,1485,..,616,..,..,..,..,..,..,..,616,..,217,142,31,31,21,0,0,0,442,..,39,26,8,8,8,13,5,7,110,..,6,15,8,3,0,4,0,0,38,..,21,41,21,24,19,4,3,0,133,..,16,62,57,115,129,117,68,39,612,27,19,30,17,15,24,14,3,7,157,1511,966,613,848,1206,974,607,236,113,7071,..,6,219,680,898,633,334,111,26,2910,..,30,154,139,134,67,27,0,0,547,..,4,31,103,152,77,25,24,20,433,1283,..,..,..,..,..,..,..,..,1283,..,531,..,..,..,..,..,..,..,531,..,166,111,23,20,11,4,0,0,339,..,28,22,4,3,17,18,19,16,129,..,9,14,3,3,0,0,0,0,33
POA3018,..,6,236,537,434,412,356,222,64,2268,..,17,171,128,110,66,28,3,0,523,..,0,5,17,26,22,6,8,9,96,955,..,..,..,..,..,..,..,..,955,..,249,..,..,..,..,..,..,..,249,..,169,149,62,50,20,5,0,0,455,..,29,25,16,4,11,18,12,4,115,..,10,19,8,5,5,3,0,0,56,..,18,73,36,43,30,9,0,3,216,..,9,63,99,124,143,105,76,49,669,14,15,24,22,16,4,8,7,4,108,966,523,751,919,808,715,552,328,130,5698,..,13,326,547,467,404,341,177,35,2307,..,40,175,122,98,48,23,3,0,508,..,8,34,92,120,61,30,41,19,412,1011,..,..,..,..,..,..,..,..,1011,..,285,..,..,..,..,..,..,..,285,..,118,90,30,15,22,3,0,0,283,..,32,30,6,12,33,18,15,9,164,..,14,12,4,0,3,0,0,0,35
POA3019,..,10,291,303,255,232,143,53,20,1302,..,19,75,44,29,17,9,0,0,192,..,0,4,23,26,19,6,5,4,87,841,..,..,..,..,..,..,..,..,841,..,256,..,..,..,..,..,..,..,256,..,153,155,54,29,23,0,0,0,414,..,95,79,36,19,30,5,10,0,269,..,65,61,26,21,20,0,0,0,196,..,121,155,48,36,22,5,4,0,389,..,12,54,49,57,71,70,30,10,355,8,16,29,13,14,7,4,3,0,108,852,749,898,591,480,433,251,112,37,4408,..,38,383,304,221,201,97,33,6,1292,..,22,80,46,23,14,3,0,0,199,..,20,46,121,121,82,32,24,15,462,749,..,..,..,..,..,..,..,..,749,..,292,..,..,..,..,..,..,..,292,..,98,117,29,14,10,7,0,0,268,..,63,49,20,22,32,30,25,7,252,..,37,36,11,9,6,0,0,0,102
POA3020,..,79,1335,1531,1269,1225,1063,670,172,7341,..,59,298,267,188,89,24,13,0,931,..,5,32,71,114,91,54,34,11,417,3647,..,..,..,..,..,..,..,..,3647,..,1120,..,..,..,..,..,..,..,1120,..,741,776,353,228,89,10,0,0,2196,..,307,328,128,104,97,62,21,15,1052,..,200,320,113,107,47,14,0,0,800,..,423,725,245,110,70,41,14,4,1635,..,54,235,257,305,318,240,158,57,1624,62,77,136,100,75,48,34,14,5,556,3709,3062,4179,3057,2503,2075,1549,924,272,21328,..,226,1780,1465,1190,1215,985,449,73,7380,..,82,351,254,167,63,24,3,0,947,..,54,263,475,539,307,161,148,86,2020,3574,..,..,..,..,..,..,..,..,3574,..,1214,..,..,..,..,..,..,..,1214,..,499,556,154,96,58,5,0,0,1372,..,241,186,61,89,179,116,85,43,997,..,165,147,53,37,22,10,4,0,435
POA3021,..,107,1429,1556,1692,1847,1678,754,130,9182,..,73,286,203,173,113,42,12,3,899,..,11,40,78,143,136,83,50,14,549,4545,..,..,..,..,..,..,..,..,4545,..,1476,..,..,..,..,..,..,..,1476,..,1038,1183,511,281,81,13,0,0,3108,..,382,318,99,150,132,65,29,24,1197,..,268,291,94,81,56,17,8,3,828,..,410,521,156,118,90,43,10,7,1359,..,52,194,267,337,340,279,162,64,1690,72,93,123,113,79,55,43,30,5,615,4613,3919,4391,3068,3054,2849,2263,1051,254,25451,..,276,1892,1689,1592,1878,1382,477,51,9240,..,106,296,229,165,86,27,7,0,910,..,78,352,738,717,478,235,161,93,2851,4258,..,..,..,..,..,..,..,..,4258,..,1539,..,..,..,..,..,..,..,1539,..,696,744,247,132,44,9,0,0,1877,..,310,201,71,129,199,129,157,59,1250,..,190,181,46,50,25,17,4,0,508
POA3022,..,4,97,110,69,56,67,26,13,442,..,5,44,30,12,8,3,0,0,92,..,0,3,3,7,7,3,0,0,21,250,..,..,..,..,..,..,..,..,250,..,61,..,..,..,..,..,..,..,61,..,43,50,18,12,5,0,0,0,131,..,20,16,6,9,10,6,0,0,62,..,21,14,0,3,6,0,0,0,45,..,30,55,24,16,7,3,0,0,134,..,3,15,25,28,40,21,16,9,155,3,4,14,3,5,3,0,0,0,41,253,182,308,219,161,143,108,45,22,1437,..,16,124,102,54,60,59,21,6,439,..,13,35,23,15,3,0,0,0,89,..,0,16,35,36,24,13,13,0,142,255,..,..,..,..,..,..,..,..,255,..,63,..,..,..,..,..,..,..,63,..,27,38,8,7,3,0,0,0,75,..,18,6,5,0,13,6,3,5,56,..,3,4,3,3,0,0,0,0,15
POA3023,..,80,1821,3691,2623,1869,1208,420,66,11775,..,68,457,389,262,118,35,4,0,1343,..,10,39,98,123,94,49,26,8,442,7418,..,..,..,..,..,..,..,..,7418,..,2046,..,..,..,..,..,..,..,2046,..,1158,988,313,97,24,3,0,0,2585,..,278,287,120,88,93,46,27,11,962,..,117,174,77,57,41,16,3,0,481,..,84,202,102,77,75,28,6,0,575,..,39,223,326,268,209,132,74,37,1313,87,67,123,85,59,31,27,15,5,498,7503,3946,4320,5188,3667,2558,1542,568,128,29428,..,180,2599,3732,2462,1673,925,237,38,11839,..,98,493,396,230,90,23,6,0,1339,..,52,309,753,661,348,125,66,33,2350,7058,..,..,..,..,..,..,..,..,7058,..,2147,..,..,..,..,..,..,..,2147,..,903,683,163,68,31,3,0,0,1859,..,256,166,68,98,215,154,128,56,1139,..,95,92,28,30,13,3,3,0,266
POA3024,..,14,996,1270,786,525,350,109,7,4064,..,77,336,201,125,60,16,3,0,806,..,10,21,52,59,33,12,8,0,191,3091,..,..,..,..,..,..,..,..,3091,..,565,..,..,..,..,..,..,..,565,..,484,261,72,35,11,0,0,0,858,..,95,97,36,32,26,23,10,0,315,..,49,53,26,20,11,4,0,0,164,..,30,77,49,22,26,22,4,0,238,..,17,118,148,118,103,53,21,6,578,34,43,42,32,28,5,8,8,0,201,3127,1380,2012,1874,1221,806,477,156,18,11077,..,55,1361,1133,727,498,259,67,11,4098,..,108,348,200,110,39,12,0,0,818,..,32,243,329,257,109,36,28,17,1042,2982,..,..,..,..,..,..,..,..,2982,..,594,..,..,..,..,..,..,..,594,..,346,157,27,10,9,3,0,0,549,..,77,51,24,30,58,62,17,6,324,..,42,37,16,12,5,0,0,0,105
POA3025,..,10,334,461,316,241,288,308,74,2037,..,14,145,108,53,28,10,0,3,357,..,0,3,12,21,29,7,11,6,99,1075,..,..,..,..,..,..,..,..,1075,..,270,..,..,..,..,..,..,..,270,..,218,177,91,75,33,5,0,0,593,..,46,64,32,17,16,12,10,9,208,..,19,20,5,11,10,0,0,0,56,..,31,61,24,27,26,13,11,3,197,..,15,60,64,82,84,56,62,29,461,10,20,23,18,14,9,3,9,3,102,1089,641,885,824,619,468,391,413,128,5456,..,47,420,470,301,251,309,233,30,2059,..,33,164,91,45,23,5,0,3,364,..,10,36,100,134,87,53,61,25,499,1026,..,..,..,..,..,..,..,..,1026,..,308,..,..,..,..,..,..,..,308,..,124,91,40,44,22,0,0,0,323,..,29,20,14,13,20,25,32,27,185,..,9,16,3,6,6,0,0,0,40
