POA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA3019,0,30,233,144,64,68,3,3,0,543,0,9,98,53,38,31,0,0,0,229,0,7,73,68,24,18,0,0,0,193,0,5,47,41,31,5,0,0,0,123,0,0,29,46,27,6,0,0,0,106,0,8,7,20,8,11,4,0,0,47,56,72,146,97,86,73,57,28,18,628,556,922,1831,1261,1038,949,552,269,111,7505
POA3020,4,161,935,659,487,352,90,39,6,2736,3,50,506,411,283,150,37,4,3,1453,0,19,344,285,196,109,23,3,3,978,0,12,183,183,139,85,13,3,0,618,0,0,156,235,150,82,11,3,3,643,3,5,44,70,48,27,11,3,0,217,273,331,689,469,465,395,404,319,195,3551,2516,3613,8337,6138,5223,4527,3498,2254,935,37050
POA3021,12,189,959,690,543,411,96,16,7,2914,0,75,521,363,285,213,40,0,0,1497,0,14,291,240,201,140,25,0,0,913,0,8,112,126,97,78,15,8,0,446,3,4,102,122,85,73,20,3,0,413,5,10,38,42,44,26,18,0,0,182,426,409,844,621,583,582,570,312,114,4466,3304,4517,9010,6786,6460,6420,4954,2519,736,44705
POA3022,0,11,68,64,29,21,8,4,0,198,0,7,43,33,28,12,4,0,0,129,0,0,25,33,14,8,0,0,0,77,0,0,22,19,10,3,3,0,0,61,0,0,21,10,15,3,0,0,0,47,0,0,8,3,0,0,3,0,0,12,17,13,60,33,23,31,37,32,33,273,148,199,629,443,321,294,236,150,116,2544
POA3023,9,225,1283,1329,946,475,97,14,6,4385,3,78,783,1021,655,326,52,5,0,2923,3,22,576,799,510,221,34,3,0,2164,0,16,287,548,338,134,21,7,0,1353,0,9,329,758,383,146,23,4,0,1649,4,4,79,245,135,47,9,0,3,527,363,490,1153,1041,713,457,326,150,43,4730,4277,4153,10006,11491,8047,5606,3324,1344,416,48664
POA3024,3,70,659,540,328,168,41,7,0,1818,0,31,396,376,224,121,22,0,0,1174,0,9,252,312,180,78,15,0,0,849,0,4,129,188,123,53,13,0,0,517,0,4,128,225,133,58,13,3,0,560,0,0,30,50,38,20,9,0,0,145,124,128,311,249,185,140,105,63,20,1326,1432,1412,4584,3970,2622,1801,1062,400,103,17388
POA3025,4,52,224,149,152,86,14,12,5,697,0,17,174,125,93,52,9,4,3,474,0,3,174,146,86,42,16,3,3,476,0,3,84,100,70,23,9,3,0,283,0,0,130,182,75,29,6,0,0,419,0,3,29,52,26,19,10,0,0,131,69,42,155,156,106,86,122,197,120,1049,628,664,1856,1749,1315,1036,1027,1130,490,9899
POA3026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,4,0,0,21,0,6,3,5,26,15,12,4,0,70
POA3027,0,16,250,167,70,30,6,0,0,532,0,3,158,136,64,23,3,0,0,381,0,0,134,147,43,21,5,0,0,356,0,4,67,111,27,12,0,0,0,223,0,3,129,197,57,10,0,0,0,396,0,0,32,65,27,13,0,0,0,135,23,22,90,79,33,33,13,3,0,294,311,353,1745,1410,585,355,116,24,10,4897
POA3028,4,136,711,492,448,353,58,19,6,2214,0,38,435,358,340,189,25,3,0,1392,0,19,279,292,272,186,17,0,0,1063,0,9,142,219,165,93,11,0,3,639,0,0,170,266,219,147,13,0,0,814,0,3,35,73,60,32,7,0,0,220,129,164,342,285,289,278,199,121,50,1858,1586,2082,5079,4047,4074,3548,2166,1079,399,24055
POA3029,12,304,2600,1917,1308,773,150,29,11,7117,0,124,1520,1311,909,470,98,11,0,4431,0,46,896,1084,671,379,51,9,0,3143,4,13,555,716,415,227,28,0,0,1949,0,13,553,850,531,294,33,4,0,2280,3,7,103,223,192,90,21,3,0,643,541,556,1672,1241,808,551,407,170,64,6007,5643,6108,19192,15140,10284,7512,4476,1636,421,70414
POA3030,16,374,2242,1956,1484,823,206,54,29,7187,0,132,1439,1548,1021,540,97,17,5,4800,0,47,1088,1396,926,452,74,11,3,4000,0,16,659,1078,680,300,43,10,4,2790,3,25,786,1756,990,424,60,14,6,4060,3,16,189,771,495,197,53,12,10,1739,485,473,1153,1022,829,656,519,319,230,5683,5750,5871,16824,17695,12681,8657,5038,2381,932,75828
POA3031,3,100,632,215,150,99,39,10,4,1251,0,54,607,230,135,94,25,5,0,1156,0,9,481,272,154,86,16,0,0,1020,0,3,289,236,122,59,10,3,0,735,0,7,384,502,245,130,21,3,0,1291,0,5,135,319,187,67,14,0,0,728,86,151,478,310,197,183,110,80,28,1617,744,1537,4858,3131,2060,1591,936,535,225,15624
POA3032,5,181,895,434,356,263,95,22,11,2258,0,65,695,390,299,197,60,12,3,1716,0,29,539,377,281,193,44,3,4,1475,0,16,306,325,244,134,21,3,7,1037,0,15,420,621,418,214,30,4,3,1723,4,12,156,439,349,160,28,5,0,1157,139,217,548,378,318,229,147,75,32,2081,1409,2681,6672,4576,3766,2926,1608,780,358,24774
POA3033,3,49,226,209,211,148,68,23,3,945,0,17,199,199,161,98,42,13,0,728,0,5,145,145,169,82,23,3,0,576,0,0,86,134,124,66,22,3,0,432,0,0,118,224,169,80,21,3,0,619,0,0,23,95,94,47,9,6,0,273,65,51,119,100,117,109,173,164,97,985,784,777,1660,1950,1975,1485,1749,1237,387,12020
POA3034,0,34,208,140,152,126,50,13,5,740,0,19,166,133,123,71,29,9,3,556,0,7,111,135,97,74,18,5,0,442,0,0,47,106,81,52,12,0,3,304,0,0,76,113,86,42,15,3,0,342,0,0,21,57,65,37,6,3,0,190,52,47,86,95,95,95,148,165,90,874,551,628,1433,1524,1448,1300,1428,1142,396,9847
POA3036,0,30,73,79,79,81,51,9,8,412,0,13,48,60,83,67,23,9,0,296,0,6,43,60,81,60,14,4,4,278,0,0,41,36,86,33,9,0,3,212,0,3,29,77,82,49,27,0,0,266,0,0,15,46,77,45,9,9,3,205,29,18,33,43,47,49,64,40,27,345,422,368,519,666,908,800,724,339,185,4923
POA3037,0,228,1037,1012,912,456,80,5,0,3726,4,82,632,749,587,283,57,0,0,2387,0,24,415,661,475,247,27,0,0,1856,0,12,247,492,312,134,9,3,3,1211,0,14,246,604,387,141,12,0,0,1396,0,3,57,197,152,57,3,0,0,470,302,247,431,541,458,328,241,135,102,2786,3814,3596,7182,8601,7277,4709,2547,1089,478,39290
POA3038,4,187,469,362,531,409,80,10,6,2063,0,50,339,266,369,302,53,9,0,1390,3,27,210,213,333,205,34,3,0,1026,0,10,130,137,223,138,18,0,0,650,0,0,107,263,315,228,21,0,0,936,4,3,26,96,144,70,12,3,0,361,149,122,201,177,236,291,219,87,24,1513,1999,2222,3217,3099,4400,4207,2399,1030,324,22893
POA3039,3,82,372,196,172,123,69,19,4,1044,0,30,283,164,197,120,33,3,0,834,0,22,217,174,170,125,22,3,4,735,0,3,117,168,149,79,20,0,0,531,0,3,189,311,284,158,22,3,0,965,0,4,64,311,259,118,22,3,3,784,43,61,195,143,111,133,100,87,110,987,701,1057,2473,2143,1930,1566,1028,691,397,11985
POA3040,3,138,595,340,340,286,134,43,20,1897,0,48,508,263,329,256,77,18,7,1516,0,27,358,312,334,251,51,12,4,1349,0,11,207,265,265,186,47,19,5,1002,0,6,294,448,493,319,56,12,5,1631,0,8,115,403,509,235,44,16,5,1325,151,115,374,235,258,202,148,111,130,1730,1719,1872,4135,3449,3832,3116,1783,1073,685,21662
POA3041,0,66,203,164,163,158,68,20,13,858,0,26,186,167,152,140,30,4,7,705,0,6,112,164,159,115,25,7,7,598,0,4,94,108,150,97,21,4,3,476,0,3,103,257,230,128,31,0,0,760,0,0,33,173,196,95,22,6,4,536,61,62,128,113,100,88,91,84,68,802,817,830,1506,1779,1827,1532,943,578,329,10133
POA3042,3,69,338,253,262,192,56,6,3,1185,0,28,268,223,206,113,22,4,3,872,0,4,227,210,166,102,11,3,0,726,0,3,104,157,119,77,15,3,0,472,0,3,139,248,212,89,11,0,0,708,0,0,47,122,101,41,6,3,3,333,62,53,160,165,145,120,164,110,65,1045,743,840,2245,2368,2133,1682,1522,1088,464,13083
POA3043,0,67,410,303,273,217,96,24,9,1403,0,31,277,207,182,141,39,6,3,883,0,6,202,175,149,88,27,0,0,650,0,7,102,128,71,62,11,0,0,374,0,4,101,157,94,61,9,5,0,429,0,0,15,47,35,23,3,7,0,134,86,79,216,174,182,165,207,149,63,1315,903,1060,2623,2458,2165,2108,2098,1055,314,14776
POA3044,0,113,643,478,409,226,76,17,24,1997,0,48,534,387,333,192,29,13,12,1536,0,19,366,381,313,150,32,4,3,1275,0,12,213,304,235,89,11,7,0,882,0,5,314,522,378,151,21,6,8,1390,0,3,76,219,176,60,7,8,7,554,132,134,358,329,265,200,173,141,126,1853,1416,1692,4513,4345,3705,2493,1584,1388,973,22096
POA3045,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,6,5,19,17,10,9,3,3,0,0,67,3,22,24,23,10,9,3,3,0,98
POA3046,3,127,869,523,390,241,63,34,10,2251,0,52,568,404,300,159,34,7,4,1525,0,13,402,348,287,132,22,4,0,1204,0,11,222,256,166,75,21,0,0,756,0,7,268,367,183,103,11,7,0,948,3,0,59,134,68,30,17,10,0,322,194,182,527,375,318,241,259,315,238,2654,1726,2368,6784,4877,3858,2881,2244,2182,1100,28024
POA3047,7,63,289,177,176,92,17,9,3,837,0,25,132,106,94,53,7,0,0,419,0,10,59,56,39,35,10,3,0,213,0,0,31,41,27,26,0,0,0,119,0,0,26,34,23,11,0,0,0,102,0,3,30,16,10,6,3,4,0,68,214,205,479,308,325,231,187,143,40,2128,1435,1736,3737,2529,2496,1845,1256,872,279,16175
POA3048,0,61,224,171,176,94,18,5,0,755,0,13,94,78,101,60,3,4,0,361,0,14,66,47,61,25,0,0,0,219,0,6,33,26,30,13,3,5,0,114,0,3,21,34,27,23,3,0,0,110,0,0,6,15,14,8,10,3,0,50,170,106,231,219,216,157,117,62,10,1293,1462,1471,2598,2287,2454,1810,1173,566,134,13950
POA3049,3,44,184,145,149,140,30,6,3,708,0,11,131,105,126,98,22,0,0,488,0,7,95,92,108,61,13,0,0,370,0,8,45,52,72,64,7,0,0,244,0,5,33,68,95,51,8,0,0,264,0,4,8,30,35,25,6,0,0,104,58,40,80,68,84,89,85,50,19,567,645,666,1214,1166,1425,1325,798,341,94,7677
POA3050,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,3,12,17,6,3,8,5,3,52,3,12,24,25,10,3,16,5,3,100
POA3051,5,137,462,142,93,51,42,12,3,951,4,49,408,135,81,51,26,6,3,765,0,23,347,133,67,37,21,6,3,626,0,11,184,132,64,43,18,8,0,461,3,11,247,262,134,79,21,0,3,758,3,13,73,168,116,68,22,4,0,469,156,329,490,245,162,125,93,67,17,1697,1090,2907,4216,1896,1267,942,621,333,106,13372
POA3052,5,64,198,46,41,12,21,10,0,403,0,23,165,42,32,16,16,7,3,314,0,6,137,47,33,22,16,10,0,275,0,5,58,40,18,23,8,3,3,160,0,5,81,69,49,37,27,12,3,277,0,0,31,56,58,73,34,6,0,267,54,114,144,57,40,50,49,93,201,805,425,1129,1561,522,397,365,310,245,318,5272
POA3053,29,176,475,104,59,40,38,12,11,939,4,59,371,91,40,28,25,14,0,641,7,32,299,112,52,40,19,16,5,582,8,13,166,84,40,29,23,5,0,369,4,24,237,165,81,50,23,9,0,598,0,12,88,109,101,79,36,9,0,444,235,473,504,195,152,98,73,44,23,1799,2568,5852,4693,1460,979,798,579,344,169,17442
POA3054,3,56,338,100,70,57,58,16,5,691,0,31,299,105,67,44,48,13,5,600,0,11,235,86,85,57,38,4,0,518,0,0,122,105,56,42,29,4,3,369,0,3,173,171,129,98,47,5,3,629,0,3,63,160,155,121,56,10,3,566,33,74,161,70,63,71,50,37,14,569,290,923,2304,1150,906,786,703,300,138,7503
POA3055,3,87,485,222,157,102,41,7,3,1113,0,30,377,188,153,82,29,5,0,857,0,9,253,197,133,59,15,0,0,670,0,0,141,169,105,62,11,4,0,500,0,0,175,275,182,98,14,3,0,744,0,3,46,180,100,63,12,4,5,413,37,78,269,163,108,109,72,64,29,927,525,1292,3575,2285,1638,1240,808,598,293,12250
POA3056,4,177,1096,396,240,152,57,13,7,2133,3,51,780,387,194,134,31,15,3,1603,0,31,662,403,201,129,33,7,3,1466,0,8,364,342,174,115,15,3,0,1025,0,4,459,544,325,165,24,4,0,1530,0,3,115,347,207,84,20,0,0,790,73,206,521,311,181,130,87,88,36,1629,750,2721,7284,4137,2515,1896,1241,940,378,21866
POA3057,0,88,593,179,118,73,39,0,0,1094,0,31,469,190,93,47,11,3,0,843,0,17,376,215,111,53,12,0,0,781,0,6,195,170,91,44,10,0,0,518,0,3,254,307,134,63,15,3,0,785,0,0,65,168,92,43,9,0,0,375,24,67,325,159,79,51,43,47,22,811,352,1157,3834,2043,1129,742,511,389,136,10300
POA3058,5,154,836,556,405,285,80,26,3,2348,0,56,581,478,391,211,49,5,5,1780,0,11,479,511,388,190,23,3,0,1601,0,7,250,391,264,132,24,3,4,1064,0,8,339,620,412,160,26,5,0,1571,4,9,94,340,214,68,11,3,0,737,119,193,454,359,284,243,189,212,183,2232,1407,2555,6566,5512,4379,3151,2069,1702,855,28191
POA3059,4,87,304,216,270,193,55,3,0,1130,3,39,245,170,210,123,32,0,0,818,0,6,160,143,197,111,19,3,0,642,0,5,93,128,138,67,26,0,0,457,0,3,111,192,179,93,19,3,0,601,0,7,47,78,110,72,14,0,3,324,94,60,141,87,129,113,61,34,3,725,1230,1277,2176,1957,2497,1889,972,352,64,12407
POA3060,0,42,254,169,146,86,15,8,4,723,0,11,127,124,93,57,5,0,4,420,0,4,91,107,74,35,8,5,3,333,0,0,51,86,50,25,7,0,0,219,0,0,75,95,43,24,0,5,3,240,0,0,14,21,15,12,5,0,3,72,52,64,201,154,103,94,98,131,105,993,767,900,2383,1877,1465,1152,855,1082,527,11018
POA3061,0,7,66,45,36,27,10,0,0,190,0,7,41,15,18,14,0,0,0,99,0,0,15,15,16,4,7,0,0,66,0,0,9,16,10,4,0,0,0,34,0,0,3,6,7,0,0,0,0,23,0,0,0,0,3,0,3,0,0,8,32,32,51,48,67,49,43,32,10,367,328,360,731,607,609,480,524,311,83,4034
POA3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3063,0,3,9,9,7,4,5,0,0,39,0,0,3,14,3,6,0,0,0,35,0,0,3,5,5,0,0,0,0,16,0,0,3,6,5,3,0,0,0,19,0,0,7,8,5,4,0,0,0,29,0,3,0,0,5,3,3,0,0,19,7,6,8,10,3,6,11,3,3,52,49,26,42,83,103,68,58,24,5,461
POA3064,4,325,1640,1373,1090,523,85,12,3,5054,4,90,970,937,673,323,26,5,3,3030,3,41,579,684,518,194,29,0,0,2052,0,18,299,433,299,141,12,3,0,1200,3,8,306,517,312,135,16,3,0,1289,0,10,74,133,101,46,11,0,0,377,466,396,905,728,603,389,256,120,51,3921,5553,5527,13505,11686,9545,5777,2831,1093,337,55861
POA3065,3,60,395,117,62,53,36,12,0,750,0,18,359,118,54,45,23,3,0,624,0,11,291,129,62,43,20,0,0,558,0,3,159,104,54,35,12,3,0,367,0,3,299,219,143,74,24,3,4,773,3,3,94,217,174,95,40,9,5,635,59,138,458,244,185,137,88,46,22,1385,298,874,3143,1723,1235,936,580,326,144,9250
POA3066,0,55,435,110,56,40,9,0,0,706,0,35,370,92,53,25,9,3,0,588,0,8,287,132,64,22,9,0,0,523,0,9,166,119,39,22,6,0,0,367,0,3,262,192,77,46,10,0,0,588,3,0,90,138,89,40,6,0,0,374,55,99,360,174,137,121,53,56,27,1080,267,731,2975,1457,903,630,325,183,68,7535
POA3067,3,79,450,105,62,49,26,8,4,780,0,31,429,110,73,37,7,0,0,699,0,14,310,134,60,41,12,3,0,576,0,4,230,95,43,32,8,0,0,419,0,8,330,208,87,58,11,0,0,701,0,0,92,145,97,53,28,7,0,423,29,78,306,132,81,76,45,30,10,781,213,760,3185,1289,785,615,419,185,104,7553
POA3068,0,83,688,247,163,157,106,24,6,1476,0,24,614,263,159,136,86,11,0,1288,0,9,426,298,170,172,67,7,3,1143,0,3,237,239,168,129,43,3,3,820,0,0,367,471,352,219,74,7,0,1489,0,0,130,498,363,234,68,5,3,1297,68,106,380,310,220,187,144,79,33,1531,600,1168,4456,3175,2334,1981,1387,709,231,16035
POA3070,0,95,678,415,310,198,62,22,4,1780,0,42,627,344,269,174,49,7,3,1510,0,10,485,349,261,178,31,5,6,1333,0,5,246,302,240,148,20,4,3,964,0,3,391,566,494,204,30,4,0,1685,0,10,124,513,436,122,29,6,5,1244,96,105,386,321,241,181,132,142,75,1682,1022,1554,5040,4134,3526,2244,1426,1094,510,20552
POA3071,0,73,537,371,234,145,39,10,3,1424,0,25,410,304,187,96,17,3,3,1055,0,13,305,305,217,97,13,6,0,957,0,3,164,234,159,68,5,4,0,636,0,0,210,443,248,94,14,3,0,1008,0,4,58,237,154,53,8,3,0,524,67,100,331,241,159,127,110,122,104,1368,655,1271,3828,3426,2437,1584,1004,937,437,15589
POA3072,0,130,800,556,458,267,67,21,13,2308,0,56,600,452,344,163,35,6,4,1668,0,11,413,488,306,157,16,4,0,1390,0,8,210,370,236,122,21,0,0,971,0,3,268,573,334,132,19,0,0,1336,0,4,75,225,121,46,11,4,3,490,164,200,563,480,376,285,231,215,150,2663,1477,2498,6367,5462,4427,3128,2012,1561,666,27596
