POA_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
POA3013,0,0,0,3,4,0,0,0,0,12,0,0,9,8,8,0,0,0,0,25,0,0,3,6,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,9,0,0,0,12,9,15,16,19,3,68,0,0,0,0,0,0,0,0,0,4,0,3,3,19,13,3,0,0,0,39,0,3,3,41,27,30,24,3,6,138,0,0,0,8,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,7,6,11,88,33,17,14,15,3,198,24,27,36,167,82,41,24,33,9,445,579,830,723,2744,1066,633,311,230,120,7238,0,0,0,0,0,0,0,0,0,0,544,776,551,1963,742,370,124,97,84,5247,0,0,0,10,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,3,14,4,6,0,0,0,27,0,0,0,5,3,0,3,0,0,15
POA3015,0,0,0,0,0,3,3,4,0,17,0,0,0,8,3,0,0,0,0,15,0,0,0,3,0,0,0,0,0,3,3,0,0,4,0,0,0,0,0,8,0,0,0,5,14,10,18,11,5,65,0,0,0,0,0,0,0,0,0,0,0,4,3,13,9,6,0,0,0,40,0,0,0,18,3,4,10,0,0,38,0,0,0,4,0,6,0,0,0,10,0,0,0,0,3,0,0,0,0,3,5,8,15,75,40,24,23,14,17,219,37,41,31,160,61,43,34,20,8,442,754,1088,850,2928,1248,875,445,239,126,8558,0,0,0,0,0,0,0,0,0,0,658,1018,675,2087,893,609,223,118,90,6361,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,5,0,17,0,0,0,0,0,0,3,0,0,6,0,0,4,22,4,0,0,0,0,29,0,0,0,3,3,0,0,0,0,6
POA3016,0,0,0,0,7,3,0,0,0,6,0,0,0,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,3,12,10,6,3,0,35,0,0,0,0,4,3,0,0,0,10,4,4,7,5,7,11,3,0,0,44,0,6,0,8,4,7,3,0,0,33,0,0,0,0,3,3,0,0,0,6,0,0,0,0,3,0,0,0,0,4,3,17,4,72,40,22,30,12,10,205,17,44,53,101,83,61,50,33,6,448,449,1126,1012,1594,1306,1072,690,274,118,7653,0,0,0,0,0,0,0,0,0,0,366,837,778,1262,1046,742,396,194,139,5763,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,5,10,6,7,3,0,0,26,0,0,0,3,3,4,0,0,0,10
POA3018,0,0,0,3,4,3,4,5,0,17,0,0,0,4,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,10,0,0,0,0,9,0,7,3,0,19,0,0,0,4,0,0,0,0,0,5,3,6,0,12,8,0,3,0,0,33,3,0,3,20,17,10,4,3,0,55,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,15,9,71,25,23,22,13,3,182,19,32,26,94,66,65,44,29,20,390,379,646,553,1781,879,765,602,358,143,6109,0,0,0,0,0,0,0,0,0,0,362,570,483,1118,602,477,329,222,123,4295,0,0,0,14,0,0,0,0,0,14,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,3,0,5,0,0,0,0,0,14,0,0,0,0,0,0,3,0,0,4
POA3019,0,0,0,0,3,5,3,0,0,6,0,8,22,46,5,5,0,0,0,80,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,4,0,0,0,0,3,3,3,0,0,11,0,0,0,5,3,0,3,3,0,20,0,0,0,0,0,0,0,0,0,0,3,22,79,316,199,187,74,21,5,917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,61,110,39,21,27,11,0,291,25,39,55,121,34,35,35,11,4,364,339,556,794,1587,506,451,274,115,40,4667,0,0,0,0,0,0,0,0,0,5,235,365,346,322,92,102,59,57,29,1611,0,0,3,16,3,0,0,0,0,25,0,0,0,8,0,8,3,0,0,16,0,0,0,4,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,14
POA3020,0,0,0,3,3,13,18,3,0,37,4,12,78,316,37,13,3,0,0,454,0,0,0,22,3,3,0,0,0,22,0,12,21,20,8,0,0,0,0,58,0,0,0,28,22,40,64,25,6,197,0,0,7,42,25,18,8,0,3,93,3,4,6,5,0,4,3,0,0,29,28,87,290,1134,736,646,198,56,17,3199,0,0,0,0,0,3,0,0,0,4,0,0,0,3,0,0,0,0,0,6,13,70,163,528,219,160,144,81,50,1427,115,164,236,539,222,193,162,123,41,1781,1551,2368,3243,7668,2666,2229,1663,1027,344,22759,0,10,6,27,7,0,0,0,0,51,1257,1649,1639,2079,758,553,387,229,142,8700,0,6,20,79,6,0,0,0,0,103,0,0,0,15,7,9,5,3,0,37,0,0,0,12,10,8,4,7,0,41,0,0,3,7,0,0,0,0,0,17,0,0,4,18,18,15,16,5,0,82
POA3021,0,0,3,29,15,35,30,20,7,138,4,21,34,74,21,27,10,4,0,197,0,0,0,7,0,0,0,0,0,14,0,4,5,30,4,0,6,0,0,46,0,3,12,52,65,150,149,38,8,473,0,3,8,24,16,14,11,11,0,81,0,3,9,5,3,3,0,0,0,25,23,106,353,1389,1067,731,230,87,20,4010,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,4,18,108,218,556,319,258,244,147,45,1919,168,237,314,723,296,292,267,128,40,2466,1834,3062,4163,8020,3256,3033,2417,1157,280,27236,0,0,8,9,3,0,0,0,0,21,1392,2120,2043,2073,675,766,358,90,36,9554,0,0,0,20,7,3,0,0,0,31,0,0,24,81,83,67,38,25,0,320,0,0,0,7,7,14,3,4,3,38,0,3,0,9,0,0,0,0,0,14,0,0,0,19,23,22,31,8,0,109
POA3022,0,0,3,0,0,3,0,0,0,8,0,0,7,26,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,9,0,0,0,5,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,4,55,25,21,6,3,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,46,13,13,5,8,5,112,4,12,5,40,10,20,11,10,8,118,115,150,193,563,171,158,118,58,25,1556,0,0,0,3,0,0,0,0,0,4,89,129,101,197,67,51,32,16,11,692,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
POA3023,0,0,0,19,25,25,20,12,0,99,3,20,36,146,83,33,21,4,0,348,0,3,4,9,3,0,0,0,0,17,3,4,15,36,7,0,3,0,0,69,0,5,10,100,92,105,66,17,4,389,0,0,4,44,40,24,15,0,0,127,3,13,8,23,13,3,0,0,0,68,10,40,120,809,483,335,111,18,12,1941,0,0,0,3,0,0,0,3,0,6,0,0,7,13,8,0,0,0,0,33,9,106,229,806,426,292,190,63,17,2140,142,268,208,599,244,208,142,61,13,1878,2741,5094,4274,10576,3957,2733,1671,625,148,31824,0,0,13,35,13,4,3,0,0,66,2269,3907,2652,4406,1316,708,361,162,79,15867,0,0,8,40,7,3,0,0,0,62,0,0,14,113,50,38,8,5,3,233,0,0,0,17,7,9,0,0,0,35,0,0,3,3,0,0,0,0,0,7,0,3,7,64,44,46,26,4,0,198
POA3024,0,0,0,0,8,3,3,3,0,16,0,6,13,65,18,4,0,0,0,108,0,0,3,4,0,0,0,0,0,9,0,28,29,21,5,0,0,0,0,90,0,0,0,0,3,6,3,0,0,10,0,0,3,3,0,0,0,0,0,12,0,4,0,8,0,0,0,0,0,19,0,0,0,15,9,0,0,0,0,26,0,0,0,0,0,3,0,0,0,6,0,0,8,8,0,3,0,0,0,22,3,39,84,208,76,55,21,13,3,510,74,109,88,255,85,75,44,30,3,766,1279,2010,1446,4119,1303,870,523,193,34,11776,0,0,0,3,0,3,0,0,0,5,1075,1533,925,2264,738,470,288,99,41,7426,0,0,10,59,7,0,0,0,0,80,0,0,0,12,7,5,0,0,0,24,0,0,0,0,3,0,0,0,0,4,0,5,0,0,6,0,0,0,0,6,0,0,0,9,3,5,0,0,0,14
POA3025,0,0,0,0,3,5,7,17,0,32,0,0,3,7,3,0,4,0,0,19,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,13,0,0,0,4,10,6,30,17,0,69,0,0,0,3,0,0,0,0,0,5,0,3,0,5,0,0,0,0,0,9,0,0,4,37,62,54,18,0,3,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,17,72,25,38,19,31,10,233,41,38,33,166,54,51,44,64,32,521,498,651,664,1851,655,498,435,496,192,5937,0,0,0,0,0,0,0,0,0,0,385,570,490,982,333,202,142,133,81,3318,0,0,0,4,0,0,0,0,0,4,0,0,0,0,3,0,0,3,0,6,0,0,0,0,0,3,0,0,0,4,0,0,0,0,3,0,0,0,0,9,0,0,0,6,0,0,0,0,0,8
POA3026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,3,0,4,8,4,0,0,14,0,0,4,6,18,13,10,4,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
