POA_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
POA3144,1104,2179,249,377,628,487,51,129,75,5280
POA3145,1966,4195,753,925,1427,1052,168,449,192,11125
POA3146,2550,5155,789,995,1729,1126,149,427,200,13120
POA3147,1177,2389,569,597,880,586,142,333,103,6782
POA3148,554,1199,490,378,596,426,159,277,69,4157
POA3149,2263,4992,1441,1250,2154,1481,433,921,267,15200
POA3150,3960,8205,2429,2224,3734,2664,794,1606,476,26092
POA3151,547,1232,479,452,636,492,147,401,80,4471
POA3152,2115,4090,1929,1510,2534,1778,704,1117,257,16042
POA3153,942,1904,1772,1152,1500,955,683,994,148,10049
POA3154,269,405,442,232,353,200,116,181,35,2243
POA3155,1108,1988,1925,1202,1634,1065,684,1072,162,10838
POA3156,2358,3732,3164,1970,3035,2005,1091,1565,330,19257
POA3158,420,921,569,417,498,306,167,266,47,3604
POA3159,175,338,210,165,165,114,52,103,21,1354
POA3160,625,1205,793,545,619,379,176,356,64,4774
POA3161,1426,3102,448,636,903,622,109,246,135,7623
POA3162,1548,3127,629,770,1111,799,141,307,131,8562
POA3163,2379,5713,1603,1498,2226,1556,407,901,283,16567
POA3165,2047,3772,1484,1279,1993,1306,395,731,210,13208
POA3166,1465,3433,1300,1066,1632,1178,408,807,158,11445
POA3167,521,1030,611,433,666,466,223,385,76,4409
POA3168,609,2316,869,808,946,712,403,744,130,7533
POA3169,732,1664,1281,873,1158,916,761,1213,161,8753
POA3170,1155,2187,1086,713,1412,935,470,698,151,8813
POA3171,510,1080,1190,900,690,782,1057,1644,223,8073
POA3172,1067,1621,1449,961,1399,1194,987,1443,201,10325
POA3173,1313,2032,1479,1012,1664,1211,1204,1613,232,11760
POA3174,1083,2066,2272,1866,1856,1400,1907,2744,404,15587
POA3175,1378,2404,3732,2121,2149,1792,2379,3275,471,19702
POA3177,211,280,796,440,353,320,548,779,95,3819
POA3178,2336,3790,2541,1634,2980,2188,922,1303,252,17946
POA3179,335,615,415,334,423,364,200,250,54,2982
POA3180,417,748,544,364,552,389,198,292,51,3557
POA3181,2187,4859,895,1132,1448,1029,143,365,187,12250
POA3182,2325,5007,1282,1382,1765,1144,227,572,230,13930
POA3183,1702,4029,917,1017,1279,882,154,419,194,10597
POA3184,1769,3723,746,863,1089,754,115,262,151,9461
POA3185,1202,2641,513,570,849,582,104,243,103,6811
POA3186,2615,4014,531,787,1222,989,89,258,217,10721
POA3187,1594,2521,475,590,939,714,112,206,104,7253
POA3188,1916,2810,614,832,1095,803,137,284,103,8603
POA3189,408,732,371,277,446,272,90,166,55,2817
POA3190,890,1524,553,493,760,514,144,252,61,5196
POA3191,1137,1701,346,442,606,435,69,171,73,4977
POA3192,1612,2945,1391,1056,1619,1197,345,597,145,10902
POA3193,2086,2922,681,772,1264,985,111,284,141,9252
POA3194,1081,1882,764,636,985,658,184,317,107,6605
POA3195,2883,4989,2210,1837,2758,1909,590,913,278,18364
POA3196,1624,2858,1866,1274,1946,1174,576,863,182,12356
POA3197,948,1200,840,533,964,590,241,382,102,5812
POA3198,822,1370,1370,898,1056,737,537,710,134,7631
POA3199,2769,4806,3918,2995,3129,2798,1377,2221,400,24412
POA3200,117,154,334,239,179,175,233,362,31,1827
POA3201,819,1136,1783,1174,1478,1137,1063,1206,172,9975
POA3202,238,351,154,130,216,141,59,100,23,1416
POA3204,2565,5038,1356,1379,2078,1408,356,742,201,15128
POA3205,1197,2331,364,442,732,407,55,159,88,5770
POA3206,1275,2065,250,301,586,391,47,122,97,5134
POA3207,2214,3183,593,571,1118,707,152,270,134,8946
POA3211,86,85,116,51,92,65,52,62,10,622
POA3212,776,1222,1226,998,980,805,672,835,167,7680
POA3213,288,284,332,188,247,211,158,237,47,1993
POA3214,399,593,1137,1112,698,842,1004,1674,171,7626
POA3215,826,1654,1418,1125,1156,972,645,1020,162,8990
POA3216,2861,6351,3655,3303,3361,3113,1184,2238,357,26413
POA3217,443,810,611,464,414,357,147,247,49,3537
POA3218,822,1825,935,856,825,616,358,528,89,6846
POA3219,677,1351,1397,1237,942,891,643,1226,136,8501
POA3220,1225,2559,842,940,1014,710,223,489,108,8107
POA3221,86,86,50,38,46,28,16,27,3,371
POA3222,717,1132,1137,870,809,619,373,627,105,6397
POA3223,292,411,380,302,312,235,147,252,49,2377
POA3224,662,989,1104,926,884,706,416,720,90,6503
POA3225,246,446,174,143,172,106,42,99,37,1455
POA3226,792,1705,1057,849,790,604,220,483,104,6604
POA3227,356,669,312,215,236,188,33,109,32,2159
POA3228,1315,2437,1189,989,1001,817,207,549,145,8649
POA3230,158,295,197,130,131,94,35,91,21,1153
POA3231,105,161,91,56,42,45,3,52,12,563
POA3232,118,77,91,57,46,51,6,58,8,504
POA3233,157,132,152,102,75,77,36,173,10,916
POA3234,24,13,20,4,10,3,0,22,0,97
POA3235,58,35,29,22,17,16,9,15,3,207
POA3236,16,32,13,13,7,0,12,18,0,110
POA3237,42,8,7,19,5,0,7,14,10,115
POA3238,31,23,9,12,8,7,4,13,0,111
POA3239,52,23,27,9,18,13,14,37,6,189
POA3240,183,201,200,103,139,91,46,101,11,1078
POA3241,198,157,182,113,91,93,102,147,27,1110
POA3242,93,63,55,40,42,26,22,44,0,398
POA3243,86,26,19,17,15,11,7,24,3,203
POA3249,455,185,172,173,131,94,121,226,31,1588
POA3250,546,626,756,695,528,562,416,1083,106,5312
POA3251,77,21,34,24,9,16,20,41,3,250
POA3254,25,9,25,8,8,9,20,31,9,146
POA3260,476,304,265,221,180,165,145,299,35,2086
POA3264,143,119,135,120,89,81,89,133,23,916
POA3265,508,154,123,100,91,81,81,199,21,1357
POA3266,400,127,176,107,93,109,123,259,28,1422
POA3267,53,11,17,12,6,3,12,26,0,130
POA3268,464,122,130,75,74,86,73,227,18,1259
POA3269,148,38,34,29,15,15,3,65,6,352
POA3270,34,19,12,8,8,5,5,10,0,108
POA3271,50,11,3,4,3,0,3,17,4,98
POA3272,153,65,83,63,55,42,38,92,14,616
POA3273,30,0,9,3,0,0,3,6,3,56
POA3274,45,16,14,7,11,4,4,11,3,98
POA3275,25,33,43,16,28,30,22,29,7,235
POA3276,80,19,22,14,22,12,22,39,3,238
POA3277,212,130,141,76,97,81,74,138,15,974
POA3278,30,19,24,13,17,16,21,15,4,146
POA3279,55,15,18,11,14,5,5,20,6,142
POA3280,1467,2762,2021,1726,1650,1813,819,2104,197,14553
POA3281,181,162,130,67,104,82,59,89,4,883
POA3282,140,169,190,138,112,87,91,170,17,1118
POA3283,171,107,93,54,64,61,38,72,22,697
POA3284,293,297,184,163,129,91,71,154,22,1399
POA3285,170,91,56,57,46,33,59,72,17,590
POA3286,84,20,23,17,28,5,23,41,5,251
POA3287,86,17,26,21,12,10,24,46,7,245
POA3289,124,50,34,18,28,18,13,40,5,332
POA3292,17,17,0,7,11,3,8,13,3,73
POA3293,70,10,6,9,8,3,0,19,0,133
POA3294,195,75,53,33,39,24,9,40,10,470
POA3300,583,753,702,528,528,511,263,523,62,4457
POA3301,227,102,64,50,71,37,22,65,4,643
POA3302,57,20,18,18,8,15,15,27,0,176
POA3303,59,9,20,15,13,11,20,17,3,163
POA3304,272,100,141,119,93,104,163,158,28,1185
POA3305,597,791,883,612,547,462,717,756,92,5454
POA3309,11,4,8,3,3,0,3,8,6,43
POA3310,34,11,17,14,10,11,9,18,3,127
POA3311,87,80,72,71,64,56,52,107,8,599
POA3312,213,40,40,27,30,27,28,72,3,488
POA3314,118,43,28,24,16,11,5,29,7,287
POA3315,246,77,88,56,55,44,54,93,6,725
POA3317,36,17,7,10,6,4,3,12,0,100
POA3318,182,66,55,52,42,31,33,80,10,559
POA3319,72,19,10,17,13,7,11,39,3,190
POA3321,150,129,142,61,93,54,67,85,9,793
POA3322,26,6,10,10,4,3,8,7,8,77
POA3323,33,4,3,3,3,0,0,5,0,51
POA3324,84,15,15,15,8,15,27,32,6,217
POA3325,76,21,26,8,16,6,13,31,0,186
POA3328,97,141,167,102,96,55,73,97,11,846
POA3329,45,19,17,18,12,3,6,8,6,138
POA3330,30,3,10,4,3,3,7,16,4,89
POA3331,325,439,562,341,358,282,209,278,48,2831
POA3332,65,55,94,42,59,29,48,73,11,481
POA3333,90,47,51,41,41,19,40,47,7,379
POA3334,45,35,33,20,19,9,23,36,9,230
POA3335,283,480,419,292,471,297,300,234,80,2855
POA3337,1288,1614,2479,1938,2293,1635,1983,1710,316,15248
POA3338,901,1203,1493,1192,1510,946,1152,1032,183,9618
POA3340,1109,1513,1593,1100,1403,905,976,893,175,9671
POA3341,109,125,163,82,108,64,87,97,18,852
POA3342,202,260,238,167,211,112,123,154,30,1494
POA3345,75,94,91,64,72,44,38,49,3,530
POA3350,3069,6882,3613,3453,3404,2836,1121,2374,381,27140
POA3351,520,529,686,401,433,357,331,452,71,3775
POA3352,1159,1322,1231,774,1012,662,536,771,128,7604
POA3355,387,717,715,546,571,523,339,705,79,4590
POA3356,496,787,1116,943,785,852,506,973,123,6586
POA3357,237,477,227,172,215,116,62,105,18,1623
POA3360,56,37,40,36,32,21,21,34,14,283
POA3361,63,23,29,23,18,31,21,27,7,240
POA3363,163,194,256,154,162,105,87,162,23,1298
POA3364,259,175,144,76,111,62,67,110,14,1018
POA3370,88,115,122,84,61,53,27,83,7,639
POA3371,44,29,51,47,44,22,26,56,10,336
POA3373,169,98,115,105,92,71,82,135,21,886
POA3374,37,30,29,32,22,12,7,18,3,189
POA3375,44,16,5,4,7,5,0,6,3,95
POA3377,475,510,479,663,321,347,233,677,72,3780
POA3378,45,9,3,4,5,0,0,12,0,74
POA3379,152,30,16,22,20,5,10,41,0,297
POA3380,267,285,302,391,224,239,185,492,43,2432
POA3381,141,108,61,85,51,48,18,58,10,591
POA3384,64,22,25,31,28,14,19,21,3,233
POA3385,64,22,34,25,18,12,20,35,0,239
POA3387,78,6,14,13,8,10,3,23,0,152
POA3388,85,43,23,14,19,12,7,28,3,228
POA3390,84,52,38,49,32,19,31,56,10,374
POA3391,42,3,8,5,3,0,3,6,0,75
POA3392,67,14,15,23,22,7,14,34,5,199
POA3393,214,150,135,168,104,89,57,112,17,1048
POA3395,76,16,15,11,7,8,9,7,3,148
POA3396,77,49,24,37,17,16,31,42,5,301
POA3400,798,1199,926,786,772,797,360,718,85,6443
POA3401,586,323,322,207,261,205,153,231,35,2326
POA3407,87,17,21,16,17,6,12,32,4,218
POA3409,167,66,65,50,33,19,28,53,6,483
POA3412,36,16,5,24,4,0,8,21,3,117
POA3413,60,17,13,7,8,0,4,19,0,124
POA3414,120,97,75,78,56,42,76,79,13,646
POA3415,10,0,0,0,0,0,6,0,0,19
POA3418,351,144,147,104,119,71,73,244,20,1271
POA3419,112,64,35,30,32,30,25,51,3,379
POA3420,83,7,9,3,14,4,6,18,3,143
POA3423,42,20,17,18,14,11,12,19,0,152
POA3424,104,49,24,32,23,16,23,32,4,296
POA3427,161,203,228,156,250,133,124,128,34,1420
POA3428,39,37,61,21,44,36,26,32,11,311
POA3429,1959,2862,2959,2217,2961,1960,1347,1451,249,17959
POA3430,24,8,39,14,20,9,13,20,7,155
POA3431,259,408,383,271,322,173,91,136,25,2065
POA3432,21,8,15,11,12,7,9,4,0,88
POA3433,10,12,24,5,9,9,7,15,5,106
POA3434,300,380,446,262,336,201,193,237,44,2414
POA3435,188,254,239,152,164,102,90,127,28,1340
POA3437,716,1203,803,532,751,449,223,326,55,5070
POA3438,201,238,156,141,170,90,58,57,8,1120
POA3440,153,295,142,89,98,57,33,55,19,935
POA3441,137,211,70,62,67,46,13,34,17,647
POA3442,534,947,481,412,377,273,119,244,52,3427
POA3444,625,794,625,455,448,293,197,515,66,4022
POA3446,76,101,84,54,44,31,32,70,3,489
POA3447,22,47,39,30,20,8,10,26,3,208
POA3448,80,73,49,47,54,20,27,43,6,401
POA3450,317,770,305,310,254,220,91,368,36,2675
POA3451,276,496,348,273,205,174,115,286,40,2212
POA3453,137,188,110,74,83,71,47,93,12,811
POA3458,156,196,100,106,79,45,45,81,23,836
POA3460,167,213,154,151,110,86,42,144,17,1078
POA3461,338,398,257,223,174,113,73,210,27,1824
POA3462,63,87,77,63,44,37,28,65,3,464
POA3463,191,189,138,87,102,79,47,120,26,970
POA3464,60,48,78,44,36,59,37,85,5,452
POA3465,425,374,564,443,308,376,217,557,48,3315
POA3467,74,41,55,41,43,27,36,68,11,402
POA3468,21,10,12,10,7,4,13,19,0,103
POA3469,35,18,5,19,5,5,4,14,0,99
POA3472,66,48,51,44,35,35,33,88,9,412
POA3475,51,7,7,14,4,9,4,17,3,109
POA3477,160,43,34,37,31,27,24,57,3,407
POA3478,180,114,117,113,86,80,60,200,22,975
POA3480,201,99,71,74,69,54,54,108,6,735
POA3482,30,3,6,3,7,0,3,6,0,54
POA3483,120,72,47,25,26,28,23,42,5,385
POA3485,44,7,12,12,8,4,5,19,0,120
POA3487,20,8,3,4,3,0,0,3,0,41
POA3488,23,6,0,3,0,3,3,4,3,46
POA3489,16,3,4,0,0,0,0,3,0,25
POA3490,153,68,64,56,40,35,55,64,5,547
POA3491,27,0,0,8,4,6,0,0,0,46
POA3494,98,11,21,12,10,8,30,132,7,334
POA3496,467,309,345,253,233,288,224,431,61,2611
POA3498,370,356,402,256,327,295,177,252,52,2493
POA3500,1490,2353,1721,1636,1493,1585,814,1769,227,13090
POA3501,185,158,156,83,134,112,56,85,16,991
POA3505,321,256,305,238,246,190,182,254,31,2030
POA3506,17,0,0,0,0,4,0,0,0,19
POA3507,26,3,3,7,11,3,0,3,0,54
POA3509,61,11,7,13,6,3,3,6,0,115
POA3512,75,20,9,13,17,10,20,28,0,185
POA3515,119,145,164,103,115,76,80,101,12,925
POA3516,103,31,33,27,31,26,27,36,10,315
POA3517,121,47,66,63,46,30,34,81,11,475
POA3518,115,43,42,39,43,30,37,57,15,401
POA3520,13,3,0,0,0,0,0,3,0,23
POA3521,37,24,70,32,43,20,33,35,6,305
POA3522,41,17,24,12,20,4,12,16,3,150
POA3523,172,155,205,118,120,109,123,153,17,1174
POA3525,141,77,52,47,54,39,37,71,8,528
POA3527,97,38,31,27,23,23,21,46,6,312
POA3529,23,9,3,3,10,0,3,3,0,58
POA3530,17,12,5,3,3,3,3,4,3,55
POA3531,33,14,6,4,4,3,5,8,0,72
POA3533,69,41,33,32,21,20,19,38,9,282
POA3537,145,57,31,29,25,28,30,52,7,405
POA3540,43,12,10,5,7,3,6,22,0,109
POA3542,37,0,8,4,6,5,5,8,0,71
POA3544,44,9,10,7,14,9,6,8,0,110
POA3546,68,32,8,15,8,9,16,17,7,174
POA3549,300,128,118,97,120,78,136,290,60,1337
POA3550,1824,4298,2234,2254,2082,1913,837,2001,256,17699
POA3551,1880,3019,2208,1597,2007,1433,853,1315,196,14501
POA3555,768,1343,1200,1060,996,906,526,1262,135,8195
POA3556,436,675,866,680,598,573,439,826,95,5184
POA3557,80,42,65,29,46,26,27,48,10,373
POA3558,109,42,53,29,32,31,34,52,3,371
POA3559,103,28,18,15,22,11,17,27,7,257
POA3561,446,196,251,174,177,163,177,263,29,1865
POA3562,38,5,20,8,16,9,8,20,5,127
POA3563,97,25,45,35,28,28,35,69,5,371
POA3564,927,1081,1105,935,718,840,461,945,102,7112
POA3565,20,10,0,3,3,4,0,6,0,50
POA3566,78,23,27,21,18,23,15,39,4,256
POA3567,121,21,29,23,19,12,26,47,0,291
POA3568,324,145,163,100,127,106,98,166,18,1252
POA3570,75,35,46,26,28,22,26,48,8,309
POA3571,75,14,12,3,12,5,9,18,3,146
POA3572,45,7,0,3,7,10,0,10,0,78
POA3573,66,6,14,3,11,0,7,24,0,144
POA3575,120,34,26,21,20,15,24,59,10,335
POA3576,27,0,0,3,3,0,0,0,0,39
POA3579,494,274,297,232,222,196,150,322,27,2212
POA3580,52,40,55,44,34,47,39,85,3,400
POA3581,23,8,12,3,12,5,4,4,4,74
POA3583,24,7,16,10,9,4,4,16,0,88
POA3584,81,68,59,53,44,40,28,48,9,433
POA3585,706,801,682,532,573,548,264,621,80,4797
POA3586,81,43,57,40,49,42,20,50,4,396
POA3588,21,12,35,26,21,13,9,26,5,162
POA3589,54,13,16,8,16,16,7,25,0,161
POA3590,18,21,30,13,21,24,8,21,3,152
POA3591,33,15,9,6,8,10,0,7,6,88
POA3594,32,26,30,27,10,18,21,31,10,204
POA3595,31,15,23,19,16,21,16,39,0,181
POA3596,10,0,4,3,3,0,4,8,0,38
POA3597,76,16,26,5,8,12,20,36,3,205
POA3599,20,0,3,0,3,3,4,5,0,50
POA3607,15,5,5,3,7,3,7,14,0,57
POA3608,219,121,169,101,98,73,62,192,17,1039
POA3610,140,85,73,61,56,46,36,78,13,580
POA3612,109,76,90,72,47,40,69,98,16,615
POA3614,78,86,80,36,61,31,24,59,0,460
POA3616,383,344,312,201,273,193,151,385,44,2286
POA3617,34,11,8,7,8,4,9,9,0,89
POA3618,58,26,43,36,18,21,22,62,3,299
POA3620,517,491,528,346,365,318,236,529,57,3386
POA3621,216,91,141,85,82,102,82,217,9,1023
POA3622,71,20,19,11,27,17,23,31,6,225
POA3623,106,29,48,32,28,18,20,74,0,368
POA3624,65,19,26,13,17,10,23,39,3,231
POA3629,479,481,515,426,433,392,309,664,68,3768
POA3630,1339,2292,1669,1383,1362,1334,847,1731,209,12171
POA3631,1034,1074,793,540,787,624,296,573,84,5808
POA3633,41,44,40,32,37,27,22,31,4,278
POA3634,221,133,132,79,110,74,65,123,10,936
POA3635,52,35,47,25,21,9,24,40,3,270
POA3636,379,277,282,254,212,201,186,348,50,2190
POA3637,117,27,28,20,23,24,29,46,3,317
POA3638,175,122,109,94,97,80,64,154,24,906
POA3639,66,25,38,28,19,12,18,36,5,246
POA3640,173,37,54,32,33,23,29,95,5,485
POA3641,116,34,70,55,43,45,51,133,6,536
POA3644,603,405,490,335,353,322,275,745,77,3602
POA3646,81,52,34,19,25,21,14,38,3,276
POA3647,0,3,0,0,0,0,0,6,0,22
POA3649,63,18,18,16,21,4,15,39,0,196
POA3658,282,306,499,315,320,260,303,417,57,2770
POA3659,49,62,50,37,40,23,28,43,4,340
POA3660,348,350,481,388,350,291,223,548,39,3024
POA3662,141,64,12,252,34,11,47,13,17,603
POA3663,16,8,6,8,8,4,10,18,0,87
POA3664,102,71,73,51,49,27,30,93,11,497
POA3665,33,22,17,11,13,6,12,27,5,149
POA3666,418,296,265,193,172,153,122,294,24,1937
POA3669,174,97,69,69,45,33,30,59,3,574
POA3670,53,34,53,27,23,25,24,31,5,268
POA3672,479,626,633,514,433,386,306,546,65,3993
POA3673,208,127,119,63,95,49,48,99,21,826
POA3675,179,173,119,95,83,82,52,109,13,907
POA3677,742,1382,1053,1005,897,888,534,943,106,7541
POA3678,734,561,466,307,352,216,212,299,51,3199
POA3682,81,35,29,27,26,21,30,40,12,298
POA3683,95,110,137,88,96,84,77,115,17,810
POA3685,218,189,182,131,137,80,87,216,17,1255
POA3687,68,52,76,42,51,39,40,102,4,481
POA3688,94,108,93,66,82,48,71,70,18,654
POA3690,1537,2433,2363,1953,1938,1637,1190,1842,247,15141
POA3691,805,871,962,591,564,406,314,420,85,5024
POA3694,14,7,18,16,11,0,3,0,0,70
POA3695,65,30,32,22,27,17,17,22,9,242
POA3697,63,38,37,31,24,18,23,28,6,269
POA3698,76,76,63,46,37,35,24,25,3,386
POA3699,66,56,71,74,43,38,24,80,3,465
POA3700,100,90,88,57,64,36,43,80,14,572
POA3701,184,52,52,40,30,26,44,51,6,483
POA3704,3,0,4,3,0,0,0,0,0,18
POA3705,46,8,10,10,13,8,6,11,4,122
POA3707,206,93,97,70,66,40,49,107,9,731
POA3708,12,0,3,3,3,3,0,3,0,32
POA3709,60,20,16,11,10,0,10,15,0,144
POA3711,34,21,48,17,27,11,24,31,3,211
POA3712,37,18,28,20,18,3,10,28,4,162
POA3713,48,37,59,71,32,33,13,55,8,359
POA3714,260,214,239,182,174,115,103,168,32,1480
POA3715,42,22,29,15,4,4,4,16,3,131
POA3717,208,175,190,113,111,86,67,136,23,1105
POA3718,15,4,0,0,0,0,0,6,0,42
