POA_CODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
POA3013,105,258,1099,1241,868,436,79,5,0,4086,0,0,0,0,0,0,0,0,0,8,0,0,7,6,4,0,0,0,0,10,14,12,38,60,39,11,10,0,0,174,0,0,12,17,6,0,0,0,0,45,0,0,28,23,13,11,0,0,0,76,0,10,23,34,14,0,0,0,0,85,40,55,86,73,57,40,3,3,0,363,33,49,66,38,24,14,0,0,0,225,0,3,19,36,34,13,0,0,0,97,3,4,34,52,25,9,3,0,0,126,0,11,57,95,57,9,0,0,0,230,0,4,22,37,15,3,0,0,0,82,0,20,131,153,96,24,4,0,0,433,3,17,49,46,26,8,7,0,0,156,0,7,92,101,98,37,6,0,0,347,4,28,140,161,140,87,11,0,0,568,5,34,199,182,148,86,14,0,0,666,3,6,35,39,15,10,0,0,0,104,3,12,35,44,24,24,0,0,0,143
POA3015,114,321,1100,1440,1064,618,103,9,0,4768,0,0,0,7,3,0,0,0,0,10,0,0,3,6,3,0,0,0,0,13,9,9,42,53,40,11,3,0,0,173,0,5,12,16,14,0,0,0,0,47,0,5,18,39,37,8,0,0,0,109,3,3,20,48,19,12,0,0,0,99,56,68,90,97,65,26,4,0,0,416,45,48,46,30,22,18,0,0,0,208,0,9,26,39,43,16,3,0,0,139,4,8,30,41,41,5,0,0,0,132,0,10,83,136,63,30,3,0,0,310,4,9,21,27,24,10,0,0,0,92,0,23,125,194,91,40,5,0,0,479,0,8,39,52,37,21,3,0,0,167,0,15,74,137,100,62,8,0,0,380,10,20,123,177,190,107,7,0,0,634,4,27,208,213,148,145,13,3,0,760,8,6,25,21,27,17,3,0,0,121,3,20,34,36,30,27,5,0,0,147
POA3016,182,290,551,790,1099,747,194,21,3,3868,0,0,0,0,3,0,0,0,0,11,0,0,0,3,3,3,0,0,0,9,10,12,21,30,51,20,8,0,0,149,0,4,9,8,3,0,0,0,0,25,0,0,15,18,26,16,3,0,0,82,3,12,9,30,36,9,3,0,0,106,48,69,50,59,66,45,9,3,0,342,73,44,25,12,33,22,4,0,0,204,0,3,14,33,34,16,3,0,0,106,0,14,15,29,21,12,0,0,0,85,0,12,23,66,57,14,4,0,0,171,3,9,17,24,19,11,3,0,0,86,3,31,60,105,138,63,8,4,0,410,0,7,19,30,40,18,0,0,0,114,3,4,29,59,104,53,8,0,0,263,19,28,74,135,202,158,28,0,0,637,6,27,99,104,201,152,39,0,0,632,6,18,20,17,21,8,0,0,0,95,4,9,20,21,20,23,4,0,0,108
POA3018,95,201,673,840,704,494,110,18,0,3135,0,0,4,3,3,0,0,0,0,13,0,0,0,3,0,0,0,0,0,3,3,9,22,44,33,31,3,3,0,146,0,0,4,6,10,0,0,0,0,22,4,9,20,16,22,13,3,0,0,79,3,3,17,33,24,18,0,0,0,103,34,51,72,49,44,26,5,0,0,277,51,32,47,24,28,9,0,0,0,195,0,4,28,33,31,17,3,0,0,116,0,3,20,14,11,6,3,0,0,63,0,3,35,46,29,14,3,0,0,132,0,3,9,21,4,5,0,0,0,51,0,10,71,69,47,22,4,0,0,228,5,9,22,19,14,7,5,0,0,80,0,5,46,71,65,33,6,0,0,227,3,13,68,101,116,81,21,3,0,401,0,30,98,108,140,92,25,0,0,490,4,7,21,18,23,3,0,0,0,75,3,5,14,25,18,16,3,0,0,83
POA3019,43,278,675,447,324,221,25,3,0,2015,0,0,3,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,8,26,29,28,23,0,0,0,121,0,0,8,3,0,0,0,0,0,9,0,0,3,3,3,0,0,0,0,15,0,3,8,3,12,3,0,0,0,35,15,36,58,29,27,12,0,0,0,181,21,36,37,16,21,15,3,0,0,154,0,4,16,9,7,0,0,0,0,41,0,3,12,5,4,0,0,0,0,18,0,4,42,28,7,0,0,0,0,93,0,3,4,3,3,0,0,0,0,9,0,10,42,21,8,3,0,0,0,87,0,7,27,18,9,11,0,0,0,61,0,0,13,15,6,11,0,0,0,46,3,23,26,31,10,8,0,0,0,97,0,26,113,66,52,26,5,0,0,297,0,6,8,7,0,3,0,0,0,21,0,10,19,8,9,3,0,0,0,59
POA3020,283,1084,3091,2363,1776,1175,238,15,0,10031,0,3,13,9,17,10,0,0,0,59,0,0,0,3,0,0,0,0,0,3,10,25,132,133,147,97,6,0,0,554,0,3,17,11,6,4,0,0,0,36,0,10,31,40,15,14,4,0,0,105,4,13,48,50,52,36,4,0,0,200,87,175,240,153,159,57,6,0,0,888,142,140,193,95,95,49,3,0,0,705,6,19,78,78,78,32,0,0,0,297,3,12,30,26,18,5,0,0,0,93,3,52,128,82,55,10,0,0,0,328,3,19,44,22,12,9,0,0,0,94,3,36,164,90,49,23,5,0,0,368,9,46,124,76,67,59,6,0,0,388,0,12,96,99,82,60,16,0,0,367,14,54,171,173,153,99,20,0,0,678,12,120,435,292,256,182,28,0,0,1318,12,31,42,15,18,10,0,0,0,127,0,50,92,73,57,32,3,0,0,314
POA3021,347,1426,3279,2254,2057,1477,306,21,4,11172,0,9,24,13,29,20,0,0,0,85,0,0,0,0,0,0,0,0,0,3,14,37,128,188,209,102,16,0,0,691,0,4,17,8,9,3,0,0,0,38,0,11,39,30,18,17,3,0,0,114,4,16,50,43,47,25,5,0,0,196,96,261,261,180,153,107,18,3,0,1081,145,165,205,99,109,74,11,0,0,805,3,32,102,88,65,56,5,0,0,350,3,5,29,14,8,5,0,0,0,58,3,48,135,75,35,13,0,0,0,308,3,17,35,15,14,11,0,0,0,96,0,29,122,71,47,32,8,0,0,313,3,52,135,109,103,95,19,0,0,513,0,11,80,75,76,67,15,0,0,326,11,65,195,149,111,126,12,3,0,673,12,131,429,325,285,258,45,0,0,1484,6,21,34,19,9,11,3,0,0,109,6,45,133,96,85,38,11,0,0,411
POA3022,19,80,251,178,111,67,24,0,0,734,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,3,4,9,0,0,0,30,0,0,5,0,0,0,0,0,0,3,0,0,5,0,4,0,0,0,0,5,0,0,5,3,3,5,0,0,0,17,3,7,14,10,6,7,0,0,0,44,7,4,6,3,4,3,0,0,0,27,0,3,4,9,4,3,0,0,0,22,3,0,3,0,0,0,0,0,0,3,0,0,13,10,4,0,0,0,0,22,0,0,0,6,3,3,0,0,0,8,0,0,16,3,3,3,0,0,0,30,0,3,9,3,4,0,0,0,0,18,0,0,4,7,10,0,0,0,0,24,0,7,22,20,10,10,0,0,0,68,0,3,39,41,22,15,3,0,0,125,0,3,4,3,0,0,0,0,0,9,0,0,11,0,0,3,0,0,0,20
POA3023,555,1231,3609,4526,3063,1703,276,18,3,14990,0,7,13,17,18,9,0,0,0,56,0,0,3,4,3,0,0,0,0,12,16,34,123,261,221,108,9,3,0,773,0,3,22,32,19,8,0,0,0,86,0,18,71,88,55,17,3,0,0,255,4,22,71,101,77,42,0,0,0,325,181,306,348,355,264,115,17,0,0,1589,286,173,159,150,145,64,10,0,0,978,11,36,171,228,161,81,0,0,0,679,12,15,54,50,24,6,0,0,0,165,3,40,253,252,95,40,3,0,0,682,6,20,57,43,30,10,0,0,0,165,7,43,207,254,101,38,0,0,0,656,12,32,136,157,137,85,5,0,0,563,3,29,138,203,155,71,16,0,0,614,26,99,308,416,300,99,15,0,0,1278,13,181,629,776,602,339,43,0,0,2588,33,35,43,52,33,19,3,0,0,214,7,49,109,128,87,45,12,0,0,438
POA3024,235,445,1757,1657,1012,548,119,4,3,5775,0,0,4,3,7,3,3,0,0,22,0,0,0,0,0,0,0,0,0,0,3,10,32,59,54,15,3,0,0,179,0,0,27,21,3,0,0,0,0,49,3,7,35,37,20,14,0,0,0,106,3,11,31,38,36,14,0,0,0,130,60,119,181,132,116,47,5,0,0,667,98,53,85,46,30,21,0,0,0,326,3,14,87,66,55,22,5,0,0,243,4,8,24,19,3,0,0,0,0,56,0,10,110,78,38,17,4,0,0,255,3,12,29,12,13,3,0,0,0,74,3,18,105,78,42,13,4,0,0,266,3,29,68,39,55,25,0,0,0,218,0,7,94,95,68,40,4,0,0,312,11,36,157,162,103,46,9,0,0,527,8,74,306,285,176,105,12,0,0,976,11,11,28,22,11,10,0,0,0,97,6,20,41,32,22,7,0,0,0,127
