POA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA3013,0,3,15,9,30,70,182,242,112,652,0,0,4,6,10,24,19,54,25,140,30,41,160,182,129,86,61,72,68,835,235,793,2700,2998,2148,1297,708,574,317,11762
POA3015,7,7,11,10,28,74,162,193,108,595,0,0,6,3,5,16,34,53,20,139,24,42,153,157,114,102,87,88,71,846,290,889,2655,3384,2521,1792,939,560,316,13336
POA3016,3,0,3,11,23,40,106,138,103,421,3,3,9,4,17,19,19,14,12,96,39,53,105,123,155,147,115,89,48,869,386,833,1404,2042,2744,2198,1352,626,332,11920
POA3018,0,0,16,18,26,60,210,209,103,636,0,3,3,4,3,14,10,22,11,75,29,27,100,114,120,112,128,120,67,816,223,589,1661,1971,1793,1547,1269,825,373,10264
POA3019,8,17,61,79,106,140,124,82,44,652,0,13,37,44,82,89,42,44,18,370,40,54,141,100,87,88,84,45,21,663,234,921,1827,1249,1036,945,552,269,111,7151
POA3020,29,71,296,318,427,630,1007,931,406,4110,14,54,229,190,250,261,220,236,122,1571,172,291,639,450,422,407,492,374,205,3452,1173,3584,8306,6126,5207,4506,3494,2249,930,35574
POA3021,15,67,210,393,615,1002,1421,967,302,4992,10,41,137,198,391,399,275,310,116,1881,253,375,832,605,564,611,657,405,128,4431,1543,4476,8976,6751,6431,6411,4942,2517,738,42781
POA3022,0,0,15,15,19,23,46,57,36,205,0,3,7,17,17,8,9,13,29,108,10,8,52,21,27,29,23,29,32,245,59,194,629,440,323,291,236,150,116,2449
POA3023,31,23,134,270,411,657,783,435,155,2893,5,20,75,116,193,235,168,127,54,985,223,453,1081,944,687,477,390,196,68,4509,1757,4130,9992,11460,8025,5596,3316,1343,416,46028
POA3024,11,22,74,65,78,140,184,105,34,714,0,3,19,44,34,22,18,6,11,155,73,96,277,233,182,155,100,69,19,1205,617,1403,4585,3967,2624,1800,1062,400,103,16557
POA3025,6,7,34,46,64,129,355,470,213,1315,0,6,9,16,34,39,81,109,51,342,33,44,142,139,107,82,122,204,124,991,292,661,1852,1749,1307,1034,1028,1123,490,9548
POA3026,0,0,0,0,3,3,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,4,4,0,0,22,0,6,3,5,26,15,12,4,0,70
POA3027,0,0,4,7,16,13,13,9,3,67,0,0,11,9,5,11,6,3,3,42,13,16,79,70,41,27,13,3,0,267,127,354,1743,1410,585,350,118,24,10,4703
POA3028,8,21,64,76,160,300,511,338,127,1601,5,10,30,24,46,63,83,69,26,363,84,139,325,256,273,265,224,181,100,1853,683,2077,5072,4037,4067,3535,2162,1080,399,23110
POA3029,48,83,238,268,327,497,716,454,140,2764,7,23,117,119,161,154,113,82,34,815,335,469,1528,1122,755,557,451,206,53,5474,2370,6072,19146,15108,10263,7491,4469,1632,421,66974
POA3030,62,78,214,262,326,509,845,646,341,3281,11,25,120,177,152,178,141,118,52,978,243,371,1005,916,738,620,547,369,193,5003,2289,5833,16805,17662,12665,8642,5028,2378,932,72244
POA3031,12,9,32,44,76,98,130,135,81,617,0,11,16,43,55,71,50,74,31,339,66,136,445,293,196,190,131,98,37,1592,387,1535,4852,3127,2063,1588,929,538,220,15235
POA3032,8,9,37,46,84,179,227,263,131,980,4,4,34,43,42,59,50,79,53,356,110,202,490,350,288,218,140,89,35,1923,649,2680,6663,4576,3762,2921,1605,777,353,23984
POA3033,3,6,8,21,39,96,380,419,137,1110,0,4,3,3,11,22,54,64,26,190,30,42,99,90,104,106,187,187,99,939,313,776,1662,1950,1974,1485,1743,1225,374,11507
POA3034,0,0,4,20,45,112,399,484,178,1246,0,3,15,7,26,31,61,101,38,277,24,38,79,85,89,88,159,157,76,798,218,623,1433,1521,1444,1293,1431,1144,396,9501
POA3036,0,3,0,0,8,33,93,94,45,275,0,0,0,0,6,5,12,14,5,39,18,13,17,33,41,47,45,38,23,271,152,369,519,666,903,800,720,339,185,4649
POA3037,19,22,57,130,313,536,661,365,158,2257,0,12,32,65,117,145,111,96,35,606,150,183,370,432,400,315,243,156,142,2389,1510,3570,7173,8593,7255,4704,2540,1089,478,36917
POA3038,3,7,39,56,90,347,635,425,133,1735,3,0,19,23,30,72,102,92,37,380,81,95,174,145,197,240,212,94,35,1274,816,2213,3213,3096,4390,4198,2394,1032,324,21673
POA3039,0,0,3,11,17,46,154,253,134,619,0,3,6,3,3,14,30,48,28,135,24,48,158,126,94,121,103,107,109,891,278,1053,2471,2143,1928,1566,1024,687,397,11549
POA3040,6,0,9,12,27,65,180,261,194,768,0,4,12,4,9,14,17,50,24,133,83,99,319,225,196,186,143,123,105,1475,643,1870,4131,3444,3831,3114,1784,1073,680,20572
POA3041,0,0,6,16,14,21,85,127,81,360,0,4,5,0,6,9,14,9,8,51,24,41,117,108,92,80,94,79,74,715,266,830,1506,1771,1825,1531,938,580,329,9577
POA3042,0,10,12,15,29,83,386,396,190,1125,0,0,7,7,11,23,50,75,37,202,33,36,146,141,110,115,180,140,72,966,274,837,2245,2368,2134,1673,1519,1082,464,12602
POA3043,9,14,14,48,58,149,378,298,105,1072,0,3,8,9,15,26,76,63,22,227,50,80,192,151,165,158,215,162,68,1236,401,1050,2620,2453,2162,2104,2095,1053,313,14246
POA3044,9,9,20,36,60,121,410,558,407,1643,0,3,8,15,27,35,70,88,39,281,74,105,318,283,234,190,157,156,125,1637,587,1689,4506,4342,3700,2489,1584,1388,973,21250
POA3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,21,10,9,3,3,0,0,71,5,22,24,23,10,9,3,3,0,96
POA3046,17,21,90,129,176,266,556,824,439,2520,0,10,49,49,62,92,100,136,63,570,111,166,471,361,279,272,274,347,233,2513,809,2357,6769,4872,3852,2876,2239,2176,1100,27050
POA3047,32,32,189,229,308,316,367,304,102,1889,4,29,84,86,160,141,132,91,43,765,141,185,458,293,323,241,210,165,46,2055,722,1726,3715,2520,2486,1838,1255,864,279,15412
POA3048,29,49,183,273,348,352,382,177,45,1846,4,15,50,86,108,156,111,80,29,632,111,86,204,199,201,168,155,106,25,1244,702,1457,2586,2265,2447,1803,1173,561,138,13124
POA3049,3,4,10,15,38,74,166,98,35,448,0,3,0,13,5,11,27,31,8,100,30,33,81,67,70,98,75,55,18,517,301,662,1212,1163,1424,1325,798,341,94,7318
POA3050,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,7,16,6,0,9,5,3,45,0,12,24,25,10,3,16,5,3,100
POA3051,4,10,30,27,28,38,60,66,27,282,3,7,16,14,22,25,21,19,11,141,139,313,484,266,176,144,89,75,26,1712,855,2900,4207,1891,1263,935,621,333,106,13121
POA3052,3,0,0,0,10,5,12,15,36,85,0,0,3,3,3,3,0,3,4,21,50,107,135,53,42,42,48,89,197,766,363,1125,1561,519,397,365,310,245,318,5207
POA3053,3,24,28,31,34,48,39,62,49,321,3,16,23,15,21,28,24,26,10,166,211,458,469,173,150,107,80,59,21,1720,2341,5825,4685,1455,979,797,576,344,169,17183
POA3054,0,3,0,3,9,11,18,58,48,149,0,0,7,3,3,0,0,17,14,39,15,65,152,64,66,68,53,43,20,547,144,923,2304,1150,906,786,703,303,138,7352
POA3055,3,7,14,17,31,68,191,243,123,699,0,3,12,7,10,28,26,69,29,186,25,68,252,161,101,117,76,82,39,920,272,1293,3568,2285,1638,1236,809,596,297,11984
POA3056,3,4,13,15,33,106,306,449,191,1119,3,3,16,8,22,46,74,112,58,339,48,190,494,269,178,127,96,102,45,1552,416,2711,7282,4138,2509,1894,1240,933,372,21495
POA3057,0,0,3,3,13,40,106,203,68,445,0,3,6,10,3,14,28,44,15,118,14,64,302,142,78,49,48,44,25,765,167,1157,3828,2041,1129,742,510,389,136,10104
POA3058,5,6,27,41,107,260,604,801,386,2242,3,9,18,15,55,82,157,220,99,656,77,148,398,335,264,210,197,202,147,1985,656,2543,6559,5509,4377,3150,2063,1700,855,27412
POA3059,3,5,31,54,81,168,262,147,23,768,0,0,8,5,17,27,46,45,5,166,41,40,109,76,91,82,66,28,7,527,480,1269,2170,1951,2498,1890,972,352,64,11650
POA3060,11,9,28,55,72,146,306,522,232,1378,3,5,20,22,30,54,74,100,57,359,39,54,183,143,110,102,126,190,147,1087,322,898,2374,1870,1462,1152,856,1082,527,10540
POA3061,4,6,46,51,87,94,194,151,36,661,3,0,17,11,29,64,70,63,22,283,15,32,47,41,67,41,45,31,11,327,150,354,723,609,603,479,524,311,83,3835
POA3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3063,0,0,0,3,0,0,12,3,3,21,0,0,0,0,0,0,0,3,0,4,0,0,4,8,3,4,7,8,3,34,16,26,42,83,103,68,58,24,5,429
POA3064,54,111,390,528,609,640,724,331,107,3499,13,40,147,176,279,320,239,167,59,1438,262,314,778,606,524,360,229,114,51,3244,2399,5503,13476,11653,9516,5763,2824,1092,337,52569
POA3065,5,5,27,41,30,53,56,59,30,312,0,6,6,14,37,30,25,25,14,149,40,134,441,236,187,136,94,56,34,1363,167,873,3143,1719,1235,936,580,327,144,9110
POA3066,3,8,22,26,48,48,43,40,9,248,0,3,12,23,12,10,17,14,5,104,35,87,346,173,134,116,59,61,27,1039,158,722,2972,1452,895,630,327,183,70,7407
POA3067,0,4,3,4,14,27,36,48,29,165,0,4,4,3,9,11,12,15,10,70,24,80,293,127,90,71,48,28,15,767,124,756,3185,1289,783,615,418,185,104,7458
POA3068,0,4,16,17,24,65,122,180,64,493,0,0,4,10,9,15,21,53,26,140,47,94,359,285,187,179,157,82,30,1432,247,1163,4457,3175,2331,1975,1384,709,231,15666
POA3070,6,3,14,17,34,81,300,449,191,1095,0,3,4,9,13,23,72,135,48,304,66,88,357,283,213,171,126,147,70,1517,384,1553,5044,4129,3520,2238,1424,1098,510,19907
POA3071,0,3,21,18,40,95,277,450,207,1109,0,0,9,7,16,39,48,113,43,272,34,90,300,232,157,120,117,120,90,1250,264,1267,3832,3426,2437,1585,997,939,437,15185
POA3072,6,18,52,52,121,268,559,661,273,2016,0,12,24,24,71,82,102,191,64,572,99,168,522,430,362,267,257,227,159,2494,670,2486,6362,5457,4430,3117,2005,1561,666,26754
POA3073,18,25,90,143,212,499,1209,1484,702,4387,8,18,66,75,73,135,229,342,121,1064,155,277,740,520,552,437,499,534,416,4121,1047,3340,9552,7336,6032,4799,3863,3324,1755,41042
POA3074,4,26,73,108,189,471,877,723,193,2666,0,9,34,46,69,115,175,217,68,736,51,87,253,165,174,208,281,174,50,1436,492,1405,3314,2519,2357,2374,2241,1480,381,16567
POA3075,4,16,72,114,178,395,841,743,187,2547,5,5,49,58,68,104,152,248,72,752,71,104,250,209,176,208,245,194,61,1525,608,1400,3666,3095,2621,2242,2132,1527,388,17683
POA3076,9,23,78,117,159,355,487,340,178,1746,3,5,25,46,51,69,84,68,30,372,92,142,383,307,238,232,174,105,68,1742,801,2221,5840,5017,3946,3137,1855,896,393,24103
POA3078,0,3,5,14,15,32,107,153,78,412,0,7,4,4,3,4,21,37,11,94,25,62,165,130,110,72,57,56,32,707,268,886,2118,1729,1769,1278,742,440,190,9427
POA3079,4,3,8,10,23,38,93,136,88,400,0,0,6,5,3,12,7,24,13,67,33,46,103,110,117,105,111,101,118,834,366,964,2067,2119,2414,2077,1423,743,448,12624
POA3081,7,7,35,47,65,101,172,188,124,743,4,7,15,22,36,39,32,30,16,205,83,86,235,186,197,184,136,108,70,1278,361,961,2496,1892,1671,1451,940,533,339,10651
POA3082,4,11,38,65,109,319,549,397,146,1633,0,13,21,29,35,71,92,93,28,378,80,118,228,185,201,237,175,123,35,1391,826,2402,4354,3607,4586,4141,2124,1009,342,23395
POA3083,4,8,43,41,81,177,485,538,199,1573,4,12,31,28,88,74,70,88,38,427,99,241,364,194,191,187,273,257,198,2002,966,3814,5543,3777,3698,3081,2678,1684,652,25903
POA3084,0,4,12,14,21,52,212,336,256,910,0,7,7,9,11,13,16,38,18,120,44,55,156,143,141,139,167,196,149,1187,488,1422,2975,3607,3429,2930,2436,1653,867,19809
POA3085,0,3,11,5,24,36,115,170,89,455,0,0,4,4,17,9,13,19,3,74,19,55,87,91,81,65,74,100,150,717,308,911,1840,2143,1868,1460,1107,712,417,10771
POA3086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,43,7,6,0,3,0,0,0,99,341,434,70,28,4,3,0,0,0,885
POA3087,0,5,7,25,16,39,143,141,79,455,0,3,8,7,10,12,13,9,3,60,18,7,43,51,57,55,54,57,28,374,176,486,1236,1425,1121,1010,842,563,195,7052
POA3088,8,10,23,17,30,89,272,300,218,958,0,3,16,15,20,11,23,21,5,120,37,51,122,149,158,157,183,146,69,1060,529,1493,3357,3853,3652,3502,2628,1266,574,20848
POA3089,0,3,16,7,4,36,66,48,27,198,0,0,3,4,0,6,0,4,3,18,24,21,50,58,71,56,54,33,19,374,352,833,1323,1612,1957,1524,814,287,101,8797
POA3090,0,0,0,0,0,8,22,13,3,46,0,0,0,0,0,3,0,4,0,14,7,5,8,11,16,9,13,10,0,86,80,174,191,293,451,282,184,70,11,1738
POA3091,0,0,5,0,5,7,27,4,11,53,0,0,0,4,0,0,0,0,0,7,3,4,16,10,18,15,14,7,0,85,57,126,124,155,299,224,179,52,16,1236
POA3093,0,0,3,7,3,5,27,35,46,129,0,0,3,0,0,0,3,0,3,5,9,5,20,16,14,27,21,20,7,138,75,227,433,505,516,522,436,256,154,3125
POA3094,3,3,4,4,8,18,63,66,45,207,0,0,0,0,3,3,0,0,0,14,16,16,42,49,57,52,58,36,18,346,169,418,1070,1395,1210,1190,943,383,132,6910
POA3095,7,3,12,5,28,49,133,121,66,419,0,3,4,5,3,8,3,6,3,33,48,48,87,120,172,161,118,94,69,924,685,1749,2409,3654,4434,4250,2579,912,312,20989
POA3096,0,0,0,0,0,3,8,11,12,45,0,0,0,0,0,3,5,0,0,5,10,11,10,8,17,21,14,7,3,92,64,142,194,204,296,271,192,87,58,1511
POA3097,0,0,0,0,3,0,10,4,4,16,0,0,0,0,0,0,0,0,0,0,10,7,8,6,17,22,8,6,0,82,35,84,84,178,261,195,177,42,10,1074
POA3099,0,0,0,7,6,8,33,22,12,93,0,0,0,0,0,0,3,0,0,7,16,4,16,44,35,36,34,17,4,207,132,272,403,669,740,810,455,158,46,3686
POA3101,3,4,6,8,28,34,102,150,127,466,0,7,13,13,37,39,30,17,19,172,53,93,243,178,220,256,197,131,107,1484,541,1904,3412,2978,3543,2939,2182,1218,764,19484
POA3102,0,0,3,0,3,8,42,67,34,156,0,0,3,3,4,4,8,12,4,39,21,15,39,45,68,35,41,34,14,319,142,420,674,866,1090,722,572,322,158,4966
POA3103,0,3,3,10,14,42,76,124,95,361,0,4,3,9,10,10,10,18,8,77,50,28,76,64,89,93,93,85,52,644,429,1105,1570,1649,2279,1950,1471,986,617,12047
POA3104,7,0,9,12,20,40,111,184,154,541,0,3,5,5,20,12,16,36,18,117,45,49,73,100,135,102,91,100,82,781,596,1447,1714,2269,3398,2480,1652,1097,676,15323
POA3105,0,11,0,7,31,60,230,379,172,889,0,0,8,7,9,12,25,64,21,148,27,22,62,86,78,65,108,116,52,612,243,624,1218,1337,1603,1219,1121,1103,384,8848
POA3106,3,3,7,9,19,65,186,203,151,649,0,0,10,9,14,28,31,36,35,159,32,37,64,70,114,109,124,116,116,783,389,1015,1715,1799,2378,2411,1949,1118,574,13347
POA3107,5,5,10,7,16,60,182,283,143,706,3,0,8,0,12,19,41,36,22,145,26,25,50,70,85,74,117,148,136,738,288,699,1358,1786,1876,1454,1550,1266,507,10796
POA3108,4,3,11,26,46,126,301,398,162,1072,0,8,14,11,25,36,49,92,26,268,31,63,179,67,133,122,147,188,151,1080,490,1456,3151,2440,2653,2339,2155,1894,704,17276
POA3109,3,4,11,30,53,159,350,401,204,1213,0,8,28,26,22,41,62,106,40,329,49,51,114,116,130,158,166,233,119,1140,669,1712,3338,3700,3843,3425,2889,1975,834,22380
POA3111,0,3,8,9,8,37,99,123,107,409,0,0,3,6,5,12,9,28,21,87,23,22,61,69,67,77,96,104,124,638,257,707,1188,1481,1772,1551,1306,853,559,9672
POA3113,0,3,0,0,3,13,44,38,23,123,0,0,0,3,0,0,3,3,0,13,30,28,31,46,84,68,41,40,0,358,250,527,616,1038,1528,1240,765,286,66,6312
POA3114,0,0,0,0,0,9,21,30,6,70,0,0,0,0,0,0,0,0,3,10,8,4,3,11,33,21,17,8,0,109,120,279,190,402,741,533,343,160,38,2800
POA3115,0,0,3,0,5,8,19,15,6,60,0,0,0,0,0,0,0,4,0,3,14,15,7,16,27,30,19,15,3,138,132,311,254,408,706,590,347,124,24,2899
POA3116,3,3,15,16,22,40,103,94,53,342,0,0,0,7,7,4,10,11,0,46,13,35,46,43,59,68,63,61,22,410,264,654,1303,1190,1364,1236,1061,474,159,7706
POA3121,0,7,26,52,102,150,237,261,117,967,0,6,21,35,46,71,74,138,65,457,61,235,891,389,317,263,209,128,62,2545,428,2460,10125,4932,3381,2547,1728,983,349,26938
POA3122,4,4,17,14,16,22,51,81,66,277,0,4,17,4,13,3,7,17,3,73,103,211,432,221,173,117,109,94,93,1559,759,2819,5927,3220,2524,1890,1528,760,360,19786
POA3123,3,3,8,6,8,17,44,58,52,195,0,4,11,5,12,9,7,18,5,71,30,54,208,107,83,94,77,52,41,748,298,1300,2993,2067,1634,1376,1034,556,299,11550
POA3124,3,8,5,9,7,22,91,112,109,365,0,0,8,3,13,9,13,26,10,85,38,70,114,112,152,98,131,167,165,1039,514,1656,2389,2550,3239,2543,2032,1300,940,17154
POA3125,3,14,13,14,17,43,94,145,128,476,0,8,21,7,10,17,20,26,6,120,63,132,150,77,76,74,74,98,73,818,781,2583,2559,1516,1580,1199,952,803,576,12547
POA3126,3,0,0,3,7,9,20,25,26,84,0,0,3,3,0,0,3,4,0,13,19,36,34,36,49,47,58,53,115,447,202,597,673,805,1207,1111,844,433,327,6202
POA3127,3,0,3,5,12,18,47,79,60,236,0,0,5,8,12,13,5,21,3,65,31,57,82,93,118,87,81,65,49,667,423,1309,1984,2343,2832,2413,1593,801,464,14163
POA3128,4,14,25,22,35,65,111,118,109,510,4,24,49,36,32,29,29,29,22,251,73,153,241,121,156,133,113,125,145,1255,633,2400,3941,2402,2378,1944,1187,908,535,16321
POA3129,4,3,20,19,40,54,119,172,110,536,0,3,16,15,21,28,30,31,13,156,33,35,79,84,111,90,87,77,58,661,430,1214,2406,2376,2458,1967,1338,933,432,13556
POA3130,12,9,20,28,44,121,198,339,258,1017,4,4,18,28,35,42,39,59,28,253,63,59,181,146,161,185,163,278,260,1505,692,1940,3847,4415,4493,3476,2566,2171,1262,24861
POA3131,9,9,14,36,75,98,208,285,188,913,0,12,22,27,48,53,55,45,10,270,31,67,171,155,122,127,125,170,157,1116,416,1331,3250,3369,2898,2289,1859,1471,823,17707
POA3132,11,4,16,17,36,57,100,134,83,474,0,0,30,12,17,45,18,31,14,154,21,38,101,86,91,75,97,87,42,649,305,890,2541,2540,2176,1697,1342,847,299,12629
POA3133,6,3,12,13,38,79,209,236,137,740,0,6,7,14,45,36,34,42,24,218,30,44,72,85,76,74,117,103,49,656,529,1253,2192,2979,2976,2640,2625,1431,558,17187
POA3134,21,18,85,68,76,117,259,244,207,1110,3,15,53,36,42,55,32,30,9,265,72,62,178,202,199,171,169,165,114,1343,770,1971,4400,4674,4558,3792,2814,1547,818,25343
POA3135,17,8,48,48,56,51,125,148,101,609,0,5,28,27,23,20,22,7,8,147,41,40,99,110,134,112,128,142,77,877,436,1104,2593,3026,2791,2158,1816,1046,437,15403
POA3136,37,41,107,142,97,145,322,337,269,1497,5,14,40,45,56,43,25,22,15,241,82,107,297,283,275,278,289,353,253,2216,997,2669,6209,5997,5930,5195,4046,2386,1092,34524
POA3137,3,11,39,22,44,48,129,120,105,519,3,3,9,3,5,12,10,13,0,52,36,44,104,79,85,83,128,114,145,822,342,899,1943,1727,1851,1641,1279,697,446,10818
POA3138,10,24,61,66,53,75,183,129,60,671,0,4,31,28,42,22,18,6,6,163,49,57,130,109,133,112,149,159,94,990,590,1484,3332,2910,2857,2527,1890,847,299,16743
POA3139,3,8,28,26,41,67,110,100,48,433,0,0,3,0,0,5,6,12,3,31,52,40,73,93,125,105,90,49,26,650,419,839,1629,1847,2037,1794,1189,477,146,10387
POA3140,4,8,24,29,52,74,163,187,105,652,3,5,7,8,8,0,8,9,8,65,28,50,81,106,126,114,105,106,44,770,445,1067,1990,2177,2439,1926,1513,853,348,12760
POA3141,3,4,12,26,21,41,56,90,47,301,0,3,14,8,10,19,17,23,11,107,102,294,929,386,273,228,201,149,50,2600,519,2859,8842,3528,2394,1981,1583,902,297,22910
POA3142,0,0,3,3,8,11,27,24,29,103,0,0,0,0,0,3,4,0,5,19,45,62,177,108,106,135,150,112,83,964,229,949,2048,1377,1577,1671,1741,971,503,11078
POA3143,0,0,0,3,6,6,41,61,39,152,0,0,5,0,0,0,3,9,0,27,27,44,143,104,74,63,67,64,43,625,164,650,1887,1338,1096,890,833,483,237,7574
POA3144,0,0,4,8,3,4,39,74,51,185,0,0,7,0,3,3,5,14,0,30,23,32,78,90,71,59,87,88,44,567,213,651,1488,1384,1417,1217,1091,769,378,8615
POA3145,3,10,12,5,18,49,129,172,103,501,0,4,9,11,19,15,20,39,10,124,47,127,182,123,153,132,113,96,63,1030,631,2687,3292,2911,3229,2445,1735,992,521,18437
POA3146,3,6,3,5,9,28,97,146,92,385,0,0,9,3,7,6,10,20,9,66,42,80,204,149,141,144,115,117,55,1049,525,1747,3581,3396,3729,2826,1952,1059,525,19336
POA3147,0,4,12,10,22,43,99,136,101,422,4,8,18,13,13,23,14,23,9,123,32,39,134,124,114,90,87,86,96,798,307,923,1837,2103,2142,1635,1083,667,461,11158
POA3148,3,5,5,12,14,44,107,113,44,357,0,3,14,13,17,11,13,28,9,109,17,53,154,85,41,64,51,64,17,549,188,816,1954,1280,960,772,568,417,127,7078
POA3149,7,9,8,21,42,92,304,406,213,1101,0,7,24,25,30,49,41,61,21,255,68,114,190,193,205,203,182,238,120,1504,896,2431,4006,4245,4876,3660,2887,2514,1030,26549
POA3150,13,4,28,61,117,261,517,672,363,2038,0,10,35,50,58,86,93,120,51,500,126,161,240,273,296,291,344,444,436,2611,1542,4192,6376,7440,8350,7030,6347,4308,1816,47396
POA3151,0,4,9,14,21,53,161,192,85,544,0,3,10,13,6,26,33,51,21,157,20,33,52,47,69,48,94,95,29,484,233,967,1419,1260,1260,1090,1068,888,269,8464
POA3152,4,11,29,26,75,150,294,263,236,1090,3,3,22,29,39,60,54,57,27,285,42,63,129,158,161,220,208,242,315,1542,772,2237,4116,4031,4356,4873,3239,1707,1147,26483
POA3153,5,10,43,41,64,109,207,180,112,763,6,5,15,21,34,34,19,18,8,151,45,67,176,178,153,141,172,168,193,1292,430,1260,3483,2922,2622,2252,1836,970,539,16309
POA3154,0,0,6,7,14,17,21,26,6,97,0,3,0,3,0,0,3,0,0,11,11,12,27,33,35,30,29,33,62,274,102,224,541,643,661,558,373,159,110,3376
POA3155,7,12,34,46,72,105,206,211,109,795,3,3,15,11,10,15,21,15,3,98,46,55,205,182,147,164,196,166,95,1257,452,1336,3559,3130,2768,2715,2164,1199,432,17754
