POA_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
POA3123,71,464,375,2732,28,3661,0,0,0,7,0,7,1486,34,53,47,8,1630,24,9,3,13,0,51,75,44,14,85,0,224,794,433,322,2787,36,4378,88,0,10,0,3,110,65,9,14,37,0,121,145,58,50,289,5,548,291,65,23,100,5,486,49,12,7,14,0,73,585,18,21,9,3,635,219,154,97,1363,13,1843,288,104,36,286,0,715,76,0,0,3,0,80,21,9,0,16,0,48,16,0,3,3,0,29,27,5,6,20,0,61,13,0,0,0,0,16,85,21,23,7,0,131,103,27,11,46,3,188,68,8,11,16,0,95,239,122,117,1167,16,1662,20,3,0,0,0,23,72,15,0,5,0,90,45,0,6,9,0,64,117,4,4,3,3,135,20,0,0,0,0,28,133,7,7,0,0,149,13,10,6,41,0,75,1122,136,116,169,9,1551,32,9,0,27,706,773,5498,1037,777,6204,808,14321
POA3124,106,806,585,4166,66,5725,0,3,0,8,0,12,2394,75,107,85,28,2687,49,3,12,13,0,75,126,58,25,60,4,277,1366,750,538,4632,65,7353,63,3,5,3,0,73,112,30,20,50,0,212,209,64,52,411,8,746,536,86,56,265,6,944,61,16,13,22,0,113,641,15,14,14,3,700,405,203,170,2272,24,3068,561,147,94,456,9,1267,103,4,8,0,0,113,42,13,4,19,0,74,33,3,8,19,0,66,51,11,11,14,0,95,19,4,0,0,0,28,114,34,26,7,0,184,134,17,10,36,0,203,87,11,10,11,3,116,364,195,148,1641,14,2368,26,4,0,5,3,34,85,11,7,7,0,113,57,3,12,19,0,90,208,18,19,15,3,261,19,0,4,3,0,26,220,6,3,4,3,243,28,17,11,86,0,140,1335,178,175,261,10,1958,52,6,7,82,895,1037,8223,1603,1243,9933,1090,22094
POA3125,90,329,248,2013,19,2692,0,0,0,14,0,14,4046,35,30,25,13,4156,51,7,7,8,0,76,75,18,9,64,0,170,698,349,200,1901,36,3184,100,0,13,0,0,111,46,11,9,25,0,93,101,43,18,177,8,347,474,37,12,151,4,677,36,5,3,7,0,54,704,3,8,8,12,736,155,120,59,855,15,1205,286,71,27,235,3,622,96,0,0,0,0,96,20,9,0,3,0,28,16,0,3,4,0,27,26,3,3,21,0,52,4,0,0,3,0,19,31,10,8,10,0,62,88,13,3,22,0,127,28,0,0,3,0,36,161,75,63,647,11,960,25,0,0,3,0,29,44,11,0,0,0,56,32,4,0,6,0,42,388,11,5,7,0,407,19,0,0,0,0,24,273,3,12,5,0,290,19,0,0,20,0,38,1287,88,83,99,12,1566,54,3,0,32,679,768,8609,737,487,4399,785,15019
POA3126,122,281,221,1592,18,2236,0,3,0,0,0,3,1168,14,47,32,7,1267,11,0,6,9,0,24,32,20,4,23,0,85,458,261,205,1668,14,2608,4,4,6,5,0,19,36,6,9,22,0,65,71,21,19,145,7,254,117,9,10,73,0,211,21,5,0,4,0,29,173,16,10,4,0,218,156,64,75,767,11,1068,179,42,17,182,3,423,32,0,0,0,0,32,10,0,0,9,0,27,11,0,0,11,0,28,13,3,8,11,0,35,4,0,0,0,0,3,34,3,10,4,0,52,50,8,6,10,0,76,36,9,0,5,0,57,155,82,59,586,11,888,6,0,0,0,0,6,27,5,0,0,0,38,8,0,3,4,0,20,63,4,6,3,3,82,6,0,0,0,0,6,36,0,17,0,0,51,15,4,0,31,0,50,400,61,50,84,3,602,18,3,0,12,309,341,3052,552,467,3625,363,8056
POA3127,73,689,536,4075,36,5410,0,0,0,0,0,4,2216,51,108,70,8,2450,28,0,7,9,0,48,130,61,25,71,3,279,1024,656,490,4212,59,6448,81,0,9,3,0,90,55,14,13,57,0,139,176,63,31,394,3,669,277,49,28,168,3,524,48,8,7,22,0,94,443,15,20,11,0,490,253,197,127,1974,27,2574,335,109,54,339,3,833,92,3,3,4,0,101,30,5,3,13,0,46,18,0,5,7,0,32,33,3,0,18,0,51,11,3,0,0,0,19,92,38,11,9,3,143,78,13,11,38,0,135,31,3,0,7,0,48,297,191,142,1493,20,2141,21,3,8,3,0,40,85,18,5,3,0,113,44,0,3,3,0,45,141,30,6,12,3,192,29,0,0,10,0,35,158,3,10,0,0,164,54,20,12,58,0,143,916,155,150,252,4,1475,32,0,3,60,605,704,6287,1353,1054,9025,737,18445
POA3128,123,483,384,2586,52,3624,0,0,0,3,0,3,6508,22,75,48,52,6716,40,7,3,12,0,58,84,33,16,58,3,193,862,450,264,2659,47,4285,162,0,17,5,0,189,47,10,8,22,0,84,145,47,34,257,12,494,238,43,26,104,7,412,39,0,3,16,3,69,732,13,5,4,4,763,185,160,74,1248,19,1685,303,67,40,247,19,677,269,0,4,3,0,280,19,6,0,8,0,29,13,0,0,12,0,23,25,12,6,26,3,78,10,6,0,0,0,18,64,19,28,10,0,121,88,10,10,23,3,126,35,4,0,7,0,49,188,116,101,856,5,1268,25,5,0,3,0,36,23,3,3,3,0,41,56,0,0,6,0,69,165,6,11,4,0,189,4,5,0,0,0,10,296,6,10,0,0,317,26,6,4,41,3,76,1381,117,123,138,18,1776,58,4,4,34,1078,1175,11160,957,719,5714,1270,19828
POA3129,114,470,371,2654,42,3655,0,0,3,6,0,7,4382,29,70,55,50,4593,50,3,14,15,0,82,110,34,20,48,3,220,814,455,293,2818,36,4413,119,0,16,3,0,129,52,13,7,31,0,108,144,52,32,248,8,486,389,58,17,165,9,639,41,7,6,10,0,66,505,19,0,10,8,538,174,138,85,1278,19,1693,466,78,50,307,10,922,197,3,5,0,0,205,29,7,0,10,4,55,32,7,0,10,0,51,34,17,5,22,3,80,12,3,3,3,0,25,54,26,28,8,0,116,54,11,11,22,0,94,52,3,6,4,0,61,203,110,96,877,23,1308,31,0,0,0,0,32,45,3,6,0,0,57,41,3,3,0,0,45,157,6,13,8,0,181,18,0,0,3,0,22,188,3,9,5,5,207,22,6,7,40,0,77,1211,117,125,136,11,1595,68,11,4,56,551,689,8836,988,737,6083,735,17376
POA3130,191,1101,834,6276,128,8526,0,4,0,7,0,15,5169,71,114,103,47,5497,67,11,7,19,4,109,253,85,54,148,3,535,1644,1001,651,6403,129,9828,182,3,23,0,3,212,74,14,12,71,3,171,275,94,49,562,6,994,691,95,53,308,7,1161,83,15,7,21,3,134,1094,20,21,8,3,1142,395,257,187,2640,28,3509,668,142,75,583,10,1473,215,0,5,0,0,226,36,13,3,17,0,66,59,8,3,26,0,89,77,24,4,49,3,159,27,3,3,0,0,31,123,65,37,25,4,249,153,19,20,40,4,246,68,10,7,12,0,96,443,254,159,1906,26,2788,50,9,0,7,0,64,107,25,17,9,0,167,78,13,11,12,0,115,326,27,17,17,5,393,33,6,0,4,0,45,355,13,10,15,0,399,59,24,19,91,3,195,2081,247,205,314,27,2868,84,14,14,91,1165,1363,13355,2147,1524,13612,1528,32174
POA3131,153,665,516,4152,59,5548,0,0,0,9,0,15,4113,50,97,57,32,4354,74,10,7,23,0,116,155,62,22,81,3,321,1088,578,391,3652,88,5796,200,3,7,5,0,214,45,8,3,29,0,88,191,63,32,379,6,679,450,59,40,205,4,753,74,9,4,15,0,95,1008,24,9,8,5,1048,246,163,93,1562,21,2085,488,112,41,338,11,993,123,10,3,0,0,135,28,5,13,0,0,41,24,0,0,5,0,32,43,17,6,40,0,108,12,10,0,5,0,28,75,42,9,7,0,133,110,15,10,46,0,178,49,9,5,12,0,65,285,161,115,1209,9,1786,54,4,3,6,0,71,81,10,18,3,0,110,66,8,0,12,0,90,229,7,8,14,0,269,32,3,0,0,0,39,434,14,17,0,0,467,35,17,14,80,3,139,2008,187,120,191,24,2533,87,3,4,62,884,1037,10754,1344,944,8361,1104,22504
POA3132,110,612,422,3353,52,4541,0,0,0,4,0,11,2329,30,51,55,4,2477,49,12,0,14,0,74,139,52,28,79,0,305,874,576,378,3204,47,5075,91,3,16,3,0,111,34,10,6,24,0,76,174,55,29,332,0,595,141,34,16,87,0,274,55,5,4,13,0,75,601,15,4,8,0,631,219,141,82,1324,12,1769,357,87,43,319,3,810,105,0,5,3,0,111,8,3,0,4,0,16,27,4,0,3,0,38,42,16,5,11,0,76,22,4,3,4,0,31,63,27,15,8,0,114,78,11,4,37,0,131,41,4,6,8,0,60,213,134,124,1063,16,1548,52,3,3,4,3,76,59,13,10,3,0,84,39,9,4,14,0,60,107,15,3,6,0,131,19,0,0,0,0,18,145,4,9,0,0,155,38,13,7,41,0,89,1226,122,117,142,20,1626,47,4,7,59,553,677,6560,1151,808,6934,691,16148
POA3133,165,639,463,3660,47,4979,0,0,0,9,0,9,4610,36,61,55,35,4799,74,11,10,24,4,120,152,35,32,71,0,296,1201,545,409,3717,81,5953,160,6,23,3,0,194,40,8,3,35,0,87,255,61,50,352,7,721,563,66,47,215,10,903,89,11,4,17,0,121,844,24,18,7,8,910,322,143,86,1532,17,2102,552,115,52,360,5,1083,151,0,9,0,0,156,36,3,3,7,0,56,15,0,4,11,0,34,56,12,8,39,0,112,16,10,5,0,0,30,65,45,22,7,3,140,141,15,18,30,5,209,81,7,11,11,0,106,303,143,115,1127,13,1705,42,5,3,9,0,58,73,8,10,3,0,90,50,4,0,10,0,60,363,20,9,8,0,394,19,0,0,3,0,17,314,3,6,3,0,328,36,19,9,54,0,116,1650,137,120,185,7,2103,75,14,8,55,489,642,11183,1275,943,8021,706,22125
POA3134,222,1264,903,7971,106,10466,0,0,4,18,0,24,2561,35,50,50,21,2717,105,24,6,30,0,173,380,134,65,227,4,814,2148,1096,769,7060,124,11189,182,3,27,3,0,217,107,24,16,68,0,207,394,133,80,735,12,1356,304,76,29,189,10,605,88,14,7,20,0,137,813,23,19,0,5,862,478,271,167,2666,38,3614,775,274,81,721,13,1862,137,0,0,4,0,145,40,4,3,12,0,61,41,3,5,30,0,79,89,50,28,73,0,244,28,7,3,11,0,46,133,51,63,24,0,268,205,33,31,53,0,313,65,9,10,16,0,99,576,272,192,2147,28,3219,57,3,3,0,3,64,145,21,15,3,0,188,87,12,0,24,0,114,206,15,18,9,0,244,20,6,0,7,0,31,170,0,7,3,4,187,64,23,18,98,0,200,2747,271,166,343,23,3548,81,17,9,139,1072,1316,11542,2427,1605,15829,1375,32781
POA3135,90,870,631,4976,85,6663,0,3,0,19,0,23,1207,22,61,33,12,1331,40,12,8,16,0,71,233,95,42,166,6,544,1318,801,547,4877,89,7630,102,9,17,0,0,127,48,9,6,35,0,99,226,98,54,461,9,847,120,38,12,59,0,233,68,5,8,19,0,98,491,20,14,6,3,540,316,209,106,1861,22,2508,216,112,44,280,7,663,75,0,0,0,0,82,19,5,0,9,0,34,10,0,0,19,0,30,37,26,4,26,0,94,32,3,3,3,0,43,79,34,33,8,3,160,78,20,17,42,3,162,62,6,4,14,0,88,357,197,156,1491,22,2225,17,5,0,0,0,28,50,14,12,4,0,81,50,12,3,15,3,80,126,10,14,11,0,167,18,3,0,0,0,25,70,0,7,0,0,76,51,23,8,55,0,138,1451,169,116,254,20,2004,74,7,6,62,682,836,6119,1605,1113,10203,912,19956
POA3136,283,1861,1287,11877,231,15541,0,0,3,39,4,46,1663,38,52,91,10,1851,96,30,9,35,0,165,618,178,120,362,9,1284,3247,1724,1320,10989,195,17473,241,3,39,3,3,288,85,22,26,96,4,237,600,218,155,1159,18,2151,231,62,40,168,10,516,110,21,8,39,0,175,787,23,15,18,0,848,621,396,255,3805,47,5119,652,250,118,849,29,1897,63,6,0,5,0,74,73,20,3,31,0,132,37,4,0,27,0,73,119,36,23,56,4,243,77,13,5,9,0,100,154,87,56,26,3,324,198,26,26,87,0,340,50,4,12,27,3,92,793,441,306,3151,54,4745,57,10,0,26,0,89,226,27,31,19,4,309,96,8,16,29,3,154,214,36,26,35,0,305,33,10,3,5,0,48,131,3,11,0,4,149,122,39,27,132,0,321,3026,321,247,515,34,4139,112,13,20,201,1744,2097,12594,3421,2473,23612,2272,44369
POA3137,74,621,429,4114,88,5322,0,0,0,16,0,13,142,11,18,28,3,201,20,7,0,10,3,44,333,61,48,171,30,638,1191,590,453,3488,74,5797,84,7,18,3,3,111,23,10,0,37,0,69,202,64,44,356,8,681,55,28,12,39,0,133,41,7,6,10,0,67,157,16,0,10,0,187,203,126,79,1136,16,1564,150,89,37,284,4,572,16,0,3,0,0,18,30,8,9,4,0,48,14,0,0,14,0,31,37,13,6,23,0,77,13,0,0,4,0,18,47,19,21,6,4,93,48,8,8,28,0,100,7,3,0,3,0,14,244,137,102,916,12,1418,10,0,0,0,0,10,59,5,11,6,0,81,16,3,0,16,0,36,43,6,5,9,0,69,3,3,0,0,0,3,42,0,3,0,0,48,44,17,10,46,0,117,626,74,65,119,6,901,37,11,3,64,657,775,3369,1108,804,7741,857,13871
POA3138,133,907,698,6459,115,8306,0,3,0,12,0,19,502,9,26,30,6,576,45,18,3,18,0,89,338,101,70,223,7,740,1760,932,680,5166,100,8634,131,9,19,0,3,158,70,8,11,49,0,138,302,133,72,582,18,1108,78,26,7,61,3,174,53,5,5,21,0,84,312,16,15,14,3,358,313,167,114,1624,29,2243,359,139,71,466,13,1045,9,0,3,0,0,12,47,8,6,7,0,72,33,0,0,15,0,49,56,18,13,54,4,148,32,3,3,11,0,56,91,32,31,9,0,159,94,20,16,55,4,187,33,4,9,17,0,64,386,212,140,1424,21,2191,11,3,0,0,0,13,113,27,11,3,0,157,37,6,0,26,0,70,68,24,5,10,0,113,10,0,0,0,0,15,30,0,0,0,0,38,50,20,16,45,0,135,1587,155,93,225,19,2078,44,13,3,126,813,1006,6049,1756,1224,11849,1088,21967
POA3139,67,650,469,4644,91,5920,0,0,0,8,0,8,41,6,8,35,0,95,18,0,0,8,0,31,305,99,57,219,5,688,1041,630,495,3831,110,6110,23,0,17,4,0,42,27,7,3,31,0,71,180,67,50,339,11,653,41,7,0,39,0,93,15,3,3,10,0,32,12,10,3,5,0,29,192,132,70,1058,16,1472,259,98,42,276,13,688,0,0,0,0,0,0,3,0,0,0,0,3,7,0,0,0,0,5,23,8,3,30,0,67,17,7,3,3,0,31,46,32,18,4,0,107,38,25,10,16,0,87,14,0,0,4,0,21,196,143,111,1058,17,1529,10,3,0,0,0,17,32,7,0,4,0,41,14,3,0,13,0,31,15,3,3,8,0,34,0,0,0,0,0,3,4,0,0,0,0,4,38,7,9,30,0,81,277,74,62,134,7,561,18,4,5,96,541,667,2429,1190,844,8506,758,13718
POA3140,100,772,497,5243,73,6695,0,0,3,19,0,23,132,0,9,27,10,177,37,5,3,9,0,50,313,110,53,233,8,725,1357,733,529,4362,77,7053,96,0,11,5,0,110,44,5,5,35,0,94,196,51,33,415,10,702,41,14,10,46,0,115,40,7,7,23,3,76,147,14,6,0,0,169,245,130,91,1164,20,1646,479,156,61,430,17,1140,8,0,0,0,0,8,6,3,0,8,0,24,16,0,0,8,0,22,37,16,9,29,0,94,29,4,5,0,0,35,74,37,22,15,0,146,57,10,5,23,3,95,17,7,4,11,0,31,242,170,110,1068,14,1608,4,0,0,0,0,4,66,21,10,5,0,99,26,4,0,10,0,42,42,11,3,8,0,63,6,0,0,3,0,14,12,0,3,0,0,16,50,14,8,44,0,112,547,96,81,163,14,908,33,4,6,110,595,751,3741,1402,934,9663,787,16531
POA3141,145,725,588,3305,34,4794,0,3,3,13,0,17,2609,36,52,58,24,2779,70,15,0,8,0,95,191,54,42,83,8,373,2068,704,578,4094,77,7519,158,4,21,3,0,187,230,23,20,62,3,339,332,85,69,423,5,923,404,70,35,126,5,640,49,16,6,17,0,96,711,13,22,10,10,760,724,237,136,1956,27,3081,432,160,82,385,9,1070,128,3,4,3,0,137,52,4,4,20,7,86,29,6,5,3,0,48,39,25,6,29,0,103,73,9,0,0,0,83,249,35,33,12,0,328,230,46,33,82,0,398,259,12,12,27,12,316,586,221,173,1482,25,2492,71,4,4,7,0,93,111,11,5,8,0,133,145,9,11,10,0,170,139,10,4,5,3,167,84,6,0,3,0,92,215,5,4,9,7,231,84,16,9,55,0,167,2677,239,204,278,33,3427,94,4,6,48,2478,2636,11171,1624,1253,8404,2699,25147
POA3142,70,418,350,2275,31,3151,0,3,0,3,0,7,1024,19,42,25,3,1108,23,9,5,13,0,49,77,26,13,34,0,139,724,402,280,2575,45,4030,28,0,8,0,0,34,81,16,11,30,0,143,159,31,28,227,7,452,187,60,21,90,4,357,84,9,4,16,0,119,297,18,3,3,0,320,236,123,87,1098,10,1551,268,79,30,235,8,622,15,0,4,0,0,19,34,18,3,21,0,75,13,5,3,7,0,34,26,9,3,12,0,50,8,0,4,0,0,8,61,11,5,3,0,82,418,52,32,95,4,603,125,17,14,21,0,189,224,101,85,950,10,1369,40,3,0,4,0,49,72,7,3,0,0,78,37,0,3,7,0,50,65,7,0,0,0,69,15,0,0,0,0,16,70,0,0,0,0,70,27,4,9,30,0,78,1067,121,108,184,17,1499,40,3,11,53,885,984,4747,941,675,5559,998,12909
POA3143,64,345,262,1615,23,2306,0,0,0,9,0,6,391,9,34,24,0,453,19,4,3,7,0,43,55,19,3,32,0,114,561,341,232,1918,31,3078,78,0,5,0,0,84,69,9,16,40,6,141,116,40,20,176,0,348,238,25,18,72,3,356,40,8,7,13,0,70,299,7,0,0,0,313,161,78,52,868,5,1167,146,57,43,154,3,400,26,0,0,0,0,27,8,0,0,7,0,11,4,0,3,3,0,11,10,3,3,13,0,29,12,0,3,0,0,15,63,15,14,0,0,99,166,46,23,62,4,309,78,7,4,24,0,116,185,69,62,705,9,1024,19,0,0,0,3,26,46,3,3,3,0,53,34,0,4,3,0,42,49,7,3,9,0,64,9,0,0,0,0,17,53,0,0,0,0,55,17,0,3,25,0,49,721,144,89,141,3,1105,17,3,3,32,588,647,3140,719,553,3982,663,9054
POA3144,72,426,336,2340,22,3204,0,0,0,0,0,4,559,16,20,22,0,622,14,3,6,6,0,31,70,18,21,32,0,136,626,401,275,2639,26,3969,47,0,6,0,0,52,45,12,13,44,0,111,96,35,23,220,0,372,277,24,18,93,4,423,35,4,11,22,0,72,281,12,5,5,0,307,187,123,69,1115,18,1509,190,56,34,194,0,469,43,0,3,0,0,46,15,3,3,11,0,29,5,0,0,3,0,5,9,7,3,9,0,34,3,0,0,0,0,6,52,17,15,10,3,97,137,32,16,95,0,280,63,10,9,23,0,105,170,97,95,957,12,1332,13,3,0,3,0,28,53,10,4,0,0,68,36,3,0,10,0,53,29,7,0,3,0,43,7,0,3,3,0,18,30,0,0,0,0,36,10,4,3,37,0,54,619,108,94,171,3,994,25,12,0,35,540,612,3210,847,642,5568,609,10886
POA3145,147,769,542,4368,42,5873,0,0,0,10,0,7,3067,32,66,70,21,3259,57,15,3,43,0,120,123,53,21,83,3,279,1089,678,468,4344,57,6633,78,0,12,0,0,91,110,30,10,75,0,227,225,81,47,438,3,798,1073,88,67,507,8,1749,64,20,12,28,0,121,719,26,27,15,10,792,332,176,132,2201,27,2876,502,117,88,497,22,1217,84,0,4,3,0,94,26,3,4,7,0,46,41,11,6,18,0,72,27,14,6,20,0,63,15,4,0,0,0,21,99,28,29,7,0,157,183,31,44,81,7,343,123,10,19,29,0,169,276,145,114,1512,19,2064,36,5,3,4,5,51,136,29,20,4,0,192,55,3,7,15,0,82,207,16,14,19,5,260,40,3,8,3,0,54,241,7,0,0,3,253,51,20,11,63,0,144,1536,217,160,302,20,2230,73,5,8,60,901,1045,9432,1525,1141,10098,1091,23295
POA3146,132,1027,731,5393,55,7331,0,0,0,3,0,4,2109,72,98,81,13,2377,88,29,16,32,0,157,156,68,34,94,0,349,1434,883,604,5354,48,8323,87,0,16,3,0,107,97,24,13,61,0,196,270,84,70,551,9,981,737,89,69,335,9,1242,107,20,14,33,3,175,1014,31,20,19,8,1090,397,259,165,2482,18,3323,503,144,70,531,14,1263,59,0,11,0,0,69,37,13,5,18,0,78,24,6,5,22,0,59,50,20,15,30,0,121,19,0,0,3,0,26,126,57,34,15,0,240,194,50,29,102,0,375,108,17,13,20,4,158,448,232,158,1826,24,2689,57,9,4,5,0,73,101,14,13,3,3,144,61,4,9,18,0,94,210,25,29,11,0,281,40,3,3,0,0,47,183,3,13,0,0,207,51,14,8,98,0,164,1469,260,203,299,14,2245,60,8,4,62,957,1090,8821,1983,1448,11882,1119,25255
POA3147,141,475,413,2736,38,3797,0,0,0,8,0,10,1817,36,63,49,18,1988,46,10,3,24,0,82,94,41,14,47,3,202,755,410,334,2624,36,4154,61,5,6,0,0,79,70,20,3,22,0,112,159,47,27,237,14,484,385,52,29,189,3,653,41,13,3,9,3,71,428,7,8,0,7,449,216,118,120,1309,15,1772,293,65,44,307,8,715,95,0,3,0,0,103,35,4,5,10,0,52,19,0,6,10,0,36,33,9,8,18,0,67,13,3,3,5,0,29,71,24,11,5,4,120,97,8,13,22,3,142,77,3,10,4,0,91,215,125,82,933,5,1360,38,4,0,6,0,51,51,6,3,0,0,53,29,0,3,6,0,42,184,9,11,7,0,219,36,4,0,0,0,41,159,7,13,0,0,181,25,11,5,35,3,77,1127,113,134,165,21,1554,42,3,0,55,758,867,5948,951,780,6054,903,14637
POA3148,87,178,135,902,20,1322,0,0,0,3,0,5,1659,14,31,12,16,1723,35,4,3,6,0,52,28,12,8,18,3,61,363,152,107,813,20,1453,79,0,15,3,0,99,47,8,8,16,0,75,61,23,13,90,0,189,490,55,40,146,4,737,29,11,4,3,0,49,463,10,6,0,0,479,109,50,32,322,10,524,310,49,31,124,12,529,156,0,3,0,0,156,34,0,3,0,0,38,4,3,0,4,0,16,8,3,3,9,0,30,13,0,0,0,0,15,30,7,13,3,0,54,79,11,6,11,0,106,63,3,0,11,0,75,80,35,29,242,3,385,42,3,0,4,0,46,20,8,3,0,3,37,42,0,8,3,0,56,242,4,3,3,0,252,16,0,0,0,0,21,192,0,0,0,0,195,10,3,0,14,0,27,1085,43,61,55,3,1248,62,4,0,19,492,586,5334,413,328,1990,575,8641
POA3149,230,802,628,4381,59,6100,0,0,0,13,0,13,7246,51,118,69,35,7514,94,15,12,15,0,130,225,41,27,97,3,397,1472,660,495,4499,68,7189,198,4,28,3,4,238,97,11,9,39,3,165,299,78,48,369,3,806,1449,147,87,536,8,2232,126,21,3,28,0,178,1750,14,30,10,6,1818,375,201,127,1889,28,2620,742,144,70,516,16,1486,551,0,25,0,0,575,43,4,5,6,0,60,42,10,3,3,0,50,76,23,7,24,0,131,34,0,7,0,0,41,95,31,4,12,0,145,270,20,18,37,3,350,146,12,8,14,4,182,362,188,144,1385,17,2092,64,13,3,14,0,93,116,21,6,3,0,142,66,5,3,5,0,86,1223,22,19,14,8,1280,21,3,0,0,0,26,413,12,15,13,5,453,46,9,6,60,0,130,2965,186,221,280,25,3676,160,11,4,79,1266,1527,19101,1649,1318,10044,1508,33611
