POA_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
POA3149,507,4024,4823,1481,625,11464,292,11757
POA3150,955,6154,8657,2737,1262,19767,448,20216
POA3151,260,1247,1432,410,184,3537,92,3632
POA3152,493,3050,4814,1750,876,10987,266,11251
POA3153,406,2816,2926,848,444,7441,242,7687
POA3154,44,356,659,265,133,1451,60,1510
POA3155,475,3095,3257,986,484,8299,274,8572
POA3156,443,3599,5422,1962,1249,12671,324,12995
POA3158,64,606,1025,382,206,2279,35,2318
POA3159,9,156,388,152,110,810,17,832
POA3160,78,839,1326,482,327,3043,86,3131
POA3161,538,2189,2095,485,243,5552,166,5719
POA3162,437,2280,2592,592,282,6189,155,6344
POA3163,1706,6095,3719,735,340,12596,355,12954
POA3165,454,3228,4290,1019,451,9449,242,9687
POA3166,854,3197,3011,788,310,8160,268,8430
POA3167,223,1124,1251,395,190,3182,83,3260
POA3168,1409,3020,1704,432,161,6716,235,6959
POA3169,580,2557,2238,792,367,6531,234,6765
POA3170,249,1853,2891,892,446,6333,171,6504
POA3171,704,2478,1969,760,362,6272,357,6630
POA3172,351,2122,2956,1166,586,7181,226,7408
POA3173,257,1895,3359,1342,669,7524,254,7781
POA3174,1197,5164,4260,1347,567,12528,599,13130
POA3175,1799,6502,5255,1771,989,16302,928,17237
POA3177,398,1401,1142,368,223,3531,240,3771
POA3178,196,2384,4841,1983,1216,10618,232,10849
POA3179,49,503,916,324,165,1958,42,1995
POA3180,58,807,1165,358,189,2577,60,2635
POA3181,1994,4572,1848,305,76,8794,297,9096
POA3182,2626,5711,1882,247,105,10569,393,10965
POA3183,1323,3860,1962,330,94,7572,230,7800
POA3184,770,3684,2018,265,106,6849,206,7054
POA3185,588,2293,1665,298,122,4968,136,5108
POA3186,417,2994,3481,913,441,8241,238,8475
POA3187,337,1841,2445,652,264,5538,153,5690
POA3188,496,2335,2670,614,263,6373,185,6556
POA3189,170,777,867,208,87,2109,92,2200
POA3190,285,1725,1558,297,113,3978,95,4075
POA3191,213,1399,1469,384,156,3614,91,3704
POA3192,564,3280,3271,764,334,8221,319,8536
POA3193,207,2028,3217,925,450,6828,184,7007
POA3194,399,2260,1886,392,199,5129,136,5266
POA3195,638,4134,5453,1458,707,12397,297,12691
POA3196,738,3872,3833,878,342,9665,305,9973
POA3197,257,1453,1804,521,276,4313,165,4481
POA3198,530,2684,2452,560,235,6466,288,6751
POA3199,1608,7846,7635,2063,1018,20163,834,20996
POA3200,252,900,638,148,61,2002,155,2151
POA3201,303,2531,2904,896,420,7060,286,7347
POA3202,32,259,447,125,44,906,20,930
POA3204,812,4303,4105,987,421,10632,288,10919
POA3205,1117,2414,992,116,45,4682,167,4856
POA3206,453,1873,1360,247,80,4016,125,4136
POA3207,837,3485,2079,329,123,6861,217,7074
POA3211,3,74,167,85,70,399,17,412
POA3212,157,1418,2311,830,480,5194,160,5348
POA3213,16,234,481,258,235,1224,45,1268
POA3214,1161,3670,2494,816,279,8420,572,9000
POA3215,634,2943,2885,800,412,7676,308,7984
POA3216,1067,6970,8375,2371,1180,19966,610,20575
POA3217,18,409,1145,286,190,2045,60,2106
POA3218,568,2269,1911,467,193,5410,209,5625
POA3219,767,3351,2593,730,342,7789,338,8134
POA3220,461,2447,2354,592,249,6100,187,6291
POA3221,3,25,97,44,48,221,4,230
POA3222,169,1675,2251,768,444,5303,191,5495
POA3223,122,1220,1179,319,132,2978,136,3116
POA3224,117,1608,2140,696,392,4956,143,5096
POA3225,60,650,632,139,70,1552,55,1605
POA3226,126,1667,2340,629,277,5034,127,5162
POA3227,34,458,806,208,96,1603,51,1653
POA3228,123,1633,2989,813,372,5936,139,6076
POA3230,38,344,403,129,41,947,35,985
POA3231,7,181,198,46,29,457,19,479
POA3232,29,164,125,45,16,377,16,395
POA3233,46,337,251,79,30,749,37,780
POA3234,0,36,33,12,0,76,4,74
POA3235,0,35,50,28,16,132,10,140
POA3236,3,33,37,14,0,87,0,91
POA3237,3,32,29,15,12,88,4,92
POA3238,4,33,34,11,4,86,9,90
POA3239,3,56,56,28,17,159,9,165
POA3240,0,74,270,160,115,622,23,648
POA3241,32,248,344,161,111,893,51,945
POA3242,0,97,139,39,36,315,9,322
POA3243,0,33,62,17,25,138,3,136
POA3249,15,207,463,253,175,1116,39,1152
POA3250,340,1718,1650,516,252,4475,223,4697
POA3251,0,49,56,34,33,171,19,195
POA3254,3,29,39,25,13,108,3,108
POA3260,122,558,666,251,187,1782,87,1867
POA3264,49,289,280,106,67,795,49,845
POA3265,6,175,347,179,147,857,34,889
POA3266,34,299,408,198,143,1083,56,1143
POA3267,0,9,43,18,11,75,0,81
POA3268,17,254,362,143,131,906,38,942
POA3269,0,66,86,34,30,218,17,231
POA3270,3,41,32,14,4,98,4,103
POA3271,0,15,20,10,14,65,5,73
POA3272,33,214,226,71,57,599,19,622
POA3273,3,8,18,13,10,46,0,44
POA3274,0,13,37,14,19,79,3,86
POA3275,4,25,61,35,21,138,7,144
POA3276,4,22,78,28,37,164,8,169
POA3277,11,134,247,104,112,613,18,631
POA3278,3,20,34,22,20,101,7,105
POA3279,0,18,21,28,16,78,3,84
POA3280,746,4398,4551,1208,570,11477,507,11988
POA3281,3,69,229,126,74,508,17,523
POA3282,13,219,376,124,74,810,38,839
POA3283,3,80,195,86,69,438,17,461
POA3284,86,448,504,138,67,1241,61,1307
POA3285,7,108,164,84,71,434,6,445
POA3286,6,58,84,40,36,224,10,231
POA3287,0,26,48,38,39,149,0,148
POA3289,5,79,110,45,35,279,18,299
POA3292,3,20,31,15,4,80,5,77
POA3293,5,35,41,20,12,118,0,118
POA3294,18,81,124,73,49,342,15,353
POA3300,271,1494,1370,508,256,3902,172,4074
POA3301,3,69,165,81,101,418,12,431
POA3302,0,27,58,24,22,128,7,136
POA3303,0,20,41,19,27,114,7,118
POA3304,36,319,368,187,123,1031,55,1084
POA3305,254,1649,1785,672,346,4711,235,4943
POA3309,0,12,13,9,5,44,3,49
POA3310,4,39,34,21,12,109,7,123
POA3311,43,266,228,102,63,692,41,738
POA3312,11,77,127,77,81,364,25,393
POA3314,4,32,68,45,34,185,4,192
POA3315,32,199,197,96,101,629,39,670
POA3317,0,28,30,14,9,85,0,83
POA3318,26,153,168,82,64,496,26,518
POA3319,5,44,60,30,22,156,8,162
POA3321,5,85,209,123,85,495,16,515
POA3322,3,24,25,8,12,76,3,76
POA3323,0,12,11,5,9,39,0,35
POA3324,10,56,76,35,25,204,13,217
POA3325,4,62,62,28,21,186,13,193
POA3328,3,90,265,108,84,548,18,566
POA3329,3,14,36,25,18,98,3,101
POA3330,0,24,26,13,14,79,3,78
POA3331,14,325,900,354,235,1826,56,1879
POA3332,0,54,121,67,62,305,15,317
POA3333,10,60,112,50,52,280,14,294
POA3334,0,34,81,43,35,195,12,203
POA3335,38,475,885,235,143,1772,63,1830
POA3337,490,3767,4788,1623,931,11606,471,12078
POA3338,404,2499,3129,918,451,7410,343,7750
POA3340,294,2090,2820,1142,743,7086,269,7350
POA3341,6,77,205,131,112,520,26,549
POA3342,35,390,449,193,148,1220,57,1274
POA3345,3,75,170,82,52,382,19,398
POA3350,1473,8347,8432,2360,1093,21712,766,22479
POA3351,38,515,1088,603,460,2704,96,2808
POA3352,59,961,2205,1029,816,5078,184,5263
POA3355,529,2194,1616,450,179,4969,250,5218
POA3356,487,2424,2187,684,314,6096,321,6413
POA3357,44,296,581,187,107,1207,44,1252
POA3360,14,72,139,50,31,303,17,323
POA3361,7,87,80,37,35,254,8,257
POA3363,63,386,446,194,123,1211,80,1298
POA3364,3,163,312,139,120,740,34,774
POA3370,26,242,244,105,61,682,49,732
POA3371,22,110,138,70,52,392,24,418
POA3373,38,261,347,125,109,870,48,915
POA3374,9,40,60,26,22,156,3,164
POA3375,0,12,26,17,16,69,0,72
POA3377,269,1204,1171,443,220,3307,168,3472
POA3378,0,3,16,10,15,46,0,45
POA3379,10,82,95,35,43,262,27,286
POA3380,182,912,824,297,115,2323,134,2457
POA3381,11,116,173,73,41,415,32,446
POA3384,3,51,86,34,38,215,10,223
POA3385,3,35,83,44,37,198,11,206
POA3387,3,22,49,24,24,121,3,129
POA3388,11,61,78,32,28,204,8,215
POA3390,17,125,131,58,32,356,24,375
POA3391,0,12,25,9,7,56,3,59
POA3392,8,93,74,29,23,227,17,240
POA3393,72,369,379,133,80,1025,43,1067
POA3395,5,34,47,16,25,136,17,153
POA3396,18,90,105,52,28,285,8,300
POA3400,450,2249,2120,620,252,5690,240,5932
POA3401,13,213,570,342,312,1455,43,1499
POA3407,3,36,61,36,32,158,6,166
POA3409,15,90,133,70,58,365,10,374
POA3412,8,35,51,16,17,122,6,130
POA3413,0,14,28,16,24,76,0,78
POA3414,39,254,247,92,70,706,37,740
POA3415,0,3,6,0,5,18,0,18
POA3418,53,317,357,184,143,1049,46,1098
POA3419,14,106,124,48,31,318,12,331
POA3420,0,19,29,17,20,92,5,93
POA3423,14,57,67,21,23,185,13,200
POA3424,13,97,101,50,36,304,17,321
POA3427,22,284,402,149,114,968,37,1003
POA3428,0,27,68,49,40,189,5,190
POA3429,475,3655,5094,1863,1143,12234,320,12552
POA3430,0,19,36,32,15,96,4,99
POA3431,20,239,574,265,190,1293,25,1319
POA3432,0,9,25,12,18,58,4,63
POA3433,0,8,27,19,13,66,0,64
POA3434,26,335,693,330,240,1635,52,1686
POA3435,17,255,412,170,127,980,36,1014
POA3437,63,743,1537,584,408,3339,91,3429
POA3438,11,170,324,136,103,750,14,763
POA3440,13,142,314,112,72,654,19,679
POA3441,3,89,242,80,43,462,14,472
POA3442,79,667,1107,425,224,2496,64,2561
POA3444,154,1033,1242,484,305,3221,150,3371
POA3446,3,110,153,63,34,371,10,385
POA3447,0,51,76,33,14,173,5,177
POA3448,9,76,144,61,51,334,10,350
POA3450,274,1306,861,236,110,2790,132,2930
POA3451,46,582,743,262,179,1813,75,1890
POA3453,5,133,247,125,87,591,15,607
POA3458,19,232,283,105,77,720,36,757
POA3460,83,487,353,92,38,1051,72,1121
POA3461,38,460,671,253,146,1563,71,1642
POA3462,11,143,168,84,44,448,25,475
POA3463,28,364,397,149,102,1043,41,1088
POA3464,17,99,168,75,42,400,13,421
POA3465,314,1535,1333,429,256,3877,221,4094
POA3467,27,177,171,54,38,463,32,496
POA3468,3,31,41,20,14,108,5,114
POA3469,0,44,43,13,14,118,3,116
POA3472,20,231,214,85,65,612,38,654
POA3475,5,37,55,18,26,140,8,155
POA3477,3,68,125,68,64,325,12,335
POA3478,99,376,389,128,61,1059,51,1111
POA3480,40,228,235,86,65,652,41,697
POA3482,0,15,21,7,7,62,3,64
POA3483,16,98,121,52,32,330,9,341
POA3485,3,46,42,22,19,130,3,130
POA3487,0,9,6,4,4,27,3,32
POA3488,3,7,12,5,12,45,0,47
POA3489,0,3,3,3,9,24,0,24
POA3490,47,155,179,75,48,502,12,516
POA3491,3,20,15,7,11,50,0,55
POA3494,12,55,88,27,37,221,18,234
POA3496,120,605,761,345,255,2080,128,2204
POA3498,46,437,706,328,247,1767,73,1841
POA3500,983,4607,4340,1248,522,11700,640,12346
POA3501,10,119,256,129,101,608,30,637
POA3505,75,430,629,269,198,1602,84,1681
POA3506,0,3,3,0,6,15,0,16
POA3507,3,19,15,15,10,61,5,63
POA3509,4,21,40,13,13,95,4,97
POA3512,0,36,53,24,33,149,3,153
POA3515,3,94,288,143,82,621,17,633
POA3516,6,70,80,53,43,253,6,260
POA3517,25,165,193,73,66,525,26,553
POA3518,31,167,164,75,63,498,40,538
POA3520,4,29,24,10,10,75,9,77
POA3521,3,33,80,48,49,219,3,223
POA3522,0,20,39,28,20,104,4,111
POA3523,68,461,566,203,114,1411,115,1525
POA3525,35,179,191,74,56,530,22,556
POA3527,23,106,93,48,36,307,15,322
POA3529,0,6,9,9,7,35,0,34
POA3530,0,17,15,11,10,50,4,53
POA3531,0,15,24,10,14,66,4,72
POA3533,15,102,93,35,28,285,16,299
POA3537,30,101,158,63,37,389,14,408
POA3540,11,37,43,12,17,117,5,122
POA3542,0,10,27,12,12,59,3,59
POA3544,6,30,22,14,22,88,3,94
POA3546,9,43,58,22,19,147,5,149
POA3549,83,297,379,144,99,1000,105,1109
POA3550,1258,6419,5435,1584,692,15381,661,16042
POA3551,94,1850,4491,1776,1139,9348,274,9618
POA3555,501,2868,2839,859,371,7432,323,7758
POA3556,343,1694,1737,634,326,4732,251,4982
POA3557,4,55,110,65,41,268,4,274
POA3558,23,128,117,53,42,365,29,395
POA3559,3,45,75,49,35,200,7,208
POA3561,79,485,622,255,174,1621,61,1684
POA3562,3,20,29,20,14,90,0,92
POA3563,8,78,110,48,43,279,17,301
POA3564,334,1816,2263,778,394,5584,280,5866
POA3565,4,9,6,14,3,34,0,34
POA3566,11,50,75,36,26,190,16,206
POA3567,9,67,90,47,27,242,11,256
POA3568,54,374,437,169,99,1138,53,1193
POA3570,3,50,109,55,43,266,7,275
POA3571,0,18,30,18,29,95,12,104
POA3572,0,7,16,13,8,43,3,51
POA3573,0,25,29,30,24,106,4,115
POA3575,17,89,109,46,39,293,23,314
POA3576,0,6,10,8,7,28,0,27
POA3579,117,664,747,270,216,2009,103,2117
POA3580,14,125,150,82,25,391,32,422
POA3581,6,13,21,10,9,59,5,63
POA3583,0,10,23,4,19,53,9,65
POA3584,11,84,164,66,26,359,19,378
POA3585,304,1435,1476,431,233,3884,231,4114
POA3586,0,38,85,64,46,228,10,238
POA3588,0,31,55,23,18,122,3,132
POA3589,0,28,30,21,16,99,5,107
POA3590,0,25,42,23,22,107,0,106
POA3591,0,9,21,10,14,52,4,60
POA3594,7,52,62,36,16,175,13,194
POA3595,15,71,83,29,15,209,14,219
POA3596,0,11,7,3,4,28,0,29
POA3597,4,29,54,34,31,145,11,161
POA3599,0,16,18,9,6,42,3,47
POA3607,0,16,17,11,4,44,0,43
POA3608,41,340,371,116,63,937,57,996
POA3610,24,141,188,87,71,512,19,533
POA3612,29,223,271,97,63,681,44,722
POA3614,0,44,121,72,47,286,11,295
POA3616,82,589,727,279,157,1839,108,1951
POA3617,0,10,20,7,12,57,0,57
POA3618,8,63,91,43,32,245,10,256
POA3620,164,964,1148,402,259,2938,134,3075
POA3621,24,222,335,136,86,803,43,848
POA3622,3,27,56,45,26,159,5,165
POA3623,9,92,136,57,33,336,16,352
POA3624,3,70,78,31,32,212,7,221
POA3629,242,1277,1177,411,210,3317,170,3491
POA3630,840,4245,3969,1168,506,10722,511,11237
POA3631,61,735,1635,711,489,3630,118,3754
POA3633,8,32,80,50,27,190,0,194
POA3634,0,113,241,139,105,600,19,623
POA3635,0,52,60,37,46,199,10,206
POA3636,104,661,699,293,189,1946,110,2055
POA3637,0,36,75,49,42,200,7,208
POA3638,47,253,261,111,73,748,49,794
POA3639,6,60,76,42,25,212,11,227
POA3640,6,57,125,84,51,326,12,336
POA3641,13,120,168,71,50,421,24,445
POA3644,194,1171,1169,434,234,3203,216,3419
POA3646,4,31,82,42,32,200,9,207
POA3647,0,0,0,0,0,0,0,0
POA3649,0,45,55,30,26,151,11,166
POA3658,66,638,820,368,268,2160,94,2254
POA3659,5,60,94,52,40,258,12,268
POA3660,239,998,896,337,215,2690,177,2862
POA3662,0,65,141,23,5,233,4,239
POA3663,0,8,30,8,7,55,0,57
POA3664,11,115,170,66,36,394,18,406
POA3665,0,25,51,25,15,120,5,131
POA3666,88,678,681,258,165,1867,89,1959
POA3669,18,165,176,92,60,510,28,539
POA3670,0,33,90,47,40,210,3,215
POA3672,320,1672,1464,438,220,4120,202,4325
POA3673,4,112,255,133,95,592,19,611
POA3675,0,125,269,146,100,637,24,660
POA3677,533,2861,2551,672,291,6912,379,7287
POA3678,17,385,986,426,350,2169,82,2253
POA3682,0,37,74,36,52,202,6,207
POA3683,26,175,261,119,73,655,24,675
POA3685,42,340,408,159,104,1047,34,1085
POA3687,13,135,163,62,30,395,25,421
POA3688,4,77,186,92,64,422,11,434
POA3690,749,4457,4962,1409,598,12173,435,12613
POA3691,33,593,1383,572,403,2981,88,3074
POA3694,0,0,0,0,0,0,0,0
POA3695,0,21,58,41,34,152,6,160
POA3697,9,62,85,41,23,214,10,224
POA3698,6,124,158,35,12,340,13,347
POA3699,48,220,108,28,9,412,18,431
POA3700,13,171,175,72,48,481,33,517
POA3701,9,93,157,82,58,398,21,419
POA3704,0,3,3,0,0,12,0,8
POA3705,0,17,41,17,12,88,7,94
POA3707,35,250,243,92,54,675,35,709
POA3708,0,3,9,6,5,23,0,28
POA3709,12,31,47,24,18,122,8,136
POA3711,0,40,84,29,24,177,9,184
POA3712,4,52,43,29,6,139,21,162
POA3713,22,150,134,34,23,364,49,410
POA3714,82,408,505,207,120,1315,91,1406
POA3715,3,26,41,25,19,112,3,115
POA3717,31,323,396,165,112,1022,48,1074
POA3718,0,8,9,7,6,28,0,33
POA3719,3,31,56,22,27,145,3,148
POA3720,6,47,97,37,21,209,5,215
POA3722,85,594,702,252,158,1790,107,1900
POA3723,15,312,382,166,98,974,54,1028
POA3725,4,35,80,49,39,207,11,219
POA3726,4,41,50,37,20,153,3,157
POA3727,0,20,38,26,23,108,3,109
POA3728,9,63,74,37,36,221,14,239
POA3730,179,1138,1208,368,190,3077,172,3250
POA3732,6,66,93,37,27,225,13,239
POA3733,6,22,38,17,3,86,3,92
POA3735,5,45,93,48,37,219,6,229
POA3737,79,569,597,236,150,1632,95,1724
POA3738,0,20,38,10,7,84,0,88
POA3739,0,21,30,13,11,77,8,86
POA3740,0,109,167,54,39,369,18,393
POA3741,57,439,392,130,76,1097,63,1156
POA3744,5,52,71,16,17,164,10,171
POA3746,3,35,54,32,20,145,0,146
POA3747,68,532,652,251,118,1620,70,1694
POA3749,13,160,291,129,74,665,28,687
POA3750,39,743,1375,313,132,2608,70,2677
POA3751,3,11,38,11,17,86,6,90
POA3752,162,1883,3438,1124,602,7214,170,7381
POA3753,7,111,348,113,87,668,14,683
POA3754,158,3155,6189,1544,688,11732,213,11945
POA3755,0,16,31,24,19,91,0,97
POA3756,63,849,1635,647,403,3603,125,3728
POA3757,82,690,1150,500,412,2837,126,2963
POA3758,3,109,264,140,142,660,27,686
POA3759,4,56,130,89,62,335,9,349
POA3760,0,12,47,38,23,117,5,121
POA3761,3,67,156,88,68,380,12,392
POA3762,0,3,17,10,8,44,0,45
POA3763,8,142,237,81,65,530,24,551
POA3764,92,950,1158,462,346,3003,124,3127
POA3765,57,493,906,426,277,2155,45,2202
POA3766,10,130,219,64,34,455,6,460
POA3767,12,136,197,57,39,442,18,456
POA3770,16,162,422,228,170,1003,38,1038
POA3775,29,254,554,233,215,1292,33,1323
POA3777,128,1195,1456,593,381,3762,175,3932
POA3778,0,15,21,7,19,69,6,70
POA3779,0,73,56,20,11,157,7,170
POA3781,23,345,614,272,175,1429,49,1476
POA3782,29,531,1093,485,389,2529,64,2591
POA3783,18,112,330,140,115,717,25,741
POA3785,0,13,8,3,0,26,0,26
POA3786,3,115,239,78,51,497,20,516
POA3787,0,77,177,68,31,351,3,351
POA3788,16,179,301,82,55,637,15,653
POA3789,0,21,50,20,9,99,8,105
POA3791,9,129,240,81,51,512,6,519
POA3792,5,75,166,54,33,338,5,345
POA3793,33,337,522,200,128,1219,34,1255
POA3795,6,61,130,80,86,362,13,370
POA3796,64,738,1325,559,423,3106,79,3186
POA3797,52,370,460,202,130,1211,65,1278
POA3799,103,839,780,292,153,2161,99,2255
POA3800,0,11,7,0,3,19,0,19
POA3802,218,1968,3303,1293,723,7501,220,7727
POA3803,154,1031,1332,446,262,3228,134,3367
POA3804,16,191,822,538,573,2145,59,2203
POA3805,418,4079,7548,2810,1642,16493,493,16986
POA3806,498,4229,7165,2280,1224,15394,338,15734
POA3807,58,474,939,399,300,2170,56,2223
POA3808,3,103,363,219,188,870,16,887
POA3809,25,653,1199,301,161,2342,56,2393
POA3810,584,5287,6705,1977,960,15518,466,15979
POA3812,13,118,264,144,176,722,34,754
POA3813,4,52,100,50,65,276,12,291
POA3814,17,170,273,138,125,712,18,735
POA3815,33,223,359,192,144,950,34,984
POA3816,27,225,377,167,121,917,28,942
POA3818,172,1632,2012,705,403,4923,184,5108
POA3820,332,2002,2241,693,448,5717,243,5961
POA3821,9,143,380,250,165,942,34,974
POA3822,3,55,112,70,60,303,14,315
POA3823,16,192,284,114,71,679,25,705
POA3824,46,537,742,273,155,1751,60,1812
POA3825,731,2937,2587,958,537,7755,425,8174
POA3831,0,162,231,110,73,580,21,600
POA3832,0,31,27,17,13,86,3,88
POA3833,0,47,35,18,16,112,11,123
POA3835,7,33,71,30,27,166,6,172
POA3840,660,2457,1979,681,391,6163,351,6516
POA3842,89,642,639,195,100,1667,80,1751
POA3844,578,3611,4236,1304,661,10387,417,10802
POA3847,18,199,334,140,90,786,42,824
POA3850,442,2129,2087,552,225,5435,223,5660
