POA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA3563,..,67,67,119,3,120,46,0,48,34,0,34,16,0,16,13,0,13,228,71,301
POA3564,..,1623,1623,2048,143,2186,742,17,760,773,8,782,361,0,365,141,0,138,4068,1791,5866
POA3565,..,9,9,13,0,15,3,0,3,6,0,6,3,0,3,3,0,3,27,12,34
POA3566,..,61,61,80,3,84,22,0,22,25,0,25,11,0,11,3,0,3,145,65,206
POA3567,..,69,69,99,11,112,28,0,28,31,0,31,16,0,16,10,0,10,180,74,256
POA3568,..,382,382,458,22,486,127,0,127,114,0,114,67,0,67,15,0,15,785,402,1193
POA3570,..,50,50,108,5,108,46,0,46,36,0,36,19,0,19,10,0,10,221,52,275
POA3571,..,26,26,45,0,46,12,0,12,17,0,17,8,0,8,4,0,4,84,28,104
POA3572,..,11,11,15,0,15,6,0,6,8,0,8,3,0,3,0,0,0,41,11,51
POA3573,..,35,35,38,3,46,10,0,10,7,0,7,13,0,13,3,0,3,74,34,115
POA3575,..,97,97,109,8,121,30,0,30,28,0,30,14,0,14,10,0,10,207,111,314
POA3576,..,6,6,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,22,6,27
POA3579,..,713,713,753,44,799,220,3,223,188,0,188,130,0,130,68,0,68,1360,756,2117
POA3580,..,135,135,171,5,175,46,0,46,41,0,41,12,0,12,7,0,7,278,145,422
POA3581,..,17,17,21,0,23,11,0,11,11,0,11,3,0,3,4,0,4,48,19,63
POA3583,..,13,13,17,3,21,10,0,10,16,0,16,9,0,9,3,0,3,46,14,65
POA3584,..,91,91,143,4,147,56,0,56,38,0,40,38,0,39,12,0,12,282,97,378
POA3585,..,1282,1282,1309,121,1429,557,30,592,455,7,467,244,3,247,100,3,104,2671,1439,4114
POA3586,..,39,39,75,4,82,39,0,40,40,0,40,27,0,27,10,0,10,189,46,238
POA3588,..,23,23,59,0,59,14,0,14,18,0,18,8,0,8,3,0,3,102,25,132
POA3589,..,21,21,34,3,33,14,0,14,16,0,16,14,0,14,4,0,4,84,23,107
POA3590,..,17,17,40,0,40,23,0,23,19,0,19,13,0,13,4,0,4,95,17,106
POA3591,..,15,15,24,0,24,9,0,9,5,0,5,5,0,5,0,0,0,43,15,60
POA3594,..,57,57,68,7,75,21,0,22,20,0,20,6,0,6,9,0,9,125,63,194
POA3595,..,79,79,75,3,72,33,0,34,13,0,13,13,0,13,6,0,6,142,79,219
POA3596,..,13,13,10,0,10,3,0,3,6,0,6,3,0,3,0,0,0,16,12,29
POA3597,..,49,49,54,7,59,17,3,18,19,0,19,6,0,6,3,0,3,105,57,161
POA3599,..,12,12,20,0,22,3,0,3,5,0,5,5,0,5,0,0,0,34,18,47
POA3607,..,13,13,18,0,18,10,0,10,4,0,4,3,0,3,0,0,0,35,13,43
POA3608,..,326,326,382,23,408,118,0,118,99,0,99,43,0,43,12,0,12,643,347,996
POA3610,..,156,156,191,13,201,65,0,65,62,0,62,36,0,36,11,0,11,363,168,533
POA3612,..,273,273,269,22,286,66,0,66,59,0,63,29,0,29,8,0,8,438,288,722
POA3614,..,50,50,115,4,117,33,0,31,69,0,69,23,0,23,9,0,9,239,56,295
