POA_CODE_2016,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
POA3013,3,0,0,0,0,3,8,0,0,9,0,3,0,17,16,0,89,25,66,3,209,8,4,18,6,21,0,56,14,3,56,30,215,6,322,11,5,42,14,26,0,97,6,0,51,33,34,9,130,7,3,47,35,55,7,157,9,3,46,29,59,7,149,20,10,62,20,22,5,139,28,19,114,33,12,7,207,4,4,23,13,9,0,48,70,36,282,55,33,11,488,12,3,40,13,23,0,99,33,28,101,33,39,3,239,74,43,99,18,15,3,253,34,8,82,16,16,4,166,10,3,37,16,24,0,87,4,3,27,3,39,0,73,8,4,39,5,33,5,99,363,174,1276,400,750,77,3048,0,0,0,0,0,0,3,0,0,3,0,0,0,8,10,10,63,19,17,3,118,8,0,18,0,4,0,31,3,3,19,13,11,3,48,9,3,30,11,5,3,63,14,11,108,44,31,10,215,7,3,56,33
POA3015,3,0,9,0,3,0,17,0,0,6,3,3,0,18,33,3,112,36,121,7,305,15,6,30,6,13,0,74,6,6,79,61,342,13,502,14,3,55,35,26,8,138,15,9,68,26,43,8,168,10,0,27,29,42,3,111,26,4,77,45,86,8,248,10,5,61,20,20,5,125,27,22,97,29,9,3,193,5,0,31,14,16,3,68,84,21,282,58,43,8,492,6,5,40,12,27,3,94,61,23,87,42,53,4,270,72,42,94,14,24,8,248,50,18,67,19,18,5,176,9,9,39,10,32,3,94,8,4,22,10,53,4,99,12,0,42,16,59,15,143,448,181,1328,491,1040,97,3591,0,0,6,0,0,0,6,0,0,9,0,0,0,13,15,3,61,18,20,3,121,7,3,14,6,3,0,40,7,3,28,19,16,0,78,10,3,35,12,10,3,69,11,4,101,50,55,8,227,3,3,25,23
POA3016,3,0,3,3,3,0,11,6,0,6,3,3,0,21,29,8,101,36,67,12,251,11,3,19,11,12,0,51,15,3,67,45,218,3,354,17,0,35,24,24,0,103,11,3,61,11,33,13,132,5,3,24,18,26,0,75,19,5,47,31,52,10,163,21,6,51,16,16,0,105,29,15,90,27,12,4,173,3,3,18,11,19,0,56,98,29,252,52,22,7,460,9,3,20,12,20,3,60,50,19,68,38,32,3,218,58,24,96,23,12,0,216,42,12,91,17,16,3,176,8,0,34,9,9,4,69,8,5,19,13,40,3,94,16,4,34,16,42,10,125,457,137,1136,415,673,83,2906,0,0,0,0,0,0,4,0,0,0,4,0,0,3,5,5,45,20,11,0,87,6,0,8,0,5,0,25,5,0,13,17,14,0,48,8,0,28,13,5,4,62,17,5,71,39,24,6,157,3,3,32,19
POA3018,3,0,0,3,0,0,10,0,0,3,0,0,0,12,26,3,67,32,128,6,259,4,0,13,5,17,0,37,3,0,38,34,267,8,346,7,3,29,13,38,3,88,11,0,31,22,42,4,113,6,0,21,21,26,3,70,15,3,42,40,74,9,173,11,7,22,9,11,3,56,12,6,49,28,19,4,123,3,0,13,17,17,3,49,36,11,130,27,29,5,238,9,4,14,13,21,0,62,19,8,59,42,30,10,169,41,26,53,10,20,0,147,13,5,28,12,22,0,90,3,0,16,4,11,3,40,4,0,16,12,52,0,87,3,0,26,11,58,14,113,230,78,673,352,866,75,2279,0,0,3,0,0,0,11,0,0,0,0,3,0,4,7,0,43,13,20,8,93,7,3,3,3,3,0,13,0,0,17,12,12,0,49,10,3,24,9,11,0,58,5,4,51,29,36,6,135,0,3,26,24
POA3019,0,0,3,0,6,0,4,0,0,0,0,3,0,3,3,0,33,31,41,6,117,3,0,3,3,0,0,9,7,0,18,14,48,9,96,3,0,19,4,5,3,28,26,0,49,14,16,7,114,8,0,63,32,27,9,142,9,0,38,22,40,8,117,4,0,12,3,6,0,25,8,0,30,8,3,0,55,3,0,6,0,0,0,15,18,8,48,20,10,6,104,10,0,31,10,17,3,70,3,0,18,11,11,0,43,15,6,22,10,0,6,56,10,0,39,8,16,3,70,0,0,3,3,3,0,11,3,0,14,10,16,4,51,8,0,17,11,17,20,73,137,23,447,219,299,83,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,22,10,16,5,51,0,0,3,0,0,0,10,0,0,8,3,0,0,8,5,0,5,3,6,0,19,13,3,33,13,23,6,94,5,0,26,20
POA3020,3,0,10,3,7,3,28,0,0,3,0,6,3,13,25,8,156,110,285,40,623,6,0,27,14,24,4,70,14,3,72,73,403,36,601,15,0,47,35,67,14,172,49,8,138,85,124,26,431,34,4,117,105,133,20,419,41,7,110,125,229,40,564,19,4,57,28,21,3,128,17,10,117,35,30,5,206,3,5,19,16,26,4,69,68,10,206,62,25,4,376,24,4,74,58,58,17,230,37,6,101,57,66,4,274,78,25,108,22,29,4,269,45,12,135,56,73,10,332,8,3,37,24,32,6,115,18,4,43,43,157,21,282,16,0,97,72,140,83,411,529,117,1676,1015,1936,349,5623,0,0,7,3,7,4,23,0,0,0,0,0,0,0,16,0,75,41,57,21,216,0,0,14,0,8,0,26,0,0,28,14,7,3,54,15,0,37,19,21,8,108,30,3,159,96,96,17,405,15,3,70,85
POA3021,3,0,16,8,11,4,38,0,0,0,0,3,0,4,27,7,148,115,379,43,724,3,0,13,12,24,5,54,10,8,97,73,467,57,703,15,4,50,34,97,12,216,25,3,115,99,156,34,424,23,4,100,132,108,14,379,53,0,175,190,281,63,760,14,3,42,27,25,4,116,6,4,91,32,30,11,171,5,3,16,16,28,3,71,54,5,165,53,39,4,326,17,3,58,48,106,18,253,20,8,67,53,97,14,245,42,30,81,25,36,9,215,29,6,121,56,77,20,304,6,0,32,20,28,9,98,8,9,42,57,203,20,339,23,0,92,107,176,104,493,385,89,1520,1153,2361,436,5950,3,0,3,3,3,0,15,0,0,0,0,0,0,0,16,10,68,51,60,20,231,3,0,8,11,8,0,29,3,0,22,20,20,4,64,0,0,36,21,26,0,85,20,7,157,102,134,38,458,18,3,89,103
POA3022,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,12,3,28,3,53,0,0,0,0,0,0,5,0,0,3,7,44,3,58,0,0,6,0,6,0,11,3,0,0,16,13,0,31,3,0,3,9,8,0,23,0,0,8,9,24,5,45,0,0,3,3,0,0,9,0,0,9,0,0,0,10,0,0,0,0,3,0,5,8,0,6,10,4,0,32,0,0,4,6,4,0,15,6,3,4,3,3,0,21,0,3,9,0,3,0,19,3,0,7,3,4,4,26,0,0,3,6,4,0,10,0,0,6,4,25,0,36,0,0,3,4,10,3,23,38,17,95,76,197,23,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,13,0,0,0,3,0,0,3,0,0,0,0,3,0,9,0,0,3,3,3,0,13,0,0,13,5,6,0,29,0,0,0,3
POA3023,4,0,9,10,3,4,28,3,0,3,3,12,0,18,54,6,277,206,568,49,1173,19,4,39,28,37,11,129,22,5,128,147,924,38,1264,28,5,114,50,130,15,345,49,11,195,125,229,33,639,12,0,86,92,138,16,345,69,11,249,230,470,58,1087,37,3,92,42,44,9,234,77,27,196,76,48,5,423,12,0,35,28,52,4,130,125,22,390,92,64,19,720,24,3,68,60,102,21,283,59,16,154,112,136,19,494,86,48,182,52,30,11,410,79,28,258,82,112,15,571,6,0,43,26,43,10,128,19,5,52,42,235,11,362,33,9,89,78,187,92,483,810,208,2659,1588,3564,438,9275,0,0,8,9,4,3,25,0,0,3,0,0,0,8,29,4,157,77,100,19,380,3,0,24,14,11,0,54,5,3,44,30,52,4,141,16,0,62,44,44,4,169,40,11,265,181,216,31,740,11,3,96,94
POA3024,0,0,3,8,12,3,24,0,0,0,4,15,0,17,19,4,57,72,230,9,404,19,3,8,15,40,3,82,7,3,29,38,397,21,503,16,3,29,20,71,6,149,21,4,54,59,120,11,277,9,0,31,36,60,3,142,40,0,68,88,231,26,449,40,0,33,20,22,0,112,65,7,63,25,31,0,184,9,0,7,9,25,3,55,73,3,114,37,41,5,275,10,3,26,14,63,13,127,36,5,37,60,111,16,261,41,11,49,16,22,0,136,16,13,54,25,55,6,172,11,0,16,17,21,0,58,6,3,18,12,113,5,156,7,3,25,31,77,32,163,455,71,715,594,1756,158,3747,0,0,4,0,0,0,8,0,0,0,0,0,0,0,4,0,17,20,31,5,86,11,0,17,3,11,3,44,3,0,12,18,27,3,63,12,0,6,16,23,5,66,22,4,61,75,145,13,317,9,0,23,42
POA3025,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,55,24,73,7,165,3,3,9,3,9,0,28,6,3,34,30,187,11,271,3,0,16,11,20,0,53,9,0,27,21,53,4,121,4,0,15,15,30,6,72,10,0,24,19,77,14,144,3,0,16,4,6,0,37,8,3,37,14,7,0,72,0,0,10,3,8,0,25,26,4,78,18,23,4,151,3,0,19,11,12,0,48,4,3,27,18,23,3,83,24,12,40,5,11,3,98,16,6,25,4,16,3,75,0,4,5,3,6,0,28,0,0,12,13,49,9,85,4,0,22,14,47,12,107,131,43,487,236,670,84,1651,0,0,0,0,0,0,0,0,0,5,0,0,0,5,7,0,15,11,4,3,46,0,0,8,7,4,0,11,0,0,5,6,10,0,23,3,0,18,7,4,0,28,3,0,45,25,39,8,122,3,0,13,15
