POA_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
POA3013,3,53,994,2212,621,93,15,64,4050,0,57,204,75,4,0,0,6,346,0,10,215,309,56,7,0,10,611,0,68,420,380,60,7,0,22,953,0,80,220,17,0,0,0,0,325,0,70,82,3,0,0,0,0,158,0,16,23,5,0,0,0,3,49,0,0,0,0,0,0,0,0,0,0,157,328,29,0,0,0,6,527,0,12,17,19,9,0,0,0,55,0,0,0,0,0,0,0,0,7,5,291,1763,2639,692,101,18,89,5591
POA3015,3,28,807,2205,755,142,27,67,4042,0,71,365,226,19,0,0,14,701,0,11,217,747,195,13,3,14,1197,0,83,580,974,218,13,3,28,1897,3,122,210,68,3,0,3,16,425,0,0,5,0,0,0,0,0,5,0,0,17,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,3,126,235,71,5,0,3,16,456,0,4,15,14,3,3,0,0,38,3,4,3,12,5,0,0,0,35,6,248,1645,3268,989,155,34,115,6462
POA3016,0,40,495,1535,851,167,18,44,3152,3,70,270,205,35,3,0,13,603,3,11,206,589,210,25,3,12,1059,7,79,475,789,250,26,8,28,1665,0,133,330,56,3,6,0,30,558,0,38,45,8,0,0,0,0,85,6,59,43,22,0,0,0,13,144,0,0,0,0,0,0,0,0,0,5,230,417,82,3,6,0,45,789,8,19,15,7,0,0,0,6,57,0,4,7,9,3,0,0,3,23,19,372,1414,2418,1109,199,21,129,5687
POA3018,4,20,356,1904,643,101,12,65,3103,4,37,605,211,38,4,0,30,929,3,16,135,379,111,16,0,12,673,9,55,743,592,143,18,3,40,1602,3,64,127,8,0,0,0,5,210,0,46,10,0,0,0,0,8,64,0,21,95,11,0,0,0,0,128,0,0,0,0,0,0,0,0,0,7,131,230,22,0,0,0,17,403,0,3,4,6,0,0,0,0,11,0,0,0,5,0,0,0,0,13,20,207,1337,2522,787,124,18,125,5129
POA3019,7,14,336,744,271,64,9,61,1502,0,183,253,224,27,9,3,32,724,0,6,99,289,155,40,7,19,616,5,194,350,514,180,47,7,46,1344,0,0,26,0,0,0,0,0,35,0,0,5,3,0,0,0,0,12,0,25,31,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,28,70,6,0,0,0,0,99,0,8,8,9,0,0,0,0,24,0,0,8,8,0,0,0,0,12,14,239,770,1277,455,111,17,109,2991
POA3020,35,133,1175,7123,1951,374,82,413,11291,8,69,481,510,90,11,0,58,1217,0,24,200,477,204,36,3,24,965,8,92,676,992,296,46,3,81,2185,8,357,444,135,3,0,0,50,997,0,32,26,0,0,0,0,3,63,3,24,60,7,0,0,0,3,94,0,7,5,0,0,0,0,0,14,4,424,531,138,7,0,0,54,1170,0,3,10,4,4,0,0,3,20,0,0,15,18,0,0,0,4,45,49,652,2404,8278,2258,419,88,557,14707
POA3021,48,97,725,9778,2590,388,91,500,14212,11,91,553,531,29,4,0,62,1279,3,3,190,277,38,8,0,39,559,12,97,744,816,67,10,3,101,1846,10,72,653,355,28,5,0,35,1162,0,5,22,3,0,0,0,0,33,0,3,0,3,0,0,0,0,9,0,7,4,0,0,0,0,0,11,10,89,682,364,28,5,0,43,1213,0,0,5,18,11,0,0,3,42,0,3,14,14,8,0,0,4,44,73,277,2165,10994,2699,404,100,646,17351
POA3022,4,9,136,554,99,24,5,28,863,0,4,59,54,0,0,0,3,121,0,0,21,38,3,0,0,3,69,0,3,81,93,5,0,0,9,191,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,0,6,0,0,0,0,0,0,0,23,23,0,0,3,0,0,0,0,0,3,4,19,220,654,108,20,5,53,1077
POA3023,34,41,621,7914,6330,919,109,382,16354,3,13,328,403,100,5,4,26,881,3,3,121,729,179,19,8,31,1096,8,16,446,1134,280,28,10,53,1975,0,30,21,21,3,0,0,3,75,0,0,27,11,0,0,0,0,39,0,0,79,3,0,0,0,0,84,0,0,0,3,0,0,0,0,8,0,33,131,32,3,0,0,8,206,0,0,4,5,3,0,0,0,17,0,0,0,9,0,0,0,4,11,42,96,1209,9093,6617,950,119,447,18570
POA3024,16,16,217,3598,2906,213,38,140,7142,0,3,70,118,11,3,0,5,214,0,0,3,17,0,3,0,0,27,0,3,77,128,15,5,0,3,233,0,0,3,8,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,3,12,16,15,299,3746,2921,220,38,153,7400
POA3025,0,11,205,2205,474,64,11,96,3070,0,54,107,283,19,3,0,14,481,3,25,131,285,65,4,0,10,530,3,77,233,567,86,11,3,24,1008,0,59,64,32,0,0,0,8,164,0,4,32,0,0,0,0,3,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,69,92,30,0,0,0,11,207,0,0,9,5,0,0,0,0,12,0,0,0,12,4,0,0,0,18,11,158,545,2820,563,72,14,132,4310
POA3026,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,10,0,0,0,0,3,34,0,0,0,0,0,0,0,0,0,3,26,13,0,0,0,0,3,43
POA3027,3,3,10,324,1156,146,4,28,1676,0,0,0,39,61,0,0,0,100,0,0,10,122,36,0,0,6,174,0,0,10,160,99,3,0,6,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,19,489,1252,149,11,33,1961
POA3028,9,33,623,5185,1428,172,39,166,7657,5,33,641,712,266,25,0,33,1708,0,0,49,193,133,14,0,3,391,5,31,686,904,401,36,0,42,2103,0,7,240,93,3,0,0,14,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,8,240,94,3,0,0,13,358,0,0,0,7,0,0,0,0,5,0,0,3,9,0,0,0,5,18,10,80,1557,6200,1831,214,40,225,10149
POA3029,37,53,404,10271,10056,937,109,501,22369,5,11,625,1880,1081,65,11,75,3757,0,3,130,241,156,29,10,16,583,5,18,758,2123,1232,96,19,91,4345,0,43,516,347,14,6,0,25,950,0,6,13,0,0,0,0,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,530,347,17,6,0,33,976,0,0,0,3,0,0,0,0,8,0,4,5,7,4,0,0,4,31,50,125,1699,12748,11310,1039,126,629,27726
POA3030,26,98,1137,11138,12340,1330,163,514,26753,6,128,1140,1023,552,21,6,74,2941,4,10,203,899,348,49,4,33,1546,10,135,1338,1922,905,72,8,105,4492,0,21,171,175,31,12,0,13,415,0,0,12,0,0,0,0,0,14,0,14,55,10,0,0,0,4,79,0,0,0,0,0,0,0,0,4,0,31,240,191,29,12,0,18,517,11,40,15,10,9,0,0,4,79,0,0,5,10,8,3,0,5,37,50,302,2736,13269,13286,1409,169,648,31877
POA3031,3,22,371,615,204,38,10,33,1288,0,115,723,341,58,9,0,25,1270,3,89,587,876,207,12,3,27,1797,3,200,1312,1215,260,24,3,52,3074,11,112,160,25,0,0,0,9,327,16,417,405,36,3,0,0,29,902,22,429,988,335,9,0,0,87,1862,0,0,0,0,0,0,0,0,0,45,964,1548,394,10,0,0,125,3094,3,20,16,4,3,0,0,3,40,0,3,11,5,0,0,0,0,24,55,1204,3253,2237,477,64,10,212,7516
POA3032,3,25,647,1896,1203,264,37,78,4145,0,15,405,307,55,6,0,19,806,3,32,462,1333,372,51,12,34,2282,3,50,861,1639,425,56,10,49,3091,0,224,538,132,0,0,0,29,929,11,262,1003,81,0,0,3,82,1441,9,228,1180,60,5,0,0,35,1522,0,0,0,0,0,0,0,0,3,15,716,2732,275,6,0,3,140,3889,0,3,4,13,0,0,0,0,21,0,6,16,11,3,0,0,3,36,26,795,4258,3829,1637,326,48,270,11186
POA3033,0,11,186,2428,1211,191,20,88,4139,0,7,112,235,20,0,3,11,381,0,0,89,311,73,11,0,14,492,0,7,198,544,95,11,3,22,880,0,0,29,23,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,23,0,0,0,0,53,0,0,0,7,6,0,0,0,16,0,0,0,3,0,0,0,0,9,0,29,406,3009,1309,199,26,112,5095
POA3034,3,23,227,1887,826,143,11,78,3194,0,20,85,173,20,3,0,7,303,0,3,72,244,184,33,4,14,550,0,17,151,418,199,34,4,18,851,0,0,12,0,0,0,0,0,17,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,21,3,3,4,18,7,0,0,0,29,0,0,0,6,0,0,0,0,5,4,44,401,2326,1035,178,18,97,4109
POA3036,3,3,55,758,755,145,19,30,1774,0,6,127,29,0,4,0,15,180,0,0,18,40,7,0,0,0,69,0,6,143,70,12,4,0,13,249,11,9,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,202,832,765,147,19,45,2045
POA3037,20,16,212,4990,5663,734,114,252,11994,3,11,400,991,266,16,3,32,1715,0,7,77,735,130,26,0,21,1003,4,10,476,1726,397,38,3,54,2722,0,115,39,82,0,0,0,15,255,0,13,45,0,0,0,0,0,61,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,125,88,83,0,0,0,20,316,0,0,0,3,0,0,0,0,3,0,0,6,13,0,4,0,0,23,23,160,783,6815,6059,778,118,321,15058
POA3038,8,5,140,3520,3226,528,67,140,7646,0,0,154,360,115,6,0,21,654,0,0,11,112,98,29,3,4,249,0,0,166,472,206,37,3,24,911,6,7,14,27,3,0,0,3,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,14,30,3,0,0,3,65,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,4,17,13,318,4018,3443,567,68,165,8626
POA3039,5,14,460,1445,755,177,37,56,2955,0,15,244,180,29,0,0,12,490,0,7,127,284,52,3,0,11,482,0,27,376,461,84,4,0,19,974,0,137,413,44,0,0,0,19,615,40,270,191,24,3,0,0,30,547,0,80,198,40,0,0,0,7,330,0,0,0,0,0,0,0,0,0,39,487,798,114,3,0,0,53,1494,0,6,15,8,0,0,0,0,24,0,5,11,4,3,0,0,4,32,43,539,1661,2032,853,184,42,135,5482
POA3040,4,24,520,2251,1747,398,66,82,5096,3,39,328,151,28,3,0,13,572,0,168,397,562,148,9,0,25,1310,3,206,724,713,179,17,3,38,1885,4,220,932,389,17,0,0,32,1592,0,176,163,16,3,0,0,21,380,4,254,321,29,0,0,0,7,616,0,0,0,4,0,0,0,0,0,7,648,1423,432,24,0,0,61,2593,0,0,17,3,3,0,0,0,27,0,0,3,11,4,0,0,9,26,11,878,2688,3413,1955,413,72,189,9632
POA3041,0,14,280,1377,935,212,44,57,2918,0,14,146,163,18,0,0,15,363,0,0,93,231,67,11,0,4,411,0,16,239,400,85,6,0,19,773,0,60,193,86,3,0,0,13,352,0,40,93,0,0,0,0,4,142,0,53,104,0,0,0,0,6,163,0,0,0,0,0,0,0,0,0,0,156,391,85,3,0,0,24,657,0,0,9,4,0,0,0,0,17,0,0,3,5,3,0,0,3,11,3,192,918,1866,1029,225,40,100,4383
POA3042,3,18,416,2576,894,174,22,92,4194,0,14,400,461,22,0,0,26,926,3,4,152,443,82,4,0,9,704,7,24,554,906,105,9,0,34,1629,0,0,32,27,0,0,0,0,58,0,3,6,0,0,0,0,0,12,0,33,12,0,0,0,0,0,45,0,3,0,0,0,0,0,0,5,0,34,52,27,0,0,0,0,117,0,0,7,32,10,3,3,4,60,0,0,7,14,3,0,0,8,24,5,80,1030,3550,1006,183,30,141,6021
POA3043,10,15,243,3265,1369,190,28,98,5224,3,57,548,341,19,0,0,24,991,0,0,33,178,12,0,0,6,230,3,60,585,516,30,0,0,30,1221,0,17,15,11,0,0,0,5,45,0,8,29,0,0,0,0,3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,22,40,12,0,0,0,4,85,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,6,8,100,866,3803,1403,191,29,134,6539
POA3044,0,38,1126,3328,1321,186,51,106,6160,6,67,1031,316,13,0,0,40,1478,3,18,779,737,72,5,0,32,1648,10,84,1807,1053,87,6,0,75,3125,10,87,199,70,0,0,0,14,382,0,0,51,5,0,0,0,0,61,0,10,50,4,0,0,0,3,73,0,0,3,0,0,0,0,0,8,9,99,308,79,3,0,0,21,525,0,0,16,13,4,0,0,4,38,0,4,10,12,10,0,0,0,29,21,224,3266,4481,1417,199,52,212,9873
POA3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5
POA3046,9,89,1065,4788,1490,248,44,209,7935,0,105,852,348,24,0,0,56,1390,0,26,957,810,99,6,3,58,1955,3,129,1813,1154,116,8,0,115,3348,3,124,527,102,3,0,0,23,781,0,23,32,3,0,0,0,0,53,0,0,4,0,0,0,0,0,5,0,0,7,5,0,0,0,0,13,3,149,572,113,3,0,0,24,862,0,0,3,4,4,0,0,0,11,0,0,10,24,4,3,0,3,46,20,366,3461,6079,1620,258,45,356,12204
POA3047,13,52,381,3206,609,103,43,208,4610,4,86,117,50,4,0,0,10,274,0,6,160,146,11,0,0,12,339,3,91,278,198,12,0,0,24,608,8,68,281,325,23,7,0,40,747,0,0,0,0,0,0,0,0,3,5,25,18,19,0,0,0,5,83,0,0,3,0,0,0,0,0,3,10,93,303,348,20,7,0,47,832,0,3,8,79,17,4,3,13,124,0,8,3,14,0,3,0,25,51,34,248,983,3846,661,116,43,315,6236
