POA_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
POA3025,99,116,216,278,232,515,100,115,214,56,72,126,433,419,853,151,169,320,89,84,176,45,61,105,280,321,604,24,19,46,11,15,29,27,15,42,22,31,56,3,0,3,93,84,172,123,129,247,26,44,69,8,20,28,34,60,86,0,0,3,189,242,429,21,34,57,26,55,78,0,3,3,45,95,137,493,533,1019,1623,1806,3429
POA3026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,23,16,5,24
POA3027,72,67,139,141,135,280,73,76,153,95,77,174,314,284,606,100,75,176,35,41,76,39,38,84,172,161,335,10,6,20,13,21,29,14,4,12,12,21,32,0,0,0,45,50,101,97,81,180,48,45,95,6,7,9,34,42,72,3,0,0,187,177,366,21,24,44,19,34,51,0,0,0,38,61,98,178,185,359,1005,998,2000
POA3028,204,199,410,718,723,1441,275,287,559,52,60,109,1042,1069,2108,449,405,859,273,340,614,72,66,135,800,809,1610,63,54,121,45,58,107,66,30,99,76,104,177,0,0,0,246,251,503,396,351,744,178,158,337,40,50,92,78,169,241,9,4,8,689,729,1418,94,90,183,85,167,250,4,5,13,181,264,448,943,937,1877,4109,4261,8374
POA3029,931,916,1850,2995,2651,5650,1053,1051,2103,793,822,1610,4844,4522,9361,1780,1727,3512,736,784,1513,493,539,1037,3009,3050,6059,227,195,426,162,261,424,224,88,310,215,340,552,11,8,19,838,897,1733,1063,1100,2167,493,499,994,120,153,273,315,424,741,6,16,20,2004,2192,4196,235,316,552,259,551,812,5,6,18,501,878,1382,3897,2802,6697,16023,15254,31282
POA3030,1131,1024,2156,3429,3070,6494,1456,1358,2819,497,445,942,5383,4873,10253,1802,1715,3513,977,1096,2079,404,395,793,3180,3205,6389,202,200,399,135,246,377,215,88,298,209,368,575,9,9,23,768,915,1677,982,1147,2133,371,540,911,84,116,201,354,517,875,6,14,20,1800,2328,4135,248,296,545,263,538,797,4,13,20,518,845,1364,2910,3052,5962,15687,16243,31930
POA3031,113,119,225,342,313,651,158,150,310,50,43,92,543,508,1052,212,179,389,70,109,174,71,68,132,351,349,699,41,62,98,42,63,109,29,21,47,44,67,115,4,0,5,164,213,373,353,395,746,231,249,477,40,47,85,164,229,394,0,0,0,789,920,1709,43,88,131,58,121,172,0,3,3,95,213,308,865,920,1783,2913,3245,6155
POA3032,245,198,437,468,408,876,353,366,716,106,137,246,932,913,1838,342,291,636,204,246,454,139,143,282,687,680,1367,60,69,126,58,103,168,32,24,62,86,84,172,4,0,9,242,282,527,725,755,1478,340,355,697,65,68,136,234,277,503,3,5,12,1360,1462,2825,62,111,176,84,165,248,4,0,8,148,283,429,1061,1120,2173,4671,4937,9606
POA3033,109,100,209,221,209,427,312,290,599,59,36,92,587,539,1130,217,199,422,177,177,354,60,48,106,452,422,876,24,13,34,15,11,26,38,12,46,21,38,62,0,0,0,99,68,169,183,212,392,21,48,73,15,31,49,38,72,110,0,0,0,265,362,625,14,14,25,31,54,78,0,0,0,40,69,112,400,492,887,1956,2048,4001
POA3034,89,75,160,186,149,336,182,159,344,23,44,69,399,354,752,175,137,306,102,108,209,39,45,82,314,287,598,18,19,38,14,18,30,19,5,22,15,25,45,3,0,4,72,69,135,143,156,298,32,37,69,11,11,28,27,47,74,3,4,8,217,261,474,12,21,35,33,41,71,0,3,3,44,68,110,371,373,740,1500,1477,2980
POA3036,42,37,77,103,76,184,95,68,162,64,65,127,263,217,475,69,70,139,54,70,129,104,103,203,226,248,472,9,6,14,0,3,4,16,4,24,8,8,15,0,0,3,30,28,57,102,106,207,7,7,16,13,9,25,19,36,53,0,0,0,140,167,303,3,6,13,8,12,25,0,0,0,15,19,33,149,152,302,866,863,1725
POA3037,475,468,941,1805,1692,3497,646,709,1354,301,317,616,2754,2711,5466,1285,1276,2563,515,564,1079,312,287,595,2105,2123,4234,113,109,222,57,96,158,148,57,205,106,100,206,0,0,0,427,360,784,709,857,1570,116,211,331,91,105,190,112,175,286,6,3,7,1037,1358,2389,114,115,234,126,231,360,3,8,9,247,358,604,1375,1483,2853,8413,8864,17274
POA3038,161,149,306,557,491,1048,284,299,585,167,158,322,1009,954,1959,533,532,1060,307,313,621,209,205,414,1049,1054,2096,43,54,96,27,40,67,94,26,123,55,52,108,3,0,4,220,177,400,516,562,1076,73,77,151,67,53,126,59,88,147,4,12,11,728,788,1518,41,47,87,65,100,161,3,4,8,108,149,253,684,686,1371,3954,3949,7904
POA3039,110,115,232,254,210,466,209,189,397,62,89,154,525,488,1017,138,121,256,120,151,269,85,143,228,348,408,760,23,17,40,18,32,54,29,6,33,38,36,71,0,0,0,102,100,205,276,279,551,110,105,216,32,29,60,94,128,222,3,3,7,512,542,1056,13,25,43,28,62,91,0,0,0,49,90,133,381,406,787,2029,2160,4191
POA3040,192,170,360,393,340,741,449,454,908,157,174,331,1009,970,1976,297,252,554,406,377,787,226,294,515,931,920,1848,38,35,76,30,38,72,52,19,76,49,66,111,0,0,0,171,161,336,519,581,1106,138,154,290,55,58,116,119,231,345,0,3,4,834,1024,1858,31,34,61,46,73,127,0,0,0,82,109,189,722,800,1523,3936,4153,8088
POA3041,103,80,186,289,270,565,229,200,426,65,59,115,583,529,1110,295,238,535,127,135,262,74,81,159,500,456,958,24,15,41,5,19,26,28,12,39,29,25,52,3,0,3,87,70,164,179,238,422,49,53,99,21,20,44,52,81,131,0,0,0,297,392,692,16,15,30,29,36,63,0,0,0,39,51,91,327,420,746,1942,2001,3939
POA3042,111,132,244,236,210,442,356,289,652,29,41,69,622,543,1160,212,190,404,168,185,357,40,47,87,423,424,847,12,12,24,10,14,25,39,7,53,21,21,41,0,0,4,90,63,147,156,180,333,45,71,110,21,16,35,50,76,126,0,0,0,268,336,608,16,13,29,37,51,84,3,0,9,53,67,120,431,479,907,2001,2034,4038
POA3043,116,126,243,393,352,751,206,199,406,26,35,69,624,595,1222,342,333,674,84,82,166,47,34,85,478,445,922,41,41,88,31,33,62,43,11,54,41,44,91,0,0,0,158,134,296,149,215,371,51,53,104,12,32,45,41,89,129,0,0,4,263,386,652,35,27,64,39,62,99,4,0,7,72,92,161,592,603,1192,2304,2381,4683
POA3044,255,237,491,700,602,1309,345,307,650,67,70,132,1111,983,2091,539,447,986,174,181,362,90,95,188,803,728,1536,56,38,95,45,56,98,49,22,71,77,78,156,3,3,6,230,204,436,381,420,797,152,153,302,32,64,95,135,185,327,5,3,5,702,823,1527,47,47,96,74,102,176,3,0,4,130,147,273,881,883,1766,4116,3998,8113
POA3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,29,72,38,30,75
POA3046,275,236,509,704,652,1356,354,326,686,133,144,281,1192,1130,2324,447,464,904,311,242,546,124,100,225,883,798,1683,121,73,193,60,73,137,78,32,114,72,102,180,6,0,7,338,287,625,480,480,957,279,229,510,57,47,97,107,172,283,0,6,9,931,929,1859,132,100,227,113,147,256,4,6,11,252,250,496,1296,1301,2591,5164,4924,10091
POA3047,143,119,261,582,538,1124,128,127,255,185,191,371,888,859,1753,423,414,832,91,76,163,148,194,345,662,680,1347,126,76,207,71,95,169,41,31,77,52,86,134,5,8,13,302,295,600,304,274,576,176,104,278,22,19,39,49,54,103,8,7,14,554,459,1007,119,120,237,64,122,182,5,6,9,184,247,429,1342,1234,2581,4087,3894,7982
POA3048,115,113,232,556,522,1069,138,122,266,135,150,285,827,791,1619,434,418,853,129,109,242,159,174,334,721,702,1427,81,75,153,41,90,126,33,31,68,43,55,104,6,0,4,205,251,461,230,306,540,81,75,152,23,42,58,32,32,65,4,0,5,368,452,817,98,137,229,50,106,150,4,3,7,146,245,392,787,771,1562,3169,3329,6496
POA3049,64,56,117,240,236,479,94,82,175,29,45,75,369,362,734,182,221,403,48,65,118,64,47,110,300,329,628,25,24,49,16,16,32,27,11,42,21,25,46,0,0,0,87,84,168,100,156,256,17,26,40,11,14,23,25,38,61,0,0,0,151,227,378,4,8,20,27,38,65,0,3,3,32,49,83,247,303,547,1246,1415,2656
POA3050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,24,19,43,27,21,53
POA3051,55,56,110,238,233,476,19,32,50,33,42,75,294,301,597,189,135,328,20,12,37,36,40,77,243,191,442,49,66,119,42,68,110,10,18,33,38,56,90,0,3,4,140,211,352,1000,1349,2354,422,410,833,25,46,70,143,190,329,3,3,8,1594,2010,3605,52,63,112,39,88,130,0,0,0,95,151,245,933,940,1871,3351,3855,7210
POA3052,24,13,36,66,50,110,5,7,15,9,12,16,74,65,140,44,33,79,4,3,9,6,21,30,59,58,117,6,12,15,15,10,25,3,0,3,12,9,19,0,0,0,36,36,67,473,499,968,198,158,354,13,24,33,39,67,104,3,0,4,725,748,1470,10,25,38,19,22,42,0,0,0,31,43,75,305,467,775,1247,1432,2678
POA3053,35,33,71,162,133,291,22,22,38,27,36,61,205,191,398,131,114,243,19,21,43,45,59,103,194,197,396,106,124,234,65,77,141,13,9,28,31,42,75,0,4,3,221,263,484,2574,3627,6204,624,656,1280,53,57,108,107,145,253,3,12,17,3361,4496,7852,110,196,300,60,86,144,3,3,9,173,284,455,881,934,1812,5068,6395,11458
POA3054,46,48,98,167,129,295,11,20,34,20,28,45,200,176,370,72,57,133,29,20,48,41,50,84,143,122,268,7,12,21,7,19,28,6,3,15,28,12,42,0,3,3,58,47,107,231,311,545,134,173,309,17,37,54,102,152,255,0,0,3,491,669,1164,5,11,19,24,27,53,0,0,3,23,45,71,262,293,554,1225,1400,2625
POA3055,108,103,214,268,241,513,95,89,184,29,34,63,390,370,758,177,156,330,48,63,114,21,30,60,249,249,500,25,24,50,43,32,78,19,17,33,35,37,74,0,0,0,118,111,226,306,397,699,278,264,536,19,45,69,119,204,326,3,0,3,729,906,1636,13,37,51,35,45,78,0,0,0,51,90,135,445,468,911,2085,2298,4387
POA3056,161,126,286,403,390,787,94,95,188,21,39,63,511,529,1042,248,191,431,41,66,105,31,48,80,311,306,618,48,39,86,73,78,151,23,15,43,87,89,174,0,3,4,227,231,458,658,808,1466,456,524,980,53,81,136,235,378,614,3,5,12,1405,1799,3206,39,35,76,61,108,169,0,3,3,103,147,244,787,787,1567,3501,3917,7422
POA3057,54,51,100,186,182,367,57,72,123,13,13,28,246,272,521,117,116,237,25,45,67,17,12,32,158,174,328,18,27,47,35,28,63,8,6,16,36,38,79,0,0,0,106,103,202,242,338,586,202,259,466,14,38,53,130,190,321,5,0,3,594,836,1432,15,20,36,33,51,77,0,0,0,48,75,118,382,388,773,1583,1890,3473
POA3058,305,285,590,751,686,1435,332,358,681,76,94,171,1159,1130,2291,419,387,812,203,262,466,90,117,207,713,763,1477,71,63,136,80,77,153,55,27,78,110,121,225,0,7,6,308,290,599,582,651,1238,365,447,809,47,85,134,225,412,636,0,3,4,1225,1593,2816,66,73,138,63,108,177,0,0,3,132,183,316,930,1016,1946,4770,5261,10032
POA3059,138,110,247,297,240,541,248,252,503,123,137,264,668,630,1300,200,194,398,209,243,456,227,230,458,639,670,1315,28,31,58,14,16,35,47,15,68,34,33,62,0,0,0,132,91,217,268,343,607,30,44,69,26,34,63,43,64,106,0,0,0,363,478,845,14,27,42,31,47,79,0,0,0,48,76,126,339,326,659,2325,2389,4711
POA3060,128,111,236,268,195,465,156,172,328,188,209,397,603,584,1189,180,186,364,109,103,210,125,153,281,409,435,850,45,22,71,36,21,65,31,18,47,38,36,74,0,3,3,152,106,255,229,145,377,140,85,223,13,17,36,58,62,120,0,0,4,442,309,754,65,35,108,32,77,109,7,6,11,109,121,224,551,538,1090,2401,2203,4599
POA3061,40,39,77,124,122,248,58,67,125,29,46,74,216,233,447,90,85,169,40,45,85,26,39,65,152,164,322,30,15,38,7,20,23,8,9,19,16,6,23,0,0,3,55,52,111,55,62,123,29,19,43,4,11,18,7,11,16,0,0,0,100,102,203,9,28,32,15,24,40,0,4,4,22,56,78,262,185,445,853,822,1680
POA3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3063,0,0,0,15,8,26,7,10,20,7,10,16,36,28,63,7,10,24,9,9,16,10,17,20,27,35,62,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,8,3,12,10,0,3,3,0,0,0,0,0,0,0,0,0,7,11,17,0,0,0,0,0,4,0,0,0,0,0,4,17,16,30,86,101,187
POA3064,762,711,1480,2660,2440,5102,879,871,1752,575,545,1118,4112,3854,7971,1793,1792,3585,591,624,1211,507,540,1051,2891,2956,5847,276,241,521,161,254,415,187,80,273,194,268,465,10,6,17,834,857,1690,922,1076,1994,243,346,592,99,129,227,193,285,486,7,20,23,1473,1855,3326,237,303,541,191,420,611,10,3,11,443,726,1165,2242,2334,4578,12747,13301,26052
POA3065,49,56,104,132,91,217,43,47,92,27,28,57,203,169,368,71,67,133,33,42,72,22,33,57,120,138,257,11,21,35,28,32,62,3,13,12,19,26,48,0,0,0,68,92,163,141,208,355,139,172,312,23,26,41,114,175,286,3,4,8,416,581,1003,22,53,76,28,74,102,0,3,3,51,133,183,764,726,1492,1679,1898,3573
POA3066,28,27,56,109,105,213,40,37,85,7,6,22,159,157,319,73,76,147,21,24,53,3,10,14,98,118,217,15,18,35,37,48,81,0,13,15,29,48,77,3,0,5,90,125,209,128,177,303,117,115,228,17,11,31,87,145,230,0,3,3,344,450,796,13,26,34,33,52,80,0,0,0,43,75,117,574,589,1161,1331,1545,2873
