POA_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
POA3013,0,0,6,49,31,41,30,8,5,182,0,0,0,3,3,0,0,0,0,8,0,0,0,3,0,0,0,0,0,4,0,7,16,95,28,24,24,20,3,213,26,29,31,189,60,39,40,43,40,503,582,845,674,2955,1080,656,399,343,197,7726,0,0,0,0,0,0,0,0,0,0,1074,1542,1156,3785,1441,766,261,145,129,10297,0,0,0,16,3,0,0,0,0,17,0,0,0,3,0,3,0,0,0,11,0,0,0,0,3,4,0,0,0,8,3,0,3,27,11,7,0,0,0,49,0,0,0,9,9,6,3,0,0,29,0,3,19,53,19,15,0,3,5,118,0,0,0,4,6,9,9,11,6,46,0,0,0,0,0,0,3,3,0,12,12,16,13,247,117,57,24,13,10,501,0,0,0,13,0,0,0,0,0,17,0,0,0,17,3,0,4,0,0,27,0,0,5,27,10,3,8,0,4,55
POA3015,0,0,0,42,4,5,5,0,0,66,0,0,0,4,3,0,0,0,0,12,0,0,0,3,0,0,0,0,0,5,3,7,21,92,37,24,21,17,11,237,28,39,41,156,60,54,37,21,16,436,702,1110,803,3101,1273,921,489,316,193,8911,0,0,0,3,0,0,0,0,0,3,1351,1999,1375,4071,1737,1201,448,189,139,12524,0,0,0,9,0,0,0,0,0,9,0,0,0,5,5,6,5,5,0,32,0,0,0,4,3,0,5,0,0,14,0,3,4,31,9,3,0,0,0,49,0,0,0,10,3,0,0,0,0,14,0,7,25,50,18,10,10,3,0,115,0,0,3,8,11,17,11,10,0,64,0,0,0,3,3,3,8,3,0,18,3,32,16,228,138,85,64,26,14,615,0,3,0,9,0,0,0,0,0,16,0,0,8,18,7,0,0,0,0,33,0,5,7,23,17,8,16,9,4,85
POA3016,0,0,0,27,8,10,10,0,0,49,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,11,5,60,43,39,25,17,12,212,17,31,42,116,75,77,47,26,20,456,402,963,892,1852,1440,1132,664,351,215,7912,0,0,0,0,0,0,0,0,0,0,776,1816,1650,2345,1940,1461,804,342,208,11353,0,0,4,4,0,0,0,0,0,7,0,0,0,3,6,7,0,0,0,21,0,0,0,0,0,4,0,0,0,5,0,0,5,17,10,5,4,0,0,43,0,0,0,6,8,4,0,0,0,17,0,0,12,28,14,10,3,6,0,72,0,0,0,9,5,18,19,14,9,75,0,0,0,0,3,10,9,0,0,28,12,64,45,182,183,164,107,46,15,812,0,0,0,5,3,0,0,5,0,13,0,0,0,13,3,0,0,0,0,20,3,4,3,24,14,6,31,4,3,84
POA3018,0,0,3,32,21,8,6,5,0,77,0,0,0,0,4,4,0,0,0,9,0,0,0,0,0,0,0,0,0,3,4,7,13,83,29,22,26,13,8,210,20,36,37,114,55,44,39,37,27,405,405,670,585,1854,917,778,667,470,236,6583,0,0,0,0,0,0,0,0,0,0,705,1109,944,2226,1185,958,619,356,201,8280,0,0,3,23,0,0,0,0,0,23,0,0,0,6,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,3,0,11,3,0,0,0,0,26,0,0,0,6,3,0,4,0,0,10,3,3,12,83,22,13,4,7,0,159,0,0,0,12,11,18,19,18,0,71,0,0,0,3,0,0,5,6,0,16,0,21,15,141,82,113,121,83,30,610,0,0,0,4,3,0,0,0,0,14,0,0,0,11,3,0,3,3,0,23,3,6,0,30,16,11,38,22,10,131
POA3019,8,15,109,416,237,211,77,31,11,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,65,128,42,28,25,8,0,310,22,30,42,120,47,37,34,17,4,359,286,507,691,1508,530,494,281,155,75,4535,0,0,7,13,0,0,0,0,0,31,505,754,688,698,208,209,120,94,41,3319,3,0,11,38,3,3,0,0,0,62,0,0,0,11,3,10,3,3,0,36,0,0,0,10,4,5,0,0,0,25,0,0,0,3,0,0,0,0,0,3,0,0,0,9,3,3,17,3,0,36,0,4,28,116,41,41,17,10,15,277,0,0,0,3,3,12,8,11,0,28,0,3,3,0,6,3,0,3,0,14,0,3,0,12,5,11,9,7,6,64,0,0,0,15,3,6,0,0,0,33,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,8,0,0,12
POA3020,15,70,356,1594,831,703,179,83,33,3859,0,0,0,3,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,8,32,92,178,493,206,161,146,120,74,1498,127,152,202,476,201,181,185,113,61,1697,1511,2307,2891,6812,2556,2299,1836,1228,592,22031,5,18,53,150,27,3,0,0,0,252,2555,3339,3332,4413,1646,1165,706,392,206,17755,9,12,28,208,15,0,0,0,0,267,0,4,3,28,9,14,11,5,0,73,0,0,0,18,22,12,9,11,3,76,0,3,3,16,4,0,3,0,0,28,0,0,4,40,28,28,37,10,0,153,3,20,84,340,128,78,36,25,17,733,0,0,0,22,41,51,98,83,15,300,0,8,9,10,3,14,27,19,11,103,0,12,4,60,78,77,61,45,15,349,0,3,6,54,31,24,12,4,0,131,0,0,0,6,3,0,3,3,0,18,0,3,5,15,11,10,85,20,11,155
POA3021,20,104,474,2069,1053,732,242,119,36,4851,0,0,0,0,0,3,0,0,0,8,0,0,4,4,0,0,0,0,0,8,16,94,229,601,309,277,254,158,54,1990,156,220,274,640,277,321,265,154,54,2351,1686,2903,3661,7774,3203,3384,2534,1364,453,26958,0,4,20,45,6,3,3,0,0,84,2907,4268,4136,4481,1411,1371,720,178,59,19534,3,0,5,48,9,6,3,0,0,73,0,0,59,188,138,122,65,39,3,616,0,0,0,10,15,18,9,4,3,54,0,3,0,11,0,0,0,0,0,19,0,0,0,35,43,42,53,20,0,200,7,36,45,212,108,89,43,29,16,578,0,0,11,49,92,157,231,243,40,826,3,25,18,48,32,51,69,52,12,320,3,16,4,36,64,80,96,37,10,350,3,6,17,53,22,21,19,0,0,148,0,3,3,6,4,3,3,3,0,31,0,0,22,16,12,40,185,62,39,375
POA3022,0,3,4,73,23,23,3,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,46,15,12,4,11,18,132,5,12,6,38,14,8,9,10,10,124,105,185,152,511,145,136,120,90,92,1544,0,0,5,16,3,0,0,0,0,27,201,250,207,436,145,117,60,25,11,1438,0,0,3,9,0,0,0,0,0,12,0,0,0,6,0,3,3,0,0,14,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,3,4,0,4,0,0,17,0,0,0,8,5,0,5,3,0,28,0,0,0,0,0,5,12,3,0,20,0,0,3,0,0,0,3,3,0,12,0,0,0,10,6,6,3,9,0,30,0,0,0,3,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,30,9,7,51
POA3023,9,27,153,1121,524,352,108,47,26,2376,0,0,0,4,3,0,3,0,0,7,0,3,6,21,3,0,3,0,0,35,16,99,236,929,402,302,168,58,25,2229,134,274,237,598,257,205,145,69,23,1943,2530,4939,4157,10913,4092,2866,1654,721,271,32148,0,5,29,75,33,13,4,0,0,163,4736,7980,5324,8887,2607,1390,677,290,128,32018,3,8,6,83,13,10,0,0,0,129,0,0,29,203,103,69,24,9,3,439,0,0,3,29,13,13,0,0,0,55,0,3,10,7,11,3,0,0,0,30,0,9,9,119,81,84,70,9,0,368,11,35,84,422,153,120,44,29,7,899,0,8,5,73,83,91,89,50,10,398,5,54,25,139,62,57,37,15,3,406,10,63,29,129,127,115,107,59,19,658,0,18,26,127,70,34,18,4,0,306,0,0,0,4,3,6,4,0,0,24,0,0,22,18,11,15,74,28,9,172
POA3024,0,0,9,29,3,10,0,0,0,44,0,0,0,0,4,0,0,0,0,10,0,0,3,15,4,0,0,0,0,23,8,50,81,270,83,45,23,9,0,568,61,101,77,230,91,77,48,23,7,720,1189,1973,1399,4435,1320,928,543,200,73,12075,0,0,0,4,0,3,0,0,0,13,2208,3106,1876,4324,1469,928,532,171,54,14671,5,4,19,115,16,3,0,0,0,160,0,0,0,31,4,8,0,0,0,45,0,0,0,0,0,0,0,0,0,3,0,5,0,9,6,0,0,3,0,19,0,0,0,13,3,6,0,0,0,24,0,4,8,56,18,9,3,4,0,102,0,0,0,13,9,13,12,4,0,47,0,17,12,8,4,5,3,0,0,47,3,36,21,116,130,135,83,51,13,593,0,9,15,63,16,15,8,0,0,126,0,3,0,3,3,0,0,0,0,10,0,0,3,10,11,8,11,0,0,51
POA3025,0,4,12,73,58,69,16,5,0,234,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,3,3,10,78,29,39,27,36,26,252,27,51,41,144,67,40,58,64,45,536,438,663,627,1761,656,538,594,633,299,6215,0,0,0,3,0,0,0,0,0,3,840,1122,1013,1990,647,392,231,237,119,6589,0,0,0,4,0,0,0,0,0,4,0,0,0,0,3,0,3,3,0,15,0,0,0,0,3,5,0,0,0,10,0,0,0,11,3,0,0,0,0,15,0,0,0,12,4,0,0,0,0,17,0,3,8,37,15,9,4,4,4,82,0,0,0,5,3,10,35,47,13,119,0,0,0,5,0,3,3,7,3,21,0,13,3,51,42,30,30,22,13,204,0,0,0,3,0,0,0,0,0,7,0,0,3,4,0,4,0,7,0,13,0,3,0,15,5,0,21,21,10,77
POA3026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,8,0,4,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,6,4,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3027,0,0,7,28,9,11,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,5,25,82,28,11,10,0,0,167,19,19,18,68,13,14,4,0,0,160,426,419,322,1574,282,194,61,10,4,3292,0,0,0,17,3,0,0,0,0,19,787,633,239,663,151,74,12,0,0,2556,0,0,6,26,9,10,0,0,0,49,0,0,0,9,3,0,0,0,0,11,0,0,0,4,3,0,0,0,0,7,0,0,0,7,5,0,0,0,0,13,0,0,0,3,0,0,3,0,0,4,4,17,53,318,44,55,9,0,0,507,0,0,0,3,0,0,0,0,0,3,0,5,0,0,0,3,0,0,0,13,0,8,3,44,14,3,9,0,0,88,0,3,0,13,3,0,4,0,0,27,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,3,0,0,9
