POA_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA3097,150,127,28,7,801
POA3099,579,293,97,27,2600
POA3101,2412,1657,801,423,14767
POA3102,544,383,165,75,3650
POA3103,1479,1021,577,341,8558
POA3104,1858,1125,587,343,10692
POA3105,718,553,422,126,5366
POA3106,1632,1194,546,230,8743
POA3107,926,906,630,252,7150
POA3108,1444,1135,914,355,11121
POA3109,2156,1567,947,381,14450
POA3111,1059,770,433,250,6427
POA3113,949,516,183,31,4605
POA3114,399,224,94,19,1970
POA3115,402,203,78,14,1881
POA3116,757,556,196,59,4703
POA3121,1623,1064,368,100,20061
POA3122,1552,1130,509,224,15333
POA3123,1115,736,348,186,9010
POA3124,2053,1487,810,545,12946
POA3125,806,542,389,256,7977
POA3126,912,621,289,155,4617
POA3127,1946,1157,501,246,10732
POA3128,1315,719,493,287,11094
POA3129,1322,804,451,199,9241
POA3130,2390,1607,1150,625,17300
POA3131,1390,963,699,428,11791
POA3132,1057,722,409,121,8673
POA3133,1737,1445,701,197,11217
POA3134,2428,1547,782,326,16665
POA3135,1407,1055,587,220,10421
POA3136,3154,2198,1225,502,21957
POA3137,932,644,329,200,6555
POA3138,1473,934,427,148,10309
POA3139,1080,658,199,68,6375
POA3140,1099,781,375,129,7710
POA3141,1475,1201,588,164,18191
POA3142,1352,1288,654,279,8391
POA3143,707,582,294,128,5874
POA3144,977,812,498,213,6614
POA3145,1857,1150,527,255,13393
POA3146,2257,1376,638,253,14814
POA3147,1195,670,308,229,7923
POA3148,474,272,160,48,4815
POA3149,2590,1682,1282,505,18140
POA3150,4778,3653,2243,912,31558
POA3151,663,539,397,88,5250
POA3152,2981,1665,852,583,16829
POA3153,1225,883,502,318,10191
POA3154,332,187,102,91,2198
POA3155,1560,1120,568,191,11087
POA3156,2796,1639,737,253,18167
POA3158,652,345,78,22,3512
POA3159,300,139,38,12,1439
POA3160,930,455,154,33,4747
POA3161,1383,991,442,328,9339
POA3162,1566,1182,509,300,10075
POA3163,2170,1177,620,284,19444
POA3165,1973,1059,596,320,13868
POA3166,1318,617,402,294,12580
POA3167,632,365,195,72,4580
POA3168,615,350,285,210,11019
POA3169,954,650,337,99,9184
POA3170,1230,882,494,210,9623
POA3171,753,503,361,201,8339
POA3172,1251,971,464,205,9179
POA3173,1158,783,297,93,10264
POA3174,1767,1222,676,240,16066
POA3175,2499,1640,957,374,21596
POA3177,477,343,225,73,4221
POA3178,2616,1162,576,157,16009
POA3179,456,259,90,10,2884
POA3180,528,388,203,44,3652
POA3181,1124,671,433,254,13934
POA3182,1716,949,357,123,16867
POA3183,1112,665,260,115,11581
POA3184,1204,548,189,57,10503
POA3185,1045,641,270,119,7614
POA3186,2523,1826,917,473,13484
POA3187,1534,973,601,486,8743
POA3188,1648,1028,433,188,9762
POA3189,396,266,149,59,3089
POA3190,733,411,226,127,5567
POA3191,1028,724,328,258,5878
POA3192,1496,959,619,396,11428
POA3193,2154,1493,725,396,10823
POA3194,1007,699,417,208,7079
POA3195,2759,1428,814,368,18283
POA3196,1770,1203,713,403,13293
POA3197,990,621,303,108,5850
POA3198,1205,821,447,153,8341
POA3199,4267,2999,1599,724,27154
POA3200,325,214,166,67,2416
POA3201,1177,636,330,229,9178
POA3202,162,102,51,51,1383
POA3204,2464,1230,544,277,16491
POA3205,785,529,241,109,7212
POA3206,978,766,265,103,6216
POA3207,1403,880,319,101,10193
POA3211,114,50,9,3,633
POA3212,1072,618,249,81,7958
POA3213,316,163,64,7,1802
POA3214,1233,854,458,138,8675
POA3215,1373,959,612,413,9722
POA3216,4094,2917,1655,889,28625
POA3217,351,204,79,41,3482
POA3218,981,527,250,88,7160
POA3219,1401,894,547,228,9130
POA3220,1605,944,436,228,9197
POA3221,83,58,25,0,429
POA3222,1397,1056,611,207,7386
POA3223,900,909,379,173,3870
POA3224,994,901,429,135,6731
POA3225,520,618,325,129,2450
POA3226,1395,1049,357,157,7421
POA3227,584,424,152,28,2682
POA3228,1519,1100,402,129,9523
POA3230,307,305,116,47,1519
POA3231,213,136,75,12,793
POA3232,146,123,61,27,647
POA3233,254,224,72,26,1128
POA3234,36,10,3,0,101
POA3235,68,23,4,0,218
POA3236,44,19,3,0,136
POA3237,28,26,7,0,129
POA3238,26,25,10,0,128
POA3239,46,34,16,4,217
POA3240,202,93,34,7,1014
POA3241,228,168,69,35,1214
POA3242,74,74,23,3,424
POA3243,42,25,4,3,171
POA3249,330,207,62,27,1462
POA3250,855,571,342,162,5069
POA3251,35,32,19,0,217
POA3254,25,11,0,0,114
POA3260,348,322,163,52,2053
POA3264,181,120,86,36,984
POA3265,217,79,29,8,1105
POA3266,173,123,82,29,1177
POA3267,21,6,0,0,88
POA3268,203,101,49,19,1082
POA3269,70,34,6,0,347
POA3270,29,26,10,7,131
POA3271,26,7,0,0,84
POA3272,116,88,49,23,649
POA3273,19,14,4,0,72
POA3274,25,11,4,4,121
POA3275,24,7,3,0,189
POA3276,43,14,9,3,212
POA3277,132,75,27,12,859
POA3278,20,15,0,3,132
POA3279,16,16,3,0,131
POA3280,2327,1564,858,398,14648
POA3281,135,82,16,8,803
POA3282,197,121,52,8,1119
POA3283,130,65,13,4,620
POA3284,365,301,131,73,1772
POA3285,128,80,20,9,603
POA3286,37,36,12,8,226
POA3287,24,11,10,0,175
POA3289,82,51,12,12,347
POA3292,23,32,6,3,91
POA3293,42,13,15,0,140
POA3294,102,60,15,15,492
POA3300,816,604,318,171,4549
POA3301,115,73,22,7,573
POA3302,24,17,4,3,158
POA3303,20,13,12,3,143
POA3304,209,157,41,20,1110
POA3305,1130,717,331,132,5707
POA3309,13,12,0,0,48
POA3310,27,17,10,4,123
POA3311,109,119,76,41,697
POA3312,92,64,29,5,440
POA3314,60,38,7,0,263
POA3315,158,90,51,30,737
POA3317,19,15,3,0,81
POA3318,98,98,42,33,574
POA3319,33,11,4,3,128
POA3321,120,70,27,7,770
POA3322,13,11,11,0,77
POA3323,10,6,0,0,37
POA3324,53,36,18,6,238
POA3325,45,28,25,8,187
POA3328,137,82,19,9,833
POA3329,21,21,3,0,138
POA3330,6,13,3,0,80
POA3331,369,246,82,20,2732
POA3332,85,29,12,3,431
POA3333,76,56,13,3,387
POA3334,59,41,11,0,266
POA3335,210,95,30,4,2774
POA3337,2012,1171,364,83,14682
POA3338,1153,702,256,93,9648
POA3340,1422,977,360,150,9329
POA3341,144,97,13,5,806
POA3342,276,195,86,40,1634
POA3345,105,70,14,9,576
POA3350,4503,2934,1465,579,29373
POA3351,722,422,128,39,3717
POA3352,1415,915,243,57,7607
POA3355,777,670,499,193,5480
POA3356,805,714,382,154,6822
POA3357,386,249,102,25,1912
POA3360,83,83,26,7,374
POA3361,61,47,17,18,280
POA3363,323,254,149,70,1761
POA3364,239,184,56,18,1103
POA3370,205,133,67,13,843
POA3371,136,61,25,7,465
POA3373,198,174,78,42,984
POA3374,49,43,9,0,200
POA3375,20,10,5,0,99
POA3377,785,572,278,94,4436
POA3378,6,12,6,0,78
POA3379,100,64,33,9,381
POA3380,452,378,195,82,2561
POA3381,148,106,36,7,665
POA3384,74,48,20,3,273
POA3385,65,36,8,3,239
POA3387,25,19,3,4,130
POA3388,43,32,22,10,237
POA3390,79,54,18,13,370
POA3391,14,8,3,0,63
POA3392,64,44,21,15,252
POA3393,224,154,94,75,1181
POA3395,30,19,8,4,143
POA3396,70,41,27,29,327
POA3400,1040,658,370,193,6353
POA3401,394,239,69,24,1996
POA3407,40,24,9,4,186
POA3409,91,38,30,35,412
POA3412,15,16,9,3,116
POA3413,16,8,3,0,78
POA3414,184,94,54,36,781
POA3415,9,0,0,0,19
POA3418,200,114,76,34,1104
POA3419,50,39,23,6,320
POA3420,22,5,3,0,105
POA3423,41,13,11,3,166
POA3424,60,54,15,10,297
POA3427,215,118,42,9,1338
POA3428,57,55,16,4,330
POA3429,2656,1460,634,243,16749
POA3430,19,19,5,0,140
POA3431,392,228,68,14,1998
POA3432,18,13,7,0,92
POA3433,9,10,3,0,109
POA3434,418,274,85,27,2382
POA3435,322,172,61,27,1442
POA3437,838,602,239,99,5241
POA3438,158,139,39,19,1172
POA3440,253,155,56,8,1123
POA3441,160,138,38,8,770
POA3442,776,570,202,76,4073
POA3444,850,709,297,110,4674
POA3446,132,85,28,7,585
POA3447,64,36,8,3,246
POA3448,130,80,16,9,477
POA3450,747,632,392,194,3774
POA3451,619,424,158,28,3331
POA3453,212,141,54,10,892
POA3458,260,236,78,40,1144
POA3460,323,222,102,45,1388
POA3461,591,386,101,27,2289
POA3462,151,115,36,11,623
POA3463,371,278,103,37,1384
POA3464,109,61,18,9,466
POA3465,681,736,363,144,4067
POA3467,117,91,43,18,489
POA3468,31,28,11,3,131
POA3469,38,41,15,6,153
POA3472,134,142,60,10,637
POA3475,33,36,4,6,133
POA3477,101,82,15,3,392
POA3478,186,172,96,35,955
POA3480,162,121,71,48,820
POA3482,4,19,5,0,63
POA3483,61,56,28,14,395
POA3485,28,19,14,0,127
POA3487,3,4,3,0,44
POA3488,4,6,3,0,42
POA3489,10,4,0,0,32
POA3490,121,81,41,18,544
POA3491,13,4,3,0,49
POA3494,50,17,5,3,251
POA3496,486,301,131,68,2581
POA3498,392,211,101,27,2241
POA3500,2050,1466,812,364,13947
POA3501,145,68,25,4,840
POA3505,364,209,93,36,1985
POA3506,0,0,0,0,11
POA3507,13,9,0,3,69
POA3509,9,5,8,3,78
POA3512,36,7,6,3,123
POA3515,141,98,18,3,918
POA3516,58,39,17,11,293
POA3517,134,86,54,14,616
POA3518,132,106,49,13,568
POA3520,20,13,7,3,70
POA3521,62,26,11,0,289
POA3522,41,29,3,3,162
POA3523,392,341,192,40,1730
POA3525,148,68,48,35,578
POA3527,77,30,24,17,310
POA3529,10,0,0,0,44
POA3530,20,5,4,0,58
POA3531,18,6,8,6,87
POA3533,68,42,23,19,323
POA3537,94,67,26,31,433
POA3540,28,33,12,0,119
POA3542,15,3,7,3,46
POA3544,30,11,7,3,112
POA3546,31,24,17,4,173
POA3549,234,127,58,33,1273
POA3550,3149,2198,1247,704,19873
POA3551,2341,1323,422,95,13834
POA3555,1317,1031,633,336,8930
POA3556,912,655,293,92,5621
POA3557,68,42,8,5,359
POA3558,69,55,38,14,387
POA3559,32,35,25,0,235
POA3561,322,224,145,73,1815
POA3562,34,15,4,0,132
POA3563,60,26,23,6,333
POA3564,1209,880,516,220,7198
POA3565,11,3,0,0,47
POA3566,42,35,8,7,196
POA3567,43,35,19,8,224
POA3568,205,169,104,25,1168
POA3570,76,41,8,3,326
POA3571,26,14,17,0,143
POA3572,22,6,0,0,67
POA3573,40,17,4,3,141
POA3575,64,31,24,9,330
POA3576,12,7,0,0,36
POA3579,444,322,179,62,2309
POA3580,81,75,32,3,383
POA3581,16,4,3,0,71
POA3583,11,8,3,0,84
POA3584,107,66,23,11,528
POA3585,698,495,282,135,4824
POA3586,89,29,3,0,375
POA3588,21,13,9,0,133
POA3589,26,22,7,0,145
POA3590,26,23,3,0,158
POA3591,13,3,0,0,71
POA3594,48,31,20,3,224
POA3595,64,48,16,18,316
POA3596,7,3,4,0,39
POA3597,35,19,12,3,184
POA3599,9,7,7,4,56
POA3607,20,3,4,0,69
POA3608,230,176,80,37,1099
POA3610,139,103,53,24,915
POA3612,179,136,62,14,744
POA3614,76,51,6,3,411
POA3616,395,253,131,46,2326
POA3617,13,6,0,0,74
POA3618,43,30,4,0,265
POA3620,600,459,262,128,3645
POA3621,147,105,49,31,936
POA3622,50,34,10,0,207
POA3623,88,51,31,9,385
POA3624,38,27,11,5,205
POA3629,642,462,216,59,3761
POA3630,1822,1233,695,339,12944
POA3631,812,467,174,79,4948
POA3633,51,36,6,0,260
POA3634,146,79,30,6,794
POA3635,50,35,0,0,238
POA3636,408,308,171,57,2193
POA3637,40,19,13,0,217
POA3638,157,102,78,33,874
POA3639,61,35,16,4,231
POA3640,68,36,8,0,387
POA3641,97,58,21,4,485
POA3644,599,532,308,96,3766
POA3646,52,35,14,0,253
POA3647,0,0,0,0,18
POA3649,34,15,6,3,191
POA3658,505,292,98,38,2746
POA3659,90,55,21,0,378
POA3660,645,468,230,129,3481
POA3662,9,0,0,0,465
POA3663,27,11,3,0,90
POA3664,118,76,38,8,544
POA3665,48,26,12,0,180
POA3666,474,424,200,98,2241
POA3669,165,142,66,26,683
POA3670,92,46,16,0,300
POA3672,860,746,419,193,4745
POA3673,242,155,37,13,930
POA3675,222,144,31,6,953
POA3677,1326,939,630,426,8343
POA3678,704,482,146,33,3222
POA3682,74,21,9,4,276
POA3683,193,119,52,11,867
POA3685,277,182,91,46,1299
POA3687,73,81,25,4,461
POA3688,140,60,16,8,609
POA3690,2376,1530,643,223,15377
POA3691,850,480,147,74,4812
POA3694,0,0,0,0,56
POA3695,54,34,10,0,226
POA3697,85,45,12,9,312
POA3698,114,121,49,8,541
POA3699,100,85,42,11,588
POA3700,118,96,46,11,632
POA3701,112,91,28,8,500
POA3704,0,4,0,0,17
POA3705,19,14,3,3,114
POA3707,164,125,73,31,837
POA3708,12,0,3,0,31
POA3709,48,30,4,3,138
POA3711,75,50,24,3,272
POA3712,42,43,9,5,181
POA3713,106,114,46,23,537
POA3714,338,314,149,60,1707
POA3715,50,49,11,0,176
POA3717,306,265,113,29,1324
POA3718,8,10,0,4,46
POA3719,51,43,9,0,180
POA3720,66,54,20,4,288
POA3722,479,369,164,69,2516
POA3723,332,301,92,17,1580
POA3725,79,54,21,5,323
POA3726,52,32,7,0,183
POA3727,28,28,8,0,141
POA3728,47,37,21,3,250
POA3730,741,649,395,178,4114
POA3732,60,29,13,4,271
POA3733,30,13,8,0,108
POA3735,60,38,12,5,293
POA3737,431,248,150,79,1960
POA3738,32,16,0,0,105
POA3739,30,18,3,0,103
POA3740,120,81,31,3,555
POA3741,321,287,118,59,1676
POA3744,47,33,11,0,231
POA3746,44,39,7,5,205
POA3747,603,446,193,76,2768
POA3749,218,166,65,31,1044
POA3750,242,114,37,9,4215
POA3751,23,18,6,3,110
POA3752,1017,473,222,55,10240
POA3753,119,53,16,0,986
POA3754,1397,833,205,44,16984
POA3755,26,24,5,3,138
POA3756,713,365,121,23,5244
POA3757,708,454,172,61,4249
POA3758,179,106,26,0,1025
POA3759,135,64,23,3,604
POA3760,50,24,3,0,212
POA3761,147,72,27,5,690
POA3762,17,6,5,8,77
POA3763,163,83,15,4,822
POA3764,618,478,243,66,4176
POA3765,570,372,192,126,3371
POA3766,150,89,32,3,720
POA3767,135,139,39,18,714
POA3770,271,166,68,13,1523
POA3775,314,245,104,20,1956
POA3777,977,694,301,101,5213
POA3778,21,16,3,0,87
POA3779,54,65,16,3,222
POA3781,344,136,51,15,2130
POA3782,800,507,133,61,3939
POA3783,226,101,33,8,1124
POA3785,12,7,3,0,50
POA3786,202,129,42,10,902
POA3787,129,87,20,5,604
POA3788,225,155,43,6,1010
POA3789,44,30,11,4,162
POA3791,196,128,31,3,831
POA3792,136,85,22,5,587
POA3793,302,221,57,24,1700
POA3795,71,82,11,10,553
POA3796,738,445,160,38,4717
POA3797,285,230,70,26,1573
POA3799,543,377,136,37,2744
POA3800,3,0,0,0,671
POA3802,1920,988,335,136,11044
POA3803,650,361,186,61,4432
POA3804,733,328,129,91,3770
POA3805,2993,1354,549,134,23727
POA3806,2889,1646,970,381,22374
POA3807,497,235,83,19,3238
POA3808,318,182,81,29,1580
POA3809,303,151,36,4,3469
POA3810,2080,1431,696,263,20639
POA3812,219,111,40,15,1103
POA3813,79,38,12,0,425
POA3814,172,117,36,8,1013
POA3815,205,156,63,25,1387
POA3816,186,129,50,3,1160
POA3818,1034,839,405,135,6489
POA3820,1251,1037,493,167,7664
POA3821,307,188,61,10,1434
POA3822,83,43,14,3,429
POA3823,207,132,43,9,914
POA3824,431,294,137,59,2393
POA3825,1695,1172,613,243,9171
POA3831,187,139,62,20,847
POA3832,32,33,3,0,122
POA3833,37,42,12,4,167
POA3835,33,32,7,0,181
POA3840,1294,879,471,159,7274
POA3842,392,279,96,24,2229
POA3844,2151,1337,727,300,13771
POA3847,196,120,45,9,1034
POA3850,1101,730,389,179,6894
POA3851,544,384,152,21,3146
POA3852,4,0,0,0,66
POA3854,122,45,17,9,637
POA3856,82,46,9,0,424
POA3857,48,11,5,0,168
POA3858,214,155,75,35,1251
POA3859,71,40,18,0,365
POA3860,640,406,202,78,3293
POA3862,304,221,78,18,1523
POA3864,29,13,5,0,103
POA3865,38,35,11,3,197
POA3869,171,105,34,5,818
POA3870,160,114,40,17,645
POA3871,327,207,79,23,1444
POA3873,40,17,5,0,158
POA3874,85,50,23,7,271
POA3875,1511,1306,697,331,8822
POA3878,148,123,49,20,576
POA3880,428,568,292,107,2117
POA3882,127,93,51,12,547
POA3885,202,115,53,11,871
POA3886,35,24,10,0,162
POA3887,36,25,11,0,132
POA3888,304,320,122,50,1512
POA3889,24,22,13,0,94
POA3890,38,19,8,0,141
POA3891,18,15,14,0,62
POA3892,138,154,65,25,587
POA3893,0,5,0,0,9
POA3895,17,21,8,4,92
POA3896,37,26,14,6,195
POA3898,72,48,14,3,396
POA3900,13,19,3,0,53
POA3902,40,42,16,3,184
POA3903,84,111,27,6,400
POA3904,206,231,77,14,843
POA3909,797,759,349,155,3804
POA3910,1574,907,334,97,10635
POA3911,258,148,75,14,1601
POA3912,1216,658,272,124,6969
POA3913,310,188,64,14,1642
POA3915,670,580,334,96,4385
POA3916,167,125,56,32,613
POA3918,312,196,67,27,1753
POA3919,264,140,60,7,1465
POA3920,8,0,0,0,506
POA3921,17,19,4,0,61
POA3922,788,748,339,186,3912
POA3923,85,83,22,4,289
POA3925,339,275,141,51,1795
POA3926,401,312,163,48,1882
POA3927,254,206,72,34,1016
POA3928,58,44,21,3,240
POA3929,146,147,68,11,549
POA3930,1721,1368,703,202,9278
POA3931,1862,1952,1229,497,12097
POA3933,117,63,27,4,558
POA3934,1494,1265,681,287,9335
POA3936,1001,972,471,209,5477
POA3937,228,156,57,18,877
POA3938,323,321,139,38,1528
POA3939,1187,1125,736,269,6917
POA3940,302,366,389,309,2325
POA3941,1035,976,500,154,6018
POA3942,255,340,165,47,1348
POA3943,181,334,175,47,997
POA3944,88,132,54,15,341
POA3945,132,82,26,7,479
POA3946,22,13,3,3,89
POA3950,350,279,145,59,2122
POA3951,129,77,18,3,485
POA3953,568,515,228,79,3450
POA3954,44,36,18,3,207
POA3956,357,254,106,22,1458
POA3957,17,18,7,0,140
POA3958,26,19,3,0,124
POA3959,115,96,26,13,555
POA3960,284,265,109,62,1256
POA3962,98,72,35,6,428
POA3964,17,11,4,0,61
POA3965,21,22,14,6,99
POA3966,46,46,8,3,219
POA3967,9,7,0,3,56
POA3971,414,319,146,61,1799
POA3975,560,217,67,17,6627
POA3976,1343,574,248,44,10103
POA3977,4142,2280,1012,359,40169
POA3978,393,220,71,8,5103
POA3979,28,8,4,0,128
POA3980,239,158,62,15,1500
POA3981,263,200,103,44,2079
POA3984,443,443,168,46,2304
POA3987,104,79,26,4,666
POA3988,101,53,14,12,434
POA3990,17,11,4,0,56
POA3991,29,33,6,0,153
POA3992,94,55,21,12,457
POA3995,849,722,424,175,4591
POA3996,551,593,282,101,2915
