POA_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
POA3013,63,17,6,0,0,88,44,3,0,0,0,50,16,3,0,0,0,17,41,7,0,0,0,48,49,5,0,0,0,62,158,30,14,3,0,210,192,33,24,0,0,252,300,75,22,0,0,402,244,49,4,0,0,300,318,63,9,0,0,392,166,33,3,0,0,208,66,5,0,0,0,72,1661,327,91,8,0,2087
POA3015,66,20,3,0,0,91,30,5,0,0,0,39,26,4,0,0,0,35,39,16,3,0,0,51,63,17,7,0,0,89,176,71,17,0,0,256,156,95,23,0,0,276,316,180,29,0,0,528,251,141,16,0,4,414,304,135,4,0,0,439,201,53,0,0,0,254,69,32,5,0,0,104,1687,762,100,5,15,2575
POA3016,78,26,0,0,0,106,34,12,3,0,0,48,23,4,7,0,0,27,31,13,3,0,0,46,42,9,3,0,0,58,105,59,12,0,0,171,108,55,19,0,0,182,169,90,15,0,0,284,121,66,4,0,0,195,198,98,6,0,0,304,273,75,0,0,0,348,77,31,7,0,0,106,1250,541,80,4,0,1878
POA3018,44,26,3,0,0,74,23,8,0,0,0,35,19,11,0,0,0,26,36,10,0,0,0,47,44,14,4,0,0,59,112,54,4,0,0,172,127,43,9,0,3,184,193,98,3,0,0,297,115,51,0,0,0,170,119,55,0,0,0,171,69,27,0,0,0,96,47,20,0,0,0,64,940,421,28,0,8,1395
POA3019,27,27,0,0,0,56,9,12,0,0,0,25,16,7,0,0,0,25,18,14,0,0,0,32,21,19,0,0,0,39,57,75,0,0,0,133,49,72,3,0,0,118,67,93,4,0,0,165,36,39,0,0,0,75,22,32,0,0,0,54,11,20,0,0,0,30,12,19,0,0,0,31,349,425,8,3,6,789
POA3020,206,33,8,0,0,249,103,22,4,0,0,124,85,13,0,0,0,104,172,18,7,0,0,197,199,36,16,0,0,252,544,127,45,0,0,713,596,135,20,0,3,755,679,172,16,0,0,871,251,37,6,0,0,293,171,43,3,0,0,213,90,19,0,0,0,105,183,32,9,0,0,221,3267,689,148,3,5,4117
POA3021,288,25,7,0,0,318,143,5,6,0,0,158,128,5,4,0,0,139,189,7,11,0,0,206,288,30,22,0,0,336,833,132,66,3,0,1031,1018,123,59,0,0,1202,724,54,25,0,0,808,136,9,0,0,0,151,134,6,8,0,0,147,79,9,0,0,0,88,249,21,10,0,3,284,4217,420,216,7,4,4868
POA3022,7,0,0,0,0,10,5,0,0,0,0,5,10,0,0,0,0,10,14,4,0,0,0,14,9,6,0,0,0,16,56,15,0,0,0,75,49,16,0,0,0,66,56,23,0,0,0,79,17,0,0,0,0,18,3,4,0,0,0,8,7,3,0,0,0,10,10,3,0,0,0,12,247,69,0,0,0,324
POA3023,375,20,0,0,0,393,160,10,3,0,0,170,111,10,0,0,0,126,220,16,4,0,0,241,330,33,3,0,0,365,1178,94,4,0,0,1276,1622,162,11,0,0,1792,2393,199,4,0,0,2599,920,56,3,0,0,974,620,54,0,0,0,671,321,14,0,0,0,337,381,36,0,0,0,415,8619,704,34,3,4,9362
POA3024,105,7,0,0,0,112,52,4,0,0,0,55,51,3,0,0,0,50,101,7,0,0,0,106,184,7,0,0,0,194,757,30,0,0,0,789,1156,15,0,0,0,1178,919,16,0,0,5,943,229,4,0,0,0,235,130,0,0,0,0,129,58,0,0,0,0,64,157,0,0,0,0,164,3910,92,3,0,8,4015
POA3025,54,15,0,0,0,64,17,3,0,0,0,17,17,3,0,0,0,19,11,4,0,0,0,22,28,6,0,0,0,35,95,30,0,0,0,132,103,54,9,0,0,164,191,102,3,0,0,297,136,81,0,0,3,219,65,40,0,0,0,112,35,10,0,0,0,43,41,12,0,0,0,50,785,360,21,0,8,1170
POA3026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3027,41,9,0,0,0,49,5,0,0,0,0,5,6,0,0,0,0,3,12,0,0,0,0,14,13,4,0,0,0,24,75,13,0,0,0,90,141,22,0,0,0,162,312,37,0,0,0,345,187,29,0,0,0,211,128,12,0,0,0,142,48,7,0,0,0,53,33,5,0,0,0,37,997,135,0,0,0,1140
POA3028,164,41,9,0,0,216,84,17,0,0,0,101,57,17,3,0,0,82,140,24,3,0,0,166,183,38,5,0,0,224,495,135,13,0,0,646,540,166,19,0,0,724,633,159,8,0,0,808,172,37,3,0,0,214,78,33,0,0,0,110,48,21,0,0,0,67,124,33,3,0,0,157,2724,718,67,3,7,3515
POA3029,439,70,14,0,0,515,161,26,3,0,0,196,162,23,0,0,0,187,272,52,11,0,0,338,452,69,13,0,0,534,1758,333,59,3,0,2151,2873,587,40,0,4,3505,3398,568,10,0,0,3981,896,148,3,4,0,1044,498,68,3,0,0,569,281,37,3,0,0,329,490,76,9,0,0,570,11686,2054,167,3,6,13924
POA3030,538,42,0,0,0,575,197,28,0,0,0,223,216,17,0,0,0,242,342,31,5,0,0,383,552,76,10,0,0,633,1889,265,27,0,0,2187,2415,299,35,0,0,2744,3462,375,21,0,3,3855,1522,125,3,0,0,1649,968,84,10,0,0,1059,470,33,13,0,0,514,590,40,0,0,0,632,13143,1404,115,6,8,14681
POA3031,34,53,9,0,0,93,3,20,3,0,0,31,6,13,3,0,0,27,12,26,7,0,0,49,18,33,8,0,0,61,39,94,78,0,0,216,37,113,98,0,0,249,84,182,142,6,0,412,54,170,47,0,3,279,80,176,28,0,0,284,60,84,9,0,0,155,23,25,15,0,0,63,451,995,454,8,8,1910
POA3032,103,55,37,0,0,191,28,20,15,0,0,59,30,7,9,0,0,48,30,29,9,0,0,70,34,38,37,0,0,108,132,118,87,0,0,336,158,154,143,0,0,452,240,243,191,3,0,680,179,179,61,0,0,424,298,164,35,0,0,492,216,101,23,0,0,343,89,41,15,0,0,139,1534,1143,662,5,5,3350
POA3033,97,12,0,0,0,113,32,5,0,0,0,37,22,9,0,0,0,28,38,7,0,0,0,48,58,18,0,0,0,75,129,40,0,0,0,171,145,44,4,0,0,197,252,76,7,0,0,332,179,40,0,0,0,223,163,46,0,0,0,209,84,12,0,0,0,95,89,13,0,0,0,105,1286,326,10,0,0,1633
POA3034,50,18,0,0,0,64,21,7,0,0,0,26,12,7,0,0,0,18,22,7,0,0,0,20,32,7,0,0,0,39,111,33,0,0,0,147,97,44,0,0,0,138,157,47,0,0,0,208,102,35,0,0,0,138,89,33,0,0,0,119,55,11,0,0,0,65,50,21,0,0,0,64,783,258,7,5,0,1057
POA3036,35,0,0,0,0,37,13,0,0,0,0,13,9,0,0,0,0,10,14,0,0,0,0,17,24,0,0,0,0,24,62,3,0,0,0,72,106,10,0,0,0,116,137,8,0,0,0,146,88,3,0,0,0,93,99,7,0,0,0,104,58,0,0,0,0,56,43,3,0,0,0,45,700,34,0,0,0,740
POA3037,312,46,3,0,0,362,137,16,0,0,0,151,107,23,0,0,0,127,210,38,0,0,0,251,309,67,0,0,0,379,974,176,17,0,0,1163,1180,276,13,0,3,1474,1733,213,7,0,0,1951,761,61,0,0,0,819,485,48,0,0,0,531,248,21,0,0,0,271,368,35,3,0,0,406,6827,1011,46,0,8,7890
POA3038,183,14,0,0,0,202,76,8,0,0,0,87,70,5,0,0,0,78,138,17,0,0,0,152,155,19,0,0,0,171,429,50,0,0,0,486,433,46,5,0,0,488,628,52,4,0,0,682,263,13,0,0,0,283,204,10,0,0,0,217,100,9,0,0,0,110,196,13,0,0,0,210,2881,265,14,3,3,3164
POA3039,73,12,14,0,0,94,21,7,0,0,0,27,18,7,3,0,0,20,30,10,4,0,0,49,28,13,8,0,0,53,85,26,30,0,0,148,92,41,34,0,3,169,148,53,59,0,0,264,113,30,22,0,0,169,183,67,9,0,0,262,215,26,5,0,0,246,60,11,8,0,0,77,1054,300,209,3,4,1569
POA3040,128,24,11,0,0,166,42,12,3,0,0,56,19,9,10,0,0,44,41,13,7,0,0,59,50,17,21,0,0,86,163,59,56,0,0,272,167,62,79,0,0,310,247,83,114,0,3,453,198,68,41,0,0,309,298,69,32,0,4,398,388,56,11,0,5,455,128,22,12,0,0,163,1868,485,404,3,11,2769
POA3041,74,15,7,0,0,96,27,3,0,0,0,32,28,6,4,0,0,35,30,9,0,0,0,40,41,10,7,0,0,55,133,25,10,0,0,171,96,38,22,0,0,158,190,56,25,3,0,270,122,39,7,0,0,170,179,41,10,0,0,227,149,21,0,0,0,173,52,5,0,0,0,65,1119,270,93,0,6,1494
POA3042,72,24,0,0,0,101,36,3,0,0,0,36,18,6,0,0,0,29,44,25,0,0,3,73,52,25,0,0,0,82,160,66,9,4,0,239,182,99,6,3,3,291,295,141,9,0,0,449,165,70,4,4,0,240,158,53,0,0,0,215,74,28,0,0,0,101,75,24,0,4,0,102,1336,569,31,21,8,1950
POA3043,77,16,0,0,0,93,58,8,0,0,0,64,43,5,0,0,0,47,60,16,0,0,0,72,91,25,0,0,0,123,279,74,0,0,0,354,340,88,0,0,0,430,471,87,0,0,0,563,163,15,0,0,0,177,107,10,0,0,0,113,55,4,0,0,0,61,83,11,0,0,0,94,1824,362,5,0,3,2196
POA3044,109,37,6,0,0,146,45,13,3,0,0,65,46,7,0,0,0,59,54,32,3,0,0,91,91,23,7,0,0,124,249,127,17,0,0,394,302,143,36,3,0,482,417,277,30,3,0,730,311,134,13,0,0,458,320,68,6,0,4,395,178,36,0,0,0,210,109,26,4,0,0,138,2236,930,119,6,5,3297
POA3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3046,148,32,6,0,0,185,60,6,3,0,0,71,44,9,10,0,0,58,88,34,8,0,0,135,119,47,7,0,4,179,339,164,41,0,8,545,399,231,45,0,0,667,569,351,35,0,3,956,287,83,10,0,3,381,184,58,3,0,0,242,82,29,0,0,0,114,129,26,6,0,0,158,2446,1064,170,3,15,3693
POA3047,87,6,4,3,0,96,45,0,4,4,0,56,41,3,3,0,0,48,73,4,3,0,0,82,87,9,12,3,0,106,362,35,31,6,0,432,318,51,43,3,0,416,179,16,19,0,0,208,43,3,3,0,0,56,30,3,4,0,0,35,19,0,3,0,0,23,62,6,4,0,0,76,1337,141,142,24,0,1641
POA3048,112,18,0,0,0,124,75,14,0,0,0,87,59,5,0,0,0,65,86,16,0,0,0,101,127,29,0,0,0,159,397,62,0,0,0,466,425,50,5,0,0,484,238,17,0,0,0,255,41,12,0,0,0,49,27,3,0,0,0,34,20,5,0,0,0,27,87,16,0,0,0,99,1699,243,11,0,0,1959
POA3049,59,4,0,0,0,62,34,0,0,0,0,33,24,0,0,0,0,26,50,6,0,0,0,57,61,5,0,0,0,65,183,28,0,0,0,206,204,44,0,0,0,254,297,42,0,0,0,342,121,6,0,0,0,126,69,9,0,0,0,82,32,0,0,0,0,31,57,9,0,0,0,69,1189,157,0,0,3,1354
POA3050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3051,5,26,25,0,0,58,0,8,3,0,0,19,0,3,3,0,0,8,0,5,8,0,0,16,3,15,15,0,0,30,3,24,53,0,0,83,5,34,90,0,0,134,9,57,117,0,0,182,13,38,55,0,0,112,12,59,40,0,0,117,27,85,25,0,3,134,5,12,21,0,0,38,88,372,452,4,3,923
POA3052,4,12,6,0,0,25,0,0,4,0,0,4,0,3,7,0,0,11,0,3,3,0,0,7,0,3,9,0,0,15,0,5,18,0,0,28,4,10,23,0,0,34,3,13,25,0,0,41,0,5,16,0,0,20,0,27,3,0,0,33,8,40,3,0,0,51,0,12,0,0,0,12,23,137,121,0,0,283
POA3053,0,22,34,0,0,55,0,3,8,0,0,13,0,4,5,0,0,9,0,3,12,0,0,12,0,4,22,0,0,27,3,14,78,0,0,93,3,13,68,0,0,83,3,19,123,0,0,150,0,26,37,0,0,64,3,28,37,0,0,66,3,38,22,0,0,61,0,12,17,0,0,26,14,184,461,3,4,662
POA3054,12,38,13,0,0,58,0,10,0,0,0,9,0,14,3,0,0,19,0,9,3,0,0,8,0,11,5,0,0,17,5,30,14,0,0,54,3,44,16,0,0,68,4,71,24,0,0,96,3,44,10,0,0,56,9,71,3,0,0,84,20,94,0,0,0,114,3,15,0,0,0,20,64,450,88,3,4,608
POA3055,43,14,17,0,0,71,17,3,11,0,0,31,5,7,3,0,0,21,21,5,9,0,0,36,34,15,22,0,0,71,59,43,71,0,0,175,78,42,85,0,0,212,137,69,94,0,0,300,93,55,33,0,0,181,124,50,15,0,0,193,99,14,6,0,0,122,35,15,12,0,0,60,744,326,376,4,5,1459
POA3056,72,34,19,0,0,122,34,17,15,0,0,61,16,12,7,0,3,30,25,19,5,0,0,57,39,16,20,0,0,78,107,61,83,3,0,256,91,81,113,3,0,284,193,150,170,0,4,522,130,98,72,0,0,298,207,114,50,3,3,372,149,62,19,0,0,230,49,25,19,0,0,92,1106,681,591,11,10,2399
POA3057,23,21,9,0,0,58,5,6,3,0,0,12,4,5,3,0,0,14,12,8,3,0,0,29,10,4,12,0,0,30,37,35,40,0,0,115,43,48,76,0,4,167,60,77,127,0,0,262,42,61,52,0,0,157,55,57,29,0,0,140,46,42,9,0,0,100,13,16,12,0,0,36,351,373,385,3,7,1121
POA3058,153,37,0,0,0,199,52,17,3,0,0,73,62,6,0,0,0,71,69,23,3,0,0,90,106,34,4,0,3,152,317,99,40,0,0,455,319,128,52,0,4,511,561,192,51,0,0,803,405,138,15,0,0,569,415,100,7,0,0,522,223,30,7,0,0,256,133,33,8,0,0,174,2825,844,192,3,8,3868
POA3059,104,0,0,0,0,104,35,0,0,0,0,38,39,0,0,0,0,39,41,3,0,0,0,42,73,0,0,0,0,78,257,20,0,0,0,280,309,21,0,0,0,327,554,14,0,0,0,571,361,0,0,0,0,365,244,3,0,0,0,248,147,3,0,0,0,150,141,3,0,0,0,142,2312,62,0,0,4,2381
POA3060,46,4,0,0,0,52,29,3,0,0,0,30,19,3,0,0,0,25,37,3,0,0,0,36,62,4,0,0,0,65,142,24,5,0,0,168,200,30,0,0,0,228,279,37,3,0,0,319,114,8,3,0,0,123,52,8,0,0,0,56,40,3,0,0,0,42,57,7,0,0,0,61,1066,125,9,0,0,1202
POA3061,31,0,0,0,0,36,11,0,0,0,0,11,8,0,0,0,0,6,19,0,0,0,0,18,26,4,0,3,0,27,86,10,0,0,0,92,129,9,0,0,0,138,71,3,0,0,0,72,19,0,0,0,0,18,9,0,0,0,0,11,7,0,0,0,0,7,30,0,0,0,0,30,440,21,3,3,3,471
POA3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3063,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,5,0,0,0,0,5,3,0,0,0,0,3,17,0,0,0,0,17,10,0,0,0,0,10,12,0,0,0,0,12,8,0,0,0,0,8,7,0,0,0,0,7,78,0,0,0,0,78
POA3064,355,22,0,0,0,381,146,15,3,0,0,165,149,6,0,0,0,155,255,13,0,0,0,270,421,30,0,0,0,449,1569,119,16,0,3,1701,2685,236,24,0,0,2946,3263,184,8,0,3,3450,862,33,0,0,0,895,532,22,0,0,0,554,288,18,3,0,0,303,476,33,0,0,0,512,11009,715,47,5,6,11781
POA3065,8,21,11,0,0,44,4,3,3,0,0,11,4,7,10,0,0,22,8,11,8,0,0,19,0,11,14,0,0,24,9,22,25,0,0,58,10,27,33,0,0,74,22,33,68,0,3,129,14,29,42,0,0,89,15,58,40,0,0,116,30,59,34,0,0,125,7,17,17,0,0,37,129,297,312,3,3,740
POA3066,3,11,16,0,0,29,5,3,0,0,0,7,3,4,0,0,0,10,3,0,6,0,0,10,5,3,9,0,0,22,10,10,49,3,0,71,9,9,51,0,0,76,31,38,108,0,0,178,15,23,69,0,0,112,14,45,69,0,0,127,19,21,43,0,0,84,13,4,10,0,0,29,130,187,425,7,0,756
POA3067,15,23,28,0,0,59,5,9,5,0,0,13,4,11,3,0,0,16,0,7,3,0,0,10,5,10,10,0,0,22,8,23,36,0,0,71,7,37,50,0,0,102,27,49,117,0,0,187,15,41,61,0,0,116,20,56,46,0,0,126,14,59,27,0,0,104,7,5,7,0,0,26,125,327,388,3,0,840
POA3068,29,82,19,0,0,123,11,17,14,0,0,35,4,20,4,0,0,27,10,35,14,0,0,65,12,29,13,0,0,57,32,83,59,0,0,177,26,92,57,0,0,169,53,164,94,0,0,307,41,137,48,0,0,232,60,181,45,0,0,287,86,195,24,0,0,309,21,44,10,0,0,76,383,1078,409,5,4,1874
POA3070,101,46,13,0,0,159,29,14,3,0,0,51,28,7,7,0,0,40,38,15,13,0,0,65,55,21,17,0,0,91,131,66,63,0,0,258,131,92,68,0,0,290,250,157,105,10,0,513,182,99,38,0,0,321,255,156,30,0,0,442,261,94,15,0,0,375,70,21,10,0,0,104,1530,791,374,10,3,2701
POA3071,75,23,5,0,0,106,34,9,9,0,0,47,27,3,4,0,0,36,32,9,10,0,0,47,46,15,20,0,0,87,146,51,65,3,3,270,139,40,72,0,0,249,249,91,53,0,0,399,148,56,23,0,0,231,188,54,12,0,3,259,165,28,6,0,0,202,58,16,14,0,0,85,1310,401,299,4,6,2026
POA3072,137,33,9,0,0,177,44,20,0,0,0,67,39,15,5,0,0,59,76,34,10,3,0,116,103,27,10,0,0,144,274,95,61,4,0,437,270,137,82,3,0,493,454,181,103,6,0,745,266,130,21,0,0,418,330,72,18,4,0,418,148,37,10,0,0,193,118,29,8,0,3,163,2261,802,329,23,8,3429
POA3073,181,56,3,3,0,245,84,23,5,0,0,110,65,19,0,0,0,89,102,47,3,0,0,155,153,62,13,0,0,224,464,226,26,3,0,715,526,328,32,0,4,889,794,342,25,7,3,1169,397,92,3,3,3,492,334,56,3,0,0,397,139,29,0,0,0,175,177,50,5,0,0,237,3422,1323,123,17,17,4899
POA3074,87,10,3,0,0,93,33,7,0,0,0,39,43,3,3,0,0,47,62,10,3,0,0,70,88,14,3,0,0,103,259,45,20,0,0,317,314,48,21,0,5,387,352,21,14,0,0,385,78,7,3,0,0,89,52,5,0,0,0,56,27,0,0,0,0,27,89,7,3,0,0,102,1482,159,67,3,4,1714
POA3075,112,8,3,0,0,116,43,0,0,0,0,45,51,3,3,0,0,55,66,0,4,0,0,70,89,3,5,0,0,102,283,30,26,0,0,338,411,35,22,0,0,465,490,22,16,0,3,540,166,0,3,0,0,173,120,3,3,0,0,121,59,4,0,0,0,63,105,3,4,0,0,106,1987,116,93,0,4,2203
