POA_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
POA3013,341,205,85,32,3,0,976,5,132,173,148,70,12,3,0,540,183,1049,1116,512,238,61,14,6,3179,75,265,323,230,117,39,19,8,1080,98,292,248,258,190,77,41,24,1234,19,20,15,8,10,3,0,0,76,15,31,40,42,21,13,7,3,168,132,338,303,311,217,98,50,27,1479,0,22,25,11,4,5,8,0,76,81,165,196,150,94,69,73,80,918,494,2282,2483,1559,834,307,176,120,8245
POA3015,401,269,142,38,5,0,1103,0,107,183,147,102,26,0,3,574,155,942,1257,572,284,98,19,4,3338,79,295,371,311,168,71,12,5,1314,159,335,352,393,281,105,54,33,1707,11,23,15,13,10,5,5,0,82,7,28,49,50,35,14,7,3,191,180,381,413,458,325,116,65,38,1980,3,20,22,18,14,3,0,6,89,90,169,176,125,130,98,94,69,949,515,2162,2829,1895,1156,453,207,133,9351
POA3016,298,370,230,101,12,3,1156,5,50,116,175,157,56,14,0,568,177,522,706,752,475,227,64,17,2941,59,126,231,315,251,160,36,13,1195,95,185,187,296,237,156,65,36,1262,14,17,8,15,9,8,3,0,76,7,14,30,43,38,23,11,11,182,116,217,223,350,294,189,87,47,1523,5,10,18,22,17,16,7,4,91,116,110,132,179,167,132,89,58,988,489,1158,1728,2164,1594,876,309,146,8459
POA3018,191,127,71,29,3,0,589,9,74,70,72,60,21,3,0,317,84,513,578,296,186,88,45,16,1810,59,191,241,251,146,87,40,16,1038,113,251,277,317,270,185,105,49,1572,10,7,15,13,10,3,0,0,61,16,24,36,44,31,36,12,6,215,132,281,335,378,314,230,119,57,1849,3,8,17,10,10,16,8,6,83,69,105,139,124,132,147,130,77,925,368,1337,1572,1262,929,626,351,165,6605
POA3019,86,14,10,3,0,0,310,3,26,28,9,3,3,0,0,71,193,484,244,88,67,30,3,0,1101,76,189,127,75,57,15,3,5,546,79,169,134,115,92,38,20,5,657,17,17,7,15,4,0,0,0,55,12,27,20,23,14,9,3,3,112,106,211,159,150,109,47,24,5,823,11,17,10,11,6,9,0,0,72,117,157,103,97,95,81,48,20,728,528,1265,753,444,355,191,82,31,3647
POA3020,325,123,67,26,7,0,1185,16,122,144,75,46,19,6,0,427,546,1958,1046,500,317,137,39,7,4546,330,933,623,401,272,109,36,4,2696,466,952,794,676,542,317,152,56,3951,49,73,55,76,53,11,3,0,327,48,107,112,105,71,37,12,11,502,566,1127,960,855,661,366,170,68,4772,26,84,57,31,38,22,7,0,275,570,699,514,467,443,480,371,215,3758,2114,5509,3663,2454,1843,1153,624,293,17659
POA3021,258,77,49,33,9,0,959,32,115,71,40,35,16,3,3,321,575,1713,901,452,356,179,43,7,4222,452,1259,625,422,329,163,38,7,3296,652,1165,918,843,749,544,231,57,5152,82,105,94,65,49,22,6,3,419,70,136,126,138,127,58,19,3,682,802,1409,1139,1039,915,623,253,61,6250,39,93,59,49,40,27,10,7,308,780,884,674,621,670,668,399,129,4816,2731,5950,3717,2697,2396,1710,754,215,20170
POA3022,21,7,0,6,0,0,77,0,16,10,3,4,0,0,0,42,24,109,71,25,16,4,0,0,253,17,85,71,16,17,15,4,0,225,43,93,71,57,46,28,13,8,360,9,3,10,5,3,3,0,0,32,4,15,10,6,3,3,0,0,44,55,116,90,74,53,29,11,7,436,0,5,0,0,0,3,0,0,9,29,63,30,26,36,30,27,33,280,127,434,295,158,126,83,50,37,1318
POA3023,737,273,109,58,7,0,1815,35,174,252,128,57,20,12,0,677,588,2381,2387,1162,511,226,55,3,7310,397,1214,1339,788,387,141,37,15,4317,703,1448,1639,1209,770,403,122,23,6316,85,105,113,64,53,17,4,0,448,69,155,277,184,127,65,15,5,895,848,1710,2026,1453,949,486,138,31,7652,26,87,96,53,51,24,6,3,352,830,1116,1037,761,531,425,200,72,4963,2771,7263,7885,4620,2595,1375,456,124,27089
POA3024,398,67,37,12,4,0,907,7,84,87,34,22,13,3,0,249,110,809,632,255,130,49,11,4,2002,146,630,482,289,168,67,9,4,1794,395,972,791,544,334,180,39,3,3256,37,53,46,33,12,0,0,0,185,35,75,89,52,38,16,3,0,308,461,1094,920,633,387,202,42,3,3749,5,29,27,24,13,15,8,0,125,232,312,240,206,187,112,79,22,1389,974,3347,2789,1509,947,469,158,33,10217
POA3025,125,37,15,8,3,0,323,3,51,53,32,21,3,0,0,159,86,488,386,146,62,26,8,7,1210,61,197,182,146,66,29,21,7,701,125,300,256,231,147,87,82,21,1249,16,25,16,15,6,4,0,3,82,19,35,32,30,19,15,7,0,153,156,355,303,274,176,103,88,25,1483,8,22,4,3,12,10,6,0,59,102,166,148,105,90,128,207,128,1072,422,1401,1200,739,435,312,336,161,5002
POA3026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,3,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,3,3,4,0,0,21,3,0,5,8,9,8,0,0,34
POA3027,293,69,17,6,0,0,754,3,36,70,25,3,3,0,0,141,83,614,418,129,62,20,0,0,1324,39,173,144,88,33,6,0,0,483,32,138,120,74,45,14,0,0,423,11,6,10,3,0,0,0,0,29,4,13,14,3,7,4,0,0,45,49,158,149,78,49,15,0,0,500,5,28,23,5,6,3,0,0,76,37,104,73,41,34,12,3,0,306,223,1470,1168,426,209,68,11,0,3579
POA3028,334,119,75,24,3,0,989,13,118,112,89,64,16,3,3,406,269,1234,809,397,269,116,39,4,3130,192,644,498,374,279,104,32,4,2133,388,821,644,735,608,270,96,31,3596,37,55,41,40,29,10,3,0,214,44,80,81,90,69,32,9,0,405,474,955,766,858,712,315,109,35,4215,15,45,33,41,26,19,9,0,195,303,372,300,313,310,253,159,79,2097,1290,3774,2852,2197,1730,848,347,127,13160
POA3029,1916,386,203,82,22,3,5186,27,325,368,171,123,47,5,0,1074,756,4370,3085,1312,746,263,65,17,10615,621,2578,1777,1143,692,272,61,16,7156,1124,2555,2196,1910,1221,628,221,43,9903,138,149,131,106,72,25,0,0,626,113,263,292,226,164,83,14,3,1162,1382,2967,2622,2243,1458,736,236,54,11697,39,201,153,86,72,49,21,3,617,1015,1707,1236,844,598,507,233,69,6216,3916,14647,11159,6185,3892,1954,642,158,42554
POA3030,2086,650,285,121,25,0,5077,33,375,500,283,190,56,18,3,1455,775,4305,4209,1797,894,390,95,21,12496,525,1943,2179,1542,832,340,114,28,7498,1182,2559,2485,2271,1388,629,231,63,10804,168,160,179,119,55,39,9,0,732,95,243,331,284,199,109,28,11,1298,1447,2962,2988,2675,1644,774,266,74,12832,43,153,180,104,84,53,23,8,637,837,1120,1041,859,715,623,413,262,5863,3722,12712,13191,7906,4637,2360,952,393,45865
POA3031,474,255,162,72,6,0,1761,13,246,169,114,109,47,4,0,701,429,1923,1069,478,274,104,42,5,4326,110,378,258,222,118,66,24,8,1194,148,343,237,171,128,47,23,17,1110,29,26,24,14,15,4,0,0,105,13,35,49,35,19,13,8,3,173,182,410,306,215,164,71,25,13,1386,11,27,27,10,12,9,3,3,103,231,459,309,204,186,138,99,34,1671,1021,4194,2613,1505,1027,519,206,66,11145
POA3032,563,345,228,95,14,0,2290,16,252,214,181,166,41,6,3,875,676,2350,1526,862,517,187,34,9,6165,234,669,495,426,276,135,39,7,2277,262,576,425,448,302,158,59,30,2257,43,43,38,31,23,7,3,0,183,36,84,70,74,57,35,7,3,366,346,696,534,554,383,201,69,35,2808,8,67,36,25,29,12,3,4,194,322,537,380,306,234,154,104,45,2075,1661,5555,3742,2700,1831,817,272,100,16685
POA3033,126,76,50,29,4,0,419,0,59,71,63,28,20,4,0,254,144,522,548,329,197,88,31,0,1856,67,185,248,220,150,128,46,3,1046,114,283,296,343,197,216,168,21,1649,8,6,17,24,19,8,3,0,87,7,22,45,47,22,32,24,3,193,132,316,361,411,243,255,190,29,1935,3,10,12,15,12,16,9,3,78,90,112,85,124,116,223,199,112,1052,442,1322,1454,1238,797,750,490,143,6638
POA3034,112,60,34,15,3,0,335,3,31,43,34,36,9,3,0,152,116,420,394,250,171,76,13,7,1451,51,189,171,143,96,69,32,9,756,98,223,227,227,140,164,110,25,1219,14,17,9,17,14,3,0,0,75,9,26,29,33,30,18,17,0,167,119,266,263,280,184,191,128,32,1456,3,5,19,4,8,11,4,6,62,76,100,97,96,105,181,180,82,926,378,1109,1105,874,646,550,364,125,5147
POA3036,41,37,34,12,0,0,153,3,12,30,31,28,11,0,0,107,86,159,159,163,114,59,20,6,767,30,54,80,125,96,82,17,9,496,50,102,124,166,132,116,42,16,756,6,4,10,6,8,9,0,0,47,5,9,12,22,12,15,3,3,78,67,118,148,192,153,134,43,19,878,3,0,4,8,6,12,4,4,48,36,29,37,56,60,69,46,31,360,223,403,495,621,491,370,142,68,2820
POA3037,475,199,94,29,3,0,1222,23,138,211,132,48,11,0,0,565,525,1730,1738,756,434,154,17,9,5368,364,949,1058,747,365,109,33,6,3634,682,1317,1571,1399,762,285,103,20,6131,83,77,84,74,40,12,3,0,376,75,108,198,183,102,42,15,4,730,845,1493,1854,1651,907,337,121,25,7233,21,59,67,55,34,24,3,4,273,489,422,499,436,362,288,176,153,2831,2299,5179,5905,3974,2245,963,362,195,21118
POA3038,136,127,88,27,3,0,572,16,64,57,104,66,17,6,0,325,419,786,627,579,421,143,27,8,3008,186,402,382,505,361,112,29,11,1993,353,600,575,807,664,314,94,31,3442,33,33,35,40,29,9,0,0,189,30,50,68,107,105,49,7,0,419,413,680,683,956,798,378,104,32,4047,13,38,19,48,52,21,5,3,201,228,215,187,247,301,237,104,35,1568,1302,2348,2091,2564,2089,944,279,90,11710
POA3039,296,177,128,63,10,0,1043,6,100,132,107,113,47,7,0,512,279,906,770,518,360,144,30,18,3024,93,252,217,256,163,89,34,15,1115,121,255,213,223,165,88,34,19,1112,19,6,7,8,5,5,0,0,56,10,22,24,40,25,20,8,7,158,146,282,245,276,188,118,41,25,1326,5,21,14,12,20,9,9,3,92,82,178,133,102,134,100,76,55,865,639,2081,1802,1437,1107,576,210,115,7969
POA3040,413,321,233,90,22,3,1660,9,161,166,192,199,54,18,0,797,444,1531,1142,1021,685,250,70,27,5169,162,401,384,429,401,191,85,35,2090,196,461,357,519,337,208,119,60,2258,28,21,29,28,16,11,3,3,134,22,42,37,78,79,28,24,9,317,247,525,422,628,432,248,139,74,2717,15,37,27,21,27,21,11,9,170,219,344,221,227,199,178,134,120,1640,1136,3534,2779,2841,2171,1026,477,276,14247
POA3041,132,139,105,33,5,0,589,3,51,92,89,80,33,8,4,369,162,530,564,404,330,110,34,12,2144,49,134,210,232,202,108,28,22,982,124,221,241,276,193,93,85,32,1261,13,17,15,11,9,3,3,0,67,4,14,46,37,31,23,12,8,170,145,250,296,327,230,114,97,35,1498,11,8,11,12,17,10,5,3,72,102,135,115,104,99,112,94,83,841,482,1274,1424,1305,1053,521,274,161,6491
POA3042,151,86,47,21,3,0,485,8,59,79,62,43,17,0,0,268,140,596,581,324,173,68,33,6,1911,80,290,337,288,185,84,38,9,1308,131,440,395,392,283,191,128,42,2001,24,16,19,21,14,3,0,0,100,14,39,40,53,34,35,5,5,222,169,500,458,460,330,230,132,43,2323,3,16,18,14,14,9,6,4,91,95,137,146,123,134,205,143,83,1065,512,1759,1758,1360,917,641,355,148,7458
POA3043,82,44,45,16,3,0,343,8,68,53,33,43,10,3,0,229,125,554,417,223,155,109,22,8,1607,101,321,334,216,172,105,43,7,1301,212,573,454,403,336,302,115,27,2419,29,31,26,26,20,9,0,0,143,21,44,53,69,45,44,7,6,290,251,645,531,495,412,357,128,31,2850,3,14,17,11,26,17,12,0,103,171,214,172,188,194,233,159,53,1375,661,1965,1609,1213,1036,856,376,97,7804
POA3044,451,221,116,49,14,0,1383,12,161,211,161,102,17,8,3,675,310,1491,1300,676,364,93,32,31,4304,147,519,523,438,251,93,47,28,2048,249,570,515,575,370,176,122,96,2685,30,28,21,30,9,16,6,3,135,18,55,71,77,47,29,22,15,325,296,651,610,677,429,216,147,115,3149,10,34,29,20,15,17,15,11,151,216,340,310,268,213,174,156,129,1802,1023,3712,3431,2463,1495,664,418,315,13518
POA3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,24,21,10,9,3,3,0,0,71,22,24,19,7,10,3,3,0,89
POA3046,499,129,69,30,3,3,1551,21,172,153,99,81,20,10,0,560,395,1922,1080,439,240,107,37,13,4235,231,828,603,424,229,95,56,19,2494,355,838,616,634,426,257,220,83,3424,45,44,51,42,21,11,6,0,217,29,92,72,73,64,31,28,20,399,428,970,749,741,506,292,254,104,4045,29,68,40,37,26,12,12,7,234,375,511,402,333,281,286,364,232,2786,1523,5250,3532,2207,1436,839,740,384,15899
POA3047,107,33,21,11,3,0,408,10,33,38,25,9,6,0,0,120,176,584,273,144,89,32,22,5,1331,160,399,235,174,100,30,20,4,1130,279,446,312,291,176,99,55,21,1669,54,48,31,29,15,4,0,0,185,26,58,54,33,35,5,7,0,222,359,551,392,360,229,108,61,20,2071,12,41,17,14,16,3,3,3,106,406,499,326,355,247,228,181,43,2286,1135,2329,1382,1101,711,423,288,77,7448
POA3048,67,22,13,3,3,0,184,5,35,26,23,12,4,0,0,107,154,359,188,132,94,22,10,0,953,122,276,199,193,79,24,17,0,911,257,367,296,279,182,89,60,3,1526,51,31,22,29,10,4,0,0,154,35,47,37,42,22,7,3,0,195,336,454,356,349,214,102,63,3,1877,10,29,23,11,9,5,0,0,87,246,229,231,234,197,161,118,23,1443,878,1456,1081,966,611,331,208,33,5565
POA3049,33,39,20,9,0,0,141,6,38,21,26,23,3,3,0,119,80,244,170,137,89,35,10,3,775,77,133,167,185,100,53,14,0,723,137,261,229,310,256,115,37,4,1348,9,23,13,13,15,8,0,0,77,12,25,32,32,26,22,4,0,151,158,308,279,347,292,140,43,4,1576,5,10,9,7,6,7,7,0,61,93,93,72,90,113,77,60,28,624,419,870,751,836,639,329,135,38,4017
POA3050,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,10,17,6,0,8,5,0,47,8,21,23,7,3,11,3,0,81
POA3051,379,211,132,75,28,5,1729,17,159,93,57,43,33,4,0,408,1058,1743,578,303,174,103,48,9,4018,150,255,151,90,88,48,21,0,813,134,189,99,94,51,27,8,6,614,29,8,16,19,0,3,0,0,70,20,29,17,27,20,8,6,0,123,179,224,130,134,75,36,13,6,805,25,27,11,16,3,5,3,0,96,512,484,243,169,146,105,74,27,1761,2049,3695,1588,984,668,399,189,49,9617
POA3052,152,92,87,75,37,12,876,10,65,24,21,19,12,10,3,152,430,636,174,119,90,64,44,10,1562,58,84,29,31,39,27,13,13,291,55,57,36,28,12,19,0,6,207,12,8,0,0,0,0,0,0,21,9,7,3,4,4,3,3,3,31,75,72,35,33,15,18,3,10,262,12,9,3,3,3,3,3,3,46,166,140,54,36,50,47,94,195,780,778,1385,472,332,299,247,201,250,3973
POA3053,340,154,124,77,25,14,1897,39,150,61,33,40,25,9,0,358,2017,1931,375,204,156,131,55,21,4890,347,277,105,76,67,39,27,13,943,139,192,77,55,43,33,19,6,571,23,14,4,6,4,0,0,0,64,28,37,20,20,8,15,4,3,140,196,243,106,80,55,55,25,10,776,88,34,11,8,7,3,0,3,163,774,486,192,173,105,70,56,22,1872,3627,4119,1189,739,551,397,200,84,10896
POA3054,251,208,159,155,46,9,1266,13,92,81,57,81,46,12,0,380,315,1042,441,262,226,197,41,13,2542,44,150,85,75,60,67,25,7,511,45,115,55,59,33,27,16,11,355,11,7,10,5,3,4,0,0,38,5,20,12,5,12,17,6,4,76,62,138,71,68,50,39,25,13,472,8,10,4,8,7,8,3,0,43,90,153,64,66,72,58,33,22,557,555,2003,1004,745,646,576,174,61,5777
POA3055,380,197,130,52,6,0,1313,16,170,148,115,93,32,7,0,581,361,1295,749,395,214,108,21,4,3158,102,358,212,168,107,49,10,13,1015,136,346,194,179,108,73,28,30,1090,19,15,14,13,11,3,0,0,75,6,29,27,33,21,11,8,3,131,166,390,237,221,134,86,41,28,1304,7,27,13,14,17,3,5,0,85,110,265,170,108,117,74,88,47,982,790,3029,1908,1214,813,404,180,102,8439
POA3056,839,398,280,97,22,0,2862,24,316,278,179,140,56,5,0,1004,795,2947,1448,663,352,168,35,12,6420,161,631,352,219,157,74,24,7,1626,212,522,292,204,166,63,46,15,1521,29,32,16,9,10,6,0,0,108,35,44,46,42,43,17,6,3,230,272,606,357,255,223,82,51,19,1857,21,47,28,22,17,13,7,0,157,269,516,295,203,130,96,92,45,1636,1601,6228,3603,1937,1284,590,234,83,15564
POA3057,349,179,109,56,16,0,1371,8,180,159,87,61,24,6,0,522,375,1570,699,297,162,72,21,4,3194,74,317,207,113,66,35,5,4,813,114,304,139,95,55,29,26,6,766,15,19,18,6,3,5,0,0,61,4,26,11,25,11,13,0,0,92,132,349,171,129,75,39,26,5,923,7,14,13,7,5,3,0,0,50,102,312,157,73,57,42,42,19,803,714,3373,1754,880,535,272,110,36,7671
