SA1_7DIGITCODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
2100438,0,0,11,114,122,49,54,163,72,566
2100439,3,3,7,86,128,58,54,125,43,495
2100440,0,0,0,73,80,28,34,67,26,309
2100441,3,3,14,76,104,57,66,147,64,506
2100442,4,0,4,73,96,42,27,54,16,298
2100443,0,0,0,15,17,5,4,9,7,52
2100444,0,0,3,56,81,16,23,80,30,296
2100445,3,6,19,93,136,42,45,88,55,475
2100446,0,5,7,61,63,24,28,56,38,271
2100447,0,3,3,72,79,38,54,77,26,349
2100448,4,3,9,60,63,36,28,78,30,307
2100449,36,0,44,17,38,7,10,130,28,239
2100451,4,0,3,89,89,42,41,61,11,331
2100452,3,0,10,78,111,39,35,93,28,381
2100453,0,0,0,94,107,36,36,52,25,344
2100454,0,0,3,115,118,46,59,73,34,443
2100455,0,0,0,104,84,30,32,74,31,356
2100456,0,0,0,102,109,36,37,64,24,373
2100501,0,0,0,63,78,48,42,41,14,279
2100502,6,3,10,141,170,90,67,71,48,582
2100504,8,4,12,87,120,70,42,76,56,446
2100505,0,0,0,115,33,6,0,127,8,289
2100506,0,0,0,127,124,32,35,70,20,407
2100507,0,4,5,69,89,48,41,33,30,307
2100508,0,0,0,71,105,34,34,66,22,333
2100509,3,0,10,33,70,35,24,29,18,205
2100510,0,3,9,53,79,34,36,36,30,268
2100511,0,0,3,51,63,58,16,37,9,226
2100512,0,0,0,52,60,29,23,39,18,226
2100513,0,0,0,61,75,53,36,49,23,297
2100514,0,0,0,35,40,34,10,19,15,147
2100515,4,3,12,67,82,53,37,51,32,318
2100516,0,0,0,63,86,39,23,38,24,279
2100517,3,0,7,97,79,46,33,60,44,371
2100518,3,0,5,89,136,69,45,56,35,432
2100519,3,0,6,52,71,37,22,36,38,257
2100601,3,0,3,41,49,30,41,80,59,301
2100602,0,0,3,75,98,43,40,86,17,358
2100603,0,0,7,77,87,39,28,57,15,300
2100604,0,0,6,72,81,48,23,37,20,279
2100605,0,0,0,260,329,127,110,186,39,1044
2100606,0,0,0,45,76,37,24,55,15,264
2100607,0,0,5,56,53,31,27,35,10,207
2100608,0,0,0,54,44,27,20,30,14,176
2100610,3,0,7,86,93,66,40,85,9,384
2100611,0,0,3,73,71,44,35,74,18,309
2100612,0,0,0,88,101,40,38,92,32,384
2100613,0,0,3,49,58,27,28,52,27,233
2100614,0,0,3,27,25,7,8,32,4,104
2100615,0,3,8,78,112,50,54,82,22,398
2100616,7,7,34,14,33,23,14,60,35,176
2100617,59,6,62,168,193,50,44,207,55,719
2100701,0,0,3,94,97,51,41,54,18,359
2100702,0,0,0,58,68,58,34,42,24,271
2100703,4,0,13,61,96,56,45,52,30,345
2100704,0,0,3,61,99,52,57,44,22,329
2100705,0,0,3,77,81,46,54,59,31,346
2100706,0,0,3,87,120,54,50,63,35,410
2100707,0,0,0,83,126,55,43,65,30,410
2100708,0,0,3,45,89,41,33,68,28,310
2100709,0,0,0,80,76,39,30,41,15,284
2100801,0,0,0,41,33,23,28,74,38,240
2100804,0,0,5,45,42,31,38,94,50,305
2100805,7,0,7,23,35,22,29,94,58,265
2100806,0,0,4,48,59,28,35,102,67,344
2100807,9,3,13,57,81,33,22,81,39,316
2100808,0,0,0,0,0,6,0,0,0,8
2100809,9,6,32,86,117,45,45,84,39,419
2100810,5,0,5,89,115,50,49,90,20,414
2100811,3,0,6,31,44,22,27,36,13,175
2100812,4,0,6,56,86,26,37,65,18,286
2100813,4,0,9,39,61,33,38,69,18,255
2100814,0,0,0,0,0,0,0,0,0,0
2100815,0,0,4,40,61,29,29,65,56,276
2100816,0,0,3,58,65,33,37,47,11,250
2100818,0,0,4,86,101,57,38,75,22,376
2100820,0,0,9,68,80,49,36,68,43,339
2100821,4,3,13,100,64,43,38,101,38,383
2100822,3,4,12,39,53,25,26,64,26,240
2100823,6,3,17,86,123,51,58,104,49,470
2100824,106,13,134,72,101,46,31,276,63,585
2100825,4,4,13,71,32,17,13,106,15,255
2100826,13,4,26,72,80,42,34,127,29,377
2100827,12,3,37,96,120,61,35,96,32,435
2100828,9,3,29,60,79,34,41,79,28,314
2100829,0,7,11,49,58,26,25,54,19,226
2100830,6,9,25,64,76,54,28,58,35,309
2100831,3,3,6,63,73,30,29,82,29,312
2100832,3,5,9,48,61,43,40,127,80,404
2100833,0,0,7,54,110,59,51,103,30,411
2100834,0,0,7,39,62,36,25,50,24,239
2100835,0,0,6,63,76,36,38,56,15,290
2100836,0,0,0,77,100,48,47,57,39,375
2100837,0,0,0,109,155,45,62,65,20,457
2100838,0,0,0,20,30,18,10,26,8,113
2100839,0,0,0,0,0,0,0,0,0,0
2100840,3,0,3,36,52,31,25,61,16,213
2100841,0,0,0,32,49,25,22,19,4,150
2100842,0,0,0,30,55,23,16,41,13,178
2100843,0,3,7,64,94,27,27,62,35,306
2100844,0,0,0,99,107,38,40,54,12,342
2100845,0,0,0,24,31,15,15,24,7,111
2100901,3,3,5,91,113,69,64,86,34,455
2100902,0,0,0,42,82,29,30,30,8,230
2100903,0,0,0,65,92,40,31,63,21,307
2100904,0,0,3,46,56,33,20,32,6,188
2100905,0,0,0,37,76,32,24,39,33,237
2100906,0,0,0,30,54,36,28,42,22,210
2100907,0,0,3,60,83,36,34,42,44,299
2100908,0,0,8,29,66,31,45,31,40,241
2100909,0,0,0,42,83,45,38,40,32,279
2100910,0,0,0,46,57,42,42,58,22,271
2100911,0,0,3,46,65,42,30,46,26,254
2100912,0,3,3,57,88,33,24,46,24,275
2100913,18,4,24,70,105,52,41,71,44,385
2100914,0,0,0,26,40,21,30,30,18,172
2100915,0,4,7,46,64,44,21,59,24,256
2100916,12,3,26,61,81,39,35,63,42,318
2100917,0,0,4,90,112,57,48,68,31,401
2101001,0,0,0,56,85,41,33,49,35,298
2101002,0,3,8,67,91,53,40,74,48,377
2101003,3,3,18,41,56,32,33,46,20,221
2101004,55,19,72,43,53,28,29,139,72,364
2101005,19,3,22,18,35,25,13,61,29,181
2101006,0,0,6,75,119,56,41,59,41,389
2101007,0,0,3,79,84,51,30,39,29,318
2101008,0,0,3,64,81,51,45,46,62,347
2101009,0,0,4,32,55,24,23,24,48,208
2101010,0,3,9,33,60,33,33,65,28,250
2101011,3,0,3,66,62,38,43,44,19,269
2101012,5,3,21,57,103,58,58,76,51,402
2101013,3,0,4,59,79,46,46,67,34,335
2101014,3,0,3,36,77,42,36,58,27,272
2101015,0,0,3,44,60,39,32,50,27,249
2101016,3,0,9,49,62,29,30,40,40,253
2101017,3,0,6,62,55,31,29,49,14,235
2101018,3,0,11,41,75,33,42,44,36,272
2101021,0,0,3,45,45,44,21,42,28,231
2101022,0,3,4,32,44,18,19,36,19,172
2101023,0,3,11,32,55,27,26,57,34,234
2101024,3,3,8,40,70,65,38,57,41,305
2101025,0,0,4,59,69,36,48,45,37,295
2101101,0,3,5,69,109,59,36,52,46,372
2101102,0,0,4,38,60,21,15,22,34,183
2101103,0,0,0,35,66,26,45,30,37,240
2101104,3,0,8,35,46,24,24,31,16,176
2101105,0,0,3,47,69,38,29,41,28,255
2101106,7,3,11,53,109,61,40,57,53,380
2101107,7,0,10,70,117,65,55,55,21,384
2101108,4,4,9,42,84,30,15,16,17,200
2101109,5,21,22,30,71,41,28,33,77,286
2101110,5,0,10,60,105,47,40,56,47,357
2101111,0,0,0,68,69,42,33,28,18,246
2101112,10,8,21,87,147,66,50,116,77,542
2101113,0,3,7,84,115,67,38,53,60,406
2101114,3,0,7,65,80,35,28,55,13,280
2101115,16,11,35,74,95,55,39,85,45,386
2101116,10,3,19,61,81,28,34,39,20,272
2101117,0,9,10,55,83,39,23,42,27,268
2101118,34,0,33,65,55,52,45,105,19,347
2101119,0,0,4,55,70,43,44,44,32,295
2101120,0,0,3,44,93,31,39,39,24,269
2101121,0,0,0,43,94,39,36,53,38,296
2101122,3,0,4,63,112,68,49,48,30,370
2101123,5,0,6,36,72,47,23,41,33,244
2101124,0,0,0,33,49,34,21,27,25,203
2101125,4,3,12,51,115,50,45,65,33,361
2101201,3,3,10,54,74,36,45,50,43,297
2101202,0,0,0,28,39,23,11,29,18,149
2101203,0,0,3,58,109,52,42,54,23,344
2101204,0,0,0,23,46,22,32,33,27,183
2101205,0,0,0,54,89,42,47,43,16,290
2101206,0,3,9,46,74,37,23,27,27,234
2101207,0,0,0,38,65,38,22,29,20,208
2101208,0,0,3,46,46,21,20,32,14,188
2101209,0,3,9,56,84,31,36,45,42,285
2101210,3,0,4,64,77,52,53,48,36,330
2101211,0,0,5,60,74,39,48,54,54,326
2101212,0,0,0,31,48,27,28,28,28,191
2101213,0,0,0,64,71,41,34,39,39,289
2101214,0,4,6,76,105,48,28,58,53,369
2101215,0,0,0,39,50,20,23,31,12,178
2101216,3,0,3,52,85,44,43,50,29,317
2101217,3,0,4,66,117,53,54,47,43,374
2101301,0,0,5,59,94,52,46,80,35,360
2101302,0,0,3,38,41,25,25,47,17,198
2101303,0,0,4,47,56,38,42,41,43,258
2101304,0,0,7,54,79,63,52,49,36,342
2101305,0,0,6,58,84,54,62,65,33,356
2101306,19,0,18,21,58,30,38,76,23,250
2101307,0,3,7,31,38,19,45,60,14,216
2101308,3,4,9,57,91,65,63,80,55,406
2101309,0,7,8,26,46,28,26,38,20,192
2101310,0,0,6,33,57,28,27,37,39,221
2101401,5,13,17,63,85,37,39,82,62,367
2101402,21,9,32,47,41,23,20,90,42,260
2101403,0,0,6,55,104,59,51,54,42,365
2101404,0,0,7,56,100,57,71,63,51,396
2101405,0,0,8,51,51,28,29,21,7,177
2101406,3,3,10,60,63,28,29,42,400,625
2101407,0,0,5,48,52,28,33,55,36,252
2101408,0,0,0,61,79,38,59,56,36,328
2101409,0,0,11,47,48,29,27,41,20,217
2101410,0,0,3,23,39,13,16,24,9,126
2101411,4,0,6,43,75,40,36,66,23,275
2101412,5,3,12,40,59,39,31,84,31,280
2101413,0,0,0,0,0,0,4,6,0,10
2101501,7,0,9,80,140,63,44,96,34,456
2101502,0,0,3,53,74,43,35,34,22,261
2101503,0,0,0,60,88,46,38,63,28,318
2101504,0,3,3,30,49,31,38,43,29,218
2101505,7,0,6,45,79,48,77,86,34,358
2101506,5,0,7,53,86,43,45,74,41,332
2101507,4,0,4,79,119,77,49,89,41,441
2101508,3,0,8,41,54,27,34,43,22,227
2101509,0,4,11,64,107,50,46,45,34,346
2101510,0,0,0,51,40,17,29,26,27,183
2101511,0,0,0,38,46,39,32,32,19,211
2101512,3,0,3,42,63,35,35,42,19,242
2101601,0,3,5,22,44,17,22,39,20,167
2101602,12,6,28,82,92,47,41,139,54,455
2101603,4,3,14,44,63,48,35,72,31,288
2101604,3,0,8,53,73,42,36,55,30,291
2101605,0,0,3,42,40,17,21,60,28,208
2101606,0,0,9,61,76,55,42,76,52,364
2101607,3,3,10,63,96,68,70,73,47,414
2101608,5,0,5,49,76,36,34,64,30,289
2101609,3,6,7,47,72,36,38,72,61,321
2101610,5,7,21,78,88,53,48,100,40,404
2101611,0,0,3,31,34,14,25,44,20,178
2101612,0,6,12,92,104,64,35,87,36,414
2101613,54,7,67,58,87,45,44,199,33,472
2101614,8,0,8,98,101,60,50,99,42,455
2101615,37,12,60,24,34,23,17,104,47,247
2101616,9,6,22,70,76,43,41,95,49,373
2101617,4,3,14,48,64,45,25,66,36,283
2101618,11,15,37,34,56,30,43,74,53,291
2101619,0,0,9,63,89,35,55,89,40,370
2101620,5,0,7,39,53,32,20,61,25,235
2101621,3,0,4,24,42,27,35,36,16,179
2101701,3,4,7,45,63,52,40,74,36,314
2101702,3,3,7,44,58,33,30,31,21,218
2101703,3,0,7,43,59,38,30,46,13,222
2101704,7,3,9,39,49,31,35,70,29,254
2101705,8,0,16,37,68,30,39,79,39,293
2101706,3,0,3,47,64,47,20,47,17,240
2101707,0,6,11,54,72,60,51,59,50,353
2101708,3,0,9,45,57,30,25,61,26,252
2101709,0,0,3,46,107,72,50,62,29,373
2101710,3,0,3,57,76,73,49,96,50,392
2101711,4,0,12,59,72,43,55,62,33,319
2101712,0,0,4,76,116,61,54,89,60,455
2101713,3,0,4,46,68,42,36,60,20,278
2101714,0,0,3,46,91,48,34,53,24,299
2101715,0,4,7,38,55,34,33,46,15,223
2101801,6,0,9,70,90,37,38,105,60,392
2101802,0,0,3,60,48,26,15,32,22,202
2101803,3,3,10,79,95,44,32,80,65,396
2101804,66,32,96,35,46,19,22,147,64,335
2101805,0,48,55,58,74,25,27,59,157,403
2101806,4,3,15,60,92,35,31,58,41,319
2101807,4,0,13,74,89,38,51,89,39,378
2101808,0,0,0,41,47,34,17,41,21,191
2101809,6,4,9,71,89,25,28,73,40,321
2101810,6,0,4,47,49,27,19,71,33,253
2101811,3,0,4,50,70,32,25,97,64,339
2101812,3,4,4,28,33,16,21,75,34,211
2101813,0,3,4,77,134,41,33,67,27,381
2101814,0,0,3,44,50,22,15,37,9,183
2101815,0,0,5,91,125,49,27,63,35,388
2101816,0,0,3,119,88,41,36,68,47,402
2101817,0,4,16,79,75,57,51,86,49,399
2101818,3,0,15,83,76,39,42,66,48,354
2101819,6,0,5,37,56,18,31,45,13,190
2101820,3,26,25,18,20,21,7,35,67,174
2101821,0,3,7,76,100,34,20,46,21,289
2101822,0,0,3,72,86,38,16,33,35,271
2101823,3,0,5,56,78,45,30,70,34,308
2101824,0,0,0,107,127,69,24,63,22,411
2101825,41,6,54,58,73,30,24,96,34,313
2101826,0,0,4,44,73,25,18,35,29,227
2101827,0,3,17,86,128,39,40,105,29,422
2101828,5,4,9,52,52,40,33,84,47,302
2101829,4,0,6,55,72,21,20,30,45,235
2101830,4,3,11,113,186,69,41,108,36,544
2101831,3,6,10,91,119,50,27,84,40,411
2101832,7,3,13,61,77,36,29,82,27,318
2101833,4,0,13,100,107,50,30,72,17,385
2101834,0,0,4,75,72,40,29,44,19,284
2101835,8,0,12,114,137,38,41,89,39,462
2101836,0,0,0,30,32,14,28,42,27,170
2101837,3,4,7,64,97,45,32,93,34,366
2101838,0,0,3,30,42,31,11,47,20,185
2101901,3,5,17,77,85,46,41,116,54,424
2101902,4,4,15,103,115,51,59,133,42,500
2101903,10,0,14,41,78,37,32,74,29,288
2101904,0,3,4,83,86,36,52,88,40,388
2101905,7,3,19,114,115,63,55,109,57,503
2101906,0,0,0,19,30,7,16,20,13,110
2101907,3,3,6,148,190,77,78,124,125,754
2101908,6,0,9,87,105,48,39,79,81,442
2101909,8,3,19,124,126,49,67,115,50,528
2101910,3,0,4,63,82,41,30,67,50,328
2101911,0,0,4,70,62,31,26,50,33,276
2101912,0,0,4,213,248,86,86,141,64,830
2101913,3,3,13,68,83,48,41,103,31,371
2101914,10,9,22,64,61,46,39,99,64,374
2101915,0,0,3,63,80,32,23,71,33,308
2101916,40,3,47,37,52,35,20,111,27,283
2101917,0,3,3,26,41,19,13,32,22,163
2101918,0,0,0,40,68,19,27,61,32,253
2101919,3,4,9,78,111,42,54,83,34,405
2101920,3,0,8,149,202,79,68,119,86,700
2101921,0,0,0,78,98,46,52,78,67,411
2101922,3,0,10,98,119,55,37,104,41,460
2101923,0,3,9,44,71,21,21,56,32,244
2101924,3,0,3,47,60,33,35,52,24,253
2102001,0,0,9,37,58,24,18,43,31,225
2102002,3,4,14,52,49,26,12,35,12,187
2102003,7,0,12,41,76,32,23,42,25,247
2102004,6,3,18,66,88,37,29,71,30,321
2102005,12,8,22,99,108,32,33,102,36,403
2102006,34,5,48,77,101,32,30,93,41,389
2102007,3,0,3,57,58,19,21,44,17,211
2102008,0,0,3,39,45,29,18,29,11,168
2102009,0,0,4,63,68,38,35,44,7,260
2102010,3,0,7,57,119,43,39,53,23,334
2102011,0,0,13,127,151,71,41,80,33,500
2102012,3,0,16,46,71,36,32,47,19,252
2102013,3,0,8,50,73,33,24,44,9,235
2102014,0,0,0,55,57,36,21,39,18,225
2102015,3,5,19,78,91,35,25,52,21,298
2102016,0,0,3,51,65,23,22,38,16,218
2102017,51,0,63,40,45,27,24,113,9,259
2102018,11,0,21,93,116,62,45,90,23,430
2102019,6,3,17,102,97,59,54,101,43,459
2102020,0,7,5,43,52,28,16,55,14,200
2102021,6,3,11,65,113,55,53,72,28,389
2102022,4,0,6,55,55,25,31,41,3,204
2102023,3,3,6,47,49,22,18,44,13,189
2102024,3,0,7,58,105,32,25,78,29,332
2102025,3,0,13,107,124,59,35,71,45,439
2102026,5,3,12,95,111,40,47,65,35,391
2102027,30,4,46,24,45,22,14,45,17,161
2102028,9,4,16,76,109,35,25,73,21,339
2102029,8,6,19,85,116,30,26,78,45,383
2102030,4,0,10,76,92,40,31,59,30,326
2102031,6,7,18,88,98,53,54,91,35,406
2102032,3,12,21,62,92,46,38,48,28,309
2102033,11,4,30,76,84,42,39,77,29,345
2102034,4,0,4,134,117,45,32,57,28,421
2102035,0,0,5,90,83,44,26,60,9,313
2102036,0,3,3,66,82,24,37,57,17,288
2102037,0,0,0,0,0,0,0,0,0,0
2102038,69,14,81,54,52,23,16,121,36,294
2102039,0,0,0,0,5,4,4,7,4,19
2102101,3,0,8,61,73,38,22,53,30,270
2102102,38,0,43,88,110,40,25,95,19,371
2102103,4,0,10,76,74,44,24,58,33,301
2102104,4,7,15,126,143,57,40,91,40,489
2102105,4,0,16,102,121,21,32,63,14,354
2102106,5,3,6,33,54,20,9,35,13,175
2102107,3,0,3,146,116,45,20,77,20,425
2102108,0,0,0,160,94,15,8,109,36,431
2102109,0,0,3,81,95,43,33,51,25,334
2102110,3,0,10,88,109,47,39,65,32,379
2102111,24,17,79,79,105,52,40,86,49,416
2102112,0,0,0,62,81,45,20,49,23,279
2102113,3,0,7,46,69,33,29,40,30,247
2102114,7,3,18,61,75,42,27,47,9,261
2102115,4,0,10,114,130,55,44,78,36,461
2102116,4,0,12,53,72,22,18,35,20,225
2102117,0,0,3,57,82,31,24,43,9,253
2102118,0,0,3,76,121,47,18,68,31,365
2102119,0,0,5,124,106,44,28,66,22,384
2102120,0,0,0,80,88,33,28,38,17,279
2102121,0,0,6,58,59,30,13,47,22,225
2102122,0,0,0,33,43,22,16,21,5,154
2102123,0,0,0,0,0,0,0,0,0,0
2102124,0,0,0,0,0,0,0,0,0,3
2102125,0,0,3,72,94,44,18,46,11,291
2102126,0,0,5,55,113,46,27,30,26,298
2102127,0,0,0,0,0,0,0,0,0,0
2102201,3,3,12,49,84,45,49,69,36,333
2102202,15,7,34,99,116,57,73,160,50,552
2102203,38,4,50,38,49,12,14,85,48,250
2102204,9,5,19,78,116,61,37,91,50,425
2102205,0,0,6,61,104,27,30,63,15,295
2102206,0,0,8,71,84,39,25,52,31,298
2102208,3,3,14,85,92,57,37,82,32,380
2102209,5,4,12,106,108,40,37,76,23,386
2102210,3,0,9,75,98,44,35,61,17,335
2102211,13,3,19,67,99,36,35,107,36,370
2102212,3,0,8,95,120,55,44,80,39,444
2102213,3,3,13,39,48,14,22,42,31,187
2102214,0,0,8,57,55,33,11,82,26,268
2102215,0,0,7,48,59,37,21,64,28,261
2102216,23,20,55,130,183,85,67,162,71,698
2102217,8,3,11,76,102,45,36,134,74,465
2102218,8,4,15,87,122,43,31,84,48,411
2102219,7,0,12,51,82,34,25,64,28,291
2102220,0,3,3,36,30,24,14,40,35,176
2102221,6,25,39,62,56,30,28,100,85,358
2102222,0,0,3,115,150,46,67,107,31,518
2102223,3,10,19,77,99,57,44,94,46,423
2102224,8,0,8,75,72,46,39,102,34,373
2102225,67,0,67,111,139,55,39,198,41,592
2102226,0,0,4,61,58,41,23,64,12,253
2102227,6,3,13,97,127,52,34,94,33,437
2102228,4,3,9,95,142,51,43,73,32,433
2102229,0,0,7,81,107,63,35,76,27,389
2102230,10,7,25,45,67,29,29,75,40,291
2102231,0,4,11,78,107,39,34,53,33,348
2102232,3,0,9,101,115,66,44,92,30,447
2102233,0,0,3,48,84,40,33,30,4,235
2102234,0,0,3,43,34,21,26,47,11,180
2102235,3,0,13,74,83,43,38,98,30,363
2102236,7,0,18,94,155,73,58,134,70,583
2102237,0,3,4,79,120,43,45,88,15,391
2102238,7,0,12,56,74,53,37,86,36,341
2102239,3,0,5,82,87,34,27,81,32,350
2102240,3,0,3,42,30,21,9,28,22,149
2102241,4,51,55,81,118,42,43,93,118,489
2102242,3,0,3,28,42,13,22,60,25,196
2102243,7,0,17,71,94,41,34,75,14,325
2102244,0,6,13,64,73,29,34,50,20,272
2102245,3,0,5,182,195,77,64,121,49,687
