SA1_7DIGITCODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
2100121,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,6,10,0,0,0,10,0,0,0,0,6,5,9,5,0,13,3,7,3,0,9,3,10,0,0,19,9,6,0,0,17,9,33,0,0,41,3,17,0,0,19,3,15,0,0,18,0,6,0,0,6,0,4,0,0,6,3,10,5,0,14,0,0,0,0,0,47,127,18,0,189
2100122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,3,0,0,9,0,0,8,0,11,6,3,8,0,16,10,8,6,0,21,5,16,12,0,31,8,20,0,0,35,11,17,3,0,32,12,30,0,0,40,19,34,4,3,65,14,23,0,0,41,10,11,0,0,24,3,4,0,0,7,3,14,0,0,11,10,21,0,0,36,0,0,0,0,0,126,201,45,3,379
2100123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,7,3,6,7,0,17,7,5,11,0,18,4,0,9,0,14,3,10,3,0,16,9,8,3,0,22,12,10,4,0,23,7,16,0,0,30,3,16,0,0,22,3,10,0,0,7,0,8,0,0,9,4,7,0,0,17,0,9,3,0,14,0,0,0,0,0,58,109,46,0,212
2100124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,7,0,3,0,8,3,0,0,0,3,3,3,0,0,9,3,3,3,0,8,0,12,0,0,13,0,10,0,0,12,0,9,0,0,8,3,13,0,0,17,0,8,0,0,6,5,3,0,0,6,0,11,0,0,11,0,6,3,0,15,0,0,0,0,0,33,79,17,0,132
2100201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,4,3,0,3,0,3,3,3,4,0,12,7,5,7,0,15,3,0,0,0,9,3,3,0,0,10,4,3,0,0,10,7,13,0,0,22,3,11,0,0,13,0,6,0,0,6,3,3,0,0,9,3,20,0,0,22,3,0,3,0,12,0,0,0,0,0,47,75,28,0,155
2100202,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,3,0,0,0,0,4,4,0,0,0,4,0,0,0,0,5,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,4,3,0,0,12,3,9,0,0,10,3,3,0,0,3,0,3,0,0,3,3,15,0,0,19,0,3,0,0,5,0,0,0,0,0,36,41,8,0,83
2100203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,16,4,0,4,0,5,3,0,3,0,10,3,3,3,0,16,3,5,3,0,10,5,4,0,0,8,5,8,0,0,16,0,5,0,0,9,0,4,0,0,5,0,0,0,0,3,4,3,0,0,10,3,9,0,0,15,0,0,0,0,0,49,43,23,0,116
2100204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,3,0,6,0,0,0,0,0,3,0,0,0,8,8,0,0,0,10,3,0,0,0,5,3,3,3,0,11,3,0,0,0,3,0,4,3,0,7,3,5,0,0,11,0,9,0,0,9,0,3,0,0,6,3,3,0,0,6,3,9,3,0,10,0,0,0,0,0,45,36,16,0,98
2100205,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,4,0,0,0,9,7,3,3,0,12,8,3,8,0,13,3,8,3,0,14,7,5,3,0,20,4,4,0,0,7,7,11,3,0,14,9,10,0,0,15,3,4,0,0,7,3,3,0,0,9,0,3,0,0,5,3,3,3,0,6,3,0,6,0,7,62,48,28,6,144
2100206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,3,0,7,4,0,0,0,7,4,6,0,0,9,3,7,0,0,10,0,7,0,0,7,0,5,0,0,5,8,15,0,0,28,0,0,3,0,4,0,0,0,0,0,29,42,7,0,84
2100207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,9,0,0,0,9,3,0,3,0,9,6,0,0,0,14,6,3,0,0,8,3,5,0,0,3,3,0,0,0,3,7,0,0,0,9,3,6,0,0,7,0,9,0,0,6,0,11,0,0,10,4,14,0,0,19,0,4,0,0,9,0,0,0,0,0,48,48,10,0,108
2100208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,3,0,4,0,3,0,0,0,0,4,5,3,0,0,8,3,0,0,0,7,9,0,3,0,9,11,0,0,0,14,9,4,0,0,14,0,5,0,0,6,6,4,0,0,10,20,22,0,0,43,5,8,0,0,13,0,0,0,0,3,74,59,15,0,148
2100209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,6,0,0,3,0,3,9,4,5,0,18,0,0,0,0,5,5,0,3,0,7,3,3,0,0,10,0,3,0,0,9,7,5,3,0,13,10,9,0,0,18,3,10,0,0,14,3,3,0,0,6,5,4,0,0,6,0,3,0,0,3,5,7,5,0,17,3,0,0,0,3,52,54,25,3,140
2100212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,3,0,5,0,0,3,0,3,5,0,0,0,8,4,0,0,0,4,0,0,0,0,3,0,0,0,0,4,7,3,0,0,12,5,7,0,0,10,0,3,0,0,8,0,0,0,0,3,7,6,0,0,7,0,0,0,0,3,0,0,0,0,0,27,26,11,0,62
2100213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,3,3,0,3,0,3,3,0,5,0,9,3,0,0,0,8,0,3,4,0,4,0,8,0,0,8,0,0,4,0,6,5,8,3,0,13,3,5,0,0,9,5,4,0,0,7,0,3,0,0,3,0,6,0,0,6,0,3,0,0,10,0,0,0,0,0,28,34,23,4,89
2100214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,9,0,0,0,13,3,3,0,0,9,0,0,0,0,5,6,3,4,0,12,7,0,0,0,5,7,0,0,0,5,10,8,0,0,14,3,0,0,0,10,0,3,0,0,3,0,5,0,0,5,0,5,0,0,4,3,0,3,0,9,3,0,0,0,5,50,33,19,0,100
2100215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,9,0,0,3,0,3,0,0,0,0,3,0,3,3,0,5,0,0,3,0,6,3,3,3,0,10,4,4,0,0,10,4,7,0,0,6,3,4,0,0,4,3,7,0,0,9,0,5,0,0,6,3,0,0,0,3,0,3,0,0,4,3,7,3,0,16,0,0,0,0,3,33,42,23,3,102
2100216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,7,0,8,3,0,4,0,6,0,0,3,0,3,3,0,0,0,7,3,8,0,0,12,0,3,0,0,5,3,3,3,0,6,4,6,0,0,12,3,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,7,3,0,9,0,0,0,0,0,30,24,26,3,83
2100217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,3,0,0,0,4,3,0,0,0,3,0,0,0,0,5,0,0,0,0,6,5,6,0,0,5,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,9,0,0,6,3,3,0,0,6,0,0,0,0,0,20,26,5,0,55
2100218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,8,3,0,7,0,9,0,4,0,0,0,3,3,0,0,7,7,11,0,0,16,0,8,0,0,3,0,4,0,0,3,0,3,0,0,4,0,8,0,0,10,0,11,0,0,11,0,0,0,0,0,24,46,9,0,80
2100219,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,14,5,6,0,27
2100220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,3,0,3,0,9,3,0,0,0,6,3,0,0,0,4,0,3,0,0,3,0,3,0,0,3,6,3,0,0,4,4,3,0,0,4,0,0,0,0,3,5,6,0,0,7,4,3,0,0,10,0,0,0,0,0,27,20,10,0,62
2100221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,7,0,0,0,0,3,0,0,3,0,6,3,0,0,0,3,0,3,0,0,3,6,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,4,0,3,0,0,3,0,0,0,0,0,23,15,8,3,49
2100222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,4,3,0,0,0,6,3,0,0,0,3,3,4,0,0,7,7,0,0,0,8,5,0,0,0,5,10,3,0,0,15,7,8,0,0,14,0,10,0,0,9,0,5,0,0,6,10,25,0,0,36,3,12,3,0,19,0,0,0,0,0,65,61,8,0,140
2100223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,6,5,0,0,0,6,3,0,3,0,5,3,0,0,0,9,3,4,3,0,9,3,3,3,0,9,0,3,4,0,8,8,5,0,0,13,6,5,0,0,12,8,3,0,0,7,3,3,0,0,6,4,13,0,0,20,0,5,0,0,10,0,0,0,0,4,48,50,14,0,119
2100224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,3,0,0,0,3,6,0,0,0,6,3,0,3,0,9,0,0,4,0,5,3,7,3,0,8,4,0,3,0,6,3,3,0,0,11,3,3,0,0,5,10,7,0,0,12,4,4,0,0,4,0,4,0,0,3,8,8,0,0,13,0,7,0,0,12,3,3,0,0,3,48,49,22,0,121
2100225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,5,0,0,0,5,0,0,0,0,6,4,0,0,0,4,4,0,0,0,4,3,0,0,0,5,3,0,0,0,8,0,7,0,0,10,3,0,0,0,4,0,0,0,0,3,0,8,0,0,11,3,4,0,0,8,3,0,0,0,3,36,23,7,0,67
2100226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,6,0,3,0,5,3,0,0,0,5,0,0,0,0,0,0,3,0,0,4,0,5,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,7,0,0,0,0,0,0,0,0,0,0,21,20,10,3,42
2100227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,5,4,0,0,10,3,0,0,0,4,3,0,0,0,4,0,0,0,0,6,0,0,0,0,3,4,6,0,0,8,6,5,0,0,7,0,6,0,0,7,0,4,0,0,5,6,7,0,0,10,0,4,0,0,11,0,0,0,0,0,43,28,15,0,82
2100228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,8,6,0,0,0,6,5,0,0,0,5,0,3,0,0,6,3,0,0,0,3,0,0,0,0,3,0,4,0,0,4,0,8,0,0,8,0,0,0,0,0,0,0,0,0,3,3,6,0,0,13,3,4,0,0,5,3,0,0,0,3,31,28,12,0,70
2100229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,11,7,0,0,0,11,0,0,0,0,3,0,0,3,0,6,0,3,0,0,7,0,0,0,0,0,6,0,0,0,8,7,0,0,0,9,3,5,0,0,5,0,3,0,0,4,11,4,0,0,14,6,3,3,0,12,0,0,0,0,0,48,21,16,3,85
2100230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,3,0,3,0,0,3,0,7,3,0,4,0,8,0,0,4,0,5,4,0,0,0,4,3,0,0,0,4,0,5,0,0,3,0,5,0,0,8,0,4,0,0,4,3,0,0,0,3,0,0,0,0,0,0,4,0,0,9,0,5,0,0,10,0,0,0,0,0,21,29,25,0,69
2100231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,3,6,3,5,0,7,9,0,0,0,11,3,3,0,0,13,3,4,0,0,8,7,8,0,0,12,7,6,0,0,7,4,7,0,0,8,0,0,0,0,0,7,0,0,0,5,0,3,0,0,3,0,0,0,0,0,44,35,15,0,96
