SA1_7DIGITCODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
2100113,4,6,7,12,12,28,4,7,9,3,3,5,21,21,42,14,8,19,5,8,13,0,3,4,21,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,11,0,0,0,0,0,0,0,3,3,0,0,0,4,6,8,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,57,61,116
2100114,3,0,3,17,12,31,9,8,19,0,3,3,29,24,47,9,10,22,8,10,13,3,0,7,24,23,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,8,18,19,31,4,4,8,0,0,0,4,7,5,0,0,0,20,30,51,0,0,0,0,4,6,0,0,0,0,4,6,10,11,21,91,90,180
2100115,8,9,13,26,18,45,7,15,19,0,0,4,35,35,64,23,20,40,10,5,16,3,3,9,32,28,65,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,7,7,0,0,0,3,0,3,0,0,0,0,4,7,0,0,0,6,11,14,5,0,10,0,3,3,0,0,0,5,3,10,12,9,26,98,102,199
2100117,11,12,21,5,14,23,18,11,35,13,14,25,45,35,84,11,11,19,14,20,33,9,13,18,32,39,74,0,0,0,0,4,4,4,0,4,0,0,0,0,0,0,4,8,8,7,14,19,0,0,0,3,0,3,8,3,13,0,0,0,17,16,30,0,0,0,3,3,4,0,0,0,3,4,11,21,15,33,127,131,259
2100118,3,4,5,12,17,22,11,10,16,0,0,0,19,23,43,8,11,18,10,10,18,8,7,9,21,19,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,6,0,3,3,0,0,0,4,0,4,0,0,0,8,3,9,0,0,0,0,0,0,0,0,0,0,0,3,4,8,16,58,56,114
2100119,12,4,14,20,12,35,19,7,30,7,3,11,40,27,71,7,9,20,18,13,30,12,7,13,34,35,67,0,0,0,0,0,0,5,0,3,0,0,3,0,0,0,5,3,6,3,5,12,0,0,5,0,0,0,0,0,3,0,0,0,5,11,17,0,0,0,3,0,3,0,0,0,3,4,7,7,3,10,105,82,190
2100120,9,11,20,26,25,51,5,14,19,3,0,5,39,46,83,19,15,32,9,8,24,0,3,3,29,30,62,3,0,4,0,3,3,0,0,0,0,3,3,0,0,0,3,7,14,4,8,14,0,3,7,0,0,0,3,8,10,0,0,0,9,19,28,0,8,10,4,0,0,0,0,0,4,11,9,16,20,34,105,139,249
2100121,4,15,22,39,30,71,23,17,38,3,5,12,63,52,119,18,17,37,9,11,26,6,5,8,37,30,71,0,0,0,0,4,4,0,0,0,4,3,8,0,0,0,10,3,14,3,5,11,4,0,6,0,0,3,4,4,10,0,0,0,12,14,27,0,0,0,0,0,0,0,0,0,0,0,0,11,14,23,142,128,272
2100122,16,18,33,43,38,80,18,24,46,3,8,9,65,69,137,26,17,44,10,23,30,6,7,7,45,47,92,0,0,0,0,0,3,4,3,4,9,5,16,0,0,0,11,10,21,7,19,24,0,5,5,0,0,3,9,10,20,0,0,0,16,35,50,3,3,4,4,3,7,0,0,0,10,4,12,30,26,58,193,208,400
2100123,6,5,17,22,31,49,0,8,6,9,7,11,34,37,77,9,19,32,13,10,18,5,3,10,26,33,60,0,3,6,0,0,0,0,0,0,0,0,3,0,0,0,7,4,10,14,14,31,3,3,6,0,0,0,7,9,16,0,0,0,30,30,59,0,0,0,0,7,7,0,0,0,0,7,7,31,32,65,138,144,284
2100124,6,8,9,14,9,20,17,19,42,4,0,10,40,31,66,12,13,24,17,15,29,4,4,13,35,28,60,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,6,7,3,0,5,0,0,0,3,3,9,0,0,0,9,14,17,0,0,0,0,0,0,0,0,0,0,3,3,11,9,25,100,91,187
2100201,7,10,13,17,19,35,10,9,15,14,4,20,35,33,68,7,8,12,4,10,16,11,14,20,22,27,49,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,4,8,9,13,3,3,3,0,0,0,0,8,11,0,0,0,11,20,28,0,0,4,0,0,0,0,0,0,0,0,4,10,17,21,82,110,191
2100202,3,0,5,3,6,8,3,0,4,4,13,16,12,19,33,0,3,3,3,5,14,6,9,13,8,17,27,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,4,13,18,0,0,0,0,3,0,0,0,0,0,3,0,9,12,28,41,65,111
2100203,0,0,3,10,11,14,0,0,3,8,6,11,12,18,28,8,5,15,10,8,15,6,3,10,20,23,42,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,4,4,5,9,0,4,4,0,0,0,0,3,3,0,0,0,4,9,12,0,0,0,3,0,4,0,0,0,3,0,6,13,12,24,54,60,120
2100204,0,3,3,7,4,10,4,4,7,0,0,3,11,12,20,4,4,5,10,4,19,0,3,7,14,17,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,4,0,3,3,0,0,0,3,0,5,0,0,0,10,7,13,0,0,0,0,0,3,0,0,0,0,0,3,9,9,16,45,50,90
2100205,4,4,6,3,15,22,7,3,11,4,0,4,18,18,33,4,5,10,6,3,5,3,0,3,16,3,22,0,0,3,0,0,0,3,0,3,0,3,0,0,0,0,6,3,9,7,3,11,3,4,13,0,0,3,3,11,12,0,0,0,16,24,36,0,0,0,0,3,5,0,0,0,0,3,5,3,16,19,59,70,133
2100206,4,3,9,4,5,12,8,7,12,10,13,23,23,22,44,0,3,4,31,9,42,84,78,158,116,90,208,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,9,0,0,0,0,0,0,0,3,3,0,0,0,4,7,15,0,0,3,0,0,0,0,0,0,0,0,0,13,3,13,160,130,288
2100207,3,3,5,12,15,24,0,0,6,3,9,14,14,25,44,3,0,3,5,4,12,8,9,21,19,15,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,7,12,3,0,3,0,0,0,0,6,13,0,0,0,13,17,27,0,0,0,0,0,0,0,0,0,0,0,0,4,7,15,50,72,126
2100208,6,3,13,5,5,11,9,0,6,9,11,17,22,20,42,3,0,3,6,5,16,16,14,24,22,20,42,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,4,8,8,12,3,0,5,0,0,0,0,0,0,0,0,0,11,11,23,0,0,0,0,0,0,0,0,0,0,0,0,20,26,43,84,80,164
2100209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100211,3,5,3,12,12,29,3,4,8,8,0,7,23,20,35,4,5,8,10,12,18,10,6,15,25,17,43,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,3,6,4,5,11,3,9,10,0,0,0,11,5,15,0,0,0,17,19,36,0,0,0,0,0,3,0,0,0,0,0,3,11,9,21,75,72,152
2100212,3,4,4,3,3,4,0,0,3,3,3,9,7,3,14,0,0,0,0,0,3,3,3,4,3,6,13,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,0,9,13,3,7,5,0,0,0,0,4,5,0,0,0,3,19,23,0,0,0,0,0,0,0,0,0,0,0,0,18,16,39,39,56,95
2100213,4,3,4,3,3,9,4,9,12,3,4,6,13,12,28,3,3,8,7,3,9,0,4,9,12,8,20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,6,12,3,3,4,0,0,0,3,4,8,0,0,0,7,18,25,0,0,0,0,0,0,0,0,0,0,0,0,6,10,19,50,55,107
2100214,4,3,6,4,7,18,7,4,14,0,0,6,18,14,33,0,0,3,0,3,4,0,0,3,4,10,12,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,3,3,4,7,12,0,3,3,0,3,3,4,8,5,0,0,0,7,17,24,0,0,0,0,0,5,0,0,0,0,3,3,4,11,17,36,57,97
2100215,0,9,9,9,4,14,3,4,6,0,5,5,14,14,29,3,3,9,3,4,11,3,0,9,10,11,19,3,0,3,0,0,4,0,0,3,0,0,3,0,0,0,5,0,11,15,13,23,5,13,16,0,0,0,0,3,9,0,0,0,19,25,47,3,0,4,0,0,3,0,0,0,6,0,9,8,9,19,70,72,146
2100216,3,0,3,7,0,7,0,3,7,0,5,8,4,10,13,3,7,13,0,3,3,3,3,8,11,9,19,0,3,3,0,4,3,0,0,0,0,0,0,0,0,0,3,7,13,5,9,17,0,3,7,0,0,3,6,3,8,0,0,0,12,15,33,0,0,0,0,0,0,0,0,0,0,0,0,21,20,34,53,63,115
2100217,0,3,4,4,6,12,4,0,3,8,4,13,12,10,27,0,0,0,0,0,0,0,7,9,3,10,9,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,3,11,13,6,0,8,0,0,0,3,3,7,0,0,0,8,13,23,0,0,0,0,5,5,0,0,0,0,5,5,15,15,31,47,51,92
2100218,3,3,14,7,5,12,7,9,18,0,0,0,22,16,33,3,0,6,6,0,11,3,8,11,14,8,22,0,0,0,0,0,0,3,4,6,0,0,3,0,0,0,0,3,7,0,13,16,0,0,7,0,0,0,3,3,9,0,0,0,5,18,30,0,0,0,0,3,3,0,0,0,0,3,3,10,9,18,53,64,125
2100219,0,0,0,0,7,7,3,0,3,0,0,0,3,7,4,0,0,0,0,0,0,0,0,0,4,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,3,4,22,16,42,4,0,7,0,0,0,0,0,0,0,0,0,25,20,45,0,0,0,0,0,0,0,0,0,0,0,0,19,11,31,53,43,93
2100220,5,3,7,0,0,3,0,3,0,9,3,13,11,9,18,0,0,0,0,5,4,0,0,3,3,9,13,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,3,7,0,10,13,3,6,5,0,0,0,0,3,5,0,0,0,9,15,27,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,31,47,80
2100221,3,0,4,8,5,12,3,0,3,0,3,3,11,12,21,0,0,0,0,3,8,0,0,0,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,12,0,0,0,0,0,0,3,5,5,0,0,0,15,10,24,0,0,0,0,0,0,0,0,0,0,0,0,19,13,36,49,41,85
2100222,3,10,14,8,8,16,0,0,3,15,17,31,26,29,53,0,0,0,4,4,8,9,12,28,12,15,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,12,0,0,0,0,0,0,9,4,12,0,0,0,17,12,22,0,0,0,0,0,0,0,0,0,0,0,0,37,28,69,92,93,191
2100223,3,3,5,13,17,34,0,3,3,7,8,13,19,27,41,0,3,7,10,4,15,6,10,18,19,14,35,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,3,3,6,5,10,14,3,0,8,0,0,0,3,0,3,0,0,0,7,8,20,0,0,0,0,0,0,0,0,0,0,0,0,17,28,42,71,88,155
2100224,5,3,6,10,12,21,7,0,12,5,6,18,22,19,41,4,4,7,4,0,4,15,11,19,23,14,32,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,5,0,3,5,0,8,3,3,3,0,0,0,0,7,8,0,0,0,8,16,29,0,0,0,0,0,0,0,0,0,0,0,0,11,19,29,82,70,154
2100225,0,0,0,7,0,4,0,0,0,0,0,0,3,0,6,0,0,0,4,8,7,9,0,9,11,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,5,5,0,0,0,3,8,6,0,0,0,0,0,0,0,0,0,0,0,0,9,11,18,27,31,58
2100226,7,0,6,0,3,6,3,3,3,3,0,3,9,6,17,0,0,0,0,0,0,0,3,6,0,5,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,17,20,0,0,3,0,0,3,3,0,4,0,0,0,12,20,27,0,0,0,0,0,0,0,0,0,0,0,0,10,8,17,34,42,75
2100227,3,0,6,3,4,7,8,10,17,0,8,10,10,17,32,0,0,0,4,5,10,3,13,12,9,16,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,9,0,4,4,0,0,3,0,6,10,0,0,0,7,21,25,0,0,0,0,0,0,0,0,0,0,0,0,11,11,27,45,69,111
2100228,6,3,6,5,7,9,4,6,8,7,3,9,11,14,23,3,0,4,0,0,3,3,6,11,5,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,5,0,0,0,0,0,0,0,4,4,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,8,9,17,42,34,78
2100229,0,5,5,0,3,3,3,0,4,0,6,6,5,9,14,3,0,3,7,3,7,7,4,13,15,9,25,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,3,5,3,4,7,4,3,11,0,0,0,0,6,7,0,0,0,6,21,25,0,0,0,0,0,0,0,0,0,0,3,3,13,14,25,40,62,100
2100230,4,5,8,10,5,15,4,0,8,0,0,0,10,13,24,3,0,4,0,0,0,4,0,6,6,3,13,0,3,3,0,0,0,0,3,4,0,0,0,0,0,0,6,3,9,0,3,3,3,6,6,3,0,3,3,0,4,0,0,0,5,11,21,0,0,0,0,0,0,0,0,0,0,0,0,16,12,26,50,44,98
2100231,3,7,5,8,17,24,4,3,12,3,0,3,17,18,36,3,0,9,3,4,8,0,0,0,8,5,15,3,0,3,0,0,0,0,0,0,0,4,4,0,0,0,3,3,8,6,10,15,5,11,13,0,0,0,4,5,6,0,0,0,13,24,36,0,0,0,3,0,3,0,0,0,3,0,3,12,11,22,61,72,133
2100232,0,3,3,4,0,8,3,3,6,0,3,3,9,7,17,3,8,11,0,0,3,3,3,4,6,11,19,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,9,4,10,11,3,0,3,0,0,0,0,4,4,0,0,0,10,12,20,0,0,0,0,0,0,0,0,0,0,0,0,6,7,12,35,40,75
2100233,4,0,11,8,10,17,3,3,3,3,5,6,11,17,31,3,0,3,10,3,13,5,5,9,11,10,20,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,4,6,0,3,3,0,0,0,0,12,14,0,0,0,6,17,24,0,0,0,0,0,0,0,0,0,0,0,0,14,17,26,48,62,118
2100234,0,0,0,7,0,7,0,0,0,0,0,0,7,0,5,0,0,0,3,0,3,3,0,3,4,3,8,0,0,0,0,0,0,3,0,3,0,3,4,0,0,0,3,4,5,3,11,9,0,0,0,0,3,3,0,0,5,0,0,0,9,11,16,0,0,0,0,0,0,0,0,0,0,0,0,5,12,15,25,30,54
2100301,0,0,0,3,3,10,0,0,0,0,0,0,5,4,9,0,3,3,7,4,6,3,0,7,13,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,8,16,28,22,54
2100302,4,3,7,7,3,6,7,5,9,0,0,0,13,6,18,0,0,6,4,3,9,0,3,3,4,12,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,3,3,4,5,0,3,3,0,0,0,0,3,3,0,0,0,3,14,14,0,0,0,0,3,4,0,0,0,0,3,4,24,32,49,46,67,114
2100303,3,3,4,9,3,11,0,3,3,0,0,3,7,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,7,0,3,5,5,7,13,0,0,0,4,4,8,0,0,0,11,13,22,0,0,0,0,0,0,0,0,0,0,0,0,15,19,33,41,41,81
2100304,4,3,9,11,10,19,4,3,4,0,0,0,18,9,30,7,3,5,3,3,7,0,0,3,4,7,15,0,0,5,0,0,0,0,0,0,0,3,3,0,0,0,0,3,4,0,9,16,4,4,7,0,0,0,3,7,9,0,0,0,10,21,34,0,0,0,0,0,0,0,0,0,0,0,0,15,26,40,51,76,128
2100305,3,4,8,13,8,20,6,3,8,0,0,0,17,14,32,3,8,18,3,0,5,0,0,3,11,12,24,5,0,3,0,0,0,0,3,3,3,5,8,0,0,0,5,12,14,7,9,13,3,3,3,0,3,6,5,7,13,0,0,0,12,19,35,6,0,6,0,0,3,0,0,0,4,0,8,22,32,53,78,95,171
2100306,0,0,0,3,0,8,3,3,3,0,0,0,6,3,15,0,0,0,3,4,8,0,0,0,8,3,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,3,0,3,0,6,0,6,0,0,0,0,3,4,0,0,0,5,8,14,0,0,0,0,0,0,0,0,0,0,0,0,14,9,21,41,28,65
2100307,0,3,6,3,3,3,6,7,10,3,3,3,11,8,23,3,0,3,7,8,14,0,4,3,7,7,16,3,0,3,0,0,0,3,0,3,3,0,3,0,0,0,6,0,6,4,0,4,0,0,0,0,0,0,0,3,3,0,0,0,6,5,9,0,0,0,0,0,0,0,0,0,0,0,0,11,15,27,47,45,86
2100308,3,0,4,4,9,14,4,0,3,0,0,0,10,5,18,4,3,10,4,3,6,0,3,3,11,8,17,0,3,5,0,0,0,0,0,0,0,3,3,0,0,0,5,7,12,3,5,9,0,0,5,0,0,0,0,3,7,0,0,0,5,10,13,0,0,0,3,0,3,0,0,0,3,0,4,5,9,14,40,37,77
2100309,7,10,15,7,23,33,18,20,31,0,4,3,26,47,71,10,19,21,6,5,15,3,9,8,18,32,52,0,3,3,0,0,0,0,0,0,0,0,4,0,0,0,4,5,6,10,14,24,0,10,10,0,4,4,3,0,6,3,0,3,11,23,40,0,0,0,3,0,3,0,0,0,3,0,3,21,14,33,90,127,221
2100310,4,4,6,20,12,33,3,0,5,0,3,3,23,19,41,3,8,11,9,0,13,3,0,3,15,9,21,0,0,0,0,0,0,0,4,6,3,0,6,0,0,0,3,9,11,3,4,10,0,6,8,0,0,0,3,8,8,0,0,0,8,15,29,0,0,0,0,0,3,0,0,0,3,3,8,8,15,26,69,72,137
