SA2_MAINCODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
202011022,47,86,66,29,47,8,3,286,4,17,3,3,0,0,0,27,4,6,0,0,4,0,0,14,72,144,107,71,99,32,14,536,4,12,6,10,4,0,0,39,4,12,9,5,7,4,0,39,7,28,16,10,11,3,0,79,80,171,120,78,111,36,15,615,159,140,57,40,37,14,3,447,0,0,3,0,0,0,0,5,241,306,183,116,148,52,19,1069
202011023,6,15,5,3,13,3,0,53,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,25,19,8,28,7,4,105,0,6,3,0,0,0,0,5,0,0,0,0,0,0,0,3,0,4,3,0,0,0,0,11,11,31,20,8,28,7,5,117,12,22,10,0,5,0,0,52,0,0,0,0,0,0,0,0,27,50,31,12,33,9,5,173
202011024,14,35,29,18,28,10,5,136,3,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,20,53,51,35,59,18,9,249,0,0,0,0,4,0,0,6,0,7,5,0,4,0,0,15,0,7,8,0,8,0,0,19,24,61,59,36,67,16,9,274,20,17,11,5,4,0,0,64,0,0,0,0,0,0,0,0,45,75,70,42,72,16,9,335
202011025,54,85,39,35,33,10,4,264,18,7,3,3,3,0,0,35,0,4,3,0,0,0,0,6,92,114,83,52,82,29,7,451,4,7,7,0,0,0,0,18,7,9,4,5,0,0,0,27,13,16,7,7,8,0,0,46,98,127,93,60,87,29,7,496,63,62,27,24,28,12,0,208,0,0,0,0,0,0,0,0,164,189,115,82,112,35,8,712
202021026,11,14,16,3,7,6,0,56,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,16,27,27,15,24,13,3,120,0,0,0,0,0,0,0,4,3,12,0,0,0,0,0,16,3,14,0,0,0,0,0,16,19,37,29,13,24,13,3,139,19,14,10,11,8,3,0,66,0,0,0,0,0,0,0,0,36,55,42,30,33,13,3,208
202021027,15,52,43,22,30,7,4,172,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,16,68,53,38,65,21,6,277,0,3,3,0,3,0,0,6,0,7,7,0,8,4,0,19,0,7,12,0,4,4,0,25,23,77,69,38,72,26,6,306,53,47,23,14,21,8,0,162,0,0,0,0,0,0,0,0,73,124,86,53,93,35,4,468
202021028,6,25,15,15,16,3,0,84,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,34,32,24,29,9,0,128,0,3,0,0,4,0,0,8,0,0,0,0,3,0,0,3,0,3,0,4,5,0,0,12,6,32,35,27,32,9,0,142,21,25,16,16,14,4,0,85,0,0,0,0,0,0,0,3,26,55,47,41,47,12,0,234
202021029,0,25,10,6,5,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,11,9,13,0,0,68,0,4,3,0,4,0,0,12,0,0,0,0,0,0,0,3,0,4,3,3,5,0,0,20,0,29,16,14,24,0,0,83,27,31,13,13,7,3,0,96,0,0,0,0,0,0,0,0,29,62,31,20,27,5,0,177
202021030,22,36,18,20,25,11,0,138,0,10,5,3,0,0,0,17,0,0,0,0,0,0,0,0,29,57,39,38,55,21,0,238,0,0,0,0,3,0,0,7,3,0,0,0,0,0,0,9,3,3,3,0,3,0,0,8,29,63,39,39,62,21,0,253,24,32,21,14,13,0,0,105,0,0,0,0,0,0,0,3,54,96,60,49,75,25,0,360
202021031,5,18,14,9,19,7,3,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,29,36,21,44,17,6,168,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,3,3,0,0,0,8,11,34,37,22,52,13,6,175,14,14,7,3,7,3,3,53,0,0,0,0,0,0,0,0,32,41,47,24,58,22,7,226
202031032,12,15,4,9,10,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,23,9,14,22,3,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,9,28,13,11,22,3,0,87,27,15,10,4,12,0,0,68,0,0,0,0,0,0,0,0,40,40,23,15,29,4,0,159
202031033,3,14,11,10,9,7,0,48,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,3,3,17,22,15,25,7,0,91,0,0,0,3,3,4,0,13,0,0,0,0,0,0,0,0,0,3,0,3,3,4,0,14,3,17,20,22,26,7,0,100,34,23,15,18,10,3,0,97,0,3,0,0,0,0,0,4,40,41,40,39,37,13,0,205
203011034,5,32,15,6,27,3,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,35,31,14,36,5,0,141,0,0,0,0,3,0,0,4,0,0,3,3,0,0,0,4,0,3,4,5,3,0,0,12,11,43,38,18,37,5,0,155,20,19,6,0,0,0,0,49,0,0,0,0,0,0,0,0,31,56,46,23,39,7,4,205
203011035,5,17,9,9,9,7,0,62,0,3,3,0,0,0,0,9,0,0,0,3,0,0,0,3,9,32,23,17,29,11,0,120,0,0,0,0,0,0,0,7,0,3,0,3,3,0,0,13,3,5,0,3,3,0,0,14,10,38,27,17,32,11,0,139,15,28,18,12,10,0,3,86,0,0,0,0,0,0,0,3,29,66,40,30,43,11,5,223
203011036,6,20,11,3,11,0,4,50,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,20,22,15,19,0,10,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,5,28,21,14,19,0,10,95,25,11,12,3,4,5,0,66,0,0,0,0,0,0,0,0,27,41,37,18,21,6,10,160
203021037,19,39,44,33,47,13,0,209,4,4,0,0,3,0,0,11,0,0,0,0,0,0,0,5,37,83,78,54,113,49,16,427,0,4,0,4,3,0,0,17,7,4,7,0,3,0,3,17,7,10,3,4,3,5,3,31,42,91,81,62,117,51,13,453,48,46,26,21,25,7,4,170,0,0,0,0,3,0,0,4,83,141,104,82,140,64,22,628
203021038,75,104,98,53,59,19,13,426,13,13,5,3,6,0,0,40,3,0,0,0,3,0,0,4,113,171,142,100,132,43,25,724,11,32,20,12,15,0,3,98,25,51,35,12,16,3,0,140,32,79,58,26,30,5,4,237,148,254,199,126,161,52,28,959,406,379,179,132,166,56,26,1345,5,13,12,4,4,3,0,43,561,647,380,268,326,105,51,2347
203021039,21,25,24,17,26,9,5,125,0,4,3,0,4,0,0,15,0,0,0,0,0,0,0,5,37,48,45,30,69,16,15,261,0,4,0,0,5,0,0,12,3,0,0,0,3,0,0,10,3,4,4,0,5,0,0,22,42,48,46,34,71,21,17,276,61,43,22,11,19,3,0,155,0,0,0,0,0,0,0,0,97,92,70,43,89,21,17,434
203021040,32,61,47,26,36,17,6,229,7,0,0,0,3,0,0,9,0,0,3,3,3,0,0,14,51,111,78,64,101,47,16,477,0,7,3,0,3,0,0,19,3,4,0,0,0,0,0,17,3,14,4,3,5,4,0,36,52,123,82,70,108,49,16,509,66,58,33,20,31,8,7,221,3,0,3,0,0,0,0,12,123,182,121,95,144,60,28,744
203021041,60,60,52,51,67,23,7,326,7,0,4,0,3,0,0,14,0,3,3,3,0,0,0,14,89,108,84,87,137,58,25,589,5,11,7,9,5,0,0,33,0,5,6,0,5,0,0,21,4,19,13,9,11,0,0,57,95,120,97,97,146,58,29,648,73,81,50,37,35,19,5,294,0,3,0,0,0,3,0,8,170,205,146,137,182,80,33,953
203021042,25,63,43,32,36,17,10,226,0,4,3,0,4,0,0,15,0,0,0,0,0,3,0,3,41,89,87,58,87,49,25,436,0,3,3,3,0,0,0,7,4,3,3,3,4,0,0,20,4,12,3,6,4,0,0,27,54,100,95,63,87,49,24,465,36,45,18,8,16,9,3,127,0,0,0,0,0,0,0,0,84,147,112,73,101,52,28,592
203021043,48,64,41,31,56,12,3,250,5,0,0,0,5,0,0,16,4,0,0,0,0,0,0,11,72,112,77,70,123,29,10,497,0,4,3,0,4,0,0,14,0,5,5,4,7,3,0,25,0,12,7,8,5,3,0,33,72,124,84,76,135,28,10,531,70,75,32,16,23,3,3,220,0,0,0,0,0,0,0,3,138,197,120,97,156,35,15,753
203021044,44,65,47,36,42,9,0,248,5,3,4,0,3,0,0,18,0,0,0,0,0,0,0,0,60,98,83,55,89,30,10,423,3,4,3,3,0,0,0,13,11,15,7,0,0,0,0,29,13,21,11,5,0,0,0,43,72,116,96,55,94,30,10,464,53,46,21,19,22,9,3,169,0,0,0,0,0,0,0,3,123,160,112,75,116,42,13,643
203021045,28,57,41,32,53,14,4,233,14,7,3,0,3,0,0,29,0,3,3,0,0,0,0,6,61,95,65,58,102,25,15,412,3,14,10,4,4,3,0,39,7,11,5,3,9,0,0,32,6,21,12,6,16,3,0,69,69,112,79,62,112,25,15,479,116,104,60,46,38,10,0,371,6,4,3,0,3,0,0,13,188,218,137,102,153,36,15,860
203021046,8,22,14,14,17,9,4,88,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,16,58,34,34,46,23,14,222,0,3,0,0,0,3,0,8,0,4,0,0,0,0,0,7,0,3,0,0,0,0,0,9,21,59,34,34,49,26,14,236,17,7,11,5,18,7,9,67,0,0,0,0,0,0,0,0,36,67,46,39,67,29,15,305
203021047,35,57,39,25,38,18,8,220,4,3,3,3,0,0,0,10,0,0,0,0,0,0,0,6,54,100,78,55,76,38,11,418,7,8,7,4,11,0,0,30,5,8,4,3,5,3,0,37,13,19,11,8,14,3,0,68,72,115,88,67,84,43,11,480,78,69,36,28,32,12,13,259,4,4,0,0,0,0,0,8,148,189,126,96,117,53,26,750
203031048,27,64,36,25,44,13,4,208,3,0,0,0,3,0,0,8,0,3,3,0,3,0,0,11,42,88,66,52,80,28,13,370,0,3,0,0,5,0,0,16,0,3,5,3,3,3,0,19,0,7,5,6,5,7,0,33,43,95,73,62,88,33,20,408,76,58,33,21,24,12,0,222,0,0,3,0,0,0,0,4,120,153,105,82,111,42,21,632
203031049,0,16,11,10,11,4,6,55,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,21,15,17,20,6,9,101,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,3,10,30,15,17,22,6,4,112,3,7,0,3,3,0,0,20,0,4,0,0,0,0,0,3,16,32,22,19,25,5,4,133
203031050,40,111,67,53,56,28,7,368,0,0,0,0,3,3,0,13,0,4,3,0,0,0,0,6,60,161,116,82,103,48,20,602,0,10,3,0,0,4,0,18,3,9,8,0,3,0,0,32,10,22,16,5,9,4,0,50,66,183,132,90,108,49,20,652,72,67,16,33,27,8,4,222,0,0,0,0,0,0,0,0,136,246,147,122,136,54,28,870
203031051,6,15,20,7,12,6,0,66,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,19,30,23,13,25,16,3,130,0,0,0,3,3,0,0,7,0,3,0,0,0,0,0,10,0,3,0,3,4,0,0,17,25,32,26,19,34,14,3,144,30,35,15,11,9,3,0,107,0,0,0,0,0,0,0,4,51,69,42,31,37,14,3,254
203031052,0,17,10,8,14,3,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,15,17,23,3,0,80,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,7,0,4,3,0,0,0,0,7,3,25,22,17,20,3,3,93,3,5,4,8,0,0,0,22,0,0,0,0,0,0,0,0,4,32,22,19,23,4,3,114
203031053,33,64,54,29,41,7,8,237,5,7,3,3,0,0,0,15,0,0,0,0,0,0,0,3,44,108,78,60,89,29,13,428,0,3,5,4,0,0,0,18,0,3,8,3,5,0,0,25,0,10,17,7,4,0,0,38,49,118,97,63,93,35,20,471,12,25,21,4,20,3,0,84,0,0,3,0,3,0,0,5,61,139,114,68,112,36,18,560
204011054,3,19,10,5,3,3,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,25,10,14,14,4,0,75,0,0,3,3,0,0,0,6,0,3,0,0,0,0,0,8,0,3,7,3,0,0,0,19,10,30,19,15,12,6,0,89,16,13,7,3,4,0,0,53,0,0,0,0,3,0,0,3,19,43,23,24,25,8,0,143
204011055,16,13,21,10,17,0,0,79,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,9,20,36,40,15,27,0,3,140,0,3,3,3,0,0,0,7,4,7,3,0,0,0,0,17,4,13,7,3,0,0,0,25,27,48,52,14,27,0,3,166,32,17,11,9,13,0,0,83,0,0,0,0,0,0,0,3,54,67,59,31,46,3,3,256
204011056,31,58,45,38,40,9,0,213,0,4,7,0,4,0,0,16,0,0,0,0,3,0,0,9,43,89,78,62,96,26,11,403,0,0,4,8,3,0,0,18,3,3,3,0,3,0,0,17,7,8,7,6,9,0,0,35,52,94,85,70,107,26,9,440,81,94,29,26,26,4,0,255,0,0,0,0,0,0,0,0,129,183,109,94,130,30,11,689
204011057,10,36,21,6,25,3,0,106,0,0,0,0,3,0,0,7,0,3,3,3,0,0,0,7,20,61,38,20,30,6,4,176,0,0,0,0,0,0,0,3,0,3,3,3,0,0,0,8,0,3,7,3,0,0,0,8,20,59,42,23,30,6,4,187,17,23,9,7,9,0,0,71,3,0,0,3,0,0,0,5,37,84,55,31,45,9,4,261
204011058,3,5,7,8,8,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,19,9,19,3,0,73,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,19,19,12,16,3,0,79,19,14,5,6,5,0,0,51,0,0,0,0,0,0,0,0,24,34,23,19,23,4,0,131
