SA2_MAINCODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
201021011,1185,2328,13,64,67,297,28,119,444,1726,551,2201,19,84,60,194,163,497,244,774,793,2979,3,25,19,80,6,23,127,315,163,439,5,19,31,64,125,259,167,347,325,783,18,34,2328,6119
201021012,625,1229,14,73,59,278,25,133,343,1393,446,1884,47,210,68,210,141,428,256,844,697,2725,3,21,9,38,8,36,58,174,79,260,5,11,22,38,77,159,99,203,177,467,14,23,1518,4452
201031013,478,927,3,38,20,95,11,37,148,628,182,796,16,66,21,73,60,174,97,314,279,1109,0,3,3,20,5,16,34,91,48,135,4,8,8,18,47,91,59,121,104,253,14,28,871,2322
201031014,493,965,8,41,54,256,11,48,197,805,273,1150,20,86,31,95,89,271,139,447,411,1600,0,7,6,26,5,24,55,143,65,192,3,7,3,10,52,112,63,136,127,326,3,3,1036,2897
201031015,536,1069,14,72,58,264,20,90,280,1115,368,1541,27,131,37,124,93,302,164,562,532,2102,7,24,7,27,7,20,62,159,75,227,8,23,22,45,51,107,84,174,159,402,14,22,1235,3593
201031016,951,1906,13,80,63,293,14,63,313,1232,404,1667,31,112,45,150,126,402,202,665,601,2331,0,15,22,85,16,57,192,540,233,702,14,48,43,104,153,319,214,471,439,1170,20,39,2019,5448
201031017,711,1408,7,56,52,245,16,68,217,849,291,1218,23,93,40,136,123,376,187,601,479,1822,0,5,9,42,3,16,82,246,100,307,12,31,17,33,103,216,129,284,231,587,18,31,1436,3850
202011018,1389,2736,12,79,113,517,29,145,630,2458,787,3201,42,168,91,286,194,610,324,1062,1114,4265,9,40,67,235,23,97,340,903,440,1264,33,89,102,211,303,625,435,923,875,2194,94,197,3469,9385
202011019,1090,2169,31,151,108,547,34,155,589,2303,759,3156,37,161,60,203,198,644,299,1002,1060,4159,15,69,67,250,42,138,330,934,450,1390,27,75,44,95,234,506,303,677,755,2063,58,122,2963,8513
202011020,1515,2988,28,153,137,654,27,124,603,2394,800,3320,71,271,149,492,211,637,420,1397,1219,4719,6,25,47,185,19,57,247,648,324,917,33,100,67,149,184,378,289,632,610,1551,70,138,3410,9402
202011021,848,1675,17,103,87,397,17,69,505,1999,627,2566,43,174,68,218,122,388,237,780,865,3351,9,29,52,168,9,42,191,475,260,714,12,45,60,118,126,261,194,425,457,1139,47,99,2216,6263
202011022,2126,4238,19,108,151,705,43,185,1055,4089,1266,5088,64,272,146,481,346,1099,557,1849,1823,6931,8,56,55,218,29,118,438,1161,537,1551,52,156,83,185,350,754,490,1091,1025,2647,100,206,5074,14019
202011023,410,824,6,43,92,433,22,114,446,1811,575,2400,37,159,74,250,142,445,256,858,828,3261,0,6,19,69,0,5,57,153,80,230,13,30,10,26,28,59,46,114,127,350,10,13,1374,4445
202011024,811,1598,23,124,178,800,22,106,722,2944,938,3975,70,283,118,410,167,506,353,1202,1294,5182,3,11,32,114,6,14,112,304,152,437,20,53,36,88,65,131,116,271,272,708,12,26,2382,7514
202011025,1152,2286,32,173,107,489,39,182,881,3438,1057,4285,57,232,91,304,214,658,359,1194,1415,5477,11,54,45,163,26,83,260,727,339,1027,22,77,54,130,159,354,243,560,582,1590,33,67,3188,9421
202021026,818,1611,20,105,129,599,32,145,504,2062,684,2915,38,160,105,349,162,486,303,994,990,3911,0,5,14,53,5,30,67,193,83,280,10,19,21,48,74,153,101,218,186,502,16,30,2008,6051
202021027,1102,2159,13,49,83,380,26,118,507,1960,625,2513,39,151,66,211,150,458,255,816,885,3333,0,11,34,107,11,24,200,498,243,640,15,56,67,146,152,314,242,521,487,1158,44,84,2507,6728
202021028,1170,2307,15,100,85,368,15,79,419,1648,533,2186,31,133,84,290,162,501,282,921,815,3114,4,7,24,66,6,33,91,236,125,341,5,21,34,69,124,256,163,346,288,688,26,51,2298,6160
202021029,636,1270,8,51,33,143,16,67,185,728,238,991,18,69,39,117,98,311,153,497,386,1486,0,11,14,46,0,10,82,209,100,271,4,9,10,31,66,132,84,170,178,442,16,33,1223,3236
202021030,1096,2172,21,97,98,447,28,122,561,2195,706,2865,52,210,80,272,184,574,320,1065,1026,3928,3,21,28,96,14,43,125,322,162,486,11,32,47,105,144,304,202,445,372,925,30,60,2516,7088
202021031,688,1357,14,68,83,354,19,64,532,2078,645,2569,44,162,98,324,131,415,270,904,915,3470,4,22,25,83,9,22,72,172,105,297,16,47,31,69,84,185,137,302,238,603,27,52,1865,5485
202031032,525,1028,13,65,61,296,14,73,258,1027,353,1455,19,93,47,152,104,306,166,554,523,2009,0,0,13,41,5,22,53,150,72,216,7,19,20,44,51,105,79,161,147,376,11,17,1203,3433
202031033,921,1800,12,76,85,394,11,51,297,1241,404,1763,18,77,58,182,104,324,184,583,586,2348,6,20,18,55,11,30,69,199,100,305,10,24,21,40,104,216,129,272,231,580,21,41,1753,4771
203011034,582,1157,21,133,107,482,18,68,593,2402,734,3091,38,175,61,206,119,384,218,766,957,3854,3,17,18,61,0,9,71,198,96,291,3,11,24,48,57,123,86,186,180,469,13,32,1731,5515
203011035,739,1446,23,126,98,451,34,141,494,1972,646,2693,53,221,61,209,173,549,295,981,942,3675,0,11,15,64,9,26,80,216,107,328,3,18,21,49,75,162,107,226,214,553,12,24,1900,5698
203011036,678,1340,10,38,79,360,15,71,357,1451,456,1919,57,241,60,196,136,424,256,857,707,2779,0,7,8,34,3,17,73,180,83,235,6,30,19,41,68,146,96,216,181,448,19,37,1589,4607
203021037,1423,2814,13,58,111,482,15,88,862,3302,1000,3926,84,326,105,351,204,622,395,1300,1392,5227,5,10,66,211,22,68,220,535,309,826,37,124,103,213,206,430,354,768,656,1595,60,122,3532,9765
203021038,2009,4042,46,297,239,1193,80,390,1091,4293,1462,6178,133,554,159,521,622,1991,909,3072,2371,9250,37,173,147,600,99,353,864,2376,1146,3507,72,254,151,326,668,1480,891,2065,2035,5566,134,283,6550,19144
203021039,1340,2633,3,29,91,429,13,58,657,2476,769,2989,58,220,110,383,180,551,345,1154,1121,4139,9,27,32,109,11,22,172,431,214,594,14,48,77,151,202,426,292,620,508,1211,70,136,3035,8128
203021040,1904,3754,16,89,173,769,33,151,1281,4909,1501,5924,103,432,195,651,295,928,588,2007,2088,7932,14,39,51,174,8,31,303,749,378,994,45,141,104,221,314,668,460,1028,832,2021,98,203,4928,13912
203021041,2375,4723,37,197,252,1182,63,290,1539,5961,1895,7634,139,565,214,713,459,1442,809,2716,2707,10348,14,64,73,252,28,89,317,848,433,1245,49,160,117,271,307,646,470,1082,906,2327,86,175,6067,17575
203021042,2200,4343,32,172,335,1509,35,163,1513,6012,1920,7848,174,726,354,1203,423,1283,949,3213,2864,11061,5,14,37,132,8,40,223,578,268,759,33,90,88,196,215,463,332,743,602,1506,59,125,5727,17029
203021043,1664,3293,36,210,215,975,56,255,1242,4809,1545,6251,144,591,197,671,421,1339,759,2596,2303,8853,9,43,57,213,24,92,261,701,357,1047,43,137,61,145,230,504,337,785,692,1831,55,108,4713,14085
203021044,1386,2745,24,118,148,692,30,134,902,3459,1098,4404,77,328,137,474,268,839,489,1646,1591,6045,7,40,41,163,21,62,218,604,290,870,25,71,72,160,163,351,257,579,547,1446,32,66,3547,10309
203021045,1492,2994,22,138,105,468,47,199,643,2463,815,3278,75,329,97,311,333,1033,499,1677,1318,4952,20,71,54,191,36,140,316,861,430,1261,43,140,78,153,355,748,471,1047,896,2305,74,156,3783,10415
203021046,1003,1956,16,82,146,677,4,26,678,2696,846,3470,69,272,166,566,140,431,372,1270,1227,4737,3,17,27,78,4,17,106,259,140,375,9,34,65,138,113,239,194,410,330,787,36,80,2593,7557
203021047,1471,2920,26,140,128,572,26,111,779,2967,956,3785,81,347,125,425,355,1119,560,1887,1512,5678,3,18,49,182,21,79,270,743,341,1026,28,108,77,170,313,680,421,958,761,1984,65,123,3808,10709
203031048,1669,3289,30,152,142,654,39,169,737,2913,937,3884,82,338,132,455,314,968,533,1765,1468,5652,8,34,47,165,15,62,218,594,286,851,21,66,73,164,198,426,291,646,579,1502,31,73,3749,10508
203031049,656,1291,5,27,54,239,12,56,231,927,310,1253,19,63,38,134,83,249,142,447,452,1698,0,0,10,34,3,9,48,124,62,170,7,19,23,55,55,95,82,167,148,337,8,22,1266,3345
203031050,2413,4737,33,156,284,1287,48,215,1833,7198,2189,8857,142,571,263,869,391,1207,798,2650,2985,11504,11,45,68,219,21,65,330,875,426,1210,46,140,84,184,240,486,369,816,798,2018,53,109,6251,18371
203031051,1181,2339,6,36,46,220,20,75,261,1041,329,1370,21,71,36,124,141,443,196,636,524,2011,4,15,12,40,5,31,103,284,129,358,11,46,27,59,99,207,137,313,269,669,24,44,1995,5061
203031052,632,1239,4,19,36,178,8,34,166,649,220,880,18,73,47,149,53,162,123,379,339,1266,4,15,9,21,5,16,41,100,50,149,7,16,10,29,42,83,65,127,112,279,8,14,1089,2793
203031053,1842,3590,36,183,263,1181,29,127,1555,6154,1880,7637,115,452,219,746,278,847,611,2044,2499,9678,3,20,50,172,4,23,190,525,250,730,27,71,73,157,163,319,258,543,511,1275,43,87,4884,14633
204011054,921,1826,8,38,36,161,13,67,294,1154,355,1419,21,74,39,123,112,335,175,535,526,1950,0,4,16,49,0,0,61,152,73,202,8,17,16,29,72,154,94,203,166,408,13,23,1630,4210
204011055,895,1772,5,28,58,264,7,44,263,1040,334,1371,20,94,40,127,100,309,166,526,493,1900,0,0,15,62,4,13,107,286,123,363,12,28,23,55,96,191,128,278,254,636,20,40,1664,4349
204011056,1339,2661,24,135,176,845,48,224,849,3404,1106,4616,72,307,132,452,310,985,511,1747,1617,6361,19,64,50,174,35,118,243,655,343,1009,27,84,74,150,211,437,303,671,647,1681,51,108,3654,10813
204011057,1080,2109,9,60,68,313,12,56,461,1867,554,2295,25,104,58,188,140,396,222,689,777,2980,0,8,15,51,9,32,111,294,141,382,7,21,29,66,85,178,127,260,265,648,21,35,2142,5781
204011058,542,1066,5,23,33,154,9,35,197,773,243,993,13,45,29,92,98,281,133,414,377,1405,5,13,10,38,4,7,48,124,59,190,4,14,10,26,55,121,72,155,139,345,10,20,1067,2843
204011059,620,1222,9,59,63,277,23,90,220,860,316,1282,26,101,35,118,136,444,195,659,513,1942,3,12,25,86,16,61,149,410,191,569,22,66,41,87,133,283,198,438,384,1001,29,59,1542,4222
204011060,463,911,5,38,53,246,16,78,307,1189,382,1549,17,81,45,154,83,263,150,498,535,2051,0,8,10,32,3,25,32,88,52,154,3,10,6,15,52,109,64,138,114,293,5,14,1123,3261
204011061,19,37,0,0,3,21,0,3,9,35,16,60,0,0,0,3,3,7,3,11,14,68,0,0,0,0,0,0,0,3,3,5,0,0,0,3,6,11,7,10,8,15,0,4,46,120
204011062,495,970,4,28,34,169,9,50,168,653,217,894,13,61,24,74,58,171,91,303,312,1202,0,7,6,25,5,12,51,153,62,197,5,18,15,35,38,86,62,137,124,335,11,21,944,2530
204021063,1332,2613,12,67,87,390,17,87,408,1616,524,2163,34,140,68,234,173,549,281,914,809,3074,3,15,43,164,11,48,234,637,292,862,15,37,54,109,158,312,222,466,519,1327,40,88,2699,7101
204021064,539,1052,5,31,37,176,6,30,179,727,236,979,20,67,39,122,73,220,133,411,366,1387,0,3,4,23,0,8,32,102,40,130,7,12,5,20,36,76,46,107,90,232,4,6,995,2685
204021065,470,935,15,67,31,158,7,24,219,860,277,1099,17,79,27,92,71,227,121,397,396,1496,3,19,20,72,0,0,69,157,96,248,11,27,16,36,47,92,71,159,168,407,15,38,1051,2875
204021066,2050,4050,29,158,172,786,53,237,1024,4021,1275,5204,75,292,141,467,277,845,494,1601,1769,6812,12,67,68,231,31,110,394,1052,502,1463,30,101,81,180,291,622,406,900,909,2357,77,156,4802,13370
204021067,1284,2527,28,131,137,609,28,132,569,2310,767,3182,53,236,74,223,236,711,361,1172,1120,4353,0,11,18,49,4,24,92,240,117,326,9,20,20,32,85,175,110,230,225,550,27,50,2661,7480
204031068,569,1111,3,21,46,196,7,31,246,967,299,1216,10,50,31,95,70,214,115,366,417,1582,0,3,13,44,3,13,62,157,85,218,3,17,25,48,67,138,98,202,176,424,11,27,1173,3142
204031069,1044,2033,5,34,69,299,15,69,402,1571,491,1971,22,101,77,231,128,388,231,718,718,2685,0,3,22,65,4,14,123,305,144,393,6,29,31,66,72,142,113,235,258,628,11,26,2032,5379
204031070,389,772,3,17,30,147,8,51,195,777,244,991,16,57,29,93,73,225,118,372,359,1365,0,6,8,25,3,16,32,87,47,133,7,24,9,24,39,80,59,128,100,264,3,10,855,2405
204031071,613,1212,13,64,53,234,10,59,206,839,280,1197,18,80,44,132,87,268,150,477,435,1673,0,3,13,54,3,9,73,196,90,260,4,14,14,36,59,134,82,187,175,447,19,46,1237,3379
204031072,862,1693,8,39,70,320,12,40,286,1144,370,1554,20,93,69,217,80,243,172,552,537,2106,3,8,14,54,5,20,59,144,79,227,7,22,22,50,49,110,77,179,161,407,16,29,1577,4238
204031073,1559,3078,29,162,175,829,36,180,952,3769,1201,4940,72,303,131,432,245,753,455,1486,1650,6422,9,44,57,211,39,137,358,993,464,1388,23,66,77,166,187,406,287,632,756,2024,37,76,4001,11603
204031074,2412,4765,46,253,267,1249,61,283,1494,5787,1868,7571,115,483,184,597,375,1154,671,2233,2539,9801,8,53,94,336,36,127,552,1511,692,2027,41,122,112,240,323,661,478,1020,1162,3046,94,184,6210,17799
204031075,559,1105,9,60,61,281,10,43,305,1223,394,1610,26,112,56,189,98,294,185,598,578,2206,3,4,11,50,5,15,52,143,72,206,6,19,15,30,29,63,49,108,125,319,3,5,1263,3636
205011076,1783,3562,32,211,166,764,47,217,991,3994,1238,5187,69,287,143,476,325,1027,535,1788,1768,6980,18,72,38,143,24,95,279,786,360,1089,33,109,64,153,227,485,327,743,688,1830,45,95,4285,12466
205011077,777,1532,18,89,76,360,18,85,302,1232,416,1774,29,133,53,183,150,478,238,795,654,2565,3,16,12,51,7,20,67,188,90,274,12,36,24,52,62,133,96,227,192,495,11,30,1638,4627
205011078,940,1860,8,57,87,399,23,104,437,1795,555,2352,50,193,69,226,155,483,270,900,824,3248,6,23,17,62,13,46,122,330,157,462,17,45,29,59,87,191,132,291,290,754,13,32,2065,5897
205011079,2102,4145,38,227,234,1106,62,275,1043,4199,1374,5807,122,528,194,649,353,1124,668,2295,2044,8102,20,76,56,202,13,52,310,837,399,1167,39,124,99,213,241,499,371,833,776,2005,56,123,4975,14374
205021080,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
205021081,1661,3275,12,78,137,649,31,142,752,2931,936,3792,57,236,93,306,239,734,389,1283,1328,5074,10,42,67,217,22,83,272,759,366,1098,35,111,62,136,221,465,318,711,685,1814,53,106,3729,10267
205021082,1087,2132,17,86,71,333,25,121,417,1683,531,2222,43,157,67,204,162,488,264,846,795,3070,4,15,27,88,3,13,87,221,118,342,6,11,24,54,90,194,121,258,243,602,20,49,2148,5851
205021083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021084,1432,2809,12,51,68,316,19,66,432,1729,532,2165,27,119,64,200,178,532,266,846,796,3012,4,15,21,80,8,29,170,446,203,574,9,21,37,69,122,255,167,346,365,920,21,41,2616,6780
205021085,853,1656,5,39,56,263,20,79,276,1090,353,1467,15,59,41,129,91,277,155,471,508,1943,0,0,27,102,10,29,90,255,128,387,6,16,17,31,87,185,111,232,242,614,22,46,1614,4262
205021086,1135,2232,9,52,39,189,9,45,245,940,308,1231,16,60,29,98,86,281,136,445,446,1672,4,15,17,50,8,35,82,204,104,295,10,19,17,31,61,130,84,187,189,481,17,27,1783,4419
205031087,1216,2391,9,39,96,453,18,65,390,1596,513,2151,37,159,61,197,141,419,241,774,753,2927,0,4,18,69,9,14,85,204,111,294,8,21,32,62,102,209,143,296,252,584,23,44,2247,5954
205031088,17,26,0,0,0,3,0,0,9,26,10,30,0,0,0,0,0,3,0,3,9,35,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,0,29,67
205031089,1107,2186,16,79,108,496,28,151,513,2090,667,2816,44,191,83,260,179,557,307,1003,971,3821,3,16,17,67,6,34,145,413,175,538,8,28,36,92,128,272,177,400,355,931,22,44,2455,6986
205031090,1293,2563,17,77,141,661,26,125,651,2665,830,3532,57,223,99,325,189,595,347,1146,1179,4673,3,16,29,93,15,39,162,440,213,592,15,45,52,115,120,254,189,409,400,1004,25,44,2893,8289
205031091,1345,2644,16,91,80,348,24,112,544,2102,662,2652,19,87,82,248,124,372,222,704,891,3356,6,29,31,95,23,69,196,535,256,728,6,14,53,120,136,280,198,410,456,1137,21,44,2713,7177
205031092,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9
205031093,2866,5649,32,170,196,896,45,219,1055,4196,1332,5481,76,322,151,487,344,1062,573,1867,1905,7349,8,46,76,263,34,124,392,1072,512,1510,36,105,81,180,318,647,439,935,951,2444,68,139,5796,15575
205041094,1317,2606,15,77,129,577,20,89,622,2485,787,3233,67,271,135,439,285,854,489,1562,1272,4798,9,37,43,143,11,51,195,519,259,746,23,81,50,105,146,300,223,487,480,1236,34,74,3106,8707
205041095,1712,3388,31,164,149,670,47,203,700,2738,929,3784,71,283,120,410,355,1100,551,1796,1476,5574,19,83,67,244,29,105,427,1143,546,1585,41,136,74,147,337,691,449,981,1000,2562,53,119,4240,11645
205041096,1363,2710,11,87,88,424,22,113,521,2067,650,2687,58,243,83,269,268,835,414,1351,1059,4033,11,35,46,195,43,165,405,1141,505,1534,18,66,63,139,278,589,366,794,873,2334,52,111,3350,9178
205041097,2736,5391,35,205,272,1239,66,275,1628,6410,1999,8121,124,483,232,737,468,1486,822,2709,2824,10826,14,68,106,393,49,165,536,1445,705,2068,42,134,135,296,332,691,514,1123,1221,3194,79,175,6866,19585
205041098,497,990,15,72,47,214,11,59,294,1170,372,1513,30,117,45,151,123,396,197,661,573,2178,3,8,6,23,0,12,80,208,92,259,10,28,14,38,48,103,78,167,167,427,11,26,1252,3624
205051099,3,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10
205051100,581,1132,6,50,59,279,13,66,194,753,281,1148,21,81,32,102,66,198,118,375,394,1523,3,19,11,46,4,18,42,113,68,194,0,0,6,18,37,70,43,91,110,282,4,17,1086,2952
205051101,1651,3259,29,170,154,717,39,178,769,3125,998,4197,80,319,109,346,296,909,478,1575,1476,5775,5,29,35,132,8,37,222,629,281,827,23,66,55,115,155,318,231,501,508,1331,46,90,3676,10447
205051102,487,960,12,58,38,184,19,85,249,997,322,1325,23,88,31,95,98,306,153,495,472,1819,0,8,10,23,3,3,39,117,54,154,5,7,7,16,49,116,68,139,116,294,19,31,1089,3097
205051103,1505,2938,24,122,157,700,32,140,880,3432,1093,4393,51,199,128,407,221,679,403,1280,1494,5675,10,35,61,213,20,84,267,743,356,1066,22,67,89,186,193,400,302,651,653,1714,54,109,3707,10429
205051104,742,1458,9,38,40,203,17,69,224,866,290,1176,12,51,51,172,102,307,169,536,454,1712,0,3,11,44,9,34,69,201,92,280,5,20,25,49,66,128,90,204,184,475,15,33,1400,3683
206011105,2944,5806,21,102,103,456,15,62,1243,4451,1375,5073,72,319,153,496,280,895,509,1713,1884,6784,3,20,25,71,4,16,186,437,217,544,19,48,94,213,302,661,414,925,639,1471,221,465,5685,14522
206011106,1326,2624,0,11,65,263,5,27,560,1960,631,2261,25,105,70,244,122,384,225,728,850,2991,4,14,12,56,3,9,108,241,130,311,6,29,43,81,129,269,172,381,306,696,93,196,2574,6510
206011107,1405,2769,6,26,86,411,13,69,795,2919,898,3428,53,221,106,380,209,682,370,1289,1269,4716,3,21,23,87,4,4,145,355,179,476,20,46,49,103,207,433,273,581,448,1056,104,220,3229,8766
206011108,2392,4729,37,221,237,1075,58,256,1806,6750,2130,8307,171,733,227,802,547,1787,941,3325,3074,11629,7,23,48,159,6,35,233,596,296,812,35,107,75,174,474,1043,583,1321,879,2130,175,379,6524,18870
206011109,756,1504,9,62,143,647,23,107,796,3050,980,3866,101,421,141,518,218,737,467,1678,1445,5545,6,21,25,78,5,19,88,219,121,340,26,76,37,99,155,331,223,505,340,843,61,130,2596,8025
206021110,850,1695,11,50,93,426,5,21,605,2290,713,2791,64,270,122,451,150,473,337,1189,1049,3974,0,0,12,49,0,0,85,187,100,240,15,46,37,97,121,252,174,398,272,636,47,89,2212,6390
206021111,2291,4497,15,73,256,1141,23,105,1664,6243,1956,7557,119,493,277,977,341,1071,738,2536,2691,10097,4,16,51,156,10,39,248,594,309,802,28,74,97,215,323,711,451,997,758,1802,151,318,5899,16713
206021112,1741,3448,11,65,143,626,23,101,1287,4783,1464,5579,71,318,145,502,283,887,498,1708,1962,7280,5,24,24,82,9,29,208,504,243,642,23,67,84,191,243,523,346,777,586,1417,120,252,4409,12401
206031113,1364,2701,14,65,120,540,15,81,1026,3908,1184,4588,67,268,167,602,234,748,467,1616,1647,6209,0,11,32,113,6,28,215,565,255,716,20,57,86,192,206,451,317,700,565,1412,119,243,3694,10565
206031114,2407,4758,37,188,441,1988,33,152,1713,6526,2229,8854,270,1151,470,1717,585,1867,1330,4727,3557,13588,3,11,46,168,13,31,251,621,310,833,48,164,124,282,351,750,525,1184,842,2022,165,343,6962,20707
206031115,886,1742,3,17,54,284,11,41,520,1945,590,2294,18,92,54,195,81,262,154,551,744,2840,11,61,36,155,9,44,179,498,236,755,23,63,61,136,147,326,231,533,473,1288,127,262,2223,6128
206031116,1358,2681,12,70,179,805,9,34,967,3634,1165,4543,100,401,185,660,276,876,559,1944,1730,6491,0,10,16,46,6,20,114,274,139,359,14,45,51,117,194,429,259,599,401,951,100,210,3587,10331
