SA2_MAINCODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
202011019,3217,116,27,9,18,3387,896,131,15,0,8,1051,126,11,3,0,0,145,4240,262,42,6,30,4577
202011020,3600,632,35,5,5,4282,644,264,14,0,4,926,94,37,0,0,0,134,4336,934,52,5,12,5340
202011021,2528,422,11,0,5,2961,390,170,10,0,3,570,73,23,0,0,0,91,2989,613,21,0,7,3630
202011022,5462,348,114,38,24,5982,1221,203,75,34,7,1534,177,34,11,11,3,239,6868,588,203,78,31,7758
202011023,1380,0,3,5,9,1395,101,0,0,3,0,109,27,0,0,0,0,25,1512,0,4,7,4,1528
202011024,2490,4,3,8,9,2514,154,0,3,14,0,163,45,0,0,0,0,46,2686,6,4,22,9,2729
202011025,3395,64,3,12,11,3483,478,42,4,7,0,532,85,6,5,0,6,104,3958,114,17,19,12,4118
202021026,2065,3,5,10,31,2120,197,0,0,3,4,203,38,0,0,0,0,38,2296,3,4,20,37,2356
202021027,3016,135,21,10,27,3199,674,101,10,3,3,785,101,13,3,0,3,126,3788,247,30,11,32,4115
202021028,2657,14,11,20,23,2725,547,4,16,14,4,584,60,0,0,0,0,66,3265,19,27,33,29,3373
202021029,1306,0,12,16,13,1344,361,3,8,8,9,383,88,0,0,0,3,93,1748,7,16,31,18,1826
202021030,2696,85,42,31,8,2865,473,61,30,6,0,569,80,7,3,0,11,102,3251,155,74,38,23,3532
202021031,2034,45,8,3,15,2102,204,20,0,3,0,234,42,5,0,0,0,44,2287,69,9,4,17,2377
202031032,1174,5,0,17,8,1203,320,0,4,8,0,336,49,3,0,3,0,55,1544,6,3,30,5,1593
202031033,1810,4,14,32,21,1891,706,6,25,24,4,770,97,0,7,3,5,119,2619,11,50,63,33,2775
203011034,1741,0,3,7,0,1751,169,0,0,0,0,168,33,0,0,0,0,34,1944,3,3,8,3,1956
203011035,1942,12,10,3,3,1976,311,3,9,0,3,326,42,0,0,0,0,43,2295,14,19,6,10,2339
203011036,1641,3,3,6,14,1662,276,0,4,0,0,279,51,0,0,0,0,50,1963,3,8,13,13,1994
203021037,3589,797,43,83,13,4535,701,265,16,76,0,1061,103,32,0,9,4,141,4390,1090,64,174,14,5733
203021038,6204,441,119,57,25,6837,2063,380,56,0,7,2504,353,58,14,0,3,428,8616,874,188,57,31,9767
203021039,2989,825,365,12,7,4196,589,222,81,4,4,890,82,29,21,0,3,133,3655,1076,461,14,19,5226
203021040,4998,616,643,19,24,6292,963,218,281,0,0,1468,126,38,45,0,0,205,6086,875,968,15,24,7966
203021041,6346,574,39,96,13,7063,757,224,45,4,0,1041,156,33,18,3,0,205,7258,830,100,105,18,8315
203021042,6003,608,19,3,15,6648,528,190,9,0,0,732,111,20,0,0,0,137,6646,823,22,3,21,7515
203021043,4561,396,21,3,8,4992,583,93,3,0,4,685,117,17,0,0,3,140,5268,501,27,3,16,5814
203021044,3742,200,0,14,4,3963,427,91,0,20,0,547,65,12,0,0,0,79,4230,310,4,42,8,4588
203021045,3876,458,26,30,8,4397,1093,203,10,18,3,1322,158,19,0,10,0,182,5121,675,32,54,16,5900
203021046,2553,608,86,6,10,3268,291,153,12,0,0,457,63,18,3,0,0,80,2906,780,101,6,14,3805
203021047,3453,463,162,29,7,4118,1093,157,82,15,8,1362,135,26,8,0,3,172,4678,655,261,44,20,5652
203031048,3999,103,28,4,18,4154,642,80,17,0,3,744,107,5,4,0,0,118,4751,196,52,6,20,5023
203031049,1497,35,51,13,15,1607,196,10,19,6,0,232,42,0,0,0,0,42,1737,39,70,22,23,1889
203031050,6701,467,44,17,26,7257,637,115,10,3,0,769,123,17,4,3,5,153,7457,605,56,26,33,8174
203031051,2133,127,71,3,8,2346,568,42,35,0,0,655,96,4,7,0,7,115,2804,178,110,7,23,3116
203031052,1261,93,26,14,9,1396,174,16,12,0,0,208,26,4,0,0,0,31,1465,110,35,19,14,1638
203031053,5087,456,36,8,9,5589,407,72,16,0,3,501,97,12,0,0,0,115,5588,541,46,6,16,6204
204011054,1743,51,8,50,28,1880,445,40,8,20,8,522,78,25,3,44,3,148,2265,113,25,110,36,2549
204011055,1842,39,25,13,8,1929,493,48,20,15,0,575,75,10,7,3,0,92,2414,98,49,31,15,2599
204011056,3669,181,52,26,14,3947,641,72,44,17,5,780,100,11,8,0,4,117,4408,268,107,38,20,4845
204011057,2438,33,19,20,15,2523,534,21,12,9,9,575,118,0,5,4,4,132,3088,48,37,35,30,3233
204011058,1091,10,23,17,12,1148,316,13,24,16,0,368,51,3,3,0,3,59,1458,25,45,37,12,1578
204011059,1618,15,95,20,8,1746,467,14,102,6,0,591,79,4,16,4,0,100,2164,34,215,28,10,2441
204011060,1134,11,0,3,9,1158,169,3,0,0,0,175,27,0,0,0,0,28,1330,14,0,5,14,1360
204011061,55,0,0,0,0,55,25,0,0,0,0,25,0,0,0,0,0,4,82,0,0,0,0,84
204011062,1021,8,14,11,9,1065,268,6,13,16,0,302,48,0,3,0,0,49,1339,15,26,27,9,1419
204021063,2874,38,194,11,25,3147,842,21,157,7,4,1027,114,5,24,3,0,152,3833,61,373,27,29,4325
204021064,1016,0,0,7,7,1035,230,0,0,3,0,237,20,0,0,0,0,20,1267,0,0,13,7,1291
204021065,1075,13,69,8,3,1170,262,10,41,0,0,317,25,0,9,0,0,32,1363,21,125,12,6,1521
204021066,4875,591,33,17,11,5523,1235,410,27,11,3,1683,220,58,4,3,3,289,6335,1054,64,28,20,7495
204021067,2719,8,8,27,13,2778,602,0,6,19,0,632,73,0,0,3,0,73,3394,8,19,43,16,3482
204031068,1263,30,42,4,22,1355,228,20,27,3,0,272,33,0,3,0,0,38,1516,46,69,8,18,1664
204031069,2213,69,115,13,46,2454,431,16,40,0,11,503,77,4,8,0,3,90,2717,95,160,16,57,3046
204031070,895,3,13,12,9,930,165,0,11,11,4,190,28,0,3,0,0,32,1086,5,23,19,14,1152
204031071,1292,26,0,14,10,1343,396,30,0,6,3,441,60,7,0,0,0,67,1745,65,3,15,15,1847
204031072,1681,10,3,11,9,1718,493,6,7,9,4,519,69,4,4,3,0,81,2248,24,12,24,15,2317
204031073,4099,273,135,14,12,4524,571,116,86,7,0,785,75,15,12,3,0,105,4744,410,228,18,12,5419
204031074,6274,682,58,14,58,7078,1108,343,36,5,8,1502,193,57,6,0,3,263,7572,1078,97,26,66,8846
204031075,1304,3,7,11,6,1333,187,19,0,7,0,214,35,0,0,0,0,35,1531,24,6,21,6,1582
205011076,4342,161,116,43,18,4678,777,71,85,43,0,982,126,9,4,3,0,146,5238,239,213,95,21,5807
205011077,1689,14,9,15,17,1739,342,0,4,9,3,360,66,0,0,0,5,72,2096,13,14,19,30,2172
205011078,2195,34,21,0,4,2251,418,36,16,0,0,466,59,5,5,3,0,76,2675,66,44,3,8,2797
205011079,5096,177,307,21,18,5614,738,135,182,16,3,1071,146,17,22,3,3,183,5970,330,510,35,24,6872
205021080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021081,3902,160,65,14,19,4148,996,145,47,8,3,1201,163,21,3,4,52,237,5058,319,107,24,77,5587
205021082,2104,19,3,42,21,2189,563,6,3,46,10,632,69,0,0,4,6,72,2735,25,8,93,33,2894
205021083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021084,2727,66,40,58,39,2937,710,44,27,36,6,826,111,8,3,9,10,146,3551,122,74,103,61,3908
205021085,1721,20,22,21,24,1800,686,16,30,10,9,753,83,4,9,3,0,103,2490,35,60,32,35,2648
205021086,1903,102,44,23,8,2076,356,47,13,16,0,432,55,7,4,0,0,64,2306,150,64,41,13,2577
205031087,2548,28,28,19,18,2645,638,16,25,20,0,710,103,0,0,4,0,111,3290,45,55,48,19,3463
205031088,35,0,0,3,0,41,11,0,0,3,0,12,0,0,0,3,0,3,48,0,0,8,0,55
205031089,2560,52,12,13,14,2651,540,50,5,4,5,607,74,9,0,0,3,87,3169,111,15,24,18,3338
205031090,3046,65,90,8,13,3220,617,25,86,0,7,734,101,4,10,0,0,115,3767,92,184,11,17,4066
205031091,3039,188,66,10,23,3325,503,100,25,3,3,642,104,21,5,0,0,131,3646,316,97,16,22,4099
205031092,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
205031093,6426,236,53,77,32,6829,1652,153,36,77,0,1915,230,13,9,4,5,263,8312,404,97,160,41,9013
205041094,3370,17,30,6,7,3430,490,8,22,0,0,523,91,0,3,0,17,118,3956,23,59,12,30,4070
205041095,4322,404,119,8,8,4870,1161,351,130,17,3,1649,185,56,16,0,0,256,5665,806,267,29,13,6781
205041096,3491,161,242,5,14,3910,1141,174,174,0,0,1487,161,12,37,0,0,219,4786,346,454,6,16,5613
205041097,7354,350,420,47,20,8185,1190,160,226,12,10,1596,203,26,35,7,13,284,8743,536,677,61,41,10058
205041098,1344,0,0,0,4,1353,240,0,0,0,0,242,40,0,0,0,0,35,1621,0,0,3,7,1632
205051099,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,7
205051100,1264,0,0,8,3,1275,281,0,0,7,0,291,52,0,0,0,0,54,1599,0,4,11,9,1621
205051101,3950,13,24,20,25,4044,939,12,29,12,4,1003,124,3,3,0,0,130,5020,27,56,37,33,5174
205051102,1141,0,0,12,14,1159,229,0,0,0,0,229,39,0,0,0,0,39,1405,0,0,8,14,1426
205051103,3912,256,208,28,9,4412,741,186,101,15,5,1046,125,31,13,0,0,170,4784,471,320,43,10,5624
205051104,1520,23,6,25,7,1576,481,19,6,22,0,532,54,3,4,4,0,62,2050,45,15,56,6,2174
206011105,3118,2769,3141,82,41,9154,546,264,298,9,4,1120,102,76,94,3,5,281,3767,3105,3539,94,54,10560
206011106,1077,1428,1655,28,13,4205,239,104,123,0,0,462,32,37,31,5,4,104,1348,1566,1802,37,18,4776
206011107,1876,1021,1873,30,17,4816,364,102,304,7,3,779,57,27,68,0,3,151,2302,1150,2235,40,17,5745
206011108,5034,2095,772,16,39,7952,1041,281,98,3,7,1428,144,56,22,0,3,226,6226,2438,891,17,48,9610
206011109,2369,271,151,3,9,2808,424,35,30,0,10,498,57,6,4,0,0,63,2854,306,188,6,19,3371
206021110,1552,682,716,11,9,2966,209,77,111,0,0,397,42,20,19,0,3,85,1800,775,847,11,20,3450
206021111,3797,2548,1687,59,26,8121,626,245,237,8,3,1123,106,42,55,0,0,201,4525,2843,1975,72,29,9446
206021112,3173,1352,1509,33,30,6092,601,187,305,3,3,1096,104,29,62,0,4,198,3872,1565,1875,42,35,7385
206031113,2197,1212,1316,21,19,4760,264,119,391,3,0,773,44,26,91,0,3,160,2499,1352,1802,21,27,5702
206031114,4498,1651,2652,20,24,8848,532,205,486,4,0,1229,100,42,97,0,9,243,5131,1897,3234,20,34,10316
206031115,715,691,1850,29,10,3294,75,93,455,0,3,627,19,16,124,0,0,159,814,803,2421,31,9,4083
206031116,2529,862,1148,22,22,4584,361,82,290,3,3,742,62,27,59,0,4,157,2955,974,1494,24,32,5482
206041117,81,1069,5919,29,40,7139,8,64,752,0,3,820,7,47,253,3,10,315,87,1179,6918,30,49,8273
206041118,3,103,4197,5,12,4320,0,0,233,0,0,239,0,5,104,0,3,112,3,105,4538,5,18,4673
206041119,147,378,1491,3,6,2016,5,19,102,0,0,124,5,3,21,0,0,28,155,394,1616,3,6,2173
206041120,0,0,19,0,0,21,0,0,3,0,0,3,0,0,0,0,0,0,0,0,20,0,0,22
206041121,554,2134,1197,11,10,3906,52,183,238,0,0,476,18,43,42,0,0,108,624,2363,1482,10,11,4491
206041122,27,24,14333,9,187,14573,0,3,1098,15,9,1127,4,0,517,42,19,585,28,23,15951,62,218,16284
206041123,379,1886,4746,22,38,7067,59,158,570,0,8,797,17,45,180,0,7,252,456,2092,5493,24,49,8118
206041124,95,591,1112,4,18,1825,0,25,79,0,0,104,3,24,25,0,9,63,102,639,1226,4,22,1997
206041125,161,288,2013,3,7,2474,7,8,162,0,0,179,4,8,60,0,4,79,178,304,2234,4,12,2730
206041126,11,140,7528,11,3,7693,0,3,378,0,0,381,0,3,173,0,0,180,14,148,8075,9,3,8251
206041127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206051128,606,2227,2912,18,21,5781,67,198,279,0,3,545,10,46,103,0,0,156,682,2471,3289,15,25,6481
206051129,844,909,4393,3,24,6168,60,58,452,0,0,569,17,25,122,0,4,171,930,985,4964,3,29,6910
206051130,308,2667,3154,6,10,6153,34,346,346,3,4,735,4,84,88,0,4,184,348,3097,3586,12,20,7072
206051131,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
206051132,229,1657,2491,41,23,4441,36,180,384,0,0,606,8,30,93,3,0,134,271,1869,2971,42,22,5178
206051133,616,1212,8299,305,47,10480,42,100,1106,23,3,1274,19,38,282,8,6,357,676,1345,9693,334,56,12110
206051134,940,916,4513,65,20,6448,103,62,569,8,0,740,23,12,123,0,8,166,1071,987,5198,72,30,7354
206061135,985,688,1678,18,10,3380,77,58,232,3,0,364,17,8,44,0,0,74,1082,754,1950,17,17,3815
206061136,877,2254,4584,36,40,7783,128,208,613,0,3,949,29,59,152,5,4,244,1030,2519,5350,36,47,8983
206061137,624,1316,6932,13,21,8901,46,75,752,0,0,878,18,37,196,0,3,245,684,1426,7880,13,22,10028
206061138,1535,1002,2370,0,7,4917,77,71,248,0,0,397,44,34,101,0,0,181,1660,1107,2723,0,7,5492
206071139,399,847,1940,16,18,3220,54,71,128,3,0,253,11,22,51,0,0,78,462,933,2117,22,24,3556
206071140,258,2107,692,34,13,3104,22,155,87,3,3,271,10,51,26,3,0,89,292,2309,804,42,14,3460
206071141,404,574,2140,42,8,3168,80,43,293,0,3,422,17,28,88,0,3,142,501,645,2528,46,13,3729
206071142,542,1103,1858,25,22,3547,34,57,353,0,0,439,11,28,98,0,4,138,584,1182,2302,23,28,4129
206071143,630,2274,1447,24,22,4401,115,187,223,0,0,521,23,67,67,3,0,161,768,2530,1727,31,28,5085
206071144,1423,4525,5357,45,59,11408,183,368,856,8,5,1424,37,117,186,3,5,343,1651,5007,6401,52,73,13179
206071145,907,1410,776,3,10,3108,54,85,91,0,0,230,15,33,27,0,0,69,976,1527,891,7,16,3415
207011146,1797,442,42,15,8,2310,165,65,18,0,0,248,17,7,0,0,0,31,1978,521,64,16,6,2591
207011147,3200,1270,549,16,15,5046,242,187,102,0,3,531,79,29,21,0,0,130,3521,1487,666,16,13,5700
207011148,4977,744,93,18,10,5840,518,83,13,3,0,619,121,7,3,0,3,134,5616,837,111,19,13,6594
207011149,4211,1460,1016,24,24,6743,260,115,102,0,3,488,77,27,23,0,0,128,4547,1605,1147,24,26,7353
207011150,3708,1021,424,8,15,5183,229,89,29,0,0,350,62,18,7,0,0,88,3999,1131,459,8,18,5619
207011151,2113,1424,5016,34,33,8617,107,115,418,0,5,640,37,32,140,0,3,203,2254,1567,5566,34,44,9470
207011152,1874,1062,2452,16,21,5433,113,61,228,0,6,418,31,28,156,0,0,215,2021,1153,2835,17,29,6059
207011153,4110,1970,1821,20,22,7943,279,163,154,0,5,612,74,37,51,3,0,165,4464,2169,2027,22,28,8715
207011154,1322,451,217,0,4,1992,136,44,28,0,0,215,23,3,4,0,0,29,1483,502,248,0,4,2240
207011155,3427,1154,428,23,16,5052,195,129,59,4,0,383,44,19,10,0,3,83,3672,1301,502,25,15,5511
207021156,2541,436,230,3,9,3220,602,44,38,0,0,690,75,8,3,0,0,85,3223,486,272,3,4,3992
207021157,4269,1241,1051,3,10,6583,758,136,149,0,4,1046,102,49,35,0,3,189,5138,1421,1235,3,15,7817
207021159,3940,826,109,0,7,4887,288,145,17,0,0,446,85,26,3,0,5,117,4310,992,129,0,10,5447
207021160,3315,717,33,3,0,4067,433,79,10,0,3,520,92,17,5,0,24,143,3843,808,43,7,30,4736
207021424,3726,409,116,0,8,4258,263,56,16,0,0,336,64,29,8,0,44,149,4052,500,139,0,54,4741
207021425,2196,1536,605,0,15,4353,346,187,98,0,0,634,47,40,22,0,3,119,2591,1761,728,0,23,5103
207031161,5042,1324,313,4,10,6699,576,176,32,0,0,783,93,22,6,0,0,126,5712,1525,351,4,13,7612
207031162,2569,523,81,9,8,3185,292,101,132,0,0,523,63,8,21,0,0,93,2919,634,230,9,8,3803
207031163,2878,1731,1737,3,15,6369,328,245,277,0,3,850,99,59,77,0,6,241,3301,2034,2085,4,25,7459
207031164,3441,1707,342,6,18,5508,448,168,43,0,3,664,86,34,14,0,0,131,3973,1907,395,6,14,6304
207031165,2197,984,381,7,12,3573,291,213,87,0,0,597,67,32,14,0,3,121,2554,1235,479,7,17,4290
207031166,2400,535,65,0,10,3000,447,88,20,0,0,558,59,8,5,0,0,75,2904,632,86,0,11,3632
207031167,2007,881,339,5,5,3239,138,93,24,0,0,257,38,18,10,0,4,65,2178,997,373,5,10,3561
208011168,3344,690,146,31,21,4226,269,87,30,3,0,397,75,17,8,0,0,103,3689,795,183,31,21,4721
208011169,4443,1598,1339,41,36,7461,249,201,210,0,4,663,82,40,46,0,0,164,4776,1835,1595,50,41,8290
208011170,3442,1288,160,6,21,4912,268,125,65,0,0,461,55,26,9,0,0,91,3758,1439,229,7,24,5455
208011171,2236,909,354,36,17,3550,256,140,51,0,0,446,48,24,12,0,4,87,2538,1079,413,36,22,4088
208011172,3593,1211,704,26,21,5554,312,179,179,3,3,689,69,26,30,0,3,131,3982,1419,913,29,27,6376
208011173,3028,1562,801,41,18,5446,218,175,128,0,0,525,54,40,37,0,3,129,3297,1775,960,40,24,6100
208021174,4485,1578,796,31,18,6907,500,179,188,4,3,873,87,57,44,0,0,193,5072,1814,1030,35,22,7979
208021176,2165,1920,2194,8,6,6290,252,243,275,3,3,779,54,55,70,0,3,183,2470,2222,2535,11,12,7255
208021177,2775,1824,2125,11,35,6768,218,174,243,0,5,638,58,45,67,0,16,184,3054,2044,2430,11,55,7590
208021178,2849,1871,857,19,19,5614,242,221,133,0,0,596,72,36,26,0,0,132,3167,2124,1012,22,18,6344
208021179,1657,808,1418,41,12,3928,159,86,205,7,0,452,31,22,41,3,0,89,1851,907,1659,49,11,4473
208021180,1296,712,307,0,3,2316,198,148,29,0,0,379,34,33,7,0,0,72,1528,892,337,0,3,2767
208021181,1611,768,755,4,4,3143,177,94,124,0,0,389,29,20,22,0,0,71,1819,876,897,4,4,3602
208021182,1787,1109,1695,33,4,4635,175,138,187,7,0,502,36,28,32,0,0,102,2004,1273,1911,43,9,5237
208021426,3071,708,634,3,18,4428,445,57,60,3,0,574,70,24,9,0,0,102,3588,787,705,5,16,5108
208021427,2894,559,528,4,17,4007,469,44,92,3,0,612,81,3,15,0,0,99,3444,605,643,4,16,4716
208031183,2105,248,204,0,0,2560,105,14,59,0,0,179,26,6,8,0,0,39,2236,272,273,0,0,2777
208031184,4,0,0,3,3,11,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,3,13
208031185,2137,1332,292,8,6,3782,210,270,80,0,6,570,58,54,11,0,0,130,2408,1658,382,12,16,4481
208031186,1837,1692,1199,86,10,4821,274,277,290,63,0,902,53,39,54,3,3,164,2164,2007,1543,152,19,5885
208031187,1396,155,118,0,5,1674,167,13,32,0,0,212,28,0,5,0,0,38,1597,170,149,0,5,1920
208031188,4229,1851,1085,33,27,7229,688,267,193,8,17,1176,114,47,103,0,24,284,5027,2170,1381,40,66,8682
208031189,2523,470,1000,12,12,4018,259,52,159,0,3,479,43,8,24,0,3,79,2825,534,1182,12,19,4575
208031190,2039,1632,791,25,15,4500,220,260,174,3,0,659,31,40,25,0,4,101,2292,1927,1001,25,21,5266
208031191,2124,260,273,3,4,2666,294,44,49,0,3,384,47,16,15,0,0,74,2470,317,329,3,8,3125
208031192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208031193,3167,2547,677,18,29,6447,356,337,183,3,4,886,78,54,29,3,0,169,3593,2941,898,26,36,7504
208041194,2893,1332,2659,54,28,6965,215,110,315,7,7,654,48,20,73,0,3,147,3160,1464,3045,56,32,7761
208041195,3876,1609,1242,114,24,6866,339,152,130,10,3,636,67,35,28,3,3,141,4283,1798,1405,131,26,7646
209011196,2707,111,31,4,3,2857,409,32,0,0,0,444,81,8,0,0,0,84,3197,150,38,5,4,3383
209011197,5572,799,90,4,11,6474,534,163,15,0,3,718,103,36,4,0,0,148,6212,993,117,4,15,7338
209011198,3176,821,734,12,9,4751,445,115,101,0,10,671,78,18,22,0,5,119,3696,954,853,13,21,5535
209011199,2521,1346,207,0,18,4098,499,309,92,0,6,910,125,71,24,0,3,220,3145,1721,324,0,31,5227
209011200,2286,788,717,11,16,3813,228,90,108,0,0,424,45,13,18,0,5,81,2553,894,844,12,23,4321
209011201,1931,83,393,3,8,2418,148,0,46,0,0,202,38,3,6,0,0,50,2121,87,447,3,8,2672
209011202,4487,754,76,6,8,5336,384,137,16,0,0,536,87,9,8,0,3,102,4954,902,100,6,13,5978
209011203,4843,775,5,7,6,5635,628,160,3,0,0,795,112,31,0,0,0,141,5581,967,10,7,8,6575
209011204,2634,196,14,0,0,2848,394,93,0,0,0,488,64,4,0,0,4,71,3089,291,14,0,3,3405
209021205,1832,561,445,3,4,2842,240,66,68,3,0,385,50,19,28,0,7,98,2120,651,532,4,9,3326
209021207,4769,2404,416,32,32,7650,1561,584,162,9,3,2323,254,109,23,5,0,391,6593,3099,604,41,40,10370
209021208,4486,1901,172,26,17,6604,1442,391,45,9,0,1886,192,77,6,0,3,285,6122,2379,228,32,22,8777
209021428,3455,1228,1150,74,22,5927,802,303,189,8,3,1303,138,50,39,0,11,236,4393,1584,1372,87,38,7469
209021429,2244,1095,309,25,4,3675,473,183,56,0,0,717,60,52,9,0,0,124,2778,1326,376,25,4,4517
209031209,6441,281,328,5,13,7071,313,62,69,0,0,444,93,9,4,0,0,112,6851,351,398,7,17,7628
209031210,1037,18,3,0,3,1059,64,8,0,0,0,80,18,0,0,0,0,18,1122,29,3,0,0,1155
209031211,1113,3,3,10,3,1132,132,0,6,3,0,135,28,0,0,0,0,30,1268,4,3,14,3,1300
209031212,1452,0,3,5,10,1468,124,0,0,3,0,123,31,0,0,0,0,29,1599,0,3,4,13,1628
209031213,2513,70,59,0,6,2647,176,4,19,0,0,197,36,0,3,0,0,42,2726,67,85,0,12,2895
209031214,1938,16,3,0,3,1965,91,3,0,0,0,100,41,0,0,0,0,41,2067,21,3,0,3,2100
209031215,3823,168,5,0,8,4013,238,24,4,0,0,269,77,7,0,0,0,81,4138,205,13,0,13,4361
209041216,1276,451,480,0,0,2205,98,25,119,0,0,238,23,11,13,0,0,52,1396,490,610,0,3,2502
209041217,1402,337,28,0,8,1774,355,85,3,0,0,436,52,9,4,0,0,67,1812,419,31,0,8,2272
209041219,4824,298,344,8,12,5475,1639,66,100,0,3,1807,212,21,11,0,7,249,6672,383,458,8,16,7534
209041220,3998,935,97,4,3,5033,442,134,10,0,0,587,120,21,0,0,0,150,4564,1085,108,4,3,5769
209041221,3056,301,11,0,0,3368,368,59,0,0,0,421,87,7,0,0,0,99,3507,365,8,0,3,3888
209041223,4125,449,307,6,14,4902,1605,124,77,0,3,1805,222,31,13,0,3,268,5953,595,401,6,19,6975
209041224,4292,102,31,8,11,4442,443,30,12,10,3,496,104,3,0,0,0,111,4838,142,40,15,13,5055
209041225,2063,69,27,4,5,2166,418,35,6,0,0,465,73,11,3,0,0,84,2556,116,34,4,8,2713
209041430,5379,654,12,0,8,6057,382,64,0,0,0,441,94,6,0,0,0,100,5853,723,8,0,4,6600
209041431,2721,678,65,0,3,3464,335,167,41,0,0,535,76,23,7,0,0,114,3135,864,112,0,3,4116
209041432,1779,469,13,0,0,2269,359,112,0,0,0,472,58,13,0,0,0,74,2193,593,18,0,0,2812
209041433,2253,554,39,0,3,2846,197,66,3,0,0,267,64,6,0,0,0,82,2515,628,46,0,3,3192
209041434,4176,471,82,3,7,4735,321,79,21,0,0,427,71,8,0,0,0,82,4575,559,98,3,11,5246
209041435,2898,402,5,0,6,3311,169,22,0,0,0,186,53,9,0,0,0,60,3117,432,5,0,5,3557
209041436,2746,619,30,0,0,3395,242,83,23,0,0,349,61,19,3,0,0,85,3048,726,54,0,0,3829
