SA2_MAINCODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
206011109,259,1162,1326,352,192,3294,79,3371
206021110,399,1500,1125,226,106,3345,104,3450
206021111,1298,4496,2685,539,178,9197,249,9446
206021112,1086,3355,2101,413,190,7139,243,7385
206031113,739,2373,1821,406,147,5491,211,5702
206031114,886,4130,3471,1021,511,10026,294,10316
206031115,1017,2009,707,106,44,3879,206,4083
206031116,709,2249,1696,451,191,5296,192,5482
206041117,5026,2170,572,79,38,7892,381,8273
206041118,1755,2088,589,72,32,4540,135,4673
206041119,404,1107,485,94,25,2118,54,2173
206041120,4,16,4,0,0,22,0,22
206041121,774,2253,1112,179,42,4363,133,4491
206041122,11725,3370,394,38,47,15565,717,16284
206041123,3005,3481,1107,146,42,7777,338,8118
206041124,414,990,411,89,25,1928,70,1997
206041125,519,1401,575,109,43,2642,88,2730
206041126,2842,4236,853,90,23,8041,209,8251
206041127,0,0,0,0,0,0,0,0
206051128,897,3198,1791,293,94,6276,205,6481
206051129,748,3608,1986,260,107,6710,204,6910
206051130,837,3487,2079,329,123,6857,212,7072
206051131,0,4,0,0,0,4,0,6
206051132,1172,2573,1074,140,50,5003,174,5178
206051133,2904,6372,2026,254,109,11674,440,12110
206051134,1372,3764,1684,242,86,7148,205,7354
206061135,497,1798,1111,210,101,3713,103,3815
206061136,1916,4537,1860,307,81,8693,290,8983
206061137,2848,4964,1609,221,91,9736,290,10028
206061138,515,2151,1804,506,294,5263,227,5492
206071139,747,1831,716,127,31,3444,111,3556
206071140,633,1680,834,158,49,3354,106,3460
206071141,1114,1787,531,85,22,3545,189,3729
206071142,1149,1957,693,109,29,3931,196,4129
206071143,984,2481,1132,231,61,4893,191,5085
206071144,2607,6502,2983,530,147,12766,417,13179
206071145,322,1658,1049,225,75,3324,92,3415
207011146,188,828,1117,285,112,2523,63,2591
207011147,378,2077,2166,633,293,5543,156,5700
207011148,272,1892,2933,921,421,6441,149,6594
207011149,413,2652,2886,895,384,7233,122,7353
207011150,211,1760,2582,682,300,5530,90,5619
207011151,1623,4294,2506,551,226,9194,269,9470
207011152,693,2580,1978,409,181,5840,223,6059
207011153,532,3290,3327,966,406,8517,197,8715
207011154,116,760,981,236,100,2196,42,2240
207011155,267,1853,2317,642,333,5413,102,5511
207021156,209,1223,1687,482,289,3882,110,3992
207021157,496,3006,2846,874,388,7612,208,7817
207021159,142,1279,2432,877,580,5302,144,5447
207021160,156,1370,2178,616,259,4588,146,4736
207021424,101,1149,2156,770,410,4586,157,4741
207021425,297,1973,2022,502,179,4972,131,5103
207031161,430,2901,3052,737,313,7434,175,7612
207031162,279,1270,1553,402,182,3689,116,3803
207031163,1262,3100,2122,496,211,7195,260,7459
207031164,436,2396,2455,587,272,6154,149,6304
207031165,600,1676,1362,364,139,4142,148,4290
207031166,260,1247,1432,410,184,3537,92,3632
207031167,189,1299,1442,374,201,3499,62,3561
208011168,136,1263,2201,664,330,4584,134,4721
208011169,404,2927,3407,888,431,8062,236,8290
208011170,231,1724,2469,655,265,5343,116,5455
208011171,272,1599,1628,374,124,3995,94,4088
208011172,467,2252,2612,614,263,6203,172,6376
208011173,305,2202,2517,653,283,5959,146,6100
208021174,639,3018,3021,753,315,7746,227,7979
208021176,972,3497,2053,345,170,7038,216,7255
208021177,782,2963,2711,628,276,7356,236,7590
208021178,437,2280,2592,592,282,6189,155,6344
208021179,465,1995,1504,280,109,4355,118,4473
208021180,305,1089,969,242,69,2681,90,2767
208021181,357,1529,1184,305,144,3513,86,3602
208021182,660,2468,1522,316,131,5097,134,5237
208021426,238,1725,2284,508,246,4995,112,5108
208021427,226,1544,2070,520,212,4579,137,4716
208031183,48,609,1293,516,265,2734,48,2777
208031184,3,4,3,0,0,13,0,13
208031185,257,1453,1804,521,276,4313,165,4481
208031186,531,2496,2092,413,149,5684,204,5885
208031187,76,588,842,255,109,1871,46,1920
208031188,592,3478,3255,705,323,8358,329,8682
208031189,229,1554,2005,477,203,4466,114,4575
208031190,399,2260,1886,392,199,5129,136,5266
208031191,200,1034,1318,333,133,3020,107,3125
208031192,0,0,0,0,0,0,0,0
208031193,493,2757,3060,680,320,7307,194,7504
208041194,682,3254,2684,651,304,7573,191,7761
208041195,798,2604,2934,740,377,7455,192,7646
209011196,195,1056,1369,442,219,3282,106,3383
209011197,309,2224,3112,964,556,7170,171,7338
209011198,408,2240,2073,491,185,5402,136,5535
209011199,681,2071,1687,402,131,4965,263,5227
209011200,333,1684,1626,395,185,4227,93,4321
209011201,90,781,1125,387,220,2605,62,2672
209011202,197,2023,2536,698,396,5839,135,5978
209011203,268,2275,2806,726,336,6408,161,6575
209011204,210,1211,1320,381,184,3313,90,3405
209021205,365,1105,1185,347,212,3213,110,3326
209021207,1351,4522,2892,746,324,9836,533,10370
209021208,915,3548,2771,782,408,8426,350,8777
209021428,1139,3286,2045,528,188,7186,287,7469
209021429,483,1960,1405,385,143,4375,141,4517
209031209,183,1782,3483,1263,771,7492,132,7628
209031210,28,270,453,231,150,1139,17,1155
209031211,14,265,537,240,196,1247,49,1300
209031212,18,235,604,390,342,1592,34,1628
209031213,42,482,1270,566,483,2836,52,2895
209031214,15,309,972,436,334,2054,42,2100
209031215,88,880,1949,785,577,4271,89,4361
209041216,217,782,928,342,166,2430,67,2502
209041217,177,840,775,264,139,2190,79,2272
209041219,587,2694,2637,912,400,7220,312,7534
209041220,194,1595,2256,939,620,5601,164,5769
209041221,136,1094,1520,636,370,3751,128,3888
209041223,672,2607,2181,789,402,6654,322,6975
209041224,77,1072,2237,883,622,4889,162,5055
209041225,84,638,1043,441,390,2600,117,2713
209041430,68,1627,3483,909,400,6490,112,6600
209041431,182,1236,1625,571,356,3976,144,4116
209041432,210,1036,965,340,159,2714,97,2812
209041433,88,919,1518,392,186,3109,85,3192
209041434,86,1516,2676,607,251,5147,98,5246
209041435,43,762,1801,550,322,3474,80,3557
209041436,119,1121,1642,573,283,3733,90,3829
209041437,39,743,1375,313,132,2608,70,2677
210011226,228,1130,1131,287,118,2896,109,3005
210011227,0,0,0,0,0,0,0,0
210011228,122,769,1274,450,270,2883,111,2997
210011229,519,2930,3722,1133,586,8892,308,9202
210011230,161,861,1034,284,129,2476,87,2564
210011231,116,854,1419,437,256,3084,83,3159
210021232,77,910,1862,725,513,4086,108,4192
210021233,19,236,557,192,111,1111,31,1147
210021234,20,238,589,268,198,1312,25,1338
210021235,47,652,1262,619,453,3037,106,3140
210031236,324,1170,825,228,89,2634,102,2733
210031237,493,1774,1309,429,222,4223,205,4423
210031239,744,3724,2997,715,372,8551,251,8804
210031438,846,3212,2414,642,317,7423,357,7783
210031439,29,302,486,139,50,1003,20,1022
210031440,203,757,724,210,110,2003,88,2094
210041240,93,963,1764,720,502,4045,99,4142
210041241,405,2976,3772,1317,772,9244,259,9501
210051242,545,1590,1148,346,181,3817,300,4115
210051243,419,1665,1560,546,282,4471,280,4749
210051245,277,1808,2419,903,472,5876,215,6088
210051246,49,697,2063,958,824,4592,92,4687
210051247,260,1283,1494,582,288,3902,217,4119
210051248,0,3,0,4,8,18,3,23
210051249,174,1324,2282,940,518,5241,175,5419
210051250,169,1100,871,258,112,2517,77,2589
210051441,116,790,971,378,201,2460,89,2549
210051442,64,828,1486,449,235,3059,71,3133
210051443,133,1381,1969,731,414,4628,118,4752
210051444,125,1427,1894,413,143,3994,112,4106
210051445,6,207,471,169,148,1003,28,1033
211011251,258,1730,1699,493,250,4432,153,4586
211011254,112,1447,2342,755,373,5027,106,5133
211011255,14,237,854,420,355,1881,39,1925
211011256,112,1211,2172,872,563,4932,114,5043
211011257,50,564,1148,443,266,2481,55,2534
211011258,33,619,1542,667,391,3249,66,3312
211011259,154,1314,2163,716,334,4687,109,4792
211011260,329,1621,2427,970,529,5879,154,6036
211011446,487,3089,3215,969,468,8234,278,8510
211011447,269,1822,2050,604,338,5083,155,5242
211011448,152,1397,2208,799,427,4977,115,5088
211011449,35,330,657,265,133,1419,48,1466
211021261,163,1197,2210,919,615,5096,120,5221
211021262,28,455,1261,655,576,2973,68,3041
211031263,164,1260,1671,555,357,4007,115,4127
211031265,83,1235,2712,1000,665,5688,121,5807
211031266,544,2692,2283,552,296,6375,206,6579
211031267,337,2590,3085,810,366,7190,177,7367
211031268,62,794,1504,487,279,3127,51,3175
211031450,363,2456,2196,565,245,5823,192,6015
211031451,298,1827,1949,547,274,4894,153,5051
211031452,50,494,770,255,87,1656,38,1696
211041269,303,1456,1569,358,142,3826,115,3939
211041270,376,2424,2394,525,235,5951,138,6088
211041271,299,1697,1628,380,159,4163,132,4294
211041272,117,1166,1693,415,195,3594,81,3671
211041273,117,1015,1814,604,303,3850,61,3913
211051274,55,763,1444,561,415,3238,81,3321
211051275,81,818,1507,523,344,3266,84,3355
211051276,156,1414,1892,764,535,4760,201,4962
211051277,154,1126,1325,428,252,3281,104,3386
211051278,287,1936,2584,1005,652,6463,194,6663
211051279,40,437,755,341,273,1842,52,1891
211051280,57,496,912,429,278,2165,48,2218
211051281,248,2016,3231,1081,704,7285,173,7463
211051282,58,881,1609,511,308,3372,80,3460
211051283,64,738,1325,559,423,3106,79,3186
211051284,102,916,1465,542,308,3331,70,3408
211051285,34,430,1004,501,432,2400,69,2472
211051286,188,1791,2081,929,627,5627,252,5876
212011287,76,1041,1956,642,409,4129,101,4231
212011288,64,582,1007,534,530,2717,103,2822
212011289,77,1089,2436,1128,887,5611,165,5774
212011290,73,565,908,479,351,2381,113,2487
212011291,165,2117,2743,761,366,6156,161,6318
212011292,412,3154,3915,1148,507,9141,289,9428
212021293,383,2509,3295,1091,653,7932,205,8134
212021294,114,1752,3888,1181,567,7503,141,7643
212021295,398,1401,1142,368,223,3531,240,3771
212021297,155,1030,1323,446,254,3202,133,3340
212021299,14,201,774,532,551,2072,58,2126
212021453,100,910,1553,630,405,3604,104,3713
212021454,115,1078,1847,721,391,4157,123,4276
212021455,92,1028,1837,714,419,4088,123,4208
212021456,231,1444,1891,601,305,4469,160,4631
212031300,384,2274,2501,834,459,6451,287,6735
212031301,144,2168,4034,952,329,7627,223,7854
212031302,111,1497,2836,924,416,5773,182,5956
212031303,49,475,1178,512,480,2693,76,2773
212031304,80,1279,2239,657,234,4486,146,4635
212031305,288,2305,2981,1084,527,7185,290,7481
212031306,55,863,2107,642,296,3965,95,4059
212031308,39,476,1030,506,401,2455,93,2554
212031457,29,593,1719,731,495,3561,66,3630
212031458,74,1015,2161,771,450,4474,135,4611
212041309,222,1251,1452,588,276,3785,112,3900
212041310,419,1751,1344,420,200,4137,156,4292
212041311,1323,4119,2487,786,464,9179,609,9789
212041312,474,2367,2751,967,512,7070,319,7388
212041313,100,987,1594,560,294,3539,93,3626
212041314,263,1905,3375,1351,679,7583,258,7836
212041316,181,887,964,316,149,2501,75,2573
212041317,711,2489,1977,760,370,6298,361,6662
212041318,241,1111,1348,601,297,3594,135,3731
212041459,436,1984,1369,345,148,4281,227,4510
212041460,575,2305,1932,688,265,5774,298,6070
212051319,534,2297,2582,651,255,6316,190,6501
212051320,1404,3029,1705,432,166,6736,235,6973
212051321,328,2227,3068,963,362,6953,130,7084
212051322,369,2178,2606,756,346,6254,151,6406
212051323,210,1831,2241,707,291,5275,124,5401
212051324,301,2192,2584,772,338,6188,173,6361
212051325,249,1853,2891,892,446,6333,171,6504
212051326,702,2788,2739,724,315,7270,230,7502
212051327,260,1747,2992,1013,553,6560,168,6727
213011328,410,1193,749,211,109,2675,195,2867
213011329,58,483,1127,550,286,2506,57,2564
213011330,325,2410,3336,1032,440,7543,328,7868
213011331,148,766,1008,419,214,2554,80,2639
213011332,172,1213,1702,693,428,4213,136,4354
213011333,265,1442,1611,569,269,4151,213,4371
213011334,745,2503,1980,706,328,6268,385,6652
213011335,551,1865,1655,630,293,4995,305,5299
213011336,403,1325,945,281,115,3072,158,3234
213011337,344,1230,1165,495,215,3451,187,3640
213011338,498,2137,2040,742,324,5741,312,6052
213011339,154,1195,1432,507,273,3556,103,3659
213011340,128,1008,2138,1169,784,5233,141,5379
213021341,457,2105,1736,424,248,4968,167,5129
213021342,373,2528,2557,777,436,6669,205,6874
213021343,510,1936,1738,478,203,4862,213,5079
213021344,400,2580,2612,534,212,6338,171,6507
213021345,39,508,682,220,133,1583,42,1631
213021346,502,2035,2145,565,223,5472,173,5643
213031347,757,2388,1926,569,240,5882,298,6176
213031348,1565,3025,1225,221,93,6134,306,6441
213031349,317,1783,1604,410,179,4304,101,4403
213031350,466,1723,1112,169,52,3524,88,3617
213031351,572,1955,1264,257,105,4152,159,4309
213031352,511,2407,2006,350,127,5394,136,5534
213041353,287,2053,2736,1076,691,6844,254,7099
213041355,80,1283,2825,1035,642,5856,151,6007
213041356,332,2164,2349,848,531,6230,272,6497
213041357,404,2500,3136,922,451,7410,343,7755
213041358,164,1603,2440,776,395,5379,204,5582
213041359,28,166,181,94,90,556,35,596
213041360,89,1143,2701,846,439,5217,128,5349
213041461,84,418,588,221,107,1414,61,1478
213041462,15,325,864,258,109,1586,40,1625
213041463,124,1568,2920,813,363,5792,155,5942
213051361,208,1691,2349,1011,663,5917,143,6060
213051362,338,2197,2422,826,416,6207,192,6398
213051363,215,1105,1048,281,100,2749,101,2849
213051365,169,2994,4550,1217,519,9447,281,9733
213051366,116,2116,3013,675,247,6166,236,6399
213051368,291,1435,1477,481,308,3989,149,4134
213051369,207,2472,3100,897,367,7049,195,7237
213051464,51,935,1898,526,200,3598,71,3670
213051465,136,2162,3376,827,331,6837,130,6962
213051466,64,1347,2230,434,142,4212,83,4291
213051467,577,2571,2240,715,333,6436,276,6707
213051468,185,1308,1594,572,355,4016,128,4141
214011370,303,2531,2904,896,420,7060,286,7347
214011371,992,3819,2972,731,324,8845,386,9228
214011372,600,3069,2492,624,232,7010,390,7401
214011373,266,1857,2812,855,522,6307,213,6522
214011374,192,2211,3410,1357,898,8069,221,8285
214011375,530,2684,2452,560,235,6466,288,6751
214011376,59,849,2183,629,343,4064,88,4151
214021377,134,1516,1865,478,215,4211,180,4389
214021378,25,405,822,343,199,1801,78,1876
214021379,374,2719,2947,981,596,7623,341,7961
214021380,516,3680,3609,947,395,9145,364,9510
214021381,121,1338,2824,1008,516,5805,145,5951
214021382,129,1725,3014,895,431,6207,186,6385
214021383,254,2371,2737,710,297,6365,333,6696
214021384,595,3534,2992,786,317,8229,494,8727
214021385,180,1615,2463,1047,806,6109,181,6288
215011386,259,1126,1028,352,148,2918,156,3076
215011387,23,260,408,209,193,1095,52,1144
215011388,453,2315,2344,771,341,6228,253,6481
215011389,24,236,463,230,261,1215,40,1246
215011390,135,837,928,408,335,2644,129,2769
215011391,105,437,510,195,142,1396,64,1464
215011392,209,1073,1115,441,217,3055,175,3231
215011393,40,296,384,199,163,1085,48,1139
215011394,142,865,894,371,259,2532,131,2664
215021395,54,531,917,431,327,2256,97,2351
215021396,75,428,625,268,193,1585,82,1662
215021398,64,352,503,229,215,1363,54,1417
215021399,120,570,709,312,231,1942,122,2069
215021469,629,2718,2283,588,250,6467,361,6830
215021470,358,1891,2044,651,264,5203,276,5481
215031400,134,771,815,338,271,2329,130,2455
215031401,101,719,955,444,290,2510,139,2649
215031402,112,559,544,160,110,1491,74,1572
215031403,82,275,350,129,91,931,98,1027
215031404,304,1429,1441,413,215,3798,224,4026
215031405,62,493,786,394,293,2028,110,2145
216011406,332,1752,2096,679,306,5167,270,5442
216011407,187,1198,1532,568,362,3841,188,4031
216011408,29,262,487,269,201,1247,53,1296
216011409,72,460,528,226,153,1439,55,1497
216011410,42,448,610,251,192,1549,89,1634
216021411,161,888,803,270,141,2263,162,2425
216021412,17,207,319,187,159,884,42,924
216021413,181,1306,1579,761,552,4371,241,4607
216021414,173,1076,1097,297,138,2774,161,2940
216031415,236,1200,1050,332,135,2954,159,3109
216031416,448,2368,2506,714,342,6373,295,6670
216031417,461,2551,2958,1061,564,7598,325,7917
216031418,6,210,497,304,236,1257,43,1303
216031419,124,941,1294,582,414,3351,168,3521
217011420,103,924,1166,625,440,3262,159,3416
217011421,271,1494,1362,494,246,3866,170,4035
217011422,250,1521,1499,505,235,4007,216,4220
217011423,67,549,811,407,389,2218,98,2317
217031471,114,469,502,155,85,1328,75,1406
217031472,340,1718,1650,516,252,4475,223,4697
217031473,23,424,764,366,297,1886,85,1965
217031474,76,622,672,311,248,1930,99,2031
217031475,64,652,967,450,346,2474,110,2582
217031476,53,536,454,168,72,1292,63,1353
217041477,55,552,891,407,343,2251,98,2345
217041478,113,917,1383,514,361,3284,137,3420
217041479,368,2699,3121,879,422,7493,298,7786
217041480,391,1833,1760,476,265,4725,239,4963
297979799,0,0,0,0,0,0,0,0
299999499,0,0,0,0,0,0,0,0
