SA2_MAINCODE_2016,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
206021112,48,215,4,22,36,5,0,0,0,336,15,49,0,6,6,0,0,0,0,82,268,965,52,200,243,123,5,28,17,1906,3,0,0,3,0,0,0,0,0,3,34,73,20,41,38,29,0,10,0,238,43,46,33,79,73,30,0,3,4,313,27,39,50,66,73,39,4,20,0,313,3,3,6,14,8,3,0,3,0,37,6,3,3,13,23,10,0,5,0,67,3,10,6,7,5,4,0,0,0,32,4,11,3,6,3,4,0,10,7,53,557,1938,193,489,568,258,14,90,47,4155,0,27,0,3,0,4,0,0,0,38,22,176,3,0,13,0,0,0,0,214,177,630,18,48,91,32,9,26,10,1037,12,28,0,0,3,0,0,0,4,46,75,325,8,34,47,11,0,4,3,498,19,69,4,3,5,0,0,0,0,106,517,1705,152,297,377,194,48,78,33,3403,3,0,3,3,0,0,0,0,0,10
206031113,39,141,0,11,14,3,0,0,3,215,5,26,0,4,6,0,0,0,0,37,203,752,28,101,167,76,7,17,5,1353,0,3,0,3,0,0,0,0,0,8,27,60,4,25,44,12,0,3,0,169,36,48,8,71,58,21,0,6,4,260,19,20,39,67,77,18,0,19,4,253,3,3,0,8,13,3,0,7,0,39,7,10,3,17,24,15,0,3,0,74,3,12,0,3,4,4,0,0,0,35,0,14,3,7,3,0,0,4,9,47,445,1399,100,337,445,159,10,57,34,2987,3,14,0,3,0,0,0,0,0,18,16,127,0,0,7,0,0,0,0,147,168,440,20,30,63,17,3,10,8,750,13,24,0,3,0,0,0,0,3,41,71,211,7,16,18,4,0,0,6,333,15,32,0,4,3,0,0,0,0,59,454,1349,85,169,268,127,29,51,21,2541,0,3,0,0,0,0,0,0,0,11
206031114,49,215,7,24,38,3,0,0,3,338,9,43,0,0,12,0,0,0,0,61,338,1282,43,173,357,136,10,33,28,2396,0,0,0,3,4,0,0,0,0,8,41,98,14,56,94,26,0,10,4,342,65,82,31,78,126,41,3,9,8,457,43,40,58,114,127,55,9,17,0,462,4,3,0,16,19,14,0,0,0,56,12,9,4,34,51,15,0,3,4,130,0,14,3,6,18,3,0,0,0,55,10,23,12,14,14,14,0,3,24,108,690,2298,171,542,957,333,22,101,80,5186,7,22,0,0,3,3,0,0,0,27,22,166,3,0,6,0,0,3,0,208,268,637,26,42,132,44,14,34,12,1216,10,44,3,7,5,0,0,0,4,72,89,310,14,29,49,3,0,6,3,512,18,65,6,6,13,0,0,0,0,110,779,2312,127,260,536,253,51,108,67,4497,0,0,3,3,4,3,3,0,0,15
206031115,18,73,0,16,13,3,0,0,0,129,7,16,0,3,0,0,0,0,0,29,108,455,22,84,120,58,3,21,10,884,0,0,0,0,0,0,0,0,0,0,4,26,8,8,20,12,0,3,0,82,12,18,9,37,25,12,0,4,0,114,10,8,20,48,33,7,0,11,0,144,0,0,0,4,4,0,0,0,0,14,0,0,0,12,8,0,0,0,0,28,0,4,0,0,0,0,0,3,0,8,4,6,0,4,3,3,0,3,3,30,207,888,59,229,286,113,5,55,22,1884,0,17,0,0,0,0,0,0,0,19,19,106,0,0,4,0,0,0,0,133,89,362,11,25,65,25,9,25,5,617,0,13,0,3,0,5,0,0,0,22,30,111,0,15,20,4,0,3,4,186,8,22,0,3,5,0,0,0,0,41,231,863,58,129,203,88,29,51,20,1680,0,0,0,0,0,0,0,0,0,0
206031116,39,141,0,14,22,0,3,4,0,223,5,20,0,0,6,0,0,0,0,30,204,669,31,101,206,60,7,17,18,1299,0,0,0,0,0,0,0,0,0,0,25,42,14,30,43,8,0,0,0,167,34,47,12,49,81,30,3,0,5,270,18,27,24,51,66,33,0,12,4,237,3,0,0,0,9,3,0,3,0,21,5,3,3,16,27,6,0,0,0,63,3,15,0,0,5,0,0,0,0,27,6,11,8,10,14,10,0,0,3,61,435,1270,95,283,521,167,13,53,39,2868,3,9,0,0,3,0,0,0,0,21,20,123,3,0,3,0,0,0,3,162,167,385,10,24,68,20,0,10,6,700,11,23,0,3,0,3,0,0,0,42,64,207,4,18,26,0,3,7,0,329,14,24,0,0,3,0,0,0,0,47,481,1237,87,145,303,114,19,45,29,2462,0,0,0,0,0,4,0,0,0,5
206041117,13,71,5,8,15,3,0,3,0,120,3,14,0,0,5,0,0,0,0,26,130,612,34,142,172,108,4,30,15,1261,0,0,0,3,0,0,0,0,0,3,10,15,5,8,15,9,0,0,0,72,14,28,14,50,25,15,0,12,3,161,9,13,12,40,26,19,0,9,0,128,0,3,0,3,3,0,0,4,0,20,3,0,3,9,9,5,0,3,0,32,3,7,0,6,3,0,0,0,0,25,0,5,0,6,4,8,0,4,5,45,266,1233,99,315,356,193,10,67,27,2571,0,11,0,0,0,0,0,0,0,18,26,237,3,0,8,3,0,0,0,280,121,625,26,50,119,43,0,17,6,1010,11,13,0,0,6,0,0,0,0,33,25,113,6,16,23,3,0,4,0,195,4,26,0,3,5,0,0,0,0,35,289,1227,98,234,269,169,22,89,28,2427,0,0,0,3,0,0,0,0,0,10
206041118,20,30,0,6,12,3,0,0,0,68,6,12,0,0,0,0,0,0,0,19,132,450,26,89,140,78,4,19,24,965,0,0,0,0,0,0,0,0,0,0,24,18,5,14,14,22,0,0,0,106,29,36,13,32,39,17,0,10,3,181,14,10,19,13,26,17,0,0,0,99,4,5,0,6,3,0,0,0,0,19,8,6,5,7,20,3,0,3,0,53,11,18,4,3,9,3,0,0,0,53,6,9,0,7,10,3,0,0,4,34,333,864,81,195,338,172,5,39,36,2066,4,4,0,0,0,0,0,0,0,13,19,92,0,0,3,0,0,0,0,122,174,461,30,20,96,40,4,9,10,839,4,22,0,0,0,3,0,0,0,39,41,65,0,3,15,3,0,0,0,132,9,20,0,0,3,0,0,0,0,27,377,1312,89,121,224,126,15,57,34,2358,0,0,0,3,0,0,0,0,0,7
206041119,15,42,0,3,8,0,0,0,0,62,4,16,0,0,0,0,0,0,0,20,100,363,13,29,93,30,0,8,7,644,0,0,0,0,0,0,0,0,0,0,12,21,3,8,13,4,0,0,0,59,16,19,0,15,13,3,0,0,0,72,5,4,5,9,13,5,0,0,0,47,0,0,0,0,5,0,0,0,0,3,3,3,0,3,8,0,0,0,0,24,0,4,3,0,0,0,0,0,0,10,3,0,0,0,6,0,0,4,0,19,217,696,28,74,173,55,3,14,9,1279,0,8,0,0,0,0,0,0,0,12,13,123,0,0,0,0,0,0,0,139,102,276,10,9,25,9,3,7,4,438,3,25,0,0,0,0,0,0,0,26,28,63,0,4,9,0,0,0,0,104,10,22,0,0,3,0,0,0,0,38,220,736,29,60,140,57,0,22,18,1286,0,0,0,0,0,0,0,0,0,0
206041120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,3,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,3,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,3,0,0,3,0,24,0,0,0,0,0,0,0,0,0,0
206041121,26,124,0,12,15,4,0,0,0,182,7,33,0,0,4,0,0,0,0,49,187,705,29,79,181,56,4,9,11,1264,0,0,0,0,0,0,0,0,0,3,17,31,8,15,26,7,0,0,0,106,31,39,13,34,41,26,0,0,4,190,10,13,11,47,46,26,3,4,8,171,0,0,0,0,9,3,0,0,0,20,3,9,4,9,10,3,0,0,0,30,3,13,0,3,5,0,0,3,0,23,0,5,0,5,7,0,0,3,0,23,376,1364,85,227,410,141,8,33,27,2663,0,15,0,0,0,0,0,0,0,19,25,178,3,0,5,0,0,0,0,213,139,485,20,30,81,19,3,5,12,802,8,19,0,0,3,0,0,0,0,39,42,190,3,18,24,3,4,3,0,293,8,38,0,0,10,0,0,0,0,60,389,1382,82,137,271,115,14,44,24,2463,0,0,3,0,0,0,0,0,0,7
206041122,27,95,5,16,19,3,0,3,0,175,0,26,0,0,4,0,0,0,3,32,308,1156,141,565,361,281,17,218,36,3081,0,0,0,7,0,0,0,0,0,13,34,34,22,56,35,31,0,20,7,239,40,31,63,144,44,50,0,29,9,414,20,19,55,92,34,54,0,16,3,291,0,0,4,8,4,9,0,0,0,26,5,9,8,13,13,10,4,4,3,62,13,17,6,24,11,13,0,9,5,94,11,8,3,28,9,7,0,7,12,87,632,2125,340,1043,747,570,22,350,89,5915,0,14,3,0,4,0,0,0,0,23,32,252,0,3,8,3,0,3,4,314,321,1286,106,131,277,170,11,88,37,2423,10,32,4,3,8,4,0,7,0,68,51,173,10,21,34,3,0,5,0,301,9,40,0,0,4,0,0,3,3,63,727,2751,369,809,639,468,72,475,77,6388,3,0,3,7,0,0,0,5,0,21
206041123,28,135,0,16,28,5,0,3,0,222,0,33,0,0,3,3,0,0,0,43,252,999,53,181,258,161,4,43,19,1971,0,0,0,3,3,0,0,0,0,9,21,36,14,24,38,11,3,4,3,159,32,40,22,73,46,33,3,6,0,258,19,17,40,76,48,28,0,20,3,241,0,3,0,10,7,4,0,0,0,31,3,12,0,14,7,3,0,4,0,43,4,13,4,7,3,6,0,4,0,35,6,16,3,12,6,7,0,6,9,59,494,1920,161,439,533,287,14,103,51,3992,3,21,0,0,0,0,0,0,0,25,35,352,4,0,10,0,0,3,5,408,207,867,31,44,126,46,6,35,21,1383,5,23,0,3,3,0,4,0,0,39,60,204,4,22,43,14,0,3,7,356,8,48,0,0,5,3,0,0,0,69,496,2024,177,310,429,261,43,129,52,3919,0,0,0,6,3,4,0,0,0,10
206041124,11,34,0,5,6,0,0,0,0,54,0,6,0,0,3,0,0,0,0,19,56,335,14,76,83,39,0,16,6,617,0,0,0,0,0,0,0,0,0,3,7,15,0,5,8,4,0,0,0,49,5,9,6,17,11,0,0,0,0,57,3,3,5,24,13,17,0,3,0,76,0,3,0,11,0,3,0,4,0,18,0,0,0,8,3,0,0,5,0,15,5,3,0,0,0,0,0,0,0,12,0,0,0,0,3,0,0,0,3,13,123,691,36,153,176,77,3,31,15,1309,3,3,0,0,0,0,0,0,0,6,22,184,3,0,5,0,0,0,7,221,55,325,14,11,48,17,4,10,13,482,0,6,0,0,0,0,0,0,0,16,12,52,3,4,6,0,3,0,0,83,0,17,0,0,3,3,0,0,0,27,139,639,38,105,125,76,12,46,12,1190,0,0,0,0,0,0,0,0,0,3
206041125,12,56,0,6,8,3,0,0,0,80,3,13,0,0,6,0,0,0,0,19,131,380,22,41,89,41,0,5,5,726,0,0,0,0,0,0,0,0,0,0,15,13,3,3,15,8,0,0,0,66,21,19,3,18,18,9,0,0,4,85,7,8,10,3,19,12,0,3,0,64,4,0,0,0,3,0,0,0,0,10,6,6,0,3,4,0,0,0,0,22,3,9,0,0,6,0,0,0,0,15,0,10,3,0,3,0,0,0,4,15,254,717,43,89,189,90,3,16,13,1417,3,15,0,0,3,0,0,0,0,20,16,114,0,0,0,0,0,0,0,137,111,275,4,16,32,16,0,3,9,466,3,12,0,0,0,0,0,0,0,22,20,80,0,9,11,3,0,0,4,126,6,17,0,0,6,0,0,0,0,30,285,787,46,59,142,72,5,23,22,1442,0,0,0,0,0,0,0,0,0,3
206041126,24,93,3,14,17,3,0,0,0,151,15,19,0,3,4,0,0,0,0,39,270,939,58,190,280,138,0,75,34,1994,0,0,0,3,4,0,0,0,0,5,30,46,12,36,40,11,0,8,0,187,42,54,36,62,57,35,5,4,6,298,32,19,46,43,51,27,0,3,4,234,3,6,0,5,3,0,0,0,0,27,9,4,0,14,16,10,0,0,0,54,7,13,3,3,6,0,0,6,0,44,3,13,0,11,10,3,0,0,11,49,586,1775,176,434,611,282,12,124,73,4067,4,14,0,0,0,0,0,0,0,24,15,193,0,0,7,4,0,0,3,229,327,885,46,70,195,84,13,32,25,1680,13,36,0,3,5,3,0,0,0,63,52,164,7,16,25,5,0,3,0,285,15,33,0,3,9,0,0,0,0,63,693,2063,170,309,465,261,26,149,75,4204,0,3,3,3,3,0,0,3,0,13
206041127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206051128,27,92,3,3,22,0,0,0,0,152,10,20,0,0,6,0,0,0,0,31,338,792,27,66,221,83,0,16,29,1578,0,0,0,0,4,0,0,0,0,3,34,55,0,16,41,16,0,3,5,172,42,49,14,38,54,29,0,3,3,216,26,25,12,27,42,14,0,7,3,160,3,0,0,3,4,0,0,0,0,20,15,12,0,12,19,13,0,4,0,73,7,13,0,0,4,8,0,0,0,39,8,12,0,3,17,4,0,0,10,47,668,1478,67,190,486,188,0,32,53,3172,3,17,0,0,3,0,0,0,0,26,27,179,0,0,7,3,0,0,3,222,337,595,18,21,79,34,3,4,16,1120,21,34,0,3,3,4,0,0,0,69,58,152,3,12,31,4,0,3,0,256,15,28,0,0,5,3,0,0,0,54,718,1661,73,125,336,159,10,48,51,3177,0,0,0,0,4,0,0,0,0,5
206051129,43,169,0,20,17,5,0,3,3,263,8,30,0,0,3,0,0,0,0,50,322,1037,31,160,224,110,0,8,14,1912,0,0,0,4,0,0,0,3,0,6,50,64,11,37,35,27,0,3,0,227,53,68,17,77,84,41,0,6,4,358,35,35,44,74,82,27,0,10,3,306,8,8,4,3,11,3,0,0,0,36,13,13,3,17,22,9,0,3,3,87,7,12,0,0,4,3,0,0,3,36,8,27,3,4,9,7,0,0,14,73,702,1930,129,424,541,236,4,39,53,4065,4,12,0,0,0,0,0,0,0,22,36,158,0,0,9,0,0,0,3,207,242,581,15,31,51,26,0,7,19,973,15,33,0,8,6,4,0,3,0,60,64,241,7,27,22,11,0,3,3,381,11,43,0,0,7,3,0,5,0,75,669,1860,98,238,323,189,12,36,43,3466,0,0,0,3,3,0,0,3,0,11
206051130,57,127,3,10,14,5,0,0,3,220,12,22,0,0,4,4,0,0,0,46,384,831,23,58,191,80,3,7,17,1596,0,0,0,0,3,0,0,0,0,4,53,63,11,31,69,16,0,0,0,245,65,69,12,45,80,34,0,0,3,299,45,31,45,54,74,41,0,4,5,298,3,3,0,9,10,6,0,0,0,29,11,17,0,9,22,14,0,0,0,69,9,15,0,0,9,0,0,3,0,31,15,14,3,8,18,4,0,3,13,73,809,1551,109,246,543,219,9,18,43,3544,5,10,0,0,0,0,0,0,0,19,30,125,0,0,4,0,0,0,0,160,328,519,13,12,70,28,0,6,17,1004,7,20,0,5,3,0,0,0,0,39,89,191,9,17,22,10,0,0,3,343,17,32,0,0,11,4,0,0,0,68,810,1566,72,119,279,154,18,28,35,3084,0,0,0,3,3,0,0,0,0,12
206051131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
206051132,36,84,3,7,15,3,0,0,4,148,6,16,0,0,3,0,0,0,0,27,235,613,30,70,165,67,0,22,3,1205,0,0,0,0,0,0,0,0,0,3,36,41,5,19,28,14,0,0,4,138,36,33,9,29,39,9,0,4,0,159,22,16,29,28,35,9,0,3,0,149,3,4,0,3,0,3,0,3,0,16,11,14,3,11,15,3,0,0,3,52,3,7,0,3,8,3,0,0,0,30,8,16,0,4,6,4,0,0,5,39,507,1136,84,189,373,131,0,37,25,2478,6,8,0,0,3,0,0,0,0,22,12,110,0,0,3,0,0,0,0,137,224,465,16,24,88,30,3,4,9,857,14,17,0,3,4,3,0,0,0,40,54,133,8,8,21,3,0,0,4,233,8,26,3,3,5,0,0,0,0,40,504,1254,83,121,263,118,8,42,25,2413,0,0,0,0,3,0,0,0,0,4
206051133,54,190,4,28,31,7,0,4,0,321,21,46,0,5,3,0,3,0,0,79,424,1411,69,218,376,186,3,55,34,2770,0,3,0,6,3,0,0,0,0,12,48,113,25,63,58,30,0,8,6,346,102,128,36,115,111,63,4,12,3,567,69,54,85,129,141,58,3,15,11,565,12,12,5,8,12,6,0,3,0,55,17,9,3,35,36,12,0,3,3,126,10,23,0,7,10,7,0,4,0,65,8,23,11,14,14,9,0,8,16,106,973,2719,263,669,924,408,18,125,97,6183,3,29,0,0,3,0,0,0,0,37,39,266,0,8,6,0,0,0,4,321,368,983,49,77,177,60,13,28,25,1769,14,41,0,3,3,0,0,4,0,65,93,306,7,31,52,7,0,9,3,509,28,74,3,8,3,0,3,0,0,119,915,2712,233,383,584,344,31,127,84,5407,6,3,3,8,3,0,0,0,0,16
206051134,33,136,5,22,27,10,0,3,0,235,4,28,0,3,4,0,0,0,0,48,285,969,53,136,257,151,3,35,17,1905,0,0,0,5,0,0,0,0,0,8,46,68,15,37,45,17,0,5,0,230,53,72,18,95,81,51,0,13,3,375,39,49,66,88,61,32,3,8,3,351,0,5,3,10,10,6,0,3,0,32,6,9,4,18,34,5,0,0,0,84,12,15,0,3,3,4,0,0,0,35,10,10,4,8,4,3,0,3,10,49,596,1790,178,451,577,316,9,86,41,4055,3,19,0,0,3,0,0,0,0,28,13,143,3,7,3,0,0,0,4,176,191,617,21,47,93,47,9,20,10,1062,14,29,0,0,3,3,0,0,0,50,49,221,10,25,30,13,5,3,0,361,12,44,0,4,8,3,0,0,0,72,603,1826,139,218,395,241,21,84,51,3587,0,0,0,3,0,0,0,0,0,15
206061135,15,63,0,6,18,7,0,0,0,113,3,13,0,3,0,0,0,0,0,23,158,501,20,74,150,76,0,17,13,1022,0,0,0,0,0,0,0,0,0,6,18,33,3,26,32,16,0,3,0,130,21,32,12,22,43,14,0,0,3,144,18,10,14,26,27,11,0,3,0,106,3,0,0,3,8,3,0,0,0,21,4,5,0,6,13,11,0,0,0,36,6,9,0,3,0,0,0,0,0,23,3,5,0,5,4,3,0,3,3,35,304,906,58,189,337,159,4,34,32,2024,3,7,0,0,3,0,0,0,0,18,12,111,0,0,0,0,0,0,3,126,142,316,20,15,54,34,0,8,7,593,0,18,0,0,3,3,0,0,0,27,28,107,3,7,19,10,0,0,7,184,7,15,0,3,0,0,0,0,0,27,407,987,59,108,230,139,4,38,33,2005,0,0,0,0,0,0,0,0,0,9
