SA2_MAINCODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
201021011,66,108,219,356,527,505,172,32,7,1991,0,3,3,15,17,18,22,8,0,81,0,0,0,0,0,0,0,0,0,0,10,0,8,17,22,21,3,0,0,78,0,0,0,0,3,0,0,0,0,6,0,0,3,6,13,4,3,0,0,30,0,0,3,3,3,8,3,0,0,24,19,11,25,30,54,46,6,0,0,192,22,25,49,58,52,31,13,0,3,258,0,0,0,9,17,4,5,0,0,39,0,0,4,10,3,4,0,0,0,16,0,6,4,9,6,3,0,0,0,27,0,0,0,7,6,7,0,0,0,22,0,0,15,23,41,27,6,0,0,114,0,0,8,13,25,22,6,0,0,77,0,0,11,33,32,33,8,0,0,119,0,7,16,39,70,75,18,0,0,227,5,18,34,78,137,146,30,0,0,444,0,0,8,10,11,7,3,0,0,44,3,10,3,8,13,7,0,0,0,47
201021012,86,92,153,280,391,283,112,17,6,1426,3,3,7,15,15,9,8,0,0,64,0,0,3,0,3,0,0,0,0,5,7,0,3,11,10,4,0,0,0,40,0,0,0,3,0,0,0,0,0,3,0,5,6,5,13,8,0,0,0,37,0,0,3,4,6,11,0,0,0,28,17,13,15,23,29,24,0,0,0,123,35,8,4,4,8,8,3,0,0,65,0,0,0,3,11,10,3,0,0,34,0,0,0,3,6,0,0,0,0,13,0,0,3,8,14,0,0,0,0,29,0,5,0,0,6,0,3,0,0,15,0,10,19,16,19,16,3,0,0,78,0,3,3,10,14,8,4,0,0,37,0,4,10,24,28,24,0,0,0,91,4,12,24,44,72,32,4,0,0,189,3,14,40,55,86,64,5,0,0,276,6,3,3,3,8,0,0,0,0,26,3,3,3,9,9,6,0,0,0,34
201031013,20,37,72,120,143,170,69,13,4,654,0,6,8,11,17,21,16,0,0,73,0,0,0,0,0,0,0,0,0,0,0,5,3,5,16,10,4,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,3,3,3,3,0,0,0,12,4,11,3,9,10,8,6,0,0,50,9,3,0,4,7,8,3,0,0,37,0,0,0,3,4,6,0,0,0,15,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,8,0,0,0,23,0,0,4,6,6,3,0,0,0,14,0,0,3,15,19,11,0,0,0,49,0,0,4,15,6,12,4,0,0,46,3,7,15,17,37,40,7,0,0,123,0,3,0,0,0,0,0,0,0,4,0,0,3,0,4,3,0,0,0,10
201031014,30,46,108,173,187,222,78,14,5,870,3,0,7,7,22,18,19,0,0,77,0,0,0,0,0,0,0,0,0,0,0,3,4,7,4,0,3,0,0,29,0,0,3,0,0,0,0,0,0,3,0,0,6,9,4,3,0,0,0,18,3,0,5,0,3,3,0,0,0,16,15,4,15,14,19,19,3,0,0,85,14,6,12,10,15,7,0,0,0,57,0,0,0,6,3,3,0,0,0,18,0,3,0,0,6,3,0,0,0,13,0,0,0,0,10,3,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,4,3,3,6,6,0,0,0,30,0,0,8,7,8,0,0,0,0,20,0,4,12,9,29,5,3,0,0,58,0,0,10,17,20,29,3,0,0,83,0,11,34,33,41,43,13,0,0,170,0,0,0,3,0,0,0,0,0,5,3,0,3,3,3,11,0,0,0,24
201031015,52,64,163,237,240,215,57,12,0,1036,0,0,0,5,8,11,9,0,0,36,0,0,0,0,3,0,0,0,0,7,3,3,3,6,14,11,0,0,0,32,0,0,0,3,0,0,0,0,0,4,0,3,3,3,6,6,0,0,0,23,0,0,0,0,0,5,0,0,0,4,21,12,23,22,21,19,0,0,0,126,16,6,4,11,3,10,0,0,0,53,0,0,3,6,5,7,3,0,0,32,0,0,4,8,3,0,0,0,0,20,0,4,0,4,0,0,0,0,0,9,0,3,4,6,0,0,0,0,0,8,0,3,11,11,8,6,0,0,0,43,0,0,3,6,11,4,0,0,0,32,0,0,4,18,22,16,0,0,0,60,0,5,9,21,41,24,4,0,0,104,3,8,44,52,61,43,6,0,0,217,4,5,3,3,0,3,0,0,0,19,0,3,6,7,3,4,0,0,0,24
201031016,84,136,224,256,271,275,58,11,3,1317,0,5,3,10,4,3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,11,8,21,16,34,22,3,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,3,0,0,0,0,11,36,24,31,28,46,32,8,0,0,207,27,17,23,19,22,18,3,0,0,127,0,0,4,4,3,3,0,0,0,13,3,0,0,3,4,3,0,0,0,16,0,3,5,8,9,0,0,0,0,25,0,0,0,3,3,0,0,0,0,10,0,4,8,5,10,12,0,0,0,35,0,3,3,3,10,10,7,0,0,35,0,0,9,13,24,16,5,3,0,68,0,4,29,27,36,29,3,0,0,134,7,22,44,54,103,82,16,0,0,329,0,4,4,3,6,0,3,0,0,16,0,3,12,9,8,6,0,0,0,46
201031017,48,63,131,159,255,252,74,22,0,1010,0,8,5,7,5,8,15,3,0,58,0,0,0,0,0,0,0,0,0,3,3,6,7,10,29,16,0,0,0,66,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,4,3,0,0,0,3,0,0,0,0,7,23,16,13,18,31,26,3,0,0,120,16,6,8,16,4,15,3,0,0,62,0,0,0,4,7,6,0,0,0,19,0,0,0,0,0,0,0,0,0,7,0,0,3,8,3,4,0,0,0,15,0,0,0,0,3,0,0,0,0,3,0,0,9,8,7,3,4,0,0,30,0,0,0,0,6,10,0,0,0,20,0,0,4,12,21,8,0,0,0,51,0,0,11,26,33,25,3,0,0,94,5,9,18,30,65,43,7,0,0,175,0,0,4,0,4,4,3,0,0,18,0,6,3,3,3,3,3,0,0,24
202011018,129,385,772,572,610,486,119,20,3,3093,0,0,4,9,4,5,0,0,0,28,0,0,3,0,0,0,0,0,0,8,7,28,28,18,21,15,5,0,0,120,0,0,3,3,5,0,0,0,0,8,0,9,8,9,11,4,3,0,0,53,0,0,10,4,3,3,3,0,0,24,51,69,70,50,60,50,13,0,0,363,67,74,60,35,26,13,7,0,0,273,5,0,8,7,11,3,3,0,0,39,0,5,11,6,5,0,4,0,0,37,0,10,36,25,23,14,0,0,0,110,3,3,7,0,9,4,0,0,0,24,3,8,32,26,29,10,3,0,0,110,0,6,25,19,30,23,3,0,0,106,0,4,41,43,35,32,6,0,0,166,6,27,77,68,89,86,11,0,0,356,7,88,231,161,198,199,32,0,0,914,6,5,10,7,6,5,0,0,0,41,4,15,35,9,11,10,4,0,0,93
202011019,142,273,578,477,456,383,86,6,3,2403,0,3,5,4,3,3,0,0,0,23,0,0,3,3,3,0,0,0,0,5,17,19,24,22,34,32,7,0,0,152,0,0,5,4,3,3,0,0,0,21,0,3,8,8,15,5,0,0,0,40,3,3,6,0,4,3,0,0,0,21,54,55,52,54,62,35,6,0,0,318,52,42,33,16,27,30,4,0,0,198,0,0,0,4,7,15,0,0,0,36,3,0,6,3,0,3,0,0,0,20,0,5,20,22,13,10,0,0,0,82,0,0,3,3,3,0,0,0,0,13,0,12,19,8,15,19,0,0,0,73,0,10,28,23,11,24,7,0,0,103,0,13,23,27,28,23,0,0,0,113,0,8,55,66,62,44,8,0,0,245,9,57,135,107,159,152,23,0,0,630,3,5,10,4,4,3,0,0,0,33,3,17,12,21,12,8,0,0,0,68
202011020,210,365,544,535,621,497,168,31,0,2975,4,4,4,8,3,7,3,0,0,29,0,0,3,3,3,0,0,0,0,6,14,19,21,12,28,13,0,0,0,107,0,0,3,0,0,4,0,0,0,14,0,0,10,16,18,12,0,0,0,57,0,3,3,5,3,8,0,0,0,28,55,75,52,38,75,47,15,3,0,365,93,84,37,29,25,15,0,0,0,280,0,4,0,3,10,7,0,0,0,27,0,4,7,3,5,0,3,0,0,21,0,13,34,35,39,26,6,0,0,142,3,4,8,8,8,0,3,0,0,36,3,4,24,33,28,25,10,0,0,123,3,8,8,17,23,17,3,0,0,76,3,5,50,44,56,43,3,0,0,195,10,33,73,97,128,83,13,0,0,446,12,60,159,132,192,185,37,0,0,781,8,8,9,6,4,10,3,0,0,54,6,15,24,9,24,21,8,0,0,102
