SA2_MAINCODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
208021179,272,32,313,1939,598,74,2618,6054,599,9263
208021180,151,16,168,1336,308,52,1701,4231,314,6247
208021181,188,28,217,1606,399,38,2045,5287,358,7690
208021182,185,21,204,2315,522,53,2887,7605,598,11094
208021426,356,47,405,3056,619,57,3738,7174,678,11584
208021427,373,45,424,2574,754,73,3408,6541,611,10558
208031183,80,15,101,1769,480,72,2319,4546,332,7193
208031184,0,0,0,4,0,0,4,29,10,40
208031185,212,56,269,1878,762,69,2705,6160,749,9622
208031186,313,186,507,2392,783,96,3275,7328,1180,11786
208031187,54,5,57,977,322,39,1341,2709,246,4294
208031188,690,208,917,3897,1195,107,5197,11943,1231,18368
208031189,262,32,304,2425,714,105,3248,6231,712,10197
208031190,341,96,440,2052,805,60,2920,7250,690,10861
208031191,169,76,253,1615,396,60,2073,4451,568,7090
208031192,0,0,0,0,0,0,0,0,0,0
208031193,458,84,549,3705,1178,161,5042,10067,965,16080
208041194,533,77,621,3253,1162,94,4513,11047,1131,16693
208041195,443,48,502,3578,1114,134,4826,11871,893,17592
209011196,197,45,246,1630,609,41,2276,5486,510,8276
209011197,395,50,448,3630,1437,153,5219,10635,817,16666
209011198,476,133,629,2599,835,108,3538,7647,823,12010
209011199,364,79,447,2051,567,67,2693,7670,1307,11673
209011200,194,18,213,1917,660,45,2620,6411,499,9536
209011201,178,32,223,1347,543,47,1940,4081,307,6325
209011202,281,40,331,2829,1317,122,4271,8214,644,13125
209011203,383,139,529,3337,1173,102,4609,9358,820,14792
209011204,170,22,195,1606,521,68,2196,4838,406,7440
209021205,118,108,222,1448,475,28,1947,7001,849,9802
209021207,763,223,999,3944,1163,104,5221,15250,2386,22852
209021208,660,107,779,3672,1190,99,4962,13420,1577,19951
209021428,299,111,411,2803,805,93,3700,11663,1692,17056
209021429,200,33,232,2136,611,79,2827,6484,681,9997
209031209,199,68,273,4247,1717,180,6145,11373,842,18361
209031210,22,0,22,619,246,44,908,1685,138,2735
209031211,13,0,16,666,222,26,915,1852,313,3073
209031212,57,8,65,805,434,36,1279,2559,395,4233
209031213,117,7,131,1740,685,61,2485,4661,399,7539
209031214,58,3,62,1323,474,57,1851,3159,325,5335
209031215,140,15,157,2506,897,130,3532,6998,483,11014
209041216,96,16,113,1164,320,21,1502,4339,352,6193
209041217,93,19,116,765,466,23,1257,3747,406,5406
209041219,318,59,385,3347,1172,62,4580,12610,1431,18625
209041220,225,23,249,2777,996,47,3823,10176,823,14819
209041221,70,17,92,1757,732,45,2533,6671,630,9831
209041223,336,38,379,2707,1156,50,3913,11800,1264,16974
209041224,76,10,87,3234,871,97,4207,7016,1178,12397
209041225,156,23,175,1380,551,58,1984,3955,583,6529
209041430,50,8,54,5328,1101,214,6641,7495,687,14828
209041431,223,25,249,2269,678,79,3021,6762,721,10510
209041432,99,24,125,1342,455,25,1825,4503,511,6837
209041433,16,3,22,2645,349,59,3052,4332,476,7861
209041434,28,8,47,4044,841,111,4992,6159,845,12001
209041435,24,4,29,2858,476,57,3390,5022,435,8845
209041436,274,16,295,2314,570,61,2948,6056,458,9462
209041437,14,4,20,2215,350,38,2606,3418,565,6585
210011226,202,34,244,1205,421,21,1655,4212,528,6388
210011227,0,0,0,0,0,0,0,0,0,0
210011228,182,33,222,1369,693,41,2095,4499,468,7063
210011229,646,127,779,4066,1727,66,5858,14438,1565,21863
210011230,194,33,226,1280,376,35,1688,3605,331,5621
210011231,196,40,241,1656,569,59,2278,4845,444,7564
210021232,158,58,228,2562,785,111,3464,5779,689,9933
210021233,25,3,34,597,265,25,885,1555,220,2664
210021234,41,3,43,752,282,37,1078,1943,160,3183
210021235,84,13,107,1610,569,78,2264,4497,729,7484
210031236,260,20,286,1322,285,40,1653,4122,542,6319
210031237,460,49,518,2152,536,44,2738,7216,848,10800
210031239,706,92,809,3928,950,106,4977,12867,1438,19288
210031438,681,105,791,3355,836,60,4258,12305,1652,18209
210031439,44,9,49,594,138,25,765,1355,143,2262
210031440,143,24,171,807,277,22,1106,3112,362,4581
210041240,155,22,178,2330,888,83,3303,6204,635,10140
210041241,366,71,443,4749,1756,197,6701,13337,1432,21468
210051242,178,22,210,1852,440,35,2329,6763,1349,10440
210051243,201,22,226,2140,621,43,2804,8442,1280,12531
210051245,209,34,248,2555,1166,82,3797,9826,1049,14674
210051246,67,11,78,2714,880,65,3663,8784,650,13102
210051247,64,8,72,2118,540,38,2695,7721,989,11413
210051248,0,0,0,18,6,0,28,54,85,169
210051249,116,12,124,3665,657,85,4405,10641,1066,16115
210051250,79,20,104,888,412,29,1328,3654,517,5499
210051441,45,7,50,1475,370,40,1883,4214,461,6550
210051442,14,0,12,2624,418,67,3103,4492,517,8121
210051443,35,10,53,3140,715,98,3944,7748,747,12440
210051444,72,11,86,3421,468,75,3966,5505,606,10076
210051445,14,0,12,645,167,16,819,1628,199,2653
211011251,198,63,258,1981,745,88,2821,6467,740,10019
211011254,134,14,150,2664,910,88,3666,7993,631,12281
211011255,25,4,32,1228,357,45,1631,3386,288,5301
211011256,168,22,200,2615,850,70,3533,8483,574,12591
211011257,96,5,102,1602,444,57,2097,4016,225,6346
211011258,71,4,82,1917,605,50,2575,5662,356,8590
211011259,384,35,427,2246,1067,72,3382,7663,563,11605
211011260,616,92,712,2605,1191,75,3870,10691,631,15194
211011446,422,125,552,3601,1417,140,5160,11902,1273,18343
211011447,277,79,356,2265,949,107,3324,7456,714,11493
211011448,181,15,201,2597,909,90,3598,7798,539,11928
211011449,31,5,33,809,270,58,1133,2073,191,3396
211021261,454,39,499,2679,1103,88,3872,8574,623,13071
211021262,122,46,175,1717,761,62,2533,5181,486,8206
211031263,140,129,267,2146,705,90,2940,5901,736,9580
211031265,194,48,252,3313,1228,138,4678,9156,648,14485
211031266,491,67,558,2959,977,98,4032,9254,786,14076
211031267,414,59,476,3638,1340,162,5142,10435,855,16423
211031268,155,25,174,1749,714,91,2559,4777,363,7692
211031450,259,77,336,2552,947,113,3608,7910,902,12427
211031451,467,55,525,2201,970,96,3264,7082,613,10962
211031452,40,5,48,915,350,31,1296,2291,193,3773
211041269,336,32,381,1841,607,56,2506,5865,446,8814
211041270,248,42,299,3017,967,119,4098,8364,677,13140
211041271,335,117,451,2224,574,82,2881,6151,670,9711
211041272,175,17,191,2124,705,60,2887,5043,327,8256
211041273,300,67,367,1826,947,38,2820,6721,369,9902
211051274,53,10,65,1930,596,91,2615,4904,510,8026
211051275,128,24,159,1658,747,62,2467,5213,448,8127
211051276,242,36,283,2146,958,113,3222,6962,959,11151
211051277,340,48,389,1437,644,54,2134,4902,502,7539
211051278,325,53,372,3283,1211,139,4627,9680,903,15209
211051279,90,19,113,973,385,51,1409,2857,275,4545
211051280,203,36,248,1154,522,72,1754,3453,324,5527
211051281,205,82,299,3900,1610,186,5699,11011,994,17696
211051282,94,8,111,1599,706,108,2414,4970,542,7922
211051283,75,16,95,1749,723,102,2569,4724,453,7752
211051284,56,9,72,1742,686,98,2534,4874,386,7793
211051285,67,20,87,1397,540,69,2007,3699,371,6073
211051286,215,44,259,2640,1094,132,3870,8054,1160,13090
212011287,45,9,56,2699,704,70,3471,6133,521,10130
212011288,115,19,137,1396,590,68,2050,4276,602,6928
212011289,180,30,216,3316,1200,154,4669,8551,1087,14304
212011290,111,27,148,1288,481,46,1807,3516,635,5957
212011291,179,37,223,3877,1006,181,5064,7871,1021,13957
212011292,328,66,401,5892,1551,268,7712,12052,1496,21258
212021293,621,98,726,3820,1491,139,5451,12353,1057,18860
212021294,72,13,93,6061,1291,195,7549,10489,828,18860
212021295,150,50,204,1529,468,36,2030,6129,960,9112
212021297,193,15,216,1654,569,43,2261,5838,554,8651
212021299,162,11,172,1170,506,34,1710,4267,387,6368
212021453,165,16,183,1877,629,55,2565,6565,554,9687
212021454,107,18,126,2100,817,48,2963,7324,672,10955
212021455,89,13,98,2430,694,69,3193,6939,537,10672
212021456,206,22,227,2381,751,69,3204,7291,722,11218
212031300,179,56,239,3355,1118,145,4620,9714,1452,15787
212031301,254,43,298,5993,1065,193,7252,10183,1165,18604
212031302,67,14,88,4356,891,145,5389,8496,1029,14922
212031303,87,86,174,1583,567,66,2215,4211,610,7037
212031304,69,3,76,3389,664,89,4142,6343,674,11158
212031305,139,23,166,4466,1073,94,5631,12431,1709,19773
212031306,153,3,163,3503,623,83,4205,6189,730,11124
212031308,57,18,75,1361,531,49,1942,3699,523,6169
212031457,45,3,51,2625,748,94,3464,6067,452,9983
212031458,66,11,79,3353,744,103,4197,7582,739,12518
212041309,245,39,286,1613,693,43,2350,7005,618,9971
212041310,178,19,199,1870,556,36,2462,7445,717,10626
212041311,510,125,638,4451,933,78,5460,16646,2764,24877
212041312,407,50,457,3365,1135,76,4577,12520,1307,18405
212041313,202,55,257,1698,727,60,2492,5475,490,8463
212041314,335,26,371,4442,1312,85,5839,13955,1044,20839
212041316,92,12,106,1122,422,18,1561,4228,404,6192
212041317,508,73,589,3047,888,61,3997,12807,1480,18286
212041318,111,65,182,1906,639,55,2599,7040,715,10349
212041459,246,25,270,1934,443,29,2403,7078,855,10339
212041460,362,37,402,2778,772,53,3601,10544,1169,15311
212051319,387,42,442,3023,797,91,3912,10072,1171,15149
212051320,419,95,511,2223,596,44,2864,16125,1339,20332
212051321,451,135,593,3580,1350,76,5010,11688,791,17491
212051322,439,48,497,3150,987,71,4210,11068,821,16099
212051323,379,43,434,2502,973,60,3535,8609,609,12744
212051324,518,77,595,3141,1009,84,4237,10008,913,15156
212051325,399,87,490,3229,1141,60,4433,10566,1033,16027
212051326,509,109,627,3536,903,96,4531,12120,1159,17810
212051327,628,91,728,3017,1544,74,4642,11227,794,16658
213011328,133,45,184,1091,323,27,1433,4405,718,6551
213011329,43,3,44,1759,532,31,2315,4733,416,7470
213011330,145,34,179,4978,1181,115,6270,12085,1645,19998
213011331,98,4,105,1258,391,18,1668,4762,456,6884
213011332,160,6,171,1865,949,68,2882,7526,587,10993
213011333,84,10,103,1954,799,32,2778,7445,992,11219
213011334,280,53,334,2776,873,51,3694,11153,1791,16637
213011335,237,40,287,2295,777,43,3114,9796,1424,14336
213011336,205,38,241,1485,362,37,1886,5480,749,8110
213011337,245,69,322,1681,509,28,2219,6539,872,9625
213011338,280,21,309,2624,942,72,3631,10425,1251,15305
213011339,137,121,259,2134,543,53,2723,6070,872,9671
213011340,154,23,174,2556,1040,61,3657,10127,802,14585
213021341,304,66,373,2038,701,66,2806,6977,808,10589
213021342,288,24,322,3062,1044,78,4188,10755,1013,15956
213021343,406,117,532,2072,668,50,2787,7635,1069,11491
213021344,285,29,321,3605,757,142,4500,8604,812,13917
213021345,27,0,32,1060,222,26,1307,2380,297,3981
213021346,273,50,330,2756,840,122,3711,7926,889,12527
213031347,186,74,268,2690,650,79,3412,10196,1490,15098
213031348,275,59,341,1900,507,51,2464,10547,1506,14513
213031349,110,15,130,1831,492,37,2359,7258,798,10421
213031350,135,32,163,1768,348,88,2208,4782,523,7513
213031351,141,26,165,1876,434,80,2390,6368,766,9526
213031352,242,61,315,2810,568,129,3508,7691,816,12012
213041353,279,45,333,3658,1283,146,5087,9870,1126,16082
213041355,47,3,50,4223,899,106,5221,9212,920,15356
213041356,164,28,196,3010,1215,137,4365,9253,1283,14907
213041357,230,37,268,4428,1292,139,5861,10436,1493,17784
213041358,55,18,72,3393,1046,124,4563,7470,1067,13101
213041359,3,0,10,219,121,5,354,921,1457,2734
213041360,60,9,74,4611,707,90,5412,7453,724,13587
213041461,123,28,152,811,220,20,1053,2479,211,3742
213041462,8,0,12,1519,216,33,1766,2268,222,4259
213041463,35,5,42,4357,856,99,5309,8407,993,14707
213051361,114,20,132,3279,1050,94,4425,9992,1040,15461
213051362,153,30,193,3189,1190,87,4467,10161,1047,15677
213051363,41,8,44,1696,309,30,2037,4482,608,7129
213051365,61,20,87,8522,1339,192,10049,12817,1733,24600
213051366,17,0,27,5641,808,95,6545,8143,2130,16819
213051368,263,27,287,1707,687,40,2431,6300,736,9473
213051369,85,11,96,5159,1082,179,6414,9345,1135,16894
213051464,17,0,21,2944,478,84,3503,4920,565,8990
213051465,78,21,97,5847,898,138,6886,9011,865,16762
213051466,9,4,10,4088,502,84,4671,4897,507,10082
213051467,243,165,406,3209,1051,78,4333,9955,1530,15815
213051468,71,8,91,2000,767,65,2835,6130,634,9594
214011370,291,135,420,3708,1104,118,4923,10189,1418,16537
214011371,358,95,456,3363,1515,182,5060,11958,1906,18922
214011372,409,80,495,2841,1197,140,4179,9997,1658,15837
214011373,615,99,719,3153,1251,126,4534,9426,908,14863
214011374,181,36,219,4355,1691,220,6259,11783,1136,19182
214011375,257,87,346,2647,1019,129,3796,8594,1351,13738
214011376,46,3,50,2754,791,105,3652,5846,536,10036
214021377,246,126,374,1497,862,82,2443,6194,795,9434
214021378,125,21,145,792,437,34,1260,2875,426,4563
214021379,296,78,378,3511,1545,148,5207,11195,1589,17988
214021380,873,112,998,3600,1860,172,5628,13023,1508,20165
214021381,383,52,443,3388,1285,142,4814,8507,790,14109
214021382,465,64,535,3620,1262,167,5053,8662,866,14578
214021383,378,115,501,2366,1342,91,3802,9229,1479,14507
214021384,1047,296,1350,2675,1422,101,4203,11932,1810,17941
214021385,276,60,339,2962,1372,151,4496,9310,1069,14880
215011386,234,51,285,1011,546,62,1617,4270,1208,7094
215011387,48,18,66,421,186,15,624,1565,365,2558
215011388,445,79,543,2538,1014,124,3679,8450,1053,13188
215011389,58,17,79,576,220,21,817,1722,200,2742
215011390,271,53,333,889,374,37,1295,3992,525,5817
215011391,110,18,126,414,169,24,603,2028,242,2867
215011392,235,36,273,1080,502,56,1643,4503,715,6865
215011393,62,28,85,403,143,16,556,1517,210,2284
215011394,247,78,332,809,383,41,1225,3753,606,5585
215021395,91,16,112,1147,428,38,1619,3340,498,5454
215021396,113,13,138,706,324,39,1067,2359,430,3861
215021398,100,23,125,474,243,20,742,1995,342,3082
215021399,111,42,155,866,372,31,1274,2870,593,4735
215021469,401,76,481,2438,1060,119,3623,9292,1765,14684
215021470,303,109,416,2134,830,90,3061,7554,1218,11827
215031400,253,84,336,778,375,37,1188,3377,643,5203
215031401,152,25,187,876,409,38,1323,3740,522,5578
215031402,156,33,197,479,217,32,724,2169,380,3280
215031403,31,35,64,413,142,17,571,1514,541,2623
215031404,304,77,385,1566,667,71,2306,5396,1145,8849
215031405,79,27,116,878,342,46,1267,3079,831,5179
216011406,357,96,460,2072,921,105,3099,7650,1200,11947
216011407,304,86,399,1656,710,55,2421,5492,976,8889
216011408,46,5,52,581,255,22,859,1844,340,3043
216011409,96,46,148,515,257,17,781,2111,334,3235
216011410,80,21,102,486,246,16,750,2296,378,3426
216021411,172,34,216,824,305,20,1145,3526,581,5254
216021412,37,9,44,344,174,17,543,1369,251,2162
216021413,240,69,311,1765,848,66,2678,6386,950,10007
216021414,268,97,363,1042,480,53,1572,4122,858,6558
216031415,153,32,188,1094,510,76,1680,4092,724,6496
216031416,359,115,480,2987,980,137,4111,9189,1528,14829
216031417,445,93,542,3595,1236,126,4955,11468,1899,18326
216031418,33,5,37,662,269,33,966,1865,244,3070
216031419,184,45,236,1476,556,62,2093,5045,1123,8271
217011420,163,52,214,1128,510,55,1694,4869,800,7363
217011421,298,104,404,1383,651,67,2100,5526,714,8343
217011422,275,60,333,1556,696,62,2316,5720,952,8988
217011423,144,38,178,934,336,33,1309,3170,457,4931
217031471,98,26,133,459,222,23,697,1911,303,2906
217031472,365,81,460,1751,877,77,2706,6351,973,10034
217031473,39,17,62,824,408,42,1274,2623,378,4273
217031474,129,42,178,713,371,30,1114,2806,526,4441
217031475,123,25,159,1111,414,42,1567,3626,578,5772
217031476,50,13,66,406,215,19,643,1992,353,2990
217041477,98,35,135,1106,402,33,1532,3149,545,5225
217041478,192,36,231,1537,606,72,2212,4619,735,7575
217041479,348,96,443,3498,1373,158,5031,10497,1416,16939
217041480,425,103,534,1765,850,107,2725,7006,1156,10884
297979799,0,0,0,5,0,0,5,18,3,25
299999499,25,13,38,649,290,14,960,3900,1969,6825
