SA2_MAINCODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
205021082,4,13,10,19,14,17,12,23,0,117,7,20,15,15,24,32,11,22,27,170,180,481,409,477,486,515,277,587,74,3479
205021083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021084,6,17,14,12,26,23,8,17,3,129,10,11,9,20,10,18,3,18,45,142,216,496,430,496,540,460,251,485,86,3452
205021085,3,18,8,12,12,12,10,4,0,76,11,12,12,4,9,12,4,7,26,107,130,381,276,318,280,303,138,409,72,2304
205021086,0,15,15,5,15,15,6,6,0,72,5,9,11,7,18,7,3,8,14,92,127,269,253,290,315,329,182,280,49,2086
205031087,4,22,13,7,14,24,8,12,3,111,6,29,14,10,17,16,5,24,35,161,176,539,424,444,381,487,216,760,86,3508
205031088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,6,8,4,5,7,7,0,50
205031089,4,11,8,20,29,39,16,25,9,172,7,29,13,17,19,30,10,26,56,200,188,528,452,473,541,637,329,745,115,4012
205031090,6,13,15,15,32,27,20,29,0,160,14,23,18,17,28,21,12,26,34,192,201,693,538,606,661,676,449,861,100,4781
205031091,6,20,17,15,23,17,10,18,0,124,17,24,8,10,15,19,3,20,34,141,265,649,517,579,570,599,307,482,81,4049
205031092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,12
205031093,14,51,42,40,47,76,27,33,0,325,19,52,41,29,45,49,24,41,86,392,453,1281,1039,1165,1224,1340,640,1067,184,8395
205041094,4,28,15,8,28,27,22,30,0,157,14,11,10,18,19,17,14,28,44,176,241,759,549,566,855,643,464,701,82,4857
205041095,6,30,22,31,58,49,13,33,0,242,8,21,15,13,43,37,12,26,81,271,255,869,702,768,1237,970,494,641,152,6085
205041096,3,24,13,13,31,37,15,30,0,174,11,13,12,13,32,22,12,21,64,203,184,615,502,581,920,650,371,520,119,4472
205041097,10,72,43,43,94,90,32,60,3,444,12,31,24,23,57,56,24,50,96,374,519,1528,1174,1353,2298,1982,1210,1650,195,11911
205041098,3,8,8,11,18,17,10,8,0,76,4,12,9,0,15,19,3,11,16,86,104,244,239,264,381,353,201,259,40,2088
205051099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,6,0,17
205051100,0,12,3,4,8,10,6,10,0,52,5,3,4,5,13,9,3,13,20,76,72,235,152,192,212,265,134,355,48,1670
205051101,11,35,15,33,41,46,20,34,0,235,12,30,22,21,30,54,20,38,56,283,336,796,645,673,878,992,530,1075,140,6065
205051102,0,8,3,9,8,20,9,9,3,66,4,10,3,10,7,14,3,8,14,73,89,188,170,179,278,269,169,467,35,1848
205051103,6,30,25,34,37,46,21,22,3,231,0,21,17,15,36,32,13,34,55,219,263,803,653,727,1020,1053,582,938,115,6155
205051104,3,8,5,13,9,8,10,17,0,66,5,5,6,15,8,14,5,14,24,99,95,299,233,286,304,285,152,425,63,2144
206011105,7,58,39,62,96,72,53,71,7,454,7,46,44,38,61,95,37,63,108,506,456,1666,1555,1683,2633,3094,1668,2127,227,15111
206011106,6,23,23,21,50,44,22,33,4,224,8,30,18,15,29,45,23,24,36,214,176,651,625,722,1266,1353,802,983,81,6655
206011107,3,25,26,24,53,48,29,28,4,247,7,31,19,15,44,39,14,33,53,269,238,821,782,857,1444,1434,739,959,110,7390
206011108,6,57,54,54,82,82,48,46,6,441,18,52,38,45,80,95,36,53,140,551,397,1455,1521,1624,2525,2562,1257,1642,266,13246
206011109,3,23,18,22,20,20,10,23,3,152,7,14,16,18,20,38,3,25,41,187,130,589,541,578,786,982,457,716,73,4851
206021110,3,22,20,23,25,22,16,13,0,144,6,16,23,21,25,25,10,19,38,177,138,570,544,583,812,932,521,753,65,4921
206021111,16,64,45,50,99,91,28,49,0,437,6,42,30,39,60,89,24,64,95,455,372,1475,1372,1668,2124,2741,1472,2141,207,13574
206021112,4,45,31,43,74,69,18,33,5,317,11,43,44,37,61,87,28,40,68,406,330,1058,1090,1247,1797,1953,950,1243,144,9806
206031113,4,20,16,29,41,42,23,32,3,209,3,27,24,16,31,40,20,30,45,240,237,809,810,797,1261,1543,847,1202,103,7609
206031114,6,48,57,43,83,62,41,63,9,403,15,54,56,29,72,95,35,68,118,543,472,1785,1567,1443,2401,2979,1472,2317,237,14671
206031115,3,19,16,16,28,20,5,12,4,120,4,26,18,13,34,32,10,22,46,213,135,551,508,476,853,966,429,617,98,4631
206031116,6,21,22,34,39,33,17,30,3,210,4,33,23,10,39,37,12,51,58,268,217,870,735,782,1278,1543,770,1286,119,7599
206041117,4,23,26,16,24,16,11,24,0,150,12,51,26,15,27,34,9,34,59,267,188,1122,804,550,942,1288,578,893,130,6501
206041118,5,8,20,7,24,30,11,28,0,133,14,25,15,12,35,51,16,40,55,256,196,396,514,410,939,1917,541,892,86,5898
206041119,3,8,9,13,12,7,14,8,3,65,0,10,6,5,9,26,20,32,11,115,110,253,237,245,421,639,381,695,44,3031
206041120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,10,4,5,0,38
206041121,5,26,22,27,27,23,23,12,0,162,6,20,24,11,34,45,22,23,27,213,204,521,522,644,1150,1431,769,996,54,6294
206041122,10,62,79,54,82,68,29,35,3,432,38,84,160,46,92,124,35,52,156,783,412,1899,2862,1208,2643,3692,1220,1654,267,15847
206041123,11,27,30,28,54,50,18,36,3,267,7,35,37,24,60,56,26,49,78,377,324,1156,1154,859,1740,2034,997,1512,173,9952
206041124,3,11,8,7,22,16,8,4,3,81,8,18,13,12,18,12,4,11,22,111,164,783,321,295,461,549,265,450,205,3503
206041125,0,9,7,11,12,12,3,9,0,69,5,12,12,9,18,20,11,19,25,143,99,303,275,284,482,761,400,728,48,3377
206041126,4,31,34,32,46,52,28,34,0,265,10,47,48,26,72,94,19,53,79,451,271,805,1011,710,2074,2796,1199,1686,148,10711
206041127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206051128,4,19,15,25,18,29,14,24,0,150,19,37,33,22,38,84,26,84,39,376,240,724,634,728,1029,1786,847,2001,103,8083
206051129,6,29,27,34,63,48,26,48,0,285,8,23,25,33,34,79,32,57,56,340,286,719,715,923,1456,2029,1186,1837,121,9276
206051130,3,37,21,30,43,49,28,55,0,266,12,29,29,34,40,89,16,96,56,397,300,646,642,819,1196,2026,1059,2154,99,8931
206051131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,13
206051132,7,8,17,20,32,39,13,34,3,180,12,25,19,14,24,48,23,35,23,226,177,487,504,467,932,1420,699,1380,52,6116
206051133,13,50,40,58,109,98,52,63,4,481,15,60,46,45,72,123,50,115,114,647,430,1127,1195,1365,2777,3686,1879,2681,228,15372
206051134,3,38,39,45,83,50,36,37,6,338,4,26,27,27,46,72,48,46,64,360,235,828,931,1019,1844,2079,1249,1606,131,9924
206061135,0,19,17,11,19,16,9,13,0,110,6,29,18,15,15,33,13,37,32,199,135,548,468,459,736,928,492,989,72,4828
206061136,6,41,42,49,71,60,38,45,3,360,6,33,32,23,60,93,42,86,73,444,317,887,958,962,2095,2730,1575,2499,134,12157
206061137,0,35,24,39,63,54,41,55,0,312,8,39,43,32,62,118,46,81,91,535,303,938,920,940,2192,3042,1573,2405,167,12487
206061138,3,22,9,19,31,21,14,24,3,147,12,50,38,26,38,57,15,59,59,349,170,845,659,641,795,1345,600,1393,97,6545
206071139,0,15,16,23,34,29,20,12,3,146,3,17,21,10,31,44,22,31,21,199,135,393,425,427,914,1191,694,932,62,5171
206071140,3,17,3,10,24,16,8,18,0,98,9,32,20,9,11,36,6,21,21,174,159,606,491,552,701,994,509,968,58,5039
206071141,3,26,8,16,20,24,24,25,0,149,6,27,14,15,20,37,20,31,35,197,151,354,370,451,785,1064,594,873,67,4711
206071142,3,10,8,16,43,31,19,10,0,146,3,21,13,18,35,50,17,42,55,252,199,495,415,522,840,1099,690,1077,90,5427
206071143,4,30,20,26,42,25,21,20,8,205,6,23,27,26,22,51,26,42,37,261,203,722,638,789,1056,1404,862,1281,83,7038
206071144,15,53,45,52,121,99,59,79,3,523,13,35,41,43,104,141,61,120,115,680,464,1407,1362,1447,3220,4255,2470,3872,249,18752
206071145,6,21,12,20,33,24,16,10,0,144,6,11,13,10,27,27,12,31,24,163,171,534,477,559,743,967,638,922,79,5084
207011146,0,22,9,14,14,11,10,12,3,99,6,19,12,16,17,36,12,12,23,153,101,553,389,387,462,667,402,642,56,3659
207011147,3,35,25,11,26,27,12,20,0,162,11,43,36,38,37,48,17,42,66,332,207,1136,780,760,937,1337,600,1202,122,7076
207011148,4,56,37,26,45,46,26,20,0,248,19,59,43,28,37,61,24,47,82,402,239,1498,1065,998,1334,1741,769,1462,139,9234
207011149,8,42,25,31,34,37,19,41,0,245,13,47,47,31,40,69,17,60,58,377,288,1526,1081,1051,1281,1875,974,1955,135,10156
207011150,3,36,35,30,19,22,21,39,4,210,7,40,33,19,34,53,11,59,43,296,238,1153,939,898,903,1544,831,1659,98,8263
207011151,8,51,33,31,60,46,36,36,5,306,10,50,34,27,43,57,27,82,93,426,389,1455,1292,1181,1879,2541,1392,2280,199,12610
207011152,7,34,25,26,38,33,21,13,0,195,12,30,30,20,27,57,20,69,44,320,235,956,876,752,1165,1657,876,1476,110,8107
207011153,8,50,34,30,50,49,27,50,4,308,17,64,56,51,50,98,28,84,91,532,345,1706,1285,1234,1570,2265,1148,2506,190,12255
207011154,3,8,15,6,7,6,7,21,0,84,4,17,7,7,16,22,6,16,13,104,78,473,361,359,399,564,296,589,42,3159
207011155,0,36,29,22,30,28,13,31,4,196,17,47,32,19,20,55,23,47,42,298,229,1201,846,788,893,1394,696,1608,88,7747
207021156,3,32,16,22,43,26,20,28,0,188,3,25,14,19,36,41,9,31,73,247,116,652,510,527,842,1036,435,691,108,4921
207021157,9,53,35,29,65,57,37,28,3,321,22,50,43,26,69,75,24,50,95,454,232,1166,1038,955,1747,1832,758,1016,193,8942
207021159,5,42,21,34,55,46,23,31,3,265,12,43,34,28,50,75,17,39,60,358,195,1087,839,832,1153,1538,641,1188,121,7602
207021160,7,32,17,18,36,41,18,34,4,211,12,42,21,12,38,54,14,35,42,263,160,820,618,610,992,1253,502,823,102,5883
207021424,0,34,37,27,52,44,17,31,4,246,3,26,27,28,39,43,12,32,58,280,153,982,796,773,1158,1406,533,837,113,6754
207021425,3,31,25,23,55,44,16,21,0,219,9,21,20,19,45,59,9,31,60,273,174,747,627,658,1218,1248,469,675,115,5923
207031161,9,46,55,38,72,52,42,63,0,385,10,39,30,38,70,66,29,38,66,382,305,1414,1129,1120,1739,1901,948,1413,133,10104
207031162,5,35,19,27,23,31,18,17,0,176,3,10,10,14,22,33,7,17,31,151,117,672,568,532,744,977,440,608,51,4705
207031163,12,46,54,33,67,53,33,45,0,345,15,66,55,24,71,75,16,29,80,430,269,1234,1214,943,1570,1720,739,1024,144,8852
207031164,3,46,33,24,47,53,21,33,7,262,13,45,41,24,41,56,20,29,73,343,222,1131,946,932,1394,1609,741,1083,126,8186
207031165,3,27,24,17,40,28,14,13,3,169,3,37,32,9,25,32,10,22,41,220,137,886,690,512,825,851,344,554,98,4895
207031166,4,23,19,21,27,41,13,25,0,173,4,28,23,21,36,46,8,19,43,230,128,634,525,515,847,919,369,457,83,4471
207031167,3,29,21,15,17,17,10,19,0,137,3,28,19,12,10,25,9,29,22,153,146,771,577,530,699,974,490,853,48,5098
208011168,3,26,18,10,21,27,15,26,0,144,6,40,21,26,27,50,18,63,37,291,185,980,721,699,655,1148,606,1341,87,6422
208011169,4,56,26,38,31,37,21,50,3,267,20,73,55,61,48,76,15,117,82,542,279,1487,1122,1102,1003,1885,960,2453,175,10461
208011170,11,44,33,23,20,24,18,34,0,197,13,49,26,32,21,71,19,70,52,343,192,1045,827,835,774,1348,658,1522,115,7322
208011171,3,28,22,27,25,25,17,26,4,177,8,19,21,26,26,52,16,31,33,226,169,631,578,616,794,1136,579,869,70,5435
208011172,6,53,26,28,40,32,12,42,3,234,7,49,26,29,39,67,36,68,40,363,251,1195,946,875,1007,1555,827,1678,103,8438
208011173,4,33,33,25,26,35,26,25,0,210,7,65,25,36,28,64,32,73,65,388,253,1086,857,848,885,1475,766,1626,109,7916
208021174,9,53,48,40,51,52,21,47,0,319,10,45,40,37,55,84,31,61,72,430,313,1414,1191,1205,1627,2140,1029,1655,134,10709
208021176,0,31,31,27,58,54,23,26,3,260,5,36,33,29,51,65,14,36,77,344,276,984,989,933,1725,1974,904,1128,131,9049
208021177,5,61,44,30,38,51,33,45,3,308,13,74,52,44,56,85,38,76,91,524,236,1361,1163,1114,1409,1941,1028,1714,189,10149
208021178,5,73,42,49,44,54,32,41,3,338,4,71,33,34,46,71,33,47,63,394,228,1163,953,993,1196,1680,798,1412,138,8562
208021179,0,21,18,22,37,26,20,33,3,177,5,20,14,21,16,52,16,42,42,234,172,632,617,597,905,1225,628,1096,92,5965
208021180,3,19,11,12,27,16,13,17,0,116,0,14,13,15,15,28,7,19,39,153,111,466,402,420,696,816,366,462,59,3805
208021181,7,25,17,16,19,22,10,29,4,148,3,15,25,15,25,33,8,26,38,190,146,552,568,504,864,991,500,670,77,4867
208021182,11,32,28,25,46,42,15,21,0,222,6,25,31,25,46,66,19,31,38,282,181,790,754,761,1273,1612,658,825,95,6946
208021426,3,38,36,38,45,52,18,45,0,264,8,27,19,19,49,72,14,38,45,303,208,851,780,806,1194,1603,631,950,90,7104
208021427,3,39,26,26,34,43,30,36,3,246,10,19,25,22,35,42,25,27,48,243,183,804,597,680,1047,1348,629,877,110,6278
208031183,3,25,16,19,21,27,14,21,6,153,5,18,21,19,36,42,13,27,41,216,137,639,463,482,804,988,448,625,81,4672
208031184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0,6,0,3,5,0,4,0,22
208031185,16,26,22,36,43,26,25,31,0,220,3,46,19,25,50,64,19,45,50,323,218,631,547,661,1034,1190,582,858,91,5812
208031186,5,32,21,30,42,45,28,32,0,240,10,25,21,26,54,54,20,47,62,318,266,686,604,771,1342,1397,762,914,123,6862
208031187,4,15,8,12,28,23,10,10,0,111,8,15,5,13,24,25,9,10,22,147,90,303,273,289,557,514,262,266,51,2612
208031188,4,61,46,39,78,62,46,56,9,403,14,50,32,36,88,115,30,55,69,502,322,1292,1062,1150,1996,2296,1117,1437,174,10847
208031189,3,31,24,23,41,45,24,35,0,227,4,27,27,20,51,53,21,42,40,280,182,802,666,657,1033,1304,677,1001,94,6400
208031190,7,47,18,29,37,38,18,23,0,226,8,28,15,27,23,51,20,43,49,256,190,755,630,745,1110,1359,702,1006,99,6605
208031191,0,22,19,19,25,23,15,22,3,158,3,23,14,15,32,38,12,18,42,195,128,488,446,479,797,822,415,580,70,4229
208031192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208031193,12,56,37,35,68,54,31,41,5,335,14,39,36,31,48,80,27,41,59,369,336,1254,1032,1061,1627,2102,1085,1547,138,10168
208041194,4,50,22,34,48,35,27,38,3,255,6,49,40,33,43,68,25,85,71,412,250,1264,1065,980,1417,1977,1073,2086,154,10262
208041195,3,42,31,31,31,37,29,36,3,248,10,56,31,22,45,80,30,54,78,399,258,1443,1185,1015,1321,1962,1001,1922,154,10260
209011196,4,13,20,22,34,33,21,25,0,165,11,35,20,12,30,51,10,15,52,241,136,568,549,531,847,841,391,462,80,4408
209011197,9,63,33,59,69,65,32,58,3,386,13,24,16,23,55,72,23,51,73,340,375,1290,1122,1206,1771,2114,996,1402,161,10436
